English	Hungarian
journalist	újságíró
judge	bíró
leader	vezér
minister	miniszter
musician	zenész
photographer	fényképész
pilot	pilóta
policeman	rendőr
politician	politikus
president	elnök
professional	hivatásos
representative	megbízott
sailor	tengerész
secretary	titkár
servant	inas
soldier	katona
writer	író
bank	part
beach	strand
current	áram
direction	irány
Earth	Föld
east	kelet
height	magasság
hill	domb
island	sziget
lake	tó
land	föld
map	térkép
Moon	hold
north	észak
plain	síkság
region	vidék
river	folyó
sea	tenger
south	dél
space	tér
star	csillag
sun	nap
west	nyugat
cloud	felhő
dew	harmat
fog	köd
frost	fagy
rain	eso
rainbow	szivárvány
snow	hó
storm	vihar
thunder	mennydörgés
wind	szél
acid	sav
chemical	kémiai anyag
chemical element	elem
coal	szén
cotton	pamut
dust	por
earth	föld
fat	zsír
glass	üveg
glue	ragasztó
ice	jég
iron	vas
leather	bőr
liquid	folyadék
matter	anyag
metallic element	fém
oil	kőolaj
poison	méreg
powder	por
sand	homok
silk	selyem
soap	szappan
steel	acél
wood	fa
wool	gyapjú
bag	táska
basket	kosár
bottle	üveg
box	doboz
can	kanna
cup	csésze
drawer	fiók
envelope	boríték
glass	pohár
plate	tányér
bell	harang
button	gomb
gun	puska
hammer	kalapács
hook	kampó
key	kulcs
lock	zár
match	gyufa
nail	szeg
needle	mutató
pump	szivattyú
rope	kötél
scissors	olló
spring	rugó
stamp	bélyeg
whip	ostor
addition	összeadás
angle	szög
area	terület
circle	kör
curve	görbület
degree	fok
degree	szint
difference	különbség
distance	távolság
division	szétválasztás
edge	szegély
element	elem
function	rendeltetés
half	fél
limit	határ
line	vonal
net	háló
percent	hányad
point	pont
purpose	cél
result	következmény
rule	szabály
set	halmaz
side	oldal
square	négyzet
square	négyzet
substitution	csere
surface	felület
total	összeg
ability	képesség
act	tett
action	cselekvés
activity	élénkség
addition	gyarapodás
amount	mennyiség
attack	támadás
attempt	kísérlet
attitude	állásfoglalás
back	hátulja
behavior	magatartás
bit	darab
blow	ütés
break	megszakítás
campaign	hadjárat
case	ügy
chance	esély
change	változás
choice	választás
condition	állapot
connection	összekötő
crack	repedés
cut	vágás
damage	kár
danger	veszély
death	halál
decoration	dekoráció
destruction	pusztulás
dominance	irányítás
duty	kötelesség
effort	fáradozás
fall	bukás
feature	jellemvonás
fight	küzdelem
front	homlokzat
hit	csapás
hole	lyuk
increase	növekedés
increase	növekedés
internet	internet
jolt	rázkódás
kick	rúgás
kind	forma
knot	csomó
list	lista
majority	többség
matter	ügy
mind	értelem
operation	teljesítmény
opposite	ellentét
outburst	kitörés
part	rész
part	rész
personality	személyiség
piece	darab
place	helyszín
position	hely
power	energia
practice	gyakorlat
project	feladat
property	tulajdonság
quality	minőség
quiet	csend
responsibility	kötelesség
rest	pihenés
return	visszatérés
rise	megmászás
risk	kockázat
seat	tér
set	készlet
silence	nyugalom
situation	helyzet
slice	darab
state	állapot
step	lépés
stop	megállás
taste	ízlelés
thing	dolog
top	tetõpont
touch	érintés
treatment	bánásmód
tremble	remegés
trick	trükk
type	jelleg
use	használat
way	mód
wear	elhasználódás
whole	egység
will	akarat
wish	szükséglet
art	művészet
artist	mûvész
band	zenekar
brush	kefe
concert	hangverseny
design	terv
diversity	változatosság
entertainment	szórakozás
hit	siker
image	összkép
ink	tinta
manner	mód
movie	hártya
museum	múzeum
music	zene
note	hang
orchestra	zenekar
paint	festék
painting	festmény
paper	papír
pen	toll
pencil	ceruza
picture	tükörkép
poem	vers
poetry	költészet
rhythm	ütem
shape	fajta
singer	énekes
song	dal
stage	színpad
style	stílus
vogue	divat
account	számla
advantage	előny
advertisement	hirdetés
advice	tanács
agreement	megállapodás
attention	figyelem
authority	hatalom
banknote	bankjegy
bargain	alku
brand	védjegy
business	üzlet
capital	tőke
change	aprópénz
cheque	csekk
committee	bizottság
company	vállalat
competition	verseny
complaint	vád
contract	megegyezés
copy	másolat
cost	költség
council	tanács
course	kurzus
customer	ügyfél
demand	igényel
department	tagozat
difficulty	nehézség
director	menedzser
economy	gazdasági rendszer
environment	környezet
experience	tapasztalat
firm	cég
form	űrlap
group	csoport
help	segítség
holiday	szabadság
income	jövedelem
industry	ipar
insurance	biztosítás
interest	érdek
invoice	elszámolás
job	állás
law	jog
leave	szabadság
loss	kár
management	vezetés
mark	megjelölt pont
market	piac
material	anyag
mean	átlag
meeting	találkozás
money	pénz
occupation	foglalkozás
offer	ajánlat
office	iroda
officer	tiszt
operation	művelet
owner	tulajdonos
package	csomag
payment	fizetség
plan	terv
price	ár
problem	probléma
product	termék
profit	haszon
property	tulajdon
rate	tarifa
rest	maradék
reward	ellenszolgáltatás
right	jog
sale	eladás
section	részleg
section	keresztszelvény
service	kiszolgálás
share	részvény
shop	üzlet
show	kiállítás
skill	ügyesség
staff	személyzet
success	siker
support	támogatás
table	táblázat
tax	adó
team	csapat
trade	kereskedelem
value	érték
work	munka
worker	munkás
announcement	közlemény
answer	válasz
approval	jóváhagyás
argument	argumentum
book	könyv
call	hívás
character	graféma
controversy	vita
cry	kiáltás
data	adat
decision	döntés
dictionary	szótár
discussion	megbeszélés
doubt	kétkedés
experience	élmény
feeling	érzés
humor	humor
idea	gondolat
information	információ
interest	hobbi
interview	beszélgetés
language	beszéd
language	nyelv
letter	karakter
letter	levél
lie	hazugság
look	pillantás
magazine	magazin
mail	posta
memory	emlékezet
memory	emlék
mistake	hiba
name	név
newspaper	újság
note	megjegyzés
number	szám
opinion	vélemény
page	oldal
pronunciation	kiejtés
proposal	javaslat
protest	tiltakozás
question	kérdés
reaction	reagálás
reason	ok
relation	kapcsolat
request	kérés
secret	titok
sentence	mondat
sign	jel
speech	beszéd
spelling	helyesírás
standard	színvonal
statement	bejelentés
subject	téma
suggestion	javaslat
voice	hang
word	szó
writing	írás
good day	jó napot
good luck	sok szerencsét, jó szerencsét
hello	szia
how are you	hogy vagy? (informal), hogy van? (formal)
many thanks	nagyon köszönöm
no	nem
thank you very much	köszönöm szépen, nagyon szépen köszönöm
yes	igen
Britain	Britannia
China	Kína
Czech Republic	Cseh Köztársaság
France	Francia Köztársaság
Germany	Német Szövetségi Köztársaság
India	Indiai Köztársaság
Italy	Olaszország
Japan	Japán
Spain	Spanyol Királyság
United States of America	Amerikai Egyesült Államok
camera	kamera
camera	fényképezőgép
cellular phone	mobiltelefon
clock	óra
computer	számítógép
elevator	lift
engine	motor
instrument	hangszer
machine	gép
oven	kemence
watch	óra
class	osztály
education	oktatás
education	oktatás
education	nevelés
examination	vizsga
grade	tengerparti
knowledge	tudomás
student	diák
teacher	tanár
training	gyakorlat
fear	félelem
love	szeretet
pleasure	öröm
promise	remény
shock	sokk
care	kezelés
cold	nátha
cough	köhögés
disease	betegség
doctor	doktor
health	egészség
operation	operáció
pain	fájdalom
patient	beteg
stitch	öltés
blade	penge
board	tábla
chain	lánc
club	bunkósbot
cover	fedél
feather	toll
flag	zászló
frame	keret
handle	fogantyú
menu	étlap
pipe	csővezeték
postage	postaköltség
present	ajándék
sail	vitorla
scroll	tekercs
seed	mag
stick	bot
stone	szikla
ticket	jegy
wheel	kerék
wire	drót
balance	hidegvér
bulk	tömeg
charge	töltés
energy	energia
light	fény
mass	tömeg
measurement	megmérés
mirror	tükör
movement	mozgás
pressure	stressz
process	folyamat
size	nagyság
sound	hang
steam	gõz
strength	erő
time	idő
unit	egyes
weight	súly
date	megbeszélés
guest	vendég
honey	kedves
kiss	csók
party	társaság
smile	mosoly
surprise	meglepetés
visit	látogatás
alternative	választás
biology	biológia
cause	ok
chemistry	kémia
comparison	összehasonlítás
consequence	következmény
control	megfékezés
discipline	fegyelmezés
discovery	felfedezés
event	eset
evidence	bizonyíték
example	példa
fact	tény
issue	kérdés
kernel	kivonat
method	módszer
model	típus
phase	szakasz
procedure	eljárás
production	termelés
program	program
project	projekt
range	kiterjedés
research	kutatás
research	nyomozás
science	tudomány
society	társadalom
system	rendszer
technology	technológia
theory	elmélet
trend	hajlam
trouble	baj
user	felhasználó
army	hadsereg
base	alap
club	egyesület
company	társaság
contest	verseny
country	ország
court	bíróság
crime	bűntény
culture	kultúra
democracy	köztársaság
dominion	uralom
election	választás
existence	létezés
government	rendszer
history	történet
individual	egyén
institution	intézmény
king	király
male	hím
member	végtag
nation	nemzet
news	híradó
noise	lárma
order	parancs
organization	szervezet
pass	igazolvány
passport	útlevél
peace	béke
people	az emberek
police	rendőrség
policy	politika
population	lakosság
public	a lakosság
punishment	büntetés
religion	hit
religion	vallás
state	állam
title	cím
union	egyesítés
war	háború
will	akarat
will	végrendelet
award	kitüntetés
ball	labda
baseball	baseball
bike	kerékpár
championship	bajnokság
competitor	rivális
cup	kupa
football	futball
game	játék
goal	gól
goal	célállomás
gold	arany
golf	golf
jump	ugrás
match	játék
player	játékos
record	rekord
silver	ezüst
tennis	tenisz
throw	dobás