English	Hebrew
feeling	הרגשה (hargasha) (f)
humor	הומור
idea	רעיון
interview	ראיון
language	בלשנות
language	שפה טבעית
letter	תו
letter	מכתב
lie	שקר לבן
look	הבעת פנים
magazine	כתב עת
mail	דאר
memory	זיכרון
mistake	תקלה
name	שם (šem) (m)
newspaper	עיתון
note	ביאור
number	מספר
page	דף
pronunciation	הגייה
proposal	הצעה
protest	מחאה
question	שאילתה
reaction	תגובה
reason	תבונה
secret	סוד (m)
sentence	משפט
sign	סימן
spelling	כתיב
statement	הצהרה'הַצְהָרָה (ha-tseharah) (f)
subject	עצם
voice	קול
word	מילה
writing	כתיבה
good day	(shalom)
good luck	בהצלחה (behatzlecha)
good morning	בוקר טוב (bóker tov)
hello	הלו
how are you	מה שלומך (ma shlomkha?),
many thanks	תודה רבה (todá rabá)
no	לא (lo)
thank you very much	תודה רבה (todá rabá)
yes	כ
Britain	בריטניה
China	סין
Czech Republic	הרפובליקה הצ'כית
France	הרפובליקה של צרפת
Germany	הרפובליקה הפדרלית של גרמניה
India	הרפובליקה של הודו
Italy	איטליה
Japan	יפן
Spain	ממלכת ספרד
United States of America	ארצות הברית
camera	מצלמה
cellular phone	טלפון סלולרי
clock	שעון
computer	מחשב
elevator	מעלית
engine	מנוע
machine	מכונה
oven	תנור
television	טלוויזיה (televizia) (f)
watch	שעון
class	כיתה
education	חינוך
education	פדגוגיה
grade	ציון
knowledge	הכרה
student	תלמיד
teacher	מורה
training	תרגול
fear	פחד
hate	שנאה
love	אהבה
pleasure	עונג
shock	הלם
cold	נזלת
cough	שיעול
disease	מחלה
doctor	רופא
health	בריאות
menstruation	וסת
nurse	אח
pain	כאב
patient	חולה
blade	להב
chain	שלשלת
club	אלה
feather	נוצה
flag	דגל
frame	מסגרת
handle	נקודת אחיזה
menu	תפריט
nut	האם (ha-óm)
pin	סיכה
pipe	צינור
postage	בול דואר
present	מתנה
sail	מפרש
seed	זרע
stick	מקל
stone	סלע
wheel	גלגל
wire	תיל
charge	מטען חשמלי
energy	אנרגיה
light	אור
mass	מסה
measurement	מדידה
mirror	מראה
pressure	לחץ
process	תהליך
sound	קול
steam	אדים
strength	כוח
time	זמן
unit	יחידה
weight	משקל
boyfriend	חבר (m)
date	פעילות
guest	אורח
kiss	נשיקה
party	מסיבה
sex	מין
smile	חיוך
surprise	הפתעה
visit	בקר
biology	ביולוגיה
cause	סיבה
chemistry	כימיה
comparison	השוואה
consequence	השפעה
control	בקרה
event	אירוע
fact	עובדה
kernel	ליבה
method	פעולת שירות
phase	מופע
procedure	פרוצדורה
program	תוכנית
project	פרוייקט
research	מחקר
science	מדע
society	חברה
system	מערכת
technology	טכנולוגיה
theory	תאוריה
trouble	בעיה
user	משתמש
army	צבא
base	בסיס
club	גילדה
company	פלוגה
country	מדינה
court	בית משפט
crime	עבירה
culture	תרבות
democracy	רפובליקה
election	בחירות
existence	קיום
government	ממשלה
history	היסטוריה
king	מלך
member	חבר
nation	אומה
noise	רעש
organization	ארגון
passport	דרכון
peace	שלום
people	בני אדם
police	משטרה
population	אוכלוסייה
punishment	ענישה
religion	רוחניות ואמונה
religion	דת
state	מדינה
union	איחוד
war	מלחמה
will	צוואה
ball	כדור
baseball	כדור בסיס
bike	אופניים
competitor	יריב
cup	גביע
football	כדורגל
game	משחק
goal	שער
goal	יעד
gold	זהב
golf	גולף
player	שחקן
silver	כסף
tennis	טניס