English	Catalan
afternoon	tarda
age	edat
April	Abril
August	agost
autumn	tardor
century	segle
date	data
day	dia
December	Desembre
end	fi
evening	vespre
February	Febrer
Friday	Divendres
future	futur
hour	hora
January	Gener
July	Juliol
June	Juny
May	maig
midnight	mitjanit
minute	minut
moment	moment
moment	estona, moment
Monday	Dilluns
month	mes
morning	matí
night	nit
November	Novembre
now	ara
October	Octubre
past	passat
pause	descans, pausa
period	període
Saturday	Dissabte
season	estació, estació de l'any
second	segon
September	Setembre
spring	primavera
summer	estiu
Sunday	Diumenge
Thursday	Dijous
Tuesday	Dimarts
Wednesday	Dimecres
week	setmana
winter	hivern
year	any
art	art
artist	artista
brush	raspall
color	color
concert	concert
design	projecte
diversity	diversitat
entertainment	diversió
ink	tinta
manner	manera
movie	film
museum	museu
music	música
note	nota
orchestra	orquestra
paint	pintura
painting	quadre
paper	paper
pen	ploma
pencil	llapis
picture	imatge
poem	poema
poetry	poesia
rhythm	ritme
shape	forma
singer	cantador
song	cançó
stage	escena
style	estil
vogue	moda, mode
account	compte
advantage	avantatge
advertisement	publicitat
advice	consell
agreement	acord
attention	atenció
authority	autoritat
banknote	bitllet de banc
capital	capital
cheque	xec
committee	encàrrec
competition	competència
copy	còpia
cost	cost
council	consell
customer	client
demand	necessitat
department	departament
difficulty	dificultat
director	director
economy	economia
environment	medi
experience	dedicació
firm	empresa
form	formulari
group	agrupament
help	ajuda
holiday	vacances
income	ingrés
industry	indústria
insurance	contracte d'assegurança
interest	interès
invoice	factura
job	treball
law	llei
leave	comiat
market	mercat
material	material
mean	mig
meeting	reunió
money	diner
occupation	ocupació
offer	oferta
office	despatx, oficina
operation	operació
package	paquet
plan	projecte
problem	problema
product	producte
profit	guany
rate	taxa
rest	residu
reward	recompensa
right	dret
sale	venda
section	divisió
section	departament, especialitat
share	acció
shop	botiga
skill	habilitat
staff	personal
structure	estructura
support	suport
table	taula
tax	fiscalitat
team	equip multidisciplinari
trade	comerç
value	mèrit, valor
work	treball
announcement	anunci
answer	resposta
approval	aprovació
book	llibre
character	grafema
data	dades
decision	resolució
dictionary	diccionari
doubt	incertesa
feeling	sentiment
humor	humor
idea	pensament
interest	interès
interview	entrevista
language	llenguatge
language	llengua natural
letter	lletra
letter	carta
lie	mentida
magazine	revista
mail	correu
memory	memòria
mistake	error
name	nom
newspaper	diari
number	nombre
opinion	opinió
page	pàgina
pronunciation	pronunciació
question	pregunta
reaction	reacció
reason	motiu
secret	secret
sentence	frase
sign	signe
speech	llengua
standard	mida
subject	subjecte
suggestion	proposta
voice	veu
word	paraula
writing	escriptura
good day	bon dia
good luck	sort!, bona sort!, molta sort!
hello	hola
how are you	com estàs, com està
no	no
thank you very much	moltes gràcies, moltes mercès
yes	sí
Britain	Regne Unit
China	Xina
Czech Republic	República Txeca
France	França
Germany	Alemanya
India	Índia
Italy	Itàlia
Japan	Japó
Spain	Espanya
United States of America	Estats Units
class	classe
education	formació
education	educació
education	ensenyament
examination	examen
knowledge	coneixement
student	estudiant
teacher	mestre
fear	por
hate	odi
love	amor
pleasure	plaer
shock	xoc
cold	refredat
cough	tos
disease	malaltia
doctor	metge
health	salut i benestar social
menstruation	menstruació
nurse	infermera
pain	dolor
stitch	punt
blade	fulla
board	planxa, tauler
card	targeta
chain	cadena
club	club
feather	ploma
flag	senyera
frame	marc
handle	nansa
menu	menú
pipe	tub
postage	segell
present	regal
sail	vela de vaixell
scroll	bobina, rodet
seed	llavor
stick	bastó
stone	pedra
ticket	bitllet
wheel	roda
wire	bronze
balance	equilibri
bulk	massa
charge	càrrega elèctrica
energy	energia
light	llum
mass	massa
measurement	mesura
mirror	mirall
movement	moviment
pressure	pressió
size	amplitud
sound	sons
steam	baf, vapor
strength	força
time	temps
weight	pes
date	compromís
girlfriend	amiga
guest	hoste
kiss	bes
party	festa
sex	sexe
smile	somriure
surprise	sorpresa
visit	visita
alternative	alternativa
biology	biologia
cause	causa
chemistry	química
consequence	efecte
discipline	disciplina
discovery	troballa
event	esdeveniment
example	exemple
fact	fet
issue	problema
kernel	essència
phase	fase
procedure	procediment
production	producció
program	programa
project	projecte
research	investigació
science	ciència
society	societat
system	sistema
technology	tecnologia
theory	teoria
trend	tendència
trouble	problema
army	exèrcit
base	base
club	club
company	companyia militar
contest	competició
country	país
court	tribunal
crime	criminalitat
culture	cultura
democracy	república
dominion	domini
election	elecció
existence	existència
female	dona
government	govern
history	història
individual	individu
institution	institució
king	rei
male	baró, home
member	membre
nation	nació
noise	soroll
passport	passaport
peace	pau
people	gent
police	policia
policy	política
population	població
punishment	pena
religion	creences
religion	religió
state	estat
title	títol
union	union
war	guerra
will	testament
ball	pilota
baseball	beisbol
bike	bicicleta
championship	títol
cup	copa
game	joc
goal	gol
gold	or
golf	golf
player	jugador
record	rècord
silver	argent
tennis	tennis
bell	campana
button	botó
gun	fusell
hammer	martell
hook	ganxo
key	clau
lock	pany
match	llumí
nail	clau
needle	aculla
pump	bomba
rope	corda
scissors	tisores
spring	ressort
stamp	caixetí
whip	cotxer
cloud	núvol
dew	rosada
fog	boira
frost	gelada
rain	pluja
rainbow	arc de Sant Martí
snow	neu
storm	tempestat
thunder	tro
wind	vent