Danish	﻿English
tvivl	doubt
oplevelse	experience
følelse	feeling
humor	humor
tanke	idea
meddelelse	information
interesse	interest
interview	interview
sprog	language
sprog	language
bogstav	letter
brev	letter
lyve	lie
kig	look
tidsskrift	magazine
post	mail
hukommelse	memory
minde	memory
fejl	mistake
navn	name
avis	newspaper
note	note
nummer	number
mening	opinion
side	page
udtale	pronunciation
forslag	proposal
protest	protest
spørgsmål	question
reaktion	reaction
grund	reason
forbindelse	relation
anmodning	request
hemmelighed	secret
sætning	sentence
symbol	sign
sprog	speech
stavning	spelling
kriterium	standard
erklæring	statement
emne	subject
forslag	suggestion
stemme	voice
ord	word
skrift	writing
day goddag	good
luck held og lykke	good
hej	hello
are you hvordan har du det, hvordan går det	how
thanks mange tak	many
nej	no
you very much mange tak, tusind tak	thank
ja	yes
GB	Britain
Kina	China
Republic Tjekkiet	Czech
Den Franske Republik	France
Forbundsrepublikken Tyskland	Germany
Republikken Indien	India
Italien	Italy
Japan	Japan
Kongeriget Spanien	Spain
States of America USA	United
klasse	class
uddannelse	education
uddannelse	education
eksamen	examination
karakter	grade
kendskab	knowledge
student	student
lærer	teacher
uddannelse	training
frygt	fear
had	hate
forelskelse	love
fornøjelse	pleasure
håb	promise
chok	shock
pleje	care
forkølelse	cold
hosten	cough
sygdom	disease
doktor	doctor
helbred	health
menstruation	menstruation
sygeplejerske	nurse
operation	operation
smerte	pain
patient	patient
sting	stitch
blad	blade
kort	card
kæde	chain
kølle	club
fjer	feather
flag	flag
ramme	frame
hank	handle
spiseseddel	menu
møtrik	nut
knappenål	pin
rør	pipe
porto	postage
gave	present
sejl	sail
rulle	scroll
frø	seed
stok	stick
sten	stone
billet	ticket
hjul	wheel
ledning	wire
balance	balance
korpus	bulk
opladning	charge
energi	energy
lys	light
masse	mass
måling	measurement
spejl	mirror
vink	movement
pres	pressure
proces	process
størrelse	size
lyd	sound
damp	steam
styrke	strength
tid	time
ener	unit
vægt	weight
ven	boyfriend
aftale	date
gæst	guest
skat	honey
kys	kiss
fest	party
smil	smile
overraskelse	surprise
besøg	visit
alternativ	alternative
biologi	biology
grund	cause
kemi	chemistry
sammenligning	comparison
konsekvens	consequence
kontrol	control
disciplin	discipline
opdagelse	discovery
begivenhed	event
bevismateriale	evidence
eksempel	example
kendsgerning	fact
emne	issue
essens	kernel
metode	method
model	model
fase	phase
procedure	procedure
produktion	production
program	program
projekt	project
ramme	range
forskning	research
efterforskning	research
videnskab	science
samfund	society
system	system
teknologi	technology
teori	theory
tendens	trend
problem	trouble
bruger	user
hær	army
basis	base
klub	club
selskab	company
turnering	contest
land	country
ret	court
forbrydelse	crime
kultur	culture
republik	democracy
magt	dominion
valg	election
eksistens	existence
regering	government
historie	history
individ	individual
institution	institution
konge	king
medlem	member
nation	nation
nyheder	news
støj	noise
ordre	order
organisation	organization
billet	pass
pas	passport
fred	peace
folk	people
politi	police
politik	policy
befolkning	population
befolkning	public
straf	punishment
tro	religion
religion	religion
stat	state
titel	title
union	union
krig	war
vilje	will
testamente	will
hædersbevisning	award
bold	ball
baseball	baseball
cykel	bike
mesterskab	championship
konkurrent	competitor
pokal	cup
fodbold	football
leg	game
mål	goal
bestemmelsessted	goal
guld	gold
golf	golf
spring	jump
kamp	match
spiller	player
rekord	record
sølv	silver
tennis	tennis
kast	throw
sejr	win
klokke	bell
knap	button
skydevåben	gun
hammer	hammer
knage	hook
nøgle	key
lås	lock
tændstik	match
søm	nail
kanyle	needle
pumpe	pump
reb	rope
saks	scissors
fjeder	spring
stempel	stamp
pisk	whip
sky	cloud
dug	dew
dis	fog
frost	frost
regn	rain
regnbue	rainbow
sne	snow
uvejr	storm
torden	thunder
