English	Danish
sleep	slummer
smell	duft
smoke	os
spring	kilde
stem	stilk
stream	strøm
tree	træ
wave	bølge
weather	vejr
world	jorden
bank	bred
beach	strand
current	aktuel
direction	retning
Earth	Jorden
east	øst
height	højde
hill	bakke
island	ø
lake	sø
land	land
map	plan
Moon	måne
north	nord
plain	slette
region	region
river	flod
sea	hav
south	syd
space	rummet
star	stjerne
sun	sol
west	vest
acid	syre
chemical	kemi
chemical element	grundstof
coal	kul
cotton	bomuld
dust	smuld
earth	Jorden
fat	fedt
glass	glas
glue	lim
grain	korn
ice	is
iron	jern
leather	læder
liquid	væske
matter	materie
metallic element	metal
oil	råolie
poison	gift
powder	pulver
sand	sand
silk	silke
soap	sæbe
steel	stål
wood	ved
wool	uld
bag	pose
basket	kurv
bottle	flaske
box	kasse
can	dåse
cup	kop
drawer	skuffe
envelope	konvolut
glass	glas
plate	tallerken
camera	kamera
camera	kamera
cellular phone	mobiltelefon
clock	ur
computer	computer
elevator	elevator
engine	motor
instrument	instrument
machine	maskine
oven	ovn
television	tv
watch	ur
addition	addition
angle	vinkel
area	areal
circle	cirkel
curve	bue
degree	grad
degree	niveau
difference	forskel
distance	distance
division	deling
edge	kant
element	grundstof
function	funktion
half	halv
limit	begrænsning
line	streg
net	net
outside	yderside
percent	procent
point	prik
purpose	formål
result	resultat
root	root
rule	regel
set	mængde
side	side
square	kvadrat
square	plads
substitution	bytte
surface	overflade
total	sum
ability	evne
act	handlinger
action	aktion
activity	aktivitet
addition	forøgelse
amount	mængde
attack	overfald
attempt	forsøg
attitude	holdning
back	bagside
behavior	opførsel
bit	bid
blow	slag
break	pause
campaign	kampagne
case	sag
chance	chance
change	forandring
choice	valg
condition	stand
connection	forbindelseskomponent
crack	revne
cut	afbrydelse
damage	skade
danger	fare
death	død
decoration	pynt
destruction	ruinering
dominance	kontrol
drop	dråbe
duty	pligt
effort	anstrengelse
fall	fald
feature	kendetegn
fight	kamp
front	front
hit	pletskud
hole	hul
increase	vækst
increase	stigning
internet	internet
jolt	chok
kick	spark
kind	slags
knot	knude
list	liste
majority	flertal
matter	sag
mind	forstand
operation	i kraft
opposite	det modsatte
outburst	udbrud
part	del
part	del
piece	stykke
place	sted
position	beliggenhed
power	kraft
practice	praksis
project	opgave
property	egenskab
quality	kvalitet
quiet	sindsro
responsibility	ansvar
rest	hvile
return	tilbagekomst
rise	opstigning
risk	fare
seat	plads
silence	stilhed
situation	situation
slice	stykke
state	tilstand
step	skridt
stop	standsning
taste	smagssans
thing	ting
top	toppunkt
touch	berøring
treatment	behandling
tremble	gys
trick	trick
type	slags
use	brug
way	måde
wear	slid
whole	hele
will	vilje
wish	ønske
afternoon	eftermiddag
age	alder
April	April
August	August
autumn	efterår
beginning	begyndelse
century	århundrede
date	dato
day	dag
December	December
evening	aften
February	Februar
Friday	Fredag
future	fremtid
hour	time
January	Januar
July	Juli
June	Juni
May	maj
midnight	midnat
minute	minut
moment	minut
Monday	Mandag
month	måned
morning	morgen
night	nat
November	Dage i november
now	nu
October	Dage i oktober
past	fortid
pause	afbrydelse
period	periode
present	nutid
Saturday	Lørdag
season	sæson
second	sekund
September	Dage i september
spring	forår
summer	sommer
Sunday	Søndag
Thursday	Torsdag
tomorrow	i morgen
Tuesday	Tirsdag
Wednesday	Onsdag
week	uge
weekend	weekend
while	stykke tid
winter	vinter
year	år
art	kunst
artist	kunstner
band	gruppe
brush	børste
color	farve
concert	koncert
design	tegning
diversity	variation
entertainment	fritidsaktivitet
hit	hit
image	image
ink	blæk
manner	facon
movie	film
museum	museum
music	musik
note	node
orchestra	orkester
paint	maling
painting	maleri
paper	papir
pen	pen
pencil	blyant
picture	billede
poem	digt
poetry	poesi
rhythm	takt
shape	form
singer	sanger
song	sang
stage	scene
style	stil
vogue	stil
account	konto
advantage	fordel
advertisement	annonce
advice	råd
agreement	overenskomst
attention	opmærksomhed
authority	myndighed
banknote	pengeseddel
bargain	aftale
brand	mærke
business	forretning
capital	penge
change	småpenge
cheque	check
committee	komité
company	virksomhed
competition	konkurrence
complaint	sigtelse
contract	kontrakt
copy	efterligning
cost	omkostninger
council	råd
course	time
customer	kunde
demand	behov
department	ministerium
difficulty	vanskelighed
director	leder
economy	økonomi
environment	omgivelser
experience	erfaring
firm	firma
form	formular
group	gruppe
help	bistand
holiday	ferie
income	indkomst
industry	industri
insurance	forsikring
interest	rente
invoice	afregning
job	job
law	lov
leave	orlov
loss	tab
management	ledelse
mark	mærke
market	marked
material	materiale
mean	gennemsnit
meeting	møde
money	penge
occupation	arbejde
offer	tilbud
office	kontor
operation	handling
owner	ejer
package	bundt
payment	betaling
plan	plan
price	pris
problem	problem
product	produkt
profit	fortjeneste
property	ejendom
rest	rest
reward	belønning
right	ret
sale	salg
section	sektion
section	afdeling
service	betjening
share	aktie
shop	forretning
show	udstilling
skill	dygtighed
staff	stab
success	succes
support	underhold
table	tabel
tax	skat
team	hold
trade	handel
value	pris
work	arbejde
worker	arbejder
announcement	meddelelse
answer	svar
approval	godkendelse
argument	argument
book	bog
call	telefonopringning
character	type
controversy	strid
cry	skrig
data	data
decision	beslutning
dictionary	ordbog
discussion	diskussion
doubt	tvivl
experience	oplevelse
feeling	følelse
humor	humor
idea	tanke
information	meddelelse
interest	interesse
interview	interview
language	sprog
language	sprog
letter	bogstav
letter	brev
lie	lyve
look	kig
magazine	tidsskrift
mail	post
memory	hukommelse
memory	minde
mistake	fejl
name	navn
newspaper	avis
note	note
number	nummer
opinion	mening
page	side
pronunciation	udtale
proposal	forslag
protest	protest
question	spørgsmål
reaction	reaktion
reason	grund
relation	forbindelse
request	anmodning
secret	hemmelighed
sentence	sætning
sign	symbol
speech	sprog
spelling	stavning
standard	kriterium
statement	erklæring
subject	emne
suggestion	forslag
voice	stemme
word	ord
writing	skrift
good day	goddag
good luck	held og lykke
hello	hej
how are you	hvordan har du det, hvordan går det
many thanks	mange tak
no	nej
thank you very much	mange tak, tusind tak
yes	ja
Britain	GB
China	Kina
Czech Republic	Tjekkiet
France	Den Franske Republik
Germany	Forbundsrepublikken Tyskland
India	Republikken Indien
Italy	Italien
Japan	Japan
Spain	Kongeriget Spanien
United States of America	USA
class	klasse
education	uddannelse
education	uddannelse
examination	eksamen
grade	karakter
knowledge	kendskab
student	student
teacher	lærer
training	uddannelse
fear	frygt
hate	had
love	forelskelse
pleasure	fornøjelse
promise	håb
shock	chok
care	pleje
cold	forkølelse
cough	hosten
disease	sygdom
doctor	doktor
health	helbred
menstruation	menstruation
nurse	sygeplejerske
operation	operation
pain	smerte
patient	patient
stitch	sting
blade	blad
card	kort
chain	kæde
club	kølle
feather	fjer
flag	flag
frame	ramme
handle	hank
menu	spiseseddel
nut	møtrik
pin	knappenål
pipe	rør
postage	porto
present	gave
sail	sejl
scroll	rulle
seed	frø
stick	stok
stone	sten
ticket	billet
wheel	hjul
wire	ledning
balance	balance
bulk	korpus
charge	opladning
energy	energi
light	lys
mass	masse
measurement	måling
mirror	spejl
movement	vink
pressure	pres
process	proces
size	størrelse
sound	lyd
steam	damp
strength	styrke
time	tid
unit	ener
weight	vægt
boyfriend	ven
date	aftale
guest	gæst
honey	skat
kiss	kys
party	fest
smile	smil
surprise	overraskelse
visit	besøg
alternative	alternativ
biology	biologi
cause	grund
chemistry	kemi
comparison	sammenligning
consequence	konsekvens
control	kontrol
discipline	disciplin
discovery	opdagelse
event	begivenhed
evidence	bevismateriale
example	eksempel
fact	kendsgerning
issue	emne
kernel	essens
method	metode
model	model
phase	fase
procedure	procedure
production	produktion
program	program
project	projekt
range	ramme
research	forskning
research	efterforskning
science	videnskab
society	samfund
system	system
technology	teknologi
theory	teori
trend	tendens
trouble	problem
user	bruger
army	hær
base	basis
club	klub
company	selskab
contest	turnering
country	land
court	ret
crime	forbrydelse
culture	kultur
democracy	republik
dominion	magt
election	valg
existence	eksistens
government	regering
history	historie
individual	individ
institution	institution
king	konge
member	medlem
nation	nation
news	nyheder
noise	støj
order	ordre
organization	organisation
pass	billet
passport	pas
peace	fred
people	folk
police	politi
policy	politik
population	befolkning
public	befolkning
punishment	straf
religion	tro
religion	religion
state	stat
title	titel
union	union
war	krig
will	vilje
will	testamente
award	hædersbevisning
ball	bold
baseball	baseball
bike	cykel
championship	mesterskab
competitor	konkurrent
cup	pokal
football	fodbold
game	leg
goal	mål
goal	bestemmelsessted
gold	guld
golf	golf
jump	spring
match	kamp
player	spiller
record	rekord
silver	sølv
tennis	tennis
throw	kast
win	sejr
bell	klokke
button	knap
gun	skydevåben
hammer	hammer
hook	knage
key	nøgle
lock	lås
match	tændstik
nail	søm
needle	kanyle
pump	pumpe
rope	reb
scissors	saks
spring	fjeder
stamp	stempel
whip	pisk
cloud	sky
dew	dug
fog	dis
frost	frost
rain	regn
rainbow	regnbue
snow	sne
storm	uvejr
thunder	torden
wind	vind