English	Polish
Agoraphobia	Agorafobia
Agra	Agra
Agriculture	Rolnictwo
Agriculture	Kategoria:Rolnictwo
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain (departament)
Air force	Wojska lotnicze
Airbus	Airbus
Aircraft	Statek powietrzny
Aircraft	Kategoria:Samoloty
Aircraft carrier	Lotniskowiec
Airline	Linie lotnicze
Airport	Lotnisko
Ajax	Ajax
Ajax (mythology)	Ajaks Wielki
Ajax (programming)	AJAX
Akhenaten	Echnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Kaida
Alabama	Alabama
Alabama	Kategoria:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Mathison Turing
Alanine	Alanina
Alaska	Alaska
Alaska	Kategoria:Alaska
Alban Berg	Alban Berg
Albania	Albania
Albania	Kategoria:Albania
Albany	Albany (Nowy Jork)
Albatross	Albatrosy
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer (ojciec)
Alberta	Alberta (prowincja Kanady)
Albinism	Albinizm
Albite	Albit
Album	Album (wydawnictwo muzyczne)
Albuquerque	Albuquerque (Nowy Meksyk)
Alchemy	Alchemia
Alchemy	Kategoria:Alchemia
Alcohol	Alkohole
Alcoholic beverage	Napój alkoholowy
Alcoholism	Alkoholizm
Aldebaran	Aldebaran
Aldehyde	Aldehydy
Alder	Olsza
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksander Sołżenicyn
Aleppo	Aleppo
Aleutian Islands	Aleuty
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksander Puszkin
Alexander the Great	Aleksander Macedoński
Alexandre Dumas	Aleksander Dumas (ojciec)
Alexandre Dumas	Aleksander Dumas (syn)
Alexandria	Aleksandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred Wielki
Algae	Glony
Algebra	Algebra
Algebra	Kategoria:Algebra
Algebraic number	Liczby algebraiczne
Algeria	Algieria
Algeria	Kategoria:Algieria
Algiers	Algier
Algorithm	Algorytm
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Metale alkaliczne
Alkaloid	Alkaloidy
Alkane	Alkany
Alkene	Alkeny
Alkyne	Alkiny
Allah	Allah
Allegory	Alegoria
Allele	Allel
Allen Ginsberg	Allen Ginsberg
Allergy	Alergia
Alliteration	Aliteracja
Allophone	Alofon
Allosaurus	Allozaur
Allotropy	Alotropia
Alloy	Stop metali
Almanac	Almanach
Almaty	Ałma-Ata
Almond	Migdałowiec zwyczajny
Aloe	Aloes
Alpha (letter)	Alfa
Alpha Centauri	Alfa Centauri
Alpha particle	Promieniowanie alfa
Alphabet	Alfabet
Alps	Alpy
Alps	Kategoria:Alpy
Alsace	Alzacja
Altair	Altair
Altar	Ołtarz
Altay Mountains	Ałtaj
Alternating current	Prąd przemienny
Alternative medicine	Kategoria:Medycyna niekonwencjonalna
Alternative medicine	Medycyna niekonwencjonalna
Altruism	Altruizm
Aluminium	Glin
Aluminium oxide	Tlenek glinu
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Choroba Alzheimera
Amanita muscaria	Muchomor czerwony
Amanita phalloides	Muchomor zielonawy
Amaryllidaceae	Amarylkowate
Amaterasu	Amaterasu
Amazon River	Amazonka (rzeka)
Ambassador	Ambasador
Amber	Bursztyn
Ambrose	Święty Ambroży
Amedeo Avogadro	Amadeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Bizon
American Black Bear	Baribal
American Civil War	Wojna secesyjna
American Revolutionary War	Wojna o niepodległość Stanów Zjednoczonych
American Samoa	Samoa Amerykańskie
American Standard Code for Information Interchange	ASCII
American football	Futbol amerykański
American football	Kategoria:Futbol amerykański
Americium	Ameryk
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametyst
Amharic	Język amharski
Amide	Amidy
Amine	Aminy
Amino acid	Aminokwasy
Amish	Amisze
Amman	Amman
Ammeter	Amperomierz
Ammonia	Amoniak
Amnesia	Amnezja organiczna
Amnesty	Amnestia
Ampere	Amper
Amphetamine	Amfetamina
Amphibian	Płazy
Amphitheatre	Amfiteatr
Amphora	Amfora
Amplitude	Amplituda
Amsterdam	Amsterdam
Amsterdam	Kategoria:Amsterdam
Amun	Amon (bóg egipski)
Amur	Amur (rzeka)
Anabaptist	Anabaptyzm
Anagram	Anagram
Anaheim	Anaheim
Anal sex	Seks analny
Analytic geometry	Geometria analityczna
Anarchism	Anarchizm
Anarchism	Kategoria:Anarchizm
Anarchy	Anarchia
Anatidae	Kaczkowate
Anatole France	Anatole France
Anatomy	Kategoria:Anatomia
Anatomy	Anatomia
Anaxagoras	Anaksagoras
Anaximander	Anaksymander
Anchor	Kotwica
Anchorage	Anchorage (Alaska)
Ancient Greek	Język grecki klasyczny
Ancient history	Kategoria:Starożytność
Andalusia	Andaluzja
Andaman Sea	Morze Andamańskie
Anders Celsius	Anders Celsius
Andes	Andy
Andhra Pradesh	Andhra Pradesh
Andorra	Andora
Andorra	Kategoria:Andora
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andriej Sacharow
Andrei Tarkovsky	Andriej Tarkowski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson (prezydent USA)
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (gwiazdozbiór)
Andromeda (mythology)	Andromeda (mitologia)
Andromeda Galaxy	Galaktyka Andromedy
Andy Warhol	Andy Warhol
Anemia	Niedokrwistość
Anemometer	Anemometr
Anesthesia	Znieczulenie
Angara River	Angara
Angel	Anioł
Angel Falls	Salto del Angel
Angle	Kąt płaski
Anglicanism	Anglikanizm
Angola	Angola
Angola	Kategoria:Angola
Anguilla	Anguilla
Angular momentum	Moment pędu
Angular velocity	Prędkość kątowa
Anicius Manlius Severinus Boethius	Anicius Manlius Severinus Boethius
Aniline	Anilina
Animal	Zwierzęta
Animal husbandry	Chów
Anime	Anime
Anime	Kategoria:Anime
Animism	Animizm
Anise	Biedrzeniec anyż
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Boleyn
Annelid	Pierścienice
Anno Domini	N.e.
Annunciation	Zwiastowanie
Anode	Anoda
Anseriformes	Blaszkodziobe
Ant	Mrówkowate
Antakya	Antiochia
Antalya	Antalya
Antananarivo	Antananarywa
Antarctica	Antarktyda
Antarctica	Kategoria:Antarktyda
Antares	Antares
Antenna (radio)	Antena
Anthony Hopkins	Anthony Hopkins
Anthrax	Wąglik
Anthropology	Antropologia (nauka)
Anthropology	Kategoria:Antropologia
Anthroposophy	Antropozofia
Antibiotic	Antybiotyki
Antibody	Przeciwciało
Antichrist	Antychryst
Anticyclone	Antycyklon
Antigen	Antygen
Antigone	Antygona (córka Edypa)
Antigua and Barbuda	Antigua i Barbuda
Antigua and Barbuda	Kategoria:Antigua i Barbuda
Antimatter	Antymateria
Antimony	Antymon
Antioxidant	Przeciwutleniacze
Antipope	Antypapież
Antisemitism	Antysemityzm
Antisemitism	Kategoria:Antysemityzm
Antlia	Pompa (gwiazdozbiór)
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Czechow
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonim
Antwerp	Antwerpia
Antwerp (province)	Prowincja Antwerpia
Anubis	Anubis
Anus	Odbyt
Aorta	Aorta człowieka
Apache	Apacze
Apatite	Apatyt
Ape	Małpy człekokształtne
Aphasia	Afazja
Aphorism	Aforyzm
Aphrodite	Afrodyta
Apia	Apia
Apiaceae	Selerowate
Apocrypha	Apokryf
Apodiformes	Jerzykowe
Apollo	Apollo (mitologia)
Apollo (disambiguation)	Apollo
Apollo program	Program Apollo
Apollo program	Kategoria:Program Apollo
Apoptosis	Apoptoza
Appalachian Mountains	Appalachy
Appendicitis	Zapalenie wyrostka robaczkowego
Applied mathematics	Matematyka stosowana
Apricot	Morela
April	Kwiecień
April 14	14 kwietnia
April Fools' Day	Prima aprilis
Apse	Apsyda (architektura)
Apulia	Apulia
Apus	Ptak Rajski (gwiazdozbiór)
Aqaba	Akaba
Aqua regia	Woda królewska
Aquamarine	Akwamaryn
Aquarium	Akwarium
Aquarius (constellation)	Wodnik (gwiazdozbiór)
Aqueduct	Akwedukt
Aquila (constellation)	Orzeł (gwiazdozbiór)
Aquitaine	Akwitania
Ara (constellation)	Ołtarz (gwiazdozbiór)
Arab	Arabowie
Arab League	Liga Państw Arabskich
Arabian Peninsula	Półwysep Arabski
Arabian Sea	Morze Arabskie
Arabic alphabet	Alfabet arabski
Arabic language	Język arabski
Araceae	Obrazkowate
Arachnid	Pajęczaki
Arafura Sea	Morze Arafura
Aragon	Aragonia
Aral Sea	Jezioro Aralskie
Aram Khachaturian	Aram Chaczaturian
Arcadia	Arkadia (kraina historyczna)
Arcangelo Corelli	Arcangelo Corelli
Arch	Łuk (architektura)
Archaeology	Archeologia
Archaeology	Kategoria:Archeologia
Archaeopteryx	Praptak
Archangel	Archanioł
Archbishop	Arcybiskup
Archean	Archaik
Archetype	Archetyp (psychologia)
Archimedes	Archimedes
Archipelago	Archipelag
Architect	Architekt
Architecture	Architektura
Architecture	Kategoria:Architektura i budownictwo
Archosaur	Gady naczelne
Arctic	Arktyka
Arctic Circle	Koło podbiegunowe
Arctic Ocean	Ocean Arktyczny
Arctic fox	Lis polarny
Ardennes	Ardeny
Ardennes (department)	Ardennes
Are	Ar (jednostka miary)
Area	Powierzchnia
Arecaceae	Arekowate
Ares	Ares (bóg)
Argentina	Argentyna
Argentina	Kategoria:Argentyna
Argon	Argon
Argos	Argos
Aria	Aria
Ariadne	Ariadna
Arianism	Arianizm
Aries (constellation)	Baran (gwiazdozbiór)
Aristarchus of Samos	Arystarch z Samos
Aristocracy	Arystokracja
Aristophanes	Arystofanes
Aristotle	Arystoteles
Arithmetic	Arytmetyka
Arithmetic	Kategoria:Arytmetyka
Arithmetic progression	Ciąg arytmetyczny
Arius	Ariusz
Arizona	Arizona
Arizona	Kategoria:Arizona
Ark of the Covenant	Arka Przymierza
Arkansas	Arkansas
Arkansas	Kategoria:Arkansas
Arles	Arles
Armadillo	Pancerniki
Armenia	Armenia
Armenia	Kategoria:Armenia
Armenian language	Język ormiański
Arminius	Arminius
Armour	Zbroja
Army	Armia
Arnhem	Arnhem
Arno River	Arno (rzeka)
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Węglowodory aromatyczne
Arquebus	Arkebuz
Arras	Arras (Pas-de-Calais)
Arrow	Strzała
Arsenic	Arsen
Art	Sztuka
Art Deco	Art déco
Art Nouveau	Secesja (sztuka)
Art history	Kategoria:Historia sztuki
Art history	Historia sztuki
Artemis	Artemida
Artemisia (plant)	Bylica
Artemisia absinthium	Bylica piołun
Artery	Tętnica
Arthritis	Zapalenie stawów
Arthropod	Stawonogi
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, 1. książę Wellington
Artificial intelligence	Sztuczna inteligencja
Artificial intelligence	Kategoria:Sztuczna inteligencja
Artillery	Artyleria
Artillery	Kategoria:Artyleria
Artist	Artysta
Arts	Kategoria:Sztuka
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Kategoria:Aruba
Asbestos	Azbest
Asclepius	Asklepios
Asexuality	Aseksualizm
Asgard	Asgard
Ash Wednesday	Popielec
Ashurbanipal	Aszurbanipal
Asia	Azja
Asia	Kategoria:Azja
Asmara	Asmara
Aspartame	Aspartam
Asphalt	Asfalt
Aspirin	Kwas acetylosalicylowy
Assam	Assam
Assassination	Zamach
Association of Southeast Asian Nations	Stowarzyszenie Narodów Azji Południowo-Wschodniej
Assyria	Asyria
Assyria	Kategoria:Asyria
Astana	Astana
Astatine	Astat
Asteraceae	Astrowate
Asteraceae	Kategoria:Astrowate
Asteroid	Planetoida
Asteroid belt	Pas planetoid
Asthenosphere	Astenosfera
Asthma	Astma oskrzelowa
Astigmatism (eye)	Astygmatyzm (oko)
Astrakhan	Astrachań
Astrobiology	Astrobiologia
Astrolabe	Astrolabium
Astrology	Astrologia
Astrology	Kategoria:Astrologia
Astrometry	Astrometria
Astronaut	Astronauta
Astronomer	Astronom
Astronomical unit	Jednostka astronomiczna
Astronomy	Astronomia
Astronomy	Kategoria:Astronomia
Astronomy	Portal:Astronomia
Astrophysics	Astrofizyka
Astrophysics	Kategoria:Astrofizyka
Aswan	Asuan
Asymptote	Asymptota
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	Atakama
Aten	Aton
Atheism	Kategoria:Ateizm
Athena	Atena
Athens	Ateny
Athletics	Kategoria:Lekkoatletyka
Athletics (track and field)	Lekkoatletyka
Atlanta	Atlanta
Atlantic Ocean	Ocean Atlantycki
Atlantic Ocean	Kategoria:Ocean Atlantycki
Atlantis	Atlantyda
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (księżyc)
Atlas (mythology)	Atlas (mitologia)
Atlas Mountains	Atlas (góry)
Atmosphere (unit)	Atmosfera fizyczna
Atmospheric pressure	Ciśnienie atmosferyczne
Atoll	Atol
Atom	Atom
Atomic clock	Zegar atomowy
Atomic mass	Masa atomowa
Atomic mass unit	Jednostka masy atomowej
Atomic number	Liczba atomowa
Atomic physics	Kategoria:Fizyka atomowa
Atomic physics	Fizyka atomowa
Atreus	Atreus
Atropine	Atropina
Attica	Attyka (kraina historyczna)
Attila the Hun	Attyla
Au	Au
Auckland	Auckland
Auction	Aukcja (forma przetargu)
August	Sierpień
August 1	1 sierpnia
August 15	15 sierpnia
August 6	6 sierpnia
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustyn z Hippony
Augustus	Oktawian August
Auriga (constellation)	Woźnica (gwiazdozbiór)
Aurora	Aurora
Aurora (astronomy)	Zorza polarna
Austin	Austin (Teksas)
Australasia	Australazja
Australia	Australia
Australia	Kategoria:Australia
Australian dollar	Dolar australijski
Australopithecus	Australopiteki
Austria	Austria
Austria	Kategoria:Austria
Austria-Hungary	Austro-Węgry
Author	Autor
Authority	Autorytet
Autism	Autyzm dziecięcy
Auto racing	Wyścig samochodowy
Autobiography	Autobiografia
Automated teller machine	Bankomat
Automobile	Samochód
Autonomic nervous system	Autonomiczny układ nerwowy
Autotroph	Samożywność
Autumn	Jesień
Auvergne (region)	Owernia
Avalanche	Lawina
Avant-garde	Awangarda (sztuka)
Avatar	Awatara
Avena	Owies
Averroes	Awerroes
Avesta	Awesta
Aviation	Kategoria:Lotnictwo
Aviation	Lotnictwo
Avicenna	Awicenna
Avignon	Awinion
Avocado	Smaczliwka
Avogadro's law	Prawo Avogadra
Axe	Topór
Axiom	Aksjomat
Axon	Neuryt
Ayatollah	Ajatollah
Ayn Rand	Ayn Rand
Azerbaijan	Azerbejdżan
Azerbaijan	Kategoria:Azerbejdżan
Azimuth	Azymut
Azores	Azory
Aztec	Aztekowie
Azurite	Azuryt
B	B
BASIC	BASIC
Baal	Baal
Baboon	Pawian
Babylon	Babilon
Babylonia	Babilonia
Backgammon	Tryktrak
Bacteria	Bakterie
Bacteria	Kategoria:Bakterie
Bacteriophage	Bakteriofag
Bactrian Camel	Baktrian
Badminton	Badminton
Baffin Bay	Morze Baffina
Baffin Island	Ziemia Baffina
Baghdad	Bagdad
Bahamas	Kategoria:Bahamy
Bahrain	Bahrajn
Bahrain	Kategoria:Bahrajn
Baja California	Kalifornia Dolna
Baklava	Bakława
Baku	Baku
Balalaika	Bałałajka
Balance sheet	Bilans (rachunkowość)
Baldr	Baldur
Balearic Islands	Baleary
Baleen whale	Fiszbinowce
Bali	Bali (wyspa)
Balkan Mountains	Stara Płanina
Balkan Wars	Wojny bałkańskie
Balkans	Półwysep Bałkański
Ball	Piłka
Ballet	Balet
Ballet	Kategoria:Balet
Ballistic missile	Rakietowy pocisk balistyczny
Ballpoint pen	Długopis
Baltic Sea	Morze Bałtyckie
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambus
Banana	Banan
Banana republic	Republika bananowa
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesz
Bangladesh	Kategoria:Bangladesz
Bangui	Bangi
Banjul	Bandżul
Bank	Bank
Banknote	Banknot
Banks	Kategoria:Banki
Baptism	Chrzest
Baptist	Baptyzm
Bar (unit)	Bar (jednostka)
Barbados	Barbados
Barbados	Kategoria:Barbados
Barbarian	Barbarzyńca
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Kategoria:Barcelona
Barents Sea	Morze Barentsa
Bari	Bari
Barium	Bar (pierwiastek)
Barley	Jęczmień
Barn Owl	Płomykówka
Barn Swallow	Jaskółka dymówka
Barometer	Barometr
Baron	Baron
Baroque	Barok
Barranquilla	Barranquilla
Barrel (unit)	Baryłka
Baryon	Bariony
Basalt	Bazalt
Base (chemistry)	Zasady
Baseball	Baseball
Baseball	Kategoria:Baseball
Basel	Bazylea
Bash	Bash
Basidiomycota	Grzyby podstawkowe
Basil	Bazylia pospolita
Basil of Caesarea	Bazyli Wielki
Basilica	Bazylika
Basilicata	Basilicata
Basiliscus	Bazyliskus
Basilisk	Bazyliszek (stworzenie mityczne)
Basketball	Koszykówka
Basketball	Kategoria:Koszykówka
Basra	Al-Basra (miasto)
Bass guitar	Gitara basowa
Basse-Normandie	Dolna Normandia
Basseterre	Basseterre
Bassoon	Fagot
Bast (mythology)	Bastet
Bastille	Bastylia
Bat	Nietoperze
Bath	Bath (Anglia)
Batman	Batman
Baton Rouge	Baton Rouge
Bats	Kategoria:Nietoperze
Battalion	Batalion
Battery (electricity)	Bateria ogniw
Battle of Austerlitz	Bitwa pod Austerlitz
Battle of Britain	Bitwa o Anglię
Battle of Hastings	Bitwa pod Hastings
Battle of Lepanto (1571)	Bitwa pod Lepanto (1571)
Battle of Marathon	Bitwa pod Maratonem
Battle of Midway	Bitwa o Midway
Battle of Thermopylae	Bitwa pod Termopilami
Battle of Trafalgar	Bitwa pod Trafalgarem
Battle of Verdun	Bitwa pod Verdun
Battle of Waterloo	Bitwa pod Waterloo
Battle of the Bulge	Ofensywa w Ardenach
Battle of the Somme	Bitwa nad Sommą
Battleship	Pancernik
Bauhaus	Bauhaus
Bauxite	Boksyt
Bavaria	Bawaria
Bavaria	Kategoria:Bawaria
Bay Laurel	Wawrzyn szlachetny
Bay of Bengal	Zatoka Bengalska
Bay of Biscay	Zatoka Biskajska
Bayer	Bayer AG
Bayonet	Bagnet
Bayonne	Bayonne
Beach	Plaża
Beagle	Beagle (rasa psów)
Beak	Dziób (zoologia)
Bear	Niedźwiedziowate
Beaufort Sea	Morze Beauforta
Beaufort scale	Skala Beauforta
Beaver	Castor
Bebop	Bebop
Becquerel	Bekerel
Bed	Łóżko
Bede	Beda Czcigodny
Bedouin	Beduin
Bee	Pszczoły
Beech	Buk
Beekeeping	Kategoria:Pszczelarstwo
Beer	Piwo
Beer	Kategoria:Piwo
Beetle	Chrząszcze
Behaviorism	Behawioryzm
Beijing	Pekin
Beirut	Bejrut
Belarus	Białoruś
Belarus	Kategoria:Białoruś
Belfast	Belfast
Belgium	Belgia
Belgium	Kategoria:Belgia
Belgrade	Belgrad
Belisarius	Belizariusz
Belize	Belize
Belize	Kategoria:Belize
Bell (instrument)	Dzwon (instrument)
Bellerophon	Bellerofont
Belly dance	Taniec brzucha
Belo Horizonte	Belo Horizonte
Beluga	Białucha (waleń)
Benelux	Benelux
Bengal	Bengal
Benghazi	Bengazi
Benin	Benin
Benin	Kategoria:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli, 1. hrabia Beaconsfield
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Morze Beringa
Bering Strait	Cieśnina Beringa
Berkelium	Berkel
Berkshire	Berkshire (Anglia)
Berlin	Berlin
Berlin	Kategoria:Berlin
Bermuda	Bermudy
Bermuda	Kategoria:Bermudy
Bermuda Triangle	Trójkąt Bermudzki
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Berno
