English	Norwegian
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Kategori:Alberta
Albinism	Albinisme
Albite	Albitt
Album	Musikkalbum
Albuquerque	Albuquerque
Alchemy	Alkymi
Alcohol	Alkoholer
Alcoholic beverage	Alkoholholdige drikker
Alcoholism	Alkoholisme
Aldehyde	Aldehyd
Alder	Orer
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solzjenitsyn
Aleppo	Aleppo
Aleutian Islands	Aleutene
Alexander	Aleksander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Pusjkin
Alexander the Great	Aleksander den store
Alexandre Dumas	Alexandre Dumas
Alexandre Dumas	Alexandre Dumas den yngre
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred av England
Algae	Alge
Algebra	Algebra
Algebra	Kategori:Algebra
Algeria	Algerie
Algeria	Kategori:Algerie
Algiers	Alger
Algorithm	Algoritme
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Alkalimetall
Alkaloid	Alkaloid
Alkane	Alkaner
Alkene	Alkener
Alkyne	Alkyner
Allah	Allah
Allegory	Allegori
Allele	Allel
Allen Ginsberg	Allen Ginsberg
Allergy	Allergi
Alliteration	Allitterasjon
Allophone	Allofon
Allosaurus	Allosaurus
Allotropy	Allotropi
Alloy	Legering
Almanac	Almanakk
Almaty	Almaty
Almond	Mandel
Aloe	Aloe
Alpha (letter)	Alfa
Alpha Centauri	Alfa Centauri
Alpha particle	Alfapartikkel
Alphabet	Alfabet
Alps	Alpene
Alps	Kategori:Alpene
Alsace	Alsace
Altair	Altair
Altar	Alter
Altay Mountains	Altaj (fjellkjede)
Alternating current	Vekselstrøm
Alternative medicine	Kategori:Alternativ medisin
Alternative medicine	Alternativ medisin
Altruism	Altruisme
Aluminium	Aluminium
Aluminium oxide	Aluminiumoksid
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimers sykdom
Amanita muscaria	Rød fluesopp
Amanita phalloides	Grønn fluesopp
Amaryllidaceae	Narsissfamilien
Amaterasu	Amaterasu
Amazon River	Amazonaselva
Ambassador	Ambassadør
Amber	Rav
Ambrose	Ambrosius av Milano
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Amerikansk bison
American Black Bear	Amerikansk svartbjørn
American Civil War	Den amerikanske borgerkrigen
American Revolutionary War	Den amerikanske uavhengighetskrigen
American Samoa	Amerikansk Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikansk fotball
American football	Kategori:Amerikansk fotball
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametyst
Amharic	Amharisk
Amide	Amid
Amine	Amin
Amino acid	Aminosyre
Amish	Amish
Amman	Amman
Ammonia	Ammoniakk
Amnesty	Amnesti
Ampere	Ampere
Amphetamine	Amfetamin
Amphibian	Amfibier
Amphitheatre	Amfiteater
Amphora	Amfora
Amplitude	Amplitude
Amsterdam	Amsterdam
Amsterdam	Kategori:Amsterdam
Amun	Amon
Amur	Amur
Anabaptist	Anabaptister
Anagram	Anagram
Anaheim	Anaheim
Anal sex	Analsex
Anarchism	Anarkisme
Anarchism	Kategori:Anarkisme
Anarchy	Anarki
Anatidae	Andefamilien
Anatole France	Anatole France
Anatomy	Kategori:Anatomi
Anatomy	Anatomi
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Anker
Anchorage	Anchorage
Ancient Greek	Gammelgresk
Andalusia	Andalucía
Andaman Sea	Andamanhavet
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategori:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Sakharov
Andrei Tarkovsky	Andrej Tarkovskij
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Androide
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (stjernebilde)
Andromeda (mythology)	Andromeda (mytologi)
Andromeda Galaxy	Andromedagalaksen
Andy Warhol	Andy Warhol
Anemia	Anemi
Anemometer	Anemometer
Anesthesia	Anestesi
Angara River	Angara
Angel	Engel
Angel Falls	Salto Angel
Anglicanism	Den anglikanske kirke
Angola	Angola
Angola	Kategori:Angola
Anguilla	Anguilla
Angular momentum	Drivmoment
Angular velocity	Vinkelhastighet
Anicius Manlius Severinus Boethius	Boëthius
Aniline	Anilin
Animal	Dyr
Animation	Animasjon
Anime	Anime
Anime	Kategori:Anime
Animism	Animisme
Anise	Anis
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Annelid	Leddormer
Anno Domini	Kristi fødsel
Annunciation	Maria Budskapsdag
Anode	Anode
Anseriformes	Andefugler
Anseriformes	Kategori:Andefugler
Ant	Maur
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktika
Antarctica	Kategori:Antarktika
Antenna (radio)	Antenne
Anthony Hopkins	Anthony Hopkins
Anthrax	Miltbrann
Anthropology	Antropologi
Anthropology	Kategori:Antropologi
Anthroposophy	Antroposofi
Antibiotic	Antibiotika
Antibody	Antistoff
Antichrist	Antikrist
Anticyclone	Antisyklon
Antigen	Antigen
Antigone	Antigone
Antigua and Barbuda	Antigua og Barbuda
Antigua and Barbuda	Kategori:Antigua og Barbuda
Antimatter	Antimaterie
Antimony	Antimon
Antioxidant	Antioksidant
Antipope	Motpave
Antisemitism	Antisemittisme
Antisemitism	Kategori:Antisemittisme
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tsjekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerp	Antwerpen (by)
Antwerp (province)	Antwerpen (provins)
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Apache	Apasje
Apatite	Apatitt
Ape	Menneskeaper
Aphasia	Afasi
Aphorism	Aforisme
Aphrodite	Afrodite
Apia	Apia
Apiaceae	Skjermplantefamilien
Apocrypha	Apokryfer
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Apollo-programmet
Apollo program	Kategori:Apollo-programmet
Apoptosis	Apoptose
Appalachian Mountains	Appalachene
Appendicitis	Appendisitt
Apple	Epler
Applied mathematics	Anvendt matematikk
Apricot	Aprikos
April	April
April 14	14. april
April Fools' Day	Aprilsnarr
Apse	Apside
Apulia	Puglia
Aqua regia	Kongevann
Aquamarine	Akvamarin
Aquarium	Akvarium
Aqueduct	Akvedukt
Aquitaine	Aquitaine
Ara (constellation)	Alteret
Arab	Arabere
Arab League	Den arabiske liga
Arabian Peninsula	Den arabiske halvøy
Arabian Sea	Arabiahavet
Arabic alphabet	Det arabiske alfabetet
Arabic language	Arabisk
Araceae	Myrkonglefamilien
Arachnid	Edderkoppdyr
Arafura Sea	Arafurasjøen
Aragon	Aragón
Aral Sea	Aralsjøen
Arcadia	Arkadia (Hellas)
Arcangelo Corelli	Arcangelo Corelli
Arch	Bue (arkitektur)
Archaeology	Arkeologi
Archaeology	Kategori:Arkeologi
Archangel	Erkeengel
Archbishop	Erkebiskop
Archean	Arkeikum
Archetype	Arketype
Archimedes	Arkimedes
Archipelago	Arkipelag
Architect	Arkitekt
Architecture	Arkitektur
Architecture	Kategori:Arkitektur
Archive	Arkiv
Arctic	Arktis
Arctic Circle	Nordlige polarsirkel
Arctic Ocean	Nordishavet
Arctic fox	Fjellrev
Ardennes	Ardennene
Ardennes (department)	Ardennes
Are	Ar
Area	Areal
Arecaceae	Palmer
Ares	Ares
Argentina	Argentina
Argentina	Kategori:Argentina
Argon	Argon
Argos	Argos
Aria	Arie
Ariadne	Ariadne
Arianism	Arianisme
Aristarchus of Samos	Aristarkhos
Aristocracy	Aristokrati
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmetikk
Arithmetic	Kategori:Aritmetikk
Arius	Arius
Arizona	Arizona
Arizona	Kategori:Arizona
Ark of the Covenant	Paktens ark
Arkansas	Arkansas
Arkansas	Kategori:Arkansas
Arles	Arles
Armadillo	Beltedyr
Armenia	Armenia
Armenia	Kategori:Armenia
Armenian language	Armensk
Arminius	Arminius
Armour	Rustning
Army	Armé
Arnhem	Arnhem
Arno River	Arno
Arnold Schoenberg	Arnold Schönberg
Arquebus	Arkebuse
Arras	Arras
Arrow	Pil
Arsenic	Arsen
Art	Kunst
Art Deco	Art deco
Art Nouveau	Art nouveau
Art history	Kategori:Kunsthistorie
Art history	Kunsthistorie
Artemis	Artemis
Artemisia (plant)	Malurter
Artemisia absinthium	Ekte malurt
Artery	Arterie
Arthritis	Leddgikt
Arthropod	Leddyr
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, 1. hertug av Wellington
Artificial intelligence	Kunstig intelligens
Artillery	Artilleri
Artillery	Kategori:Artilleri
Artist	Kunstner
Arts	Kategori:Kunst
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Kategori:Aruba
Asbestos	Asbest
Asclepius	Asklepios
Asexuality	Aseksualitet
Asgard	Åsgard
Ash Wednesday	Askeonsdag
Ashurbanipal	Asurbanipal
Asia	Asia
Asia	Kategori:Asia
Asmara	Asmara
Aspartame	Aspartam
Asphalt	Asfalt
Aspirin	Acetylsalisylsyre
Assam	Assam
Assassination	Attentat
Assembly language	Assembler
Association of Southeast Asian Nations	Association of Southeast Asian Nations
Assyria	Assyria
Astana	Astana
Astatine	Astat
Asteraceae	Kurvplantefamilien
Asteraceae	Kategori:Kurvblomstfamilien
Asteroid	Asteroide
Asteroid belt	Asteroidebeltet
Asthenosphere	Astenosfære
Asthma	Astma
Astigmatism (eye)	Astigmatisme
Astrakhan	Astrakhan
Astrobiology	Astrobiologi
Astrolabe	Astrolabium
Astrology	Astrologi
Astrology	Kategori:Astrologi
Astrometry	Astrometri
Astronaut	Romfarer
Astronomer	Astronom
Astronomical unit	Astronomisk enhet
Astronomy	Astronomi
Astronomy	Kategori:Astronomi
Astronomy	Portal:Astronomi
Astrophysics	Astrofysikk
Astrophysics	Kategori:Astrofysikk
Aswan	Aswan
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	Atacamaørkenen
Aten	Aton
Atheism	Kategori:Ateisme
Athena	Athene
Athens	Athen
Athletics	Kategori:Friidrett
Athletics (track and field)	Friidrett
Atlanta	Atlanta
Atlantic Ocean	Atlanterhavet
Atlantic Ocean	Kategori:Atlanterhavet
Atlantis	Atlantis
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (måne)
Atlas (mythology)	Atlas (mytologi)
Atlas Mountains	Atlasfjellene
Atmosphere	Atmosfære
Atmosphere (unit)	Standardatmosfære
Atmospheric pressure	Atmosfærisk trykk
Atoll	Atoll
Atom	Atom
Atomic clock	Atomur
Atomic mass	Atommasse
Atomic mass unit	Atommasseenhet
Atomic number	Atomnummer
Atomic physics	Kategori:Atomfysikk
Atreus	Atrevs
Atropine	Atropin
Attica	Attika (landskap)
Attila the Hun	Attila
Au	AU
Auckland	Auckland
Auction	Auksjon
August	August
August 1	1. august
August 15	15. august
August 6	6. august
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustin av Hippo
Augustus	Augustus
Aurora	Aurora
Aurora (astronomy)	Aurora polaris
Austin	Austin (Texas)
Australasia	Australasia
Australia	Australia
Australia	Kategori:Australia
Australian dollar	Australsk dollar
Australopithecus	Australopithecus
Austria	Østerrike
Austria	Kategori:Østerrike
Austria-Hungary	Østerrike-Ungarn
Author	Forfatter
Authority	Autoritet
Autism	Autisme
Auto racing	Motorsport
Automated teller machine	Minibank
Automobile	Bil
Autonomic nervous system	Det autonome nervesystem
Autotroph	Autotrofi
Autumn	Høst
Auvergne (region)	Auvergne
Avalanche	Lavine
Avant-garde	Avant-garde
Avatar	Avatar
Averroes	Averroës
Aviation	Kategori:Luftfart
Aviation	Luftfart
Avicenna	Avicenna
Avignon	Avignon
Avocado	Avokado
Avogadro's law	Avogadros lov
Axe	Øks
Axiom	Aksiom
Axon	Akson
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbaijan	Aserbajdsjan
Azerbaijan	Kategori:Aserbajdsjan
Azimuth	Asimut
Azores	Azorene
Aztec	Aztekere
B	B
BASIC	BASIC
Baal	Baal
Baboon	Bavianer
Babylon	Babylon
Babylonia	Babylonia
Backgammon	Backgammon
Bacteria	Bakterier
Bacteria	Kategori:Bakterier
Bacteriophage	Bakteriofag
Bactrian Camel	Baktriakamel
Badminton	Badminton
Baffin Bay	Baffinbukta
Baffin Island	Baffinøya
Baghdad	Bagdad
Bahamas	Kategori:Bahamas
Bahrain	Bahrain
Bahrain	Kategori:Bahrain
Baja California	Baja California
Baku	Baku
Balalaika	Balalaika
Baldr	Balder
Balearic Islands	Balearene
Baleen whale	Bardehvaler
Bali	Bali
Balkan Mountains	Balkanfjellene
Balkan Wars	Balkankrigene
Balkans	Balkan
Ballet	Ballett
Ballet	Kategori:Ballett
Baltic Sea	Østersjøen
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambus
Banana	Bananer
Banana republic	Bananrepublikk
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Kategori:Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bank
Banknote	Pengeseddel
Banks	Kategori:Banker
Baptism	Dåp
Baptist	Baptisme
Barbados	Barbados
Barbados	Kategori:Barbados
Barbarian	Barbar
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Kategori:Barcelona
Barents Sea	Barentshavet
Bari	Bari
Barium	Barium
Barley	Bygg (korn)
Barn Owl	Tårnugle
Barn Swallow	låvesvale
Barometer	Barometer
Baron	Baron
Baroque	Barokken
Barranquilla	Barranquilla
Barrel (unit)	Fat (mål)
Baryon	Baryon
Basalt	Basalt
Base (chemistry)	Base
Baseball	Baseball
Baseball	Kategori:Baseball
Basel	Basel
Basil	Basilikum
Basil of Caesarea	Basilios den store
Basilica	Basilika
Basilicata	Basilicata
Basiliscus	Basiliskus
Basilisk	Basilisk
Basketball	Basketball
Basketball	Kategori:Basketball
Basra	Basra
Bass guitar	Bassgitar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Bassoon	Fagott
Bast (mythology)	Bast
Bastille	Bastillen
Bat	Flaggermus
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Bats	Kategori:Flaggermus
Battalion	Bataljon
Battery (electricity)	Elektrisk batteri
Battle of Austerlitz	Slaget ved Austerlitz
Battle of Britain	Slaget om Storbritannia
Battle of Hastings	Slaget ved Hastings
Battle of Lepanto (1571)	Slaget ved Lepanto
Battle of Marathon	Slaget ved Marathon
Battle of Midway	Slaget ved Midway
Battle of Thermopylae	Slaget ved Thermopylene
Battle of Trafalgar	Slaget ved Trafalgar
Battle of Verdun	Slaget ved Verdun
Battle of Waterloo	Slaget ved Waterloo
Battle of the Bulge	Ardenneroffensiven
Battle of the Somme	Slaget ved Somme
Bauhaus	Bauhaus
Bauxite	Bauksitt
Bavaria	Bayern
Bavaria	Kategori:Bayern
Bay of Bengal	Bengalbukta
Bay of Biscay	Biscayabukten
Bayer	Bayer AG
Bayonet	Bajonett (våpen)
Bayonne	Bayonne
Beach	Strand
Beagle	Beagle
Beak	Nebb
Bear	Bjørnefamilien
Beaufort Sea	Beauforthavet
Beaufort scale	Beauforts skala
Beaver	Bevere
Bebop	Bebop
Becquerel	Becquerel
Bed	Seng
Bede	Beda den ærverdige
Bedouin	Beduiner
Bee	Bier
Beech	Bøker
Beekeeping	Kategori:Birøkt
Beer	Øl
Beer	Kategori:Øl
Beetle	Biller
Behaviorism	Behaviorisme
Beijing	Beijing
Beirut	Beirut
Belarus	Hviterussland
Belarus	Kategori:Hviterussland
Belfast	Belfast
Belgium	Belgia
Belgium	Kategori:Belgia
Belgrade	Beograd
Belisarius	Belisarius
Belize	Belize
Belize	Kategori:Belize
Bellerophon	Bellerofon
Belly dance	Orientalsk dans
Belo Horizonte	Belo Horizonte
Beluga	Hvithval
Benelux	Benelux
Bengal	Bengal
Benin	Benin
Benin	Kategori:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli, 1. jarl av Beaconsfield
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Beringhavet
Bering Strait	Beringstredet
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Berlin	Kategori:Berlin
Bermuda	Bermuda
Bermuda	Kategori:Bermuda
Bermuda Triangle	Bermudatriangelet
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Berry	Bær
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Beryllium
Beta (letter)	Beta
Beta decay	Betahenfall
Betelgeuse	Betelgeuse
Bethlehem	Betlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bey	Bey
Bhutan	Bhutan
Bhutan	Kategori:Bhutan
Bible	Bibelen
Bible	Kategori:Bibelen
Bibliography	Bibliografi
Bicycle	Sykkel
Big Bang	Big Bang
Bihar	Bihar
Bikini	Bikini (klesplagg)
Bile	Galle
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Dobbeltstjerne
Binoculars	Kikkert
Biochemistry	Biokjemi
Biochemistry	Kategori:Biokjemi
Biodiversity	Biologisk mangfold
Biogeography	Biogeografi
Biography	Biografi
Biological warfare	Biologisk krigføring
Biology	Biologi
Biology	Kategori:Biologi
Biomass	Biomasse
Biome	Biom
Biometrics	Biometri
Biopsy	Biopsi
Biosphere	Biosfære
Biotechnology	Bioteknologi
Biotin	Biotin
Bipolar disorder	Bipolar lidelse
Birch	Bjørker
Bird	Fugler
Birmingham	Birmingham (Alabama)
Birth control	Prevensjon
Bisexuality	Bifili
Bishkek	Bisjkek
Bishop	Biskop
Bishop (chess)	Løper (sjakk)
Bismarck	Bismarck (Nord-Dakota)
Bismarck (disambiguation)	Bismarck
Bismuth	Vismut
Bissau	Bissau
Bit	Bit
Bithynia	Bitynia
Bivalvia	Muslinger
Black	Svart
Black Death	Svartedauden
Black Forest	Schwarzwald
Black Kite	Svartglente
Black Sea	Svartehavet
Black Stork	Svartstork
Black body	Svart legeme
Black hole	Sort hull
Black pepper	Svart pepper
Blackbird	Svarttrost
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (program)
Blindness	Blindhet
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blogg
Blood	Blod
Blood plasma	Blodplasma
Blood pressure	Blodtrykk
Blood vessel	Blodåre
Blue	Blå
Blue Whale	Blåhval
Blues	Blues
Boar	Villsvin
Board game	Brettspill
Boat	Båt
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleigh
Bodhisattva	Bodhisattva
Body mass index	BMI
Bodybuilding	Kroppsbygging
Bohemia	Böhmen
Bohrium	Bohrium
Boiling point	Kokepunkt
Boise	Boise
