English	Finnish
Des Moines	Des Moines
Desert	Aavikko
Deserts	Luokka:Aavikot
Desiderius Erasmus	Erasmus Rotterdamilainen
Design	Muotoilu
Design	Luokka:Muotoilu
Desmond Tutu	Desmond Tutu
Destroyer	Hävittäjä (laiva)
Determinism	Determinismi
Detroit	Detroit
Deuterium	Deuterium
Deuteronomy	Viides Mooseksen kirja
Developmental psychology	Kehityspsykologia
Device driver	Laiteajuri
Devon	Devon
Devonian	Devonikausi
Dew	Kaste (sääilmiö)
Dew point	Kastepiste
Dewey Decimal Classification	Deweyn luokittelu
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Vuorisusi
Diabetes mellitus	Diabetes
Diacritic	Tarke
Dialect	Murre
Dialectic	Dialektiikka
Dialectical materialism	Dialektinen materialismi
Diameter	Halkaisija
Diamond	Timantti
Diana	Walesin prinsessa Diana
Diana (mythology)	Diana
Diarrhea	Ripuli
Diaspora	Diaspora
Diatom	Piilevät
Dice	Noppa
Dicotyledon	Kaksisirkkaiset
Dictatorship	Diktatuuri
Dictionary	Sanakirja
Diego Rivera	Diego Rivera
Diesel	Dieselöljy
Diesel engine	Dieselmoottori
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Differentiaaliyhtälö
Diffraction	Diffraktio
Diffusion	Diffuusio
Digestion	Ruoansulatus
Digestive system	Luokka:Ruoansulatuselimistö
Digital	Digitaalisuus
Digital camera	Digitaalikamera
Digital photography	Digitaalinen valokuvaus
Digital subscriber line	DSL
Dijon	Dijon
Dill	Tilli
Dimension	Ulottuvuus
Dingo	Dingo (eläin)
Dinosaur	Dinosaurukset
Diocese	Hiippakunta
Diocletian	Diocletianus
Diode	Diodi
Dionysus	Dionysos
Diphtheria	Kurkkumätä
Diphthong	Diftongi
Diplodocus	Diplodocus
Diplomacy	Diplomatia
Dire Straits	Dire Straits
Direct current	Tasavirta
Disaccharide	Disakkaridi
Disambiguation	Luokka:Täsmennyssivut
Disc jockey	DJ
Discourse	Diskurssi
Discrimination	Syrjintä
Disease	Sairaus
Distance	Välimatka
Distillation	Tislaus
Divergence	Divergenssi
Division (mathematics)	Jakolasku
Division (military)	Divisioona
Divorce	Avioero
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Luokka:Djibouti
Djibouti (city)	Djibouti (kaupunki)
Dmitri Mendeleev	Dmitri Mendelejev
Dmitri Shostakovich	Dmitri Šostakovitš
Dnieper River	Dnepr
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermanni
Doctor of the Church	Kirkonopettaja
Document	Dokumentti
Dodecahedron	Dodekaedri
Dodecanese	Dodekanesia
Dodo	Drontti
Dodoma	Dodoma
Dog	Koira
Dogma	Dogmi
Doha	Doha
Dollar	Dollari
Dolly (sheep)	Dolly-lammas
Dolmen	Dolmen
Dolomite	Dolomiitti
Dolphin	Delfiinit
Dome	Kupoli
Domesday Book	Domesday book
Domestication	Kotieläin
Dominica	Dominica
Dominica	Luokka:Dominica
Dominican Order	Dominikaanit
Dominican Republic	Dominikaaninen tasavalta
Dominican Republic	Luokka:Dominikaaninen tasavalta
Domitian	Domitianus
Don Quixote	Don Quijote
Don River (Russia)	Don
Donald Duck	Aku Ankka
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Donkey	Aasi
Door	Ovi
Dopamine	Dopamiini
Doppler effect	Doppler-ilmiö
Dorado	Kultakala (tähdistö)
Doric order	Doorilainen pylväsjärjestelmä
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Kontrabasso
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover (Englanti)
Down syndrome	Downin oireyhtymä
Draco (constellation)	Lohikäärme (tähdistö)
Dracula	Dracula
Dragon	Lohikäärme
Drainage basin	Vesistö
Drama	Draama
Draughts	Tammipeli
Dream	Uni
Dresden	Dresden
Drink	Juoma
Drought	Kuivuuskausi
Drug addiction	Päihderiippuvuus
Druid	Druidi
Drum	Rumpu
Dualism	Dualismi (filosofia)
Dualism (philosophy of mind)	Kartesiolainen dualismi
Dubai	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Dugong	Dugongi
Duke	Herttua
Duke Ellington	Duke Ellington
Duke University	Duke University
Dune	Dyyni
Dunkirk	Dunkerque
Duodenum	Pohjukaissuoli
Durban	Durban
Dushanbe	Dušanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Luokka:Alankomaalaiset henkilöt
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamiikka
Dynamite	Dynamiitti
Dynasty	Hallitsijasuku
Dyslexia	Lukivaikeus
Dysprosium	Dysprosium
Dystopia	Dystopia
E	E
E (mathematical constant)	Neperin luku
E-mail	Sähköposti
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA (järjestö)
Eagle	Kotkat
Ear	Korva
Eared seal	Korvahylkeet
Earless seal	Hylkeet
Earth	Maa
Earth	Luokka:Maa
Earth science	Geotieteet
Earthquake	Maanjäristys
East	Itä
East Africa	Itä-Afrikka
East China Sea	Itä-Kiinan meri
East Germany	Saksan demokraattinen tasavalta
East Sussex	East Sussex
East Timor	Itä-Timor
East Timor	Luokka:Itä-Timor
Easter	Pääsiäinen
Eastern Orthodox Church	Ortodoksinen kirkko
Ebola	Ebola
Ebro	Ebro
Eccentricity (mathematics)	Eksentrisyys
Ecclesiastes	Saarnaajan kirja
Echidna	Nokkasiilit
Echidna (mythology)	Ekhidna
Echinoderm	Piikkinahkaiset
Eclipse	Auringonpimennys
Eclipse (software)	Eclipse (IDE)
Ecliptic	Ekliptika
Ecological niche	Ekologinen lokero
Ecology	Ekologia
Ecology	Luokka:Ekologia
Econometrics	Ekonometria
Economics	Kansantalous
Economics	Luokka:Taloustiede
Economy	Kansantalous
Ecosystem	Ekosysteemi
Ecuador	Ecuador
Ecuador	Luokka:Ecuador
Ecumenical council	Ekumeeninen kirkolliskokous
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Education	Koulutus
Education	Luokka:Koulutus
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Edvard Tunnustaja
Edwin Hubble	Edwin Hubble
Eel	Ankeriaskalat
Egg (biology)	Muna
Eggplant	Munakoiso
Egypt	Egypti
Egypt	Luokka:Egypti
Egyptian pound	Egyptin punta
Egyptology	Egyptologia
Eiffel Tower	Eiffel-torni
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Siemensyöksy
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Luokka:El Salvador
Elam	Elam
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Election	Vaali
Electra	Elektra
Electric charge	Sähkövaraus
Electric current	Sähkövirta
Electric field	Sähkökenttä
Electric guitar	Sähkökitara
Electric motor	Sähkömoottori
Electrical engineering	Luokka:Sähkötekniikka
Electrical engineering	Sähkötekniikka
Electrical resistance	Resistanssi
Electricity	Sähkö
Electricity	Luokka:Sähkö
Electrocardiogram	EKG
Electrochemistry	Sähkökemia
Electrochemistry	Luokka:Sähkökemia
Electrolysis	Elektrolyysi
Electrolyte	Elektrolyytti
Electromagnetic radiation	Sähkömagneettinen säteily
Electromagnetic spectrum	Sähkömagneettinen spektri
Electromagnetism	Sähkömagnetismi
Electromagnetism	Luokka:Sähkömagnetismi
Electron	Elektroni
Electron microscope	Elektronimikroskooppi
Electronegativity	Elektronegatiivisuus
Electronics	Elektroniikka
Electronics	Luokka:Elektroniikka
Elegy	Elegia
Element	Elementti
Elementary particle	Alkeishiukkanen
Elephant	Norsut
Elevator	Hissi
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elia (profeetta)
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellipsi
Ellipsis	Kolme pistettä
Elm	Jalavat
Elvis Presley	Elvis Presley
Embryo	Alkio
Embryology	Embryologia
Emerald	Smaragdi
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emiiri
Emma Goldman	Emma Goldman
Emoticon	Hymiö
Emotion	Tunne
Empathy	Empatia
Empedocles	Empedokles
Emperor	Keisari
Emperor Penguin	Keisaripingviini
Empire State Building	Empire State Building
Empiricism	Empirismi
Emu	Emu
Emulator	Emulaattori
Emulsion	Emulsio
Encyclopedia	Tietosanakirja
Endemism	Kotoperäisyys
Endocrine system	Umpieritysjärjestelmä
Endocrinology	Luokka:Endokrinologia
Energy	Energia
Energy	Luokka:Energia
Energy (society)	Energia
Engine	Moottori
Engineer	Insinööri
Engineering	Tekniikka
England	Englanti
England	Luokka:Englanti
English Channel	Englannin kanaali
English Civil War	Englannin sisällissota
English language	Englannin kieli
English language	Luokka:Englannin kieli
English people	Luokka:Englantilaiset henkilöt
English people	Englantilaiset
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Luokka:Viihde
Enthalpy	Entalpia
Entomology	Entomologia
Entomology	Luokka:Entomologia
Entropy	Entropia
Environment	Luokka:Ympäristö
Environment	Ympäristö
Enzyme	Entsyymi
Eocene	Eoseenikausi
Eon (geology)	Eoni
Eos	Eos
Ephesus	Efesos
Epic poetry	Epiikka
Epicenter	Episentrumi
Epictetus	Epiktetos
Epicurus	Epikuros
Epidemic	Epidemia
Epidemiology	Epidemiologia
Epigraphy	Epigrafiikka
Epilepsy	Epilepsia
Epimetheus (mythology)	Epimetheus
Epinephrine	Adrenaliini
Epiphany (Christian)	Loppiainen
Epirus (periphery)	Epeiros
Epistemology	Tietoteoria
Epistle to the Galatians	Kirje galatalaisille
Epistle to the Romans	Kirje roomalaisille
Epithelium	Epiteelikudos
Epsilon	Epsilon
Equation	Yhtälö
Equator	Päiväntasaaja
Equatorial Guinea	Päiväntasaajan Guinea
Equatorial Guinea	Luokka:Päiväntasaajan Guinea
Equidae	Hevoseläimet
Equinox	Päiväntasaus
Equisetum	Kortteet
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebos
Erectile dysfunction	Erektiohäiriö
Erection	Erektio
Ericaceae	Kanervakasvit
Ericales	Ericales
Eridanus (constellation)	Eridanus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (plutoidi)
Eris (mythology)	Eris
Eritrea	Luokka:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Eros
Erosion	Eroosio
Erotica	Erotiikka
Erwin Rommel	Erwin Rommel
Escape velocity	Pakonopeus
Eschatology	Eskatologia
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Ruokatorvi
Esperanto	Esperanto
Esperanto	Luokka:Esperanto
Espionage	Vakoilu
Espoo	Espoo
Espresso	Espresso
Essay	Essee
Essen	Essen
Essential oil	Eteerinen öljy
Essex	Essex
Ester	Esteri
Estonia	Luokka:Viro
Estrogen	Estrogeeni
Eta (letter)	Eeta
Etching	Etsaus (taidegrafiikka)
Ethane	Etaani
Ethanol	Etanoli
Ether	Eetteri
Ethernet	Ethernet
Ethics	Etiikka
Ethics	Luokka:Etiikka
Ethiopia	Etiopia
Ethiopia	Luokka:Etiopia
Ethnic group	Etninen ryhmä
Ethnography	Etnografia
Ethnology	Luokka:Kansatiede
Ethology	Etologia
Ethylene	Eteeni
Etymology	Etymologia
Eucalyptus	Eukalyptukset
Eucharist	Ehtoollinen
Euclid	Eukleides
Euclidean geometry	Euklidinen geometria
Eugene O'Neill	Eugene O'Neill
Eukaryote	Aitotumaiset
Eunuch	Eunukki
Euphemism	Kiertoilmaus
Euphrates	Eufrat
Eurasia	Euraasia
Eurasian Badger	Mäyrä
Euripides	Euripides
Euro	Euro
Europa (moon)	Europa (kuu)
Europa (mythology)	Europa (mytologia)
Europe	Eurooppa
Europe	Luokka:Eurooppa
European Central Bank	Euroopan keskuspankki
European Community	Euroopan yhteisö
European Magpie	Harakka
European Union	Euroopan unioni
European Union	Luokka:Euroopan unioni
Europium	Europium
Eusebius of Caesarea	Eusebios Kesarealainen
Euterpe	Euterpe
Euthanasia	Eutanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Haihtuminen
Even-toed ungulate	Sorkkaeläimet
Evolution	Evoluutio
Excalibur	Excalibur
Exchange rate	Vaihtokurssi
Exclamation mark	Huutomerkki
Excommunication	Ekskommunikaatio
Exhibitionism	Ekshibitionismi
Existentialism	Eksistentialismi
Exodus	Toinen Mooseksen kirja
Expected value	Odotusarvo
Experiment	Koe
Explosion	Räjähdys
Expo (exhibition)	Maailmannäyttely
Exponential function	Eksponenttifunktio
Exponentiation	Potenssi
Expressionism	Ekspressionismi
Extinction	Sukupuutto
Eye	Silmä
Eye	Luokka:Silmät
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Hernekasvit
Fable	Faabeli
Face	Kasvot
Fact	Malline:Lähde
Factorial	Kertoma
Factory	Tehdas
Facula	Auringonpilkku
Fado	Fado
Fagaceae	Luokka:Pyökkikasvit
Fagales	Pyökkimäiset
Fahrenheit	Fahrenheit-asteikko
Fairy	Keijukainen
Fairy tale	Satu
Falkland Islands	Falklandinsaaret
Fallacy	Argumentointivirhe
Fallopian tube	Munanjohdin
Fallow Deer	Kuusipeura
Falun Gong	Falun Gong
Family	Luokka:Perhe
Family history	Sukututkimus
Family name	Sukunimi
Fantasy	Fantasiakirjallisuus
Farad	Faradi
Faroe Islands	Luokka:Färsaaret
Fascism	Fasismi
Fashion	Luokka:Muoti
Fashion	Muoti
Fast food	Pikaruoka
Fasting	Paasto
Fatah	Fatah
Fatty acid	Rasvahappo
Fault (geology)	Lohkoliikunnot
Fauvism	Fauvismi
Fax	Faksi
Fear	Pelko
Feather	Höyhen
February	Helmikuu
February 12	12. helmikuuta
February 14	14. helmikuuta
February 2	2. helmikuuta
February 22	22. helmikuuta
February 29	29. helmikuuta
February Revolution	Helmikuun vallankumous
Feces	Uloste
Federal Bureau of Investigation	FBI
Federal Reserve System	Federal Reserve System
Federated States of Micronesia	Mikronesian liittovaltio
Federated States of Micronesia	Luokka:Mikronesian liittovaltio
Federation	Liittovaltio
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora (Linux-jakelu)
Feedback	Takaisinkytkentä
Feldspar	Maasälpä
Felidae	Kissaeläimet
Felix Mendelssohn	Felix Mendelssohn Bartholdy
Feminism	Feminismi
Feminism	Luokka:Feminismi
Fencing	Miekkailu
Feng shui	Fengshui
Fennel	Fenkoli
Fenrir	Fenris
Fenugreek	Rohtosarviapila
Ferdinand II	Ferdinand II
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Käyminen
Fermentation (food)	Käyminen
Fermion	Fermioni
Fermium	Fermium
Fern	Saniaiset
Ferrara	Ferrara
Ferry	Autolautta
Fertile Crescent	Hedelmällinen puolikuu
Fertilisation	Hedelmöitys
Fertilizer	Lannoite
Fetus	Sikiö
Feudalism	Feodalismi
Fever	Kuume
Fiat	Fiat
Fibonacci number	Fibonaccin lukujono
Fictional character	Kuvitteellinen hahmo
Fidel Castro	Fidel Castro
Field (mathematics)	Kunta (matematiikka)
Field hockey	Maahockey
Fighter aircraft	Hävittäjä (lentokone)
Figure skating	Taitoluistelu
Fiji	Fidži
Fiji	Luokka:Fidži
File Allocation Table	FAT
File Transfer Protocol	FTP
File system	Tiedostojärjestelmä
Filippo Brunelleschi	Filippo Brunelleschi
Film	Luokka:Elokuvataide
Film	Elokuva
Film	Teemasivu:Elokuva
Film director	Elokuvaohjaaja
Fin Whale	Sillivalas
Finance	Luokka:Rahoitus
Finance	Rahoitus
Finger	Sormi
Fingerprint	Sormenjälki
Finland	Suomi
Finland	Luokka:Suomi
Fir	Pihdat
Fire	Tuli
Firearm	Tuliase
Firefighter	Palokunta
Firewall (networking)	Palomuuri
Firmware	Firmware
First Council of Constantinople	Konstantinopolin ensimmäinen kirkolliskokous
First Council of Nicaea	Nikean ensimmäinen kirkolliskokous
First Crusade	Ensimmäinen ristiretki
First Epistle to the Corinthians	Ensimmäinen kirje korinttilaisille
First aid	Ensiapu
First language	Äidinkieli
Fish	Kala
Fish	Luokka:Kalat
Fishing	Kalastus
Fishing	Luokka:Kalastus
Fjord	Vuono
Flag	Lippu
Flagellum	Siima
Flamenco	Flamenco
Flamingo	Flamingot
Flanders	Flanderi
Flash memory	Flash-muisti
Flatulence	Pieru
Flatworm	Laakamadot
Flea	Kirput
Flemish (linguistics)	Flaamin kieli
Flint	Piikivi
Flip-flop (electronics)	Kiikku (tietokonetekniikka)
Flood	Tulva
Floppy disk	Levyke
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Luokka:Florida
Flour	Jauhot
Flower	Kukka
Flowering plant	Koppisiemeniset
Fluid	Fluidi
Fluid mechanics	Virtausmekaniikka
Fluorite	Fluoriitti
Flute	Huilu
Fly	Kaksisiipiset
Fog	Sumu
Folic acid	Foolihappo
Folk music	Kansanmusiikki
Folklore	Kansanperinne
Folklore	Luokka:Kansanperinne
Food	Ravinto
Food additive	Lisäaine
Food and Agriculture Organization	Yhdistyneiden kansakuntien elintarvike- ja maatalousjärjestö
Food chain	Ravintoketju
Foot	Jalkaterä
Foot (unit of length)	Jalka (mittayksikkö)
Football (soccer)	Jalkapallo
Football (soccer)	Luokka:Jalkapallo
Football (soccer) by country	Luokka:Jalkapallo maittain
Football (soccer) clubs	Luokka:Jalkapalloseurat
Football (soccer) managers	Luokka:Jalkapallovalmentajat
Football (soccer) players	Luokka:Jalkapalloilijat
Football (soccer) venues	Luokka:Jalkapallostadionit
Forbidden City	Kielletty kaupunki
Force	Voima (fysiikka)
Forest	Metsä
Forestry	Metsätalous
Fork	Haarukka
Form of government	Valtiomuoto
Formaldehyde	Formaldehydi
Formic acid	Muurahaishappo
Fornax	Sulatusuuni
Fort Worth	Fort Worth
Fortran	Fortran
Fossil	Fossiili
Fossil fuel	Fossiilinen polttoaine
Foucault pendulum	Foucault'n heiluri
Fountain	Suihkulähde
Fourier series	Fourier'n sarja
Fourth Crusade	Neljäs ristiretki
Fractal	Fraktaali
France	Ranska
France	Luokka:Ranska
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Frans I (Itävalta)
Francis Poulenc	Francis Poulenc
Francis of Assisi	Franciscus Assisilainen
Franciscan	Fransiskaanit
Francisco Franco	Francisco Franco
Francisco Goya	Francisco de Goya
Francisco Pizarro	Francisco Pizarro
Francium	Frankium
Franco-Prussian War	Ranskan–Preussin sota
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Frankfurt am Main
Frankfurt	Luokka:Frankfurt am Main
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt (disambiguation)	Frankfurt
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Fredrik I Barbarossa
Frederick II	Fredrik II (keisari)
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Free State
Free will	Vapaa tahto
Freedom (philosophy)	Vapaus
Freedom of speech	Sananvapaus
Freemasonry	Vapaamuurarit
Freetown	Freetown
Freeware	Ilmaisohjelma
French Polynesia	Ranskan Polynesia
French Polynesia	Luokka:Ranskan Polynesia
French Revolution	Ranskan suuri vallankumous
French Revolution	Luokka:Ranskan suuri vallankumous
French franc	Ranskan frangi
French people	Luokka:Ranskalaiset henkilöt
Frequency	Taajuus
Fresco	Fresko
Freshwater	Makea vesi
Fresno	Fresno
Freyja	Freija
Freyr	Freyr
Friction	Kitka
Friday	Perjantai
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friisinmaa
Frigate	Fregatti
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Sammakot
Fructose	Hedelmäsokeri
Fruit	Hedelmä
Fruit	Luokka:Hedelmät
Fucking	Fucking
Fuel	Polttoaine
Fuel cell	Polttokenno
Fugue	Fuuga
Fukuoka	Fukuoka
Full moon	Täysikuu
Funafuti	Funafuti
Function (mathematics)	Funktio
Fundamental	Luokka:Pääluokat
Fundamental interaction	Perusvuorovaikutus
Fundamentalism	Fundamentalismi
Fungi	Luokka:Sienet
Fungus	Sienet
Funicular	Funikulaari
Funk	Funk
Furniture	Luokka:Huonekalut
Furniture	Huonekalu
Future	Tulevaisuus
Futurism (art)	Futurismi
Fuzzy logic	Sumea logiikka
Fyodor Dostoevsky	Fjodor Dostojevski
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Luokka:Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galatia
Galaxy	Galaksi
Galen	Galenos
Galena	Lyijyhohde
Galicia (Central Europe)	Galitsia
Galicia (Spain)	Galicia
Galilee	Galilea
Galileo (spacecraft)	Galileo (luotain)
Galileo Galilei	Galileo Galilei
Gallbladder	Sappirakko
Galliformes	Kanalinnut
Galliformes	Luokka:Kanalinnut
Gallium	Gallium
Gallon	Gallona
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Uhkapeli
Game	Peli
Game theory	Peliteoria
Gamma	Gamma
Gamma ray	Gammasäteily
Ganesha	Ganesha
Ganges	Ganges
Ganja	Gəncə
Gansu	Gansu
Ganymede	Ganymedes (mytologia)
Ganymede (moon)	Ganymedes
Garden	Puutarha
Garden of Eden	Eedenin puutarha
Gardening	Puutarhanhoito
Garfield	Karvinen
Gargoyle	Gargoili
Garlic	Valkosipuli
Garnet	Granaatti
Garonne	Garonne
Gas	Kaasu
Gas constant	Kaasuvakio
Gas giant	Jättiläisplaneetta
Gasoline	Bensiini
Gastrointestinal tract	Ruoansulatuskanava
Gastropoda	Kotilot
Gaul	Gallia
Gautama Buddha	Siddhartha Gautama
Gaza	Gaza (kaupunki)
Gaza Strip	Gazan kaista
Gear	Hammaspyörä
Geb	Geb
Geisha	Geisha
Gemini (constellation)	Kaksoset (tähdistö)
Gemstone	Jalokivi
Gene	Geeni
Genealogy	Sukututkimus
Genealogy	Luokka:Sukututkimus
General Agreement on Tariffs and Trade	GATT
General Officer	Kenraali
General relativity	Yleinen suhteellisuusteoria
Genesis	Ensimmäinen Mooseksen kirja
Genetic code	Geneettinen koodi
Genetic engineering	Geenitekniikka
Genetics	Perinnöllisyystiede
Genetics	Luokka:Perinnöllisyystiede
Geneva	Geneve
Genie	Džinni
Genitive case	Genetiivi
Genoa	Genova
Genocide	Kansanmurha
Genocide	Luokka:Kansanmurhat
Genome	Genomi
Genotype	Genotyyppi
Genus	Suku (biologia)
Geochemistry	Geokemia
Geodesy	Geodesia
Geodesy	Luokka:Geodesia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Maantiede
Geography	Luokka:Maantiede
Geography	Teemasivu:Maantiede
Geology	Luokka:Geologia
Geology	Geologia
Geometric progression	Geometrinen sarja
Geometry	Geometria
Geometry	Luokka:Geometria
Geomorphology	Geomorfologia
Geomorphology	Luokka:Geomorfologia
Geophysics	Geofysiikka
Geophysics	Luokka:Geofysiikka
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Guyana)
Georgia (U.S. state)	Georgia (osavaltio)
Georgia (U.S. state)	Luokka:Georgia (osavaltio)
Georgia (country)	Georgia
Georgia (country)	Luokka:Georgia
Gerald Ford	Gerald Ford
German Shepherd Dog	Saksanpaimenkoira
German language	Saksan kieli
German mark	Saksan markka
Germanium	Germanium
Germany	Saksa
Germany	Luokka:Saksa
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Geysir
Ghana	Ghana
Ghana	Luokka:Ghana
Ghent	Gent
Ghetto	Ghetto
Ghost	Kummitus
Giacomo Puccini	Giacomo Puccini
Giant Panda	Isopanda
Gibbon	Gibbonit
Gibraltar	Gibraltar
Gibraltar	Luokka:Gibraltar
Gilgamesh	Gilgameš
Ginger	Inkivääri
Ginkgo	Neidonhiuspuut
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Kirahvi
Giraffidae	Kirahvieläimet
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Jäätikkö
Gladiator	Gladiaattori
Gland	Rauhanen
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Lasi
Glasses	Silmälasit
Glider	Purjelentokone
Global Positioning System	GPS
Global warming	Ilmaston lämpeneminen
Globalization	Globalisaatio
Globe artichoke	Latva-artisokka
Gloucestershire	Gloucestershire
Glucagon	Glukagoni
Glucose	Glukoosi
Gluon	Gluoni
Glutamic acid	Glutamiinihappo
Glycerol	Glyseroli
Glycine	Glysiini
Glycogen	Glykogeeni
Glycolysis	Glykolyysi
Gneiss	Gneissi
Gnosticism	Gnostilaisuus
Go (board game)	Go
Goa	Goa
Goalkeeper	Maalivahti
Goat	Vuohi
Gobi Desert	Gobi
God	Jumala
Golan Heights	Golanin kukkulat
Gold	Kulta
Golda Meir	Golda Meir
Golden Eagle	Maakotka
Golden Gate Bridge	Golden Gate Bridge
Golden Horde	Kultainen orda
Golden Retriever	Kultainennoutaja
Golf	Golf
Golf	Luokka:Golf
Golgi apparatus	Golgin laite
Gomel	Homel
Good Friday	Pitkäperjantai
Google	Google
Google	Luokka:Google
Googol	Googol
Gorgon	Gorgot
Gorilla	Gorilla
Goshawk	Kanahaukka
Gospel of Luke	Evankeliumi Luukkaan mukaan
Gothenburg	Göteborg
Gothic architecture	Gotiikka
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Kihti
Government	Hallinto
Grace Kelly	Grace Kelly
Gradient	Gradientti
Graffiti	Graffiti
Graham Greene	Graham Greene
