English	Vietnamese
Adam Smith	Adam Smith
Adansonia	Bao báp
Addis Ababa	Addis Ababa
Adelaide	Adelaide
Adenine	Adenine
Adenosine triphosphate	Adenosine triphosphate
Admiral	Đô đốc
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adriatic Sea	Biển Adriatic
Advertising	Quảng cáo
Aeneas	Aeneas
Aerodynamics	Khí động lực học
Aeschylus	Aeschylus
Aesthetics	Mỹ học
Affix	Phụ tố
Afghanistan	Afghanistan
Afghanistan	Thể loại:Afghanistan
Africa	Châu Phi
Africa	Thể loại:Châu Phi
African American	Người Mỹ gốc Phi
Afrikaans	Afrikaans
Agatha Christie	Agatha Christie
Agnatha	Siêu lớp Cá không hàm
Agnosticism	Thuyết bất khả tri
Agra	Agra
Agriculture	Nông nghiệp
Agriculture	Thể loại:Nông nghiệp
Aikido	Aikido
Ain	Ain
Air force	Không quân
Airbus	Airbus
Aircraft	Thể loại:Khí cụ bay
Aircraft carrier	Hàng không mẫu hạm
Airport	Sân bay
Ajax	Ajax
Ajax (programming)	Ajax (lập trình)
Akhenaten	Akhenaton
Akira Kurosawa	Kurosawa Akira
Al Gore	Al Gore
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Albania	Thể loại:Albania
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Alberta	Alberta
Alberta	Thể loại:Alberta
Album	Album
Albuquerque	Albuquerque, New Mexico
Alchemy	Giả kim thuật
Alchemy	Thể loại:Giả kim thuật
Alcohol	Rượu (hoá học)
Alcoholic beverage	Đồ uống có cồn
Alcoholism	Chứng nghiện rượu
Aldehyde	Anđehyt
Aldous Huxley	Aldous Huxley
Aleksandr Solzhenitsyn	Alexandr Isayevich Solzhenitsyn
Aleutian Islands	Quần đảo Aleutian
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pushkin	Aleksandr Sergeyevich Pushkin
Alexander the Great	Alexandros Đại đế
Alexandre Dumas	Alexandre Dumas
Alexandre Dumas	Alexandre Dumas con
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred the Great	Alfred Đại đế
Algae	Tảo
Algebra	Đại số
Algebra	Thể loại:Đại số
Algebraic number	Số đại số
Algeria	Algérie
Algeria	Thể loại:Algérie
Algiers	Algiers
Algorithm	Thuật toán
Alhambra	Pháo đài Alhambra
Alkali metal	Kim loại kiềm
Alkaloid	Ancaloit
Alkane	Ankan
Alkene	Anken
Allegory	Phúng dụ
Allele	Allele
Allen Ginsberg	Allen Ginsberg
Allosaurus	Allosaurus
Allotropy	Thù hình
Alloy	Hợp kim
Almaty	Almaty
Alpha (letter)	Alpha (chữ)
Alpha particle	Hạt alpha
Alps	Alps
Alsace	Alsace
Altair	Sao Ngưu Lang
Altay Mountains	Dãy núi Altay
Alternating current	Điện xoay chiều
Alternative medicine	Thể loại:Y học thay thế
Aluminium	Nhôm
Aluminium oxide	Ôxít nhôm
Amanita phalloides	Nấm tử thần
Amaryllidaceae	Họ Loa kèn đỏ
Amaterasu	Amaterasu
Amazon River	Sông Amazon
Amber	Hổ phách
American Civil War	Nội chiến Hoa Kỳ
American Samoa	Samoa thuộc Mỹ
American Standard Code for Information Interchange	ASCII
Amerigo Vespucci	Amerigo Vespucci
Amine	Amin
Amino acid	Axít amin
Amman	Amman
Ammeter	Ampe kế
Ammonia	Amoniac
Ampere	Ampe
Amplitude	Biên độ
Amsterdam	Amsterdam
Amur	Amur
Anaheim	Anaheim, California
Anal sex	Tình dục hậu môn
Analytic geometry	Hình học giải tích
Anatole France	Anatole France
Anatomy	Thể loại:Giải phẫu học
Anatomy	Giải phẫu học
Anchorage	Anchorage
Ancient history	Thể loại:Lịch sử cổ đại
Andalusia	Andalucia
Andaman Sea	Biển Andaman
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andrei Sakharov	Andrei Dmitrievich Sakharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andromeda (constellation)	Tiên Nữ
Andromeda Galaxy	Thiên hà Andromeda
Andy Warhol	Andy Warhol
Anemia	Thiếu máu
Anemometer	Máy đo gió
Anesthesia	Gây mê
Angara River	Sông Angara
Angel	Thiên sứ
Angel Falls	Thác nước Ángel
Angle	Góc
Anglicanism	Anh giáo
Angola	Angola
Angola	Thể loại:Angola
Anguilla	Anguilla
Angular momentum	Mô men động lượng
Angular velocity	Vận tốc góc
Aniline	Anilin
Animal	Động vật
Anime	Hoạt hình Nhật Bản
Anime	Thể loại:Anime
Ankara	Ankara
Anno Domini	Công Nguyên
Anseriformes	Bộ Ngỗng
Anseriformes	Thể loại:Bộ Ngỗng
Ant	Kiến
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Châu Nam Cực
Antenna (radio)	Ăngten
Anthrax	Bệnh than
Anthropology	Nhân chủng học
Anthropology	Thể loại:Nhân chủng học
Antibiotic	Kháng sinh
Antibody	Kháng thể
Antigen	Kháng nguyên
Antigua and Barbuda	Antigua và Barbuda
Antimatter	Phản vật chất
Antimony	Antimon
Antisemitism	Chủ nghĩa bài Do Thái
Antisemitism	Thể loại:Chủ nghĩa bài Do Thái
Antlia	Tức Đồng
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Chekhov	Anton Pavlovich Chekhov
Antonio Vivaldi	Antonio Vivaldi
Anus	Hậu môn
Apache	Apache
Aphrodite	Aphrodite (thần thoại)
Apiaceae	Họ Hoa tán
Apodiformes	Bộ Yến
Apollo	Apollo (thần thoại)
Apollo (disambiguation)	Apollo (định hướng)
Apollo program	Chương trình Apollo
Apollo program	Thể loại:Chương trình Apollo
Appalachian Mountains	Dãy Appalachian
Appendicitis	Viêm ruột thừa
Apple	Táo tây
Applied mathematics	Toán học ứng dụng
April	Tháng tư
April 14	14 tháng 4
April Fools' Day	Cá tháng tư
Apus	Thiên Yến
Aqua regia	Nước cường toan
Aquamarine	Ngọc berin
Aquarius (constellation)	Bảo Bình (chòm sao)
Aquila (constellation)	Thiên Ưng
Aquitaine	Aquitaine
Ara (constellation)	Thiên Đàn (chòm sao)
Arabian Peninsula	Bán đảo Ả Rập
Arabic language	Tiếng Ả Rập
Araceae	Họ Ráy
Aragon	Aragon
Aral Sea	Biển Aral
Archaeology	Khảo cổ học
Archaeology	Thể loại:Khảo cổ học
Archaeopteryx	Archaeopteryx
Archangel	Tổng lãnh thiên thần
Archean	Liên đại Thái cổ
Archimedes	Archimedes
Archipelago	Quần đảo
Architect	Kiến trúc sư
Architecture	Kiến trúc
Architecture	Thể loại:Kiến trúc
Arctic Ocean	Bắc Băng Dương
Area	Diện tích
Arecaceae	Họ Cau
Argentina	Argentina
Argentina	Thể loại:Argentina
Argon	Agon
Aries (constellation)	Bạch Dương (chòm sao)
Aristotle	Aristoteles
Arithmetic progression	Cấp số cộng
Arizona	Arizona
Arizona	Thể loại:Arizona
Arkansas	Arkansas
Arles	Arles
Armenia	Armenia
Armenia	Thể loại:Armenia
Army	Lục quân
Arras	Arras
Arsenic	Asen
Art	Nghệ thuật
Art history	Thể loại:Lịch sử nghệ thuật
Artemis	Artemis (thần thoại)
Artemisia (plant)	Chi Ngải
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, Công tước thứ nhất của Wellington
Artificial intelligence	Trí tuệ nhân tạo
Artillery	Pháo binh
Arts	Thể loại:Nghệ thuật
Aruba	Aruba
Asgard	Asgard (thần thoại)
Asia	Châu Á
Asia	Thể loại:Châu Á
Asmara	Asmara
Asphalt	Nhựa đường
Aspirin	Aspirin
Assam	Assam
Assassination	Ám sát
Assembly language	Hợp ngữ
Association of Southeast Asian Nations	Hiệp hội các quốc gia Đông Nam Á
Assyria	Assyria
Astana	Astana
Astatine	Astatin
Asteraceae	Họ Cúc
Asteroid	Tiểu hành tinh
Asteroid belt	Vành đai tiểu hành tinh
Asthenosphere	Quyển astheno
Asthma	Bệnh suyễn
Astigmatism (eye)	Loạn thị
Astrobiology	Sinh học thiên văn
Astronaut	Nhà du hành vũ trụ
Astronomical unit	Đơn vị thiên văn
Astronomy	Thiên văn học
Astronomy	Thể loại:Thiên văn học
Astronomy	Chủ đề:Thiên văn học
Astrophysics	Vật lý thiên văn
Astrophysics	Thể loại:Vật lý thiên văn
Asynchronous Transfer Mode	ATM (giao thức)
Atheism	Thể loại:Thuyết vô thần
Athena	Athena (thần thoại)
Athens	Athena
Athletics	Thể loại:Điền kinh
Atlanta	Atlanta, Georgia
Atlantic Ocean	Đại Tây Dương
Atlantic Ocean	Thể loại:Đại Tây Dương
Atlantis	Atlantis
Atoll	Đảo san hô vòng
Atom	Nguyên tử
Atomic clock	Đồng hồ nguyên tử
Atomic mass	Nguyên tử lượng
Atomic mass unit	Đơn vị khối lượng nguyên tử
Atomic number	Số nguyên tử
Au	Au
Auckland	Auckland
Auction	Đấu giá
August	Tháng tám
August 1	1 tháng 8
August 15	15 tháng 8
August 6	6 tháng 8
Auguste Comte	Auguste Comte
Augustine of Hippo	Augustine thành Hippo
Augustus	Augustus
Auriga (constellation)	Ngự Phu
Aurora (astronomy)	Cực quang
Austin	Austin, Texas
Australasia	Australasia
Australia	Úc
Australia	Thể loại:Úc
Australian dollar	Đô la Úc
Austria	Áo
Austria	Thể loại:Áo
Austria-Hungary	Đế quốc Áo-Hung
Autism	Tự kỷ
Autobiography	Tự truyện
Automobile	Ô tô
Autumn	Mùa thu
Auvergne (region)	Auvergne
Averroes	Averroes
Aviation	Thể loại:Hàng không
Aviation	Hàng không
Avignon	Avignon
Avocado	Bơ (thực vật)
Axiom	Tiên đề
Ayn Rand	Ayn Rand
Azerbaijan	Azerbaijan
Azerbaijan	Thể loại:Azerbaijan
Azores	Azores
Azurite	Azurit
B	B
BASIC	BASIC
Bacteria	Vi khuẩn
Bacteria	Thể loại:Vi khuẩn
Bactrian Camel	Lạc đà hai bướu
Badminton	Cầu lông
Baffin Bay	Vịnh Baffin
Baffin Island	Đảo Baffin
Baghdad	Bagdad
Bahamas	Thể loại:Bahamas
Bahrain	Bahrain
Bahrain	Thể loại:Bahrain
Baku	Baku
Baldr	Balder (thần thoại)
Balearic Islands	Quần đảo Balears
Bali	Bali
Balkans	Balkan
Ballet	Kịch múa
Ballistic missile	Tên lửa đạn đạo
Ballpoint pen	Bút bi
Baltic Sea	Biển Baltic
Baltimore	Baltimore, Maryland
Bamako	Bamako
Bamboo	Tre
Banana	Chuối
Bangalore	Bengaluru
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Thể loại:Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Ngân hàng
Banknote	Tiền giấy
Baptism	Báp têm
Baptist	Baptist
Barbados	Barbados
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Thể loại:Barcelona
Barents Sea	Biển Barents
Barium	Bari
Barometer	Áp kế
Barranquilla	Barranquilla
Barrel (unit)	Thùng (đơn vị)
Baryon	Baryon
Basalt	Bazan
Base (chemistry)	Bazơ
Baseball	Bóng chày
Baseball	Thể loại:Bóng chày
Basil	É
Basketball	Bóng rổ
Basketball	Thể loại:Bóng rổ
Basse-Normandie	Basse-Normandie
Bassoon	Kèn dăm kép
Bastille	Bastille
Batman	Người dơi
Battle of Austerlitz	Trận Austerlitz
Battle of Marathon	Trận Marathon
Battle of Midway	Trận Midway
Battle of Verdun	Trận Verdun
Battle of Waterloo	Trận Waterloo
Battle of the Bulge	Trận Ardennes (Thế chiến thứ hai)
Battle of the Somme	Trận Somme (1916)
Battleship	Thiết giáp hạm
Bauxite	Bauxit
Bavaria	Bayern
Bavaria	Thể loại:Bayern
Bay Laurel	Nguyệt quế
Bay of Bengal	Vịnh Bengal
Bayonne	Bayonne
Beaufort scale	Thang sức gió Beaufort
Becquerel	Becơren
Beer	Bia (đồ uống)
Beer	Thể loại:Bia
Beijing	Bắc Kinh
Beirut	Beirut
Belarus	Belarus
Belarus	Thể loại:Belarus
Belfast	Belfast
Belgium	Bỉ
Belgrade	Belgrade
Belize	Belize
Belo Horizonte	Belo Horizonte
Benelux	Benelux
Benin	Bénin
Benito Mussolini	Benito Mussolini
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Bergen	Bergen
Bering Sea	Biển Bering
Bering Strait	Eo biển Bering
Berlin	Berlin
Berlin	Thể loại:Berlin
Bermuda	Bermuda
Bermuda	Thể loại:Bermuda
Bermuda Triangle	Tam giác Bermuda
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Berili
Bette Davis	Bette Davis
Bhutan	Bhutan
Bhutan	Thể loại:Bhutan
Bible	Kinh Thánh
Bible	Thể loại:Kinh thánh
Bicycle	Xe đạp
Big Bang	Vụ Nổ Lớn
Bihar	Bihar
Bikini	Áo tắm hai mảnh
Bile	Mật
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binary star	Sao đôi
Biochemistry	Hóa sinh
Biochemistry	Thể loại:Hóa sinh
Biological warfare	Vũ khí sinh học
Biology	Sinh học
Biology	Thể loại:Sinh học
Biology	Wikipedia:Trang chính Sinh học
Biome	Quần xã sinh vật
Biophysics	Lý sinh học
Biosphere	Sinh quyển
Biotechnology	Công nghệ sinh học
Biotechnology	Thể loại:Công nghệ sinh học
Bird	Chim
Birmingham	Birmingham, Alabama
Bishkek	Bishkek
Bishop	Giám mục
Bismuth	Bitmut
Bissau	Bissau
Bit	Bit
Black	Đen
Black Sea	Biển Đen
Black body	Vật đen
Black hole	Hố đen
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (phần mềm)
Blitzkrieg	Chiến tranh chớp nhoáng
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Máu
Blood plasma	Huyết tương
Blood type	Nhóm máu
Blue	Xanh lam
Blue Whale	Cá voi xanh
Blues	Nhạc blues
Boat	Thuyền máy
Bob Dylan	Bob Dylan
Bobby Fischer	Bobby Fischer
Bodhisattva	Bồ Tát
Body mass index	Chỉ số khối cơ thể
Bohemia	Bohemia
Boiling point	Nhiệt độ bay hơi
Bolivia	Bolivia
Bollywood	Bollywood
Bolshevik	Bolshevik
Bomb	Bom
Bomber	Máy bay ném bom
Bond (finance)	Trái phiếu
Bone	Xương
Bone marrow	Tủy xương
Bonn	Bonn
Bonsai	Bonsai
Book	Sách
Book of Revelation	Sách Khải Huyền (Tân Ước)
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Pasternak	Boris Leonidovich Pasternak
Borneo	Borneo
Boron	Bo
Bosnia and Herzegovina	Bosna và Hercegovina
Boson	Boson
Bosporus	Eo biển Bosporus
Boston	Boston, Massachusetts
Bot	Tiêu bản:Bot
Botany	Thực vật học
Botany	Thể loại:Thực vật học
Botswana	Botswana
Botswana	Thể loại:Botswana
Bourgogne	Bourgogne
Bouvet Island	Đảo Bouvet
Bow (weapon)	Cung
Bowling	Bowling
Boxing	Quyền Anh
Brahmaputra River	Brahmaputra
Brain	Não
Brainstorming	Tập kích não
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brassicaceae	Họ Cải
Brassiere	Nịt ngực
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasil
Brazil	Thể loại:Brasil
Brazzaville	Brazzaville
Bread	Bánh mì
Breast	Vú
Breast cancer	Ung thư vú
Bremen	Bremen
Bretagne	Bretagne
Brick	Gạch
Bridge	Cầu
Bridges	Thể loại:Cầu
Bridgetown	Bridgetown
Brigade	Lữ đoàn
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
British Empire	Đế quốc Anh
British Virgin Islands	Quần đảo Virgin thuộc Anh
British people	Thể loại:Người Anh
Bromine	Brôm
Bronze	Đồng thiếc
Bronze Age	Thời đại đồ đồng
Brown	Nâu
Brown Bear	Gấu nâu
Bruce Lee	Lý Tiểu Long
Brunei	Brunei
Brunei	Thể loại:Brunei
Brussels	Bruxelles
Bubonic plague	Dịch hạch
Bucharest	Bucharest
Buckingham Palace	Cung điện Buckingham
Buckminster Fuller	Buckminster Fuller
Budapest	Budapest
Buddha	Phật
Buddhism	Phật giáo
Buddhism	Thể loại:Phật giáo
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Bulgaria	Thể loại:Bulgaria
Buoyancy	Lực đẩy Archimedes
Burkina Faso	Burkina Faso
Burma	Myanma
Burma	Thể loại:Myanma
Burundi	Thể loại:Burundi
Bus	Xe buýt
Businesspeople	Thể loại:Doanh nhân
Buster Keaton	Buster Keaton
Butane	Butan
Butter	Bơ
Butterfly	Bướm ngày
Byte	Byte
C	C
C (programming language)	C (ngôn ngữ lập trình)
CHAOS (Linux distribution)	CHAOS
CN Tower	Tháp CN
COBOL	COBOL
Cacao	Cacao
Cactus	Họ Xương rồng
Cadmium	Cadmi
Caelum	Điêu Cụ
Caesium	Xêzi
Caffeine	Caffein
Cairo	Cairo
Calais	Calais
Calcite	Canxit
Calcium	Canxi
Calcium carbonate	Cacbonat canxi
Calcium oxide	Ôxít canxi
Calculus	Giải tích
Calendar	Lịch
California	California
California	Thể loại:California
Caligula	Caligula
Calorie	Ca-lo
Calvados	Calvados
Calvin Coolidge	Calvin Coolidge
Cambodia	Campuchia
Cambodia	Thể loại:Campuchia
Cambrian	Kỷ Cambri
Cambridge	Cambridge
Cambridge	Cambridge, Massachusetts
Cambridge (disambiguation)	Cambridge (định hướng)
Camel	Lạc đà
Camembert (cheese)	Camembert (phó mát)
Camera	Máy ảnh
Cameroon	Cameroon
Canada	Canada
Canada	Thể loại:Canada
Canal	Kênh đào
Canary Islands	Quần đảo Canaria
Canary Islands	Thể loại:Quần đảo Canaria
Canberra	Canberra
Cancer	Ung thư
Cancer (constellation)	Cự Giải (chòm sao)
Canidae	Họ Chó
Canis Major	Đại Khuyển
Canis Minor	Tiểu Khuyển
Cannabis	Cần sa
Cannes	Cannes
Cannibalism	Ăn thịt đồng loại
Canon (company)	Canon
Canterbury	Canterbury
Cantonese (linguistics)	Tiếng Quảng Đông
Canute the Great	Canute Đại đế
Capacitance	Điện dung
Capacitor	Tụ điện
Cape Horn	Cape Horn
Cape Town	Cape Town
Cape Verde	Cabo Verde
Cape of Good Hope	Mũi Hảo Vọng
Capital	Thủ đô
Capital (economics)	Tư bản
Capital punishment	Tử hình
Capitalism	Chủ nghĩa tư bản
Capricornus	Ma Kiết (chòm sao)
Caracas	Caracas
Carambola	Khế
Carat (mass)	Cara
Carat (purity)	Cara
Carbon	Cacbon
Carbon dioxide	Điôxít cacbon
Carbon monoxide	Mônôxít cacbon
Carboniferous	Kỷ Than đá
Carboxylic acid	Axít cacboxylic
Carburetor	Bộ chế hòa khí
Cardiff	Cardiff
Cardinal (Catholicism)	Hồng y
Cardiovascular system	Thể loại:Hệ tim mạch
Carina (constellation)	Thuyền Để
Carnivora	Bộ Ăn thịt
Carolus Linnaeus	Carl von Linné
Cartesian coordinate system	Hệ tọa độ Descartes
Cartography	Bản đồ học
Cartography	Thể loại:Bản đồ học
Caryophyllales	Bộ Cẩm chướng
Casablanca	Casablanca
Cashew	Điều
Casino	Sòng bạc
Caspian Sea	Biển Caspi
Cassiopeia (constellation)	Tiên Hậu
Cast iron	Gang
Castling	Nhập thành
Castries	Castries
Cat	Mèo
Cataphract	Cataphract
Cataract	Cườm thủy tinh thể mắt
Catfish	Bộ Cá da trơn
Cathedral	Nhà thờ chính tòa
Catholicism	Công giáo
Catullus	Catullus
Cauliflower	Súp lơ
Causality	Hiệu ứng vật lý
Cavalry	Kỵ binh
Cave	Hang
Caviar	Trứng cá muối
Cayenne	Cayenne
Cayman Islands	Quần đảo Cayman
Celery	Cần tây
Celestial mechanics	Thể loại:Cơ học thiên thể
Celestial mechanics	Cơ học thiên thể
Celestial sphere	Thiên cầu
Cell (biology)	Tế bào
Cell membrane	Màng tế bào
Cello	Hồ cầm
Cellulose	Cellulose
Celsius	Độ Celsius
Cenozoic	Đại Tân sinh
Census	Điều tra dân số
Centaur	Nhân mã
Centaurus	Bán Nhân Mã
Center of mass	Khối tâm
Centimetre	Xentimét
Central Africa	Trung Phi
Central African Republic	Cộng hoà Trung Phi
Central Intelligence Agency	Cơ quan Tình báo Trung ương Hoa Kỳ
Central Powers	Liên minh Trung tâm
Central bank	Ngân hàng trung ương
Central nervous system	Hệ thần kinh trung ương
Central processing unit	CPU
Centre	Centre
Centriole	Trung tử
Century	Thế kỷ
Cepheus (constellation)	Tiên Vương
Ceres (dwarf planet)	Ceres (hành tinh lùn)
Cerium	Xeri
Cesare Borgia	Cesare Borgia
Cetacea	Bộ Cá voi
Cetus	Kình Ngư
Chad	Tchad
Chamaeleon	Yển Diên
Champagne (wine)	Sâm panh
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Đường hầm eo biển Manche
Charlemagne	Charlemagne
Charles	Thái tử Charles, Hoàng tử xứ Wales
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Charles II le Chauve
Charlie Chaplin	Charlie Chaplin
Charmed	Phép thuật (phim truyền hình)
Chartres	Chartres
Chauvinism	Chủ nghĩa Sôvanh
Che Guevara	Che Guevara
Chechnya	Chechnya
Cheese	Pho mát
Cheetah	Báo săn
Chemical bond	Liên kết hóa học
Chemical compound	Hợp chất
Chemical element	Nguyên tố hóa học
Chemical reaction	Phản ứng hóa học
Chemical warfare	Vũ khí hóa học
Chemistry	Hóa học
Chemistry	Thể loại:Hóa học
Chemistry	Wikipedia:Trang chính Hóa học
Chemnitz	Chemnitz
Chennai	Chennai
Chernobyl	Chernobyl
Chert	Đá lửa (lịch sử)
Chess	Cờ vua
Chess	Thể loại:Cờ vua
Chester A. Arthur	Chester A. Arthur
Chewing gum	Kẹo cao su
Chiang Kai-shek	Tưởng Giới Thạch
Chicago	Chicago
Chickenpox	Bệnh thủy đậu
Child	Trẻ em
Chile	Chile
Chimera (mythology)	Chimera (thần thoại)
Chimpanzee	Tinh tinh
China	Thể loại:Trung Quốc
China	Trung Quốc
Chlorine	Clo
Chloroform	Clorofom
Chlorophyll	Diệp lục
Chloroplast	Lục lạp
Chocolate	Sô-cô-la
Choir	Hợp xướng
Cholera	Bệnh tả
Cholesterol	Cholesterol
Chongqing	Trùng Khánh
Chordate	Động vật có dây sống
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kitô giáo
Christianity	Thể loại:Kitô giáo
Christmas	Giáng sinh
Christmas	Thể loại:Giáng sinh
Christmas tree	Cây Giáng sinh
Christopher Columbus	Cristoforo Colombo
Chromatography	Sắc kí
Chromium	Crom
Chromosome	Nhiễm sắc thể
Church (building)	Nhà thờ
Church of England	Giáo hội Anh
Ciconiiformes	Bộ Hạc
Cigarette	Thuốc lá
Cinnabar	Chu sa
Circinus	Viên Quy
Circulatory system	Hệ tuần hoàn
Citric acid cycle	Chu trình Krebs
Citrus	Chi Cam chanh
Civil war	Nội chiến
Civilization	Văn minh
Clarinet	Kèn dăm đơn
Class	Lớp
Class (biology)	Lớp (sinh học)
Class (computer science)	Lớp (khoa học máy tính)
Classical mechanics	Cơ học cổ điển
Classical music	Âm nhạc cổ điển
Claude Monet	Claude Monet
Claudius	Claudius
Clay	Đất sét
Cleveland	Cleveland, Ohio
Client-server	Client-server
Climate	Thể loại:Khí hậu
Climatology	Khí hậu học
Climatology	Thể loại:Khí hậu học
Clinical depression	Trầm cảm
Clitoris	Âm vật
Clock	Đồng hồ
Clock Tower	Big Ben
Cloud	Mây
Clove	Đinh hương (gia vị)
Clover	Cỏ ba lá (Trifolium)
Clovis I	Clovis I
Coal	Than đá
Cobalt	Coban
Cocaine	Cocain
Coccinellidae	Bọ rùa
Cockroach	Gián
Cocktail	Cocktail
Coconut	Dừa
Cocos (Keeling) Islands	Quần đảo Cocos (Keeling)
Coffea	Cà phê (thực vật)
Coffee	Cà phê
Coffee	Thể loại:Cà phê
Cognac (drink)	Cô nhắc
Cognitive science	Khoa học nhận thức
Cold War	Chiến tranh Lạnh
Cold War	Thể loại:Chiến tranh Lạnh
Colin Powell	Colin Powell
Colloid	Hệ keo
Cologne	Köln
Colombia	Colombia
Colombia	Thể loại:Colombia
Colombo	Colombo
Colonel	Đại tá
