English	Czech
Aleppo	Aleppo
Aleutian Islands	Aleutské ostrovy
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pope	Alexander Pope
Alexander Pushkin	Alexandr Sergejevič Puškin
Alexander the Great	Alexandr Veliký
Alexandre Dumas	Alexandre Dumas starší
Alexandre Dumas	Alexandre Dumas mladší
Alexandria	Alexandrie
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfréd Veliký
Algae	Řasy
Algebra	Algebra
Algebra	Kategorie:Algebra
Algebraic number	Algebraické číslo
Algeria	Alžírsko
Algeria	Kategorie:Alžírsko
Algiers	Alžír
Algorithm	Algoritmus
Alhambra	Alhambra
Ali	Alí
Alkali metal	Alkalický kov
Alkaloid	Alkaloidy
Alkane	Alkany
Alkene	Alkeny
Alkyne	Alkyny
Allah	Alláh
Allegory	Jinotaj
Allele	Alela
Allen Ginsberg	Allen Ginsberg
Allergy	Alergie
Alliteration	Aliterace
Allophone	Alofon
Allosaurus	Allosaurus
Allotropy	Alotropie
Alloy	Slitina
Almanac	Almanach
Almaty	Almaty
Alpha Centauri	Alfa Centauri
Alpha particle	Alfa částice
Alphabet	Abeceda
Alps	Alpy
Alps	Kategorie:Alpy
Alsace	Alsasko
Altair	Altair
Altar	Oltář
Altay Mountains	Altaj (pohoří)
Alternating current	Střídavý proud
Alternative medicine	Kategorie:Alternativní medicína
Altruism	Altruismus
Aluminium	Hliník
Aluminium oxide	Oxid hlinitý
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerova choroba
Amanita muscaria	Muchomůrka červená
Amanita phalloides	Muchomůrka zelená
Amaryllidaceae	Amarylkovité
Amaterasu	Amaterasu
Amazon River	Amazonka
Ambassador	Vyslanec
Amber	Jantar
Ambrose	Ambrosius
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhartová
American Bison	Bizon americký
American Black Bear	Medvěd baribal
American Civil War	Americká občanská válka
American Revolutionary War	Americká válka za nezávislost
American Samoa	Americká Samoa
American Standard Code for Information Interchange	ASCII
American football	Americký fotbal
American football	Kategorie:Americký fotbal
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametyst
Amharic	Amharština
Amide	Amidy
Amine	Aminy
Amino acid	Aminokyseliny
Amish	Amišové
Amman	Ammán
Ammeter	Ampérmetr
Ammonia	Amoniak
Amnesia	Amnézie
Amnesty	Amnestie
Ampere	Ampér
Amphibian	Obojživelníci
Amphitheatre	Amfiteátr
Amphora	Amfora
Amplitude	Amplituda
Amsterdam	Amsterdam
Amun	Amon
Amur	Amur
Anabaptist	Novokřtěnci
Anagram	Anagram
Anaheim	Anaheim
Anal sex	Anální sex
Analytic geometry	Analytická geometrie
Anarchism	Anarchismus
Anarchism	Kategorie:Anarchismus
Anarchy	Anarchie
Anatidae	Kachnovití
Anatole France	Anatole France
Anatomy	Kategorie:Anatomie
Anatomy	Anatomie
Anaxagoras	Anaxagorás
Anaximander	Anaximandros
Anchor	Kotva (lodní)
Anchorage	Anchorage
Ancient Greek	Starořečtina
Ancient history	Kategorie:Starověk
Andalusia	Andalusie
Andaman Sea	Andamanské moře
Anders Celsius	Anders Celsius
Andes	Andy
Andhra Pradesh	Ándhrapradéš
Andorra	Andorra
Andorra	Kategorie:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Dmitrijevič Sacharov
Andrei Tarkovsky	Andrej Tarkovskij
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Souhvězdí Andromedy
Andromeda (mythology)	Andromeda (mytologie)
Andromeda Galaxy	Galaxie v Andromedě
Andy Warhol	Andy Warhol
Anemia	Chudokrevnost
Anemometer	Anemometr
Anesthesia	Anestezie
Angara River	Angara
Angel	Anděl
Angel Falls	Salto Ángel
Angle	Úhel
Anglicanism	Anglikánství
Angola	Angola
Angola	Kategorie:Angola
Anguilla	Anguilla
Angular momentum	Moment hybnosti
Angular velocity	Úhlová rychlost
Anicius Manlius Severinus Boethius	Anicius Manlius Severinus Boëthius
Aniline	Anilin
Animal	Živočichové
Animation	Animace
Anime	Anime
Anime	Kategorie:Anime
Animism	Animismus
Anise	Bedrník anýz
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Boleynová
Annelid	Kroužkovci
Anno Domini	Anno Domini
Anode	Anoda
Anorexia nervosa	Mentální anorexie
Anseriformes	Vrubozobí
Anseriformes	Kategorie:Vrubozobí
Ant	Mravencovití
Antakya	Antiochie
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktida
Antarctica	Kategorie:Antarktida
Antares	Antares
Antenna (radio)	Anténa
Anthony Hopkins	Anthony Hopkins
Anthrax	Anthrax
Anthropology	Antropologie
Anthropology	Kategorie:Antropologie
Anthroposophy	Antroposofie
Antibiotic	Antibiotikum
Antibody	Protilátka
Antichrist	Antikrist
Anticyclone	Anticyklóna
Antigen	Antigen
Antigone	Antigona
Antigua and Barbuda	Antigua a Barbuda
Antigua and Barbuda	Kategorie:Antigua a Barbuda
Antimatter	Antihmota
Antimony	Antimon
Antioxidant	Antioxidant
Antipope	Vzdoropapež
Antisemitism	Antisemitismus
Antisemitism	Kategorie:Antisemitismus
Antlia	Souhvězdí Vývěvy
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Pavlovič Čechov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonymum
Antwerp	Antverpy
Antwerp (province)	Antverpy (provincie)
Anubis	Anup
Anus	Řitní otvor
Aorta	Aorta
Apache	Apačové
Apatite	Apatit
Aphorism	Aforismus
Aphrodite	Afrodita
Apia	Apia
Apiaceae	Miříkovité
Apocrypha	Apokryf
Apollo	Apollón
Apollo (disambiguation)	Apollo
Apollo program	Program Apollo
Apollo program	Kategorie:Program Apollo
Apoptosis	Apoptóza
Appalachian Mountains	Appalačské pohoří
Appendicitis	Apendicitida
Apple	Jablko
Applied mathematics	Aplikovaná matematika
Apricot	Meruňka obecná
April	Duben
April 14	14. duben
April Fools' Day	Apríl
Apse	Apsida (architektura)
Apulia	Apulie
Apus	Souhvězdí Rajky
Aqaba	Akaba
Aqua regia	Lučavka královská
Aquamarine	Akvamarín
Aquarium	Akvárium
Aquarius (constellation)	Souhvězdí Vodnáře
Aqueduct	Akvadukt
Aquila (constellation)	Souhvězdí Orla
Aquitaine	Akvitánie
Ara (constellation)	Souhvězdí Oltáře
Arab	Arabové
Arab League	Liga arabských států
Arabian Peninsula	Arabský poloostrov
Arabian Sea	Arabské moře
Arabic alphabet	Arabské písmo
Arabic language	Arabština
Araceae	Árónovité
Arachnid	Pavoukovci
Arafura Sea	Arafurské moře
Aragon	Aragonie
Aral Sea	Aralské jezero
Aram Khachaturian	Aram Iljič Chačaturjan
Arcadia	Arkádie
Arcangelo Corelli	Arcangelo Corelli
Archaeology	Archeologie
Archaeology	Kategorie:Archeologie
Archaeopteryx	Archaeopteryx
Archangel	Archanděl
Archbishop	Arcibiskup
Archean	Archaikum
Archetype	Archetyp
Archimedes	Archimédés
Archipelago	Souostroví
Architect	Architekt
Architecture	Architektura
Architecture	Kategorie:Architektura
Archive	Archiv
Archosaur	Archosauři
Arctic	Arktida
Arctic Circle	Severní polární kruh
Arctic Ocean	Severní ledový oceán
Arctic fox	Liška polární
Ardennes	Ardenny
Ardennes (department)	Ardennes (departement)
Are	Ar (jednotka plochy)
Area	Obsah
Arecaceae	Arekovité
Ares	Áres
Argentina	Argentina
Argentina	Kategorie:Argentina
Argon	Argon
Aria	Árie
Ariadne	Ariadna
Arianism	Ariánství
Aries (constellation)	Souhvězdí Berana
Aristarchus of Samos	Aristarchos ze Samu
Aristophanes	Aristofanés
Aristotle	Aristotelés
Arithmetic	Aritmetika
Arithmetic	Kategorie:Aritmetika
Arithmetic progression	Aritmetická posloupnost
Arius	Areios
Arizona	Arizona
Arizona	Kategorie:Arizona
Ark of the Covenant	Archa úmluvy
Arkansas	Arkansas
Arkansas	Kategorie:Arkansas
Arles	Arles
Armenia	Arménie
Armenia	Kategorie:Arménie
Armenian language	Arménština
Arminius	Arminius
Armour	Zbroj
Army	Armáda
Arnhem	Arnhem
Arno River	Arno
Arnold Schoenberg	Arnold Schoenberg
Aromatic hydrocarbon	Areny
Arquebus	Arkebuza
Arrow	Šíp
Arsenic	Arsen
Art	Umění
Art Deco	Art deco
Art Nouveau	Secese
Art history	Dějiny umění
Artemis	Artemis
Artemisia (plant)	Pelyněk
Artemisia absinthium	Pelyněk pravý
Arthropod	Členovci
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, první vévoda z Wellingtonu
Artificial intelligence	Umělá inteligence
Artificial intelligence	Kategorie:Umělá inteligence
Artillery	Dělostřelectvo
Artillery	Kategorie:Dělostřelectvo
Artist	Umělec
Arts	Kategorie:Umění
Aruba	Aruba
Aruba	Kategorie:Aruba
Asbestos	Azbest
Asclepius	Asklépios
Asexuality	Asexualita
Asgard	Ásgard
Ash Wednesday	Popeleční středa
Asia	Asie
Asia	Kategorie:Asie
Asmara	Asmara
Aspartame	Aspartam
Asphalt	Asfalt
Aspirin	Kyselina acetylsalicylová
Assam	Ásám (indický stát)
Assassination	Atentát
Assembly language	Assembler
Association of Southeast Asian Nations	Sdružení národů jihovýchodní Asie
Assyria	Asýrie
Assyria	Kategorie:Asýrie
Astana	Astana
Astatine	Astat
Asteraceae	Hvězdnicovité
Asteraceae	Kategorie:Hvězdnicovité
Asteroid	Asteroid
Asteroid belt	Hlavní pás
Asthenosphere	Astenosféra
Asthma	Astma
Astigmatism (eye)	Astigmatismus (medicína)
Astrakhan	Astrachaň
Astrobiology	Astrobiologie
Astrolabe	Astroláb
Astrology	Astrologie
Astrology	Kategorie:Astrologie
Astrometry	Astrometrie
Astronaut	Kosmonaut
Astronomical unit	Astronomická jednotka
Astronomy	Astronomie
Astronomy	Kategorie:Astronomie
Astronomy	Portál:Astronomie
Astrophysics	Astrofyzika
Astrophysics	Kategorie:Astrofyzika
Aswan	Asuán
Asymptote	Asymptota
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	Atacama
Atheism	Kategorie:Ateismus
Athena	Athéna
Athens	Athény
Athletics	Kategorie:Atletika
Athletics (track and field)	Atletika
Atlanta	Atlanta
Atlantic Ocean	Atlantský oceán
Atlantic Ocean	Kategorie:Atlantský oceán
Atlantis	Atlantida
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (měsíc)
Atlas (mythology)	Atlás (mytologie)
Atlas Mountains	Atlas (pohoří)
Atmosphere	Atmosféra
Atmosphere (unit)	Atmosféra (jednotka)
Atmospheric pressure	Atmosférický tlak
Atoll	Atol
Atom	Atom
Atomic clock	Atomové hodiny
Atomic mass	Relativní atomová hmotnost
Atomic mass unit	Atomová hmotnostní konstanta
Atomic number	Atomové číslo
Atomic physics	Atomová fyzika
Atreus	Átreus
Atropine	Atropin
Attica	Attika
Attila the Hun	Attila
Au	AU
Auckland	Auckland
Auction	Aukce
August	Srpen
August 1	1. srpen
August 15	15. srpen
August 6	6. srpen
August Strindberg	August Strindberg
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustinus
Augustus	Augustus
Auriga (constellation)	Souhvězdí Vozky
Aurora	Aurora
Aurora (astronomy)	Polární záře
Austin	Austin
Australia	Austrálie
Australia	Kategorie:Austrálie
Australian dollar	Australský dolar
Australopithecus	Australopithecus
Austria	Rakousko
Austria	Kategorie:Rakousko
Austria-Hungary	Rakousko-Uhersko
Author	Autor
Authority	Autorita
Autism	Autismus
Auto racing	Motorsport
Autobiography	Autobiografie
Automobile	Automobil
Autotroph	Autotrofie
Autumn	Podzim
Auvergne (region)	Auvergne
Avalanche	Lavina
Avant-garde	Avantgarda
Avena	Oves
Averroes	Averroes
Avesta	Avesta
Aviation	Kategorie:Letectví
Aviation	Letectví
Avicenna	Avicenna
Avignon	Avignon
Avocado	Hruškovec přelahodný
Avogadro's law	Avogadrův zákon
Axe	Sekera
Axiom	Axiom
Axon	Axon
Ayatollah	Ájatolláh
Azerbaijan	Ázerbájdžán
Azerbaijan	Kategorie:Ázerbájdžán
Azimuth	Azimut
Azores	Azory
Aztec	Aztécká říše
Azurite	Azurit
B	B
BASIC	BASIC
Babylon	Babylon
Babylonia	Babylonie
Backgammon	Vrhcáby
Bacteria	Bakterie
Bacteria	Kategorie:Bakterie
Bacteriophage	Bakteriofág
Bactrian Camel	Velbloud dvouhrbý
Badminton	Badminton
Baffin Bay	Baffinův záliv
Baffin Island	Baffinův ostrov
Baghdad	Bagdád
Bahamas	Kategorie:Bahamy
Bahrain	Bahrajn
Bahrain	Kategorie:Bahrajn
Baku	Baku
Balalaika	Balalajka
Balance sheet	Rozvaha
Baldr	Baldr
Balearic Islands	Baleáry
Baleen whale	Kosticovci
Bali	Bali
Balkan Wars	Balkánské války
Balkans	Balkán
Ball	Míč
Ballet	Balet
Ballet	Kategorie:Balet
Ballistic missile	Balistická raketa
Ballpoint pen	Propisovací tužka
Baltic Sea	Baltské moře
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambus
Banana	Banán
Banana republic	Banánová republika
Bangalore	Bengalúru
Bangkok	Bangkok
Bangladesh	Bangladéš
Bangladesh	Kategorie:Bangladéš
Bangui	Bangui
Banjul	Banjul
Bank	Banka
Banknote	Bankovka
Banks	Kategorie:Banky
Baptism	Křest
Baptist	Baptisté
Bar (unit)	Bar (jednotka)
Barbados	Barbados
Barbados	Kategorie:Barbados
Barbarian	Barbar
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Kategorie:Barcelona
Barents Sea	Barentsovo moře
Bari	Bari
Barium	Baryum
Barley	Ječmen
Barn Owl	Sova pálená
Barn Swallow	Vlaštovka obecná
Barometer	Barometr
Baron	Baron
Baroque	Baroko
Barranquilla	Barranquilla
Barrel (unit)	Barel
Baryon	Baryon
Basalt	Čedič
Base (chemistry)	Zásaditost
Baseball	Baseball
Baseball	Kategorie:Baseball
Basel	Basilej
Bash	Bash
Basidiomycota	Stopkovýtrusné houby
Basil	Bazalka pravá
Basil of Caesarea	Basileios Veliký
Basilica	Bazilika
Basilicata	Basilicata
Basiliscus	Basiliskos
Basilisk	Bazilišek
Basketball	Basketbal
Basketball	Kategorie:Basketbal
Basra	Basra
Bass guitar	Basová kytara
Basse-Normandie	Dolní Normandie
Bassoon	Fagot
Bastille	Bastila
Bat	Letouni
Bath	Bath
Batman	Batman (komiks)
Battalion	Prapor (jednotka)
Battle of Austerlitz	Bitva u Slavkova
Battle of Britain	Bitva o Británii
Battle of Hastings	Bitva u Hastingsu
Battle of Lepanto (1571)	Bitva u Lepanta (1571)
Battle of Marathon	Bitva u Marathonu
Battle of Midway	Bitva u Midway
Battle of Thermopylae	Bitva u Thermopyl
Battle of Trafalgar	Bitva u Trafalgaru
Battle of Verdun	Bitva u Verdunu
Battle of Waterloo	Bitva u Waterloo
Battle of the Bulge	Bitva v Ardenách
Battle of the Somme	Bitva na Sommě
Battleship	Bitevní loď
Bauhaus	Bauhaus (výtvarná škola)
Bauxite	Bauxit
Bavaria	Bavorsko
Bavaria	Kategorie:Bavorsko
Bay Laurel	Vavřín ušlechtilý
Bay of Bengal	Bengálský záliv
Bay of Biscay	Biskajský záliv
Bayer	Bayer
Bayonet	Bajonet
Bayonne	Bayonne
Beach	Pláž
Beagle	Bígl
Beak	Zobák
Bear	Medvědovití
Beaufort scale	Beaufortova stupnice
Beaver	Bobr
Bebop	Bebop
Becquerel	Becquerel
Bed	Postel
Bede	Beda Venerabilis
Bedouin	Beduíni
Bee	Včela
Beekeeping	Kategorie:Včelařství
Beer	Pivo
Beer	Kategorie:Pivo
Beetle	Brouci
Behaviorism	Behaviorismus
Beijing	Peking
Beirut	Bejrút
Belarus	Bělorusko
Belarus	Kategorie:Bělorusko
Belfast	Belfast
Belgium	Belgie
Belgium	Kategorie:Belgie
Belgrade	Bělehrad
Belisarius	Belisar
Belize	Belize
Belize	Kategorie:Belize
Bell (instrument)	Zvon
Bellerophon	Bellerofontés
Belly dance	Břišní tanec
Belo Horizonte	Belo Horizonte
Beluga	Běluha severní
Benelux	Benelux
Bengal	Bengálsko
Benghazi	Benghází
Benin	Benin
Benin	Kategorie:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Beringovo moře
Bering Strait	Beringův průliv
Berkelium	Berkelium
Berlin	Berlín
Berlin	Kategorie:Berlín
Bermuda	Bermudy
Bermuda	Kategorie:Bermudy
Bermuda Triangle	Bermudský trojúhelník
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Berry	Bobule
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryl
Beryllium	Beryllium
Betelgeuse	Betelgeuze
Bethlehem	Betlém
Beverly Hills	Beverly Hills
Bhutan	Bhútán
Bhutan	Kategorie:Bhútán
Bible	Bible
Bible	Kategorie:Bible
Bicycle	Jízdní kolo
Big Bang	Velký třesk
Bihar	Bihár
Bikini	Bikiny
Bile	Žluč
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binary star	Dvojhvězda
Binoculars	Triedr
Biochemistry	Biochemie
Biochemistry	Kategorie:Biochemie
Biodiversity	Biologická diverzita
Biography	Biografie
Biological warfare	Biologická zbraň
Biology	Biologie
Biology	Kategorie:Biologie
Biology	Portál:Biologie
Biomass	Biomasa
Biome	Biom
Biometrics	Biometrie
Biophysics	Biofyzika
Biopsy	Biopsie
Biosphere	Biosféra
Biotechnology	Biotechnologie
Biotechnology	Kategorie:Biotechnologie
Biotin	Vitamín H
Bipolar disorder	Bipolární afektivní porucha
Birch	Bříza
Bird	Ptáci
Birth control	Antikoncepce
Bisexuality	Bisexualita
Bishkek	Biškek
Bishop	Biskup
Bishop (chess)	Střelec (šachy)
Bismarck (disambiguation)	Bismarck
Bismuth	Bismut
Bissau	Bissau
Bit	Bit
Bithynia	Bithýnie
Bivalvia	Mlži
Black	Černá
Black Forest	Schwarzwald
Black Kite	Luňák hnědý
Black Sea	Černé moře
Black Stork	Čáp černý
Black body	Absolutně černé těleso
Black hole	Černá díra
Black pepper	Pepř černý
Blackbird	Kos černý
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Slepota
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Krev
Blood plasma	Krevní plazma
Blood pressure	Tlak krve
Blood type	Krevní skupina
Blood vessel	Céva
Blue	Modrá
Blue Whale	Plejtvák obrovský
Blues	Blues
Boar	Prase divoké
Board game	Desková hra
Boat	Člun
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Robert J. Fischer
Bodhisattva	Bódhisattva
Body mass index	Index tělesné hmotnosti
Bodybuilding	Kulturistika
Bohemia	Čechy
Bohrium	Bohrium
Boiling point	Teplota varu
Boise	Boise
Boletus edulis	Hřib smrkový
Bolivia	Bolívie
Bolivia	Kategorie:Bolívie
Bollywood	Bollywood
Bologna	Bologna
Bolzano	Bolzano
Bomb	Bomba
Bomber	Bombardér
Bombyx mori	Bourec morušový
Bond (finance)	Dluhopis
Bone	Kost
Bone marrow	Kostní dřeň
Bonn	Bonn
Bonsai	Bonsaj
Book	Kniha
Book of Esther	Kniha Ester
Book of Joshua	Kniha Jozue
Book of Judges	Kniha Soudců
Book of Numbers	Numeri
Book of Revelation	Zjevení Janovo
Book of Ruth	Kniha Rút
Boolean algebra (structure)	Booleova algebra
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Boris Fjodorovič Godunov
Boris Pasternak	Boris Leonidovič Pasternak
Boris Spassky	Boris Spasskij
Boron	Bor (prvek)
Bosnia and Herzegovina	Bosna a Hercegovina
Bosnia and Herzegovina	Kategorie:Bosna a Hercegovina
Boson	Boson
Bosporus	Bospor
Boston	Boston
Boston Tea Party	Bostonské pití čaje
Bot	Šablona:Bot
Botanical garden	Botanická zahrada
Botany	Botanika
Botany	Kategorie:Botanika
Botswana	Botswana
Botswana	Kategorie:Botswana
Bottle	Láhev
Bottlenose Dolphin	Delfín skákavý
Bourgogne	Burgundsko
Bouvet Island	Bouvetův ostrov
Bovid	Turovití
Bow (weapon)	Luk
Bowling	Bowling
Boxer (dog)	Německý boxer
Boxers	Kategorie:Boxeři
Boxing	Box
Boxing	Kategorie:Box
Boyle's law	Boyleův-Mariottův zákon
Bracket	Závorky
Braga	Braga
Brahma	Brahmá
Brahmaputra River	Brahmaputra
Braille	Braillovo písmo
Brain	Mozek
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Braniborsko
Brandy	Brandy
Brass	Mosaz
Brassiere	Podprsenka
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brazílie
Brazil	Kategorie:Brazílie
Brazzaville	Brazzaville
Bread	Chléb
Breast	Prs
Breast cancer	Karcinom prsu
Bremen	Brémy
Bremen (state)	Svobodné hanzovní město Brémy
Bremerhaven	Bremerhaven
