Estonian	English
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Sanders Peirce	Charles Peirce
Charles de Gaulle	Charles de Gaulle
Charles II Paljaspea	Charles the Bald
Charleston (Lääne-Virginia)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Võluvägi	Charmed
Charon (kaaslane)	Charon (moon)
Charon	Charon (mythology)
Šovinism	Chauvinism
Che Guevara	Che Guevara
Tšetšeeni Vabariik	Chechnya
Kategooria:Tšetšeenia	Chechnya
Juust	Cheese
Gepard	Cheetah
Tšeljabinsk	Chelyabinsk
Keemiline side	Chemical bond
Keemiline ühend	Chemical compound
Keemiline element	Chemical element
Keemiline reaktsioon	Chemical reaction
Keemia	Chemistry
Kategooria:Keemia	Chemistry
Chemnitz	Chemnitz
Chennai	Chennai
Tšornobõl	Chernobyl
Ränikivi	Chert
Male	Chess
Kategooria:Male	Chess
Chester A. Arthur	Chester A. Arthur
Närimiskumm	Chewing gum
Cheyenne	Cheyenne
Jiang Jieshi	Chiang Kai-shek
Chicago	Chicago
Kana	Chicken
Chihuahua osariik	Chihuahua
Laps	Child
Tšiili	Chile
Kategooria:Tšiili	Chile
Kimäär	Chimera (mythology)
Šimpans (perekond)	Chimpanzee
Kategooria:Hiina	China
Hiina#Hiina Rahvavabariik	China
Chíos	Chios
Cheiron	Chiron
Kloor	Chlorine
Klorofüll	Chlorophyll
Kloroplast	Chloroplast
Šokolaad	Chocolate
Koorilaul	Choir
Koolera	Cholera
Kolesterool	Cholesterol
Kõhrkalad	Chondrichthyes
Chongqing	Chongqing
Akord	Chord (music)
Keelikloomad	Chordate
Christiaan Huygens	Christiaan Huygens
Kristlus	Christianity
Kategooria:Kristlus	Christianity
Jõulud	Christmas
Christoph Kolumbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromatiin	Chromatin
Kroom	Chromium
Kromosoom	Chromosome
Chuck Berry	Chuck Berry
Tšuktši meri	Chukchi Sea
Kirik (pühakoda)	Church (building)
Anglikaani kirik	Church of England
Cicero	Cicero
Kinaver	Cinnabar
Tseiloni kaneelipuu	Cinnamon
Ringjoon	Circle
Ümberlõikamine	Circumcision
Kodanik	Citizenship
Sidrunhape	Citric acid
Tsitrus	Citrus
Linnriik	City-state
Tsivilisatsioon	Civilization
Klarnet	Clarinet
Klass (bioloogia)	Class (biology)
Klassikaline muusika	Classical music
Klassitsism	Classicism
Claude Monet	Claude Monet
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Rangluu	Clavicle
Savi	Clay
Noodivõti	Clef
Cleveland	Cleveland
Kliima	Climate
Kliimamuutus	Climate change
Klimatoloogia	Climatology
Kategooria:Klimatoloogia	Climatology
Depressioon	Clinical depression
Big Ben	Clock Tower
Kategooria:Riietus	Clothing
Pilv	Cloud
Chlodowech I	Clovis I
Ainuõõssed	Cnidaria
Kivisüsi	Coal
Rannik	Coast
Vapp	Coat of arms
Koobalt	Cobalt
Kokaiin	Cocaine
Lepatriinulased	Coccinellidae
Prussakalised	Cockroach
Kookospalm	Coconut
Kookossaared	Cocos (Keeling) Islands
Kohv	Coffee
Konjak	Cognac (drink)
Tunnetusteadus	Cognitive science
Münt	Coin
Külm sõda	Cold War
Colin Powell	Colin Powell
Kollaaž	Collage
Köln	Cologne
Colombia	Colombia
Kategooria:Colombia	Colombia
Colombo	Colombo
Kolonel	Colonel
Koloonia	Colony
Värvus	Color
Värvipimedus	Color blindness
Colorado	Colorado
Kategooria:Colorado	Colorado
Colorado jõgi	Colorado River
Colosseum	Colosseum
Rhodose koloss	Colossus of Rhodes
Columbia	Columbia
Kooma	Coma
Põlemine	Combustion
Komöödia	Comedy
Jan Amos Komenský	Comenius
Komeet	Comet
SRÜ	Commonwealth of Independent States
Rahvaste Ühendus	Commonwealth of Nations
Kommunikatsioon	Communication
Kommunism	Communism
Kategooria:Kommunism	Communism
Komoorid	Comoros
CD (andmekandja)	Compact Disc
Kompanii	Company (military unit)
Kompass	Compass
Sirkel	Compass (drafting)
Konkurents	Competition
Kompilaator	Compiler
Kompleksarv	Complex number
Helilooja	Composer
Arvutilingvistika	Computational linguistics
Arvuti	Computer
Fail	Computer file
Riistvara	Computer hardware
Arvutivõrk	Computer network
Arvutiprogramm	Computer program
Programmeerimine	Computer programming
Informaatika	Computer science
Kategooria:Informaatika	Computer science
Tarkvara	Computer software
Arvutiviirus	Computer virus
CAD	Computer-aided design
Conakry	Conakry
Kontsentratsioon	Concentration
Concord	Concord
Betoon	Concrete
Koonus	Cone (geometry)
Ameerika Riikide Konföderatsioon	Confederate States of America
Konföderatsioon	Confederation
Leer	Confirmation
Konfutsianism	Confucianism
Kong Fuzi	Confucius
Kongo	Congo
Kongo jõgi	Congo River
Connecticut	Connecticut
Kategooria:Connecticut	Connecticut
Konsensus	Consensus
Energia jäävuse seadus	Conservation of energy
Konservatism	Conservatism
Constantinus Suur	Constantine I
Konstantinoopol	Constantinople
Tähtkuju	Constellation
Põhiseadus	Constitution (political)
Konsul (Vana-Rooma)	Consul
Maailmajagu	Continent
Mandrite triiv	Continental drift
Mandrilava	Continental shelf
Leping	Contract
Bridž	Contract bridge
Kopenhaagen	Copenhagen
Vask	Copper
Autoriõigus	Copyright
Inglissarv	Cor anglais
Korallid	Coral
Korallimeri	Coral Sea
Korallrahu	Coral reef
Aedkoriander	Coriander
Coriolisi efekt	Coriolis effect
Cork	Cork (city)
Cornwall	Cornwall
Ettevõte	Corporation
Korsika	Corsica
Korund	Corundum
Korvett	Corvette
Kosmiline kiirgus	Cosmic ray
Kosmoloogia	Cosmology
Costa Rica	Costa Rica
Kategooria:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Coulombi seadus	Coulomb's law
Kontrapunkt	Counterpoint
Kantrimuusika	Country music
Kohus	Court
Kovalentne side	Covalent bond
Krabilised	Crab
Cremona	Cremona
Kriit (ajastu)	Cretaceous
Kreeta	Crete
Kriket	Cricket
Kuritegu	Crime
Krimm	Crimea
Horvaatia	Croatia
Kategooria:Horvaatia	Croatia
Kronos	Cronus
Rist	Cross
Ristleja	Cruiser
Maakoor	Crust (geology)
Vähilaadsed	Crustacean
Lõunarist	Crux
Krüptograafia	Cryptography
Kristall	Crystal
Kristallograafia	Crystallography
Kategooria:Kristallograafia	Crystallography
Kammloomad	Ctenophore
Kuuba	Cuba
Kategooria:Kuuba	Cuba
Kuup	Cube
Kubism	Cubism
Kultuur	Culture
Kategooria:Kultuur	Culture
Cumbria	Cumbria
Curitiba	Curitiba
Kuurium	Curium
Jääkeegel	Curling
Valuuta	Currency
Sinivetikad	Cyanobacteria
Küberneetika	Cybernetics
Küberpunk	Cyberpunk
Küklaadid	Cyclades
Jalgrattasõit	Cycling
Kategooria:Jalgrattasport	Cycling
Tsüklon	Cyclone
Kükloobid	Cyclops
Lõikheinalised	Cyperaceae
Küpros	Cyprus
Kategooria:Küpros	Cyprus
Kirillitsa	Cyrillic alphabet
Tsüstiline fibroos	Cystic fibrosis
Tsütoplasma	Cytoplasm
Tšehhi	Czech Republic
Kategooria:Tšehhi	Czech Republic
Tšehhoslovakkia	Czechoslovakia
D	D
David Herbert Lawrence	D. H. Lawrence
Desoksüribonukleiinhape	DNA
DVD	DVD
Taks	Dachshund
Dadaism	Dada
Pistoda	Dagger
Dakar	Dakar
Dalai-laama	Dalai Lama
Dallas	Dallas
Damaskus	Damascus
Tants	Dance
Kategooria:Tants	Dance
Võilill	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Taani kroon	Danish krone
Dante Alighieri	Dante Alighieri
Doonau	Danube
Dar es Salaam	Dar es Salaam
Dardanellid	Dardanelles
Darmstadtium	Darmstadtium
Darwin (Austraalia)	Darwin
Darwin	Darwin
Andmebaas	Database
Daugavpils	Daugavpils
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Ööpäev	Day
De facto	De facto
Surnumeri	Dead Sea
Surm	Death
Aastakümned	Decade
Detsember	December
31. detsember	December 31
8. detsember	December 8
Detsibell	Decibel
Decius	Decius (emperor)
Kääne (astronoomia)	Declination
Deco	Deco
Deduktsioon	Deductive reasoning
Definitsioon	Definition
Deflatsioon	Deflation
Deism	Deism
Delaware	Delaware
Kategooria:Delaware	Delaware
Delfi	Delphi
Demagoogia	Demagogy
Dementsus	Dementia
Demeter	Demeter
Demokraatia	Democracy
Demokraatlik Partei (USA)	Democratic Party (United States)
Kongo Demokraatlik Vabariik	Democratic Republic of the Congo
Demokritos	Democritus
Demograafia	Demography
Kategooria:Demograafia	Demography
Deemon	Demon
Demosthenes	Demosthenes
Denis Diderot	Denis Diderot
Taani	Denmark
Kategooria:Taani	Denmark
Tihedus	Density
Denver	Denver
Tuletis (matemaatika)	Derivative
Dermatoloogia	Dermatology
Des Moines	Des Moines
Kõrb	Desert
Kategooria:Kõrbed	Deserts
Erasmus Rotterdamist	Desiderius Erasmus
Hävitaja	Destroyer
Determinant	Determinant
Determinism	Determinism
Detroit	Detroit
Deuteerium	Deuterium
Arengupsühholoogia	Developmental psychology
Devoni krahvkond	Devon
Devon	Devonian
Kaste (meteoroloogia)	Dew
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Suhkurtõbi	Diabetes mellitus
Murre	Dialect
Dialektika	Dialectic
Diameeter	Diameter
Teemant	Diamond
Diana Frances Mountbatten-Windsor	Diana
Diana	Diana (mythology)
Ränivetikad	Diatom
Diktatuur	Dictatorship
Diego Rivera	Diego Rivera
Diferentsiaalvõrrand	Differential equation
Digitaalfotograafia	Digital photography
Dijon	Dijon
Mõõde	Dimension
Dingo	Dingo
Dinosaurused	Dinosaur
Diocletianus	Diocletian
Diood	Diode
Dionysos	Dionysus
Difteeria	Diphtheria
Diplomaatia	Diplomacy
Kategooria:Diplomaatia	Diplomacy
Dire Straits	Dire Straits
Alalisvool	Direct current
Disahhariidid	Disaccharide
Kategooria:Täpsustusleheküljed	Disambiguation
Diskursus	Discourse
Haigus	Disease
Diviis	Division (military)
Dizzy Gillespie	Dizzy Gillespie
Kategooria:Djibouti	Djibouti
Djibouti (linn)	Djibouti (city)
Dmitri Mendelejev	Dmitri Mendeleev
Dmitri Šostakovitš	Dmitri Shostakovich
Dnepr	Dnieper River
Dnipropetrovsk	Dnipropetrovsk
Dobermann	Doberman Pinscher
Kiriku doktor	Doctor of the Church
Dokument	Document
Korrapärane dodekaeeder	Dodecahedron
Dodo	Dodo
Dodoma	Dodoma
Koer	Dog
Dogma	Dogma
Ad-Dawḩah	Doha
Dollar	Dollar
Dolmen	Dolmen
Dolomiit	Dolomite
Domeen (bioloogia)	Domain (biology)
Dominica	Dominica
Kategooria:Dominica	Dominica
Dominiiklased	Dominican Order
Dominikaani Vabariik	Dominican Republic
Kategooria:Dominikaani Vabariik	Dominican Republic
Domitianus	Domitian
Don	Don River (Russia)
Piilupart Donald	Donald Duck
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Dopamiin	Dopamine
Doppleri efekt	Doppler effect
Dooria stiil	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Kontrabass	Double bass
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Dover	Dover
Downi sündroom	Down syndrome
Valgla	Drainage basin
Kabe	Draughts
Unenägu	Dream
Dresden	Dresden
Sõltuvus (narkoloogia)	Drug addiction
Trumm	Drum
Dualism	Dualism
Keha ja vaimu dualism	Dualism (philosophy of mind)
Dubai emiraat	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Hertsog	Duke
Duke Ellington	Duke Ellington
Duke'i ülikool	Duke University
Luide	Dune
Dušanbe	Dushanbe
Kategooria:Hollandi inimesed	Dutch people
Dwight Eisenhower	Dwight D. Eisenhower
Dünaamika	Dynamics (physics)
Düsproosium	Dysprosium
Düstoopia	Dystopia
E (arv)	E (mathematical constant)
E-kiri	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
Euskadi ta Askatasuna	ETA
Kotkad	Eagle
Kõrv	Ear
Hülglased	Earless seal
Maa (planeet)	Earth
Maateadus	Earth science
Maavärin	Earthquake
Ida	East
Ida-Aafrika	East Africa
Ida-Hiina meri	East China Sea
Saksa Demokraatlik Vabariik	East Germany
Ida-Sussex	East Sussex
Ida-Timor	East Timor
Kategooria:Ida-Timor	East Timor
Õigeusk	Eastern Orthodox Church
Ebro	Ebro
Echidna	Echidna (mythology)
Okasnahksed	Echinoderm
Päikesevarjutus	Eclipse
Ekliptika	Ecliptic
Ökoloogiline nišš	Ecological niche
Ökoloogia	Ecology
Ökonomeetria	Econometrics
Majandusteadus	Economics
Kategooria:Majandusteadus	Economics
Majandusteadus	Economy
Ökosüsteem	Ecosystem
Ecuador	Ecuador
Kategooria:Ecuador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Haridus	Education
Kategooria:Haridus	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Usutunnistaja	Edward the Confessor
Edwin Powell Hubble	Edwin Hubble
Angerjalised	Eel
Egiptus	Egypt
Kategooria:Egiptus	Egypt
Egiptuse nael	Egyptian pound
Egüptoloogia	Egyptology
Eiffeli torn	Eiffel Tower
Einsteinium	Einsteinium
Rodrigo Díaz de Vivar	El Cid
El Paso	El Paso
El Salvador	El Salvador
Kategooria:El Salvador	El Salvador
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Valimised	Election
Elektrilaeng	Electric charge
Elektrivool	Electric current
Elektriväli	Electric field
Elektrimootor	Electric motor
Kategooria:Elektrotehnika	Electrical engineering
Elektrotehnika	Electrical engineering
Elektritakistus	Electrical resistance
Elekter	Electricity
Elektrokardiogramm	Electrocardiogram
Elektrokeemia	Electrochemistry
Elektrolüüs	Electrolysis
Elektrolüüt	Electrolyte
Elektromagnetlaine	Electromagnetic radiation
Elektromagnetism	Electromagnetism
Elektron	Electron
Elektroonika	Electronics
Element	Element
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellips (geomeetria)	Ellipse
Elvis Presley	Elvis Presley
Embrüo	Embryo
Embrüoloogia	Embryology
Smaragd	Emerald
Emilia Romagna	Emilia-Romagna
Emily Dickinson	Emily Dickinson
Emma Goldman	Emma Goldman
Emotikon	Emoticon
Emotsioon	Emotion
Empaatia	Empathy
Empedokles	Empedocles
Keiser	Emperor
Keiserpingviin	Emperor Penguin
Empire State Building	Empire State Building
Emulaator	Emulator
Emulsioon	Emulsion
Entsüklopeedia	Encyclopedia
Endeemne liik	Endemism
Energia	Energy
Energia	Energy (society)
Inglismaa	England
La Manche	English Channel
Inglise keel	English language
Enrico Fermi	Enrico Fermi
Kategooria:Meelelahutus	Entertainment
Entomoloogia	Entomology
Entroopia	Entropy
Kategooria:Looduskaitse	Environment
Keskkond	Environment
Ensüüm	Enzyme
Eotseen	Eocene
Eoon (geoloogia)	Eon (geology)
Epitsenter	Epicenter
Epilepsia	Epilepsy
Adrenaliin	Epinephrine
Epistemoloogia	Epistemology
Pauluse kiri roomlastele	Epistle to the Romans
Võrrand	Equation
Ekvaator	Equator
Ekvatoriaal-Guinea	Equatorial Guinea
Hobuslased	Equidae
Võrdpäevsus	Equinox
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebos	Erebus
Kanarbikulised	Ericaceae
Kanarbikulaadsed	Ericales
Eriidanus	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
136199 Eris	Eris (dwarf planet)
Eris	Eris (mythology)
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosioon	Erosion
Erootika	Erotica
Erwin Rommel	Erwin Rommel
Paokiirus	Escape velocity
Eshatoloogia	Eschatology
Soolekepike	Escherichia coli
Söögitoru	Esophagus
Esperanto	Esperanto
Espoo	Espoo
Espresso	Espresso
Essee	Essay
Essen	Essen
Essex	Essex
Estrid	Ester
Kategooria:Eesti	Estonia
Östrogeenid	Estrogen
Ofort	Etching
Etaan	Ethane
Etanool	Ethanol
Eetrid	Ether
Ethernet	Ethernet
Eetika	Ethics
Kategooria:Eetika	Ethics
Etioopia	Ethiopia
Kategooria:Etioopia	Ethiopia
Etnos	Ethnic group
Etnograafia	Ethnography
Etoloogia	Ethology
Etüleen	Ethylene
Etümoloogia	Etymology
Armulaua sakrament	Eucharist
Eukleidese geomeetria	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Eukarüoodid	Eukaryote
Eunuhh	Eunuch
Eufrat	Euphrates
Euraasia	Eurasia
Mäger	Eurasian Badger
Euro	Euro
Europa	Europa (moon)
Europe	Europa (mythology)
Euroopa	Europe
Kategooria:Euroopa	Europe
Euroopa Keskpank	European Central Bank
Harakas	European Magpie
Euroopa Liit	European Union
Kategooria:Euroopa Liit	European Union
Euroopium	Europium
Eutanaasia	Euthanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Aurumine	Evaporation
Evolutsioon	Evolution
Hüüumärk	Exclamation mark
Ekskommunikatsioon	Excommunication
Täidesaatev võim	Executive (government)
Ekshibitsionism	Exhibitionism
Eksistentsialism	Existentialism
Teine Moosese raamat	Exodus
Eksperiment	Experiment
Astendamine	Exponentiation
Ekspressionism	Expressionism
Väljasuremine	Extinction
Silm	Eye
Kategooria:Silm	Eye
Ezra Pound	Ezra Pound
Liblikõielised	Fabaceae
Valm	Fable
Mall:Lisa viide	Fact
Faktoriaal	Factorial
Päikeseplekk	Facula
Fado	Fado
Pöögilaadsed	Fagales
Fahrenheiti skaala	Fahrenheit
Muinasjutt	Fairy tale
Falklandi saared	Falkland Islands
Sugukond (bioloogia)	Family (biology)
Genealoogia	Family history
Imeulme	Fantasy
Kaug-Ida	Far East
Farad	Farad
Fašism	Fascism
Kategooria:Fašism	Fascism
Kategooria:Mood	Fashion
Mood	Fashion
Paast	Fasting
Murrang	Fault (geology)
Loomastik	Fauna
Fovism	Fauvism
Hirm	Fear
Veebruar	February
12. veebruar	February 12
14. veebruar	February 14
2. veebruar	February 2
22. veebruar	February 22
29. veebruar	February 29
Veebruarirevolutsioon	February Revolution
FBI	Federal Bureau of Investigation
Föderaalreserv	Federal Reserve System
Mikroneesia Liiduriigid	Federated States of Micronesia
Föderatsioon	Federation
Federico Fellini	Federico Fellini
Päevakivi	Feldspar
Kaslased	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Feminism	Feminism
Kategooria:Feminism	Feminism
Vehklemine	Fencing
Feng shui	Feng shui
Fenrir	Fenrir
Ferdinand II (Saksa-Rooma keiser)	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Anaeroobne glükolüüs	Fermentation (biochemistry)
Anaeroobne glükolüüs	Fermentation (food)
Fermionid	Fermion
Fermium	Fermium
Sõnajalgtaimed	Fern
Ferrara	Ferrara
Väetis	Fertilizer
Feodalism	Feudalism
Fibonacci jada	Fibonacci number
Fidel Castro	Fidel Castro
Korpus (matemaatika)	Field (mathematics)
Maahoki	Field hockey
Hävituslennuk	Fighter aircraft
Iluuisutamine	Figure skating
Fidži	Fiji
Kategooria:Fidži	Fiji
Failisüsteem	File system
Filippo Brunelleschi	Filippo Brunelleschi
Kategooria:Filmikunst	Film
Filmikunst	Film
Heeringavaal	Fin Whale
Soome	Finland
Kategooria:Soome	Finland
Põlemine	Fire
Tulemüür (informaatika)	Firewall (networking)
I Konstantinoopoli kirikukogu	First Council of Constantinople
I Nikaia kirikukogu	First Council of Nicaea
Esimene ristisõda	First Crusade
Kalad	Fish
Kategooria:Kalad	Fish
Fjord	Fjord
Lipp	Flag
Vibur	Flagellum
Flamenko	Flamenco
Flamingo (perekond)	Flamingo
Lameussid	Flatworm
Kirbulised	Flea
Diskett	Floppy disk
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Kategooria:Florida	Florida
Jahu	Flour
Õis	Flower
Katteseemnetaimed	Flowering plant
Fluoriit	Fluorite
Flööt	Flute
Kahetiivalised	Fly
Udu	Fog
Foolhape	Folic acid
Rahvaluule	Folklore
Toit	Food
Toidulisaained	Food additive
Toitumisahel	Food chain
Jalg (pikkusühik)	Foot (unit of length)
Jalgpall	Football (soccer)
Kategooria:Jalgpall	Football (soccer)
Kategooria:Jalgpall riigiti	Football (soccer) by country
Kategooria:Jalgpalliklubid	Football (soccer) clubs
Kategooria:Jalgpallurid	Football (soccer) players
Keelatud linn	Forbidden City
Jõud (füüsika)	Force
Mets	Forest
Metsandus	Forestry
Formaldehüüd	Formaldehyde
Metaanhape	Formic acid
Ahi (tähtkuju)	Fornax
Fort Worth	Fort Worth
Kivistis	Fossil
Fossiilne kütus	Fossil fuel
Neljas ristisõda	Fourth Crusade
Prantsusmaa	France
Kategooria:Prantsusmaa	France
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Franz II Joseph Karl (Saksa-Rooma keiser)	Francis II
Francis Poulenc	Francis Poulenc
Franciscus Assisist	Francis of Assisi
Frantsisklased	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Frantsium	Francium
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Frankfurt
Kategooria:Frankfurt	Frankfurt
Frankfurt Oderi ääres	Frankfurt (Oder)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Ferenc Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Friedrich I Barbarossa	Frederick I
Friedrich II (Saksa-Rooma keiser)	Frederick II
Free State	Free State
Vaba tahe	Free will
Vabadus	Freedom (philosophy)
Sõnavabadus	Freedom of speech
Vabamüürlus	Freemasonry
Freetown	Freetown
Vabavara	Freeware
Prantsuse Polüneesia	French Polynesia
Kategooria:Prantsuse Polüneesia	French Polynesia
Suur Prantsuse revolutsioon	French Revolution
Prantsuse frank	French franc
Kategooria:Prantsusmaa inimesed	French people
Sagedus	Frequency
Fresko	Fresco
Magevesi	Freshwater
Freya	Freyja
Freyr	Freyr
Hõõrdumine	Friction
Reede	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friisimaa provints	Friesland
Frigg	Frigg
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Päriskonnalised	Frog
Fruktoos	Fructose
Vili	Fruit
Fucking	Fucking
Fuuga	Fugue
Fukuoka	Fukuoka
Funafuti	Funafuti
Funktsioon (matemaatika)	Function (mathematics)
Fundamentalism	Fundamentalism
Kategooria:Seened	Fungi
Seened	Fungus
Funk	Funk
Mööbel	Furniture
Futurism	Futurism (art)
Hägusloogika	Fuzzy logic
Fjodor Dostojevski	Fyodor Dostoevsky
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Kategooria:Gabon	Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gadoliinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia	Gaia (mythology)
Galaatia	Galatia
Galaktika	Galaxy
Galenos	Galen
Galeniit	Galena
Galiitsia	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galilea	Galilee
Galileo Galilei	Galileo Galilei
Galeer	Galley
Gallium	Gallium
Hasartmäng	Gambling
Mäng	Game
Gammakiirgus	Gamma ray
Ganges	Ganges
Gəncə	Ganja
Gansu	Gansu
Ganymedes	Ganymede
Aed	Garden
Eedeni aed	Garden of Eden
Aiandus	Gardening
Küüslauk	Garlic
Granaadid	Garnet
Garonne	Garonne
Gaas	Gas
Universaalne gaasikonstant	Gas constant
Bensiin	Gasoline
Teod	Gastropoda
Gallia	Gaul
Siddhārtha Gautama	Gautama Buddha
Gei	Gay
Gaza tsoon	Gaza Strip
Hammasratas	Gear
Geb	Geb
Geiša	Geisha
Kaksikud (tähtkuju)	Gemini (constellation)
Vääriskivi	Gemstone
Geen	Gene
Genealoogia	Genealogy
Kategooria:Genealoogia	Genealogy
Üldine Tolli- ja Kaubanduskokkulepe	General Agreement on Tariffs and Trade
Kindral	General Officer
Üldrelatiivsusteooria	General relativity
Esimene Moosese raamat	Genesis
Geneetiline kood	Genetic code
Geneetika	Genetics
Kategooria:Geneetika	Genetics
Genf	Geneva
Genova	Genoa
Genotsiid	Genocide
Genoom	Genome
Genotüüp	Genotype
Perekond (bioloogia)	Genus
Geokeemia	Geochemistry
Geodeesia	Geodesy
Geograafia	Geography
Kategooria:Geograafia	Geography
Portaal:Geograafia	Geography
Kategooria:Geoloogia	Geology
Geoloogia	Geology
Geomeetria	Geometry
Kategooria:Geomeetria	Geometry
Geomorfoloogia	Geomorphology
Kategooria:Geomorfoloogia	Geomorphology
Geofüüsika	Geophysics
Kategooria:Geofüüsika	Geophysics
Geopoliitika	Geopolitics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georgia	Georgia (U.S. state)
Kategooria:Georgia	Georgia (U.S. state)
Gruusia	Georgia (country)
Kategooria:Gruusia	Georgia (country)
Gerald Ford	Gerald Ford
Saksa lambakoer	German Shepherd Dog
Saksa keel	German language
Saksa mark	German mark
Germaanium	Germanium
Saksamaa	Germany
Kategooria:Saksamaa	Germany
Gestapo	Gestapo
Geiser	Geyser
Ghana	Ghana
Kategooria:Ghana	Ghana
Gent	Ghent
Geto	Ghetto
Giacomo Puccini	Giacomo Puccini
Gibraltar	Gibraltar
Gilgameš	Gilgamesh
Hõlmikpuu	Ginkgo
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Kaelkirjak	Giraffe
Girolamo Savonarola	Girolamo Savonarola
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Liustik	Glacier
Gladiaator	Gladiator
Glasgow	Glasgow
Glasnost	Glasnost
Klaas	Glass
GPS	Global Positioning System
Globaalne soojenemine	Global warming
Globaliseerumine	Globalization
Gloucestershire	Gloucestershire
Glükoos	Glucose
Glütserool	Glycerol
Glükolüüs	Glycolysis
Gneiss	Gneiss
Gnostitsism	Gnosticism
Go	Go (board game)
Goa osariik	Goa
Gobi	Gobi Desert
Jumal	God
Golani kõrgendikud	Golan Heights
Kuld	Gold
Golda Meir	Golda Meir
Kaljukotkas	Golden Eagle
Kuldhord	Golden Horde
Golf	Golf
Kategooria:Golf	Golf
Homiel	Gomel
Google	Google
Gorgod	Gorgon
Evangeelium	Gospel
Luuka evangeelium	Gospel of Luke
Grace Kelly	Grace Kelly
Gradient	Gradient
Grafiti	Graffiti
Graham Greene	Graham Greene
Gramm	Gram
Grammatika	Grammar
Suure slämmi turniirid	Grand Slam (tennis)
Graniit	Granite
Greibipuu	Grapefruit
GUI	Graphical user interface
Grafiit	Graphite
Gravitatsioon	Gravitation
Gravitatsioonikonstant	Gravitational constant
Grei	Gray (unit)
Hunt	Gray Wolf
Graz	Graz
