English	Turkish
Butterfly effect	Kelebek etkisi (matematik)
Byte	Bayt
Byzantine Empire	Kategori:Bizans
C	C (harf)
C (programming language)	C programlama dili
C. S. Lewis	Clive Staples Lewis
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Kulesi
COBOL	COBOL
Cabaret	Kabare
Cacao	Kakao
Cache	Önbellek
Cactus	Kaktüsgiller
Cadmium	Kadmiyum
Cadmus	Kadmos
Caelum	Caelum (takımyıldız)
Caesium	Sezyum
Caffeine	Kafein
Cairo	Kahire
Cake	Pasta
Calabria	Calabria
Calcite	Kalsit
Calcium	Kalsiyum
Calcium oxide	Kalsiyum oksit
Caldera	Kaldera
Calendar	Takvim
California	Kaliforniya
California	Kategori:Kaliforniya
Californium	Kaliforniyum
Caligula	Caligula
Caliph	Halife
Caliphate	Hilafet
Calliope	Kalliope
Callisto (moon)	Callisto (uydu)
Calorie	Kalori
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvenizm
Cambodia	Kamboçya
Cambodia	Kategori:Kamboçya
Cambrian	Kambriyen dönem
Cambridge	Cambridge, İngiltere
Cambridge	Cambridge, Massachusetts
Cambridge (disambiguation)	Cambridge
Camel	Deve
Camera	Fotoğraf makinesi
Cameroon	Kamerun
Cameroon	Kategori:Kamerun
Campania	Campania
Canada	Kanada
Canada	Kategori:Kanada
Canary Islands	Kanarya Adaları
Canberra	Kanberra
Cancer	Kanser
Cancer (constellation)	Cancer (takımyıldız)
Candle	Mum
Canidae	Köpekgiller
Canis Major	Canis Major (takımyıldız)
Canis Minor	Canis Minor (takımyıldız)
Cannabis	Kenevir
Cannabis (drug)	Esrar
Cannes	Cannes
Cannon	Savaş Topu
Canon (company)	Canon
Canopus	Canopus
Cantata	Kantat
Canterbury	Canterbury
Canute the Great	Knud
Capacitance	Kapasite (elektrik)
Capacitor	Kondansatör
Cape Canaveral	Cape Canaveral
Cape Horn	Horn Burnu
Cape Town	Cape Town
Cape Verde	Yeşilburun
Cape of Good Hope	Ümit Burnu
Capital	Başkent
Capital punishment	İdam cezası
Capitalism	Kapitalizm
Cappadocia	Kapadokya
Capricornus	Capricornus (takımyıldız)
Capsicum	Biber
Caracal	Karakulak
Caracas	Karakas
Carat (mass)	Karat
Carat (purity)	Karat
Caravaggio	Caravaggio
Carbohydrate	Karbonhidrat
Carbon	Karbon
Carbon dioxide	Karbondioksit
Carbon monoxide	Karbonmonoksit
Carbonic acid	Karbonik asit
Carboxylic acid	Karboksilik asit
Carburetor	Karbüratör
Card game	İskambil oyunları
Cardamom	Kakule
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardiology	Kardiyoloji
Cardiovascular system	Kategori:Dolaşım sistemi
Caribbean	Karayipler
Caribbean	Kategori:Karayipler
Caribbean Sea	Karayip Denizi
Caricature	Karikatür
Carina (constellation)	Karina Takımyıldızı
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Orff	Carl Orff
Carnivora	Etçiller
Carnivore	Etçil
Carolus Linnaeus	Carl Linnaeus
Carpathian Mountains	Karpatlar
Carrot	Havuç
Cartagena	Cartagena, İspanya
Cartesian coordinate system	Kartezyen koordinat sistemi
Carthage	Kartaca
Cartography	Kategori:Kartografi
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Kazablanka (şehir)
Cashew	Kaju
Casino	Kumarhane
Caspian Sea	Hazar Denizi
Cassandra	Kassandra
Cassiopeia (constellation)	Cassiopeia (takımyıldız)
Caste	Kast sistemi
Castile (historical region)	Kastilya
Castle	Kale (yapı)
Castling	Rok (satranç)
Castries	Castries
Casus belli	Casus belli
Cat	Kedi
Catalonia	Katalonya
Catalysis	Katalizör
Cataphract	Katafrakt
Cataract	Katarakt
Catfish	Siluriformes
Catharism	Katharizm
Cathedral	Katedral
Catherine of Aragon	Aragon'lu Catherine
Cathode	Katot
Cattle	Sığırlar
Cattle Egret	Sığır balıkçılı
Catullus	Catullus
Caucasus	Kafkasya
Caucasus	Kategori:Kafkasya
Caucasus Mountains	Kafkas Dağları
Cauliflower	Karnabahar
Causality	Nedensellik
Cavalry	Süvari
Caviar	Havyar
Cayenne	Cayenne
Cayman Islands	Cayman Adaları
Cedar	Sedir
Celery	Kereviz
Celestial mechanics	Kategori:Gök mekaniği
Celestial mechanics	Gök mekaniği
Celestial sphere	Gök Küre
Cell (biology)	Hücre
Cell membrane	Hücre zarı
Cell nucleus	Hücre çekirdeği
Cell wall	Hücre duvarı
Cello	Viyolonsel
Cellulose	Selüloz
Celsius	Celsius (ölçek)
Cement	Çimento
Cemetery	Mezarlık
Cenozoic	Senozoik
Centaur	Centaur (mitoloji)
Centaurus	Centaurus (takımyıldız)
Center of mass	Ağırlık merkezi
Centimetre	Santimetre
Central African Republic	Orta Afrika Cumhuriyeti
Central America	Orta Amerika
Central America	Kategori:Orta Amerika
Central Intelligence Agency	Amerikan Merkezi Haber Alma Ajansı
Central Park	Central Park
Central Powers	İttifak Devletleri
Central bank	Merkez bankası
Central nervous system	Merkezî sinir sistemi
Centre	Merkez (Fransa)
Centriole	Bazal cisimcik
Century	Yüzyıl
Cephalopod	Kafadan bacaklılar
Cepheus (constellation)	Cepheus (takımyıldız)
Ceramic	Seramik
Cerberus	Kerberos (mitoloji)
Cerebellum	Beyincik
Ceres	Ceres
Ceres (dwarf planet)	Ceres (cüce gezegen)
Ceres (mythology)	Ceres (mitoloji)
Cerium	Seryum
Cestoda	Şeritliler
Cetacea	Balinalar
Cetus	Cetus (takımyıldız)
Chad	Çad
Chad	Kategori:Çad
Chaffinch	Bayağı ispinoz
Chalcedony	Kalsedon
Chamaeleon	Chamaeleon (takımyıldız)
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Manş Tüneli
Chaos (mythology)	Khaos (mitoloji)
Charadriiformes	Yağmurkuşları
Charlemagne	Şarlman
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Charmed (dizi)
Charon (moon)	Charon (uydu)
Charon (mythology)	Kharoon
Chauvinism	Şovenizm
Che Guevara	Ernesto Che Guevara
Chechnya	Çeçenya
Chechnya	Kategori:Çeçenya
Cheese	Peynir
Cheetah	Çita
Chelyabinsk	Çelyabinsk
Chemical bond	Kimyasal bağlar
Chemical compound	Bileşik
Chemical element	Element
Chemical engineering	Kimya mühendisliği
Chemical formula	Kimyasal formül
Chemical reaction	Kimyasal tepkime
Chemical warfare	Kimyasal Savaş
Chemistry	Kimya
Chemistry	Kategori:Kimya
Chemistry	Portal:Kimya
Chemnitz	Chemnitz
Chemotherapy	Kemoterapi
Chennai	Chennai
Cheque	Çek (Bankacılık)
Chernobyl	Çernobil
Cherry	kiraz
Chess	Satranç
Chess	Kategori:Satranç
Chess opening	Satranç açılışları
Chester A. Arthur	Chester A. Arthur
Chestnut	Kestane
Chewing gum	Sakız (şekerleme)
Chi (letter)	Χ
Chiang Kai-shek	Çan Kay Şek
Chicago	Şikago, Illinois
Chicken	Tavuk
Chickpea	Nohut
Child	Çocuk
Chile	Şili
Chile	Kategori:Şili
Chimborazo (volcano)	Chimborazo
Chimpanzee	Şempanze
China	Kategori:Çin
China	Çin
Chios	Sakız Adası
Chiron	Chiron
Chlorine	Klor
Chloroform	Kloroform
Chlorophyll	Klorofil
Chloroplast	Kloroplast
Chocolate	Çikolata
Cholera	Kolera
Cholesterol	Kolesterol
Chondrichthyes	Kıkırdaklı balıklar
Chord (music)	Akor
Chordate	Kordalılar
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christianity	Hıristiyanlık
Christianity	Kategori:Hristiyanlık
Christmas	Noel
Christmas	Kategori:Noel
Christmas tree	Noel ağacı
Christopher Columbus	Kristof Kolomb
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatin
Chromatography	Kromatografi
Chromium	Krom
Chromosome	Kromozom
Chronology	Kategori:Kronoloji
Chuck Berry	Chuck Berry
Church	Kilise
Church (building)	Kilise (bina)
Cicero	Marcus Tullius Cicero
Ciconiiformes	Leyleksiler
Cigarette	Sigara
Cinderella	Külkedisi
Cinnabar	Zincifre
Circe	Kirki
Circinus	Circinus (takımyıldız)
Circle	Çember
Circulatory system	Dolaşım sistemi
Circumcision	Sünnet (tıp)
Circus	Sirk
Cirrhosis	Siroz
Citizenship	Vatandaşlık
Citric acid	Sitrik asit
Citric acid cycle	Krebs döngüsü
Citrus	Narenciye
City-state	Şehir devleti
Civilization	Uygarlık
Civilization (computer game)	Civilization I
Clarinet	Klarnet
Clark Gable	Clark Gable
Class	Sınıf
Class (biology)	Sınıf (biyoloji)
Classical mechanics	Klasik mekanik
Classical music	Klasik batı müziği
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clay	Kil
Clement Attlee	Clement Attlee
Clergy	Ruhban sınıfı
Client-server	İstemci-sunucu
Climate	İklim
Climate	Kategori:İklim
Climatology	İklimbilim
Climatology	Kategori:Klimatoloji
Clinical depression	Klinik depresyon
Clio	Kleio
Clitoris	Klitoris
Clock	Saat (alet)
Clock Tower	Big Ben
Cloning	Klonlama
Clothing	Kategori:Giyim
Cloud	Bulut
Clove	Karanfil (baharat)
Cnidaria	Knidliler
Coal	Kömür
Cobalt	Kobalt
Cocaine	Kokain
Coccinellidae	Uğur böceği
Cockatoo	Kakadu
Cockroach	Hamam böceği
Cocktail	Kokteyl
Coconut	Hindistan cevizi
Cocos (Keeling) Islands	Cocos Adaları
Codeine	Kodein
Coffee	Kahve
Coffee	Kategori:Kahve
Cognitive science	Bilişsel Bilim
Coin	Sikke
Cold War	Soğuk Savaş
Cold War	Kategori:Soğuk Savaş
Collage	Kolaj
Collagen	Kollajen
Colloid	Kolloid
Cologne	Köln
Colombia	Kolombiya
Colombia	Kategori:Kolombiya
Colombo	Kolombo
Colonel	Albay
Colony	Koloni (politik)
Color	Renk
Color blindness	Protonopia
Colorado	Kolorado
Colorado	Kategori:Kolorado
Colosseum	Kolezyum
Colossus of Rhodes	Rodos Heykeli
Columba (constellation)	Columba (takımyıldız)
Columbidae	Güvercingiller
Columbiformes	Kategori:Güvercinler
Columbiformes	Güvercinler
Columbus	Columbus
Coma Berenices	Coma Berenices (takımyıldız)
Comedy	Komedi
Comenius	Jan Amos Comenius
Comet	Kuyruklu yıldız
Comma (punctuation)	Virgül
Commedia dell'arte	Commedia dell'Arte
Commerce	Kategori:Ticaret
Common Fig	İncir
Common cold	Nezle
Commonwealth of Independent States	Bağımsız Devletler Topluluğu
Commonwealth of Nations	İngiliz Milletler Topluluğu
Communication	Kategori:İletişim
Communication	İletişim
Communism	Komünizm
Communism	Kategori:Komünizm
Comoros	Komorlar
Comoros	Kategori:Komor
Compact Disc	Yoğun Disk
Company (military unit)	Bölük
Compass	Pusula
Compass (drafting)	Pergel
Competition	Rekabet
Compiler	Derleyici
Complex instruction set computer	Karmaşık komut setli bilgisayar
Complex number	Karmaşık sayı
Composer	Besteci
Composite material	Kompozit malzemeler
Composite number	Bileşik sayı
Computed tomography	Bilgisayarlı tomografi
Computer	Bilgisayar
Computer architecture	Bilgisayar mimarisi
Computer display	Monitör
Computer hardware	Bilgisayar donanımı
Computer hardware	Kategori:Bilgisayar donanımları
Computer network	Bilgisayar ağları
Computer programming	Programlama
Computer programming	Kategori:Programlama
Computer science	Bilişim bilimi
Computer science	Kategori:Bilgisayar bilimi
Computer software	Yazılım
Computer virus	Bilgisayar virüsü
Computing	Kategori:Bilgisayar
Conakry	Konakri
Concentration	Derişim
Concerto	Konçerto
Concrete	Beton
Condom	Prezervatif
Cone (geometry)	Koni
Confederation	Konfederasyon
Confucianism	Konfüçyüsçülük
Confucius	Konfüçyüs
Congo	Kongo
Congo River	Kongo Nehri
Conic section	Konikler
Connecticut	Connecticut
Connecticut	Kategori:Connecticut
Connective tissue	Bağ doku
Conservation of energy	Enerjinin Korunumu
Conservatism	Muhafazakârlık
Constantine I	I. Constantinus
Constantinople	Konstantinopolis
Constellation	Takımyıldız
Constitution (political)	Anayasa
Consumption (economics)	Tüketim
Contact lens	Kontakt lens
Continent	Kıta
Contract bridge	Briç
Convection	Taşınım
Cooking	Aşçılık
Cooperative	Kooperatif
Coordinate system	Küresel koordinat sistemi
Coordinated Universal Time	Eşgüdümlü Evrensel Zaman
Copenhagen	Kopenhag
Copper	Bakır
Copyright	Telif hakkı
Cor anglais	İngiliz kornosu
Coraciiformes	Gökkuzgunları
Coral Sea	Mercan Denizi
Coriander	Kişniş
Corinth	Korint
Coriolis effect	Coriolis kuvveti
Cormorant	Karabatakgiller
Cornea	Kornea
Cornwall	Cornwall
Corona Borealis	Corona Borealis (takımyıldız)
Corporation	Şirket
Corrosion	Korozyon
Corsica	Korsika
Corvette	Korvet
Corvidae	Kargagiller
Corvus (constellation)	Corvus (takımyıldız)
Cosmology	Evrenbilim
Cosmology	Kategori:Evrenbilim
Costa Rica	Kosta Rika
Cotopaxi	Cotopaxi
Cotton	Pamuk
Cougar	Puma
Coulomb	Coulomb (birim)
Coulomb's law	Coulomb yasası
Counterpoint	Karşıkonu
Country	Ülke
Country music	Country
Court	Mahkeme
Covalent bond	Kovalent bağ
Coyote	Kır kurdu
Crab	Yengeç
Crab Nebula	Yengeç Bulutsusu
Crane (bird)	Turnagiller
Crater (constellation)	Crater (takımyıldız)
Cretaceous	Kretase
Crete	Girit
Cricket	Kriket
Cricket (insect)	Cırcır böceği
Crime	Suç
Crimean War	Kırım Savaşı
Criminal law	Kategori:Ceza hukuku
Criminology	Suç bilimi
Criminology	Kategori:Kriminoloji
Croatia	Hırvatistan
Croatia	Kategori:Hırvatistan
Crocodile	Timsahgiller
Crocodilia	Crocodilia
Cronus	Kronos
Crow	Karga
Crucifixion	Çarmıh
Crust (geology)	Yerkabuğu
Crustacean	Kabuklular
Crux	Crux (takımyıldız)
Cryptography	Kriptografi
Cryptography	Kategori:Kriptoloji
Crystallography	Kristalografi
Crystallography	Kategori:Kristalografi
Ctenophore	Taraklılar
Cuba	Küba
Cuba	Kategori:Küba
Cube	Küp
Cubic metre	Metre küp
Cubism	Kübizm
Cuculiformes	Guguksular
Cucumber	Hıyar
Cucurbitaceae	Kabakgiller
Cultural Revolution	Çin Kültür Devrimi
Culture	Kültürler
Culture	Kategori:Kültür
Cupressaceae	Servigiller
Curitiba	Curitiba
Curium	Kuriyum
Curling	Curling
Currency	Kategori:Para birimleri
Currency	döviz
Cusco	Cusco
Cyan	Camgöbeği
Cyanide	Siyanür
Cyanobacteria	Siyanobakteri
Cybele	Kibele
Cybernetics	Güdüm bilimi
Cyclades	Kiklad Adaları
Cycling	Bisiklet (spor)
Cycling	Kategori:Bisiklet (spor)
Cyclone	Siklon
Cyclops	Kiklop
Cylinder (geometry)	Silindir
Cyperaceae	Papirüsgiller
Cyprinid	Sazangiller
Cypriniformes	Sazansılar
Cyprus	Kıbrıs Cumhuriyeti
Cyprus	Kategori:Kıbrıs
Cyrillic alphabet	Kiril Abecesi
Cytoplasm	Sitoplazma
Cytosine	Sitozin
Czech Republic	Çek Cumhuriyeti
Czech Republic	Kategori:Çek Cumhuriyeti
Czechoslovakia	Çekoslovakya
Czechoslovakia	Kategori:Çekoslovakya
D	D (harf)
D. H. Lawrence	David Herbert Lawrence
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Dachshund	Dakhund
Dada	Dadaizm
Dagger	Hançer
Daguerreotype	Dagerreyotipi
Dahlia	Yıldız çiçeği
Dakar	Dakar
Dalai Lama	Dalay Lama
Dallas	Dallas, Teksas
Dalmatia	Dalmaçya
Dam	Baraj
Damascus	Şam
Dance	Dans
Dance	Kategori:Dans
Dandelion	Taraxacum
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dante Alighieri	Dante Alighieri
Danube	Tuna Nehri
Daphne	Dafni
Dar es Salaam	Darüsselam
Dardanelles	Çanakkale Boğazı
Darfur	Darfur
Dark matter	Karanlık madde
Darmstadtium	Darmstadtiyum
Das Kapital	Das Kapital
Data mining	Veri madenciliği
Data structure	Veri yapıları
Database	Veri tabanı
Database management system	Veritabanı yönetim sistemi
Date Palm	Hurma
David	Davud
David Hilbert	David Hilbert
David Hume	David Hume
David Ricardo	David Ricardo
Day	Gün
Days	Kategori:Takvim
De facto	De facto
Dead Sea	Lut Gölü
Dead Sea scrolls	Ölü Deniz parşömenleri
Death	Ölüm
Death	Kategori:Ölüm
December	Aralık
December 31	31 Aralık
December 8	8 Aralık
Decibel	Desibel
Decius (emperor)	Decius
Deco	Deco
Deconstruction	Yapısöküm
Deductive reasoning	Tümdengelim
Deer	Geyik
Deflation	Deflasyon
Degree (angle)	Derece (birim)
Deimos (moon)	Deimos (uydu)
Deism	Deizm
Delaware	Delaware
Delaware	Kategori:Delaware
Delft	Delft
Dell	Dell
Delphi	Delfi
Delphinus	Delphinus (takımyıldız)
Delta (letter)	Δ
Deluge (mythology)	Tufan
Demagogy	Demagoji
Dementia	Demans
Demeter	Demeter
Democracy	Demokrasi
Democratic Party (United States)	Demokratik Parti (ABD)
Democratic Republic of the Congo	Demokratik Kongo Cumhuriyeti
Democratic Republic of the Congo	Kategori:Demokratik Kongo Cumhuriyeti
Democritus	Demokritos
Demography	Demografi
Demography	Kategori:Demografi
Demon	Demon
Demosthenes	Demostenes
Deng Xiaoping	Deng Xiaoping
Denis Diderot	Denis Diderot
Denmark	Danimarka
Denmark	Kategori:Danimarka
Dennis Gabor	Dennis Gabor
Density	Yoğunluk
Dentistry	Kategori:Diş hekimliği
Denver	Denver, Kolorado
Derivative	Türev
Dermatology	Dermatoloji
Des Moines	Des Moines
Desert	Çöl
Deserts	Kategori:Çöller
Desiderius Erasmus	Desiderius Erasmus
Design	Tasarım
Design	Kategori:Tasarım
Desmond Tutu	Desmond Tutu
Destroyer	Muhrip
Detroit	Detroit
Deuterium	Döteryum
Deuteronomy	Tesniye (Tevrat)
Developmental psychology	Gelişimsel psikoloji
Devonian	Devoniyen
Dew point	Çiy noktası
Dewey Decimal Classification	Dewey ondalık sınıflandırma
Dhaka	Dakka
Dharma	Dharma
Dhole	Asya yaban köpeği
Diabetes mellitus	Diyabet
Diacritic	Diyakritik işaretler
Dialect	Lehçe (dil bilimi)
Dialectic	Diyalektik
Dialectical materialism	Diyalektik Materyalizm
Diameter	Çap
Diamond	Elmas
Diana	Diana Frances Spencer
Diana (mythology)	Diana (mitoloji)
Diarrhea	İshal
Diaspora	Diaspora
Diatom	Diatomlar
Dice	Zar (eğlence)
Dictatorship	Diktatörlük
Dictionary	Sözlük
Diego Rivera	Diego Rivera
Diesel	Mazot
Diesel engine	Dizel motor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Diferansiyel denklemler
Diffraction	Kırınım
Diffusion	Difüzyon
Digestive system	Kategori:Sindirim sistemi
Digital camera	Dijital fotoğraf makinesi
Digital photography	Sayısal fotoğrafçılık
Digital subscriber line	DSL
Dill	Dere otu
Dingo	Dingo
Dinosaur	Dinozor
Diocletian	Diocletianus
Diode	Diyot
Dionysus	Dionysos
Diphtheria	Difteri
Diplomacy	Diplomasi
Diplomacy	Kategori:Diplomasi
Dire Straits	Dire Straits
Direct current	Doğru akım
Disambiguation	Kategori:Anlam ayrımı
Disc jockey	DJ
Disease	Hastalık
Distillation	Damıtma
Divergence	Diverjans
Division (military)	Tümen
Divorce	Boşanma
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategori:Cibuti
Djibouti (city)	Cibuti (şehir)
Dmitri Mendeleev	Dimitri Mendeleyev
Dmitri Shostakovich	Dimitri Şostakoviç
Dnieper River	Dinyeper
Doberman Pinscher	Doberman
Dodecanese	Oniki Ada
Dodo	Dodo
Dodoma	Dodoma
Dog	Köpek
Dogma	Dogmatizm
Doha	Doha
Dollar	Dolar
Dolly (sheep)	Dolly
Dolmen	Dolmen
Dolphin	Yunus (hayvan)
Domain (biology)	Üst âlem
Domain name	Domain (İnternet)
Dome	Kubbe
Dominica	Dominika
Dominican Republic	Dominik Cumhuriyeti
Dominican Republic	Kategori:Dominik Cumhuriyeti
Domitian	Domitian
Don Quixote	Don Kişot
Don River (Russia)	Don Nehri
Donatello	Donatello
Donetsk	Donetsk
Donkey	Eşek
Door	Kapı
Dopamine	Dopamin
Doppler effect	Doppler Etkisi
Dorado	Dorado (takımyıldız)
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Double bass	Kontrbas
Douglas MacArthur	Douglas MacArthur
Down syndrome	Down sendromu
Draco (constellation)	Draco (takımyıldız)
Dragon	Ejderha
Drainage basin	Havza
Drama	Drama (sanat)
Draughts	Türk daması
Dream	Rüya
Dresden	Dresden
Drink	İçecek
Dromedary	Tek hörgüçlü deve
Drought	Kuraklık
Drug addiction	Bağımlılık
Druid	Druid
Drum	Davul
Dualism (philosophy of mind)	İkisellik
Dubai	Dubai
Dublin	Dublin
Dubnium	Dubniyum
Dubrovnik	Dubrovnik
Duck	Ördek
Duke	Dük
Duke Ellington	Duke Ellington
Duke University	Duke Üniversitesi
Dune	Kumul
Duodenum	Duodenum
Durban	Durban
Dushanbe	Duşanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategori:Hollandalılar
Dwight D. Eisenhower	Dwight Eisenhower
Dynamics (physics)	Dinamik (fizik)
Dynamite	Dinamit
Dyslexia	disleksi
Dysprosium	Disprozyum
Dystopia	Distopya
E	E (harf)
E (mathematical constant)	E sayısı
E-mail	Elektronik posta
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	Bask Vatanı ve Özgürlüğü
Eagle	Kartal (kuş)
Ear	Kulak
Eared seal	Denizaslanıgiller
Earless seal	Fokgiller
Earth	Dünya
Earth	Kategori:Yer (gezegen)
Earth science	Yer bilimleri
Earthquake	Deprem
East	Doğu
East China Sea	Doğu Çin Denizi
East Germany	Demokratik Almanya Cumhuriyeti
East Timor	Doğu Timor
East Timor	Kategori:Doğu Timor
Easter	Paskalya
Eastern Orthodox Church	Ortodoksluk
Ebola	Ebola
Ebro	Ebro
Eccentricity (mathematics)	Eksantriklik
Echidna	Dikenli karıncayiyengiller
Echidna (mythology)	Ehidna
Echinoderm	Derisi dikenliler
Eclipse	Güneş tutulması
Eclipse (software)	Eclipse (yazılım)
Ecliptic	Tutulum
Ecology	Ekoloji
Ecology	Kategori:Ekoloji
Econometrics	Ekonometri
Economics	İktisat
Economics	Kategori:Ekonomi
Economy	İktisat
Ecosystem	Ekosistem
Ecuador	Ekvador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Education	Eğitim
Education	Kategori:Eğitim
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Eel	Anguilliformes
Egg (biology)	Yumurta
Eggplant	Patlıcan
Egypt	Mısır
Egypt	Kategori:Mısır
Egyptian pound	Mısır lirası
Egyptology	Mısırbilim
Eiffel Tower	Eyfel Kulesi
Eindhoven	Eindhoven
Einsteinium	Aynştaynyum
El Greco	El Greco
El Paso	El Paso, Teksas
El Salvador	El Salvador
El Salvador	Kategori:El Salvador
Elam	Elam İmparatorluğu
Elbe	Elbe Nehri
Eleanor Roosevelt	Eleanor Roosevelt
Election	Seçim
Electra	Elektra
Electric charge	Elektriksel yük
Electric current	Elektrik akımı
Electric field	Elektriksel alan
Electric guitar	Elektro gitar
Electric motor	Elektrik motoru
Electrical engineering	Kategori:Elektrik mühendisliği
Electrical engineering	Elektronik
Electricity	Elektrik
Electricity	Kategori:Elektrik
Electrocardiogram	Elektrokardiyografi
Electrochemistry	Kategori:Elektrokimya
Electrolysis	Elektroliz
Electromagnetic radiation	Elektromanyetik ışın
Electromagnetic spectrum	Elektromanyetik tayf
Electromagnetism	Elektromanyetik kuvvet
Electromagnetism	Kategori:Elektromanyetizma
Electron	Elektron
Electronegativity	Elektronegatiflik
Electronics	Kategori:Elektronik
Elegy	Ağıt
Elephant	Fil
Elevator	İrtifa dümeni
Elf	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	İlyas (peygamber)
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Elips
Elm	Karaağaç
Elvis Presley	Elvis Presley
Embryo	Embriyo
Embryology	Embriyoloji
Emerald	Zümrüt (maden)
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emma Goldman	Emma Goldman
Empathy	Empati (psikoloji)
Empedocles	Empedokles
Emperor Penguin	İmparator penguen
Empire	İmparatorluk (terim)
Empire State Building	Empire State Binası
Empiricism	Deneycilik
Emulator	Öykünme
Emulsion	Emülsiyon
Encyclopedia	Ansiklopedi
Endemism	Endemik (botanik)
Endocrine system	Endokrin sistem
Endocrinology	Endokrinoloji
Endocrinology	Kategori:Endokrinoloji
Energy	Enerji
Energy	Kategori:Enerji
Energy (society)	Enerji
Engineering	Mühendislik
Engineering	Kategori:Mühendislik
England	İngiltere
England	Kategori:İngiltere
English Channel	Manş Denizi
English Civil War	İngiliz İç Savaşı
English language	İngilizce
English language	Kategori:İngilizce
English people	Kategori:İngilizler
English people	İngilizler
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategori:Eğlence
Enthalpy	Entalpi
Entomology	Entomoloji
Entomology	Kategori:Entomoloji
Entropy	Entropi
Environment	Kategori:Çevre
Environment	Çevre
Enzyme	Enzim
Eos	Eos (mitoloji)
Ephesus	Efes
Epictetus	Epiktetos
Epicurus	Epikür
Epidemic	Salgın
Epigraphy	Epigrafi
Epilepsy	Epilepsi
Epinephrine	Adrenalin
Epirus (periphery)	Epir
Epistemology	Epistemoloji
Epithelium	Epitel
Epsilon	Ε
Equation	Denklem
Equator	Ekvator
Equatorial Guinea	Ekvator Ginesi
Equidae	Atgiller
Equinox	Ekinoks
Equisetum	Atkuyruğu
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbiyum
Erebus	Erebus
Erection	Ereksiyon
Ericaceae	Fundagiller
Eridanus (constellation)	Eridanus (takımyıldız)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros (mythology)	Eros (mitoloji)
Erosion	Erozyon
Erotica	Erotizm
Erwin Rommel	Erwin Rommel
Eschatology	Eskatoloji
Escherichia coli	Escherichia coli
Esfahan	İsfahan
Esophagus	Yemek borusu
Esperanto	Esperanto
Espionage	Casusluk
Espoo	Espoo
Espresso	Espresso
Essay	Deneme (edebiyat)
Essen	Essen
Ester	Ester
Estonia	Kategori:Estonya
Eta (letter)	Η
Ethanol	Etanol
Ethernet	Ethernet kartı
Ethics	Etik
Ethics	Kategori:Etik
Ethiopia	Etiyopya
Ethiopia	Kategori:Etiyopya
Ethnology	Kategori:Etnoloji
Ethology	Etoloji
Ethylene	Etilen
Etymology	Etimoloji
Eucalyptus	Okaliptüs
Euclid	Öklid
Euclidean geometry	Öklid Bağıntıları
