Georgian	English
კატეგორია:ალტერნატიული მედიცინა	Alternative medicine
ალვარ აალტო	Alvar Aalto
ამარილისისებრნი	Amaryllidaceae
ამაზონი	Amazon River
ამედეო ავოგადრო	Amedeo Avogadro
ბიზონი	American Bison
ბარიბალი	American Black Bear
კატეგორია:ამერიკული ფეხბურთი	American football
ამერიგო ვესპუჩი	Amerigo Vespucci
ამეთვისტო	Amethyst
ამჰარული ენა	Amharic
ამინები	Amine
ამინომჟავა	Amino acid
ამანი	Amman
ამფიბიები	Amphibian
ამსტერდამი	Amsterdam
ამონი	Amun
ამური (მდინარე)	Amur
ანარქიზმი	Anarchism
კატეგორია:ანარქიზმი	Anarchism
ანარქია	Anarchy
იხვისებრნი	Anatidae
ანატოლ ფრანსი	Anatole France
კატეგორია:ანატომია	Anatomy
ანატომია	Anatomy
ანაქსაგორა	Anaxagoras
ანკორიჯი	Anchorage
ძველი ბერძნული ენა	Ancient Greek
კატეგორია:ანტიკური ისტორია	Ancient history
ანდალუსია	Andalusia
ანდჰრა-პრადეში	Andhra Pradesh
ანდორა	Andorra
ანდრეი სახაროვი	Andrei Sakharov
ანდრეი ტარკოვსკი	Andrei Tarkovsky
ენდრუ ჯექსონი	Andrew Jackson
ენდრიუ ჯონსონი	Andrew Johnson
ენდი უორჰოლი	Andy Warhol
ანგოლა	Angola
ცხოველები	Animal
მეცხოველეობა	Animal husbandry
ანიმაცია	Animation
ანიმე	Anime
ანიმიზმი	Animism
ანკარა (თურქეთი)	Ankara
ანა ბოლეინი	Anne Boleyn
ხარება	Annunciation
ბატისნაირნი	Anseriformes
კატეგორია:ბატისნაირნი	Anseriformes
ანთალია	Antalya
ანტანანარივო	Antananarivo
ანტარქტიდა	Antarctica
ანთროპოლოგია	Anthropology
კატეგორია:ანთროპოლოგია	Anthropology
ანტიქრისტე	Antichrist
ანტისემიტიზმი	Antisemitism
კატეგორია:ანტისემიტიზმი	Antisemitism
ანტუან ლავუაზიე	Antoine Lavoisier
ანტონ ჩეხოვი	Anton Chekhov
ანტონიო ვივალდი	Antonio Vivaldi
ანტონიმი	Antonym
ანტვერპენი	Antwerp
ანუბისი	Anubis
ანუსი	Anus
აფორიზმი	Aphorism
აფროდიტე	Aphrodite
ნამგალასნაირნი	Apodiformes
აპოლონი	Apollo
აპოლონი (მრავალმნიშვნელოვანი)	Apollo (disambiguation)
აპოლო (კოსმოსური პროგრამა)	Apollo program
კატეგორია:აპოლოს კოსმოსური პროგრამა	Apollo program
გამოყენებითი მათემატიკა	Applied mathematics
გარგარი	Apricot
აპრილი	April
14 აპრილი	April 14
აფსიდა	Apse
აპულია	Apulia
მერწყული (თანავარსკვლავედი)	Aquarius (constellation)
აკვედუკი	Aqueduct
აკვიტანია	Aquitaine
არაბები	Arab
არაბული დამწერლობა	Arabic alphabet
არაბული ენა	Arabic language
ობობასნაირნი	Arachnid
არაგონი	Aragon
არამ ხაჩატურიანი	Aram Khachaturian
არქანჯელო კორელი	Arcangelo Corelli
არქეოლოგია	Archaeology
კატეგორია:არქეოლოგია	Archaeology
არქეოპტერიქსი	Archaeopteryx
მთავარანგელოზი	Archangel
არქიეპისკოპოსი	Archbishop
არქიმედე	Archimedes
არქიტექტურა	Architecture
კატეგორია:არქიტექტურა	Architecture
არქოზავრები	Archosaur
არქტიკა	Arctic
ჩრდილოეთის ყინულოვანი ოკეანე	Arctic Ocean
ფართობი	Area
არესი	Ares
არგენტინა	Argentina
კატეგორია:არგენტინა	Argentina
არია	Aria
ვერძი (თანავარსკვლავედი)	Aries (constellation)
არისტოკრატია	Aristocracy
არისტოფანე	Aristophanes
არისტოტელე	Aristotle
არითმეტიკა	Arithmetic
არითმეტიკული პროგრესია	Arithmetic progression
არიზონა	Arizona
კატეგორია:არიზონა	Arizona
არკანზასი	Arkansas
სომხეთი	Armenia
კატეგორია:სომხეთი	Armenia
სომხური ენა	Armenian language
სახმელეთო ჯარები	Army
არნემი	Arnhem
არნო (მდინარე)	Arno River
ისარი (იარაღი)	Arrow
ხელოვნება	Art
არტ-დეკო	Art Deco
არტ-ნუვო	Art Nouveau
ხელოვნებათმცოდნეობა	Art history
არტემიდა	Artemis
ავშანი	Artemisia (plant)
ართრიტი	Arthritis
ფეხსახსრიანები	Arthropod
ართურ კონან დოილი	Arthur Conan Doyle
ართურ მილერი	Arthur Miller
არტურ რემბო	Arthur Rimbaud
ართურ უელესლი, I ჰერცოგი უელინგტონი	Arthur Wellesley
კატეგორია:ხელოვნება	Arts
ასკლეპიოსი	Asclepius
ასურბანიფალი	Ashurbanipal
აზია	Asia
კატეგორია:აზია	Asia
ასამი (შტატი)	Assam
ასურეთი	Assyria
კატეგორია:ასურეთი	Assyria
ასტანა	Astana
კატეგორია:რთულყვავილოვანნი	Asteraceae
მცირე ცთომილები	Asteroid
ასტეროიდთა სარტყელი	Asteroid belt
კატეგორია:ასტროლოგია	Astrology
კოსმონავტი	Astronaut
ასტრონომია	Astronomy
კატეგორია:ასტრონომია	Astronomy
ასტროფიზიკა	Astrophysics
კატეგორია:ასტროფიზიკა	Astrophysics
ატონი	Aten
კატეგორია:ათეიზმი	Atheism
ათენა	Athena
ათენი	Athens
ატლანტა	Atlanta
ატლანტის ოკეანე	Atlantic Ocean
კატეგორია:ატლანტის ოკეანე	Atlantic Ocean
ატლანტი (მითოლოგია)	Atlas (mythology)
ატმოსფერული წნევა	Atmospheric pressure
ატომი	Atom
კატეგორია:ატომური ფიზიკა	Atomic physics
ატომური ფიზიკა	Atomic physics
ატრევსი	Atreus
ატილა (ჰუნები)	Attila the Hun
აუქციონი	Auction
აგვისტო	August
1 აგვისტო	August 1
15 აგვისტო	August 15
6 აგვისტო	August 6
ფრანსუა ოგიუსტ რენე როდენი	Auguste Rodin
ოქტავიან ავგუსტუსი	Augustus
ავრორა	Aurora
ოსტინი	Austin
ავსტრალია	Australia
კატეგორია:ავსტრალია	Australia
ავსტრია	Austria
კატეგორია:ავსტრია	Austria
ავსტრო-უნგრეთის იმპერია	Austria-Hungary
აუტიზმი	Autism
ავტობიოგრაფია	Autobiography
ავტომობილი	Automobile
შემოდგომა	Autumn
ოვერნი	Auvergne (region)
ზვავი	Avalanche
ავანგარდიზმი	Avant-garde
ავატარა	Avatar
იბნ რუშდი	Averroes
კატეგორია:ავიაცია	Aviation
აქსიომა	Axiom
აიათოლა	Ayatollah
აზერბაიჯანი	Azerbaijan
კატეგორია:აზერბაიჯანი	Azerbaijan
აცტეკები	Aztec
B	B
ბაბილონი	Babylon
ბაბილონეთი	Babylonia
ნარდი	Backgammon
ბაქტერიები	Bacteria
ბაქტერიოფაგები	Bacteriophage
ბადმინტონი	Badminton
ბაღდადი	Baghdad
ბაჰრეინი	Bahrain
კატეგორია:ბაჰრეინი	Bahrain
ბაქო	Baku
ბალალაიკა	Balalaika
ბალდრი	Baldr
ბალეარის კუნძულები	Balearic Islands
ბალეტი	Ballet
კატეგორია:ბალეტი	Ballet
ბალისტიკური რაკეტა	Ballistic missile
ბურთულიანი კალამი	Ballpoint pen
ბალტიის ზღვა	Baltic Sea
ბალტიმორი	Baltimore
ბამბუკი (გვარი)	Bamboo
ბანანი	Banana
ბანგკოკი	Bangkok
ბანგლადეში	Bangladesh
კატეგორია:ბანგლადეში	Bangladesh
ბანჯული	Banjul
ბანკი	Bank
ბანკნოტი	Banknote
კატეგორია:ბანკები	Banks
ბაპტისტები	Baptist
ბარი (ერთეული)	Bar (unit)
ბარბადოსი	Barbados
ბარბაროსი	Barbarian
ბარბრა სტრეიზანდი	Barbra Streisand
ბარსელონა	Barcelona
კატეგორია:ბარსელონა	Barcelona
ბარენცის ზღვა	Barents Sea
ქერი	Barley
ბუხრინწა	Barn Owl
ბარონი	Baron
ბაროკო	Baroque
ბარელი	Barrel (unit)
ბეისბოლი	Baseball
ბაზელი	Basel
ბაზიდიუმიანი სოკოები	Basidiomycota
ბასილი დიდი	Basil of Caesarea
ბაზილიკა	Basilica
ბაზილიკატა	Basilicata
კალათბურთი	Basketball
კატეგორია:კალათბურთი	Basketball
ქვემო ნორმანდია	Basse-Normandie
ბასტილია	Bastille
ღამურები	Bat
კატეგორია:ხელფრთიანები	Bats
ბატალიონი	Battalion
აუსტერლიცის ბრძოლა	Battle of Austerlitz
ვატერლოოს ბრძოლა	Battle of Waterloo
არდენის ოპერაცია	Battle of the Bulge
სომის ბრძოლა	Battle of the Somme
ბაუჰაუზი	Bauhaus
ბავარია	Bavaria
კატეგორია:ბავარია	Bavaria
ნისკარტი	Beak
დათვისებრნი	Bear
ბებოპი	Bebop
ფუტკარი	Bee
კატეგორია:მეფუტკრეობა	Beekeeping
კატეგორია:ლუდი	Beer
პეკინი	Beijing
ბეირუთი	Beirut
ბელარუსი	Belarus
კატეგორია:ბელარუსი	Belarus
ბელფასტი	Belfast
ბელგია	Belgium
კატეგორია:ბელგია	Belgium
ბელგრადი	Belgrade
ბენინი	Benin
ბენიტო მუსოლინი	Benito Mussolini
ბენჯამინ ფრანკლინი	Benjamin Franklin
ბენჯამინ ჰარისონი	Benjamin Harrison
ბენი გუდმანი	Benny Goodman
ბერლინი	Berlin
კატეგორია:ბერლინი	Berlin
ბერნი	Berne
კენკრა	Berry
ბერტოლტ ბრეხტი	Bertolt Brecht
ბერტრან რასელი	Bertrand Russell
ბერილიუმი	Beryllium
ბეტა (ასო)	Beta (letter)
ბეთელჰეიზე	Betelgeuse
ბეით-ლაჰმი	Bethlehem
ბეტ დევისი	Bette Davis
ბევერლი ჰილსი	Beverly Hills
ბაი (სოციალური ფენა)	Bey
ბჰუტანი	Bhutan
ბიბლია	Bible
კატეგორია:ბიბლია	Bible
დიდი აფეთქების თეორია	Big Bang
ბიჰარი	Bihar
ბილ კლინტონი	Bill Clinton
კატეგორია:ბიოქიმია	Biochemistry
ბიოგეოგრაფია	Biogeography
ბიოგრაფია	Biography
პორტალი:ბიოგრაფიები	Biography
ბიოლოგია	Biology
კატეგორია:ბიოლოგია	Biology
პორტალი:ბიოლოგია	Biology
არყი	Birch
ფრინველები	Bird
ბისექსუალობა	Bisexuality
ბიშკეკი	Bishkek
ეპისკოპოსი	Bishop
შვარცვალდი	Black Forest
შავი ზღვა	Black Sea
შავი ხვრელი	Black hole
ბლეზ პასკალი	Blaise Pascal
ბლიცკრიგი	Blitzkrieg
ბლუმფონტეინი	Bloemfontein
ბლოგი	Blog
სისხლი	Blood
ლურჯი ვეშაპი	Blue Whale
ბლუზი	Blues
გარეული ღორი	Boar
ბობ დილანი	Bob Dylan
ბობ მარლი	Bob Marley
ბობი ფიშერი	Bobby Fischer
ბოდჰისატვა	Bodhisattva
ბოჰემია	Bohemia
ბოლივია	Bolivia
კატეგორია:ბოლივია	Bolivia
ბოლივუდი	Bollywood
ბოლონია	Bologna
ბოლშევიკი	Bolshevik
ბომბი	Bomb
თუთის აბრეშუმხვევია	Bombyx mori
ბონი	Bonn
ბორდო	Bordeaux
ბორის გოდუნოვი	Boris Godunov
ბორის სპასკი	Boris Spassky
ბოსნია და ჰერცეგოვინა	Bosnia and Herzegovina
ბოსფორი	Bosporus
ბოსტონი	Boston
ბოტანიკა	Botany
კატეგორია:ბოტანიკა	Botany
ბოტსვანა	Botswana
აფალინა	Bottlenose Dolphin
ბურგუნდია	Bourgogne
ბოულინგი	Bowling
კატეგორია:მოკრივეები	Boxers
კრივი	Boxing
კატეგორია:კრივი	Boxing
ბრაჰმა	Brahma
ბრაილის შრიფტი	Braille
თავის ტვინი	Brain
ბრანდენბურგი (მხარე)	Brandenburg
თითბერი	Brass
ბრატისლავა	Bratislava
ბრაუნშვაიგი	Braunschweig
ბრაზილია	Brazil
კატეგორია:ბრაზილია	Brazil
ბრაზავილი	Brazzaville
პური	Bread
მკერდის კიბო	Breast cancer
ბრემენი (მხარე)	Bremen (state)
ბრეტანი	Bretagne
ხიდი	Bridge
კატეგორია:ხიდები	Bridges
ბრიზბენი	Brisbane
ბრიტანეთის კოლუმბია	British Columbia
ბრიტანეთის იმპერია	British Empire
ბრიტანეთის კუნძულები	British Isles
კატეგორია:ბრიტანელები	British people
ბროდვეი (ნიუ-იორკი)	Broadway (New York City)
ბრინჯაო (მეტალი)	Bronze
ბრინჯაოს ხანა	Bronze Age
ბრუკლინი	Brooklyn
ბრუკლინის ხიდი	Brooklyn Bridge
მურა დათვი	Brown Bear
ბრიუგე	Bruges
ბრუნეი	Brunei
ბრიუსელი	Brussels
ბუქარესტი	Bucharest
ბაკინგემის სასახლე	Buckingham Palace
ბუდაპეშტი	Budapest
ბუდა	Buddha
ბუდიზმი	Buddhism
კატეგორია:ბუდიზმი	Buddhism
ბუენოს-აირესი	Buenos Aires
ბულგარეთი	Bulgaria
კატეგორია:ბულგარეთი	Bulgaria
ბაზი (გვარი)	Bumblebee
არქიმედეს კანონი	Buoyancy
ბიუროკრატია	Bureaucracy
ბურკინა ფასო	Burkina Faso
მიანმარი	Burma
კატეგორია:მეწარმეები	Businesspeople
კარაქი	Butter
კატეგორია:ბიზანტიის იმპერია	Byzantine Empire
C	C
ტორონტოს ტელეანძა	CN Tower
კობოლი	COBOL
კაქტუსისებრნი	Cactus
კაირო	Cairo
კალაბრია	Calabria
კალდერა	Caldera
კალენდარი	Calendar
კალიფორნია	California
კატეგორია:კალიფორნია	California
კალიგულა	Caligula
კალისტო (თანამგზავრი)	Callisto (moon)
გოლგოთა	Calvary
კალვინ კულიჯი	Calvin Coolidge
კალვინიზმი	Calvinism
კალიფსო	Calypso (mythology)
კამბოჯა	Cambodia
კატეგორია:კამბოჯა	Cambodia
კამბრიული სისტემა	Cambrian
კემბრიჯი	Cambridge
აქლემი	Camel
კამერუნი	Cameroon
კამპანია	Campania
კანადა	Canada
კატეგორია:კანადა	Canada
კანარის კუნძულები	Canary Islands
კანბერა	Canberra
კირჩხიბი (თანავარსკვლავედი)	Cancer (constellation)
ძაღლისებრნი	Canidae
კნუდ დიდი	Canute the Great
ელექტრული კონდენსატორი	Capacitor
კეიპტაუნი	Cape Town
კაბო-ვერდე	Cape Verde
კეთილი იმედის კონცხი	Cape of Good Hope
დედაქალაქი	Capital
კაპიტალიზმი	Capitalism
თხის რქა (თანავარსკვლავედი)	Capricornus
კარაკალი	Caracal
კარაკასი	Caracas
კარატი	Carat (mass)
კარატი	Carat (purity)
ნახშირწყლები	Carbohydrate
ნახშირბადის წრებრუნვა	Carbon cycle
ილი (მცენარე)	Cardamom
კარიბები	Caribbean
კარიბის ზღვა	Caribbean Sea
კარლ იუნგი	Carl Jung
მტაცებლები	Carnivora
კარპატები	Carpathian Mountains
სტაფილო	Carrot
დეკარტული ნამრავლი	Cartesian product
კართაგენი	Carthage
კარტოგრაფია	Cartography
კასაბლანკა	Casablanca
აკაჟუ	Cashew
კასპიის ზღვა	Caspian Sea
კასტილია	Castile (historical region)
კატა	Cat
კატალონია	Catalonia
საკათედრო ტაძარი	Cathedral
კათოლიციზმი	Catholicism
კავკასია	Caucasus
კატეგორია:კავკასია	Caucasus
კავკასიონი	Caucasus Mountains
მღვიმე	Cave
კედარი	Cedar
უჯრედი	Cell (biology)
ცენზი	Census
კენტავრი	Centaur
სანტიმეტრი	Centimetre
ცენტრალური აფრიკის რესპუბლიკა	Central African Republic
ცენტრალური ამერიკა	Central America
კატეგორია:ცენტრალური ამერიკა	Central America
ცენტრალ პარკი (ნიუ-იორკი)	Central Park
ცენტრი (საფრანგეთი)	Centre
საუკუნე	Century
თავფეხიანები	Cephalopod
თასმისებური ჭიები	Cestoda
ვეშაპისნაირნი	Cetacea
ვეშაპი (თანავარსკვლავედი)	Cetus
ჩადი	Chad
ნიბლია	Chaffinch
არჩვი	Chamois
შამპანური	Champagne (wine)
შამპან-არდენი	Champagne-Ardenne
ქაოსი	Chaos (mythology)
მეჭვავიასნაირნი	Charadriiformes
კარლოს დიდი	Charlemagne
ჩარლზ მაუნტბატენ-უინძორი	Charles
შარლ ბოდლერი	Charles Baudelaire
ჩარლზ დარვინი	Charles Darwin
ჩარლზ დიკენსი	Charles Dickens
შარლ დე გოლი	Charles de Gaulle
ჩარლზ ჩაპლინი	Charlie Chaplin
ჩარლზ პარკერი	Charlie Parker
შარლოტი	Charlotte
მოჯადოებული	Charmed
ქარონი	Charon (moon)
შარტრი	Chartres
შოვინიზმი	Chauvinism
ერნესტო ჩე გევარა	Che Guevara
კატეგორია:ჩეჩნეთი	Chechnya
ყველი	Cheese
ავაზა	Cheetah
ქიმიური ელემენტი	Chemical element
ქიმია	Chemistry
კატეგორია:ქიმია	Chemistry
ალუბალი	Cherry
ჭადრაკი	Chess
კატეგორია:ჭადრაკი	Chess
ჩესტერ ართური	Chester A. Arthur
ხი (ასო)	Chi (letter)
ჩიკაგო	Chicago
ქათამი	Chicken
ჩილე	Chile
კატეგორია:ჩილე	Chile
კატეგორია:ჩინეთი	China
ქლოროფილი	Chlorophyll
შოკოლადი	Chocolate
ქორდიანები	Chordate
კრისტიან დიორი	Christian Dior
ქრისტიანობა	Christianity
კატეგორია:ქრისტიანობა	Christianity
შობა	Christmas
კატეგორია:შობა	Christmas
საშობაო ნაძვის ხე	Christmas tree
ქრისტეფორე კოლუმბი	Christopher Columbus
ქრომოსომა	Chromosome
კატეგორია:ქრონოლოგია	Chronology
ციცერონი	Cicero
ლაკლაკისნაირნი	Ciconiiformes
კირკე	Circe
წრე	Circle
ცივილიზაცია	Civilization
კლარკ გეიბლი	Clark Gable
კლასი (ბიოლოგია)	Class (biology)
კატეგორია:კლასიკური მუსიკა	Classical music
კლასიციზმი	Classicism
კლოდ მონე	Claude Monet
კლავდიუსი	Claudius
კლეოპატრა	Cleopatra (disambiguation)
კლივლენდი	Cleveland
კლიმატოლოგია	Climatology
კატეგორია:კლიმატოლოგია	Climatology
საათი	Clock
მიხაკის ხე	Clove
ხლოდვიგ I	Clovis I
გერბი	Coat of arms
კაკადუ	Cockatoo
კოქტეილი	Cocktail
ქოქოსის კუნძულები	Cocos (Keeling) Islands
ყავა	Coffee
კატეგორია:ყავა	Coffee
კონიაკი	Cognac (drink)
მონეტა	Coin
კოლხეთის სამეფო	Colchis
ცივი ომი	Cold War
კატეგორია:ცივი ომი	Cold War
კოლინ პაუელი	Colin Powell
კოლაჟი	Collage
კელნი	Cologne
კოლუმბია	Colombia
კატეგორია:კოლუმბია	Colombia
კოლორადო (შტატი)	Colorado
კოლოსეუმი	Colosseum
როდოსის კოლოსი	Colossus of Rhodes
ანკარასებრნი	Colubrid
კოლუმბიის უნივერსიტეტი	Columbia University
კატეგორია:მტრედისნაირნი	Columbiformes
მტრედისნაირნი	Columbiformes
კოლუმბუსი (ოჰაიო)	Columbus
კოლუმბუსი	Columbus
კომა	Coma
ბერენიკეს თმები	Coma Berenices
კომედია	Comedy
კომეტა	Comet
კომედია დელ არტე	Commedia dell'arte
ლეღვი	Common Fig
დამოუკიდებელ სახელმწიფოთა თანამეგობრობა	Commonwealth of Independent States
კომუნიკაცია	Communication
კომუნიზმი	Communism
კატეგორია:კომუნიზმი	Communism
კომორის კუნძულები	Comoros
კომპაქტ-დისკი	Compact Disc
კომპლექსური რიცხვი	Complex number
კომპოზიტორი	Composer
კომპიუტერი	Computer
მონიტორი	Computer display
კატეგორია:კომპიუტერული გრაფიკა	Computer graphics
კატეგორია:კომპიუტერი	Computing
ბეტონი	Concrete
კონგო	Congo
კონექტიკუტი	Connecticut
თანხმოვანი	Consonant
კონსტანტინე დიდი	Constantine I
კონსტანტინოპოლი	Constantinople
თანავარსკვლავედები	Constellation
კონსტიტუცია	Constitution (political)
კონსული	Consul
მოხმარება	Consumption (economics)
კონტინენტი	Continent
მსოფლიო კოორდინირებული დრო	Coordinated Universal Time
კოპენჰაგენი	Copenhagen
სპილენძი	Copper
ყაპყაპისნაირნი	Coraciiformes
ქინძი	Coriander
კორნელის უნივერსიტეტი	Cornell University
კორსიკა	Corsica
კოსმოლოგია	Cosmology
კატეგორია:კოსმოლოგია	Cosmology
კოსტა-რიკა	Costa Rica
პუმა	Cougar
ქანთრი	Country music
კოიოტი	Coyote
ყირიმი	Crimea
ყირიმის ომი	Crimean War
კატეგორია:სისხლის სამართალი	Criminal law
კატეგორია:კრიმინოლოგია	Criminology
ხორვატია	Croatia
კატეგორია:ხორვატია	Croatia
კროსვორდი	Crossword
ჯვარცმა	Crucifixion
კრიპტოგრაფია	Cryptography
კატეგორია:კრიპტოგრაფია	Cryptography
კუბა	Cuba
კატეგორია:კუბა	Cuba
კუბიზმი	Cubism
გუგულისნაირნი	Cuculiformes
გოგრისებრნი	Cucurbitaceae
კულტურა	Culture
კატეგორია:კულტურა	Culture
კვიპაროზისებრნი	Cupressaceae
კურიტიბა	Curitiba
კატეგორია:ფულის ერთეულები	Currency
ვალუტა	Currency
ლურჯ-მწვანე წყალმცენარეები	Cyanobacteria
ციკლოპები	Cyclops
გედი (თანავარსკვლავედი)	Cygnus (constellation)
ისლისებრნი	Cyperaceae
კობრისებრნი	Cyprinid
კვიპროსი	Cyprus
კატეგორია:კვიპროსი	Cyprus
კირილიცა	Cyrillic alphabet
კირუშ დიდი	Cyrus the Great
ჩეხეთი	Czech Republic
კატეგორია:ჩეხეთი	Czech Republic
ჩეხოსლოვაკია	Czechoslovakia
D	D
დეზოქსირიბონუკლეინის მჟავა	DNA
დვდ	DVD
დადაიზმი	Dada
გეორგინა	Dahlia
დაკარი	Dakar
დალასი	Dallas
დამასკო	Damascus
ცეკვა	Dance
კატეგორია:ცეკვა	Dance
ბაბუაწვერა	Dandelion
დანტე ალიგიერი	Dante Alighieri
დარდანელის სრუტე	Dardanelles
მონაცემთა ბაზა	Database
დავიდ ჰილბერტი	David Hilbert
დეივიდ რიკარდო	David Ricardo
დღე	Day
კატეგორია:დღეები	Days
სიკვდილი	Death
კატეგორია:სიკვდილი	Death
ათწლეული	Decade
დეკემბერი	December
31 დეკემბერი	December 31
8 დეკემბერი	December 8
დეიმოსი (თანამგზავრი)	Deimos (moon)
