English	Armenian
Humour	Հումոր
Hungary	Հունգարիա
Hydrogen	Ջրածին
IPod	IPod
Ice hockey	Հոկեյ
Iceland	Իսլանդիա
Idaho	Այդահո
Ido	Իդո (արհեստական լեզու)
Igor Stravinsky	Իգոր Ստրավինսկի
Illinois	Իլինոյս
Immanuel Kant	Իմանուիլ Կանտ
India	Հնդկաստան
Indian Ocean	Հնդկական Օվկիանոս
Indiana	Ինդիանա
Indium	Ինդիում
Indonesia	Ինդոնեզիա
Internet	Համացանց
Iodine	Յոդ
Iowa	Այովա
Iran	Իրան
Iran	Կատեգորիա:Իրան
Iraq	Իրաք
Iridium	Իրիդիում
Iron	Երկաթ
Isaac Asimov	Իսահակ Ազիմով
Isaac Newton	Իսահակ Նյուտոն
Islam	Իսլամ
Islamabad	Իսլամաբադ
Israel	Իսրայել
Istanbul	Ստամբուլ
Italy	Իտալիա
Jakarta	Ջակարտա
Jan Hus	Յան Հուս
January	Հունվար
January 1	Հունվարի 1
January 19	Հունվարի 19
January 20	Հունվարի 20
January 6	Հունվարի 6
Japan	Ճապոնիա
Jean-Jacques Rousseau	Ժան Ժակ Ռուսո
Jean-Paul Sartre	Ժան Փոլ Սարթր
Jesus	Հիսուս Քրիստոս
Jew	Հրեա
Jimmy Carter	Ջիմի Կարտեր
Johann Sebastian Bach	Յոհան Սեբաստյան Բախ
Johann Wolfgang von Goethe	Յոհան Վոլֆգանգ ֆոն Գյոթե
John Lennon	Ջոն Լեննոն
Jordan	Հորդանան
Joseph Schumpeter	Ջոզեֆ Շումպետեր
Julius Caesar	Հուլիոս Կեսար
July	Հուլիս
June	Հունիս
Jupiter	Յուպիտեր
Kabul	Քաբուլ
Kampala	Կամպալա
Kansas	Կանզաս
Karl Marx	Կառլ Մարքս
Kathmandu	Կատմանդու
Katowice	Կատովիցե
Kazakhstan	Ղազախստան
Kentucky	Կենտուկի
Kenya	Քենիա
Kiev	Կիև
Kigali	Կիգալի
Kingston	Կինգստոն
Kinshasa	Կինշասա
Kiss	Համբույր
Krypton	Կրիպտոն
Kuala Lumpur	Կուալա Լումպուր
Kura River	Քուռ գետ
Kyrgyzstan	Ղրղզստան
La Paz	Լա Պաս
Lagos	Լագոս
Lanthanum	Լանթան
Laos	Լաոս
Las Vegas	Լաս Վեգաս
Latin	Լատիներեն
Latvia	Լատվիա
Lawrencium	Լոուրենսիում
Lead	Կապար
Leap year	Նահանջ տարի
Lebanon	Լիբանան
Leonardo da Vinci	Լեոնարդո Դա Վինչի
Lesotho	Լեսոթո
Liberia	Լիբերիա
Libreville	Լիբրևիլ
Libya	Լիբիա
Liechtenstein	Լիխտենշտեյն
Lilongwe	Լիլոնգվե
Linux	Linux
Lisbon	Լիսաբոն
Lithium	Լիթիում
Lithuania	Լիտվա
Livy	Տիտուս Լիվիուս
Ljubljana	Լյուբլյանա
London	Լոնդոն
Lord's Prayer	Հայր Մեր
Los Angeles	Լոս Անջելես
Louisiana	Լուիզիանա
Luanda	Լուանդա
Ludwig van Beethoven	Լուդվիգ վան Բեթհովեն
Lusaka	Լուսակա
Lutetium	Լուտեցիում
Luxembourg	Լյուքսեմբուրգ
Luxembourg (city)	Լյուքսեմբուրգ (քաղաք)
Lyon	Լիոն
Macintosh	Apple Macintosh
Madagascar	Մադագասկար
Madrid	Մադրիդ
Magnesium	Մագնիում
Main	Մայն
Maine	Մեն
Malabo	Մալաբո
Malaysia	Մալայզիա
Mali	Մալի
Malta	Մալթա
Manama	Մանամա
Manganese	Մանգան
Maputo	Մապուտու
March	Մարտ
March 2	Մարտի 2
Marseille	Մարսել
Martin Luther	Մարտին Լյութեր
Marxism	Մարքսիզմ
Maryland	Մերիլենդ
Maseru	Մասերու
Massachusetts	Մասաչուսեթս
Mauritania	Մավրիտանիա
Mauritius	Մավրիտիուս
May	Մայիս
May 1	Մայիսի 1
Mbabane	Մբաբանե
Meitnerium	Մայտներիում
Mendelevium	Մենդելեվիում
Mercury (element)	Սնդիկ
Mercury (planet)	Մերկուրի
Mesopotamia	Միջագետք
Michigan	Միչիգան
Milan	Միլան
Milk	Կաթ
Minnesota	Մինեսոտա
Minsk	Մինսկ
Missouri	Միսուրի
Mogadishu	Մոգադիշո
Moldova	Մոլդովա
Molybdenum	Մոլիբդեն
Monaco	Մոնակո
Monday	Երկուշաբթի
Mongolia	Մոնղոլիա
Monism	Մոնիզմ
Monotheism	Մոնոթեիզմ
Monrovia	Մոնրովիա
Montana	Մոնտանա
Montenegro	Չեռնոգորիա
Montreal	Մոնրեալ
Moon	Լուսին
Morphology (linguistics)	Ձևաբանություն
Moscow	Մոսկվա
Mount Ararat	Արարատ
Mozambique	Մոզամբիկ
Munich	Մյունխեն
Muscat	Մասկատ
NASDAQ	NASDAQ
Nairobi	Նայրոբի
Namibia	Նամիբիա
Nancy	Նանսի
Nanotechnology	Նանոտեխնոլոգիա
Naples	Նեապոլ
Nature	Բնություն
Nature	Կատեգորիա:Բնություն
Nazi Germany	Նացիստական Գերմանիա
Nebraska	Նեբրասկա
Neodymium	Նեոդիում
Neon	Նեոն
Nepal	Նեպալ
Neptune	Նեպտուն
Neptunium	Նեպտունիում
Netherlands	Նիդեռլանդներ
Nevada	Նևադա
New Delhi	Նյու Դելի
New Hampshire	Նյու Հեմպշիր
New Jersey	Նյու Ջերսի
New Mexico	Նյու Մեքսիկո
New Testament	Նոր Կտակարան
New Zealand	Նոր Զելանդիա
Niamey	Նիամեյ
Nicaragua	Նիկարագուա
Nickel	Նիկել
Nicosia	Նիկոսիա
Niger	Նիգեր
Nigeria	Նիգերիա
Niobium	Նիոբիում
Nitrogen	Ազոտ
Noam Chomsky	Նոամ Չոմսկի
North Carolina	Հյուսիսային Կարոլինա
North Dakota	Հյուսիսային Դակոտա
North Korea	Հյուսիսային Կորեա
Norway	Նորվեգիա
Nouakchott	Նուակշոտ
Noun	Գոյական անուն
November	Նոյեմբեր
Ocean	Օվկիանոս
October	Հոկտեմբեր
Odessa	Օդեսսա
Ohio	Օհայո
Oklahoma	Օկլահոմա
Old Testament	Հին Կտակարան
Oman	Օման
Oregon	Օրեգոն
Osama bin Laden	Ուսամա բեն Լադեն
Oslo	Օսլո
Osman I	Օսման I
Osmium	Օսմիում
Ottawa	Օտավա
Otto von Bismarck	Օտտօ ֆոն Բիսմարկ
Oxygen	Թթվածին
Pacific Ocean	Խաղաղ Օվկիանոս
Pacifism	Պացիֆիզմ
Pakistan	Պակիստան
Palestine	Պաղեստին
Palladium	Պալադիում
Pantheism	Պանթեիզմ
Paris	Փարիզ
Pathology	Ախտաֆիզիոլոգիա
Paul McCartney	Փոլ Մաքքարթնի
Pearl	Մարգարիտ
Pennsylvania	Պենսիլվանիա
People	Կատեգորիա:Անձեր
People's Republic of China	Չինաստանի Ժողովրդական Հանրապետություն
Perception	Ըմբռնում
Periodic table	Պարբերական աղյուսակ
Philadelphia	Ֆիլադելֆիա
Philosophy	Փիլիսոփայություն
Philosophy	Կատեգորիա:Փիլիսոփայություն
Phnom Penh	Պնոմպեն
Phosphorus	Ֆոսֆոր
Photography	Լուսանկարչություն
Physics	Ֆիզիկա
Physics	Կատեգորիա:Ֆիզիկա
Platinum	Պլատին
Plato	Պլատոն
Plum	Սալոր
Pluto	Պլուտոն
Plutonium	Պլուտոնիում
Poland	Լեհաստան
Politics	Կատեգորիա:Քաղաքականություն
Polonium	Պոլոնիում
Pomegranate	Նուռ
Pope	Հռոմի Պապ
Port Louis	Պորտ Լուի
Port-au-Prince	Պորտ-օ-Պրենս
Portugal	Պորտուգալիա
Potassium	Կալիում
Prague	Պրագա
Praia	Պրայա
Praseodymium	Պրազեդիում
Promethium	Պրոմեթիում
Protactinium	Պրոտակտինիում
Psychology	Հոգեբանություն
Puerto Rico	Պուերտո Ռիկո
Pyongyang	Պխենյան
Pythagoras	Պյութագորաս
Qatar	Քատար
Quito	Կիտո
Radium	Ռադիում
Radon	Ռադոն
Raspberry	Ազնվամորի
Religion	Կրոն
Religion	Կատեգորիա:Կրոն
Religious Society of Friends	Քվակերներ
Rembrandt	Ռեմբրանտ վան Ռեյն
Republic of Ireland	Իռլանդիա
Rhenium	Ռենիում
Rhinoceros	Ռնգեղջյուր
Rhode Island	Ռոդ-Այլենդ
Rhodium	Ռոդիում
Richard Nixon	Ռիչարդ Նիքսոն
Richard Wagner	Րիխարդ Վագներ
Riga	Ռիգա
Ringo Starr	Ռինգո Սթար
Rock (geology)	Լեռնային ապար
Romania	Ռումինիա
Rome	Հռոմ
Ronald Reagan	Ռոնալդ Ռեյգան
Rose	Վարդ
Rubidium	Ռուբիդիում
Rubus idaeus	Ազնվամորի
Rudolf Diesel	Ռուդոլֆ Դիզել
Russia	Ռուսաստան
Ruthenium	Ռոթենիում
Rutherfordium	Ռեզերֆորդիում
Rwanda	Ռուանդա
Sahara	Սահարա
Saint Petersburg	Սանկտ Պետերբուրգ
Samarium	Սամարիում
San Marino	Սան Մարինո
San Marino	Սան Մարինո (քաղաք)
Sarajevo	Սարաևո
Saturday	Շաբաթ
Saturn	Սատուրն
Saxony	Սաքսոնիա
Scandium	Սկանդիում
Seaborgium	Սիբորգիում
Security	Կատեգորիա:Անվտանգություն
Seismology	Սեյսմալոգիա
Selenium	Սելեն
Seoul	Սեուլ
September	Սեպտեմբեր
Serbia	Սերբիա
Serbia and Montenegro	Սերբիա և Մոնտենեգրո
Serotonin	Սերոտոնին
Sierra Leone	Սիերա Լիոնե
Silicon	Սիլիցիում
Silver	Արծաթ
Singapore	Սինգապուր
Skopje	Սկոպյե
Slovakia	Սլովակիա
Slovakia	Կատեգորիա:Սլովակիա
Slovenia	Սլովենիա
Society	Category:Հասարակություն
Society of Jesus	Ճիզվիտ
Socrates	Սոկրատես
Sodium	Նատրիում
Sofia	Սոֆիա
Solar System	Արեգակնային համակարգ
Soul	Հոգի
South Carolina	Հարավային Կարոլինա
South Dakota	Հարավային Դակոտա
South Korea	Հարավային Կորեա
Soviet Union	Խորհրդային Միություն
Soviet Union	Կատեգորիա:Սովետական Միություն
Spain	Իսպանիա
Sport	Սպորտ
Sri Lanka	Շրի Լանկա
Stockholm	Ստոքհոլմ
Strontium	Ստրոնցիում
Sulfur	Ծծումբ
Sun	Արև
Sunday	Կիրակի
Supercomputer	Գերհամակարգիչ
Surrealism	Սյուրռեալիզմ
Sweden	Շվեդիա
Sweden	Կատեգորիա:Շվեդիա
Switzerland	Շվեյցարիա
Syria	Սիրիա
Taj Mahal	Թաջ Մահալ
Tajikistan	Տաջիկստան
Tallinn	Տալլին
Tantalum	Տանտալ
Tanzania	Թանզանիա
Tbilisi	Թբիլիսի
Technetium	Տեխնեցիում
Technology	Տեխնիկա
Technology	Category:Տեխնոլոգիա
Tehran	Թեհրան
Tellurium	Տելուր
Tennessee	Թենեսի
Terbium	Կերբիում
Terrorism	Ահաբեկչություն
Texas	Տեխաս
Thallium	Թալիում
The Gambia	Գամբիա
Thermometer	Ջերմաչափ
Thorium	Թորիում
Thulium	Թուլիում
Thuringia	Թուրինգիա
Thursday	Հինգշաբթի
Thyme	Ուրց
Tiber	Տիբեր
Tigris	Տիգրիս
Time	Կատեգորիա:Ժամանակ
Timur	Լենկթեմուր
Tin	Անագ
Tirana	Տիրանա
Titanium	Տիտան
Tokyo	Տոկիո
Tripoli	Տրիպոլի
Truth	Ճշմարտություն
Tsar	Ցար
Tuberculosis	Թոքախտ
Tuesday	Երեքշաբթի
Tungsten	Վոլֆրամ
Tunis	Թունիս (քաղաք)
Turin	Թուրին
Turkey	Թուրքիա
Turkey	Կատեգորիա:Թուրքիա
Turkmenistan	Թուրքմենիստան
UNESCO	Միավորված Ազգերի Կրթության, Գիտության և Մշակույթի Կազմակերպություն
Uganda	Ուգանդա
Ukraine	Ուկրաինա
Ulan Bator	Ուլան Բատոր
United Kingdom	Միավորված Թագավորություն
United Nations	Միավորված Ազգերի Կազմակերպություն
United States	Ամերիկայի Միացյալ Նահանգներ
United States Constitution	ԱՄՆ Սահմանադրություն
United States Virgin Islands	Ամերիկյան Վիրջինյան կղզիներ
United States dollar	ԱՄՆ դոլլար
Uppsala	Ուփսալա
Uranium	Ուրան (տարր)
Uranus	Ուրան (մոլորակ)
Utah	Յուտա
Uzbekistan	Ուզբեկստան
Vaduz	Վադուց
Valletta	Վալետա
Vanadium	Վանադիում
Vatican City	Վատիկան
Venezuela	Վենեսուելա
Venice	Վենետիկ
Venus	Վեներա
Vermont	Վերմոնտ
Vespasian	Վեսպասիանոս
Vienna	Վիեննա
Vientiane	Վյենտյան
Vietnam	Վիետնամ
Vilnius	Վիլնյուս
Vincent van Gogh	Վինսենթ վան Գոգ
Virginia	Վիրջինիա
Vitamin	Վիտամին
Vladimir Putin	Վլադիմիր Պուտին
Warsaw	Վարշավա
Washington	Վաշինգտոն
Washington	Վաշինգտոն (նահանգ)
Water	Ջուր
Wednesday	Չորեքշաբթի
Wellington	Վելինգտոն
Werewolf	Մարդագայլ
West Virginia	Արևմտյան Վիրջինիա
Wheel	Անիվ
Windhoek	Վինդհուկ
Windmill	Հողմաղաց
Winston Churchill	Ուինսթոն Չերչիլ
Wisconsin	Վիսկոնսին
Wolfgang Amadeus Mozart	Վոլֆգանգ Ամադեուս Մոցարտ
World War II	Երկրորդ Համաշխարհային Պատերազմ
World War II	Կատեգորիա:Երկրորդ Համաշխարհային Պատերազմ
Wyoming	Վայոմինգ
Xenon	Քսենոն
Yangon	Ռանգուն
Yasser Arafat	Յասեր Արաֆաթ
Yemen	Եմեն
Yerevan	Երևան
Ytterbium	Իտերբիում
Yttrium	Իտրիում
Yuri Gagarin	Յուրի Գագարին
Zagreb	Զագրեբ
Zinc	Ցինկ
Zirconium	Ցիրկոնիում
Zoroaster	Զրադաշտ
Zoroastrianism	Զրադաշտականություն
