Esperanto	English
Acetono	Acetone
Etino	Acetylene
Aĥilo	Achilles
Acido	Acid
Acida pluvo	Acid rain
Aknohaŭto	Acne vulgaris
Akonkagvo	Aconcagua
Glano	Acorn
Akustiko	Acoustics
Kategorio:Akustiko	Acoustics
Akreo (mezurunuo)	Acre
Akko	Acre
Akro (Brazilo)	Acre (state)
Akropolo	Acropolis
Aktinoido	Actinide
Aktinio	Actinium
Aktoro	Actor
Agoj de la Apostoloj	Acts of the Apostles
Akupunkturo	Acupuncture
Adamo	Adam
Adam Smith	Adam Smith
Adana	Adana
Baobabo	Adansonia
Dependeco (medicino)	Addiction
Adis-Abebo	Addis Ababa
Adelajdo	Adelaide
Adeno	Aden
Adenino	Adenine
Adenozina trifosfato	Adenosine triphosphate
Izovarma proceso	Adiabatic process
Adiĝo	Adige
Adjektivo	Adjective
Admiralo	Admiral
Adolesko	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adoniso	Adonis
Adopto	Adoption
Surrena glando	Adrenal gland
Adriatiko	Adriatic Sea
Plenkreskeco	Adult
Advento	Advent
Adverbo	Adverb
Reklamo	Advertising
Egea Maro	Aegean Sea
Eneo	Aeneas
Eneado	Aeneid
Eolo	Aeolus
Aerodinamiko	Aerodynamics
Aerosolo	Aerosol
Esĥilo	Aeschylus
Ezopo	Aesop
Estetiko	Aesthetics
Afikso	Affix
Afganio	Afghanistan
Kategorio:Afganio	Afghanistan
Afriko	Africa
Kategorio:Afriko	Africa
Afrikansa lingvo	Afrikaans
Agamemno	Agamemnon
Agaragaro	Agar
Agato	Agate
Agatha Christie	Agatha Christie
Agreso	Aggression
Senmakzeluloj	Agnatha
Agnostikismo	Agnosticism
Agoro	Agora
Agrikulturo	Agriculture
Kategorio:Agrikulturo	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Aerarmeo	Air force
Airbus	Airbus
Aviadilo	Aircraft
Aviadila ŝipo	Aircraft carrier
Flugkompanio	Airline
Flughaveno	Airport
Aĥnaton	Akhenaten
Kurosawa Akira	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Kaida	Al-Qaeda
Alabamo	Alabama
Kategorio:Alabamo	Alabama
Alan B. Shepard Jr.	Alan Shepard
Alan Turing	Alan Turing
Alanino	Alanine
Alasko	Alaska
Kategorio:Alasko	Alaska
Alban Berg	Alban Berg
Albanio	Albania
Kategorio:Albanio	Albania
Albany (Nov-Jorkio)	Albany
Albatrosoj	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberto	Alberta
Kategorio:Alberto	Alberta
Albinismo	Albinism
Albito	Albite
Muzikalbumo	Album
Albuquerque (Nov-Meksiko)	Albuquerque
Alkemio	Alchemy
Kategorio:Alkemio	Alchemy
Alkoholo	Alcohol
Alkoholaĵo	Alcoholic beverage
Alkoholismo	Alcoholism
Aldebarano	Aldebaran
Aldehido	Aldehyde
Alno	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solĵenicin	Aleksandr Solzhenitsyn
Alepo	Aleppo
Aleutoj	Aleutian Islands
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksandr Puŝkin	Alexander Pushkin
Aleksandro la Granda	Alexander the Great
Alexandre Dumas (patro)	Alexandre Dumas
Alexandre Dumas (filo)	Alexandre Dumas
Aleksandrio	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Alfredo la Granda	Alfred the Great
Algo	Algae
Algebro	Algebra
Kategorio:Algebro	Algebra
Alĝerio	Algeria
Kategorio:Alĝerio	Algeria
Alĝero	Algiers
Algoritmo	Algorithm
Alhambro	Alhambra
Ali ibn Abi Talib	Ali
Alkala metalo	Alkali metal
Alkaloido	Alkaloid
Alkano	Alkane
Alkeno	Alkene
Alkino	Alkyne
Alaho	Allah
Alegorio	Allegory
Allen Ginsberg	Allen Ginsberg
Alergio	Allergy
Alofono	Allophone
Alosaŭro	Allosaurus
Alotropo	Allotropy
Alojo	Alloy
Jarlibro	Almanac
Almato	Almaty
Migdalujo	Almond
Aloo	Aloe
Alfo	Alpha (letter)
Alfa Centaŭro	Alpha Centauri
Alfa-radiado	Alpha particle
Alfabeto	Alphabet
Alpoj	Alps
Kategorio:Alpoj	Alps
Alzaco	Alsace
Altairo	Altair
Altaro	Altar
Altajo	Altay Mountains
Alterna kurento	Alternating current
Alternativa medicino	Alternative medicine
Aluminio	Aluminium
Aluminia oksido	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alchajmero	Alzheimer's disease
Amarilidacoj	Amaryllidaceae
Amazono (rivero)	Amazon River
Ambasadoro	Ambassador
Sukceno	Amber
Amelia Earhart	Amelia Earhart
Amerika bizono	American Bison
Amerika nigra urso	American Black Bear
Usona Enlanda Milito	American Civil War
Usona Revolucio	American Revolutionary War
Usona Samoo	American Samoa
Askio	American Standard Code for Information Interchange
Usona piedpilko	American football
Americio	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametisto	Amethyst
Amhara lingvo	Amharic
Amido	Amide
Amino	Amine
Aminoacido	Amino acid
Amiŝismo	Amish
Amano	Amman
Ampermetro	Ammeter
Amoniako	Ammonia
Amnezio	Amnesia
Amnestio	Amnesty
Ampero	Ampere
Amfibioj	Amphibian
Amfiteatro	Amphitheatre
Amforo	Amphora
Amplitudo	Amplitude
Amsterdamo	Amsterdam
Amon-Reo	Amun
Amuro	Amur
Anabaptismo	Anabaptist
Anagramo	Anagram
Anusa seksumado	Anal sex
Anarkiismo	Anarchism
Kategorio:Anarkiismo	Anarchism
Anasedoj	Anatidae
Anatole France	Anatole France
Kategorio:Anatomio	Anatomy
Anatomio	Anatomy
Anaksagoro	Anaxagoras
Anaksimandro	Anaximander
Ankro (ŝipo)	Anchor
Anchorage	Anchorage
Antikva greka lingvo	Ancient Greek
Kategorio:Antikva historio	Ancient history
Andaluzio	Andalusia
Anders Celsius	Anders Celsius
Andoj	Andes
Andra-Pradeŝo	Andhra Pradesh
Andoro	Andorra
Kategorio:Andoro	Andorra
Andrej Saĥarov	Andrei Sakharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Andromedo (konstelacio)	Andromeda (constellation)
Andromeda galaksio	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemio	Anemia
Anestezo	Anesthesia
Angara	Angara River
Anĝelo	Angel
Angulo	Angle
Anglikanismo	Anglicanism
Angolo	Angola
Kategorio:Angolo	Angola
Angvilo	Anguilla
Angula movokvanto	Angular momentum
Animalo	Animal
Bredado	Animal husbandry
Animacio	Animation
Animeo	Anime
Kategorio:Animeo	Anime
Animismo	Animism
Anizo	Anise
Ankaro	Ankara
Annapolis (Marilando)	Annapolis
Anapurno	Annapurna
Anelidoj	Annelid
Anno Domini	Anno Domini
Anodo	Anode
Anoreksio	Anorexia nervosa
Anseroformaj birdoj	Anseriformes
Kategorio:Anseroformaj	Anseriformes
Formiko	Ant
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarkto	Antarctica
Kategorio:Antarkto	Antarctica
Antrakso	Anthrax
Antropologio	Anthropology
Kategorio:Antropologio	Anthropology
Antropozofio	Anthroposophy
Antibiotiko	Antibiotic
Antikristo	Antichrist
Antigona (mitologio)	Antigone
Antigvo-Barbudo	Antigua and Barbuda
Kategorio:Antigvo-Barbudo	Antigua and Barbuda
Antimaterio	Antimatter
Antimono	Antimony
Antioksidanto	Antioxidant
Kontraŭpapo	Antipope
Antisemitismo	Antisemitism
Pumpilo (konstelacio)	Antlia
Antofagasta (urbo)	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Ĉeĥov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonimo	Antonym
Antverpeno (urbo)	Antwerp
Antverpeno (provinco)	Antwerp (province)
Anubo	Anubis
Anuso	Anus
Aorto	Aorta
Apaĉoj	Apache
Apatito	Apatite
Homoideoj	Ape
Afazio	Aphasia
Aforismo	Aphorism
Afrodito (diino)	Aphrodite
Apio	Apia
Apiacoj	Apiaceae
Apokrifoj	Apocrypha
Apodoformaj birdoj	Apodiformes
Apolono	Apollo
Projekto Apollo	Apollo program
Apalaĉaj Montoj	Appalachian Mountains
Apendicito	Appendicitis
Pomo	Apple
Aplika matematiko	Applied mathematics
Abrikoto	Apricot
Aprilo	April
14-a de aprilo	April 14
Ŝercotago	April Fools' Day
Absido	Apse
Apulio	Apulia
Paradizeo (konstelacio)	Apus
Akabo	Aqaba
Akvario	Aquarium
Akvisto	Aquarius (constellation)
Akvedukto	Aqueduct
Aglo (konstelacio)	Aquila (constellation)
Akvitanio	Aquitaine
Altaro (konstelacio)	Ara (constellation)
Araboj	Arab
Ligo de Arabaj Ŝtatoj	Arab League
Arabio	Arabian Peninsula
Araba Maro	Arabian Sea
Araba alfabeto	Arabic alphabet
Araba lingvo	Arabic language
Arumacoj	Araceae
Araneoidoj	Arachnid
Aragono	Aragon
Aralo	Aral Sea
Aram Ĥaĉaturjan	Aram Khachaturian
Arkadio	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Arko (arkitekturo)	Arch
Arkeologio	Archaeology
Kategorio:Arkeologio	Archaeology
Arkeopterigo	Archaeopteryx
Arkianĝelo	Archangel
Ĉefepiskopo	Archbishop
Arĥaiko	Archean
Arketipo	Archetype
Arkimedo	Archimedes
Arkipelago	Archipelago
Arkitekto	Architect
Arkitekturo	Architecture
Kategorio:Arkitekturo	Architecture
Arkosaŭroj	Archosaur
Arkto	Arctic
Arkta Cirklo	Arctic Circle
Arkta Oceano	Arctic Ocean
Arkta vulpo	Arctic fox
Ardenoj	Ardennes
Ardennes (franca departemento)	Ardennes (department)
Aro (mezurunuo)	Are
Areo	Area
Arekacoj	Arecaceae
Areso	Ares
Argentino	Argentina
Kategorio:Argentino	Argentina
Argono	Argon
Ario	Aria
Ariadna (diino)	Ariadne
Arianismo	Arianism
Ŝafo (konstelacio)	Aries (constellation)
Aristokratio	Aristocracy
Aristofano	Aristophanes
Aristotelo	Aristotle
Aritmetiko	Arithmetic
Kategorio:Aritmetiko	Arithmetic
Aritmetika vico	Arithmetic progression
Arizono	Arizona
Kategorio:Arizono	Arizona
Kesto de interligo	Ark of the Covenant
Arkansaso	Arkansas
Kategorio:Arkansaso	Arkansas
Arles	Arles
Dazipo	Armadillo
Armenio	Armenia
Kategorio:Armenio	Armenia
Armena lingvo	Armenian language
Arminio (Ĥeruska tribestro)	Arminius
Kiraso	Armour
Arnhem	Arnhem
Rivero Arno	Arno River
Arnold Schönberg	Arnold Schoenberg
Aromatoj	Aromatic hydrocarbon
Arkebuzo	Arquebus
Arras	Arras
Arseno	Arsenic
Arto	Art
1925-stilo	Art Deco
Secesio (stilo)	Art Nouveau
Historio de arto	Art history
Artemiso	Artemis
Artemizio	Artemisia (plant)
Absinto	Artemisia absinthium
Arterio	Artery
Artrito	Arthritis
Artropodoj	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Duko de Wellington	Arthur Wellesley
Artefarita inteligenteco	Artificial intelligence
Artilerio	Artillery
Kategorio:Artilerio	Artillery
Artisto	Artist
Kategorio:Arto	Arts
Arubo	Aruba
Asbesto	Asbestos
Asklepio	Asclepius
Ásgarðr	Asgard
Cindra Merkredo	Ash Wednesday
Asurbanipal	Ashurbanipal
Azio	Asia
Kategorio:Azio	Asia
Asmara	Asmara
Asfalto	Asphalt
Aspirino	Aspirin
Asamo	Assam
Atenco	Assassination
Asembla lingvo	Assembly language
ASEAN	Association of Southeast Asian Nations
Asirio	Assyria
Kategorio:Asirio	Assyria
Astano	Astana
Astato	Astatine
Asteracoj	Asteraceae
Kategorio:Asteracoj	Asteraceae
Asteroido	Asteroid
Asteroida zono	Asteroid belt
Astenosfero	Asthenosphere
Astmo	Asthma
Astigmatismo	Astigmatism (eye)
Astraĥan	Astrakhan
Astrobiologio	Astrobiology
Astrolabo	Astrolabe
Astrologio	Astrology
Kategorio:Astrologio	Astrology
Astrometrio	Astrometry
Kosmonaŭto	Astronaut
Astronomo	Astronomer
Astronomia unuo	Astronomical unit
Astronomio	Astronomy
Kategorio:Astronomio	Astronomy
Portalo:Astronomio	Astronomy
Astrofiziko	Astrophysics
Kategorio:Astrofiziko	Astrophysics
Asuano	Aswan
Asimptoto	Asymptote
Atakamo	Atacama Desert
Atono	Aten
Kategorio:Ateismo	Atheism
Atena	Athena
Ateno	Athens
Kategorio:Atletiko	Athletics
Atletiko	Athletics (track and field)
Atlanta (Georgio)	Atlanta
Atlantika Oceano	Atlantic Ocean
Kategorio:Atlantika Oceano	Atlantic Ocean
Atlantido	Atlantis
Atlaso	Atlas (disambiguation)
Atlasa Montaro	Atlas Mountains
Atmosfero (astro)	Atmosphere
Atolo	Atoll
Atomo	Atom
Atompezo	Atomic mass
Atommasa unuo	Atomic mass unit
Atomnumero	Atomic number
Kategorio:Atoma fiziko	Atomic physics
Atropino	Atropine
Atiko	Attica
Atilo la Huno	Attila the Hun
Au	Au
Auckland	Auckland
Aŭkcio	Auction
Aŭgusto	August
1-a de aŭgusto	August 1
15-a de aŭgusto	August 15
6-a de aŭgusto	August 6
August Strindberg	August Strindberg
Augusta (Majno)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Aŭgusteno de Hipono	Augustine of Hippo
Aŭgusto Cezaro	Augustus
Koĉero (konstelacio)	Auriga (constellation)
Aŭroro	Aurora
Norda brilo	Aurora (astronomy)
Aŭstino	Austin
Aŭstralazio	Australasia
Aŭstralio	Australia
Kategorio:Aŭstralio	Australia
Aŭstralia dolaro	Australian dollar
Aŭstralopitekoj	Australopithecus
Aŭstrio	Austria
Kategorio:Aŭstrio	Austria
Aŭstrio-Hungario	Austria-Hungary
Aŭtoro	Author
Aŭtismo	Autism
Aŭtosporto	Auto racing
Aŭtobiografio	Autobiography
Elektronika bankskatolo	Automated teller machine
Aŭtomobilo	Automobile
Aŭtotrofo	Autotroph
Aŭtuno	Autumn
Aŭvernjo	Auvergne (region)
Lavango	Avalanche
Avataro	Avatar
Aveno	Avena
Ibn-Ruŝd	Averroes
Avesto	Avesta
Kategorio:Aviado	Aviation
Aviado	Aviation
Aviceno	Avicenna
Avignon	Avignon
Avokado	Avocado
Hakilo	Axe
Aksiomo	Axiom
Ajatolo	Ayatollah
Ayn Rand	Ayn Rand
Azerbajĝano	Azerbaijan
Kategorio:Azerbajĝano	Azerbaijan
Acoroj	Azores
Aztekoj	Aztec
Azurito	Azurite
B	B
BASIC (programlingvo)	BASIC
Baalo	Baal
Paviano	Baboon
Babilono	Babylon
Babilonio	Babylonia
Triktrako	Backgammon
Bakterioj	Bacteria
Kategorio:Bakterioj	Bacteria
Bakteriofago	Bacteriophage
Baktria kamelo	Bactrian Camel
Badmintono	Badminton
Bafina Golfo	Baffin Bay
Bafina Insulo	Baffin Island
Bagdado	Baghdad
Kategorio:Bahamoj	Bahamas
Barejno	Bahrain
Kategorio:Barejno	Bahrain
Baja California	Baja California
Baku	Baku
Bilanco	Balance sheet
Baldr	Baldr
Balearoj	Balearic Islands
Balio	Bali
Balkanaj militoj	Balkan Wars
Balkana duoninsulo	Balkans
Pilko	Ball
Baleto	Ballet
Globkrajono	Ballpoint pen
Balta Maro	Baltic Sea
Baltimore (Marilando)	Baltimore
Bamako	Bamako
Bambuo	Bamboo
Banano	Banana
Bengaluro	Bangalore
Bangkok	Bangkok
Bangladeŝo	Bangladesh
Kategorio:Bangladeŝo	Bangladesh
Bangui	Bangui
Banĵulo	Banjul
Banko	Bank
Monbileto	Banknote
Kategorio:Bankoj	Banks
Bapto	Baptism
Baptismo	Baptist
Baro	Bar (unit)
Barbado	Barbados
Kategorio:Barbado	Barbados
Barbaroj	Barbarian
Barbra Streisand	Barbra Streisand
Barcelono	Barcelona
Barenca Maro	Barents Sea
Bari	Bari
Bario	Barium
Hordeo	Barley
Turstrigo	Barn Owl
Domhirundo	Barn Swallow
Barono	Baron
Baroko	Baroque
Bariono	Baryon
Bazalto	Basalt
Bazo (kemio)	Base (chemistry)
Basbalo	Baseball
Kategorio:Basbalo	Baseball
Bazelo (urbo)	Basel
Bash	Bash
Bazidiomicetoj	Basidiomycota
Bazilio	Basil
Sankta Bazilo	Basil of Caesarea
Baziliko	Basilica
Basilikato	Basilicata
Bazilisko (mitologio)	Basilisk
Korbopilkado	Basketball
Basra	Basra
Basgitaro	Bass guitar
Malsupra Normandio	Basse-Normandie
Basseterre	Basseterre
Fagoto	Bassoon
Bastille	Bastille
Kiropteroj	Bat
Bath	Bath
Batman	Batman
Baton Rouge (Luiziano)	Baton Rouge
Bataliono	Battalion
Baterio	Battery (electricity)
Batalo ĉe Slavkov	Battle of Austerlitz
Batalo apud Hastings	Battle of Hastings
Batalo de Trafalgar	Battle of Trafalgar
Batalo de Waterloo	Battle of Waterloo
Batalo ĉe la Somme	Battle of the Somme
Bauhaus	Bauhaus
Baŭksito	Bauxite
Bavario	Bavaria
Kategorio:Bavario	Bavaria
Nobla laŭro	Bay Laurel
Bengala Golfo	Bay of Bengal
Biskaja Golfo	Bay of Biscay
Bayer AG	Bayer
Bajoneto	Bayonet
Bajono	Bayonne
Strando	Beach
Biglo	Beagle
Beko	Beak
Urso	Bear
Boforta skalo	Beaufort scale
Kastoro	Beaver
Bekerelo	Becquerel
Lito	Bed
Beduenoj	Bedouin
Abelo	Bee
Fago	Beech
Kategorio:Abelkulturo	Beekeeping
Biero	Beer
Kategorio:Biero	Beer
Koleopteroj	Beetle
Kondutismo	Behaviorism
Pekino	Beijing
Bejruto	Beirut
Belorusio	Belarus
Kategorio:Belorusio	Belarus
Belfasto	Belfast
Belgio	Belgium
Kategorio:Belgio	Belgium
Beogrado	Belgrade
Belizo	Belize
Kategorio:Belizo	Belize
Sonorilo	Bell (instrument)
Ventra danco	Belly dance
Belo Horizonte	Belo Horizonte
Belugo	Beluga
Benelukso	Benelux
Bengalio	Bengal
Benino	Benin
Kategorio:Benino	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen (Norvegio)	Bergen
Beringa Maro	Bering Sea
Beringa Markolo	Bering Strait
Berkelio	Berkelium
Berkshire	Berkshire
Berlino	Berlin
Kategorio:Berlino	Berlin
Bermudo	Bermuda
Kategorio:Bermudo	Bermuda
Bermuda triangulo	Bermuda Triangle
Berno	Berne
Bernhard Riemann	Bernhard Riemann
Bero	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berilio	Beryllium
Beto (litero)	Beta (letter)
Betelĝuzo	Betelgeuse
Bet-Leĥem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Butano	Bhutan
Kategorio:Butano	Bhutan
Biblio	Bible
Kategorio:Biblio	Bible
Bibliografio	Bibliography
Biciklo	Bicycle
Praeksplodo	Big Bang
Biharo	Bihar
Bikino	Bikini
Galo	Bile
William J. Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Lorno	Binoculars
Biokemio	Biochemistry
Kategorio:Biokemio	Biochemistry
Biodiverseco	Biodiversity
Biogeografio	Biogeography
Biografio	Biography
Portalo:Homoj	Biography
Biologia armilo	Biological warfare
Biologio	Biology
Kategorio:Biologio	Biology
Biomaso	Biomass
Biometrio	Biometrics
Biofiziko	Biophysics
Biotekniko	Biotechnology
Kategorio:Biotekniko	Biotechnology
Betulo	Birch
Birdoj	Bird
Birmingham (Alabamo)	Birmingham
Kontraŭkoncipilo	Birth control
Ambaŭseksemo	Bisexuality
Biŝkeko	Bishkek
Episkopo	Bishop
Kuriero (ŝako)	Bishop (chess)
Bismarck (Norda Dakoto)	Bismarck
Bismarck	Bismarck (disambiguation)
Bismuto	Bismuth
Bisaŭo	Bissau
Bito	Bit
Bitinio	Bithynia
Nigro	Black
Nigra morto	Black Death
Nigra Arbaro	Black Forest
Nigra milvo	Black Kite
Nigra Maro	Black Sea
Nigra cikonio	Black Stork
Nigra korpo	Black body
Nigra truo	Black hole
Nigra pipro	Black pepper
Merlo	Blackbird
Blaise Pascal	Blaise Pascal
Blender (programo)	Blender (software)
Blindeco	Blindness
Fulmomilito	Blitzkrieg
Bloemfontein	Bloemfontein
Blogo	Blog
Sango	Blood
Blua	Blue
Bluso	Blues
Apro	Boar
Tabulludo	Board game
Boato	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobado	Bobsleigh
Bodhisatvo	Bodhisattva
Korpomasa indico	Body mass index
Korpokulturado	Bodybuilding
Bohemio	Bohemia
Borio	Bohrium
Bolpunkto	Boiling point
Boise (Idaho)	Boise
Bolivio	Bolivia
Kategorio:Bolivio	Bolivia
Bolonjo	Bologna
Bolŝeviko	Bolshevik
Bolzano-Bozen	Bolzano
Bombo	Bomb
Silkraŭpo	Bombyx mori
Obligacio	Bond (finance)
Osto	Bone
Ostmedolo	Bone marrow
Bonn	Bonn
Bonsajo	Bonsai
Libro	Book
Ester (libro)	Book of Esther
Josuo (libro)	Book of Joshua
Juĝistoj (libro)	Book of Judges
Libro de Mormon	Book of Mormon
Nombroj	Book of Numbers
Apokalipso de Johano	Book of Revelation
Rut (libro)	Book of Ruth
Bulea algebro	Boolean algebra (structure)
Bumerango	Boomerang
Bordeaux	Bordeaux
Boris Pasternak	Boris Pasternak
Borneo	Borneo
Boro	Boron
Bosnio kaj Hercegovino	Bosnia and Herzegovina
Kategorio:Bosnio kaj Hercegovino	Bosnia and Herzegovina
Bosono	Boson
Bosporo	Bosporus
Bostono	Boston
Bostona tea rendevuo	Boston Tea Party
Botanika ĝardeno	Botanical garden
Botaniko	Botany
Kategorio:Botaniko	Botany
Bocvano	Botswana
Kategorio:Bocvano	Botswana
Botelo	Bottle
Burĝo	Bourgeoisie
Burgonjo	Bourgogne
Buvetinsulo	Bouvet Island
Bovedoj	Bovid
Arko (armilo)	Bow (weapon)
Boksero (hundo)	Boxer (dog)
Kategorio:Boksistoj	Boxers
Boksado	Boxing
Leĝo de Boyle	Boyle's law
Krampo (interpunkcio)	Bracket
Braga	Braga
Brahmao	Brahma
Brajlo	Braille
Cerbo	Brain
Bram Stoker	Bram Stoker
Brandenburgio	Brandenburg
Latuno	Brass
Kruciferacoj	Brassicaceae
Mamzono	Brassiere
Bratislavo	Bratislava
Braunschweig	Braunschweig
Brazilo	Brazil
Kategorio:Brazilo	Brazil
Brazavilo	Brazzaville
Pano	Bread
Mamo	Breast
Bremeno	Bremen (state)
Bremerhaven	Bremerhaven
Breŝo	Brescia
Brest (Francio)	Brest
Bresto (Belorusio)	Brest
Brest	Brest
Bretonio (franca regiono)	Bretagne
Briko	Brick
Ponto	Bridge
Kategorio:Pontoj	Bridges
