Italian	English
Giacarta	Jakarta
Jalalabad	Jalalabad
Giamaica	Jamaica
Categoria:Giamaica	Jamaica
Giacomo il Maggiore	James
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu e Kashmir	Jammu and Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Giannizzeri	Janissary
Gennaio	January
1º gennaio	January 1
19 gennaio	January 19
20 gennaio	January 20
6 gennaio	January 6
Giano (astronomia)	Janus (moon)
Giano (divinità)	Janus (mythology)
Giappone	Japan
Categoria:Giappone	Japan
Giasone (mitologia)	Jason
Ittero	Jaundice
Giava	Java
Java	Java (disambiguation)
Java (linguaggio)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Categoria:Jazz	Jazz
Jean-Auguste-Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jedda	Jeddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Tetragramma biblico	Jehovah
Testimoni di Geova	Jehovah's Witnesses
Scyphozoa	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Gerico	Jericho
San Girolamo	Jerome
Jersey	Jersey
Gerusalemme	Jerusalem
Categoria:Gerusalemme	Jerusalem
Gesù	Jesus
Motore a getto	Jet engine
Ebreo	Jew
Scacciapensieri	Jew's harp
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Giovanna d'Arco	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Giovanni Calvino	John Calvin
Giovanni Crisostomo	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
Nepero	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wyclif	John Wycliffe
San Giovanni Battista	John the Baptist
János Neumann	John von Neumann
Johnny Cash	Johnny Cash
Articolazione	Joint
Jonathan Swift	Jonathan Swift
Giordania	Jordan
Categoria:Giordania	Jordan
Giordano	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Franz Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Stalin	Joseph Stalin
Flavio Giuseppe	Josephus
Joule	Joule
Categoria:Giornalismo	Journalism
Giornalismo	Journalism
Giornalista	Journalist
Gioviano	Jovian
Joystick	Joystick
Religione ebraica	Judaism
Categoria:Ebraismo	Judaism
Giuda Iscariota	Judas Iscariot
Giudea	Judea
Jūdō	Judo
Judy Garland	Judy Garland
Ju jitsu	Jujutsu
Jules Verne	Jules Verne
Calendario giuliano	Julian calendar
Giuliano (imperatore romano)	Julian the Apostate
Gaio Giulio Cesare	Julius Caesar
Luglio	July
1º luglio	July 1
4 luglio	July 4
Giugno	June
14 giugno	June 14
21 giugno	June 21
23 giugno	June 23
24 giugno	June 24
29 giugno	June 29
3 giugno	June 3
Juneau	Juneau
Juniperus	Juniper
Giunone	Juno (mythology)
Giove (astronomia)	Jupiter
Categoria:Giove	Jupiter
Giove	Jupiter (disambiguation)
Giove (divinità)	Jupiter (mythology)
Giurassico	Jurassic
Giustiniano I di Bisanzio	Justinian I
Jutland	Jutland
K	K
K2	K2
Komitet Gosudarstvennoj Bezopasnosti	KGB
Kaaba	Kaaba
Cabala	Kabbalah
Kabul	Kabul
Kalahari	Kalahari Desert
Kamčatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar (città)	Kandahar
Kansas	Kansas
Categoria:Kansas	Kansas
Kansas City (Missouri)	Kansas City
Kappa (lettera)	Kappa
Mare di Kara	Kara Sea
Karachi	Karachi
Karakorum	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakistan	Kazakhstan
Categoria:Kazakistan	Kazakhstan
Kazan'	Kazan
Kazimir Severinovič Malevič	Kazimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Categoria:Kentucky	Kentucky
Kenya	Kenya
Categoria:Kenya	Kenya
Kernel	Kernel (computer science)
Cherosene	Kerosene
Ketchup	Ketchup
Chetoni	Ketone
Tastiera (informatica)	Keyboard (computing)
Tastiera (strumento)	Keyboard instrument
Chabarovsk	Khabarovsk
Khan	Khan
Charkiv	Kharkiv
Khartum	Khartoum
Khmer Rossi	Khmer Rouge
Medjedu	Khufu
Kibbutz	Kibbutz
Rene	Kidney
Kiev	Kiev
Kigali	Kigali
Kilobyte	Kilobyte
Chilogrammo	Kilogram
Chilometro	Kilometre
Chilometro orario	Kilometres per hour
Kimono	Kimono
Scuola dell'infanzia	Kindergarten
Cinematica	Kinematics
Energia cinetica	Kinetic energy
Re (scacchi)	King (chess)
Re Artù	King Arthur
Re Lear	King Lear
Regno (biologia)	Kingdom (biology)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Categoria:Kiribati	Kiribati
Bacio	Kiss
Aquilone	Kite
Apteryx	Kiwi
Ginocchio	Knee
Knesset	Knesset
Coltello	Knife
Cavalleria medievale	Knight
Cavallo (scacchi)	Knight (chess)
Cnosso	Knossos
Nodo (unità di misura)	Knot (speed)
Conoscenza	Knowledge
Knut Hamsun	Knut Hamsun
Phascolarctos cinereus	Koala
Kōbe	Kobe
Penisola di Kola	Kola Peninsula
Calcutta	Kolkata
Varanus komodoensis	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Corea	Korea
Categoria:Corea	Korea
Guerra di Corea	Korean War
Kosovo	Kosovo
Categoria:Kosovo	Kosovo
Krakatoa	Krakatoa
Cremlino	Kremlin
Krishna	Krishna
Kripton (elemento)	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kublai Khan
Fascia di Kuiper	Kuiper belt
Fortunella	Kumquat
Kunlun	Kunlun Mountains
Guomindang	Kuomintang
Kura (fiume)	Kura River
Kurdistan	Kurdistan
Categoria:Kurdistan	Kurdistan
Partîya Karkerén Kurdîstan	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Categoria:Kuwait	Kuwait
Madinat al-Kuwait	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyōto	Kyoto
Kirghizistan	Kyrgyzstan
Categoria:Kirghizistan	Kyrgyzstan
L	L
L'Aquila	L'Aquila
LAMP (piattaforma)	LAMP (software bundle)
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratorio	Laboratory
Partito Laburista (Regno Unito)	Labour Party (UK)
Labrador Retriever	Labrador Retriever
Lucertola (costellazione)	Lacerta
Acido lattico	Lactic acid
Lattosio	Lactose
Jane Grey	Lady Jane Grey
Lagomorpha	Lagomorpha
Lagos (città)	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Lago	Lake
Lago Bajkal	Lake Baikal
Balaton	Lake Balaton
Ciad (lago)	Lake Chad
Lago di Costanza	Lake Constance
Lago Erie	Lake Erie
Lago Eyre	Lake Eyre
Lago Lemano	Lake Geneva
Lago Huron	Lake Huron
Lago Il'men'	Lake Ilmen
Lago Ladoga	Lake Ladoga
Malawi (lago)	Lake Malawi
Lago Michigan	Lake Michigan
Lago Onega	Lake Onega
Lago Ontario	Lake Ontario
Lago Superiore	Lake Superior
Lago Tanganica	Lake Tanganyika
Lago Vittoria	Lake Victoria
Lakshmi	Lakshmi
Lambda (lettera)	Lambda
Lamiaceae	Lamiaceae
Gypaetus barbatus	Lammergeier
Petromyzontiformes	Lamprey
Lancashire	Lancashire
Branchiostoma	Lancelet
Discarica di rifiuti	Landfill
Linguaggio	Language
Linguadoca-Rossiglione	Languedoc-Roussillon
Lansing	Lansing
Lantanoidi	Lanthanide
Lantanio	Lanthanum
Laos	Laos
Categoria:Laos	Laos
Mare di Laptev	Laptev Sea
Computer portatile	Laptop
Larix	Larch
Larva	Larva
Laringe	Larynx
Las Vegas	Las Vegas
Grotte di Lascaux	Lascaux
Laser	Laser
Tornio	Lathe
Lingua latina	Latin
America latina	Latin America
Alfabeto latino	Latin alphabet
Latitudine	Latitude
Lettonia	Latvia
Categoria:Lettonia	Latvia
Riso (ridere)	Laughter
Laurasia	Laurasia
Losanna	Lausanne
Lava	Lava
Diritto	Law
Categoria:Diritto	Law
Categoria:Forze di polizia	Law enforcement
Laurenzio	Lawrencium
Avvocato	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Piombo	Lead
Foglia	Leaf
Società delle Nazioni	League of Nations
Torre pendente di Pisa	Leaning Tower of Pisa
Anno bisestile	Leap year
Apprendimento	Learning
Libano	Lebanon
Categoria:Libano	Lebanon
Leda	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Mancinismo	Left-handed
Leggenda	Legend
Potere legislativo	Legislature
LEGO	Lego
Leicester	Leicester
Leida	Leiden
Lipsia	Leipzig
Citrus × limon	Lemon
Melissa officinalis	Lemon balm
Lena (fiume)	Lena River
Lunghezza	Length
Lente	Lens (optics)
Quaresima	Lent
Lens (botanica)	Lentil
Leone (costellazione)	Leo (constellation)
Leone I di Bisanzio	Leo I (emperor)
Lev Trotsky	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Eulero	Leonhard Euler
Leonid Il'ič Brežnev	Leonid Brezhnev
Panthera pardus	Leopard
Lepidoptera	Lepidoptera
Lebbra	Leprosy
Leptone	Lepton
Lepre (costellazione)	Lepus (constellation)
Lesbismo	Lesbian
Lesotho	Lesotho
Categoria:Lesotho	Lesotho
Piccole Antille	Lesser Antilles
Latona	Leto
Lettera (alfabeto)	Letter (alphabet)
Leucemia	Leukemia
Levante (geografia)	Levant
Leva (fisica)	Lever
Leviatano	Leviathan
Levitico	Leviticus
Lewis Carroll	Lewis Carroll
Lessicologia	Lexicology
Lhasa	Lhasa
Lhotse	Lhotse
Liberalismo	Liberalism
Tigri Tamil	Liberation Tigers of Tamil Eelam
Liberia	Liberia
Categoria:Liberia	Liberia
Bilancia (costellazione)	Libra (constellation)
Biblioteca	Library
Biblioteconomia	Library science
Libretto	Libretto
Libreville	Libreville
Libia	Libya
Categoria:Libia	Libya
Lichene	Lichen
Liechtenstein	Liechtenstein
Categoria:Liechtenstein	Liechtenstein
Tenente	Lieutenant
Vita	Life
Luce	Light
LED	Light-emitting diode
Anno luce	Light-year
Accendino	Lighter
Faro	Lighthouse
Fulmine	Lightning
Liguria	Liguria
Mar Ligure	Ligurian Sea
Liliaceae	Liliaceae
Lilith	Lilith
Lilla	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Calcare	Limestone
Limite (matematica)	Limit (mathematics)
Limnologia	Limnology
Limosino	Limousin (region)
Lincoln (Nebraska)	Lincoln
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Retta	Line (mathematics)
Algebra lineare	Linear algebra
Categoria:Algebra lineare	Linear algebra
Equazione lineare	Linear equation
Lingua franca	Lingua franca
Linguistica	Linguistics
Categoria:Linguistica	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Categoria:Linux	Linux
Linz	Linz
Panthera leo	Lion
Lipidi	Lipid
Liquore	Liqueur
Liquido	Liquid
Schermo a cristalli liquidi	Liquid crystal display
Glycyrrhiza glabra	Liquorice
Lisbona	Lisbon
Lise Meitner	Lise Meitner
Lisp	Lisp (programming language)
Alfabetizzazione	Literacy
Letteratura	Literature
Categoria:Letteratura	Literature
Portale:Letteratura	Literature
Litio	Lithium
Litografia (arte)	Lithography
Litosfera	Lithosphere
Lituania	Lithuania
Categoria:Lituania	Lithuania
Litro	Litre
Athene noctua	Little Owl
Liverpool	Liverpool
Livonia	Livonia
Tito Livio	Livy
Lacertilia	Lizard
Lubiana	Ljubljana
Lama glama	Llama
Prestito linguistico	Loanword
Local Area Network	Local area network
Loch Ness	Loch Ness
Mostro di Loch Ness	Loch Ness Monster
Locomotiva	Locomotive
Logaritmo	Logarithm
Logica	Logic
Categoria:Logica	Logic
Porta logica	Logic gate
Logistica	Logistics
Logo	Logo
Loira (dipartimento francese)	Loire
Loira (fiume)	Loire River
Loki (mitologia)	Loki
Lolita (romanzo)	Lolita
Lombardia	Lombardy
Londra	London
Categoria:Londra	London
Long Beach (California)	Long Beach
Long Island (USA)	Long Island
Salto in lungo	Long jump
Asio otus	Long-eared Owl
Lope de Vega	Lope de Vega
Padre Nostro	Lord's Prayer
Lorena (regione francese)	Lorraine (region)
Los Angeles	Los Angeles
Lot (dipartimento francese)	Lot (department)
Altoparlante	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Ludovico I del Sacro Romano Impero	Louis the Pious
Luigi II di Francia	Louis the Stammerer
Louisiana	Louisiana
Categoria:Louisiana	Louisiana
Louisville (Kentucky)	Louisville
Museo del Louvre	Louvre
Amore	Love
Lingua basso-tedesca	Low German
Bassa Sassonia	Lower Saxony
Luanda	Luanda
Lublino	Lublin
Lucerna	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifero	Lucifer
Tito Lucrezio Caro	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen	Lumen (unit)
Luminescenza	Luminescence
Eclissi lunare	Lunar eclipse
Lund (Svezia)	Lund
Polmone	Lung
Tumore del polmone	Lung cancer
Dipnoi	Lungfish
Lupo (costellazione)	Lupus (constellation)
Lusaka	Lusaka
Lusitania	Lusitania
Liuto	Lute
Lutezio	Lutetium
Luteranesimo	Lutheranism
Lux	Lux
Lussemburgo	Luxembourg
Categoria:Lussemburgo	Luxembourg
Lussemburgo (città)	Luxembourg (city)
Luxor	Luxor
Luzon	Luzon
Litchi chinensis	Lychee
Lidia	Lydia
Sistema linfatico	Lymphatic system
Lince (costellazione)	Lynx (constellation)
Lynx (software)	Lynx (web browser)
Lione	Lyon
Lira (costellazione)	Lyra
LSD	Lysergic acid diethylamide
Lisina	Lysine
Lisosoma	Lysosome
M	M
M-teoria	M-theory
MESSENGER (sonda)	MESSENGER
Multipurpose Internet Mail Extensions	MIME
MS-DOS	MS-DOS
Macao	Macau
Macbeth	Macbeth
Regno di Macedonia	Macedon
Macedonia	Macedonia
Macedonia (Grecia)	Macedonia (Greece)
Numero di Mach	Mach number
Macchina	Machine
Linguaggio macchina	Machine code
Mitragliatrice	Machine gun
Machu Picchu	Machu Picchu
Apple Macintosh	Macintosh
Macroeconomia	Macroeconomics
Categoria:Macroeconomia	Macroeconomics
Madagascar	Madagascar
Categoria:Madagascar	Madagascar
Madera	Madeira
Madison (Wisconsin)	Madison
Madonna (cantante)	Madonna (entertainer)
Madrid	Madrid
Madrid (comunità autonoma)	Madrid (autonomous community)
Mafia	Mafia
Magenta (colore)	Magenta
Maghreb	Maghreb
Magia	Magic (paranormal)
Quadrato magico	Magic square
Linea Maginot	Maginot Line
Magma (geologia)	Magma
Magna Carta	Magna Carta
Magnesio	Magnesium
Magnete	Magnet
Campo magnetico	Magnetic field
Imaging a risonanza magnetica	Magnetic resonance imaging
Magnetismo	Magnetism
Categoria:Magnetismo	Magnetism
Magnetite	Magnetite
Lente d'ingrandimento	Magnifying glass
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Buddhismo Mahayana	Mahayana
Posta	Mail
Mosè Maimonide	Maimonides
Meno (fiume)	Main
Template:Vedi anche	Main
Maine	Maine
Categoria:Maine	Maine
Mainframe	Mainframe computer
Maitreya	Maitreya
Zea mays	Maize
Maggiore	Major
Scala maggiore	Major scale
Maiorca	Majorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malachite
Malacostraca	Malacostraca
Malaria	Malaria
Categoria:Malawi	Malawi
Tapirus indicus	Malayan Tapir
Malesia	Malaysia
Categoria:Malesia	Malaysia
Malcolm X	Malcolm X
Maldive	Maldives
Categoria:Maldive	Maldives
Mali	Mali
Categoria:Mali	Mali
Anas platyrhynchos	Mallard
Malta	Malta
Categoria:Malta	Malta
Lingua maltese	Maltese language
Maltosio	Maltose
Malvaceae	Malvaceae
Mammalia	Mammal
Mammuthus primigenius	Mammoth
Management	Management
Managua	Managua
Manama	Manama
Trichechus	Manatee
Manchester	Manchester
Manciuria	Manchuria
Mandala	Mandala
Lingua cinese mandarino	Mandarin (linguistics)
Citrus reticulata	Mandarin orange
Insieme di Mandelbrot	Mandelbrot set
Manganese	Manganese
Mangrovia	Mangrove
Manhattan	Manhattan
Progetto Manhattan	Manhattan Project
Manicheismo	Manichaeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Manierismo	Mannerism
Mannheim	Mannheim
Mantello terrestre	Mantle (geology)
Mantra	Mantra
Mantova	Mantua
Manuel de Falla	Manuel de Falla
Manoscritto	Manuscript
Mao Zedong	Mao Zedong
Maoismo	Maoism
Mappa	Map
Acer	Maple
Maputo	Maputo
Maratona (sport)	Marathon
Marmo	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Marzo	March
17 marzo	March 17
19 marzo	March 19
2 marzo	March 2
25 marzo	March 25
Marche	Marche
Marco Polo	Marco Polo
Marco Aurelio	Marcus Aurelius
Marco Giunio Bruto	Marcus Junius Brutus
Marco Vipsanio Agrippa	Marcus Vipsanius Agrippa
Marduk (divinità)	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Isole Marianne	Mariana Islands
Maria Antonietta d'Asburgo-Lorena	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marco Antonio	Mark Antony
Mark Twain	Mark Twain
Mercato	Market
Marketing	Marketing
Categoria:Marketing	Marketing
Linguaggio di markup	Markup language
Marlene Dietrich	Marlene Dietrich
Donatien Alphonse François de Sade	Marquis de Sade
Marrakech	Marrakech
Matrimonio	Marriage
Categoria:Marte	Mars
Marte	Mars (disambiguation)
Marte (divinità)	Mars (mythology)
Marsiglia	Marseille
Isole Marshall	Marshall Islands
Piano Marshall	Marshall Plan
Metatheria	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Lutero	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navrátilová	Martina Navratilova
Martinica	Martinique
Martire	Martyr
Fratelli Marx	Marx Brothers
Marxismo	Marxism
Categoria:Marxismo	Marxism
Maria (madre di Gesù)	Mary (mother of Jesus)
Maria Maddalena	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Categoria:Maryland	Maryland
Maseru	Maseru
Mashhad	Mashhad
Massa (fisica)	Mass
Celebrazione Eucaristica	Mass (liturgy)
Numero di massa	Mass number
Massachusetts	Massachusetts
Categoria:Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbazione	Masturbation
Mata Hari	Mata Hari
Fiammifero	Match
Materialismo	Materialism
Logica matematica	Mathematical logic
Categoria:Logica matematica	Mathematical logic
Dimostrazione matematica	Mathematical proof
Matematica	Mathematics
Categoria:Matematica	Mathematics
Portale:Matematica	Mathematics
Matrice	Matrix (mathematics)
Materia (fisica)	Matter
Cervino	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Giovedì Santo	Maundy Thursday
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Categoria:Mauritania	Mauritania
Mauritius	Mauritius
Categoria:Mauritius	Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Massimiano	Maximian
Equazioni di Maxwell	Maxwell's equations
Maggio	May
1º maggio	May 1
24 maggio	May 24
Mayenne	Mayenne
Ephemeroptera	Mayfly
Maionese	Mayonnaise
Sindaco	Mayor
Mbabane	Mbabane
Maccartismo	McCarthyism
Idromele	Mead
Morbillo	Measles
Misura (matematica)	Measure (mathematics)
Categoria:Metrologia	Measurement
Misura	Measurement
Carne	Meat
La Mecca	Mecca
Ingegneria meccanica	Mechanical engineering
Categoria:Ingegneria meccanica	Mechanical engineering
Categoria:Meccanica	Mechanics
Meccanica	Mechanics
Medea (mitologia)	Medea
Mediana (statistica)	Median
Farmaco	Medication
Medici	Medici
Medicina	Medicine
Categoria:Medicina	Medicine
Medina	Medina
Meditazione	Meditation
Mar Mediterraneo	Mediterranean Sea
Medusa (mitologia)	Medusa
Suricata suricatta	Meerkat
Megabyte	Megabyte
Meiosi	Meiosis
Meister Eckhart	Meister Eckhart
Meitnerio	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesia	Melanesia
Melodia	Melody
Melpomene	Melpomene
Fusione (fisica)	Melting
Punto di fusione	Melting point
Meme	Meme
Memoria (fisiologia)	Memory
Memphis (Tennessee)	Memphis
Menphi	Memphis
Menachem Begin	Menachem Begin
Mendelevio	Mendelevium
Menelao (mitologia)	Menelaus
Meningite	Meningitis
Mensa (costellazione)	Mensa (constellation)
Ciclo mestruale	Menstrual cycle
Mestruazione	Menstruation
Mentha	Mentha
Mercantilismo	Mercantilism
Mercenario	Mercenary
Mercurio	Mercury
Mercurio (elemento)	Mercury (element)
Mercurio (divinità)	Mercury (mythology)
Mercurio (astronomia)	Mercury (planet)
Meridiano (geografia)	Meridian (geography)
Meritocrazia	Meritocracy
Sirena (mitologia)	Mermaid
Merovingi	Merovingian
Meryl Streep	Meryl Streep
Mescalina	Mescaline
Mesolitico	Mesolithic
Mesone	Meson
Mesopotamia	Mesopotamia
Categoria:Mesopotamia	Mesopotamia
Mesosfera (atmosfera)	Mesosphere
Mesozoico	Mesozoic
RNA messaggero	Messenger RNA
Messia	Messiah
Messina	Messina
Metabolismo	Metabolism
Metadato	Metadata
Metallo	Metal
Legame metallico	Metallic bond
Semimetalli	Metalloid
Metallurgia	Metallurgy
Categoria:Metallurgia	Metallurgy
Roccia metamorfica	Metamorphic rock
Metafora	Metaphor
Metafisica	Metaphysics
Categoria:Metafisica	Metaphysics
Metastasi	Metastasis
Sciame meteorico	Meteor shower
Meteorite	Meteorite
Meteoroide	Meteoroid
Categoria:Meteorologia	Meteorology
Meteorologia	Meteorology
Metadone	Methadone
Metanfetamina	Methamphetamine
Metanolo	Methanol
Metionina	Methionine
Metodismo	Methodism
MDMA	Methylenedioxymethamphetamine
Metis (astronomia)	Metis (moon)
Metonimia	Metonymy
Metro	Metre
Spazio metrico	Metric space
Mosa (dipartimento francese)	Meuse
Mosa (fiume)	Meuse River
Messico	Mexico
Categoria:Messico	Mexico
Città del Messico	Mexico City
Miami	Miami
Mica	Mica
Arcangelo Michele	Michael (archangel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo Buonarroti	Michelangelo
Michigan	Michigan
Categoria:Michigan	Michigan
Mick Jagger	Mick Jagger
Topolino	Mickey Mouse
Microbiologia	Microbiology
Categoria:Microbiologia	Microbiology
Microeconomia	Microeconomics
Categoria:Microeconomia	Microeconomics
Micronesia	Micronesia
Microrganismo	Microorganism
Microfono	Microphone
Microprocessore	Microprocessor
Microscopio	Microscope
Microscopio (costellazione)	Microscopium
Microonde	Microwave
Forno a microonde	Microwave oven
Medioevo	Middle Ages
Categoria:Medioevo	Middle Ages
Medio Oriente	Middle East
Categoria:Medioriente	Middle East
Sole di mezzanotte	Midnight sun
Emicrania	Migraine
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Michail Aleksandrovič Bakunin	Mikhail Bakunin
Michail Ivanovič Glinka	Mikhail Glinka
Michail Sergeevič Gorbačëv	Mikhail Gorbachev
Milano	Milan
Miglio (unità di misura)	Mile
Miles Davis	Miles Davis
Categoria:Forze armate	Military
Grado militare	Military rank
Latte	Milk
Via Lattea	Milky Way
Millard Fillmore	Millard Fillmore
Millennio	Millennium
Millimetro	Millimetre
Milione	Million
Diplopoda	Millipede
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minareto	Minaret
Mindanao	Mindanao
Minerale	Mineral
Acqua minerale	Mineral water
Mineralogia	Mineralogy
Categoria:Mineralogia	Mineralogy
Minerva	Minerva
Dinastia Ming	Ming Dynasty
Minimalismo	Minimalism
Industria mineraria	Mining
Ministro	Minister (government)
Minneapolis	Minneapolis
Minnesota	Minnesota
Categoria:Minnesota	Minnesota
Civiltà minoica	Minoan civilization
Scala minore	Minor scale
Minosse	Minos
Minotauro	Minotaur
Minsk	Minsk
Minuto	Minute
Miocene	Miocene
Miracolo	Miracle
Specchio	Mirror
Mishnah	Mishnah
Categoria:Mississippi	Mississippi
Mississippi (fiume)	Mississippi River
Missouri	Missouri
Categoria:Missouri	Missouri
Missouri (fiume)	Missouri River
Mitocondrio	Mitochondrion
Mnemosine	Mnemosyne
Telefono cellulare	Mobile phone
Modem	Modem
modernismo artistico	Modernism
Modest Petrovič Musorgskij	Modest Mussorgsky
Modulazione	Modulation
Mogadiscio	Mogadishu
Moire (mitologia)	Moirae
Muffa	Mold
Moldavia	Moldova
Categoria:Moldavia	Moldova
Mole	Mole (unit)
Biologia molecolare	Molecular biology
Categoria:Biologia molecolare	Molecular biology
Molecola	Molecule
