English	Yiddish
Alaska	אלאסקע
Albany	אלבאני
Albert Einstein	אלבערט איינשטיין
Alberta	אלבערטא
Alcohol	אלקאהאל
Alcoholic beverage	אלקאהאלישע געטראנקען
Alcoholism	אלקאהאליזם
Alexander the Great	אלעקסאנדער דער גרויסער
Alfred Dreyfus	אלפרעד דרייפוס
Alfred Hitchcock	אלפרעד היטשקאק
Alfred Nobel	אלפרעד נאבעל
Algebra	אלגעברע
Algebra	קאַטעגאָריע:אלגעברע
Algeria	אלדזשיר
Algorithm	אלגאריטם
Alloy	געמיש מעטאלען
Almaty	אלמאטיע
Alpha (letter)	אלפא
Alps	אלפן
Alternative medicine	קאַטעגאָריע:אלטערנאטיווע מעדיצין
Alzheimer's disease	אלצהיימערס קרענק
Amazon River	אמאזאנאס (טייך)
American football	אמעריקאנער פוסבאל
Amish	אמיש
Amman	אמאן (יארדן)
Amsterdam	אמסטערדאם
Anarchism	אנארכיזם
Anarchism	קאַטעגאָריע:אנארכיזם
Anarchy	אנארכיע
Anatidae	קאטשקע
Anatomy	קאַטעגאָריע:אנאטאמיע
Anatomy	אנאטאמיע
Andorra	אנדארא
Andorra	קאַטעגאָריע:אנדארא
Andrew Jackson	ענדרו זשעקסאן
Andrew Johnson	ענדרו זשאנסאן
Animal	בעלי חיים
Ant	מוראשקע
Antarctica	אנטארקטיקע
Anthropology	אנטראפאלאגיע
Antibiotic	אנטיביאטיק
Antisemitism	אנטיסעמיטיזם
Antisemitism	קאַטעגאָריע:אנטיסעמיטיזם
Anton Chekhov	אנטאן פאוולאוויטש טשעכאוו
Antwerp	אנטווערפן
Apple	עפל
April	אפריל
April Fools' Day	1 אין אפריל
Arab	אראבער
Arab League	אראבישע ליגע
Archaeology	ארכעאלאגיע
Archaeology	קאַטעגאָריע:ארכעאלאגיע
Archipelago	ארכיפעלאג
Architecture	ארכיטעקטור
Architecture	קאַטעגאָריע:ארכיטעקטור
Area	שטח
Arecaceae	פאלמע
Argentina	ארגענטינע
Argentina	קאַטעגאָריע:ארגענטינע
Aristotle	אריסטו
Arithmetic	חשבון
Arizona	אריזאנע
Ark of the Covenant	ארון הברית
Arkansas	ארקענסאו
Armenia	ארמעניע
Armenia	קאַטעגאָריע:ארמעניע
Art	קונסט
Arts	קאַטעגאָריע:קונסט
Asia	אזיע
Asia	קאַטעגאָריע:אזיע
Assassination	הינריכטונג
Assyria	אשור
Astana	אסטאנא
Asteroid	אסטערויד
Astronomy	אסטראנאמיע
Astronomy	קאַטעגאָריע:אסטראנאמיע
Athens	אטען
Atlanta	אטלאנטא
Atlantic Ocean	אטלאנטישער אקעאן
Atmosphere	אטמאספער
Atom	אטאם
Atomic number	אטאם נומער
August	אויגוסט
Australia	אויסטראליע
Australia	קאַטעגאָריע:אויסטראליע
Austria	עסטרייך
Austria	קאַטעגאָריע:עסטרייך
Autobiography	אויטאביאגראפיע
Automobile	אויטאמאביל
Autumn	הארבסט
Averroes	איבן ראשד
Aviation	קאַטעגאָריע:אוויאציע
Axiom	אקסיאם
Azerbaijan	אזערביידזשאן
Babylon	בבל
Bacteria	באקטעריע
Baghdad	באגדאד
Bahamas	קאַטעגאָריע:באהאמאס
Baku	באקו
Ballpoint pen	באל-פאוינט פעדער
Baltimore	באלטימאר, מערילענד
Banana	באנאן
Bangladesh	באנגלאדעש
Bank	באנק
Banks	קאַטעגאָריע:בענק
Barbra Streisand	בארברא סטרייסאנד
Barcelona	בארצעלאנע
Barley	גערשטן
Baseball	בעיסבאל
Basel	באזעל
Basketball	באסקעטבאל
Bavaria	בייערן
Beach	ביעטש
Bear	בער
Beer	ביר
Beirut	ביירוט
Belarus	בעלארוסיע
Belarus	קאַטעגאָריע:בעלארוס
Belgium	בעלגיע
Belgium	קאַטעגאָריע:בעלגיע
Belgrade	בעלגראד
Belize	בעליז
Benjamin Franklin	בענזשעמען פרענקלין
Benjamin Harrison	בענזשעמין העריסאן
Berlin	בערלין
Berne	בערן
Bethlehem	בית לחם
Bible	בייבל
Bibliography	ביבליאגראפיע
Bicycle	ביציקל
Big Bang	ביג בענג
Bikini	ביקיני
Bill Clinton	ביל קלינטאן
Bill Gates	ביל גייטס
Biochemistry	ביאכעמיע
Biography	ביאגראפיע
Biology	ביאלאגיע
Biology	קאַטעגאָריע:ביאלאגיע
Bird	פויגל
Bisexuality	בייסעקסואלוטעט
Bishkek	בישקעק
Bit	ביט
Black	שווארץ
Black Sea	שווארצער ים
Black hole	שווארצע לאך
Black pepper	שווארצע פעפער
Blindness	בלינדקייט
Blog	בלאג
Blood	בלוט
Blood pressure	בלוט דרוק
Blood vessel	אדערן
Blue	בלוי
Bohemia	בעהמען
Bomb	באמבע
Bone marrow	מארך ביין
Bonn	באן, דייטשלאנד
Book	ספר
Book of Esther	מגילת אסתר
Book of Joshua	ספר יהושע
Book of Judges	ספר שופטים
Book of Numbers	במדבר
Book of Ruth	מגילת רות
Boston	באסטאן
Botanical garden	באטאנישער גארטן
Botany	באטאניק
Botany	קאַטעגאָריע:באטאניק
Brain	מוח
Bratislava	בראטיסלאווא
Brazil	בראזיל
Brazil	קאַטעגאָריע:בראזיל
Bread	ברויט
Brest	בריסק
Bridges	קאַטעגאָריע:בריקן
British Columbia	בריטיש קאלאמביע
British Empire	בריטישע אימפעריע
Bronze	בראנזע
Brooklyn	ברוקלין
Brooklyn Bridge	ברוקלין בריק
Brussels	בריסל
Bucharest	בוקארעשט
Budapest	בודאפעסט
Buddhism	בודהיזם
Buenos Aires	בוענאס איירעס
Bulgaria	בולגאריע
Bulgaria	קאַטעגאָריע:בולגאריע
Bus	בוס
Business	ביזנעס
C	C
C (programming language)	C (פראגראם שפראך)
Cactus	קאקטוס
Caffeine	קאפין
Cake	קוכן
Calendar	קאלענדאר
California	קאליפארניע
Calorie	קאלערי
Calvin Coolidge	זשאן קעלווין קולידזש
Camembert (cheese)	קאמעמבערט
Camera	קאמערא
Cameroon	קאמערון
Cameroon	קאַטעגאָריע:קאמערון
Canada	קאנאדע
Canada	קאַטעגאָריע:קאנאדע
Canberra	קאנבערא
Cancer	קענסער
Cannibalism	קאניבאליזם
Capital	הויפטשטאט
Capitalism	קאפיטאליזם
Carbon	קוילנשטאף
Carbon dioxide	קוילן זייערס
Carl Maria von Weber	קארל מאריע פאן וועבער
Carolus Linnaeus	קארל פאן לינע
Casino	קאסינא
Catholicism	קאטאליציזם
Cattle	אקס
Cave	הייל
Celery	סעלערי
Cell (biology)	צעל
Cemetery	בית החיים
Census	צענזוס
Central Intelligence Agency	סי. איי. עי.
Central processing unit	פראצעסאר
Chair	שטול
Charlemagne	קארל דער גרויסער
Charles Darwin	טשארלס דארווין
Charlie Chaplin	טשארלי טשאפלין
Cheese	קעז
Chemical bond	כעמישער בונד
Chemical element	כעמישער עלעמענט
Chemistry	כעמיע
Chemistry	קאַטעגאָריע:כעמיע
Chernobyl	טשערנאבל
Chess	שאך (שפיל)
Chester A. Arthur	טשעסטער עלען ארטור
Chicken	האן
Child	קינד
Childbirth	געבורט
Chile	טשילע
Chile	קאַטעגאָריע:טשילע
Chocolate	שאקאלאד
Christianity	קריסטנטום
Christianity	קאַטעגאָריע:קריסטנטום
Christopher Columbus	קריסטאפער קאלאמבוס
Chromosome	כראמאזאם
Church (building)	קלויסטער
Cigarette	פאפיראס
Cinnamon	צימערינג
Circulatory system	בלוט צירקולאציע
Citizenship	בירגערשאפט
City-state	שטאטס שטאַט
Civil war	בירגער קריג
Civilization	ציוויליזאציע
Classical music	קלאסישע מוזיק
Classical music	קאַטעגאָריע:קלאסישע מוזיק
Cleveland	קליוולאנד
Climatology	קלימאטאלאגיע
Climatology	קאַטעגאָריע:קלימאטאלאגיע
Clinical depression	קלינישע דעפרעסיע
Clock	זייגער
Clothing	קאַטעגאָריע:קליידונג
Clothing	קליידונג
Cloud	וואלקן
Clove	נעגעלע
Coast	ברעג ים
Cocaine	קאקעין
Coconut	קאקאס
Coffee	קאווע
Cold War	קאלטער קריג
Cologne	קעלן
Colombia	קאלאמביע
Color	קאליר
Colorado	קאלאראדא
Colosseum	קאלעסיאום
Columbia University	קאלומביע אוניווערסיטעט
Comedy	קאמעדיע
Comet	קאמעט
Common Fig	פייג
Commonwealth of Independent States	ראטן פארבאנד לענדער
Communication	קאַטעגאָריע:קאמוניקאציע
Communication	קאמוניקאציע
Communism	קאמוניזם
Compact Disc	סידי
Compass	קאמפאס
Competition	קאנקורענט
Compiler	קאמפיילער
Composer	קאמפאזיטאר
Composite number	צוזאמענגעזעצטע צאל
Computer	קאמפיוטער
Computer display	עקראן
Computer file	קאמפיוטער טעקע
Computer hardware	קאַטעגאָריע:הארטווארג
Computer program	קאמפיוטער פראגראם
Computer programming	קאמפיוטער פראגראמירונג
Computer programming	קאַטעגאָריע:קאמפיוטער פראגראמירונג
Computer software	ווייכווארג
Computer virus	קאמפיוטער ווירוס
Conducting	קאנדאקטער
Conflict	געפעכט
Connecticut	קאנעטיקעט
Connecticut	קאַטעגאָריע:קאנעטיקעט
Consensus	קאנסענסוס
Conservatism	קאנסערוואטיזם
Constitution (political)	קאנסטיטוציע
Continent	קאנטינענט
Copenhagen	קאפנהאגן
Copper	קופער
Copyright	קאפירעכט
Cornea	קארניע
Corporation	קארפארעישאן
Cosmology	קאסמאלאגיע
Cosmology	קאַטעגאָריע:קאסמאלאגיע
Country	לאנד
Court	געריכט
Crime	פארברעכן
Croatia	קראאטיע
Croatia	קאַטעגאָריע:קראאטיע
Crystal	קריסטאל
Cuba	קובא
Cuba	קאַטעגאָריע:קובא
Cucumber	אוגערקע
Culture	קולטור
Culture	קאַטעגאָריע:קולטור
Curitiba	קוריטיבא
Currency	קאַטעגאָריע:געלט
Currency	וואלוטע
Cyrus the Great	כורש
Czech Republic	טשעכיי
Czech Republic	קאַטעגאָריע:טשעכיי
Czechoslovakia	טשעכאסלאוואקיי
DNA	די ען איי
Dam	דאם
Dance	טאנץ
Dance	קאַטעגאָריע:טאנץ
Dardanelles	דארדאנעלן
Darfur	דארפור
Date Palm	טײטלבױם
Dative case	דאטיוו
David	דוד המלך
Day	טאג
Dead Sea	ים המלח
Death	טויט
Death	קאַטעגאָריע:טויט
December	דעצעמבער
Decimal	דעצימאל
Definition	דעפיניציע
Degree (angle)	גראד
Delaware	דעלעווער
Delphi	דעלפי
Deluge (mythology)	מבול וואסער
Democracy	דעמאקראטיע
Democratic Party (United States)	דעמאקראטישע פארטיי
Demography	דעמאגראפיע
Demography	קאַטעגאָריע:דעמאגראפיע
Denmark	דענמארק
Denmark	קאַטעגאָריע:דענמארק
Desert	מדבר
Deserts	קאַטעגאָריע:מדבריות
Detroit	דעטרויט
Deuteronomy	ספר דברים
Diabetes mellitus	דיעביטיס
Dialect	אקצענט
Diamond	בריליאנט
Diaspora	גלות
Dictionary	ווערטערבוך
Digestion	פארדייאונג
Digestive system	קאַטעגאָריע:פארדייאונג סיסטעם
Dimension	דימענסיע
Dinosaur	דיינעסאר
Disambiguation	קאַטעגאָריע:באדייטן
Disc jockey	דידזשיי
Discrimination	דיסקרימינאציע
Disease	קראנקייט
Distance	ווייטקייט
Divorce	גט
Dog	הונט
Dollar	דאלאר
Dolphin	דעלפין
Dominican Republic	דאמיניקאנישע רעפובליק
Drama	דראמא
Dream	חלום
Dresden	דרעזדן
Dublin	דובלין
Dushanbe	דושאנבע
Dwight D. Eisenhower	דווייט דעיוויד אייזנהאוער
Dynamics (physics)	דינאמיק
E-mail	בליצפאסט
Eagle	אדלער
Ear	אויער
Earth	ערד-פלאנעט
Earth	קאַטעגאָריע:ערד
Earth science	ערד וויסנשאפט
Earthquake	ערדציטערניש
East	מיזרח
Ecclesiastes	קוהלת
Economics	ווירטשאפט
Economics	קאַטעגאָריע:עקאנאמיקס
Economy	עקאנאמיע
Ecuador	עקוואדאר
Edmund Hillary	עדמונד הילארי
Education	חינוך
Education	קאַטעגאָריע:חינוך
Egypt	מצרים
Egypt	קאַטעגאָריע:עגיפטן
Eiffel Tower	אייפעל טאוער
Election	וואלן
Electricity	עלעקטריציטעט
Electricity	קאַטעגאָריע:עלעקטריק
Electronics	עלעקטראניק
Electronics	קאַטעגאָריע:עלעקטראניק
Elephant	העלפאנד
Elevator	עלעוועיטאר
Elijah	אליהו הנביא
Elizabeth Taylor	עליזעבעט טעילער
Elvis Presley	עלוויס פרעסלי
Emotion	געפיל
Emotion	קאַטעגאָריע:געפילן
Empire State Building	עמפייער סטעיט בילדינג
Encyclopedia	ענציקלאפעדיע
Energy	ענערגיע
Energy (society)	ענערגיע
Engine	מאטאר
Engineering	אינזשעניריע
Engineering	קאַטעגאָריע:אינזשעניריע
England	ענגלאנד
England	קאַטעגאָריע:ענגלאנד
English language	ענגליש
Entertainment	קאַטעגאָריע:פארוויילונג
Entomology	קאַטעגאָריע:ענטאמאלאגיע
Enzyme	ענזיים
Equation	גלייכונג
Erectile dysfunction	ערעקטייל דיספאנקשען
Erection	ערעקשאן
Esophagus	וושט
Esperanto	עספעראנטא
Ethics	מידות
Ethics	קאַטעגאָריע:מידות
Ethiopia	עטיאפיע
Ethiopia	קאַטעגאָריע:עטיאפיע
Ethnic group	עטנישע גרופע
Euclid	אוקלידוס
Euro	יורא
Europe	אייראפע
Europe	קאַטעגאָריע:אייראפע
European Union	אייראפעאישער פארבאנד
European Union	קאַטעגאָריע:אייראפעישער פארבאנד
Evolution	עוועלאציע
Exchange rate	עקסטשעינדזש ראטעס
Exodus	ספר שמות
Exponentiation	מדריגה (מאטעמאטיק)
Eye	אויג
Eye	קאַטעגאָריע:אויג
Fabaceae	קטניות
Fable	משל
Face	געזיכט
Fahrenheit	פארענהייט
Family	קאַטעגאָריע:משפחה
Family history	ייחוס
Fantasy	פאנטאזיע
Fascism	פאשיזם
Fashion	קאַטעגאָריע:מאדע
Fashion	מאדע
Fatah	פאטאך
Fear	שרעק
February	פעברואר
Feces	צואה
Federal Bureau of Investigation	FBI
Federal Reserve System	פעדעראלע רעזערוו
Fenugreek	באקסהארן
Fever	פיווער
Fidel Castro	פידעל קאסטרא
Film	קאַטעגאָריע:פילם
Film	פילם
Finance	קאַטעגאָריע:פינאנץ
Finance	פינאנץ
Finland	פינלאנד
Fire	פייער
Firefighter	פייערלעשער
Fish	פיש
Fish	קאַטעגאָריע:פיש
Flag	פאן
Florida	פלארידע
Flour	מעהל
Flower	בלום
Food	עסנווארג
Foot	פוס
Football (soccer)	פוטבאל
Football (soccer)	קאַטעגאָריע:פוסבאל
Football (soccer) players	קאַטעגאָריע:פוסבאלערס
Force	קראפט
Forest	וואלד
Fossil	פאסיל
Fraction (mathematics)	בראכטייל
France	פראנקרייך
France	קאַטעגאָריע:פראנקרייך
Frankfurt	פראנקפורט
Frankfurt (Oder)	פראנקפורט אן דער אדער
Franklin Pierce	פרענקלין פירס
Franz Schubert	פראנז שובערט
Free will	בחירה
Freedom (philosophy)	פריי
Freedom of speech	פרייהייט פון ווארט
French Revolution	פראנצויזישע רעוואלוציע
Friday	פרייטיק
Frog	זשאבע
Fruit	פרוכט
Fruit	קאַטעגאָריע:פרוכט
Function (mathematics)	פונקציע
Fundamental	קאַטעגאָריע:הויפט קאטעגאריעס
Fundamentalism	פאנדעמענטאליזם
Fungi	קאַטעגאָריע:פאנגי
Fungus	פאנגוס
Furniture	קאַטעגאָריע:מעבל
GNU	GNU
Gabon	גאבאן
Gabon	קאַטעגאָריע:גאבאן
Galicia (Central Europe)	גאליציע
Galileo Galilei	גאלילעא גאליליי
Gamal Abdel Nasser	גאמאל אבדול נאסער
Gambling	געמבלינג
Garden	גארטן
Gardening	גארטענונג
Garlic	קנאבל
Gas	גאז
Gasoline	גאזאלין
Gastrointestinal tract	פארדייאונג סיסטעם
Gaza	עזה
Gaza Strip	עזה פאס
Gene	גען
Genealogy	ייחוס
General relativity	אלגעמיינע רעלאטיוויטעט
Genesis	ספר בראשית
Genus	מין (ביאלאגיע)
Geography	געאגראפיע
Geography	קאַטעגאָריע:געאגראפיע
Geology	קאַטעגאָריע:געאלאגיע
Geology	געאלאגיע
Geometry	געאמעטריע
Geometry	קאַטעגאָריע:געאמעטריע
George W. Bush	דזשארדזש וואקער בוש
George Washington	דזשארזש וואשינגטאן
Georgia (U.S. state)	דזשארזשיע (שטאט)
Georgia (country)	גרוזיע
Gerald Ford	דזשעראלד פארד
German language	דייטשיש
Germany	דייטשלאנד
Germany	קאַטעגאָריע:דייטשלאנד
Gestapo	געשטאפא
Ghetto	געטא
Giraffe	זשיראף
Glacier	גלעטשער
Gland	גלענד
Glass	גלאז
Glasses	ברילן
Global Positioning System	GPS
Global warming	גלאבאלע אנווארימונג
Globalization	גלאבאליזאציע
Goat	ציג
God	גאט
Golan Heights	רמת הגולן
Gold	גאלד
Golf	גאלף
Google	גוגעל
Google	קאַטעגאָריע:גוגעל
Googol	גוגאל
Government	רעגירונג
Gram	גראם (מאס)
Grammar	גראמאטיק
Grammar	קאַטעגאָריע:גראמאטיק
Grape	וויינטרויבן
Gravitation	גראוויטאציע
Great Britain	גרויסבריטאניע
Great Depression	וועלט ווירטשאפט קריזיס
Great Wall of China	כינעזער וואנט
Greatest common divisor	גרעסטער געמיינזאמער טיילער
Greece	גריכנלאנד
Greece	קאַטעגאָריע:גריכנלאנד
Greek alphabet	גריכישער אלפאבעט
Greek mythology	גריכישע מיטאלאגיע
Greek mythology	קאַטעגאָריע:גריכישע מיטאלאגיע
Green	גרין
Gregorian calendar	גרעגאריאנישער קאלענדאר
Grover Cleveland	סטיווען גראווער קליוולאנד
Gulf of Aqaba	גאלף פון אקאבא
Gunpowder	שיספולווער
HTML	HTML
Hacker	העקער
Haifa	חיפה
Haiti	האיטי
Hamas	כאמאס
Hamburg	האמבורג
Hammer	האמער
Hamster	האמסטער
Hand	האנט
Hand grenade	האנט גראנאט
Hanging	הענגען
Hanukkah	חנוכה
Happiness	פרייליכקייט
Hardness	הארטקייט
Hatred	האס
Hawaii	האוואי
Head	קאפ
Health	געזונטהייט
Health	קאַטעגאָריע:געזונטהייט
Heart	הארץ
Heat	היץ
Hebrew alphabet	אלף בית
Hebrew calendar	אידישער קאלענדאר
Heinrich Himmler	היינריך הימלער
Helen	העלענע
Helsinki	העלסינקי
Henrik Ibsen	הענריק איבסן
Henry Ford	הענרי פארד
Herbert Hoover	הערבערט קלארק האווער
Herod the Great	הורדוס
Heterosexuality	העטראסעקסואליטעט
Hexadecimal	העקס
Hezbollah	כעזבאלא
Hinduism	הינדואיזם
Hispaniola	היספאניאלא
History	היסטאריע
History	קאַטעגאָריע:היסטאריע
Hollywood	האליוואד
Homosexuality	האמאסעקסואלוטעט
Honey	האניג
Hookah	נארגילע
Hormone	הארמאן
Horse	פערד
Hosni Mubarak	מוכמאד כוסעיני מובאראק
Hospital	שפיטאל
Hotel	האטעל
House	הויז
Human	מענטש
Humanities	קאַטעגאָריע:גייסט וויסנשאפט
Humor	קאַטעגאָריע:הומאר
Humour	הומאר
Hungary	אונגארן
Hydroelectricity	היידרא-קראפט
Hydrogen	הידראגען
Hygiene	קאַטעגאָריע:ריינקייט
Hypnosis	היפנאזיע
IPod	IPod
Ice	אייז
Ice cream	אייז קריעם
Iceberg	אייזבארג
Iceland	איסלאנד
Iceland	קאַטעגאָריע:איסלאנד
Idaho	איידעהא
Identity element	נאטוראלע עלעמענט
Ideology	אידעאלאגיע
Illinois	אילינויס
Immune system	אימיון סיסטעם
Incest	גילוי עריות
India	אינדיע
India	קאַטעגאָריע:אינדיע
Indiana	אינדיאנא
Indonesia	אינדאנעזיע
Industry	אינדוסטריע
Industry	קאַטעגאָריע:אינדוסטריע
Inequality	אומגלייכהייט
Infantry	פוס מיליטער
Infinitive	שם פועל
Inflammation	אנצינדונג
Inflation	אינפלאציע
Influenza	פלו
Information	אינפארמאציע
Insect	אינסעקט
Insulin	אינסולין
Insurance	אינשורענס
Integer	גאנצע צאל
Intelligence	אינטעלעקט
Intelligence quotient	איי-קיו
International Date Line	קו התאריך
Internet	אינטערנעט
Internet	קאַטעגאָריע:אינטערנעט
Internet Explorer	אינטערנעט עקספלארער
Internment	קאנצענטראציע לאגער
Intestine	געדערעם
Iowa	אייאויווע
Iran	איראן
Iran	קאַטעגאָריע:איראן
Iraq	איראק
Iraq	קאַטעגאָריע:איראק
Ireland	אירלאנד (אינזל)
Ireland	קאַטעגאָריע:אירלאנד
Iron	אייזן
Iron Curtain	אייזערנעם פארהאנג
Isaac	יצחק אבינו
Isaac Asimov	אייזיק אסימאוו
Isaac Bashevis Singer	יצחק באשעוויס זינגער
Isaac Newton	אייזיק ניוטאן
Islam	איסלאם
Islam	קאַטעגאָריע:איסלאם
Island	אינזל
Israel	ישראל
Israel	קאַטעגאָריע:ישראל
Istanbul	איסטאנבול
Italy	איטאליע
Italy	קאַטעגאָריע:איטאליע
Jacob	יעקב אבינו
James A. Garfield	זשעימס עברעם גארפיעלד
James Buchanan	זשעימס ביוקענען
James K. Polk	זשעימס נאקס פאלק
James Madison	זשעימס מעדיסאן
James Monroe	זשעימס מאנראו
January	יאנואר
January 19	19 יאנואר
January 20	20 יאנואר
Japan	יאפאן
Jerusalem	ירושלים
Jerusalem	קאַטעגאָריע:ירושלים
Jesus	יוזל
Jew	איד
Jimmy Carter	זשימי קארטער
Johannes Gutenberg	יאהאן גאטענבערג
John Adams	זשאן עדעמס
John Quincy Adams	זשאן קווינסי עדעמס
John Tyler	דזשאן טעילאר
Joint	געלענק
Jordan	ירדן
Jordan River	ירדן טייך
Jorge Luis Borges	כארכע לויס בארכעס
Joseph Goebbels	דזשאזעף גאבעלס
Joseph Haydn	יאזעף היידן
Joseph Stalin	זשאזעף סטאלין
Journalism	קאַטעגאָריע:זשורנאליזם
Journalism	זשורנאליזם
Journalist	זשורנאליסט
Judaism	אידישקייט
Judaism	קאַטעגאָריע:אידישקייט
Judea	ארץ יהודה
July	יולי
June	יוני
Jupiter	יופיטער
KGB	קעי.דזשי.בי.
Kabbalah	קבלה
Kangaroo	קענגערו
Kansas	קענזעס
Karate	קאראטע
Karl Marx	קארל מארקס
Kazakhstan	קאזאקסטאן
Kazakhstan	קאַטעגאָריע:קאזאקסטאן
Kentucky	קענטאקי
Keyboard (computing)	קלאוויאטור
Kibbutz	קיבוץ
Kidney	ניער
Kiev	קיעוו
Kilogram	קילאגראם
Kinematics	קינעמאטיק
Kiss	קוש
Kiwi	קיווי
Knesset	כנסת
Knowledge	וויסן
Korea	קארעע
Ku Klux Klan	קו קלוקס קלען
Kyrgyzstan	קירגיזסטאן
Lagos	לאגאס
Lake	אזערע
Language	שפראך
Laptop	שויס קאמפיוטער
Larynx	שטימע קעסטל
Las Vegas	לאס וועגאס
Latin	לאטיין
Latvia	לעטלאנד
Laughter	לאכן
Law	געזעץ
Law	קאַטעגאָריע:געזעץ
Lawyer	אדוואקאט
Lead	בליי
Learning	לערנען
Lebanon	לבנון
Lebanon	קאַטעגאָריע:לבנון
Leeds	לידז
Legend	לעגענדע
Length	לענג
Lentil	לינזן
Leon Trotsky	לייב טראצקי
Lesbian	לעסביען
Letter (alphabet)	אות
Leukemia	לאקימיע
Leviticus	ספר ויקרא
Liberalism	ליבעראליזם
Library	ביבליאטעק
Libya	ליביע
Lie	ליגנט
Liechtenstein	ליכטנשטיין
Life	לעבן
Life	קאַטעגאָריע:לעבן
Light	ליכטיגקייט
Light-year	ליכט יאר
Lightning	בליץ
Line (mathematics)	שטריך
Linear algebra	ליניארע אלגעברע
Linguistics	לינגוויסטיק
Linguistics	קאַטעגאָריע:לינגוויסטיק
Linux	לינוקס
Lion	לייב
Lisbon	ליסבאן
Literacy	ליטעראט
Literature	ליטעראטור
Literature	קאַטעגאָריע:ליטעראטור
Literature	פארטאל:ליטעראטור
Lithium	ליטיום
Lithuania	ליטע
Local area network	לאקאלער נעצווערק
Logic	לאגיק
Logic	קאַטעגאָריע:לאגיק
London	לאנדאן
London	קאַטעגאָריע:לאנדאן
Los Angeles	לאס אנזשעלעס
Louisiana	לואיזיענא
Love	ליבע
Ludwig van Beethoven	לודוויג וואן בעטהאווען
Lung	לונג
Lung cancer	לונגען קענסער
Luxembourg	לוקסעמבורג
Luxembourg	קאַטעגאָריע:לוקסעמבורג
Lymphatic system	לימפעטיק סיסטעם
MS-DOS	MS-DOS
Macbeth	מאקבעט
Madonna (entertainer)	מעדאנע
Madrid	מאדריד
Mafia	מאפיא
Magazine	מאגאזינע
Magnet	מאגנעט
Magnifying glass	שפאקטיוו
Maimonides	רמב"ם
Maine	מעין
Mammal	מאמאל
Management	אנפירען
Manchester	מאנטשעסטער
Mangrove	מאנגראווע
Manhattan	מאנהעטן
Map	מאפע
Marc Chagall	מארק שאגאל
March	מערץ
Margaret Thatcher	מארגארעט טאטשער
Marilyn Monroe	מארלין מאנרא
Marketing	מארקעטינג
Marlene Dietrich	מארלין דיטריך
Marriage	אישית
Martin Luther King	מארטין לוטער קינג
Martin Van Buren	מארטין וואן ביורען
Marx Brothers	מארקס די ברידער
Marxism	מארקסיזם
