Portuguese	English
Peste negra	Black Death
Floresta Negra	Black Forest
Milhafre-preto	Black Kite
Mar Negro	Black Sea
Cegonha-preta	Black Stork
Corpo negro	Black body
Buraco negro	Black hole
Pimenta preta	Black pepper
Melro-preto	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Cegueira	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Weblog	Blog
Sangue	Blood
Plasma (sangue)	Blood plasma
Pressão sangüínea	Blood pressure
Grupo sanguíneo	Blood type
Vaso sanguíneo	Blood vessel
Azul	Blue
Baleia-azul	Blue Whale
Blues	Blues
Javali	Boar
Jogo de tabuleiro	Board game
Barco	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleigh
Bodisatva	Bodhisattva
Índice de massa corporal	Body mass index
Fisiculturismo	Bodybuilding
Boémia	Bohemia
Bóhrio	Bohrium
Ponto de ebulição	Boiling point
Boise	Boise
Bolívia	Bolivia
Categoria:Bolívia	Bolivia
Bollywood	Bollywood
Bolonha	Bologna
Bolchevique	Bolshevik
Bolzano	Bolzano
Bomba	Bomb
Bombardeiro	Bomber
Bicho-da-seda	Bombyx mori
Obrigação (economia)	Bond (finance)
Osso	Bone
Medula óssea	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Livro	Book
Livro de Ester	Book of Esther
Livro de Josué	Book of Joshua
Livro dos Juízes	Book of Judges
Livro de Mórmon	Book of Mormon
Livro dos Números	Book of Numbers
Apocalipse de São João	Book of Revelation
Livro de Rute	Book of Ruth
Álgebra booleana	Boolean algebra (structure)
Bumerangue	Boomerang
Bordéus	Bordeaux
Boris Godunov da Rússia	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spassky
Bornéu	Borneo
Boro	Boron
Bósnia-Herzegovina	Bosnia and Herzegovina
Categoria:Bósnia e Herzegovina	Bosnia and Herzegovina
Bóson	Boson
Bósforo	Bosporus
Boston	Boston
Festa do Chá de Boston	Boston Tea Party
Predefinição:Bot	Bot
Jardim botânico	Botanical garden
Botânica	Botany
Categoria:Botânica	Botany
Botswana	Botswana
Categoria:Botswana	Botswana
Garrafa	Bottle
Golfinho-comum	Bottlenose Dolphin
Burguesia	Bourgeoisie
Borgonha	Bourgogne
Ilha Bouvet	Bouvet Island
Bovídeos	Bovid
Arco (arma)	Bow (weapon)
Boliche	Bowling
Boxer	Boxer (dog)
Categoria:Pugilistas	Boxers
Boxe	Boxing
Categoria:Boxe	Boxing
Lei de Boyle-Mariotte	Boyle's law
Parêntese	Bracket
Braga	Braga
Brama	Brahma
Rio Bramaputra	Brahmaputra River
Braille	Braille
Cérebro	Brain
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandemburgo	Brandenburg
Conhaque	Brandy
Latão	Brass
Brassicaceae	Brassicaceae
Sutiã	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasil	Brazil
Categoria:Brasil	Brazil
Brazzaville	Brazzaville
Pão	Bread
Seios	Breast
Câncer de mama	Breast cancer
Bremen	Bremen
Bremen (Alemanha)	Bremen (state)
Bremerhaven	Bremerhaven
Bréscia	Brescia
Brest (França)	Brest
Brest (Bielorrússia)	Brest
Brest	Brest
Bretanha	Bretagne
Tijolo	Brick
Ponte	Bridge
Categoria:Pontes	Bridges
Bridgetown	Bridgetown
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol (Inglaterra)	Bristol
Colúmbia Britânica	British Columbia
Império britânico	British Empire
Ilhas Britânicas	British Isles
Ilhas Virgens Britânicas	British Virgin Islands
Categoria:Britânicos	British people
Brno	Brno
Broadway	Broadway (New York City)
Brócolis	Broccoli
Bromo	Bromine
Bronze	Bronze
Idade do Bronze	Bronze Age
Brooklyn	Brooklyn
Ponte de Brooklyn	Brooklyn Bridge
Marrom	Brown
Urso-pardo	Brown Bear
Movimento browniano	Brownian motion
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Categoria:Brunei	Brunei
Bruxelas	Brussels
Peste negra	Bubonic plague
Bucareste	Bucharest
Palácio de Buckingham	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Trigo sarraceno	Buckwheat
Budapeste	Budapest
Buda	Buddha
Budismo	Buddhism
Categoria:Budismo	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Edifício	Building
Bujumbura	Bujumbura
Bulgária	Bulgaria
Categoria:Bulgária	Bulgaria
Mamangaba	Bumblebee
Princípio de Arquimedes	Buoyancy
Burocracia	Bureaucracy
Prefeito	Burgomaster
Burkina Faso	Burkina Faso
Categoria:Burkina Faso	Burkina Faso
Myanmar	Burma
Burca	Burqa
Bursa	Bursa
Categoria:Burundi	Burundi
Autocarro	Bus
Barramento	Bus (computing)
Negócio	Business
Categoria:Empresários	Businesspeople
Buster Keaton	Buster Keaton
Butano	Butane
Manteiga	Butter
Borboleta	Butterfly
Efeito borboleta	Butterfly effect
Bydgoszcz	Bydgoszcz
Byte	Byte
Categoria:Bizâncio	Byzantine Empire
C	C
C (linguagem de programação)	C (programming language)
Clive Staples Lewis	C. S. Lewis
CD (desambiguação)	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
Torre CN	CN Tower
COBOL	COBOL
Cabaré	Cabaret
Cacau	Cacao
Cache	Cache
Cactaceae	Cactus
Cádmio	Cadmium
Cadmo	Cadmus
Caelum	Caelum
Césio	Caesium
Cafeína	Caffeine
Cairo	Cairo
Bolo	Cake
Calábria	Calabria
Calais	Calais
Calcita	Calcite
Cálcio	Calcium
Carbonato de cálcio	Calcium carbonate
Cal	Calcium oxide
Calculadora	Calculator
Cálculo	Calculus
Caldeira vulcânica	Caldera
Calendário	Calendar
Calibre	Caliber
Califórnia	California
Categoria:Califórnia	California
Califórnio	Californium
Calígula	Caligula
Califa	Caliph
Caligrafia	Calligraphy
Calíope	Calliope
Calisto (satélite)	Callisto (moon)
Calisto (mitologia)	Callisto (mythology)
Caloria	Calorie
Calvados	Calvados
Calvário (Gólgota)	Calvary
Calvin Coolidge	Calvin Coolidge
Calvinismo	Calvinism
Calipso	Calypso (mythology)
Camboja	Cambodia
Categoria:Camboja	Cambodia
Cambriano	Cambrian
Cambridge	Cambridge
Cambridge (Massachusetts)	Cambridge
Cambridge (desambiguação)	Cambridge (disambiguation)
Camelus	Camel
Camembert	Camembert (cheese)
Câmera	Camera
Camarões	Cameroon
Categoria:Camarões	Cameroon
Campânia	Campania
Canadá	Canada
Categoria:Canadá	Canada
Dólar canadense	Canadian dollar
Canal	Canal
Canárias	Canary Islands
Categoria:Canárias	Canary Islands
Camberra	Canberra
Cancro (tumor)	Cancer
Cancer	Cancer (constellation)
Candela	Candela
Vela (iluminação)	Candle
Canídeos	Canidae
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannabis	Cannabis
Maconha	Cannabis (drug)
Cannes	Cannes
Canibalismo	Cannibalism
Canhão	Cannon
Canoa	Canoe
Canon	Canon (company)
Canopus	Canopus
Cantata	Cantata
Cantuária	Canterbury
Cantonês	Cantonese (linguistics)
Canuto II da Dinamarca	Canute the Great
Capacitância	Capacitance
Capacitor	Capacitor
Cabo Canaveral	Cape Canaveral
Cabo Horn	Cape Horn
Cidade do Cabo	Cape Town
Cabo Verde	Cape Verde
Categoria:Cabo Verde	Cape Verde
Cabo da Boa Esperança	Cape of Good Hope
Capital	Capital
Capital (economia)	Capital (economics)
Pena de morte	Capital punishment
Capitalismo	Capitalism
Capadócia	Cappadocia
Capricornus	Capricornus
Capsicum	Capsicum
Caracal	Caracal
Caracas	Caracas
Carambola	Carambola
Quilate	Carat (mass)
Quilate	Carat (purity)
Caravaggio	Caravaggio
Carboidrato	Carbohydrate
Carbono	Carbon
Ciclo do carbono	Carbon cycle
Dióxido de carbono	Carbon dioxide
Monóxido de carbono	Carbon monoxide
Ácido carbônico	Carbonic acid
Carbonífero	Carboniferous
Ácido carboxílico	Carboxylic acid
Carburador	Carburetor
Jogos de cartas	Card game
Cardamomo	Cardamom
Cardiff	Cardiff
Cardeal	Cardinal (Catholicism)
Cardeal de Richelieu	Cardinal Richelieu
Cardiologia	Cardiology
Categoria:Cardiologia	Cardiology
Categoria:Sistema circulatório	Cardiovascular system
Caribe	Caribbean
Categoria:Caribe	Caribbean
Mar do Caribe	Caribbean Sea
Caricatura	Caricature
Carina	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnaval	Carnival
Carnívoros	Carnivora
Planta carnívora	Carnivorous plant
Dinastia carolíngia	Carolingian dynasty
Carolus Linnaeus	Carolus Linnaeus
Cárpatos	Carpathian Mountains
Cenoura	Carrot
Carson City	Carson City
Cartagena (Espanha)	Cartagena
Sistema de coordenadas cartesiano	Cartesian coordinate system
Produto cartesiano	Cartesian product
Cartago	Carthage
Cartografia	Cartography
Categoria:Cartografia	Cartography
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Caju	Cashew
Casino	Casino
Mar Cáspio	Caspian Sea
Cassandra	Cassandra
Cassiopéia (constelação)	Cassiopeia (constellation)
Ferro fundido	Cast iron
Castas	Caste
Região histórica de Castela	Castile (historical region)
Castelo	Castle
Roque (xadrez)	Castling
Castries	Castries
Casus belli	Casus belli
Gato doméstico	Cat
Catalunha	Catalonia
Categoria:Catalunha	Catalonia
Catalisador	Catalysis
Catafractário	Cataphract
Catarata	Cataract
Peixe-gato	Catfish
Catarismo	Catharism
Catedral	Cathedral
Catarina Parr	Catherine Parr
Catarina de Aragão	Catherine of Aragon
Cátodo	Cathode
Catolicismo	Catholicism
Gado bovino	Cattle
Garça-vaqueira	Cattle Egret
Catulo	Catullus
Cáucaso	Caucasus
Categoria:Cáucaso	Caucasus
Cordilheira do Cáucaso	Caucasus Mountains
Couve-flor	Cauliflower
Causalidade	Causality
Cavalaria	Cavalry
Caverna	Cave
Caviar	Caviar
Caiena	Cayenne
Ilhas Cayman	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedro	Cedar
Apium graveolens	Celery
Equador celeste	Celestial equator
Categoria:Mecânica celeste	Celestial mechanics
Mecânica celeste	Celestial mechanics
Esfera celeste	Celestial sphere
Celibato	Celibacy
Célula	Cell (biology)
Membrana plasmática	Cell membrane
Núcleo celular	Cell nucleus
Parede celular	Cell wall
Violoncelo	Cello
Celulose	Cellulose
Grau Celsius	Celsius
Cimento	Cement
Cemitério	Cemetery
Cenozóico	Cenozoic
Censo demográfico	Census
Centauro	Centaur
Centaurus	Centaurus
Centro de massa	Center of mass
Centímetro	Centimetre
África Central	Central Africa
República Centro-Africana	Central African Republic
Categoria:República Centro-Africana	Central African Republic
América Central	Central America
Categoria:América Central	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Impérios Centrais	Central Powers
Banco central	Central bank
Sistema nervoso central	Central nervous system
Unidade Central de Processamento	Central processing unit
Centro (França)	Centre
Centríolo	Centriole
Século	Century
Cefalópodes	Cephalopod
Cepheus	Cepheus (constellation)
Cerâmica	Ceramic
Cérbero	Cerberus
Cereal	Cereal
Cerebelo	Cerebellum
Ceres	Ceres
Ceres (planeta anão)	Ceres (dwarf planet)
Ceres (mitologia)	Ceres (mythology)
Cério	Cerium
César Bórgia	Cesare Borgia
Cestoda	Cestoda
Cetáceos	Cetacea
Cetus	Cetus
Chade	Chad
Categoria:Chade	Chad
Tentilhão	Chaffinch
Cadeira	Chair
Calcedônia	Chalcedony
Chamaeleon	Chamaeleon
Champagne (vinho)	Champagne (wine)
Champanha-Ardenas	Champagne-Ardenne
Eurotúnel	Channel Tunnel
Caos (mitologia)	Chaos (mythology)
Charadriiformes	Charadriiformes
Carlos Magno	Charlemagne
Charleroi	Charleroi
Carlos, Príncipe de Gales	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Sanders Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Carlos II de França	Charles the Bald
Charleston (Virgínia Ocidental)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Charmed
Caronte (satélite)	Charon (moon)
Caronte	Charon (mythology)
Chartres	Chartres
Chauvinismo	Chauvinism
Che Guevara	Che Guevara
Chechênia	Chechnya
Categoria:Chechênia	Chechnya
Queijo	Cheese
Chita (animal)	Cheetah
Tcheliabinsk	Chelyabinsk
Ligação química	Chemical bond
Composto químico	Chemical compound
Elemento químico	Chemical element
Engenharia química	Chemical engineering
Fórmula química	Chemical formula
Reacção química	Chemical reaction
Guerra química	Chemical warfare
Química	Chemistry
Categoria:Química	Chemistry
Portal:Química	Chemistry
Chemnitz	Chemnitz
Quimioterapia	Chemotherapy
Chennai	Chennai
Cheque	Cheque
Chernobyl	Chernobyl
Cerejeira	Cherry
Sílex	Chert
Querubim	Cherub
Xadrez	Chess
Categoria:Xadrez	Chess
Abertura (xadrez)	Chess opening
Chester A. Arthur	Chester A. Arthur
Castanha	Chestnut
Chiclete	Chewing gum
Cheyenne (Wyoming)	Cheyenne
Χ	Chi (letter)
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Galinha	Chicken
Varicela	Chickenpox
Grão-de-bico	Chickpea
Chihuahua (Estado)	Chihuahua
Criança	Child
Parto	Childbirth
Chile	Chile
Categoria:Chile	Chile
Chimborazo	Chimborazo (volcano)
Quimera	Chimera (mythology)
Chimpanzé	Chimpanzee
Categoria:China	China
China	China
Quíos	Chios
Quíron	Chiron
Quitina	Chitin
Cloro	Chlorine
Clorofórmio	Chloroform
Clorofila	Chlorophyll
Cloroplasto	Chloroplast
Chocolate	Chocolate
Grupo coral	Choir
Cólera	Cholera
Colesterol	Cholesterol
Chondrichthyes	Chondrichthyes
Chongqing	Chongqing
Acorde	Chord (music)
Cordados	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Cristianismo	Christianity
Categoria:Cristianismo	Christianity
Natal	Christmas
Categoria:Natal	Christmas
Véspera de Natal	Christmas Eve
Árvore de Natal	Christmas tree
Cristóvão Colombo	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Cromatina	Chromatin
Cromatografia	Chromatography
Crômio	Chromium
Cromossomo	Chromosome
Categoria:Cronologia	Chronology
Chuck Berry	Chuck Berry
Mar de Chukchi	Chukchi Sea
Igreja	Church
Igreja Anglicana	Church of England
Cícero	Cicero
Ciconiiformes	Ciconiiformes
Sidra	Cider
Cigarro	Cigarette
Cinderela	Cinderella
Cinábrio	Cinnabar
Cinnamomum zeylanicum	Cinnamon
Circe	Circe
Circinus	Circinus
Círculo	Circle
Sistema circulatório	Circulatory system
Circuncisão	Circumcision
Circo	Circus
Cirrose hepática	Cirrhosis
Cidadania	Citizenship
Ácido cítrico	Citric acid
Ciclo de Krebs	Citric acid cycle
Citrus	Citrus
Cidade-Estado	City-state
Guerra civil	Civil war
Civilização	Civilization
Civilization	Civilization (computer game)
Clarinete	Clarinet
Clark Gable	Clark Gable
Classe	Class
Classe (biologia)	Class (biology)
Classe (programação)	Class (computer science)
Mecânica clássica	Classical mechanics
Música clássica	Classical music
Categoria:Música erudita	Classical music
Classicismo	Classicism
Claude Monet	Claude Monet
Claude Elwood Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Cláudio	Claudius
Clavícula	Clavicle
Argila	Clay
Clave	Clef
Clement Attlee	Clement Attlee
Cleópatra (desambiguação)	Cleopatra (disambiguation)
Clero	Clergy
Cleveland	Cleveland
Cliente-servidor	Client-server
Clima	Climate
Categoria:Clima	Climate
Mudança do clima	Climate change
Climatologia	Climatology
Categoria:Climatologia	Climatology
Depressão nervosa	Clinical depression
Clio	Clio
Clítoris	Clitoris
Relógio	Clock
Big Ben	Clock Tower
Clonagem	Cloning
Categoria:Vestuário	Clothing
Roupa	Clothing
Nuvem	Cloud
Cravo-da-índia	Clove
Trifolium	Clover
Clóvis I	Clovis I
Cnidários	Cnidaria
Carvão mineral	Coal
Costa (geografia)	Coast
Brasão	Coat of arms
Cobalto	Cobalt
Cocaína	Cocaine
Joaninha	Coccinellidae
Cacatua	Cockatoo
Blattaria	Cockroach
Coquetel	Cocktail
Coqueiro	Coconut
Ilhas Cocos (Keeling)	Cocos (Keeling) Islands
Codeína	Codeine
Cafeeiro	Coffea
Café	Coffee
Categoria:Café	Coffee
Psicologia cognitiva	Cognitive psychology
Ciência cognitiva	Cognitive science
Moeda (peça metálica)	Coin
Bebida de cola	Cola
Cólquida	Colchis
Guerra Fria	Cold War
Categoria:Guerra Fria	Cold War
Colin Powell	Colin Powell
Colagem	Collage
Colágeno	Collagen
Colóide	Colloid
Colônia (Alemanha)	Cologne
Colômbia	Colombia
Categoria:Colômbia	Colombia
Colombo (Sri Lanka)	Colombo
Coronel	Colonel
Colónia (história)	Colony
Cor	Color
Daltonismo	Color blindness
Colorado	Colorado
Categoria:Colorado	Colorado
Rio Colorado	Colorado River
Coliseu de Roma	Colosseum
Colosso de Rodes	Colossus of Rhodes
Colubridae	Colubrid
Columba (constelação)	Columba (constellation)
Columbia (Carolina do Sul)	Columbia
Columbia	Columbia
Rio Columbia	Columbia River
Universidade Columbia	Columbia University
Columbidae	Columbidae
Categoria:Columbiformes	Columbiformes
Columbiformes	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Coma	Coma
Coma Berenices	Coma Berenices
Combustão	Combustion
Comédia	Comedy
Comenius	Comenius
Cometa	Comet
Vírgula	Comma (punctuation)
Commedia dell'Arte	Commedia dell'arte
Categoria:Comércio	Commerce
Figo	Common Fig
Resfriado	Common cold
Comunidade dos Estados Independentes	Commonwealth of Independent States
Commonwealth	Commonwealth of Nations
Categoria:Comunicação	Communication
Comunicação	Communication
Comunismo	Communism
Categoria:Comunismo	Communism
Comores	Comoros
Categoria:Comores	Comoros
CD	Compact Disc
Companhia (militar)	Company (military unit)
Bússola	Compass
Compasso (geometria)	Compass (drafting)
Competição	Competition
Compilador	Compiler
CISC	Complex instruction set computer
Número complexo	Complex number
Compositor	Composer
Compósito	Composite material
Lingüística computacional	Computational linguistics
Tomografia computadorizada	Computed tomography
Computador	Computer
Arquitectura de computadores	Computer architecture
Monitor de vídeo	Computer display
Arquivo de computador	Computer file
Categoria:Computação gráfica	Computer graphics
Hardware	Computer hardware
Categoria:Hardware	Computer hardware
Rede de computadores	Computer network
Programa de computador	Computer program
Programação de computadores	Computer programming
Categoria:Programação	Computer programming
Ciência da computação	Computer science
Categoria:Ciência da computação	Computer science
Software	Computer software
Vírus de computador	Computer virus
CAD	Computer-aided design
Categoria:Ciência da computação	Computing
Conacri	Conakry
Concentração (química)	Concentration
Concerto	Concerto
Concord (Nova Hampshire)	Concord
Concreto	Concrete
Preservativo	Condom
Maestro	Conducting
Cone	Cone (geometry)
Estados Confederados da América	Confederate States of America
Confederação	Confederation
Confissão (sacramento)	Confession
Crisma	Confirmation
Conflito	Conflict
Confucionismo	Confucianism
Confúcio	Confucius
Congo (desambiguação)	Congo
Rio Congo	Congo River
Cónica	Conic section
Connecticut	Connecticut
Categoria:Connecticut	Connecticut
Tecido conjuntivo	Connective tissue
Conquistadores	Conquistador
Consenso	Consensus
Lei da Conservação de Energia	Conservation of energy
Conservadorismo	Conservatism
Consoante	Consonant
Constantino I	Constantine I
Constantinopla	Constantinople
Constelação	Constellation
Constituição	Constitution (political)
Cônsul	Consul
Consumo	Consumption (economics)
Lente de contacto	Contact lens
Continente (geografia)	Continent
Deriva continental	Continental drift
Plataforma continental	Continental shelf
Contrato	Contract
Bridge (jogo de cartas)	Contract bridge
Convecção	Convection
Culinária	Cooking
Cooperativismo	Cooperative
Sistema de coordenadas	Coordinate system
Tempo Universal Coordenado	Coordinated Universal Time
Copenhaga	Copenhagen
Cobre	Copper
Direito autoral	Copyright
Corne inglês	Cor anglais
Coraciiformes	Coraciiformes
Coral	Coral
Mar de Coral	Coral Sea
Recife de coral	Coral reef
Coentro	Coriander
Corinto	Corinth
Força de Coriolis	Coriolis effect
Cork	Cork (city)
Cormorão	Cormorant
Córnea	Cornea
Universidade Cornell	Cornell University
Cornualha	Cornwall
Corona Borealis	Corona Borealis
Corporação	Corporation
Corrosão	Corrosion
Córsega	Corsica
Coríndon	Corundum
Corveta	Corvette
Corvidae	Corvidae
Corvus (constelação)	Corvus (constellation)
Radiação cósmica de fundo	Cosmic microwave background radiation
Raio cósmico	Cosmic ray
Cosmologia	Cosmology
Categoria:Cosmologia	Cosmology
Costa Rica	Costa Rica
Categoria:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Algodão	Cotton
Suçuarana	Cougar
Coulomb	Coulomb
Lei de Coulomb	Coulomb's law
Concílio de Calcedónia	Council of Chalcedon
Concílio de Éfeso	Council of Ephesus
Concílio de Trento	Council of Trent
Contraponto (música)	Counterpoint
País	Country
Música country	Country music
Tribunal	Court
Ligação covalente	Covalent bond
Coventry	Coventry
Coiote	Coyote
Caranguejo	Crab
Nebulosa do Caranguejo	Crab Nebula
Gruidae	Crane (bird)
Crater	Crater (constellation)
Criacionismo	Creationism
Cremona	Cremona
Cretáceo	Cretaceous
Creta	Crete
Críquete	Cricket
Grilo	Cricket (insect)
Crime	Crime
Criméia	Crimea
Guerra da Crimeia	Crimean War
Categoria:Direito penal	Criminal law
Direito penal	Criminal law
Criminologia	Criminology
Croácia	Croatia
Categoria:Croácia	Croatia
Crocodilo	Crocodile
Crocodilianos	Crocodilia
Cronos	Cronus
Cruz (símbolo)	Cross
Produto vetorial	Cross product
Besta (arma)	Crossbow
Palavras cruzadas	Crossword
Corvo	Crow
Crucificação	Crucifixion
Cruzador	Cruiser
Crosta	Crust (geology)
Crustáceo	Crustacean
Crux	Crux
Criptografia	Cryptography
Categoria:Criptografia	Cryptography
Cristal	Crystal
Cristalografia	Crystallography
Categoria:Cristalografia	Crystallography
Ctenophora	Ctenophore
Cuba	Cuba
Categoria:Cuba	Cuba
Cubo	Cube
Metro cúbico	Cubic metre
Cubismo	Cubism
Cuculiformes	Cuculiformes
Pepino	Cucumber
Cucurbitaceae	Cucurbitaceae
Revolução Cultural Chinesa	Cultural Revolution
Cultura	Culture
Categoria:Cultura	Culture
Cúmbria	Cumbria
Cumulus	Cumulus cloud
Cupressaceae	Cupressaceae
Curitiba	Curitiba
Cúrio	Curium
Curling	Curling
Categoria:Moedas	Currency
Moeda	Currency
Caril (prato culinário)	Curry
Curva	Curve
Cusco	Cusco
Ciano	Cyan
Cianureto	Cyanide
Cyanobacteria	Cyanobacteria
Cíbele	Cybele
Cibernética	Cybernetics
Cyberpunk	Cyberpunk
Cíclades	Cyclades
Ciclismo	Cycling
Categoria:Ciclismo	Cycling
Ciclone	Cyclone
Ciclope	Cyclops
Cygnus	Cygnus (constellation)
Cilindro	Cylinder (geometry)
Cyperaceae	Cyperaceae
Cyprinidae	Cyprinid
Cypriniformes	Cypriniformes
Chipre	Cyprus
Categoria:Chipre	Cyprus
Alfabeto cirílico	Cyrillic alphabet
Ciro II da Pérsia	Cyrus the Great
Fibrose cística	Cystic fibrosis
Citoplasma	Cytoplasm
Citosina	Cytosine
Citoesqueleto	Cytoskeleton
República Checa	Czech Republic
Categoria:República Checa	Czech Republic
Checoslováquia	Czechoslovakia
Categoria:Tchecoslováquia	Czechoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
Ácido desoxirribonucleico	DNA
DOS	DOS
DVD	DVD
Dachshund	Dachshund
Dadaísmo	Dada
Dédalo	Daedalus
Adaga	Dagger
Daguerreótipo	Daguerreotype
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmácia	Dalmatia
Barragem	Dam
Damasco	Damascus
Dança	Dance
Categoria:Dança	Dance
Dente-de-leão	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Coroa dinamarquesa	Danish krone
Dante Alighieri	Dante Alighieri
Rio Danúbio	Danube
Dafne	Daphne
Dar es Salaam	Dar es Salaam
Dardanelos	Dardanelles
Darfur	Darfur
Matéria escura	Dark matter
Darmstádio	Darmstadtium
Darwin (Austrália)	Darwin
Darwin	Darwin
O Capital	Das Kapital
Dados	Data
Mineração de dados	Data mining
Estrutura de dados	Data structure
Banco de dados	Database
Sistema de gerenciamento de banco de dados	Database management system
Tamareira	Date Palm
Caso dativo	Dative case
Daugavpils	Daugavpils
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Copa Davis	Davis Cup
Dia	Day
Categoria:Dias do ano	Days
Diácono	Deacon
Mar Morto	Dead Sea
Pergaminhos do Mar Morto	Dead Sea scrolls
Beladona	Deadly nightshade
Morte	Death
Categoria:Morte	Death
Década	Decade
Dezembro	December
31 de Dezembro	December 31
8 de Dezembro	December 8
Decibel	Decibel
Sistema de numeração decimal	Decimal
Décio	Decius (emperor)
Declinação	Declination
Anderson Luiz de Sousa	Deco
Desconstrução	Deconstruction
Método dedutivo	Deductive reasoning
Cervídeos	Deer
Definição	Definition
Deflação (economia)	Deflation
Grau	Degree
Grau (geometria)	Degree (angle)
Deimos (satélite)	Deimos (moon)
Deísmo	Deism
Delaware	Delaware
Categoria:Delaware	Delaware
Delft	Delft
Deli	Delhi
Dell	Dell
Delfos	Delphi
Delphinus	Delphinus
Delta (desambiguação)	Delta
Δ	Delta (letter)
Dilúvio	Deluge (mythology)
Demagogia	Demagogy
Demência	Dementia
Deméter	Demeter
Democracia	Democracy
Partido Democrata (Estados Unidos da América)	Democratic Party (United States)
República Democrática do Congo	Democratic Republic of the Congo
Categoria:República Democrática do Congo	Democratic Republic of the Congo
Demócrito de Abdera	Democritus
Demografia	Demography
Categoria:Demografia	Demography
Demónio	Demon
Demóstenes	Demosthenes
Deng Xiaoping	Deng Xiaoping
Dengue	Dengue fever
Denis Diderot	Denis Diderot
Dinamarca	Denmark
Categoria:Dinamarca	Denmark
Dennis Gabor	Dennis Gabor
Massa volúmica	Density
Cárie	Dental caries
Categoria:Odontologia	Dentistry
Odontologia	Dentistry
Denver	Denver
Derivada	Derivative
Dermatologia	Dermatology
Des Moines	Des Moines
Deserto	Desert
Categoria:Desertos	Deserts
Erasmo de Roterdão	Desiderius Erasmus
Design	Design
Categoria:Design	Design
Desmond Tutu	Desmond Tutu
Contratorpedeiro	Destroyer
Determinante	Determinant
Determinismo	Determinism
Detroit	Detroit
Deutério	Deuterium
Deuteronômio	Deuteronomy
Psicologia do desenvolvimento	Developmental psychology
Driver de dispositivo	Device driver
Devon	Devon
Devoniano	Devonian
Sereno	Dew
Ponto de orvalho	Dew point
Classificação decimal de Dewey	Dewey Decimal Classification
Daca	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Raposa-asiática-dos-montes	Dhole
Diabetes mellitus	Diabetes mellitus
Diacrítico	Diacritic
Dialeto	Dialect
Dialética	Dialectic
Materialismo dialético	Dialectical materialism
Diâmetro	Diameter
Diamante	Diamond
Diana, Princesa de Gales	Diana
Diana (mitologia)	Diana (mythology)
Diarreia	Diarrhea
Diáspora	Diaspora
Diatomácea	Diatom
Dado	Dice
Dicotiledónea	Dicotyledon
Ditadura	Dictatorship
Dicionário	Dictionary
Diego Rivera	Diego Rivera
Diesel	Diesel
Motor a diesel	Diesel engine
