Indonesian	English
Kategori:Karibia	Caribbean
Laut Karibia	Caribbean Sea
Carina	Carina (constellation)
Carl D. Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Maria von Weber	Carl Maria von Weber
Karnaval	Carnival
Carnivora	Carnivora
Karnivora	Carnivore
Carolus Linnaeus	Carolus Linnaeus
Wortel	Carrot
Carson City, Nevada	Carson City
Sistem koordinat Kartesius	Cartesian coordinate system
Kartago	Carthage
Kartografi	Cartography
Kategori:Kartografi	Cartography
Cary Grant	Cary Grant
Casablanca	Casablanca
Kacang Mede	Cashew
Kasino (tempat perjudian)	Casino
Laut Kaspia	Caspian Sea
Cassiopeia	Cassiopeia (constellation)
Kasta	Caste
Kastil	Castle
Castries	Castries
Casus belli	Casus belli
Kucing	Cat
Catalunya	Catalonia
Katalis	Catalysis
Kataphract	Cataphract
Katarak	Cataract
Katedral	Cathedral
Katoda	Cathode
Katolik	Catholicism
Sapi	Cattle
Kuntul Kerbau	Cattle Egret
Catullus	Catullus
Kaukasus	Caucasus
Kategori:Kaukasus	Caucasus
Pegunungan Kaukasus	Caucasus Mountains
Kubis bunga	Cauliflower
Kavaleri	Cavalry
Gua	Cave
Kepulauan Cayman	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Seledri	Celery
Ekuator langit	Celestial equator
Selibat	Celibacy
Sel (biologi)	Cell (biology)
Membran sel	Cell membrane
Inti sel	Cell nucleus
Dinding sel	Cell wall
Cello	Cello
Selulosa	Cellulose
Celsius	Celsius
Semen	Cement
Pemakaman	Cemetery
Kenozoikum	Cenozoic
Sensus	Census
Centaurus (mitologi)	Centaur
Centaurus (rasi bintang)	Centaurus
Sentimeter	Centimetre
Afrika Tengah	Central Africa
Republik Afrika Tengah	Central African Republic
Kategori:Republik Afrika Tengah	Central African Republic
Amerika Tengah	Central America
Kategori:Amerika Tengah	Central America
CIA	Central Intelligence Agency
Central Park	Central Park
Blok Sentral	Central Powers
Bank sentral	Central bank
CPU	Central processing unit
Centre	Centre
Abad	Century
Cepheus	Cepheus (constellation)
Keramik	Ceramic
Cerberus	Cerberus
Serealia	Cereal
Ceres	Ceres
1 Ceres	Ceres (dwarf planet)
Serium	Cerium
Cetacea	Cetacea
Cetus	Cetus
Chad	Chad
Kategori:Chad	Chad
Kursi	Chair
Sampanye	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Terowongan Channel	Channel Tunnel
Khaos	Chaos (mythology)
Charlemagne	Charlemagne
Charleroi	Charleroi
Charles dari Wales	Charles
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Lindbergh	Charles Lindbergh
C.T.R. Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charleston, West Virginia	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Charmed
Charon (bulan)	Charon (moon)
Chartres	Chartres
Che Guevara	Che Guevara
Chechnya	Chechnya
Kategori:Chechnya	Chechnya
Keju	Cheese
Cheetah	Cheetah
Chelyabinsk	Chelyabinsk
Ikatan kimia	Chemical bond
Senyawa kimia	Chemical compound
Unsur kimia	Chemical element
Teknik kimia	Chemical engineering
Rumus kimia	Chemical formula
Reaksi kimia	Chemical reaction
Senjata kimia	Chemical warfare
Kimia	Chemistry
Kategori:Kimia	Chemistry
Portal:Kimia	Chemistry
Chemnitz	Chemnitz
Kemoterapi	Chemotherapy
Chennai	Chennai
Cek	Cheque
Chernobyl	Chernobyl
Ceri	Cherry
Rijang	Chert
Catur	Chess
Kategori:Catur	Chess
Chester A. Arthur	Chester A. Arthur
Cheyenne, Wyoming	Cheyenne
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Ayam	Chicken
Cacar air	Chickenpox
Chickpea	Chickpea
Chihuahua (negara bagian)	Chihuahua
Anak	Child
Chili	Chile
Kategori:Chili	Chile
Chimaera	Chimera (mythology)
Kategori:Tiongkok	China
Cina	China
Chios	Chios
Klor	Chlorine
Kloroform	Chloroform
Klorofil	Chlorophyll
Kloroplas	Chloroplast
Cokelat	Chocolate
Paduan suara	Choir
Kolera	Cholera
Kolesterol	Cholesterol
Chongqing	Chongqing
Akord	Chord (music)
Chordata	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kekristenan	Christianity
Kategori:Kristen	Christianity
Natal	Christmas
Pohon Natal	Christmas tree
Christopher Columbus	Christopher Columbus
Kromatografi	Chromatography
Kromium	Chromium
Kromosom	Chromosome
Kategori:Kronologi	Chronology
Gereja	Church (building)
Gereja Inggris	Church of England
Ciconiiformes	Ciconiiformes
Rokok	Cigarette
Cinderella	Cinderella
Kayu manis	Cinnamon
Lingkaran	Circle
Sistem kardiovaskular	Circulatory system
Sunat	Circumcision
Sirkus	Circus
Kewarganegaraan	Citizenship
Asam sitrat	Citric acid
Negara kota	City-state
Perang Saudara	Civil war
Peradaban	Civilization
Civilization	Civilization (computer game)
Klarinet	Clarinet
Clark Gable	Clark Gable
Kelas (biologi)	Class (biology)
Mekanika klasik	Classical mechanics
Kategori:Musik klasik	Classical music
Claude Monet	Claude Monet
Tulang selangka	Clavicle
Tanah liat	Clay
Clement Attlee	Clement Attlee
Rohaniwan	Clergy
Cleveland, Ohio	Cleveland
Klien-server	Client-server
Iklim	Climate
Klimatologi	Climatology
Kategori:Klimatologi	Climatology
Depresi	Clinical depression
Klitoris	Clitoris
Kloning	Cloning
Kategori:Pakaian	Clothing
Pakaian	Clothing
Awan	Cloud
Cengkeh	Clove
Cnidaria	Cnidaria
Lambang negara	Coat of arms
Kobal	Cobalt
Kokain	Cocaine
Kepik	Coccinellidae
Kakatua	Cockatoo
Kecoa	Cockroach
Kelapa	Coconut
Kepulauan Cocos (Keeling)	Cocos (Keeling) Islands
Kodein	Codeine
Coffea	Coffea
Kopi	Coffee
Kategori:Kopi	Coffee
Konyak	Cognac (drink)
Psikologi kognitif	Cognitive psychology
Uang logam	Coin
Kola	Cola
Perang Dingin	Cold War
Kategori:Perang Dingin	Cold War
Colin Powell	Colin Powell
Kolagen	Collagen
Sistem koloid	Colloid
Köln	Cologne
Kolombia	Colombia
Kategori:Kolombia	Colombia
Kolombo	Colombo
Kolonel	Colonel
Warna	Color
Colorado	Colorado
Kategori:Colorado	Colorado
Colosseum	Colosseum
Colossus Rodos	Colossus of Rhodes
Colubridae	Colubrid
Columbia, South Carolina	Columbia
Universitas Columbia	Columbia University
Columbus, Ohio	Columbus
Koma (medis)	Coma
Coma Berenices	Coma Berenices
Pembakaran	Combustion
Melawak	Comedy
John Amos Comenius	Comenius
Komet	Comet
Kategori:Perdagangan	Commerce
Tin	Common Fig
Persemakmuran Negara-negara Merdeka	Commonwealth of Independent States
Negara-Negara Persemakmuran	Commonwealth of Nations
Kategori:Komunikasi	Communication
Komunikasi	Communication
Komunisme	Communism
Kategori:Komunisme	Communism
Komoro	Comoros
Kategori:Komoro	Comoros
Cakram padat	Compact Disc
Kompi	Company (military unit)
Kompas	Compass
Jangka	Compass (drafting)
Kompetisi	Competition
Kompilator	Compiler
CISC	Complex instruction set computer
Komponis	Composer
Material komposit	Composite material
Bilangan komposit	Composite number
Tomografi terkomputasi	Computed tomography
Komputer	Computer
Arsitektur komputer	Computer architecture
Tampilan komputer	Computer display
Berkas komputer	Computer file
Kategori:Komputer grafis	Computer graphics
Perangkat keras	Computer hardware
Kategori:Perangkat keras	Computer hardware
Program komputer	Computer program
Pemrograman komputer	Computer programming
Kategori:Pemrograman komputer	Computer programming
Ilmu komputer	Computer science
Kategori:Ilmu komputer	Computer science
Perangkat lunak	Computer software
Virus komputer	Computer virus
CAD	Computer-aided design
Kategori:Komputer	Computing
Conakry	Conakry
Concord, New Hampshire	Concord
Beton	Concrete
Kondom	Condom
Dirigen	Conducting
Kerucut	Cone (geometry)
Konfederasi	Confederation
Pengakuan dosa	Confession
Penguatan	Confirmation
Konflik	Conflict
Agama Khonghucu	Confucianism
Kong Hu Cu (filsuf)	Confucius
Kongo	Congo
Sungai Kongo	Congo River
Irisan kerucut	Conic section
Connecticut	Connecticut
Kategori:Connecticut	Connecticut
Conquistador	Conquistador
Kekekalan energi	Conservation of energy
Konservatisme	Conservatism
Konsonan	Consonant
Konstantinus I	Constantine I
Konstantinopel	Constantinople
Rasi bintang	Constellation
Konstitusi	Constitution (political)
Lensa Kontak	Contact lens
Benua	Continent
Teori Continental Drift	Continental drift
Kontrak	Contract
Bridge	Contract bridge
Memasak	Cooking
Koperasi	Cooperative
UTC	Coordinated Universal Time
Kopenhagen	Copenhagen
Tembaga	Copper
Hak cipta	Copyright
Ketumbar	Coriander
Korintus	Corinth
Cork	Cork (city)
Kornea	Cornea
Universitas Cornell	Cornell University
Cornwall	Cornwall
Perusahaan	Corporation
Korosi	Corrosion
Korsika	Corsica
Korundum	Corundum
Korvet	Corvette
Corvus	Corvus (constellation)
Sinar kosmik	Cosmic ray
Kosmologi	Cosmology
Kategori:Kosmologi	Cosmology
Kosta Rika	Costa Rica
Kategori:Kosta Rika	Costa Rica
Cotonou	Cotonou
Gunung Cotopaxi	Cotopaxi
Kapas	Cotton
Coulomb	Coulomb
Konsili Khalsedon	Council of Chalcedon
Konsili Efesus	Council of Ephesus
Konsili Trento	Council of Trent
Pengadilan	Court
Ikatan kovalen	Covalent bond
Coventry	Coventry
Koyote	Coyote
Kepiting	Crab
Burung Jenjang	Crane (bird)
Ciptaanisme	Creationism
Cremona	Cremona
Kapur (periode)	Cretaceous
Kreta	Crete
Kriket	Cricket
Jangkrik	Cricket (insect)
Kriminalitas	Crime
Republik Otonomi Krimea	Crimea
Perang Krimea	Crimean War
Kategori:Kriminologi	Criminology
Kroasia	Croatia
Kategori:Kroasia	Croatia
Buaya	Crocodile
Teka-teki silang	Crossword
Gagak	Crow
Penyaliban	Crucifixion
Kerak bumi	Crust (geology)
Crustacea	Crustacean
Crux	Crux
Kriptografi	Cryptography
Kategori:Kriptografi	Cryptography
Kristal	Crystal
Kuba	Cuba
Kategori:Kuba	Cuba
Kubus	Cube
Mentimun	Cucumber
Revolusi Kebudayaan	Cultural Revolution
Budaya	Culture
Kategori:Budaya	Culture
Cumbria	Cumbria
Awan Kumulus	Cumulus cloud
Curitiba	Curitiba
Mata uang	Currency
Kari	Curry
Kurva	Curve
Cusco	Cusco
Sian	Cyan
Sianida	Cyanide
Cyanobacteria	Cyanobacteria
Cyberpunk	Cyberpunk
Cyclades	Cyclades
Bersepeda	Cycling
Siklon	Cyclone
Cygnus	Cygnus (constellation)
Tabung (geometri)	Cylinder (geometry)
Siprus	Cyprus
Kategori:Siprus	Cyprus
Aksara Sirilik	Cyrillic alphabet
Koresh Agung	Cyrus the Great
Sitoplasma	Cytoplasm
Sitosin	Cytosine
Sitoskeleton	Cytoskeleton
Ceko	Czech Republic
Kategori:Ceko	Czech Republic
Cekoslowakia	Czechoslovakia
Kategori:Cekoslowakia	Czechoslovakia
Asam deoksiribonukleat	DNA
DOS	DOS
DVD	DVD
Dachshund	Dachshund
Dadaisme	Dada
Belati	Dagger
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmatia
Bendungan	Dam
Damaskus	Damascus
Tari	Dance
Randa Tapak	Dandelion
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Krona Denmark	Danish krone
Dante Alighieri	Dante Alighieri
Donau	Danube
Dar es Salaam	Dar es Salaam
Darfur	Darfur
Darjeeling	Darjeeling
Materi gelap	Dark matter
Darwin, Teritorial Utara	Darwin
Darwin (disambiguasi)	Darwin
Das Kapital	Das Kapital
Data	Data
Penggalian data	Data mining
Struktur data	Data structure
Basis data	Database
Sistem manajemen basis data	Database management system
Daugavpils	Daugavpils
Daud	David
David Hilbert	David Hilbert
David Hume	David Hume
Hari	Day
De facto	De facto
Diakon	Deacon
Laut Mati	Dead Sea
Naskah Laut Mati	Dead Sea scrolls
Kematian	Death
Kategori:Kematian	Death
Dasawarsa	Decade
Desember	December
31 Desember	December 31
8 Desember	December 8
Sistem bilangan desimal	Decimal
Deklinasi	Declination
Deco	Deco
Dekonstruksi	Deconstruction
Deduksi	Deductive reasoning
Rusa	Deer
Definisi	Definition
Deflasi	Deflation
Derajat	Degree
Derajat (satuan sudut)	Degree (angle)
Delaware	Delaware
Kategori:Delaware	Delaware
Delft	Delft
Dell	Dell
Delta (huruf Yunani)	Delta (letter)
Air bah (mitologi)	Deluge (mythology)
Demeter	Demeter
Demokrasi	Democracy
Partai Demokrat (Amerika Serikat)	Democratic Party (United States)
Republik Demokratik Kongo	Democratic Republic of the Congo
Kategori:Republik Demokratik Kongo	Democratic Republic of the Congo
Demokreitos	Democritus
Kependudukan	Demography
Kategori:Kependudukan	Demography
Jurik	Demon
Deng Xiaoping	Deng Xiaoping
Demam berdarah	Dengue fever
Denis Diderot	Denis Diderot
Denmark	Denmark
Kategori:Denmark	Denmark
Dennis Gabor	Dennis Gabor
Massa jenis	Density
Karies gigi	Dental caries
Kategori:Kedokteran gigi	Dentistry
Kedokteran gigi	Dentistry
Denver, Colorado	Denver
Turunan	Derivative
Dermatologi	Dermatology
Des Moines, Iowa	Des Moines
Gurun	Desert
Kategori:Gurun	Deserts
Desiderius Erasmus	Desiderius Erasmus
Desain	Design
Kategori:Desain	Design
Desmond Tutu	Desmond Tutu
Kapal perusak	Destroyer
Detroit	Detroit
Deuterium	Deuterium
Kitab Ulangan	Deuteronomy
Psikologi perkembangan	Developmental psychology
Device driver	Device driver
Devon	Devon
Devon (periode)	Devonian
Embun	Dew
Klasifikasi Desimal Dewey	Dewey Decimal Classification
Dhaka	Dhaka
Dharma	Dharma
Ajag	Dhole
Diabetes mellitus	Diabetes mellitus
Dialek	Dialect
Diameter	Diameter
Intan	Diamond
Diana Spencer	Diana
Diare	Diarrhea
Diaspora	Diaspora
Diatom	Diatom
Dadu (permainan)	Dice
Diktatur	Dictatorship
Kamus	Dictionary
Diesel	Diesel
Mesin diesel	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Difraksi	Diffraction
Difusi	Diffusion
Pencernaan	Digestion
Kategori:Sistem pencernaan	Digestive system
Digital	Digital
Kamera digital	Digital camera
Fotografi digital	Digital photography
DSL	Digital subscriber line
Dijon	Dijon
Dimensi	Dimension
Dingo	Dingo
Dinosaurus	Dinosaur
Keuskupan	Diocese
Diocletianus	Diocletian
Dioda	Diode
Dionysus	Dionysus
Difteri	Diphtheria
Diftong	Diphthong
Diplomasi	Diplomacy
Kategori:Diplomasi	Diplomacy
Arus searah	Direct current
Kategori:Disambiguasi	Disambiguation
DJ	Disc jockey
Diskriminasi	Discrimination
Penyakit	Disease
Jarak	Distance
Distilasi	Distillation
Divisi	Division (military)
Perceraian	Divorce
Dizzy Gillespie	Dizzy Gillespie
Kategori:Djibouti	Djibouti
Dmitri Mendeleev	Dmitri Mendeleev
Dmitri Shostakovich	Dmitri Shostakovich
Dnipropetrovsk	Dnipropetrovsk
Doktor Gereja	Doctor of the Church
Dokumen	Document
Dodecanese	Dodecanese
Dodo	Dodo
Dodoma	Dodoma
Anjing	Dog
Dogma	Dogma
Doha	Doha
Dolar	Dollar
Domba Dolly	Dolly (sheep)
Dolomit	Dolomite
Lumba-lumba	Dolphin
Nama domain	Domain name
Kubah	Dome
Domestikasi	Domestication
Dominika	Dominica
Kategori:Dominika	Dominica
Ordo Dominikan	Dominican Order
Republik Dominika	Dominican Republic
Kategori:Republik Dominika	Dominican Republic
Donal Bebek	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Keledai	Donkey
Pintu	Door
Efek Doppler	Doppler effect
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dover, Delaware	Dover
Dover, Kent	Dover
Sindrom Down	Down syndrome
Naga	Dragon
Batas air	Drainage basin
Drama	Drama
Mimpi	Dream
Dresden	Dresden
Minuman	Drink
Kecanduan	Drug addiction
Drum	Drum
Dualisme	Dualism (philosophy of mind)
Dubai	Dubai
Dublin	Dublin
Bebek	Duck
Duke Ellington	Duke Ellington
Universitas Duke	Duke University
Dunkerque	Dunkirk
Usus dua belas jari	Duodenum
Durban	Durban
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategori:Tokoh Belanda	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dinamit	Dynamite
Disprosium	Dysprosium
Distopia	Dystopia
E (konstanta matematika)	E (mathematical constant)
Surat elektronik	E-mail
Elang	Eagle
Telinga	Ear
Bumi	Earth
Kategori:Bumi	Earth
Ilmu bumi	Earth science
Gempa bumi	Earthquake
Timur	East
Afrika Timur	East Africa
Laut China Timur	East China Sea
Jerman Timur	East Germany
East Sussex	East Sussex
Timor Timur	East Timor
Kategori:Timor Timur	East Timor
Paskah	Easter
Gereja Ortodoks	Eastern Orthodox Church
Ebro	Ebro
Kitab Pengkhotbah	Ecclesiastes
Ekidna	Echidna
Echinodermata	Echinoderm
Gerhana	Eclipse
Eclipse (perangkat lunak)	Eclipse (software)
Ekliptika	Ecliptic
Ekologi	Ecology
Kategori:Ekologi	Ecology
Ekonometrika	Econometrics
Ilmu ekonomi	Economics
Kategori:Ekonomi	Economics
Ekonomi	Economy
Ekosistem	Ecosystem
Ekuador	Ecuador
Kategori:Ekuador	Ecuador
Konsili Ekumenis	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edirne	Edirne
Edmonton, Alberta	Edmonton
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Pendidikan	Education
Kategori:Pendidikan	Education
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Sidat	Eel
Telur	Egg (biology)
Terong	Eggplant
Mesir	Egypt
Kategori:Mesir	Egypt
Pound Mesir	Egyptian pound
Menara Eiffel	Eiffel Tower
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejakulasi	Ejaculation
El Cid	El Cid
El Greco	El Greco
El Salvador	El Salvador
Kategori:El Salvador	El Salvador
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Muatan listrik	Electric charge
Arus listrik	Electric current
Medan listrik	Electric field
Gitar listrik	Electric guitar
Motor listrik	Electric motor
Kategori:Teknik elektro	Electrical engineering
Hambatan listrik	Electrical resistance
Listrik	Electricity
Kategori:Listrik	Electricity
Elektrokardiogram	Electrocardiogram
Elektrokimia	Electrochemistry
Elektrolisis	Electrolysis
Elektrolit	Electrolyte
Radiasi elektromagnetik	Electromagnetic radiation
Spektrum elektromagnetik	Electromagnetic spectrum
Elektromagnetisme	Electromagnetism
Kategori:Elektromagnetisme	Electromagnetism
Elektron	Electron
Mikroskop elektron	Electron microscope
Elektronegativitas	Electronegativity
Elektronika	Electronics
Kategori:Elektronika	Electronics
Partikel dasar	Elementary particle
Gajah	Elephant
Lift	Elevator
Peri	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Elips	Ellipse
Elipsis	Ellipsis
Elvis Presley	Elvis Presley
Embrio	Embryo
Zamrud	Emerald
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Kategori:Emosi	Emotion
Empati	Empathy
Empedokles	Empedocles
Kaisar	Emperor
Gedung Empire State	Empire State Building
Empirisme	Empiricism
Emu	Emu
Emulator	Emulator
Emulsi	Emulsion
Ensiklopedia	Encyclopedia
Endemik	Endemism
Sistem endokrin	Endocrine system
Kategori:Endokrinologi	Endocrinology
Energi	Energy
Kategori:Energi	Energy
Energi	Energy (society)
Insinyur	Engineer
Teknik	Engineering
Kategori:Teknik	Engineering
Inggris	England
Kategori:Inggris	England
Selat Inggris	English Channel
Perang Saudara Inggris	English Civil War
Bahasa Inggris	English language
Kategori:Tokoh Inggris	English people
Bangsa Inggris	English people
Enrico Fermi	Enrico Fermi
Kategori:Hiburan	Entertainment
Entalpi	Enthalpy
Entomologi	Entomology
Enzim	Enzyme
Eosen	Eocene
Eon	Eon (geology)
Eos	Eos
Efesus	Ephesus
Wiracarita	Epic poetry
Episenter	Epicenter
Wabah	Epidemic
Epidemiologi	Epidemiology
Epilepsi	Epilepsy
Epifani	Epiphany (Christian)
Epirus	Epirus (periphery)
Epistemologi	Epistemology
Surat Paulus kepada Jemaat di Galatia	Epistle to the Galatians
Surat Paulus kepada Jemaat di Roma	Epistle to the Romans
Jaringan epitel	Epithelium
Epsilon	Epsilon
Persamaan	Equation
Khatulistiwa	Equator
Guinea Khatulistiwa	Equatorial Guinea
Kategori:Guinea Khatulistiwa	Equatorial Guinea
Equidae	Equidae
Paku ekor kuda	Equisetum
Erasure	Erasure
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebus
Disfungsi ereksi	Erectile dysfunction
Ereksi	Erection
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (planet katai)	Eris (dwarf planet)
Kategori:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosi	Erosion
Erotisme	Erotica
Erwin Rommel	Erwin Rommel
Eskatologi	Eschatology
Escherichia coli	Escherichia coli
Kota Isfahan	Esfahan
Esofagus	Esophagus
Bahasa Esperanto	Esperanto
Spionase	Espionage
Espoo	Espoo
Espresso	Espresso
Essen, Nordrhein-Westfalen	Essen
Minyak atsiri	Essential oil
Essex	Essex
Ester	Ester
Kategori:Estonia	Estonia
Estrogen	Estrogen
Eta (huruf Yunani)	Eta (letter)
Etsa	Etching
Etana	Ethane
Etanol	Ethanol
Ethernet	Ethernet
Etika	Ethics
Kategori:Etika	Ethics
Ethiopia	Ethiopia
Kategori:Ethiopia	Ethiopia
Suku bangsa	Ethnic group
Etologi	Ethology
Etena	Ethylene
Etimologi	Etymology
Eukaliptus	Eucalyptus
Perjamuan Kudus	Eucharist
Euklides	Euclid
Eugene O'Neill	Eugene O'Neill
Eukariota	Eukaryote
Orang kasim	Eunuch
Eufemisme	Euphemism
Eurasia	Eurasia
Euro	Euro
Europa	Europa (moon)
Eropa	Europe
Kategori:Eropa	Europe
Bank Sentral Eropa	European Central Bank
Komunitas Eropa	European Community
Uni Eropa	European Union
Kategori:Uni Eropa	European Union
Europium	Europium
Eusebius dari Kaisaria	Eusebius of Caesarea
Eutanasia	Euthanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Penguapan	Evaporation
Hewan berkuku genap	Even-toed ungulate
Evolusi	Evolution
Excalibur	Excalibur
Ekskomunikasi	Excommunication
Eksekutif	Executive (government)
Eksistensialisme	Existentialism
Kitab Keluaran	Exodus
Ledakan	Explosion
Fungsi eksponensial	Exponential function
Eksponen	Exponentiation
Ekspresionisme	Expressionism
Kepunahan	Extinction
Mata	Eye
Kategori:Mata	Eye
Fabaceae	Fabaceae
Wajah	Face
Faktorial	Factorial
Pabrik	Factory
Fado	Fado
Fahrenheit	Fahrenheit
Penggunaan wajar	Fair use
Peri	Fairy
Falconiformes	Falconiformes
Kepulauan Falkland	Falkland Islands
Kesesatan	Fallacy
Tuba fallopi	Fallopian tube
Falun Gong	Falun Gong
Kategori:Keluarga	Family
Familia	Family (biology)
Marga	Family name
Timur Jauh	Far East
Kategori:Kepulauan Faroe	Faroe Islands
Fasisme	Fascism
Kategori:Fasisme	Fascism
Kategori:Mode	Fashion
Mode	Fashion
Rumah makan siap saji	Fast food
Puasa	Fasting
Fatah	Fatah
Asam lemak	Fatty acid
Sesar	Fault (geology)
Fauna	Fauna
Fauvisme	Fauvism
Bulu	Feather
Februari	February
12 Februari	February 12
14 Februari	February 14
2 Februari	February 2
22 Februari	February 22
29 Februari	February 29
Revolusi Februari	February Revolution
Tinja	Feces
FBI	Federal Bureau of Investigation
Federasi Mikronesia	Federated States of Micronesia
Kategori:Federasi Mikronesia	Federated States of Micronesia
Federasi	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Loloh balik	Feedback
Felidae	Felidae
Felix Mendelssohn	Felix Mendelssohn
Feminisme	Feminism
Kategori:Feminisme	Feminism
Anggar	Fencing
Feng Shui	Feng shui
Adas	Fennel
Fernando de Magelhaens	Ferdinand Magellan
Fermentasi	Fermentation (biochemistry)
Fermentasi	Fermentation (food)
Fermion	Fermion
Tumbuhan paku	Fern
Kapal feri	Ferry
Pembuahan	Fertilisation
Pupuk	Fertilizer
Janin	Fetus
Demam	Fever
Fiat	Fiat
Bilangan Fibonacci	Fibonacci number
Kategori:Fiksi	Fiction
Tokoh fiktif	Fictional character
Fidel Castro	Fidel Castro
Hoki lapangan	Field hockey
Pesawat tempur	Fighter aircraft
Fiji	Fiji
Kategori:Fiji	Fiji
FAT	File Allocation Table
FTP	File Transfer Protocol
Sistem berkas	File system
Kategori:Film	Film
Film	Film
Portal:Film	Film
Sutradara	Film director
Paus Sirip	Fin Whale
Kategori:Keuangan	Finance
Keuangan	Finance
Jari	Finger
Sidik jari	Fingerprint
Finlandia	Finland
Kategori:Finlandia	Finland
Api	Fire
Senjata api	Firearm
Pemadam kebakaran	Firefighter
Firewall	Firewall (networking)
Firmware	Firmware
Konsili Nicea I	First Council of Nicaea
Perang Salib Pertama	First Crusade
Surat Paulus yang Pertama kepada Jemaat di Korintus	First Epistle to the Corinthians
Pertolongan Pertama Pada Kecelakaan	First aid
Bahasa ibu	First language
Ikan	Fish
Kategori:Ikan	Fish
Memancing	Fishing
Kategori:Memancing	Fishing
Fyord	Fjord
Bendera	Flag
Flagel	Flagellum
Memori flash	Flash memory
Kentut	Flatulence
Kutu	Flea
Rijang	Flint
Flip-flop	Flip-flop (electronics)
Banjir	Flood
Disket	Floppy disk
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Kategori:Florida	Florida
Tepung	Flour
Bunga	Flower
Tumbuhan berbunga	Flowering plant
Fluida	Fluid
Mekanika fluida	Fluid mechanics
Suling	Flute
Kabut	Fog
Asam folik	Folic acid
Lagu daerah	Folk music
Kategori:Cerita rakyat	Folklore
Makanan	Food
Aditif makanan	Food additive
Organisasi Pangan dan Pertanian	Food and Agriculture Organization
Rantai makanan	Food chain
Kaki (satuan panjang)	Foot (unit of length)
Sepak bola	Football (soccer)
Kategori:Sepak bola	Football (soccer)
Kategori:Sepak bola menurut negara	Football (soccer) by country
Kategori:Tim sepak bola	Football (soccer) clubs
Kategori:Pelatih sepak bola	Football (soccer) managers
Kategori:Pemain sepak bola	Football (soccer) players
Kategori:Stadion sepak bola	Football (soccer) venues
Kota Terlarang	Forbidden City
Gaya	Force
Hutan	Forest
Kehutanan	Forestry
Garpu	Fork
Bentuk pemerintahan	Form of government
Formaldehida	Formaldehyde
Asam format	Formic acid
Fort Worth, Texas	Fort Worth
Benteng	Fortification
Fortran	Fortran
Fosil	Fossil
Bahan bakar fosil	Fossil fuel
Air mancur	Fountain
Rubah	Fox
Fraktal	Fractal
Pecahan	Fraction (mathematics)
Perancis	France
Kategori:Perancis	France
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Fransiskus dari Assisi	Francis of Assisi
Fransiskan	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Fransium	Francium
Perang Perancis-Prusia	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort, Kentucky	Frankfort
Frankfurt am Main	Frankfurt
