English	Arabic
23 (number)	23 (عدد)
24	24
24 (TV series)	24 (مسلسل أمريكي)
24 (number)	24 (عدد)
25	25
25 (number)	25 (عدد)
26	26
26 (number)	26 (عدد)
27	27
27 (number)	27 (عدد)
28	28
28 (number)	28 (عدد)
29	29
29 (number)	29 (عدد)
3	3
3 (number)	3 (عدد)
30	30
30 (number)	30 (عدد)
300	300
31	31
31 (number)	31 (عدد)
32	32
32 (number)	32 (عدد)
33	33
33 (number)	33 (عدد)
34	34
34 (number)	34 (عدد)
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	4 (عدد)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	5 (عدد)
50	50
500	500
500	تصنيف:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (عدد)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (عدد)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (عدد)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (عدد)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
AIDS	متلازمة العوز المناعي المكتسب
Aachen	آخن
Aardvark	خنزير الأرض
Abacus	أباكوس
Abadan	عبادان
Abdomen	بطن
Aberdeen	أبردين
Abidjan	أبيجان
Abkhazia	أبخازيا
Abolitionism	التحرير من العبودية
Abortion	إجهاض
Abraham	إبراهيم
Abraham Lincoln	أبراهام لينكون
Absolute magnitude	قدر مطلق
Absolute value	قيمة مطلقة
Absolute zero	صفر مطلق
Abstract art	مدرسة تجريدية
Abstraction	تجريد
Abu Dhabi	مدينة أبوظبي
Abu Dhabi (emirate)	إمارة أبوظبي
Abuja	أبوجا
Acacia	طلح
Academy Award	جائزة الأوسكار
Acceleration	تسارع
Accordion	أكورديون
Accountancy	محاسبة
Accountancy	تصنيف:محاسبة
Accra	أكرا
Acetic acid	حمض خليك
Acetone	أسيتون
Acetylcholine	أستيل كولين
Acetylene	أسيتلين
Achilles	آخيل
Acid	حمض
Acid rain	مطر حمضي
Acne vulgaris	حب الشباب
Aconcagua	أكونكاجوا
Acre	عكا
Acre (state)	أكري
Acropolis	أكروبوليس
Actinide	أكتينيدات
Actinium	أكتينيوم
Actor	ممثل
Acts of the Apostles	سفر أعمال الرسل
Acupuncture	إبر صينية
Ada (programming language)	أدا
Adam	آدم
Adam Smith	آدم سميث
Adana	أضنة
Addiction	إدمان
Addis Ababa	أديس أبابا
Addition	جمع
Adelaide	أديليد
Aden	عدن
Adenine	أدينين
Adenosine triphosphate	أدينوسين ثلاثي الفوسفات
Admiral	أمير البحر
Adolescence	مراهقة
Adolf Eichmann	أدولف أيخمان
Adolf Hitler	أدولف هتلر
Adonis	أدونيس
Adoption	تبني
Adrenal gland	غدة كظرية
Adriatic Sea	بحر أدرياتيكي
Adsorption	امتزاز
Adult	مرحلة الرشد
Advertising	إعلان
Aegean Sea	بحر إيجة
Afghanistan	أفغانستان
Afghanistan	تصنيف:أفغانستان
Africa	أفريقيا
Africa	تصنيف:أفريقيا
African American	أمريكيون أفارقة
Afrikaans	لغة أفريكانية
Agamemnon	أجاممنون
Agar	آغار
Agate	عقيق
Agatha Christie	أجاثا كريستي
Agnosticism	لاأدرية
Agora	أجورا
Agoraphobia	رهاب اجتماعي
Agriculture	زراعة
Agriculture	تصنيف:زراعة
Agrigento	أغريجنتو
Aikido	أيكيدو
Airbus	إيرباص
Aircraft	طائرة
Aircraft carrier	حاملة طائرات
Airline	شركة طيران
Airport	مطار
Ajax (mythology)	أجاكس (ميثولوجيا)
Ajax (programming)	أجاكس
Akhenaten	إخناتون
Akira Kurosawa	أكيرا كوروساوا
Al Gore	ألبرت أرنولد جور
Al-Qaeda	القاعدة (منظمة)
Alabama	ألاباما
Alan Turing	آلان تورنج
Alaska	ألاسكا
Albania	ألبانيا
Albania	تصنيف:ألبانيا
Albany	ألباني، نيويورك
Albatross	قطرس
Albert Abraham Michelson	ألبرت ميكلسون
Albert Camus	ألبير كامو
Albert Einstein	ألبرت أينشتاين
Albert Schweitzer	البرت شوايتزر
Albert Speer	ألبرت سبير
Alberta	ألبرتا
Albinism	ألبينو
Album	ألبوم
Albuquerque	ألباكركي، نيومكسيكو
Alchemy	خيمياء
Alcohol	كحول
Alcoholic beverage	مشروبات كحولية
Alcoholism	إدمان كحولي
Aldebaran	الدبران
Aldehyde	ألدهيد
Alec Guinness	أليك جينيز
Aleksandr Solzhenitsyn	ألكسندر سولجنيتسين
Aleppo	حلب
Alexander Fleming	ألكسندر فلمنج
Alexander Graham Bell	ألكسندر غراهام بيل
Alexander Pushkin	ألكسندر بوشكين
Alexander the Great	الإسكندر الأكبر
Alexandre Dumas	ألكسندر دوما
Alexandria	الإسكندرية
Alfred Hitchcock	ألفريد هتشكوك
Alfred Nobel	ألفريد نوبل
Algae	أشنيات
Algebra	جبر
Algebra	تصنيف:جبر
Algebraic number	عدد جبري
Algeria	الجزائر
Algeria	تصنيف:الجزائر
Algiers	الجزائر (مدينة)
Algorithm	خوارزمية
Alhambra	قصر الحمراء
Ali	علي بن أبي طالب
Alkali metal	فلز قلوي
Alkaloid	قلويد
Alkane	ألكان
Alkene	ألكين
Alkyne	ألكاين
Allah	الله (إسلام)
Allergy	حساسية
Allosaurus	ألوصور
Allotropy	تآصل
Alloy	سبيكة
Almaty	ألما أتا
Almond	لوز
Aloe	نبات الصبر
Alpha (letter)	ألفا (حرف إغريقي)
Alpha Centauri	القنطوري الألفا
Alpha particle	أشعة ألفا
Alphabet	أبجدية
Alps	ألب
Altar	مذبح
Alternating current	تيار متردد
Alternative medicine	تصنيف:طب بديل
Alternative medicine	طب بديل
Altruism	الإيثار
Aluminium	ألومنيوم
Aluminium oxide	أكسيد ألومنيوم
Alvar Aalto	ألفار آلتو
Alzheimer's disease	ألزهايمر
Amaterasu	أماتيراسو
Amazon River	أمازون (نهر)
Ambassador	سفير
Amber	كهرمان
American Civil War	الحرب الأهلية الأمريكية
American Revolutionary War	حرب الاستقلال الأمريكية
American Samoa	ساموا الأمريكية
American Standard Code for Information Interchange	آسكي
American football	كرة قدم أمريكية
American football	تصنيف:كرة قدم أمريكية
Americium	أمريكيوم
Amerigo Vespucci	أميريغو فسبوتشي
Amharic	لغة أمهرية
Amide	أميد
Amine	أمين
Amino acid	حمض أميني
Amman	عمان (مدينة)
Ammeter	مقياس التيار الكهربائي
Ammonia	أمونياك
Amnesia	نسيان
Ampere	أمبير
Amphetamine	أمفيتامين
Amphibian	برمائيات
Amsterdam	أمستردام
Amun	آمون
Anabaptist	تجديدية العماد
Anaheim	أنهايم، كاليفورنيا
Anal sex	جنس شرجي
Analytic geometry	هندسة تحليلية
Anarchism	لاسلطوية
Anarchism	تصنيف:لاسلطوية
Anatole France	أناتول فرانس
Anatomy	تصنيف:تشريح
Anatomy	تشريح
Anaximander	أناكسيماندر
Andalusia	منطقة أندلسيا ذاتية الحكم
Andaman Sea	بحر أندامان
Andes	أنديز
Andhra Pradesh	أندرا براديش
Andorra	أندورا
Andrei Sakharov	أندريه ديمترفيتش ساخاروف
Andrew Jackson	أندرو جاكسون
Andrew Lloyd Webber	أندرو لويد ويبر
Andromeda (constellation)	المرأة المسلسلة (كوكبة)
Andromeda Galaxy	المرأة المسلسلة (مجرة)
Andy Warhol	آندي وارهول
Anemia	فقر دم
Anesthesia	تخدير
Angel	ملاك
Angel Falls	شلالات آنجل
Angle	زاوية(هندسة)
Angola	أنغولا
Angola	تصنيف:أنغولا
Anguilla	أنجويلا
Animal	حيوان
Animation	رسوم متحركة
Anime	أنمي
Anime	تصنيف:أنمي
Animism	إحيائية
Anise	ينسون
Ankara	أنقرة
Annapolis	أنابوليس، ماريلاند
Anne Boleyn	آن بولين
Annelid	ديدان مقسمة
Anno Domini	أنو دوميني
Anorexia nervosa	خلفة ذهنية
Anseriformes	أوزيات
Anseriformes	تصنيف:إوز
Ant	نمل
Antakya	أنطاكية
Antalya	أنطاليا
Antananarivo	أنتاناناريفو
Antarctica	أنتاركتيكا
Antarctica	تصنيف:أنتاركتيكا
Antenna (radio)	هوائي
Anthony Hopkins	أنتوني هوبكنز
Anthrax	الجمرة الخبيثة
Anthropology	علم الإنسان
Anthropology	تصنيف:علم الإنسان
Antibiotic	مضاد حيوي
Antibody	ضد (مناعة)
Antichrist	المسيح الدجال
Antigua and Barbuda	أنتيغا وبربودا
Antigua and Barbuda	تصنيف:أنتيغا وباربودا
Antimatter	مادة مضادة
Antimony	إثمد
Antioxidant	مضاد التأكسد
Antisemitism	معاداة السامية
Antlia	مفرغة الهواء (كوكبة)
Antoine Lavoisier	أنطوان لافوازييه
Anton Bruckner	أنطون بروكنر
Anton Chekhov	أنطون تشيخوف
Antonio Vivaldi	أنطونيو فيفالدي
Antwerp	أنتويرب
Antwerp (province)	أنتفيرب (مقاطعة)
Anubis	أنوبيس
Anus	شرج
Aorta	أبهر (شريان)
Apache	أباتشي (قبيلة)
Apatite	اباتيت
Ape	قرد
Aphrodite	أفروديت
Apocrypha	أبوكريفا
Apodiformes	سماميات
Apollo	أبولو (إله إغريقي)
Apollo (disambiguation)	أبولو
Apollo program	برنامج أبولو
Apoptosis	استموات
Appalachian Mountains	جبال الأبلاش
Apple	تفاح
Applied mathematics	رياضيات تطبيقية
Apricot	مشمش
April	أبريل
April 14	14 أبريل
April Fools' Day	يوم كذبة أبريل
Apulia	بوليا
Aqaba	العقبة
Aquitaine	أكيتان
Arab	عرب
Arab League	جامعة الدول العربية
Arabian Peninsula	شبه الجزيرة العربية
Arabian Sea	بحر العرب
Arabic alphabet	أبجدية عربية
Arabic language	لغة عربية
Arachnid	عنكبيات
Aragon	منطقة أراغون ذاتية الحكم
Aral Sea	بحر آرال
Aram Khachaturian	آرام خاتشاتوريان
Arcadia	أركاديا
Arcangelo Corelli	أركانجلو كوريلي
Arch	قوس
Archaeology	علم الآثار
Archaeology	تصنيف:علم الآثار
Archaeopteryx	أركيوبتركس
Archimedes	أرخميدس
Archipelago	أرخبيل
Architect	مهندس معماري
Architecture	عمارة
Architecture	تصنيف:عمارة
Arctic	أركتيك
Arctic Ocean	المحيط المتجمد الشمالي
Ardennes	الأردين
Area	مساحة
Ares	آرس
Argentina	الأرجنتين
Argentina	تصنيف:أرجنتين
Argon	أرغون (عنصر)
Argos	آرغوس
Arianism	أريانية
Aristocracy	أرستقراطية
Aristotle	أرسطو
Arithmetic	حساب
Arithmetic	تصنيف:حساب
Arius	آريوس
Arizona	أريزونا
Arizona	تصنيف:أريزونا
Arkansas	أركنسو
Armenia	أرمينيا
Armenia	تصنيف:أرمينيا
Arminius	أرمينيوس
Armour	درع
Army	جيش
Arnhem	أرنهيم
Aromatic hydrocarbon	هيدروكربون أروماتي
Arrow	سهم
Arsenic	زرنيخ
Art	فن
Art Deco	آرت ديكو
Art Nouveau	أرت نوفو
Artemis	آرتميس
Artemisia (plant)	شيح
Artery	شريان
Arthritis	التهاب المفاصل
Arthropod	مفصليات الأرجل
Arthur Conan Doyle	آرثر كونان دويل
Arthur Miller	أرثر ميلر
Arthur Rimbaud	آرثر رامبو
Artificial intelligence	ذكاء اصطناعي
Artificial intelligence	تصنيف:ذكاء اصطناعي
Artillery	سلاح المدفعية
Arts	تصنيف:فن
Aruba	أروبا
Asbestos	أسبستوس
Asclepius	أسقليبيوس
Ashurbanipal	آشوربانيبال
Asia	آسيا
Asia	تصنيف:آسيا
Asmara	أسمرة
Aspirin	أسبرين
Assassination	اغتيال
Assembly language	لغة التجميع
Association of Southeast Asian Nations	اتحاد دول جنوب شرق آسيا
Assyria	آشور (مملكة)
Astana	أستانا
Astatine	أستاتين
Asteroid	كويكب
Asthma	ربو
Astigmatism (eye)	لابؤرية
Astrakhan	أستراخان
Astrobiology	علم الأحياء الفلكي
Astrolabe	أسطرلاب
Astrology	علم التنجيم
Astrology	تصنيف:تنجيم
Astronaut	رائد فضاء
Astronomer	عالم فضاء
Astronomical unit	وحدة فلكية
Astronomy	فلك
Astronomy	تصنيف:فلك
Astronomy	بوابة:علم الفلك
Astrophysics	فيزياء فلكية
Astrophysics	تصنيف:فيزياء فلكية
Aswan	أسوان
Asynchronous Transfer Mode	أسلوب النقل اللاتزامني
Aten	آتون
Athena	آثينا
Athens	أثينا
Athletics	تصنيف:ألعاب قوى
Athletics (track and field)	ألعاب قوى
Atlanta	أتلانتا، جورجيا
Atlantic Ocean	محيط أطلسي
Atlantic Ocean	تصنيف:محيط أطلسي
Atlantis	أطلنتس
Atlas (mythology)	أطلس
Atlas Mountains	جبال أطلس
Atmospheric pressure	ضغط جوي
Atoll	شعب حلقي
Atom	ذرة
Atomic mass	كتلة ذرية
Atomic mass unit	وحدة كتل ذرية
Atomic number	رقم ذري
Atomic physics	تصنيف:فيزياء ذرية
Atomic physics	فيزياء ذرية
Attica	أتيكا (إقليم)
Attila the Hun	أتيلا الهوني
Auckland	أوكلاند
Auction	مزاد
August	أغسطس
August 1	1 أغسطس
August 15	15 أغسطس
August 6	6 أغسطس
Augusta	أوغوستا، مين
Auguste Comte	أوغست كونت
Auguste Rodin	أوجست رودان
Augustine of Hippo	أوغسطينوس
Augustus	أغسطس قيصر
Aurora (astronomy)	شفق قطبي
Austin	أوستن، تكساس
Australia	أستراليا
Australia	تصنيف:أستراليا
Australopithecus	أسترالوبيثكس
Austria	النمسا
Austria	تصنيف:نمسا
Austria-Hungary	الإمبراطورية النمساوية المجرية
Author	كاتب
Authority	سلطة
Autism	توحد
Auto racing	سباق سيارات
Autobiography	سيرة شخصية ذاتية
Automated teller machine	آلة الصراف الآلي
Automobile	سيارة
Autonomic nervous system	جهاز عصبي ذاتي
Autumn	خريف
Avalanche	انهيار جليدي
Avatar	أڤتار
Averroes	ابن رشد
Avesta	آوستا
Aviation	تصنيف:طيران
Aviation	طيران
Avicenna	ابن سينا
Axe	فأس
Axiom	بديهية
Ayatollah	آية الله
Ayn Rand	آين راند
Azerbaijan	أذربيجان
Azerbaijan	تصنيف:أذربيجان
Aztec	آزتك
B	B
BASIC	بيسيك
Baal	بعل آمون
Baboon	بابون
Babylon	بابل (مدينة)
Backgammon	طاولة
Bacteria	بكتيريا
Bacteria	تصنيف:بكتيريا
Badminton	تنس الريشة
Baffin Island	بافين (جزيرة)
Baghdad	بغداد
Bahamas	تصنيف:الباهاماس
Bahrain	البحرين
Bahrain	تصنيف:البحرين
Baja California	ولاية باجا كاليفورنيا
Baklava	بقلاوة
Baku	باكو
Balance sheet	ميزانية (محاسبة)
Balearic Islands	منطقة جزر البليار ذاتية الحكم
Baleen whale	حوت باليني
Bali	بالي
Balkan Mountains	جبال البلقان
Balkan Wars	حروب البلقان
Balkans	البلقان
Ballet	باليه
Ballpoint pen	قلم حبر جاف
Baltic Sea	بحر البلطيق
Baltimore	بالتيمور، ماريلاند
Bamako	باماكو
Bamboo	خيزران
Banana	موز
Bangalore	بنغالور
Bangkok	بانكوك
Bangladesh	بنغلاديش
Bangladesh	تصنيف:بنغلاديش
Bangui	بانغي
Banjul	بانجول
Bank	مصرف
Baptism	معمودية
Baptist	الكنيسة المعمدانية
Bar (unit)	بار
Barbados	بربادوس
Barbra Streisand	باربرا سترايساند
Barcelona	برشلونة
Barcelona	تصنيف:برشلونة
Bari	باري
Barium	باريوم
Barley	شعير
Barn Swallow	خطاف
Baron	بارون
Baroque	باروكية
Barrel (unit)	برميل (نفط)
Baryon	باريون
Basalt	بازلت
Base (chemistry)	قلوي
Baseball	بيسبول
Basel	بازل
Bash	باش
Basil	ريحان
Basilicata	بازيليكاتا
Basketball	كرة السلة
Basketball	تصنيف:كرة سلة
Basra	البصرة
Bastille	سجن الباستيل
Bat	خفاش
Bath	باث
Batman	باتمان
Baton Rouge	باتون روج، لويزيانا
Battalion	كتيبة (وحدة عسكرية)
Battery (electricity)	بطارية كهربائية
Battle of Austerlitz	معركة أوسترليتز
Battle of Britain	معركة بريطانيا
Battle of Lepanto (1571)	معركة ليبانتو
Battle of Midway	معركة ميدواي
Battle of Thermopylae	معركة ترموبيل
Battle of Trafalgar	معركة طرف الغار
Battle of Waterloo	معركة واترلو
Battle of the Bulge	معركة الثغرة
Battleship	سفينة حربية
Bauhaus	باوهاوس
Bauxite	بوكسيت
Bavaria	بافاريا
Bay of Bengal	خليج البنغال
Bear	دب
Beaver	قندس
Bed	سرير
Bedouin	بدو
Bee	نحل
Beer	بيرة (مشروب كحولي)
Beer	تصنيف:جعة
Beetle	خنفساء
Beijing	بكين
Beirut	بيروت
Belarus	بيلاروس
Belfast	بلفاست
Belgium	بلجيكا
Belgium	تصنيف:بلجيكا
Belgrade	بلغراد
Belize	بليز
Belly dance	رقص شرقي
Belo Horizonte	بيلو هوريزونتي
Beluga	حوت أبيض
Benelux	بنلوكس
Benghazi	بنغازي
Benin	بنين
Benin	تصنيف:بنين
Benito Mussolini	بينيتو موسوليني
Benjamin Franklin	بنجامين فرانكلين
Benjamin Harrison	بنجامين هاريسون
Benny Goodman	بيني قودمان
Bergen	برجن
Bering Strait	مضيق بايرنغ
Berkelium	بركليوم
Berkshire	بريكشير
Berlin	برلين
Berlin	تصنيف:برلين
Bermuda	جزر برمودا
Bermuda Triangle	مثلث برمودا
Berne	برن
Bernhard Riemann	جورج فريدرش برنارد ريمان
Bertolt Brecht	برتولت بريشت
Bertrand Russell	بيرتراند راسل
Beryllium	بيريليوم
Beta (letter)	بيتا (حرف إغريقي)
Betelgeuse	منكب الجوزاء
Bethlehem	بيت لحم
Bette Davis	بيت ديفيس
Beverly Hills	بيفرلي هيلز، كاليفورنيا
Bhutan	بوتان
Bible	الكتاب المقدس
Bible	تصنيف:الكتاب المقدس
Bibliography	ببليوجرافيا
Bicycle	دراجة هوائية
Big Bang	نظرية الانفجار العظيم
Bihar	بيهار
Bile	صفراء
Bill Clinton	بيل كلينتون
Bill Gates	بيل غيتس
Billy Wilder	بيلي ويلدر
Binary star	نجم ثنائي
Biochemistry	كيمياء حيوية
Biochemistry	تصنيف:كيمياء حيوية
Biodiversity	تنوع حيوي
Biogeography	جغرافيا حيوية
Biography	بوابة:أعلام
Biological warfare	سلاح بيولوجي
Biology	علم الأحياء
Biology	تصنيف:علم الأحياء
Biology	بوابة:علم الأحياء
Biomass	كتلة حيوية
Biometrics	علم المقاييس الحيوية
Biophysics	فيزياء حيوية
Biosphere	الغلاف الحيوي
Biotechnology	تقانة حيوية
Biotechnology	تصنيف:تقانة حيوية
Biotin	فيتامين بي7
Bipolar disorder	تعكر المزاج الثنائي القطب
Birch	بتيولا
Bird	طائر
Birmingham	برمنغهام، ألاباما
Birth control	تحديد النسل
Bisexuality	إزدواجية الميول الجنسية
Bishkek	بشكيك
Bishop	أسقف
Bishop (chess)	فيل (شطرنج)
Bismarck	بسمارك، داكوتا الشمالية
Bismuth	بزموت
Bissau	بيساو
Bit	بت
Black	أسود
Black Death	موت أسود
Black Forest	الغابة السوداء
Black Sea	بحر أسود
Black body	جسم أسود
Black hole	ثقب أسود
Blaise Pascal	بليز باسكال
Blindness	عمى
Blitzkrieg	حرب خاطفة
Bloemfontein	بلومفونتين
Blog	مدونة
Blood	دم
Blood plasma	بلازما الدم
Blood pressure	ضغط الدم
Blood type	فئات الدم
Blue	أزرق
Blue Whale	حوت أزرق
Blues	بلوز
Boar	خنزير بري
Board game	لعبة مجتمع
Boat	قارب
Bob Dylan	بوب ديلان
Bob Marley	بوب مارلي
Bobby Fischer	بوبي فيشر
Bodybuilding	كمال أجسام
Bohemia	بوهيميا
Bohrium	بوريوم
Boiling point	نقطة غليان
Boise	بويسي، أيداهو
Bolivia	بوليفيا
Bolivia	تصنيف:بوليفيا
Bollywood	بوليوود
Bologna	بولونيا (مدينة)
Bolshevik	بلشفية
Bolzano	بولسانو
Bomb	قنبلة
Bombyx mori	دودة القز
Bone	عظم
Bone marrow	نقي
Bonn	بون
Bonsai	بونساي
Book	كتاب
Book of Esther	سفر أستير
Book of Joshua	سفر يشوع
Book of Judges	سفر القضاة
Book of Mormon	كتاب مورمون
Book of Revelation	رؤيا يوحنا
Book of Ruth	سفر راعوث
Bordeaux	بوردو
Boris Pasternak	بوريس باسترناك
Borneo	بورنيو
Boron	بورون
Bosnia and Herzegovina	البوسنة والهرسك
Bosnia and Herzegovina	تصنيف:البوسنة والهرسك
Boson	بوزون
Bosporus	مضيق بوسفور
Boston	بوستن، ماساتشوستس
Bot	قالب:بوت
Botany	علم النبات
Botany	تصنيف:علم النبات
Botswana	بتسوانا
Botswana	تصنيف:بوتسوانا
Bourgeoisie	برجوازية
Bourgogne	بورغونيا
Bowling	بولينج
Boxing	ملاكمة
Bracket	قوسان (علامة ترقيم)
Brahma	براهما
Braille	كتابة بريل
Brain	دماغ
Brainstorming	عصف ذهني
Bram Stoker	برام ستوكر
Brandenburg	براندنبورغ
Brassiere	مشد الصدر
Bratislava	براتيسلافا
Braunschweig	براونشفايغ
Brazil	البرازيل
Brazil	تصنيف:برازيل
Brazzaville	برازافيل
Bread	خبز
Breast	ثدي
Breast cancer	سرطان الثدي
Bremen	ولاية بريمن
Brescia	بريشا
Bretagne	بريطانيا (فرنسا)
Bridge	جسر
Bridges	تصنيف:جسور
Bridgetown	بريدج تاون
Brigade	لواء (وحدة عسكرية)
Brighton	برايتون
Brindisi	برينديزي
Brisbane	بريزبين
Bristol	بريستول
British Columbia	كولومبيا البريطانية
British Empire	إمبراطورية بريطانية
British Virgin Islands	الجزر العذراء البريطانية
Brno	برنو
Broadway (New York City)	برودواي
Broccoli	بروكلي
Bromine	بروم
Bronze	برونز
Bronze Age	عصر برونزي
Brooklyn	بروكلين
Brooklyn Bridge	جسر بروكلين
Brownian motion	حركة براونية
Bruce Lee	بروس لي
Bruges	بروج
Brunei	بروني
Brussels	بروكسل
Bubonic plague	طاعون
Bucharest	بوخارست
Budapest	بودابست
Buddhism	بوذية
Buddhism	تصنيف:بوذية
Buenos Aires	بوينس آيرس
Buffalo	بوفالو، نيويورك
Building	مبنى
Bujumbura	بوجمبورا
Bulgaria	بلغاريا
Bulgaria	تصنيف:بلغاريا
Buoyancy	طفو
Bureaucracy	بيروقراطية
Burkina Faso	بوركينا فاسو
Burkina Faso	تصنيف:بوركينا فاسو
Burma	ميانمار
Burqa	برقع
Bursa	بورصة (مدينة)
Burundi	تصنيف:بوروندي
Bus	حافلة
Businesspeople	تصنيف:رجال أعمال
Butane	بوتان (كيمياء)
Butter	زبدة
Butterfly	فراشة
Butterfly effect	أثر الفراشة
Byte	بايت
C	C
C (programming language)	سي (لغة برمجة)
C. S. Lewis	سي. إس. لويس
CD (disambiguation)	CD
COBOL	كوبول
Cacao	شجرة الكاكاو
Cache	تنظيم الذاكرة المخبئية
Cactus	صبار
Cadmium	كادميوم
Cadmus	قدموس الملك الفينيقي
Caesium	سيزيوم
Caffeine	كافايين
Cairo	القاهرة
Cake	كعك
Calabria	كالابريا
Calcium	كالسيوم
Calcium carbonate	كربونات كالسيوم
Calcium oxide	أكسيد كالسيوم
Calculus	تفاضل
Calendar	تقويم
California	كاليفورنيا
California	تصنيف:كاليفورنيا
Californium	كاليفورنيوم
Caligula	كاليجولا
Caliph	خلافة إسلامية
Calliope	كاليوبي
Calorie	سعرة حرارية
Calvary	جلجثة
Calvin Coolidge	كالفين كوليدج
Calvinism	كالفينية
Calypso (mythology)	كاليبسو
Cambodia	كمبوديا
Cambodia	تصنيف:كمبوديا
Cambrian	عصر كامبري
Cambridge	كامبريدج (إنجلترا)
Cambridge	كامبريدج، ماساتشوستس
Cambridge (disambiguation)	كامبريدج
Camel	جمل
Camembert (cheese)	كاميمبرت
Camera	كاميرا
Cameroon	الكاميرون
Cameroon	تصنيف:كاميرون
Campania	كامبانيا
Canada	كندا
Canada	تصنيف:كندا
Canadian dollar	دولار كندي
Canal	قناة
Canary Islands	منطقة جزر الكناري ذاتية الحكم
Canberra	كانبرا
Cancer	السرطان
Candela	شمعة (وحدة قياس)
Candle	شمعة
Canidae	كلبيات
Cannabis	قنب هندي
Cannes	كان (مدينة)
Cannibalism	أكل لحوم البشر
Canopus	سهيل
Cantata	كانتاتا
Canterbury	كانتربيري
Capacitance	سعة
Capacitor	مكثف
Cape Town	كيب تاون
Cape Verde	الرأس الأخضر
Cape of Good Hope	رأس الرجاء الصالح
Capital	عاصمة
Capital (economics)	رأس المال
Capital punishment	إعدام
Capitalism	رأسمالية
Cappadocia	كبادوكيا
Capricornus	برج الجدي
Caracal	عناق الأرض
Caracas	كراكاس
Carat (mass)	قيراط (وحدة كتلة)
Caravaggio	كارافادجو
Carbohydrate	سكريات
Carbon	كربون
Carbon cycle	دورة كربون
Carbon dioxide	ثنائي أكسيد كربون
Carbon monoxide	أول أكسيد كربون
Carboxylic acid	حمض كربوكسيلي
Carburetor	مازج
Cardamom	هيل
Cardiff	كارديف
Cardinal (Catholicism)	كاردينال
Cardinal Richelieu	ريشيليو
Cardiology	تصنيف:علم القلب
Caribbean	الكاريبي
Caribbean	تصنيف:دول الكاريبي
Caribbean Sea	بحر الكاريبي
Caricature	كاريكاتير
Carl Jung	كارل يونج
Carl Lewis	كارل لويس
Carl Orff	كارل أورف
Carnival	كرنفال
Carnivora	آكلات اللحوم
Carnivorous plant	نبات لاحم
Carolingian dynasty	كارولينجيون
Carolus Linnaeus	كارولوس لينيوس
Carrot	جزر
Carson City	كارسون سيتي، نيفادا
Cartagena	قرطاجنّة
Cartesian coordinate system	نظام الإحداثيات الديكارتية
