English	Piedmontese
Djibouti (city)	Djibouti (sità)
Dmitri Shostakovich	Dmitrij Šostakovič
Dodoma	Dodoma
Doha	Doha
Domain (biology)	Domini (tassonomìa)
Dominica	Dominica
Dominica	Categorìa:Dominica
Dominican Republic	Repùblica Dominican-a
Dominican Republic	Categorìa:Repùblica Dominican-a
Doris Lessing	Doris Lessing
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dresden	Dresda
Dubai	Dubai
Dublin	Dublin
Dushanbe	Dušanbe
Dustin Hoffman	Dustin Hoffman
East Timor	Timor Est
Ecuador	Ecuador
Ecuador	Categorìa:Ecuador
Edinburgh	Edimborgh
Edmund Hillary	Edmund Hillary
Egypt	Egit
Egypt	Categorìa:Egit
Eiffel Tower	Tor Eiffel
El Salvador	El Salvador
El Salvador	Categorìa:El Salvador
Emilia-Romagna	Emilia-Romagna
Empedocles	Empédocle
England	Anghiltèra
England	Categorìa:Anghiltèra
English language	Lenga anglèisa
Enrico Fermi	Enrico Fermi
Epicurus	Epicur
Equatorial Guinea	Guinea Equatorial
Eratosthenes	Eratòstene
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Ernest Hemingway	Ernest Hemingway
Ethiopia	Etiòpia
Euclid	Uclid
Euro	Euro
Europe	Euròpa
Europe	Categorìa:Euròpa
European Union	Union Europenga
Evangelista Torricelli	Evangelista Torricelli
February	Fërvé
Ferrara	Fërara
Fiat	FIAT
Fibonacci number	Sequensa ëd Fibonacci
Fiji	Figi
Fiji	Categorìa:Figi
Finland	Finlandia
Florence	Firense
Florence Nightingale	Florence Nightingale
Florida	Florida
France	Fransa
France	Categorìa:Fransa
Francis Bacon	Francis Bacon
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Franchfort sël Men
Franz Kafka	Franz Kafka
Frederick II	Federich II
Freetown	Freetown
Friuli-Venezia Giulia	Friul-Venessia Giulia
Funafuti	Funafuti
Fyodor Dostoevsky	Fëdor Dostoevskij
Gabon	Gabòn
Gaborone	Gaborone
Galen	Galen
Galicia (Spain)	Galissia
Galileo Galilei	Galileo Galilei
Genoa	Génoa
Geometry	Geometrìa
Geopolitics	Geopolìtica
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Boole	George Boole
George Frideric Handel	Georg Friedrich Händel
George Orwell	George Orwell
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Gujan-a)
Georgia (U.S. state)	Georgia (USA)
Georgia (country)	Geòrgia
Gerald Ford	Gerald Ford
German language	Lenga tedësca
Germany	Gërmania
Ghana	Ghana
Giacomo Puccini	Giacomo Puccini
Gibraltar	Gibiltèra
Giovanni Boccaccio	Giovanni Boccaccio
Giuseppe Verdi	Giuseppe Verdi
Globalization	Mondialisassion
Golf	Gòlf
Graham Greene	Graham Greene
Greece	Grecia
Greenland	Groenlandia
Grenada	Categorìa:Grenada
Group (mathematics)	Strop
Guatemala	Categorìa:Guatemala
Guatemala City	Sità ëd Guatemala
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Gustav Klimt	Gustav Klimt
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Haiti	Haiti
Haiti	Categorìa:Haiti
Hanoi	Hanoi
Hans Christian Andersen	Hans Christian Andersen
Harare	Harare
Haute-Normandie	Àuta Normandìa
Havana	L'Avan-a
Hawaii	Hawaii
Heinrich Himmler	Heinrich Himmler
Helsinki	Helsinki
Henri Bergson	Henri Bergson
Henry Ford	Henry Ford
Hephaestus	Efest
Hesse	Assia
Hirohito	Hirohito
Homosexuality	Omossessualità
Honduras	Honduras
Honduras	Categorìa:Honduras
Hungary	Ungherìa
Ian Fleming	Ian Fleming
Iceland	Islanda
Idaho	Idaho
Illinois	Illinois
Immanuel Kant	Immanuel Kant
India	India
Indiana	Indian-a
Indonesia	Indonesia
Ingmar Bergman	Ingmar Bergman
Iowa	Iowa
Iran	Iran
Iraq	Irak
Ireland	Irlanda (ìsola)
Isaac Newton	Isaac Newton
Islamabad	Islamabad
Israel	Israel
Italo Calvino	Italo Calvino
Italy	Italia
Italy	Categorìa:Italia
Jack London	Jack London
Jakarta	Giacarta
Jamaica	Giamàica
Jamaica	Categorìa:Giamàica
Jane Austen	Jane Austen
January	Gené
Japan	Giapon
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jeremy Bentham	Jeremy Bentham
Jesus	Gesù ëd Nàsaret
Jimmy Carter	Jimmy Carter
Johann Bernoulli	Johann Bernoulli
Johannes Kepler	Johannes Kepler
John Herschel	John Herschel
John Stuart Mill	John Stuart Mill
John von Neumann	John von Neumann
Jordan	Giordania
Joseph Haydn	Joseph Haydn
Joseph Stalin	Josif Stalin
Jules Verne	Jules Verne
June 24	24 ëd giugn
Kabul	Kabul
Kampala	Kampala
Kansas	Kansas
Karl Popper	Karl Popper
Kathmandu	Kathmandu
Kaunas	Kaunas
Kazakhstan	Kazakistan
Kazakhstan	Categorìa:Kazakistan
Kentucky	Kentucky
Kenya	Kenya
Khartoum	Khartoum
Kiev	Kijv
Kigali	Kigali
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kolkata	Kolkata
Kosovo	Kosovo
Kuala Lumpur	Kuala Lumpur
Kuiper belt	Fassa ëd Kuiper
Kurt Vonnegut	Kurt Vonnegut
Kuwait	Kuwait
Kuwait City	Sità dël Kuwait
Kyrgyzstan	Kirghizistan
L'Aquila	L'Àquila
La Paz	La Paz
La Spezia	La Spessia
Lagos	Lagos
Lake Geneva	Lagh Leman
Laos	Làos
Laos	Categorìa:Làos
Latvia	Letònia
Lazio	Lassio
Le Corbusier	Le Corbusier
Lebanon	Lìban
Leipzig	Lipsia
Leon Trotsky	Lev Davidovič Trockij
Leonardo da Vinci	Leonard da Vinci
Leonhard Euler	Leonhard Euler
Lesotho	Lesotho
Lewis Carroll	Lewis Carroll
Liberia	Liberia
Libreville	Libreville
Libya	Libia
Liechtenstein	Liechtenstein
Liechtenstein	Categorìa:Liechtenstein
Liguria	Liguria
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Linear algebra	Àlgebra linear
Linguistics	Categorìa:Lenghìstica
Lisbon	Lisbon-a
Lise Meitner	Lise Meitner
Literature	Categorìa:Literatura
Lithuania	Lituania
Lithuania	Categorìa:Lituania
Ljubljana	Lubian-a
Lombardy	Lombardìa
London	Londra
London	Categorìa:Londra
Louisiana	Luisian-a
Lower Saxony	Bassa Sassònia
Luanda	Luanda
Luciano Pavarotti	Luciano Pavarotti
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lusaka	Lusaka
Luxembourg	Lussemborgh
Luxembourg (city)	Lussemborgh (sità)
Madagascar	Madagascar
Madrid	Madrid
Madrid (autonomous community)	Comunità ëd Madrid
Maine	Maine
Malabo	Malabo
Malaysia	Malaysia
Maldives	Maldive
Mali	Mali
Mali	Categorìa:Mali
Malta	Malta
Managua	Managua
Manama	Manama
Manila	Manila
Manitoba	Manitòba
Mantua	Màntoa
Maputo	Maputo
Marche	Marche
Maria Callas	Maria Callas
Marseille	Marsèja
Marshall Plan	Pian Marshall
Martin Heidegger	Martin Heidegger
Martin Scorsese	Martin Scorsese
Martinique	Martinica
Maryland	Maryland
Maseru	Maseru
Massachusetts	Massachusetts
Mathematics	Matemàtica
Mathematics	Categorìa:Matemàtica
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauritius	Mauritius
Mbabane	Mbabane
Meryl Streep	Meryl Streep
Messina	Messin-a
Mexico	Méssich
Mexico City	Sità dël Méssich
Michigan	Michigan
Miguel de Cervantes	Miguel de Cervantes
Milan	Milan
Minnesota	Minnesota
Minsk	Minsk
Missouri	Missouri
Mogadishu	Mogadiss
Moldova	Moldavia
Molise	Molise
Monaco	Prinsipà ëd Mònaco
Monday	Lùn-es
Mongolia	Mongòlia
Mongolia	Categorìa:Mongòlia
Monrovia	Monrovia
Montana	Montan-a
Montenegro	Montnèigr
Montevideo	Montevideo
Montserrat	Montserrat (Caràib)
Morocco	Maròch
Moscow	Mosca
Mount Everest	Everest
Mozambique	Mosambich
Muscat	Mascate
N'Djamena	N'Djamena
Nairobi	Nairòbi
Namibia	Namibia
Naples	Nàpoli
Nassau	Nassau
Nauru	Nauru
Nauru	Categorìa:Nauru
Nebraska	Nebraska
Nelson Mandela	Nelson Mandela
Nepal	Nepal
Netherlands	Pais Bass
Netherlands Antilles	Antile Olandèise
Nevada	Nevada
New Brunswick	New Brunswick
New Delhi	New Delhi
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	Neuv Méssich
New York	New York (stat federal)
New York City	New York
Newfoundland and Labrador	Teraneuva e Labrador
Niamey	Niamey
Nicaragua	Nicaragua
Nicaragua	Categorìa:Nicaragua
Nice	Nissa Marìtima
Nicolas Poussin	Nicolas Poussin
Nicosia	Nicosìa
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Nìger
Nigeria	Nigeria
Nobel Prize	Categorìa:Premi Nobel
North Carolina	Carolin-a dël Nòrd
North Dakota	Dakota dël Nòrd
North Korea	Coréa dël Nòrd
Northern Ireland	Irlanda dël Nòrd
Northern Ireland	Categorìa:Irlanda dël Nòrd
Northwest Territories	Teritòri dël Nòrd-Òvest
Norway	Norvegia
Nouakchott	Nouakchott
Nova Scotia	Neuva Scòssia
Novel	Romanz (literatura)
Nunavut	Nunavut
Oakland	Oakland
Oaxaca	Oaxaca
Ohio	Ohio
Oklahoma	Oklahoma
Olympic Games	Gieugh olìmpich modern
Oman	Oman
Ontario	Ontario
Oregon	Oregon
Oscar Wilde	Oscar Wilde
Oslo	Òslo
Ottawa	Ottawa
Pablo Neruda	Pablo Neruda
Padua	Pàdoa
Pakistan	Pakistan
Palau	Palau (repùblica)
Palau	Categorìa:Palau
Palermo	Palerm
Palestinian National Authority	Palestin-a (ANP)
Panama	Panamà
Panama	Categorìa:Panamà
Panama City	Sità ëd Panamà
Papua New Guinea	Papua Neuva Guinea
Papua New Guinea	Categorìa:Papua Neuva Guinea
Paraguay	Paraguay
Paraguay	Categorìa:Paraguay
Paramaribo	Paramaribo
Paris	Paris
Paris	Categorìa:Paris
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul Verlaine	Paul Verlaine
Pedunculate Oak	Quercus robur
Pennsylvania	Pennsylvania
People	Categorìa:Biografìe
People's Republic of China	Cin-a
Peru	Perù
Peru	Categorìa:Perù
Petrarch	Francesco Petrarca
Philadelphia	Filadelfia (Pennsylvania)
Philippines	Filipin-e
Philology	Filologìa
Phnom Penh	Phnom Penh
Physics	Fìsica
Piedmont	Piemont
Pierre de Fermat	Pierre de Fermat
Pisa	Pisa
Plato	Platon
Pleven	Pleven
Po River	Pò
Poland	Polònia
Poland	Categorìa:Polònia
Port Louis	Port Luis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portugal	Portugal
Portugal	Categorìa:Portugal
Postage stamp	Francobol
Potsdam	Potsdam
Prague	Praga
Praia	Praia
Prehistory	Preistòria
Pretoria	Pretoria
Prince Edward Island	Ìsola dël Prinsi Edoard
Pyongyang	Pyongyang
Pythagoras	Pitàgora
Qatar	Qatar
Quebec	Québec
Quito	Quito
Rabat	Rabat
Rabindranath Tagore	Rabindranath Tagore
Rain	Pieuva
Ravenna	Ravënna
Real number	Nùmer real
Religion	Religion
Republic of China	Taiwan
Republic of the Congo	Còngo
Rhode Island	Rhode Island
Richard Feynman	Richard Feynman
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (stat federal)
Riyadh	Riyadh
Roman Empire	Imperi Roman
Romania	Romanìa
Rome	Roma
Rome	Categorìa:Roma
Rosario	Rosario
Roseau	Roseau
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby
Russia	Federassion Russa
Russia	Categorìa:Federassion Russa
Rwanda	Ruanda
Saint Kitts and Nevis	Saint Kitts e Nevis
Saint Kitts and Nevis	Categorìa:Saint Kitts e Nevis
Saint Lucia	Santa Lussìa
Saint Lucia	Categorìa:Santa Lussìa
Saint Martin	San Martin (Antile)
Saint Petersburg	San Peroborgh
Saint Vincent and the Grenadines	San Vincens e Grenadin-e
Saint Vincent and the Grenadines	Categorìa:San Vincens e Grenadin-e
Salerno	Salern
Samoa	Samoa
Samoa	Categorìa:Samoa
San Marino	Repùblica ëd San Marin
San Marino	Sità ëd San Marin
San Salvador	San Salvador
Santiago	Santiago dël Cile
Santo Domingo	Santo Domingo
Sappho	Safo
Sarajevo	Sarajevo
Sardinia	Sardëgna
Saskatchewan	Saskatchewan
Saudi Arabia	Arabia Saodita
Saudi Arabia	Categorìa:Arabia Saodita
Saxony	Sassònia
Science	Siensa
Scotland	Scòssia
Scotland	Categorìa:Scòssia
Scots Pine	Pinus sylvestris
Senegal	Senegal
Seoul	Seoul
Serbia	Serbia
Serbia	Categorìa:Serbia
Set theory	Teorìa dj'ansem
Seychelles	Seychelles
Sicily	Sicilia
Sicily	Categorìa:Sicilia
Sierra Leone	Sierra Leone
Singapore	Singapor
Skopje	Skopje
Slovakia	Slovachia
Slovenia	Slovenia
Snow	Fiòca
Socrates	Sòcrate
Sofia	Sòfia
Solar System	Sistema solar
Solar System	Categorìa:Sistema solar
Somalia	Somalia
South America	Categorìa:América meridional
South Carolina	Carolin-a dël Sud
South Dakota	Dakota dël Sud
South Korea	Coréa dël Sud
Spain	Spagna
Sri Lanka	Sri Lanka
Stanley Kubrick	Stanley Kubrick
Statistics	Categorìa:Statìstica
Stockholm	Stocòlma
Stone Age	Età dla pera
Sucre	Sucre
Sudan	Sudan
Suriname	Suriname
Suriname	Categorìa:Suriname
Suva	Suva
Swaziland	Swaziland
Sweden	Svessia
Switzerland	Svìssera
Switzerland	Categorìa:Svìssera
Syracuse	Siracusa
Syria	Siria
Systematics	Sistemàtica
Taipei	Taipei
Tajikistan	Tagikistan
Tallinn	Tallin
Tanzania	Tanzanìa
Tashkent	Tashkent
Taxus baccata	Taxus baccata
Tbilisi	Tbilisi
Tegucigalpa	Tegucigalpa
Tehran	Teheran
Tennessee	Tenessì
Tenzing Norgay	Tenzing Norgay
Texas	Texas
Thailand	Thailandia
Thales	Talete
The Gambia	Gambia
The Hague	L'Aja
Thomas Mann	Thomas Mann
Thuringia	Turingia
Tirana	Tiran-a
Tocantins (state)	Tocantins
Togo	Tògo
Tokyo	Tokyo
Tonga	Tònga
Tonga	Categorìa:Tònga
Tony Blair	Tony Blair
Topeka	Topeka
Tour de France	Gir dla Fransa
Trento	Trent
Trinidad and Tobago	Trinidad e Tobago
Trinidad and Tobago	Categorìa:Trinidad e Tobago
Tripoli	Trìpoli
Tuesday	Màrtes
Tunis	Tùnis
Tunisia	Tunisìa
Turin	Turin
Turkmenistan	Turkmenistan
Tuscany	Toscan-a
Tuvalu	Tuvalu
Tuvalu	Categorìa:Tuvalu
Tycho Brahe	Tycho Brahe
UNESCO	UNESCO
Uganda	Uganda
Ukraine	Ucrain-a
Ukraine	Categorìa:Ucrain-a
Ulan Bator	Ulaanbaatar
Umbria	Umbria
United Arab Emirates	Emirà Àrabo Unì
United Kingdom	Regn Unì
United Kingdom	Categorìa:Regn Unì
United Nations	Organisassion dle Nassion Unìe
United Nations	Categorìa:Nassion Unìe
United States	Stat Unì d'América
University	Università
Uruguay	Uruguay
Uruguay	Categorìa:Uruguay
Utah	Utah
Uzbekistan	Uzbekistan
Uzbekistan	Categorìa:Uzbekistan
Vaduz	Vaduz
Valletta	La Valëtta
Vanuatu	Vanuatu
Vanuatu	Categorìa:Vanuatu
Varna	Varna
Vatican City	Sità dël Vatican
Veneto	Véneto
Venezuela	Venessuela
Venice	Venessia
Vermont	Vermont
Verona	Veron-a
Victor Hugo	Victor Hugo
Victoria	Victoria (Seychelles)
Vienna	Vien-a
Vientiane	Vientiane
Vietnam	Vietnam
Vietnam	Categorìa:Vietnam
Vilnius	Vilnius
Virginia	Virginia
Volgograd	Volgograd
Voltaire	Voltaire
Vulgar Latin	Latin volgar
Wales	Gàles
Wales	Categorìa:Gàles
Warsaw	Varsavia
Washington	Washington
Washington	Washington (stat federal)
Week	Sman-a
West Virginia	Virginia Ossidental
Wiesbaden	Wiesbaden
William Golding	William Golding
William Shakespeare	William Shakespeare
Windhoek	Windhoek
Wine	Vin
Winston Churchill	Winston Churchill
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wyoming	Wyoming
Yemen	Yemen
Yerevan	Erevan
Yukon	Yukon
Zagreb	Zagabria
Zambia	Zambia
Zaragoza	Saragòssa
Zimbabwe	Zimbabwe
