Lithuanian	English
Feng Shui	Feng shui
Fenris	Fenrir
Imperatorius Ferdinandas II	Ferdinand II
Ferdinandas Magelanas	Ferdinand Magellan
Fermentacija	Fermentation (biochemistry)
Fermentacija	Fermentation (food)
Fermionas	Fermion
Fermis	Fermium
Papartūnai	Fern
Ferara	Ferrara
Keltas	Ferry
Apvaisinimas	Fertilisation
Žmogaus vaisius	Fetus
Feodalizmas	Feudalism
Fibonačio skaičius	Fibonacci number
Fidelis Kastro	Fidel Castro
Naikintuvas	Fighter aircraft
Dailusis čiuožimas	Figure skating
Fidžis	Fiji
Kategorija:Fidžis	Fiji
FAT	File Allocation Table
FTP	File Transfer Protocol
Failų sistema	File system
Filipas Bruneleskis	Filippo Brunelleschi
Kategorija:Kinas	Film
Filmas	Film
Režisierius	Film director
Finvalas	Fin Whale
Kategorija:Finansai	Finance
Pirštai	Finger
Suomija	Finland
Kategorija:Suomija	Finland
Kėnis	Fir
Ugnis	Fire
Konstantinopolio I susirinkimas	First Council of Constantinople
I Nikėjos susirinkimas	First Council of Nicaea
Pirmoji pagalba	First aid
Gimtoji kalba	First language
Žuvys	Fish
Fjordas	Fjord
Vėliava	Flag
Žiuželis	Flagellum
Flamingai	Flamingo
Bezdalai	Flatulence
Plokščiosios kirmėlės	Flatworm
Blusos	Flea
Flamandų kalba	Flemish (linguistics)
Titnagas	Flint
Florencija	Florence
Florida	Florida
Miltai	Flour
Žiedas	Flower
Magnolijūnai	Flowering plant
Fluoritas	Fluorite
Fleita	Flute
Dvisparniai	Fly
Rūkas	Fog
Folio rūgštis	Folic acid
Folkloras	Folklore
Maistas	Food
Maisto priedas	Food additive
Jungtinių Tautų maisto ir žemės ūkio organizacija	Food and Agriculture Organization
Mitybos grandinė	Food chain
Pėda	Foot
Pėda (matavimo vienetas)	Foot (unit of length)
Futbolas	Football (soccer)
Kategorija:Futbolas	Football (soccer)
Kategorija:Futbolo klubai	Football (soccer) clubs
Kategorija:Futbolo treneriai	Football (soccer) managers
Kategorija:Futbolininkai	Football (soccer) players
Jėga	Force
Miškas	Forest
Šakutė (stalo įrankis)	Fork
Valdymo forma	Form of government
Formaldehidas	Formaldehyde
Krosnis (astronomija)	Fornax
Fortvortas	Fort Worth
Fortran	Fortran
Fosilija	Fossil
Furjė eilutė	Fourier series
Fraktalas	Fractal
Prancūzija	France
Kategorija:Prancūzija	France
Francis Bacon	Francis Bacon
Francis Harry Compton Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Šv. Pranciškus Asyžietis	Francis of Assisi
Pranciškonai	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francis	Francium
Prancūzijos-Prūsijos karas	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurtas prie Maino	Frankfurt
Kategorija:Frankfurtas prie Maino	Frankfurt
Frankfurtas prie Oderio	Frankfurt (Oder)
Frankfurtas	Frankfurt (disambiguation)
Franz Kafka	Franz Kafka
Ferencas Listas	Franz Liszt
Franz Schubert	Franz Schubert
Frydrichas I Barbarosa	Frederick I
Frydrichas II	Frederick II
Frederiktonas	Fredericton
Fristeitas	Free State
Laisva valia	Free will
Laisvė	Freedom (philosophy)
Masonai	Freemasonry
Fritaunas	Freetown
Nemokama programinė įranga	Freeware
Prancūzijos Polinezija	French Polynesia
Kategorija:Prancūzijos Polinezija	French Polynesia
Didžioji Prancūzų revoliucija	French Revolution
Kategorija:Prancūzijos asmenybės	French people
Dažnis	Frequency
Fresnas	Fresno
Frėja	Freyja
Freiras	Freyr
Trinties jėga	Friction
Penktadienis	Friday
Friedrich Engels	Friedrich Engels
Fryzija	Friesland
Frigė	Frigg
Friulis-Venecija Džulija	Friuli-Venezia Giulia
Beuodegiai varliagyviai	Frog
Fruktozė	Fructose
Vaisius	Fruit
Fukingas	Fucking
Fuga	Fugue
Fukuoka	Fukuoka
Pilnatis	Full moon
Funafutis	Funafuti
Funkcija (matematika)	Function (mathematics)
Kategorija:Kategorijos	Fundamental
Fundamentalioji sąveika	Fundamental interaction
Fundamentalizmas	Fundamentalism
Grybai	Fungus
Keltuvas	Funicular
Futurizmas	Futurism (art)
Fiodoras Dostojevskis	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabonas	Gabon
Kategorija:Gabonas	Gabon
Gaboronas	Gaborone
Arkangelas Gabrielius	Gabriel
Gadolinis	Gadolinium
Gaetanas Donicetis	Gaetano Donizetti
Gaja	Gaia (mythology)
Galatija	Galatia
Galaktika	Galaxy
Galenitas	Galena
Galicija	Galicia (Central Europe)
Galisija	Galicia (Spain)
Galileo (erdvėlaivis)	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Tulžies pūslė	Gallbladder
Galera	Galley
Vištiniai paukščiai	Galliformes
Kategorija:Vištiniai paukščiai	Galliformes
Galis	Gallium
Golvėjus	Galway
Azartinis žaidimas	Gambling
Žaidimas	Game
Žaidimų teorija	Game theory
Gama (raidė)	Gamma
Gama spinduliai	Gamma ray
Ganeša	Ganesha
Gangas	Ganges
Gendžė	Ganja
Gansu	Gansu
Ganimedas	Ganymede
Ganimedas (palydovas)	Ganymede (moon)
Sodas	Garden
Edenas	Garden of Eden
Valgomasis česnakas	Garlic
Granatas	Garnet
Garona	Garonne
Dujos	Gas
Dujų konstanta	Gas constant
Planetos milžinės	Gas giant
Benzinas	Gasoline
Pilvakojai	Gastropoda
Galija	Gaul
Sidharta Gautama	Gautama Buddha
Gazos Ruožas	Gaza Strip
Krumpliaratis	Gear
Gebas	Geb
Geiša	Geisha
Dvyniai (astronomija)	Gemini (constellation)
Brangakmenis	Gemstone
Genas	Gene
Kategorija:Genealogija	Genealogy
Generolas	General Officer
Bendroji reliatyvumo teorija	General relativity
Pradžios knyga	Genesis
Genetinis kodas	Genetic code
Genetika	Genetics
Kategorija:Genetika	Genetics
Ženeva	Geneva
Genuja	Genoa
Genocidas	Genocide
Kategorija:Genocidas	Genocide
Genomas	Genome
Gentis	Genus
Geochemija	Geochemistry
Kategorija:Geodezija	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografija	Geography
Kategorija:Geografija	Geography
Kategorija:Geologija	Geology
Geologija	Geology
Geometrinė progresija	Geometric progression
Geometrija	Geometry
Kategorija:Geometrija	Geometry
Geomorfologija	Geomorphology
Geofizika	Geophysics
Geopolitika	Geopolitics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
Džordžas Bušas	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Orwell	George Orwell
Žorž Sand	George Sand
George Stephenson	George Stephenson
George Walker Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Džordžtaunas	Georgetown
Džordžija	Georgia (U.S. state)
Gruzija	Georgia (country)
Kategorija:Gruzija	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Vokiečių aviganis	German Shepherd Dog
Vokiečių kalba	German language
Germanis	Germanium
Vokietija	Germany
Kategorija:Vokietija	Germany
Geronimo	Geronimo
Gestapas	Gestapo
Geizeris	Geyser
Gana	Ghana
Kategorija:Gana	Ghana
Gentas	Ghent
Getas	Ghetto
Vaiduoklis	Ghost
Giacomo Puccini	Giacomo Puccini
Didžioji panda	Giant Panda
Gibonai	Gibbon
Gibraltaras	Gibraltar
Gilgamešas	Gilgamesh
Tikrasis imbieras	Ginger
Dviskiautis ginkmedis	Ginkgo
Giotto	Giotto di Bondone
Džiovanis Bokačas	Giovanni Boccaccio
Žirafa	Giraffe
Žirafiniai	Giraffidae
Džirolamas Savonarola	Girolamo Savonarola
Žironda (departamentas)	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Džiuzepė Verdis	Giuseppe Verdi
Giza	Giza
Ledynas	Glacier
Gladiatorius	Gladiator
Liauka	Gland
Glazgas	Glasgow
Stiklas	Glass
Akiniai	Glasses
GPS	Global Positioning System
Visuotinis atšilimas	Global warming
Globalizacija	Globalization
Tikrasis artišokas	Globe artichoke
Gliukagonas	Glucagon
Gliukozė	Glucose
Gliuonas	Gluon
Glutamo rūgštis	Glutamic acid
Glicerolis	Glycerol
Glicinas	Glycine
Glikogenas	Glycogen
Glikolizė	Glycolysis
Gneisas	Gneiss
Go	Go (board game)
Goa	Goa
Vartininkas	Goalkeeper
Gobio dykuma	Gobi Desert
Dievas	God
Auksas	Gold
Kilnusis erelis	Golden Eagle
Aukso vartų tiltas	Golden Gate Bridge
Aukso orda	Golden Horde
Auksaspalvis retriveris	Golden Retriever
Golfas	Golf
Goldžio kompleksas	Golgi apparatus
Gomelis	Gomel
Google	Google
Kategorija:Google	Google
Gugolas	Googol
Gorgonės	Gorgon
Gorilos	Gorilla
Vištvanagis	Goshawk
Geteborgas	Gothenburg
Gotika	Gothic architecture
Gottlieb Daimler	Gottlieb Daimler
Vyriausybė	Government
Gradientas	Gradient
Gramas	Gram
Gramatika	Grammar
Granada	Granada
Didysis kanjonas	Grand Canyon
Didmeistris	Grandmaster (chess)
Granitas	Granite
Greipfrutas	Grapefruit
Kategorija:Grafinis dizainas	Graphic design
Grafinis dizainas	Graphic design
Grafitas	Graphite
Gravitacija	Gravitation
Gravitacijos konstanta	Gravitational constant
Gravitonas	Graviton
Pilkasis vilkas	Gray Wolf
Gracas	Graz
Didysis barjerinis rifas	Great Barrier Reef
Didžioji Britanija	Great Britain
Ausuotasis kragas	Great Crested Grebe
Didžioji ekonominė krizė	Great Depression
Didieji ežerai	Great Lakes
Didysis riftinis slėnis	Great Rift Valley
Didžioji kinų siena	Great Wall of China
Didieji Antilai	Greater Antilles
Didysis Londonas (regionas)	Greater London
Kraginiai	Grebe
Graikija	Greece
Kategorija:Graikija	Greece
Graikų raštas	Greek alphabet
Graikiška ugnis	Greek fire
Graikų mitologija	Greek mythology
Kategorija:Graikų mitologija	Greek mythology
Žalia	Green
Šiltnamio efektas	Greenhouse effect
Šiltnamio dujos	Greenhouse gas
Grenlandija	Greenland
Kategorija:Grenlandija	Greenland
Grenlandijos jūra	Greenland Sea
Greenpeace	Greenpeace
Grinvičo laikas	Greenwich Mean Time
Gregoras Mendelis	Gregor Mendel
Grigaliaus kalendorius	Gregorian calendar
Grenoblis	Grenoble
Greta Garbo	Greta Garbo
Pilka	Grey
Pilkoji žąsis	Greylag Goose
Grifas (mitologija)	Griffin
Palšasis grifas	Griffon Vulture
Bendrasis vidaus produktas	Gross domestic product
Grupė	Group
Grupė (algebra)	Group (mathematics)
Groznas	Grozny
Gerviniai paukščiai	Gruiformes
Gervė (astronomija)	Grus (constellation)
Gvadelupa	Guadeloupe
Guamas	Guam
Guangdongas	Guangdong
Guangdžou	Guangzhou
Guaninas	Guanine
Guanas	Guano
Kategorija:Gvatemala	Guatemala
Gvatemala (miestas)	Guatemala City
Gvajakilis	Guayaquil
Guglielmo Marconi	Guglielmo Marconi
Gvinėja	Guinea
Kategorija:Gvinėja	Guinea
Jūrų kiaulytė	Guinea pig
Bisau Gvinėja	Guinea-Bissau
Kategorija:Bisau Gvinėja	Guinea-Bissau
Gitara	Guitar
Gudžaratas	Gujarat
Gulagas	Gulag
Golfo srovė	Gulf Stream
Adeno įlanka	Gulf of Aden
Akabos įlanka	Gulf of Aqaba
Botnijos įlanka	Gulf of Bothnia
Suomių įlanka	Gulf of Finland
Gvinėjos įlanka	Gulf of Guinea
Meksikos įlanka	Gulf of Mexico
Omano įlanka	Gulf of Oman
Rygos įlanka	Gulf of Riga
Siamo įlanka	Gulf of Thailand
Kiriniai	Gull
Gustav Mahler	Gustav Mahler
Guy de Maupassant	Guy de Maupassant
Kategorija:Gajana	Guyana
Ginekologija	Gynaecology
Gipsas	Gypsum
Giroskopas	Gyroscope
H	H
HTML	HTML
Buveinė	Habitat
Hakeris	Hacker
Hadėjus	Hadean
Hadas	Hades
Publijus Elijus Trajanas Adrianas	Hadrian
Adriano siena	Hadrian's Wall
Hadronas	Hadron
Hemofilija	Haemophilia
Hafnis	Hafnium
Sofijos soboras	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Sveika, Marija	Hail Mary
Plaukas	Hair
Haitis	Haiti
Kategorija:Haitis	Haiti
Hadžas	Hajj
Halal	Halal
Alebarda	Halberd
Pusėjimo trukmė	Half-life
Halė	Halle
Helovinas	Halloween
Haliucinacija	Hallucination
Halogenas	Halogen
Hamas	Hamas
Hamburgas	Hamburg
Kategorija:Hamburgas	Hamburg
Hamletas	Hamlet
Plaktukas	Hammer
Hamurapis	Hammurabi
Han dinastija	Han Dynasty
Granata	Hand grenade
Pistoletas	Handgun
Korimas	Hanging
Kabantieji Babilono sodai	Hanging Gardens of Babylon
Hanibalas	Hannibal
Hanojus	Hanoi
Hanoveris	Hanover
Hans Christian Andersen	Hans Christian Andersen
Hanzos sąjunga	Hanseatic League
Hanumanas	Hanuman
Laimė	Happiness
Hararė	Harare
Kietis (medžiaga)	Hardness
Haremas	Harem
Harlemas (Niujorkas)	Harlem
Arfa	Harp
Klavesinas	Harpsichord
Harpijos (mitologija)	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harry Houdini	Harry Houdini
Hasis	Hassium
Neapykanta	Hatred
Aukštutinė Normandija	Haute-Normandie
Havana	Havana
Havajai	Hawaii
Kategorija:Havajai	Hawaii
Lazdynas	Hazel
Sveikata	Health
Širdis	Heart
Šiluma	Heat
Šiluminis variklis	Heat engine
Rojus	Heaven
Heavy metal	Heavy metal music
Hebė	Hebe (mythology)
Hebei	Hebei
Hebridai	Hebrides
Hekatė	Hecate
Hektaras	Hectare
Hektoras	Hector
Hector Berlioz	Hector Berlioz
Hedonizmas	Hedonism
Heimdalas	Heimdall
Heinrichas Rudolfas Hercas	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Helė	Hel (being)
Helenė	Helen
Helena (Montana)	Helena
Sraigtasparnis	Helicopter
Helijas	Helios
Helis	Helium
Pragaras	Hell
Helmut Schmidt	Helmut Schmidt
Helsinkis	Helsinki
Hematitas	Hematite
Hematologija	Hematology
Hemoglobinas	Hemoglobin
Hemorojus	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henrik Ibsen	Henrik Ibsen
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Virusinis hepatitas	Hepatitis
Hefaistas	Hephaestus
Hera	Hera
Heraklis	Heracles
Heraldika	Heraldry
Kategorija:Heraldika	Heraldry
Heratas	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Heraklis	Hercules
Heraklis (astronomija)	Hercules (constellation)
Erezija	Heresy
Hermanas Minkovskis	Hermann Minkowski
Hermafroditas	Hermaphrodite
Hermeneutika	Hermeneutics
Hermis	Hermes
Erodas I Didysis	Herod the Great
Herodotas	Herodotus
Heroinas	Heroin
Garniniai	Heron
Sidabrinis kiras	Herring Gull
Hercas	Hertz
Hesiodas	Hesiod
Hesperidės	Hesperides
Hesenas	Hesse
Kategorija:Hesenas	Hesse
Hestija	Hestia
Heterotrofai	Heterotroph
Šešiakampis	Hexagon
Hezbollah	Hezbollah
Ramybės būklė	Hibernation
Himalajai	Himalayas
Induizmas	Hinduism
Hiparchas (astronomas)	Hipparchus
Hipis	Hippie
Hipokratas	Hippocrates
Didysis hipopotamas	Hippopotamus
Imperatorius Šiova	Hirohito
Hirosima	Hiroshima
Haitis (sala)	Hispaniola
Histidinas	Histidine
Histologija	Histology
Kategorija:Histologija	Histology
Histonas	Histone
Istoriografija	Historiography
Istorija	History
Kategorija:Istorija	History
Wikipedia:Istorija	History
Ho Ši Minas	Ho Chi Minh
Hošiminas	Ho Chi Minh City
Hobartas	Hobart
Hobitai	Hobbit
Hobis	Hobby
Katsushika Hokusai	Hokusai
Šventė	Holiday
Holivudas	Hollywood
Holmis	Holmium
Holocenas	Holocene
Šventasis Gralis	Holy Grail
Šventoji Romos Imperija	Holy Roman Empire
Šventoji Dvasia	Holy Spirit
Homeopatija	Homeopathy
Savireguliacija	Homeostasis
Homeras	Homer
Hominidai	Hominidae
Žmonės	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonimai	Homonym
Homofobija	Homophobia
Homoseksualumas	Homosexuality
Hondūras	Honduras
Medus	Honey
Vapsvaėdis	Honey Buzzard
Honkongas	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Huko dėsnis	Hooke's law
Kukutis	Hoopoe
Horacijus	Horace
Horizontas	Horizon
Hormonas	Hormone
Ragas	Horn (anatomy)
Valtorna	Horn (instrument)
Horoskopas	Horoscope
Arklys	Horse
Arklio galia	Horsepower
Horas	Horus
Hosnis Mubarakas	Hosni Mubarak
Ligoninė	Hospital
Viešbutis	Hotel
Valanda	Hour
Smėlio laikrodis	Hourglass
Namas	House
Naminė pelė	House Mouse
Žvirblis	House Sparrow
Hiustonas	Houston
Hablo dėsnis	Hubble's law
Hadsono įlanka	Hudson Bay
Hadsonas	Hudson River
Hugenotai	Huguenot
Žmogus	Human
Humanizmas	Humanism
Kategorija:Humanitariniai mokslai	Humanities
Žastikaulis	Humerus
Kolibriniai	Hummingbird
Kategorija:Humoras	Humor
Humoras	Humour
Kuprotasis banginis	Humpback Whale
Humusas	Humus
Hunanas	Hunan
Šimtametis karas	Hundred Years' War
Vengrija	Hungary
Kategorija:Vengrija	Hungary
Alkis	Hunger
Medžioklė	Hunting
Haidarabadas (Indija)	Hyderabad
Hidra (astronomija)	Hydra (constellation)
Angliavandenilis	Hydrocarbon
Druskos rūgštis	Hydrochloric acid
Hidroelektrinė	Hydroelectricity
Vandenilis	Hydrogen
Ciano vandenilis	Hydrogen cyanide
Vandenilio peroksidas	Hydrogen peroxide
Hidrologija	Hydrology
Kategorija:Hidrologija	Hydrology
Hidrolizė	Hydrolysis
Hidrosfera	Hydrosphere
Hidroksidas	Hydroxide
Pietų Hidra	Hydrus
Hieniniai	Hyena
Kategorija:Higiena	Hygiene
Mergystės plėvė	Hymen
Kategorija:Plėviasparniai	Hymenoptera
Plėviasparniai	Hymenoptera
Hiperbolė (menas)	Hyperbole
Hiperionas (palydovas)	Hyperion (moon)
Hiperionas	Hyperion (mythology)
Hipertekstas	Hypertext
HTTP	Hypertext Transfer Protocol
Hipnas	Hypnos
Hipnozė	Hypnosis
Hipotezė	Hypothesis
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Japetas (palydovas)	Iapetus (moon)
Japetas	Iapetus (mythology)
Pirėnų pusiasalis	Iberian Peninsula
Ibuprofenas	Ibuprofen
Ledas	Ice
Ledynmetis	Ice age
Ledai	Ice cream
Ledo ritulys	Ice hockey
Kategorija:Ledo ritulys	Ice hockey
Ledkalnis	Iceberg
Islandija	Iceland
Kategorija:Islandija	Iceland
Ichtiologija	Ichthyology
Ikona (religija)	Icon
Aidahas	Idaho
Idealiosios dujos	Ideal gas
Ideologija	Ideology
Ido	Ido
Ignacas Lojola	Ignatius of Loyola
Igoris Stravinskis	Igor Stravinsky
Igvasu krioklys	Iguazu Falls
Iliada	Iliad
Ilinojus	Illinois
Skaitytuvas	Image scanner
Imamas	Imam
Immanuel Kant	Immanuel Kant
Imuninė sistema	Immune system
Imunologija	Immunology
Kategorija:Imunologija	Immunology
Imperializmas	Imperialism
Impresionizmas	Impressionism
Kraujomaiša	Incest
Inčonas	Incheon
Nuožulnioji plokštuma	Inclined plane
Nepriklausomybė	Independence
Indija	India
Kategorija:Indija	India
Indijos vandenynas	Indian Ocean
Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indis	Indium
Indonezija	Indonesia
Kategorija:Indonezija	Indonesia
Indra	Indra
Indukcija (metodas)	Inductive reasoning
Indulgencija	Indulgence
Indėnas (astronomija)	Indus (constellation)
Indas (upė)	Indus River
Pramoninė revoliucija	Industrial Revolution
Pramonė	Industry
Kategorija:Pramonė	Industry
Pėstininkas	Infantry
Infekcinė liga	Infectious disease
Bendratis	Infinitive
Begalybė	Infinity
Uždegimas	Inflammation
Infliacija	Inflation
Gripas	Influenza
Informacija	Information
Infraraudonieji spinduliai	Infrared
Infrastruktūra	Infrastructure
Ingmar Bergman	Ingmar Bergman
Vidinė Mongolija	Inner Mongolia
Naujadara	Innovation
Insbrukas	Innsbruck
Neorganinė chemija	Inorganic chemistry
Inkvizicija	Inquisition
Vabzdžiai	Insect
Insekticidas	Insecticide
Vabzdžiaėdžiai	Insectivora
Institucija	Institution
Insulinas	Insulin
Draudimas	Insurance
Sveikasis skaičius	Integer
Apibrėžtinis integralas	Integral
Integrinis grandynas	Integrated circuit
Intelektinė nuosavybė	Intellectual property
Intelektas	Intelligence
Intelekto koeficientas	Intelligence quotient
Palūkanos	Interest
Interferencija	Interference
Jaustukas	Interjection
Interlingua	Interlingua
Tarptautinė atominės energijos agentūra	International Atomic Energy Agency
Tarptautinė Civilinės Aviacijos Organizacija	International Civil Aviation Organization
Tarptautinis Teisingumo Teismas	International Court of Justice
Datos keitimosi linija	International Date Line
Tarptautinis valiutos fondas	International Monetary Fund
SI	International System of Units
Kategorija:Tarptautinė teisė	International law
Tarptautinė organizacija	International organization
Internetas	Internet
Kategorija:Internetas	Internet
Internet Explorer	Internet Explorer
Koncentracijos stovykla	Internment
Interpretatorius	Interpreter (computing)
Žarnynas	Intestine
Išradimas	Invention
Bestuburiai	Invertebrate
Ijo (palydovas)	Io (moon)
Ijo	Io (mythology)
Jodas	Iodine
Jonas (dalelė)	Ion
Jonijos jūra	Ionian Sea
Jonosfera	Ionosphere
Jota (raidė)	Iota
Ajova	Iowa
Iranas	Iran
Kategorija:Iranas	Iran
Irakas	Iraq
Kategorija:Irakas	Iraq
Airijos sala	Ireland
Irenėjus	Irenaeus
Iridis	Iridium
Rainelė	Iris (anatomy)
Iridė	Iris (mythology)
Airijos jūra	Irish Sea
Geležis	Iron
Geležies amžius	Iron Age
Geležinė uždanga	Iron Curtain
Iron Maiden	Iron Maiden
Ironija	Irony
Iracionalusis skaičius	Irrational number
Irtyšius	Irtysh River
Izaokas	Isaac
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Izidė	Isis
Islamas	Islam
Kategorija:Islamas	Islam
Islamabadas	Islamabad
Musulmonų kalendorius	Islamic calendar
Sala	Island
Meno Sala	Isle of Man
Vaito sala	Isle of Wight
Izotopas	Isotope
Izraelis	Israel
Kategorija:Izraelis	Israel
Stambulas	Istanbul
Panamos sąsmauka	Isthmus of Panama
Apeninų pusiasalis	Italian Peninsula
Italija	Italy
Kategorija:Italija	Italy
Itakė	Ithaca
Ivanas Pavlovas	Ivan Pavlov
Dramblio kaulas	Ivory
J	J
Jerome David Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jack London	Jack London
Kuosa	Jackdaw
Jackson Pollock	Jackson Pollock
Džeksonvilis	Jacksonville
Jokūbas	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jaguaras	Jaguar
Džainizmas	Jainism
Džakarta	Jakarta
Džalalabadas	Jalalabad
Jamaika	Jamaica
Kategorija:Jamaika	Jamaica
Apaštalas Jokūbas vyresnysis	James
Džeimsas Bondas	James Bond
James Clark Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Džamu ir Kašmyras	Jammu and Kashmir
Janas Husas	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janyčarai	Janissary
Sausis	January
Sausio 1	January 1
Sausio 19	January 19
Sausio 20	January 20
Sausio 6	January 6
Janas (palydovas)	Janus (moon)
Janas	Janus (mythology)
Japonija	Japan
Kategorija:Japonija	Japan
Jasonas	Jason
Gelta	Jaundice
Java (sala)	Java
Java	Java (disambiguation)
Java (kalba)	Java (programming language)
Džiazas	Jazz
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Džida	Jeddah
Jehovos liudytojai	Jehovah's Witnesses
Scifomedūzos	Jellyfish
Cheres de la Frontera	Jerez de la Frontera
Jerichas	Jericho
Šv. Jeronimas	Jerome
Jeruzalė	Jerusalem
Jėzus Kristus	Jesus
Žydai	Jew
Džihadas	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Žana d'Ark	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johanesburgas	Johannesburg
John Adams	John Adams
Jonas Kalvinas	John Calvin
John Dalton	John Dalton
Džonas Diujis	John Dewey
John Winston Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
Džonas Neperis	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Wycliff	John Wycliffe
Jonas Krikštytojas	John the Baptist
John von Neumann	John von Neumann
Sąnarys	Joint
Jonathan Swift	Jonathan Swift
Jordanija	Jordan
Kategorija:Jordanija	Jordan
Jordanas	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Franz Joseph Haydn	Joseph Haydn
Joseph Priestley	Joseph Priestley
Jozefas Pulitzeris	Joseph Pulitzer
Josifas Stalinas	Joseph Stalin
Džaulis	Joule
Kategorija:Žurnalistika	Journalism
Žurnalistika	Journalism
Žurnalistas	Journalist
Judaizmas	Judaism
Kategorija:Judaizmas	Judaism
Judas Iskariotas	Judas Iscariot
Dziudo	Judo
Džiudžitsu	Jujutsu
Jules Verne	Jules Verne
Julijaus kalendorius	Julian calendar
Gajus Julijus Cezaris	Julius Caesar
Liepa	July
Liepos 1	July 1
Liepos 4	July 4
Birželis	June
Birželio 14	June 14
Birželio 21	June 21
Birželio 23	June 23
Birželio 24	June 24
Birželio 29	June 29
Birželio 3	June 3
Džunas	Juneau
Kadagys	Juniper
Junona	Juno (mythology)
Jupiteris (planeta)	Jupiter
Kategorija:Jupiteris	Jupiter
Jupiteris (mitologija)	Jupiter (mythology)
Jura	Jurassic
Justinianas I	Justinian I
Jutlandijos pusiasalis	Jutland
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabala	Kabbalah
Kabulas	Kabul
Kalaharis	Kalahari Desert
Kamikadzė	Kamikaze
Kampala	Kampala
Kandaharas	Kandahar
Kanzasas	Kansas
Kapa (raidė)	Kappa
Karos jūra	Kara Sea
Karačis	Karachi
Karatė	Karate
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karma	Karma
Karnataka	Karnataka
Katmandu	Kathmandu
Katovicai	Katowice
Kaunas	Kaunas
Kazachija	Kazakhstan
Kategorija:Kazachija	Kazakhstan
Kazanė	Kazan
Kazimir Malevič	Kazimir Malevich
Kelvinas	Kelvin
Kentukis	Kentucky
Kenija	Kenya
Kategorija:Kenija	Kenya
Branduolys (OS)	Kernel (computer science)
Ketonai	Ketone
Klaviatūra	Keyboard (computing)
Chabarovskas	Khabarovsk
Charkovas	Kharkiv
Chartumas	Khartoum
Raudonieji khmerai	Khmer Rouge
Cheopsas	Khufu
Kibucas	Kibbutz
