Breton	English
Acre (stad)	Acre (state)
Akropolis	Acropolis
Ad hominem	Ad hominem
Adam Smith	Adam Smith
Addis Abeba	Addis Ababa
Adige	Adige
Anv-gwan	Adjective
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Mor Adria	Adriatic Sea
Adverb	Adverb
Bruderezh	Advertising
Mor Egea	Aegean Sea
Aiolos (doue)	Aeolus
Aesc'hulos	Aeschylus
Aisopos	Aesop
Kenger	Affix
Afghanistan	Afghanistan
Rummad:Afghanistan	Afghanistan
Afrika	Africa
Rummad:Afrika	Africa
Afrikaneg	Afrikaans
Agamemnon	Agamemnon
Agora	Agora
Gounezerezh	Agriculture
Rummad:Gounezerezh	Agriculture
Agrigento	Agrigento
Ain (departamant)	Ain
Aias	Ajax
Aias Telamonios	Ajax (mythology)
Ac'henaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Alabama (stad)	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Rummad:Albania	Albania
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Gwern (gwez)	Alder
Aleppo	Aleppo
Alexander Graham Bell	Alexander Graham Bell
Alexander Sergeyevich Pouchkin	Alexander Pushkin
Aleksandr Veur	Alexander the Great
Aleksandria (Egipt)	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Aljeria	Algeria
Rummad:Aljeria	Algeria
Allah	Allah
Alofonenn	Allophone
Alpha (lizherenn)	Alpha (letter)
Lizherenneg	Alphabet
Alpoù	Alps
Elzas	Alsace
Aluminiom	Aluminium
Alvar Aalto	Alvar Aalto
Amazon	Amazon River
Ambroaz a vMilano	Ambrose
Brezel dieubidigezh ar Stadoù Unanet	American Revolutionary War
Samoa Amerikan	American Samoa
Amhareg	Amharic
Amper	Ampere
Amfiteatr	Amphitheatre
Añforenn	Amphora
Amsterdam	Amsterdam
Anagramm	Anagram
Revrfouzherezh	Anal sex
Rummad:Anarkouriezh	Anarchism
Andoù	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Rummad:Andorra	Andorra
Andromeda	Andromeda (mythology)
Andy Warhol	Andy Warhol
Ael	Angel
Angola	Angola
Rummad:Angola	Angola
Loen	Animal
Ankara	Ankara
Merien	Ant
Antakya	Antakya
Antalya	Antalya
Antarktika	Antarctica
Serk	Anthrax
Antropologiezh	Anthropology
Antigua ha Barbuda	Antigua and Barbuda
Roll an enep-pibien	Antipope
Enepyuzevegezh	Antisemitism
Anton Bruckner	Anton Bruckner
Anton Tchec'hov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antwerpen	Antwerp
Antwerpen (proviñs)	Antwerp (province)
Anubis	Anubis
Fraezh	Anus
Apacheed	Apache
Pennlavar	Aphorism
Afrodite	Aphrodite
Apollo	Apollo (disambiguation)
Ebrel	April
14 Ebrel	April 14
Puglia	Apulia
Lizherenneg arabek	Arabic alphabet
Arkeologiezh	Archaeology
Arkaeopteryks	Archaeopteryx
Arkean	Archean
Arc'himedes	Archimedes
Enezeg	Archipelago
Arkitektouriezh	Architecture
Diell	Archive
Kelc'h Arktika	Arctic Circle
Meurvor skornek Arktika	Arctic Ocean
Ardenne	Ardennes
Ardennes (departamant)	Ardennes (department)
Ares	Ares
Arc'hantina	Argentina
Rummad:Arc'hantina	Argentina
Ariadne	Ariadne
Aristofanes	Aristophanes
Aristoteles	Aristotle
Aritmetik	Arithmetic
Arizona	Arizona
Arkansas	Arkansas
Arle	Arles
Armenia	Armenia
Rummad:Armenia	Armenia
Arminius	Arminius
Arno	Arno River
Arz	Art
Artemis	Artemis
Huelenn-c'hwerv	Artemisia absinthium
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Rimbaud	Arthur Rimbaud
Rummad:Arz	Arts
Aruba	Aruba
Asklepios	Asclepius
Amrevelezh	Asexuality
Azia	Asia
Rummad:Azia	Asia
Asmara	Asmara
Unanenn astronomek	Astronomical unit
Steredoniezh	Astronomy
Rummad:Astronomiezh	Astronomy
Athena	Athena
Aten	Athens
Meurvor Atlantel	Atlantic Ocean
Rummad:Meurvor Atlantel	Atlantic Ocean
Atlas (loarenn)	Atlas (moon)
Atlas (mitologiezh)	Atlas (mythology)
Atmosfer (planedennoù)	Atmosphere
Atom	Atom
Mas atomek	Atomic mass
Unanenn tolz atomek	Atomic mass unit
Niver atomek	Atomic number
Atreüs	Atreus
Attika	Attica
Eost	August
1añ Eost	August 1
15 Eost	August 15
6 Eost	August 6
August Strindberg	August Strindberg
Auguste Comte	Auguste Comte
Aogustin Hippo	Augustine of Hippo
Aogust (impalaer)	Augustus
Aostralia	Australia
Rummad:Aostralia	Australia
Aostria	Austria
Rummad:Aostria	Austria
Aostria-Hungaria	Austria-Hungary
Emvuhezskrid	Autobiography
Avisenna	Avicenna
Azerbaidjan	Azerbaijan
Rummad:Azerbaidjan	Azerbaijan
B (lizherenn)	B
Babilonia	Babylonia
Bakteri	Bacteria
Baghdad	Baghdad
Bahrein	Bahrain
Kalifornia-Izel	Baja California
Bakou	Baku
Balkanioù	Balkans
Barrez	Ballet
Rummad:Barrez	Ballet
Mor Baltel	Baltic Sea
Baltimore (Maryland)	Baltimore
Republik ar Bananez	Banana republic
Bangalore	Bangalore
Bangladesh	Bangladesh
Rummad:Bangladesh	Bangladesh
Bangui	Bangui
Barbared	Barbarian
Barcelona	Barcelona
Bari	Bari
Heiz	Barley
Gwennili	Barn Swallow
Basel	Basel
Basilicata	Basilicata
Gitar-boud	Bass guitar
Normandi-Izel	Basse-Normandie
Bath	Bath
Emgann Marathon	Battle of Marathon
Emgann Midway	Battle of Midway
Emgann ar Somme	Battle of the Somme
Bauhaus	Bauhaus
Bavaria	Bavaria
Baiona	Bayonne
Gwele	Bed
Bier	Beer
C'hwil	Beetle
Beijing	Beijing
Beirout	Beirut
Belarus	Belarus
Béal Feirste	Belfast
Belgia	Belgium
Rummad:Belgia	Belgium
Beograd	Belgrade
Belize	Belize
Rummad:Belize	Belize
Bellerofon	Bellerophon
Benin	Benin
Benito Mussolini	Benito Mussolini
Bergen (Norvegia)	Bergen
Strizh-mor Bering	Bering Strait
Berlin	Berlin
Bern	Berne
Hugenn	Berry
Bertolt Brecht	Bertolt Brecht
Beta (lizherenn)	Beta (letter)
Betlehem	Bethlehem
Bhoutan	Bhutan
Bibl	Bible
Rummad:Bibl	Bible
Levrlennadur	Bibliography
Bikini (dilhad)	Bikini
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Buhezskrid	Biography
Porched:Tud	Biography
Bevoniezh	Biology
Rummad:Skiantoù ar Vuhez	Biology
Biosferenn	Biosphere
Divrevelezh	Bisexuality
Eskob	Bishop
Bissau	Bissau
Bit	Bit
Bithynia	Bithynia
Mor Du	Black Sea
Toull du	Black hole
Moualc'h du	Blackbird
Blaise Pascal	Blaise Pascal
Bloemfontein	Bloemfontein
Blog	Blog
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bohemia	Bohemia
Bolivia	Bolivia
Bologna	Bologna
Bozen-Bolzano	Bolzano
Askorn	Bone
Bonn	Bonn
Levr	Book
Bourdel	Bordeaux
Boris Spassky	Boris Spassky
Bosnia-ha-Herzegovina	Bosnia and Herzegovina
Bosfor	Bosporus
Boston	Boston
Patrom:Bot	Bot
Louzawouriezh	Botany
Rummad:Botanik	Botany
Botswana	Botswana
Rummad:Botswana	Botswana
Bourc’hizelezh	Bourgeoisie
Bourgogn	Bourgogne
Brennidenn	Brassiere
Bratislava	Bratislava
Brazil	Brazil
Rummad:Brazil	Brazil
Brazzaville	Brazzaville
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest
Brest (heñvelstumm)	Brest
Rannvro Breizh	Bretagne
Pont	Bridge
Brighton	Brighton
Kolombia Vreizhveuriat	British Columbia
Brno	Brno
Oadvezh an arem	Bronze Age
Brugge	Bruges
Brunei	Brunei
Brusel	Brussels
Bosenn werblus	Bubonic plague
Bukarest	Bucharest
Gwinizh-du	Buckwheat
Budapest	Budapest
Boudaegezh	Buddhism
Buenos Aires	Buenos Aires
Buffalo (New York)	Buffalo
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Rummad:Burkina Faso	Burkina Faso
Myanmar	Burma
Rummad:Burundi	Burundi
Bus stlennegel	Bus (computing)
Rummad:Tud a afer	Businesspeople
Amanenn	Butter
C (lizherenn)	C
Areg C	C (programming language)
C.S. Lewis	C. S. Lewis
Kadmos	Cadmus
Kaero	Cairo
Calabria	Calabria
Kalifornia	California
Caligula	Caligula
Kalliope	Calliope
Kallisto (loarenn)	Callisto (moon)
Kallisto	Callisto (mythology)
Calvados (departamant)	Calvados
Calvin Coolidge	Calvin Coolidge
Kambodja	Cambodia
Kambrian	Cambrian
Cambridge	Cambridge
Cambridge (Massachusetts)	Cambridge
Kameroun	Cameroon
Rummad:Kameroun	Cameroon
Campania	Campania
Kanada	Canada
Kanol (dour)	Canal
Kanariez	Canary Islands
Canberra	Canberra
Candela	Candela
Kantoneg	Cantonese (linguistics)
Kab Horn	Cape Horn
Kêr ar C'hab	Cape Town
Kab Glas	Cape Verde
Kab ar Spi Mat	Cape of Good Hope
Kêr-benn	Capital
Karakal	Caracal
Caracas	Caracas
Caravaggio	Caravaggio
Trenkenn garbonek	Carbonic acid
Karbonifer	Carboniferous
Kerdiz	Cardiff
Kardinal	Cardinal (Catholicism)
Mor Karib	Caribbean Sea
Karolingidi	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Karpatoù	Carpathian Mountains
Kartago	Carthage
Mor Kaspia	Caspian Sea
Kazh	Cat
Katalonia	Catalonia
Katherine Parr	Catherine Parr
Catalina de Aragón	Catherine of Aragon
Katoligiezh	Catholicism
Kaol-bleuñv	Cauliflower
Cayenne	Cayenne
Cecil Rhodes	Cecil Rhodes
Kellig	Cell (biology)
Derez Celsius	Celsius
Senozoeg	Cenozoic
Tud-kezeg	Centaur
Kantimetr	Centimetre
Republik Kreizafrikan	Central African Republic
Rummad:Republik Kreizafrikan	Central African Republic
CIA	Central Intelligence Agency
Kantved	Century
Keres (planedenn-gorr)	Ceres (dwarf planet)
Cesare Borgia	Cesare Borgia
Tchad	Chad
Kador	Chair
Kalkedon (Maenad)	Chalcedony
Karl Veur	Charlemagne
Charleroi	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles de Gaulle	Charles de Gaulle
Charlez ar Moal	Charles the Bald
Charlie Chaplin	Charlie Chaplin
C'haron (loarenn)	Charon (moon)
C'haron	Charon (mythology)
Chartrez	Chartres
Che Guevara	Che Guevara
Kazh-ki	Cheetah
Elfenn gimiek	Chemical element
Formulenn gimiek	Chemical formula
Kimiezh	Chemistry
Rummad:Kimiezh	Chemistry
Chennai	Chennai
Echedoù	Chess
Rummad:Echedoù	Chess
Khi (lizherenn)	Chi (letter)
Chicago	Chicago
Gwilioud	Childbirth
Chile	Chile
Rummad:Sina	China
C'heiron	Chiron
Chokolad	Chocolate
Laz-kanañ	Choir
Kolera	Cholera
Kristeniezh	Christianity
Nedeleg	Christmas
Rummad:Nedeleg	Christmas
Kristol Goulm	Christopher Columbus
Chuck Berry	Chuck Berry
Sistr	Cider
Luduennig	Cinderella
Kirke	Circe
Trodroc'hañ	Circumcision
Brezel diabarzh	Civil war
Klas (digejañ)	Class
Kevrennad	Class (biology)
Sonerezh klasel	Classical music
Glaoda Iañ	Claudius
Hinouriezh	Climatology
Kleio	Clio
Ellig	Clitoris
Dilhad	Clothing
Koumoul	Cloud
Hlodwig Iañ	Clovis I
Aod	Coast
Kafe	Coffee
Kolkida	Colchis
Brezel yen	Cold War
Kolombia	Colombia
Rummad:Kolombia	Colombia
Colorado	Colorado
Keurzelwenn Rodos	Colossus of Rhodes
Kemennadur	Communication
Komorez	Comoros
Rummad:Komorez	Comoros
Nadoz-vor	Compass
Urzhiataer	Computer
Unvez gwereañ	Computer display
Restr stlennegel	Computer file
Periant	Computer hardware
Urzhiataerezh	Computer science
Meziant	Computer software
Conakry	Conakry
Stevell	Condom
Kongo	Congo
Kongo (stêr)	Congo River
Connecticut	Connecticut
Kensonenn	Consonant
Kustentin Iañ (impalaer roman)	Constantine I
Kergustentin	Constantinople
Steredeg	Constellation
Bonreizh	Constitution (political)
Kevandir	Continent
Dilec'hiadur ar c'hevandiroù	Continental drift
Plateiz kevandirel	Continental shelf
Keginañ	Cooking
Kevelouri	Cooperative
UTC	Coordinated Universal Time
Kopenhagen	Copenhagen
Korkig	Cork (city)
Morvran	Cormorant
Kernev-Veur	Cornwall
Embregerezh	Corporation
Korsika	Corsica
Puma	Cougar
Coulomb	Coulomb
Bro	Country
Lez (roue)	Court
Coventry	Coventry
Koyot	Coyote
Cremona	Cremona
Kretase	Cretaceous
Kreta	Crete
Kroatia	Croatia
Rummad:Kroatia	Croatia
Kronos	Cronus
Pluskenn (planedenn)	Crust (geology)
Kroaz ar Su	Crux
Kuba	Cuba
Rummad:Kuba	Cuba
Metr kub	Cubic metre
Curitiba	Curitiba
Kybele	Cybele
Republik Kiprenez	Cyprus
Lizherenneg kirillek	Cyrillic alphabet
Kirus II	Cyrus the Great
Republik Tchek	Czech Republic
Tchekoslovakia	Czechoslovakia
D (lizherenn)	D
D.H. Lawrence	D. H. Lawrence
Trenkenn dezoksiribonukleek	DNA
Daidalos	Daedalus
Dakar	Dakar
Stankell	Dam
Damask	Damascus
Dañs	Dance
Daniel Ortega	Daniel Ortega
Dante Alighieri	Dante Alighieri
Danav	Danube
Dafne	Daphne
Dar es Salaam	Dar es Salaam
Dardanelloù (strizh-mor)	Dardanelles
Stlennvon	Database
David	David
David Hume	David Hume
Rummad:Deizioù ar bloaz	Days
Benede	Deadly nightshade
Marv	Death
Kerzu	December
31 Kerzu	December 31
8 Kerzu	December 8
Decius	Decius (emperor)
Delaware (stad)	Delaware
Delft	Delft
Delta (lizherenn)	Delta (letter)
Demeter	Demeter
Demokratelezh	Democracy
Republik Demokratel Kongo	Democratic Republic of the Congo
Rummad:Republik Demokratel Kongo	Democratic Republic of the Congo
Poblañsouriezh	Demography
Danmark	Denmark
Rummad:Danmark	Denmark
Denver	Denver
Dezerzh	Desert
Detroit (Michigan)	Detroit
Deuteriom	Deuterium
Devonian	Devonian
Sinoù diakritek	Diacritic
Rannyezh	Dialect
Diktatouriezh	Dictatorship
Geriadur	Dictionary
Diego Rivera	Diego Rivera
Dijon	Dijon
Dinosaor	Dinosaur
Diosez	Diocese
Diokletian	Diocletian
Diftongenn	Diphthong
Diplodokus	Diplodocus
Rummad:Heñvelstummoù	Disambiguation
Kleñved	Disease
Torr-dimeziñ	Divorce
Dmitri Mendeleiev	Dmitri Mendeleev
Dmitriy Chostakovitch	Dmitri Shostakovich
Teul	Document
Dodoma	Dodoma
Ki	Dog
Doha	Doha
Dollar	Dollar
Republik Dominikan	Dominican Republic
Domitian	Domitian
Donald Duck	Donald Duck
Donatello	Donatello
Azen	Donkey
Dor	Door
Efed Doppler	Doppler effect
Dortmund	Dortmund
Diazad doureier	Drainage basin
Dresden	Dresden
Drouiz	Druid
Taboulin	Drum
Dulenn	Dublin
Tevenn	Dune
Dukark	Dunkirk
Dwight D. Eisenhower	Dwight D. Eisenhower
Dinamit	Dynamite
Tierniezh	Dynasty
E (lizherenn)	E
Anvonerezh elektronek	E-mail
ETA	ETA
Skouarn	Ear
Douar (planedenn)	Earth
Skiantoù an douar	Earth science
Kren-douar	Earthquake
Reter	East
Republik Demokratel Alamagn	East Germany
East Sussex	East Sussex
Ebre	Ebro
Ekleziastez	Ecclesiastes
Armerzh	Economics
Armerzh	Economy
Ekosistem	Ecosystem
Ecuador	Ecuador
Rummad:Ecuador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Dinedin	Edinburgh
Edo (kêr)	Edo
Desaverezh	Education
Edvard Grieg	Edvard Grieg
Egipt	Egypt
Rummad:Egipt	Egypt
Elbe	Elbe
Tredan	Electricity
Elektron	Electron
Klemmgan	Elegy
Elvis Presley	Elvis Presley
Emilia-Romagna	Emilia-Romagna
Impalaer	Emperor
Impalaeriezh	Empire
Holloueziadur	Encyclopedia
Energiezh	Energy
Energiezh	Energy (society)
Ijinerezh	Engineering
Bro-Saoz	England
Mor Breizh	English Channel
Saozneg	English language
Enrico Fermi	Enrico Fermi
Amprevanoniezh	Entomology
Entropiezh	Entropy
Endro	Environment
Eosen	Eocene
Eon (douarouriezh)	Eon (geology)
Eos	Eos
Meurgan	Epic poetry
Epikreizenn	Epicenter
Epikuros	Epicurus
Drougsant	Epilepsy
Gouel ar Rouaned	Epiphany (Christian)
Epsilon (lizherenn)	Epsilon
Keheder	Equator
Ginea ar C'heheder	Equatorial Guinea
Rummad:Ginea ar C'heheder	Equatorial Guinea
Kedez	Equinox
Erasure	Erasure
Erato	Erato
Erebos	Erebus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
136199 Eris	Eris (dwarf planet)
Eris (doueez)	Eris (mythology)
Rummad:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eros	Eros (mythology)
Krignerezh	Erosion
Erwin Rommel	Erwin Rommel
Esperanteg	Esperanto
Rummad:Esperanteg	Esperanto
Rummad:Estonia	Estonia
Eta (lizherenn)	Eta (letter)
Ethernet	Ethernet
Rummad:Etik	Ethics
Etiopia	Ethiopia
Etimologiezh	Etymology
Euklides	Euclid
Eurazia	Eurasia
Broc'h	Eurasian Badger
Euripides	Euripides
Euro	Euro
Europa (loarenn)	Europa (moon)
Europa, merc'h Agenor	Europa (mythology)
Europa (kevandir)	Europe
Rummad:Europa	Europe
Pig	European Magpie
Unaniezh Europa	European Union
Rummad:Unaniezh Europa	European Union
Eusebius Kaesarea	Eusebius of Caesarea
Euterpe	Euterpe
Kaledvoulc'h	Excalibur
Eskumunugenn	Excommunication
Lagad	Eye
F (lizherenn)	F
Fablenn	Fable
Inizi Maloù	Falkland Islands
Trompilhoù Fallopia	Fallopian tube
Falun Gong	Falun Gong
Kerentiad	Family (biology)
Anv-familh	Family name
Fauna	Fauna
Pelleiler	Fax
Plu	Feather
C'hwevrer	February
12 C'hwevrer	February 12
14 C'hwevrer	February 14
2 C'hwevrer	February 2
22 C'hwevrer	February 22
29 C'hwevrer	February 29
Federico Fellini	Federico Fellini
Fernão de Magalhães	Ferdinand Magellan
Ferrara	Ferrara
Speriañ	Fertilisation
Fidel Castro	Fidel Castro
Rummad:Sinema	Film
Sinema	Film
Finland	Finland
Rummad:Finland	Finland
Pomper	Firefighter
Yezh vamm	First language
Peskerezh	Fishing
Fjord	Fjord
Banniel	Flag
Flandrez	Flanders
C'hwen	Flea
Flandrezeg	Flemish (linguistics)
Firenze	Florence
Florida	Florida
Fluorit	Fluorite
Folklor	Folklore
Mell-droad	Football (soccer)
Rummad:Mell-droad	Football (soccer)
Kreñvlec'h	Fortification
Louarn	Fox
Bro-C'hall	France
Rummad:Frañs	France
Francis Drake	Francis Drake
Frañsez a Asiz	Francis of Assisi
Urzh ar Vreudeur minor	Franciscan
Francisco de Goya	Francisco Goya
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt am Main	Frankfurt
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt	Frankfurt (disambiguation)
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Freetown	Freetown
Dispac'h Gall	French Revolution
Gwener (deiz)	Friday
Friedrich Engels	Friedrich Engels
Friz	Friesland
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Rummad:Rummad pennañ	Fundamental
Arrebeuri	Furniture
Fyodor Dostoyevskiy	Fyodor Dostoevsky
G (lizherenn)	G
Gabon	Gabon
Rummad:Gabon	Gabon
Gaborone	Gaborone
Gaia (doueez)	Gaia (mythology)
Galatia	Galatia
Galaksienn	Galaxy
Galitsia	Galicia (Central Europe)
Galiza	Galicia (Spain)
Galileo Galilei	Galileo Galilei
Gaillimh	Galway
C'hoarioù	Game
Gamma (lizherenn)	Gamma
Ganga	Ganges
Ganymede (loarenn)	Ganymede (moon)
Gap	Gap
Garona	Garonne
Galia	Gaul
Gae	Gay
Geb	Geb
Geisha	Geisha
Lignezouriezh	Genealogy
Relativelezh hollek	General relativity
Geneliezh	Genesis
Genova	Genoa
Gouennlazh	Genocide
Genad	Genus
Geoffrey Chaucer	Geoffrey Chaucer
Douaroniezh	Geography
Douarouriezh	Geology
Mentoniezh	Geometry
Rummad:Geomorfologiezh	Geomorphology
Geofizik	Geophysics
Douarbolitikerezh	Geopolitics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Georg Friedrich Händel	George Frideric Handel
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Sand	George Sand
George Walker Bush	George W. Bush
George Washington	George Washington
Georges Simenon	Georges Simenon
Georgia	Georgia (U.S. state)
Jorjia (bro)	Georgia (country)
Rummad:Jorjia	Georgia (country)
Alamaneg	German language
Alamagn	Germany
Rummad:Alamagn	Germany
Ghana	Ghana
Gent	Ghent
Ghetto	Ghetto
Giacomo Puccini	Giacomo Puccini
Jibraltar	Gibraltar
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Girolamo Savonarola	Girolamo Savonarola
Jironda	Gironde
Giuseppe Verdi	Giuseppe Verdi
Gizah	Giza
Glasc'ho	Glasgow
Gloucestershire	Gloucestershire
Go (c'hoari)	Go (board game)
Gavr (loen)	Goat
Doue	God
Gogol	Googol
Aviel	Gospel
Aviel Lukaz	Gospel of Luke
Göteborg	Gothenburg
Arkitektouriezh c'hotek	Gothic architecture
Grace Kelly	Grace Kelly
Yezhadur	Grammar
Rummad:Yezhadur	Grammar
Gravitadur	Gravitation
Bleiz gris	Gray Wolf
Graz	Graz
Moger Vras Sina	Great Wall of China
Gres (bro)	Greece
Rummad:Gres	Greece
Lizherenneg c'hresianek	Greek alphabet
Rummad:Mojennoù Hellaz	Greek mythology
Greunland	Greenland
Gregor Mendel	Gregor Mendel
Deiziadur gregorian	Gregorian calendar
Gwadaloup	Guadeloupe
Ciudad de Guatemala	Guatemala City
Gwernenez	Guernsey
Ginea	Guinea
Rummad:Ginea	Guinea
Ginea-Bissau	Guinea-Bissau
Pleg-mor Aden	Gulf of Aden
Pleg-mor Botnia	Gulf of Bothnia
Pleg-mor Finland	Gulf of Finland
Pleg-mor Ginea	Gulf of Guinea
Pleg-mor Riga	Gulf of Riga
Gouelan	Gull
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
H (lizherenn)	H
HTML	HTML
Hadean	Hadean
Haides	Hades
Hadith	Hadith
Moger Hadrian	Hadrian's Wall
Ave Maria	Hail Mary
Republik Haiti	Haiti
Rummad:Haiti	Haiti
Hamas	Hamas
Hamburg	Hamburg
Hampshire	Hampshire
Tierniezh Han	Han Dynasty
Liorzhoù a-istribilh Babilon	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Harare	Harare
Telenn	Harp
Harpied	Harpy
Kasoni	Hatred
Normandi-Uhel	Haute-Normandie
La Habana	Havana
Hawaii	Hawaii
Penn	Head
Yec'hed	Health
Lizherenneg hebraek	Hebrew alphabet
Deiziadur hebraek	Hebrew calendar
Inizi Gall	Hebrides
Hekate	Hecate
Hektar	Hectare
Louis Hector Berlioz	Hector Berlioz
Heinrich Himmler	Heinrich Himmler
Elena	Helen
Helios	Helios
Heliom	Helium
Ifern	Hell
Helsinki	Helsinki
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Ford	Henry Ford
Hefaistos	Hephaestus
Hera	Hera
Ardamezouriezh	Heraldry
Herbert C. Hoover	Herbert Hoover
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Divreizhadezh	Hermaphrodite
Hermes	Hermes
Haroz	Hero
Herodez Veur	Herod the Great
Herodotos	Herodotus
Gouelan gris	Herring Gull
Hertz	Hertz
Hesiodos	Hesiod
Hesperidezed	Hesperides
Hessen	Hesse
Rummad:Hessen	Hesse
Hestia	Hestia
Arallrevelezh	Heterosexuality
Diazez c'hwezekred	Hexadecimal
Hezbollah	Hezbollah
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hippokrates	Hippocrates
Hiroshima	Hiroshima
Istor	History
Rummad:Istor	History
Porched:Istor	History
Hồ Chí Minh	Ho Chi Minh
Hollywood	Hollywood
Holosen	Holocene
Impalaeriezh santel roman german	Holy Roman Empire
Homeros	Homer
Homofobiezh	Homophobia
Heñvelrevelezh	Homosexuality
Honduras	Honduras
Mel	Honey
Hong Kong	Hong Kong
Honolulu, Hawaii	Honolulu
Quintus Horatius Flaccus	Horace
