English	Slovenian
American Standard Code for Information Interchange	ASCII
American football	Ameriški nogomet
American football	Kategorija:Ameriški nogomet
Americium	Americij
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametist
Amharic	Amharščina
Amide	Amid
Amino acid	Aminokislina
Amman	Aman
Ammeter	Ampermeter
Ammonia	Amonijak
Amnesia	Amnezija
Ampere	Amper
Amphetamine	Amfetamin
Amphibian	Dvoživke
Amphitheatre	Amfiteater
Amplitude	Amplituda
Amsterdam	Amsterdam
Amsterdam	Kategorija:Amsterdam
Amun	Amon
Amur	Amur
Anagram	Anagram
Anal sex	Analni spolni odnos
Anarchism	Anarhizem
Anarchism	Kategorija:Anarhizem
Anarchy	Anarhija
Anatomy	Kategorija:Anatomija
Anatomy	Anatomija
Anaxagoras	Anaksagora
Anaximander	Anaksimander
Ancient history	Kategorija:Antika
Andaman Sea	Andamansko morje
Anders Celsius	Anders Celsius
Andes	Andi
Andorra	Andora
Andorra	Kategorija:Andora
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Dimitrijevič Saharov
Andrew Johnson	Andrew Johnson
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (ozvezdje)
Andromeda (mythology)	Andromeda (mitologija)
Andromeda Galaxy	Andromedina galaksija
Andy Warhol	Andy Warhol
Anesthesia	Anestezija
Angel	Angel
Angle	Kot
Angola	Angola
Angola	Kategorija:Angola
Anguilla	Angvila
Angular momentum	Vrtilna količina
Angular velocity	Kotna hitrost
Anicius Manlius Severinus Boethius	Boetij
Animal	Živali
Animal husbandry	Živinoreja
Animation	Animacija
Anime	Anime
Animism	Animizem
Ankara	Ankara
Annelid	Kolobarniki
Annunciation	Marijino oznanjenje
Anode	Anoda
Anseriformes	Plojkokljuni
Ant	Mravlje
Antakya	Antiohija
Antarctica	Antarktika
Antarctica	Kategorija:Antarktika
Antares	Antares
Antenna (radio)	Antena
Anthrax	Vranični prisad
Anthropology	Antropologija
Anthropology	Kategorija:Antropologija
Antibiotic	Antibiotik
Antibody	Protitelo
Anticyclone	Anticiklon
Antigen	Antigen
Antigone	Antigona
Antigua and Barbuda	Antigva in Barbuda
Antigua and Barbuda	Kategorija:Antigva in Barbuda
Antimatter	Antimaterija
Antimony	Antimon
Antipope	Protipapež
Antisemitism	Antisemitizem
Antisemitism	Kategorija:Antisemitizem
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Pavlovič Čehov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Protipomenka
Antwerp	Antwerpen
Anubis	Anubis
Anus	Zadnjik
Ape	Človečnjaki
Aphrodite	Afrodita
Apodiformes	Hudourniki
Apollo	Apolon
Apollo (disambiguation)	Apollo
Apollo program	Program Apollo
Apollo program	Kategorija:Program Apollo
Apoptosis	Apoptoza
Appalachian Mountains	Apalači
Apple	Jabolko
Apricot	Marelica
April	April
April 14	14. april
April Fools' Day	Dan norcev
Apulia	Apulija
Aqaba	Akaba
Aquamarine	Akvamarin (kamen)
Aquitaine	Akvitanija
Arab	Arabci
Arab League	Arabska liga
Arabian Sea	Arabsko morje
Arabic alphabet	Arabska abeceda
Arabic language	Arabščina
Arachnid	Pajkovci
Aral Sea	Aralsko jezero
Aram Khachaturian	Aram Iljič Hačaturjan
Arcangelo Corelli	Arcangelo Corelli
Archaeology	Arheologija
Archaeology	Kategorija:Arheologija
Archaeopteryx	Praptič
Archbishop	Nadškof
Archean	Arhaik
Archimedes	Arhimed
Archipelago	Arhipelag
Architecture	Arhitektura
Architecture	Kategorija:Arhitektura
Archive	Arhiv
Arctic	Arktika
Arctic Ocean	Arktični ocean
Arctic fox	Polarna lisica
Ardennes (department)	Ardennes (departma)
Are	Ar (enota)
Area	Površina
Ares	Ares
Argentina	Argentina
Argentina	Kategorija:Argentina
Argon	Argon
Aria	Arija
Ariadne	Ariadna
Arianism	Arijanstvo
Aristarchus of Samos	Aristarh
Aristocracy	Aristokracija
Aristophanes	Aristofan
Aristotle	Aristotel
Arithmetic	Aritmetika
Arithmetic	Kategorija:Aritmetika
Arithmetic progression	Aritmetično zaporedje
Arius	Arij
Arizona	Arizona
Arizona	Kategorija:Arizona
Arkansas	Arkansas
Arkansas	Kategorija:Arkansas
Arles	Arles
Armenia	Armenija
Armenia	Kategorija:Armenija
Armenian language	Armenščina
Armour	Oklep
Army	Vojska
Arnold Schoenberg	Arnold Schönberg
Arquebus	Arkebuza
Arras	Arras
Arsenic	Arzen
Art	Umetnost
Art Nouveau	Art Nouveau
Art history	Umetnostna zgodovina
Artemis	Artemida (mitologija)
Artery	Arterija
Arthropod	Členonožci
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Artificial intelligence	Umetna inteligenca
Artificial intelligence	Kategorija:Umetna inteligenca
Artillery	Artilerija
Artillery	Kategorija:Artilerija
Arts	Kategorija:Umetnost
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Asclepius	Asklepij
Ash Wednesday	Pepelnična sreda
Ashurbanipal	Asurbanipal
Asia	Azija
Asia	Kategorija:Azija
Aspartame	Aspartam
Aspirin	Aspirin
Assassination	Atentat
Assembly language	Zbirni jezik
Association of Southeast Asian Nations	Zveza držav Jugovzhodne Azije
Assyria	Asirija
Assyria	Kategorija:Asirija
Astana	Astana
Astatine	Astat
Asteraceae	Nebinovke
Asteraceae	Kategorija:Nebinovke
Asteroid	Asteroid
Asteroid belt	Asteroidni pas
Asthenosphere	Astenosfera
Asthma	Astma
Astrakhan	Astrahan
Astrobiology	Astrobiologija
Astrolabe	Astrolab
Astrology	Astrologija
Astrology	Kategorija:Astrologija
Astrometry	Astrometrija
Astronaut	Astronavt
Astronomer	Astronom
Astronomical unit	Astronomska enota
Astronomy	Astronomija
Astronomy	Kategorija:Astronomija
Astronomy	Portal:Astronomija
Astrophysics	Astrofizika
Astrophysics	Kategorija:Astrofizika
Asymptote	Asimptota
Atacama Desert	Atacama
Aten	Aton
Atheism	Kategorija:Ateizem
Athena	Atena
Athens	Atene
Athletics	Kategorija:Atletika
Athletics (track and field)	Atletika
Atlantic Ocean	Atlantski ocean
Atlantic Ocean	Kategorija:Atlantski ocean
Atlantis	Atlantida
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (luna)
Atlas (mythology)	Atlas (mitologija)
Atlas Mountains	Atlas (gorovje)
Atmosphere (unit)	Atmosfera (enota)
Atmospheric pressure	Zračni tlak
Atoll	Atol
Atom	Atom
Atomic mass	Atomska teža
Atomic mass unit	Enota atomske mase
Atomic number	Vrstno število
Atomic physics	Kategorija:Atomska in molekulska fizika
Atropine	Atropin
Attica	Atika
Attila the Hun	Atila
Au	Au
August	Avgust
August 1	1. avgust
August 15	15. avgust
August 6	6. avgust
Augustine of Hippo	Sveti Avguštin
Augustus	Gaj Avgust Oktavijan
Aurora	Avrora
Aurora (astronomy)	Polarni sij
Australasia	Avstralazija
Australia	Avstralija
Australia	Kategorija:Avstralija
Australopithecus	Avstralopitek
Austria	Avstrija
Austria	Kategorija:Avstrija
Austria-Hungary	Avstro-Ogrska
Author	Pisatelj
Auto racing	Motošport
Automobile	Avtomobil
Autonomic nervous system	Avtonomno živčevje
Autumn	Jesen
Auvergne (region)	Auvergne (regija)
Avalanche	Plaz
Avant-garde	Avantgarda
Averroes	Ibn Rušd
Aviation	Kategorija:Letalstvo
Aviation	Letalstvo
Avignon	Avignon
Avocado	Avokadovec
Axe	Sekira
Axiom	Aksiom
Axon	Nevrit
Azerbaijan	Azerbajdžan
Azerbaijan	Kategorija:Azerbajdžan
Azimuth	Azimut
Azores	Azori
Aztec	Azteška civilizacija
Azurite	Azurit
B	B
BASIC	BASIC (programski jezik)
Baal	Baal
Babylonia	Babilonija
Backgammon	Backgammon
Bacteria	Bakterije
Bacteria	Kategorija:Bakterije
Bacteriophage	Bakteriofag
Badminton	Badminton
Baghdad	Bagdad
Bahamas	Kategorija:Bahami
Bahrain	Bahrajn
Bahrain	Kategorija:Bahrajn
Baku	Baku
Balalaika	Balalajka
Baldr	Baldur
Balearic Islands	Balearski otoki
Bali	Bali
Balkan Wars	Balkanski vojni
Balkans	Balkan
Ball	Žoga
Ballet	Balet
Ballet	Kategorija:Balet
Ballistic missile	Balistični izstrelek
Baltic Sea	Baltsko morje
Baltimore	Baltimore, Maryland
Bamboo	Bambus
Banana	Bananovec
Bangkok	Bangkok
Bangladesh	Bangladeš
Bangladesh	Kategorija:Bangladeš
Banknote	Bankovec
Baptism	Krst
Bar (unit)	Bar (enota)
Barbados	Barbados
Barbados	Kategorija:Barbados
Barcelona	Barcelona
Barcelona	Kategorija:Barcelona
Bari	Bari
Barium	Barij
Barley	Ječmen
Barn Owl	Pegasta sova
Barometer	Barometer
Baroque	Barok
Barrel (unit)	Sod (prostorninska mera)
Basalt	Bazalt
Base (chemistry)	Baza (kemija)
Baseball	Baseball
Baseball	Kategorija:Baseball
Basel	Basel
Basil	Navadna bazilika
Basil of Caesarea	Sveti Bazilij Veliki
Basilica	Bazilika (zgradba)
Basilicata	Bazilikata
Basiliscus	Bazilisk (bizantinski cesar)
Basilisk	Bazilisk
Basketball	Košarka
Basketball	Kategorija:Košarka
Basse-Normandie	Spodnja Normandija
Bassoon	Fagot
Bast (mythology)	Bastet
Bastille	Bastilja
Bat	Netopirji
Batman	Batman
Bats	Kategorija:Netopirji
Battalion	Bataljon
Battle of Austerlitz	Bitka pri Austerlitzu
Battle of Britain	Bitka za Britanijo
Battle of Hastings	Bitka pri Hastingsu
Battle of Lepanto (1571)	Bitka pri Lepantu (1571)
Battle of Marathon	Bitka na Maratonskem polju
Battle of Thermopylae	Bitka pri Termopilah
Battle of Verdun	Bitka pri Verdunu
Battle of the Bulge	Ardenska ofenziva (1944)
Battle of the Somme	Bitka na Somi (1916)
Bavaria	Bavarska
Bavaria	Kategorija:Bavarska
Bay Laurel	Navadni lovor
Bay of Biscay	Biskajski zaliv
Bayer	Bayer
Bayonet	Bajonet
Bayonne	Bayonne
Beach	Plaža
Beagle	Beagle (pes)
Bear	Medvedi
Beaufort scale	Beaufortova lestvica
Becquerel	Bekerel
Bed	Postelja
Bee	Čebele
Beekeeping	Kategorija:Čebelarstvo
Beer	Pivo
Beer	Kategorija:Pivo
Beetle	Hrošči
Behaviorism	Behaviorizem
Beijing	Peking
Beirut	Bejrut
Belarus	Belorusija
Belarus	Kategorija:Belorusija
Belgium	Belgija
Belgium	Kategorija:Belgija
Belgrade	Beograd
Belize	Belize
Belize	Kategorija:Belize
Bell (instrument)	Zvon
Bellerophon	Belerofont
Benelux	Beneluks
Benin	Benin
Benin	Kategorija:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Bergen	Bergen, Norveška
Berkelium	Berkelij
Berlin	Berlin
Berlin	Kategorija:Berlin
Bermuda	Bermudi
Bermuda Triangle	Bermudski trikotnik
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Beryllium	Berilij
Beta (letter)	Beta
Beta decay	Razpad beta
Bethlehem	Betlehem
Bey	Beg
Bhutan	Butan (država)
Bhutan	Kategorija:Butan (država)
Bible	Sveto pismo
Bible	Kategorija:Sveto pismo
Bicycle	Dvokolo
Big Bang	Prapok
Bikini	Bikini
Bile	Žolč
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binary star	Dvojna zvezda
Biochemistry	Biokemija
Biochemistry	Kategorija:Biokemija
Biodiversity	Biodiverziteta
Biogeography	Biogeografija
Biography	Biografija
Biology	Biologija
Biology	Kategorija:Biologija
Biology	Portal:Biologija
Biomass	Biomasa
Biome	Biom
Biometrics	Biometrija
Biophysics	Biofizika
Biosphere	Biosfera
Biotechnology	Biotehnologija
Biotechnology	Kategorija:Biotehnologija
Bipolar disorder	Bipolarna motnja
Birch	Breza
Bird	Ptiči
Birmingham	Birmingham, Alabama
Birth control	Nadzor rojstev
Bisexuality	Biseksualnost
Bishop	Škof
Bishop (chess)	Lovec (šah)
Bismuth	Bizmut
Bit	Bit
Bithynia	Bitinija
Black	Črna
Black Death	Črna smrt
Black Kite	Črni škarnik
Black Sea	Črno morje
Black body	Črno telo
Black hole	Črna luknja
Blackbird	Kos (ptič)
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Slepota
Blitzkrieg	Bliskovita vojna
Blog	Blog
Blood	Kri
Blood plasma	Krvna plazma
Blood pressure	Krvni tlak
Blood type	Krvna skupina
Blood vessel	Žila
Blue	Modra
Blue Whale	Sinji kit
Blues	Blues
Boar	Divja svinja
Board game	Igra na deski
Boat	Čoln
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bodybuilding	Bodybuilding
Bohemia	Češka (zgodovinska dežela)
Bohrium	Borij
Boiling point	Vrelišče
Boletus edulis	Jesenski goban
Bolivia	Bolivija
Bolivia	Kategorija:Bolivija
Bolshevik	Boljševiki
Bolzano	Bolzano
Bomber	Bombnik
Bombyx mori	Sviloprejka
Bone	Kost
Bonn	Bonn
Book	Knjiga
Book of Joshua	Jozue (svetopisemska knjiga)
Book of Revelation	Razodetje (Apokalipsa)
Boolean algebra (structure)	Booleova algebra
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov (opera)
Boris Pasternak	Boris Leonidovič Pasternak
Borneo	Borneo
Boron	Bor (element)
Bosnia and Herzegovina	Bosna in Hercegovina
Bosnia and Herzegovina	Kategorija:Bosna in Hercegovina
Boson	Bozon
Bosporus	Bospor
Boston	Boston, Massachusetts
Boston Tea Party	Bostonska čajanka
Bot	Predloga:Bot page
Botanical garden	Botanični vrt
Botany	Botanika
Botany	Kategorija:Botanika
Botswana	Bocvana
Botswana	Kategorija:Bocvana
Bourgogne	Bourgogne
Bouvet Island	Bouvetov otok
Bovid	Votlorogi
Bow (weapon)	Lok (orožje)
Boxer (dog)	Bokser
Boxers	Kategorija:Boksarji
Boxing	Kategorija:Boks
Boyle's law	Boylov zakon
Bracket	Oklepaj
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Braillova pisava
Brain	Možgani
Brainstorming	Brainstorming
Brass	Med (kemija)
Brassiere	Nedrček
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brazilija
Brazil	Kategorija:Brazilija
Bread	Kruh
Bremen (state)	Bremen (dežela)
Brescia	Brescia
Brest	Brest, Francija
Brest	Brest
Bretagne	Bretanja
Bridge	Most
Bridges	Kategorija:Mostovi
Brigade	Brigada
Bristol	Bristol
British Columbia	Britanska Kolumbija
British Empire	Britanski imperij
British Isles	Britansko otočje
British Virgin Islands	Britanski Deviški otoki
British people	Kategorija:Britanci
Brno	Brno
Broccoli	Brokoli
Bromine	Brom
Bronze	Bron
Bronze Age	Bronasta doba
Brooklyn	Brooklyn
Brown Bear	Rjavi medved
Brownian motion	Brownovo gibanje
Bruce Lee	Bruce Lee
Bruges	Brugge
Brunei	Brunej
Brunei	Kategorija:Brunej
Brussels	Bruselj
Bubonic plague	Kuga
Bucharest	Bukarešta
Buckingham Palace	Buckinghamska palača
Buckwheat	Ajda
Budapest	Budimpešta
Buddhism	Budizem
Buddhism	Kategorija:Budizem
Buenos Aires	Buenos Aires
Building	Zgradba
Bulgaria	Bolgarija
Bulgaria	Kategorija:Bolgarija
Buoyancy	Arhimedov zakon
Bureaucracy	Birokratizem
Burgomaster	Župan
Burkina Faso	Burkina Faso
Burkina Faso	Kategorija:Burkina Faso
Burma	Mjanmar
Burma	Kategorija:Mjanmar
Bursa	Bursa
Burundi	Kategorija:Burundi
Bus	Avtobus
Bus (computing)	Vodilo
Businesspeople	Kategorija:Poslovneži
Butane	Butan (plin)
Butter	Maslo
Butterfly	Dnevni metulji
Byte	Bajt
Byzantine Empire	Kategorija:Bizantinsko cesarstvo
C	C
C (programming language)	Programski jezik C
CD (disambiguation)	CD
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaret
Cadmium	Kadmij
Caesium	Cezij
Caffeine	Kofein
Cairo	Kairo
Calabria	Kalabrija
Calais	Calais
Calcium	Kalcij
Calcium carbonate	Kalcijev karbonat
Calculator	Računalo
Calculus	Infinitezimalni račun
Calendar	Koledar
Caliber	Kaliber
California	Kalifornija
Californium	Kalifornij
Caligula	Kaligula
Calliope	Kaliopa
Callisto (moon)	Kalisto (luna)
Calorie	Kalorija
Calvados	Calvados
Calvary	Golgota
Calvin Coolidge	Calvin Coolidge
Calypso (mythology)	Kalipso
Cambodia	Kambodža
Cambodia	Kategorija:Kambodža
Cambrian	Kambrij
Cambridge	Cambridge
Cambridge	Cambridge, Massachusetts
Camel	Velblod
Camera	Fotoaparat
Cameroon	Kamerun
Cameroon	Kategorija:Kamerun
Campania	Kampanija
Canada	Kanada
Canada	Kategorija:Kanada
Canadian dollar	Kanadski dolar
Canary Islands	Kanarski otoki
Canberra	Canberra
Cancer	Rak (bolezen)
Candela	Kandela
Candle	Sveča
Canidae	Psi (družina)
Cannabis (drug)	Marihuana
Cannes	Cannes
Cannibalism	Kanibalizem
Cannon	Top
Canoe	Kanu
Canon (company)	Canon
Capacitance	Kapacitivnost
Capacitor	Kondenzator
Cape Town	Kaapstad
Cape Verde	Zelenortski otoki
Cape Verde	Kategorija:Zelenortski otoki
Cape of Good Hope	Rt dobrega upanja
Capital	Glavno mesto
Capital (economics)	Kapital
Capital punishment	Smrtna kazen
Capitalism	Kapitalizem
Cappadocia	Kapadokija
Capricornus	Kozorog (ozvezdje)
Carat (mass)	Karat
Carbohydrate	Ogljikovi hidrati
Carbon	Ogljik
Carbon dioxide	Ogljikov dioksid
Carbon monoxide	Ogljikov oksid
Carbonic acid	Ogljikova kislina
Carboniferous	Karbon
Carburetor	Uplinjač
Card game	Igra s kartami
Cardamom	Kardamom
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardiology	Kardiologija
Cardiology	Kategorija:Kardiologija
Cardiovascular system	Kategorija:Obtočila
Caribbean	Karibi
Caribbean	Kategorija:Karibi
Caribbean Sea	Karibsko morje
Caricature	Karikatura
Carl David Anderson	Carl David Anderson
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnivora	Zveri
Carolus Linnaeus	Carl Linnaeus
Cartesian coordinate system	Kartezični koordinatni sistem
Cartesian product	Kartezični produkt
Carthage	Kartagina
Cartography	Kartografija
Cartography	Kategorija:Kartografija
Casablanca	Casablanca
Caspian Sea	Kaspijsko jezero
Cast iron	Železova litina
Castle	Grad
Castling	Rokada (šah)
Cat	Domača mačka
Catalonia	Katalonija
Catharism	Katari
Cathedral	Katedrala
Catherine of Aragon	Katarina Aragonska
Cathode	Katoda
Catholicism	Katolištvo
Cattle	Domače govedo
Caucasus	Kavkaz
Caucasus	Kategorija:Kavkaz
Caucasus Mountains	Kavkaz
Cavalry	Konjenica
Cave	Jama
Caviar	Kaviar
Cayman Islands	Kajmanski otoki
Cecil Rhodes	Cecil Rhodes
Celery	Zelena (zelenjava)
Celestial equator	Nebesni ekvator
Celestial mechanics	Kategorija:Nebesna mehanika
Celestial mechanics	Nebesna mehanika
Celestial sphere	Nebesna krogla
Celibacy	Celibat
Cell (biology)	Celica
Cell membrane	Celična membrana
Cell nucleus	Celično jedro
Cell wall	Celična stena
Cello	Violončelo
Cellulose	Celuloza
Celsius	Celzijeva temperaturna lestvica
Census	Popis prebivalstva
Centaur	Kentaver
Centaurus	Kentaver (ozvezdje)
Center of mass	Masno središče
Centimetre	Centimeter
Central Africa	Osrednja Afrika
Central African Republic	Srednjeafriška republika
Central African Republic	Kategorija:Srednjeafriška republika
Central America	Srednja Amerika
Central Intelligence Agency	Centralna obveščevalna agencija
Central Powers	Centralne sile
