Russian	English
400 год	400
41 год	41
41 (число)	41 (number)
42 год	42
42 (число)	42 (number)
43 год	43
43 (число)	43 (number)
44 год	44
45 год	45
45 (число)	45 (number)
46 год	46
46 (число)	46 (number)
47 год	47
48 год	48
49 год	49
49 (число)	49 (number)
5 год	5
5 (число)	5 (number)
50 год	50
50 (число)	50 (number)
500 год	500
Категория:500 год	500
51 год	51
52 год	52
53 год	53
54 год	54
55 год	55
56 год	56
57 год	57
58 год	58
59 год	59
6 год	6
6 (число)	6 (number)
60 год	60
60 (число)	60 (number)
61 год	61
62 год	62
63 год	63
64 год	64
65 год	65
66 год	66
67 год	67
68 год	68
69 год	69
7 год	7
7 (число)	7 (number)
70 год	70
71 год	71
72 год	72
73 год	73
74 год	74
75 год	75
76 год	76
77 год	77
78 год	78
79 год	79
8 год	8
8 (число)	8 (number)
80 год	80
80 (число)	80 (number)
81 год	81
82 год	82
83 год	83
84 год	84
85 год	85
86 год	86
87 год	87
88 год	88
89 год	89
9 год	9
9 (число)	9 (number)
90 год	90
91 год	91
92 год	92
93 год	93
94 год	94
95 год	95
96 год	96
97 год	97
98 год	98
99 год	99
A (латиница)	A
А (кириллица)	A (Cyrillic)
А капелла	A cappella
ABC	ABC
Синдром приобретённого иммунного дефицита	AIDS
Алгол	ALGOL
АЗ (футбольный клуб)	AZ (football club)
Ахен	Aachen
Ольборг	Aalborg
Ааре	Aar
Трубкозуб	Aardvark
Орхус	Aarhus
Аарон	Aaron
Абак (математика)	Abacus
Абадан	Abadan
Аббат	Abbot
Аббревиатура	Abbreviation
Брюшко	Abdomen
Тасман, Абел Янезон	Abel Tasman
Абелева группа	Abelian group
Абердин	Aberdeen
Абиджан	Abidjan
Абхазия	Abkhazia
Категория:Абхазия	Abkhazia
Аболиционизм	Abolitionism
Искусственный аборт	Abortion
Авраам	Abraham
Линкольн, Авраам	Abraham Lincoln
Абсент	Absinthe
Абсолютная звёздная величина	Absolute magnitude
Абсолютная величина	Absolute value
Абсолютный нуль температуры	Absolute zero
Абсолютизм	Absolutism (European history)
Абстракционизм	Abstract art
Абстрактный экспрессионизм	Abstract expressionism
Абстракция	Abstraction
Абу-Даби	Abu Dhabi
Абу-Даби (эмират)	Abu Dhabi (emirate)
Абуджа	Abuja
Акация	Acacia
Оскар (премия)	Academy Award
Акапулько	Acapulco
Ускорение	Acceleration
Ястребиные	Accipitridae
Аккордеон	Accordion
Бухгалтерский учёт	Accountancy
Категория:Бухгалтерский учёт	Accountancy
Аккра	Accra
Винительный падеж	Accusative case
Ацетальдегид	Acetaldehyde
Уксусная кислота	Acetic acid
Диметилкетон	Acetone
Ацетилхолин	Acetylcholine
Ацетилен	Acetylene
Ахерон	Acheron
Тысячелистник обыкновенный	Achillea millefolium
Ахилл	Achilles
Кислота	Acid
Кислотный дождь	Acid rain
Акне	Acne vulgaris
Аконкагуа	Aconcagua
Жёлудь	Acorn
Акустика	Acoustics
Категория:Акустика	Acoustics
Акр	Acre
Акко (город)	Acre
Акри (штат Бразилии)	Acre (state)
Акрополь	Acropolis
Актиноиды	Actinide
Актиний	Actinium
Актёр	Actor
Деяния святых апостолов	Acts of the Apostles
Акупунктура	Acupuncture
Ad hominem	Ad hominem
Ада (язык программирования)	Ada (programming language)
Адам	Adam
Смит, Адам	Adam Smith
Адана	Adana
Вредные привычки	Addiction
Аддис-Абеба	Addis Ababa
Сложение (математика)	Addition
Аделаида (город)	Adelaide
Аден	Aden
Аденин	Adenine
Аденозинтрифосфорная кислота	Adenosine triphosphate
Адиабатический процесс	Adiabatic process
Адидже (река)	Adige
Имя прилагательное	Adjective
Адмирал	Admiral
Подросток	Adolescence
Эйхман, Адольф	Adolf Eichmann
Гитлер, Адольф	Adolf Hitler
Адонис	Adonis
Усыновление	Adoption
Надпочечники	Adrenal gland
Адриатическое море	Adriatic Sea
Адсорбция	Adsorption
Взрослый	Adult
Адвент	Advent
Наречие	Adverb
Реклама	Advertising
Эгейское море	Aegean Sea
Эней	Aeneas
Энеида	Aeneid
Эол	Aeolus
Аэрогазодинамика	Aerodynamics
Аэрозоль	Aerosol
Эсхил	Aeschylus
Эзоп	Aesop
Эстетика	Aesthetics
Афганистан	Afghanistan
Категория:Афганистан	Afghanistan
Африка	Africa
Категория:Африка	Africa
Афроамериканцы	African American
Африкаанс	Afrikaans
Агамемнон	Agamemnon
Агар-агар	Agar
Агат	Agate
Кристи, Агата	Agatha Christie
Агрессия (психология)	Aggression
Бесчелюстные	Agnatha
Агностицизм	Agnosticism
Агора	Agora
Агорафобия	Agoraphobia
Агра	Agra
Сельское хозяйство	Agriculture
Категория:Сельское хозяйство	Agriculture
Агридженто	Agrigento
Айкидо	Aikido
Эн (департамент)	Ain
Военно-воздушные силы	Air force
Airbus	Airbus
Воздушное судно	Aircraft
Категория:Воздушные суда	Aircraft
Авианосец	Aircraft carrier
Авиакомпания	Airline
Аэропорт	Airport
Аякс	Ajax
Аякс Великий	Ajax (mythology)
AJAX	Ajax (programming)
Эхнатон	Akhenaten
Куросава, Акира	Akira Kurosawa
Аль Капоне	Al Capone
Гор, Альберт	Al Gore
Аль-Каида	Al-Qaeda
Алабама (штат)	Alabama
Категория:Алабама	Alabama
Шепард, Алан Бартлет	Alan Shepard
Тьюринг, Алан Матисон	Alan Turing
Аланин	Alanine
Аляска	Alaska
Категория:Аляска	Alaska
Берг, Альбан	Alban Berg
Албания	Albania
Категория:Албания	Albania
Олбани (Нью-Йорк)	Albany
Альбатросовые	Albatross
Альбедо	Albedo
Майкельсон, Альберт Абрахам	Albert Abraham Michelson
Камю, Альбер	Albert Camus
Эйнштейн, Альберт	Albert Einstein
Швейцер, Альберт	Albert Schweitzer
Шпеер, Альберт	Albert Speer
Альберта	Alberta
Категория:Альберта	Alberta
Альбинизм	Albinism
Альбит	Albite
Музыкальный альбом	Album
Альбукерке	Albuquerque
Алхимия	Alchemy
Категория:Алхимия	Alchemy
Спирты	Alcohol
Алкогольные напитки	Alcoholic beverage
Алкоголизм	Alcoholism
Альдебаран	Aldebaran
Альдегиды	Aldehyde
Ольха	Alder
Хаксли, Олдос Леонард	Aldous Huxley
Гиннесс, Алек	Alec Guinness
Солженицын, Александр Исаевич	Aleksandr Solzhenitsyn
Халеб	Aleppo
Алеутские острова	Aleutian Islands
Александр	Alexander
Флеминг, Александр	Alexander Fleming
Белл, Александер Грэм	Alexander Graham Bell
Гамильтон, Александр	Alexander Hamilton
Поуп, Александр	Alexander Pope
Пушкин, Александр Сергеевич	Alexander Pushkin
Александр Македонский	Alexander the Great
Дюма, Александр (отец)	Alexandre Dumas
Дюма, Александр (сын)	Alexandre Dumas
Александрия	Alexandria
Токвиль, Алексис	Alexis de Tocqueville
Дрейфус, Альфред	Alfred Dreyfus
Хичкок, Альфред	Alfred Hitchcock
Нобель, Альфред Бернхард	Alfred Nobel
Уайтхед, Альфред Норт	Alfred North Whitehead
Уоллес, Альфред Рассел	Alfred Russel Wallace
Альфред Великий	Alfred the Great
Водоросли	Algae
Алгебра	Algebra
Категория:Алгебра	Algebra
Алгебраическое число	Algebraic number
Алжир	Algeria
Категория:Алжир	Algeria
Алжир (город)	Algiers
Алгоритм	Algorithm
Альгамбра	Alhambra
Али ибн Абу Талиб	Ali
Щелочные металлы	Alkali metal
Алкалоид	Alkaloid
Алканы	Alkane
Алкены	Alkene
Алкины	Alkyne
Аллах	Allah
Аллегория	Allegory
Аллели	Allele
Гинзберг, Аллен	Allen Ginsberg
Аллергия	Allergy
Аллитерация	Alliteration
Аллофон	Allophone
Аллозавр	Allosaurus
Аллотропия	Allotropy
Сплав	Alloy
Альманах	Almanac
Алма-Ата	Almaty
Миндаль	Almond
Алоэ	Aloe
Альфа (буква)	Alpha (letter)
Альфа Центавра	Alpha Centauri
Альфа-частица	Alpha particle
Алфавит	Alphabet
Альпы	Alps
Категория:Альпы	Alps
Эльзас	Alsace
Альтаир	Altair
Алтарь	Altar
Алтайские горы	Altay Mountains
Переменный ток	Alternating current
Категория:Альтернативная медицина	Alternative medicine
Нетрадиционная медицина	Alternative medicine
Альтруизм	Altruism
Алюминий	Aluminium
Оксид алюминия	Aluminium oxide
Аалто, Алвaр	Alvar Aalto
Болезнь Альцгеймера	Alzheimer's disease
Мухомор красный	Amanita muscaria
Поганка бледная	Amanita phalloides
Амариллисовые	Amaryllidaceae
Аматэрасу	Amaterasu
Амазонка	Amazon River
Посол	Ambassador
Янтарь	Amber
Амвросий Медиоланский	Ambrose
Авогадро, Амедео	Amedeo Avogadro
Эрхарт, Амелия	Amelia Earhart
Американский бизон	American Bison
Барибал	American Black Bear
Гражданская война в США	American Civil War
Война за независимость США	American Revolutionary War
Американское Самоа	American Samoa
ASCII	American Standard Code for Information Interchange
Американский футбол	American football
Категория:Американский футбол	American football
Америций	Americium
Веспуччи, Америго	Amerigo Vespucci
Аметист	Amethyst
Амхарский язык	Amharic
Амиды	Amide
Амины	Amine
Аминокислоты	Amino acid
Амиши	Amish
Амман	Amman
Амперметр	Ammeter
Аммиак	Ammonia
Амнезия	Amnesia
Амнистия	Amnesty
Ампер	Ampere
Амфетамин	Amphetamine
Земноводные	Amphibian
Амфитеатр	Amphitheatre
Амфора	Amphora
Амплитуда	Amplitude
Амстердам	Amsterdam
Категория:Амстердам	Amsterdam
Амон	Amun
Амур (река)	Amur
Анабаптисты	Anabaptist
Анаграмма	Anagram
Анахайм (Калифорния)	Anaheim
Анальный секс	Anal sex
Аналитическая геометрия	Analytic geometry
Анархизм	Anarchism
Категория:Анархизм	Anarchism
Утиные	Anatidae
Франс, Анатоль	Anatole France
Категория:Анатомия	Anatomy
Анатомия	Anatomy
Анаксагор из Клазомен	Anaxagoras
Анаксимандр	Anaximander
Якорь	Anchor
Анкоридж	Anchorage
Древнегреческий язык	Ancient Greek
Категория:Древний мир	Ancient history
Андалусия	Andalusia
Андаманское море	Andaman Sea
Цельсий, Андерс	Anders Celsius
Анды	Andes
Андхра-Прадеш	Andhra Pradesh
Андорра	Andorra
Категория:Андорра	Andorra
Палладио, Андреа	Andrea Palladio
Сахаров, Андрей Дмитриевич	Andrei Sakharov
Тарковский, Андрей Арсеньевич	Andrei Tarkovsky
Джексон, Эндрю	Andrew Jackson
Джонсон, Эндрю	Andrew Johnson
Ллойд Уэббер, Эндрю	Andrew Lloyd Webber
Андроид	Android
Андромеда	Andromeda
Андромеда (созвездие)	Andromeda (constellation)
Андромеда (мифология)	Andromeda (mythology)
Галактика Андромеды	Andromeda Galaxy
Уорхол, Энди	Andy Warhol
Анемия	Anemia
Анемометр	Anemometer
Анестезия	Anesthesia
Ангара	Angara River
Ангел	Angel
Анхель	Angel Falls
Угол	Angle
Ангола	Angola
Категория:Ангола	Angola
Ангилья	Anguilla
Момент импульса	Angular momentum
Угловая скорость	Angular velocity
Аниций Манлий Торкват Северин Боэций	Anicius Manlius Severinus Boethius
Анилин	Aniline
Животные	Animal
Животноводство	Animal husbandry
Мультипликация	Animation
Аниме	Anime
Категория:Аниме	Anime
Анимизм	Animism
Анис	Anise
Анкара	Ankara
Аннаполис (Мэриленд)	Annapolis
Аннапурна	Annapurna
Болейн, Анна	Anne Boleyn
Кольчатые черви	Annelid
От Рождества Христова	Anno Domini
Благовещение Пресвятой Богородицы	Annunciation
Анод	Anode
Гусеобразные	Anseriformes
Муравьи	Ant
Антакья	Antakya
Анталья	Antalya
Антананариву	Antananarivo
Антарктида	Antarctica
Категория:Антарктида	Antarctica
Антарес	Antares
Антенна	Antenna (radio)
Хопкинс, Филип Энтони	Anthony Hopkins
Сибирская язва	Anthrax
Антропология	Anthropology
Категория:Антропология	Anthropology
Антропософия	Anthroposophy
Антибиотики	Antibiotic
Антитело	Antibody
Антихрист	Antichrist
Антициклон	Anticyclone
Антиген	Antigen
Антигона	Antigone
Антигуа и Барбуда	Antigua and Barbuda
Антивещество	Antimatter
Сурьма	Antimony
Антиоксиданты	Antioxidant
Антипапа	Antipope
Антисемитизм	Antisemitism
Категория:Антисемитизм	Antisemitism
Насос (созвездие)	Antlia
Антофагаста (город)	Antofagasta
Лавуазье, Антуан Лоран	Antoine Lavoisier
Брукнер, Антон	Anton Bruckner
Чехов, Антон Павлович	Anton Chekhov
Страдивари, Антонио	Antonio Stradivari
Вивальди, Антонио	Antonio Vivaldi
Антонимы	Antonym
Антверпен	Antwerp
Антверпен (провинция)	Antwerp (province)
Анубис	Anubis
Анус человека	Anus
Аорта	Aorta
Апачи	Apache
Апатит	Apatite
Человекообразные обезьяны	Ape
Афазия	Aphasia
Афоризм	Aphorism
Афродита	Aphrodite
Апиа	Apia
Зонтичные	Apiaceae
Апокриф (религия)	Apocrypha
Стрижеобразные	Apodiformes
Аполлон	Apollo
Аполлон (значения)	Apollo (disambiguation)
Категория:Программа «Аполлон»	Apollo program
Апоптоз	Apoptosis
Аппалачи	Appalachian Mountains
Аппендицит	Appendicitis
Яблоко	Apple
Прикладная математика	Applied mathematics
Абрикос	Apricot
Апрель	April
14 апреля	April 14
День смеха	April Fools' Day
Апсида (архитектура)	Apse
Апулия	Apulia
Райская Птица (созвездие)	Apus
Акаба	Aqaba
Царская водка	Aqua regia
Аквамарин	Aquamarine
Аквариум	Aquarium
Водолей (созвездие)	Aquarius (constellation)
Акведук	Aqueduct
Орёл (созвездие)	Aquila (constellation)
Аквитания (историческая область Франции)	Aquitaine
Жертвенник (созвездие)	Ara (constellation)
Арабы	Arab
Лига арабских государств	Arab League
Аравийский полуостров	Arabian Peninsula
Аравийское море	Arabian Sea
Арабское письмо	Arabic alphabet
Арабский язык	Arabic language
Ароидные	Araceae
Паукообразные	Arachnid
Арафурское море	Arafura Sea
Арагон	Aragon
Аральское море	Aral Sea
Хачатурян, Арам Ильич	Aram Khachaturian
Аркадия	Arcadia
Корелли, Арканджело	Arcangelo Corelli
Арка	Arch
Археология	Archaeology
Категория:Археология	Archaeology
Археоптерикс	Archaeopteryx
Архангелы	Archangel
Архиепископ	Archbishop
Архей	Archean
Архетип	Archetype
Архимед	Archimedes
Архипелаг	Archipelago
Архитектор	Architect
Архитектура	Architecture
Категория:Архитектура	Architecture
Архив	Archive
Архозавры	Archosaur
Арктика	Arctic
Полярный круг	Arctic Circle
Северный Ледовитый океан	Arctic Ocean
Песец	Arctic fox
Арденны (горы)	Ardennes
Арденны (департамент)	Ardennes (department)
Ар	Are
Площадь	Area
Пальмовые	Arecaceae
Арес	Ares
Аргентина	Argentina
Категория:Аргентина	Argentina
Аргон	Argon
Аргос (город)	Argos
Ария	Aria
Ариадна	Ariadne
Арианство	Arianism
Овен (созвездие)	Aries (constellation)
Аристарх Самосский	Aristarchus of Samos
Аристократия	Aristocracy
Аристофан	Aristophanes
Аристотель	Aristotle
Арифметика	Arithmetic
Категория:Арифметика	Arithmetic
Арифметическая прогрессия	Arithmetic progression
Арий	Arius
Аризона (штат)	Arizona
Категория:Аризона	Arizona
Ковчег завета	Ark of the Covenant
Арканзас	Arkansas
Категория:Арканзас	Arkansas
Арль	Arles
Броненосцы	Armadillo
Армения	Armenia
Категория:Армения	Armenia
Армянский язык	Armenian language
Арминий	Arminius
Доспехи	Armour
Армия	Army
Арнем	Arnhem
Арно (река)	Arno River
Шёнберг, Арнольд	Arnold Schoenberg
Арены	Aromatic hydrocarbon
Аркебуза	Arquebus
Аррас	Arras
Стрела	Arrow
Мышьяк	Arsenic
Искусство	Art
Ар-деко	Art Deco
Модерн	Art Nouveau
Категория:История искусства	Art history
История искусства	Art history
Артемида	Artemis
Полынь	Artemisia (plant)
Полынь горькая	Artemisia absinthium
Артерия	Artery
Артрит	Arthritis
Членистоногие	Arthropod
Комптон, Артур Холли	Arthur Compton
Конан Дойль, Артур	Arthur Conan Doyle
Миллер, Артур	Arthur Miller
Рембо, Жан Никола Артюр	Arthur Rimbaud
Шопенгауэр, Артур	Arthur Schopenhauer
Веллингтон, Артур Уэлсли	Arthur Wellesley
Искусственный интеллект	Artificial intelligence
Категория:Искусственный интеллект	Artificial intelligence
Артиллерия	Artillery
Категория:Артиллерия	Artillery
Деятель искусств	Artist
Категория:Искусство	Arts
Тосканини, Артуро	Arturo Toscanini
Аруба	Aruba
Категория:Аруба	Aruba
Асбест (материал)	Asbestos
Асклепий	Asclepius
Асексуальность	Asexuality
Асгард	Asgard
Пепельная среда	Ash Wednesday
Ашшурбанапал	Ashurbanipal
Азия	Asia
Категория:Азия	Asia
Асмэра	Asmara
Аспартам	Aspartame
Асфальт	Asphalt
Ацетилсалициловая кислота	Aspirin
Ассам	Assam
Язык ассемблера	Assembly language
АСЕАН	Association of Southeast Asian Nations
Ассирия	Assyria
Категория:Ассирия	Assyria
Астана	Astana
Астат	Astatine
Астровые	Asteraceae
Категория:Сложноцветные	Asteraceae
Астероид	Asteroid
Главный пояс астероидов	Asteroid belt
Астеносфера	Asthenosphere
Бронхиальная астма	Asthma
Астигматизм (медицина)	Astigmatism (eye)
Астрахань	Astrakhan
Космическая биология	Astrobiology
Астролябия	Astrolabe
Астрология	Astrology
Категория:Астрология	Astrology
Астрометрия	Astrometry
Космонавт	Astronaut
Астрономическая единица	Astronomical unit
Астрономия	Astronomy
Категория:Астрономия	Astronomy
Портал:Астрономия	Astronomy
Астрофизика	Astrophysics
Категория:Астрофизика	Astrophysics
Асуан	Aswan
Асимптота	Asymptote
ATM	Asynchronous Transfer Mode
Атакама	Atacama Desert
Атон	Aten
Категория:Атеизм	Atheism
Афина	Athena
Афины	Athens
Категория:Лёгкая атлетика	Athletics
Лёгкая атлетика	Athletics (track and field)
Атланта (Джорджия)	Atlanta
Атлантический океан	Atlantic Ocean
Категория:Атлантический океан	Atlantic Ocean
Атлантида	Atlantis
Атлас (значения)	Atlas (disambiguation)
Атлас (спутник)	Atlas (moon)
Атлант	Atlas (mythology)
Атлас (горы)	Atlas Mountains
Атмосфера (единица измерения)	Atmosphere (unit)
Атмосферное давление	Atmospheric pressure
Атолл	Atoll
Атом	Atom
Атомные часы	Atomic clock
Атомная масса	Atomic mass
Атомная единица массы	Atomic mass unit
Зарядовое число	Atomic number
Категория:Атомная физика	Atomic physics
Атрей	Atreus
Атропин	Atropine
Аттика	Attica
Аттила	Attila the Hun
Ау	Au
Окленд (Новая Зеландия)	Auckland
Аукцион	Auction
Август	August
1 августа	August 1
15 августа	August 15
6 августа	August 6
Стриндберг, Юхан Август	August Strindberg
Огаста (Мэн)	Augusta
Конт, Огюст	Auguste Comte
Роден, Франсуа Огюст Рене	Auguste Rodin
Аврелий Августин	Augustine of Hippo
Октавиан Август	Augustus
Возничий (созвездие)	Auriga (constellation)
Аврора (значения)	Aurora
Полярное сияние	Aurora (astronomy)
Остин (Техас)	Austin
Австралазия	Australasia
Австралия	Australia
Категория:Австралия	Australia
Австралийский доллар	Australian dollar
Австралопитек	Australopithecus
Австрия	Austria
Категория:Австрия	Austria
Австро-Венгрия	Austria-Hungary
Автор	Author
Авторитет	Authority
Аутизм	Autism
Автоспорт	Auto racing
Автобиография	Autobiography
Банкомат	Automated teller machine
Автомобиль	Automobile
Вегетативная нервная система	Autonomic nervous system
Продуценты	Autotroph
Осень	Autumn
Овернь	Auvergne (region)
Лавина	Avalanche
Авангард (искусство)	Avant-garde
Аватара	Avatar
Овёс	Avena
Аверроэс	Averroes
Авеста	Avesta
Категория:Авиация	Aviation
Авиация	Aviation
Авиценна	Avicenna
Авиньон	Avignon
Авокадо	Avocado
Закон Авогадро	Avogadro's law
Топор	Axe
Аксиома	Axiom
Аксон	Axon
Аятолла	Ayatollah
Рэнд, Айн	Ayn Rand
Азербайджан	Azerbaijan
Категория:Азербайджан	Azerbaijan
Азимут (геодезия)	Azimuth
Азорские острова	Azores
Ацтеки	Aztec
Азурит	Azurite
B (латиница)	B
BASIC	BASIC
Баал	Baal
Павианы	Baboon
Вавилон	Babylon
Нарды	Backgammon
Бактерии	Bacteria
Категория:Бактерии	Bacteria
Бактериофаги	Bacteriophage
Бактриан	Bactrian Camel
Бадминтон	Badminton
Море Баффина	Baffin Bay
Баффинова Земля	Baffin Island
Багдад	Baghdad
Категория:Багамы	Bahamas
Бахрейн	Bahrain
Категория:Бахрейн	Bahrain
Нижняя Калифорния (штат)	Baja California
Пахлава	Baklava
Баку	Baku
Балалайка	Balalaika
Бухгалтерский баланс	Balance sheet
Бальдр	Baldr
Балеарские острова	Balearic Islands
Беззубые киты	Baleen whale
Бали	Bali
Балканские горы	Balkan Mountains
Балканские войны	Balkan Wars
Балканский полуостров	Balkans
Игры с мячом	Ball
Балет	Ballet
Категория:Балет	Ballet
Баллистическая ракета	Ballistic missile
Шариковая ручка	Ballpoint pen
Балтийское море	Baltic Sea
Балтимор	Baltimore
Бамако	Bamako
Бамбуковые	Bamboo
Банан	Banana
Банановая республика	Banana republic
Бангалор	Bangalore
Бангкок	Bangkok
Бангладеш	Bangladesh
Категория:Бангладеш	Bangladesh
Банги	Bangui
Банжул	Banjul
Банк	Bank
Банкнота	Banknote
Категория:Банки	Banks
Крещение	Baptism
Баптизм	Baptist
Бар (единица измерения)	Bar (unit)
Барбадос	Barbados
Категория:Барбадос	Barbados
Варвары	Barbarian
Стрейзанд, Барбра	Barbra Streisand
Барселона	Barcelona
Категория:Барселона	Barcelona
Баренцево море	Barents Sea
Бари	Bari
Барий	Barium
Ячмень	Barley
Обыкновенная сипуха	Barn Owl
Деревенская ласточка	Barn Swallow
Барометр	Barometer
Барон	Baron
Барокко	Baroque
Барранкилья	Barranquilla
Баррель (американский нефтяной)	Barrel (unit)
Барион	Baryon
Базальт	Basalt
Химическое основание	Base (chemistry)
Бейсбол	Baseball
Категория:Бейсбол	Baseball
Базель	Basel
Bash	Bash
Базидиомицеты	Basidiomycota
Базилик душистый	Basil
Василий Великий	Basil of Caesarea
Базилика	Basilica
Базиликата	Basilicata
Василиск (византийский император)	Basiliscus
Василиск	Basilisk
Баскетбол	Basketball
Категория:Баскетбол	Basketball
Басра	Basra
Бас-гитара	Bass guitar
Нижняя Нормандия	Basse-Normandie
Бастер	Basseterre
Фагот	Bassoon
Баст	Bast (mythology)
Бастилия	Bastille
Рукокрылые	Bat
Бат	Bath
Бэтмен	Batman
Батон-Руж (Луизиана)	Baton Rouge
Категория:Рукокрылые	Bats
Батальон	Battalion
Батарея (электротехника)	Battery (electricity)
Битва под Аустерлицем	Battle of Austerlitz
Битва за Британию	Battle of Britain
Битва при Гастингсе	Battle of Hastings
Битва при Лепанто (1571)	Battle of Lepanto (1571)
Битва при Марафоне	Battle of Marathon
Битва за Мидуэй	Battle of Midway
Фермопильское сражение	Battle of Thermopylae
Трафальгарское сражение	Battle of Trafalgar
Битва при Вердене	Battle of Verdun
Битва при Ватерлоо	Battle of Waterloo
Арденнская операция	Battle of the Bulge
Битва на Сомме	Battle of the Somme
Линейный корабль	Battleship
Баухауз	Bauhaus
Боксит	Bauxite
Бавария	Bavaria
Категория:Бавария	Bavaria
Лавр благородный	Bay Laurel
Бенгальский залив	Bay of Bengal
Бискайский залив	Bay of Biscay
Bayer AG	Bayer
Штык	Bayonet
Байонна	Bayonne
Пляж (морской)	Beach
Бигль	Beagle
Клюв	Beak
Медвежьи	Bear
Море Бофорта	Beaufort Sea
Шкала Бофорта	Beaufort scale
Бобровые	Beaver
Бибоп	Bebop
Беккерель (единица измерения)	Becquerel
Кровать	Bed
Беда Достопочтенный	Bede
Бедуины	Bedouin
Пчела	Bee
Бук	Beech
Категория:Пчеловодство	Beekeeping
Пиво	Beer
Категория:Пиво	Beer
Жесткокрылые	Beetle
Бихевиоризм	Behaviorism
Пекин	Beijing
Бейрут	Beirut
Белоруссия	Belarus
Категория:Белоруссия	Belarus
Белфаст	Belfast
Бельгия	Belgium
Категория:Бельгия	Belgium
Белград	Belgrade
Велизарий	Belisarius
Белиз	Belize
Категория:Белиз	Belize
Колокол	Bell (instrument)
Беллерофонт	Bellerophon
Танец живота	Belly dance
Белу-Оризонти	Belo Horizonte
Белуха (млекопитающее)	Beluga
Бенилюкс	Benelux
Бенгалия	Bengal
Бенгази	Benghazi
Бенин	Benin
Категория:Бенин	Benin
Муссолини, Бенито	Benito Mussolini
Бриттен, Эдвард Бенджамен	Benjamin Britten
Дизраэли, Бенджамин	Benjamin Disraeli
Франклин, Бенджамин	Benjamin Franklin
Гаррисон, Бенджамин	Benjamin Harrison
Гудмен, Бенни	Benny Goodman
Беовульф	Beowulf
Берген	Bergen
Берингово море	Bering Sea
Берингов пролив	Bering Strait
Берклий	Berkelium
Беркшир	Berkshire
Берлин	Berlin
Категория:Берлин	Berlin
Бермуды	Bermuda
Категория:Бермудские острова	Bermuda
Бермудский треугольник	Bermuda Triangle
Бертолуччи, Бернардо	Bernardo Bertolucci
Берн	Berne
Риман, Бернхард	Bernhard Riemann
Ягода	Berry
Брехт, Бертольт	Bertolt Brecht
Рассел, Бертран Артур Уильям	Bertrand Russell
Берилл	Beryl
Бериллий	Beryllium
Бета (буква)	Beta (letter)
Бета-распад	Beta decay
Бетельгейзе	Betelgeuse
Вифлеем	Bethlehem
Дэвис, Бетт	Bette Davis
