Catalan	English
Brescia	Brescia
Brest	Brest
Brest-Litovsk	Brest
Bretanya	Bretagne
Maó (construcció)	Brick
Pont	Bridge
Categoria:Ponts	Bridges
Bridgetown	Bridgetown
Brigada	Brigade
Brighton	Brighton
Bríndisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Colúmbia Britànica	British Columbia
Imperi britànic	British Empire
Illes Britàniques	British Isles
Illes Verges Britàniques	British Virgin Islands
Categoria:Britànics	British people
Brno	Brno
Broadway	Broadway (New York City)
Bròquil	Broccoli
Brom	Bromine
Bronze	Bronze
Edat del bronze	Bronze Age
Brooklyn	Brooklyn
Pont de Brooklyn	Brooklyn Bridge
Marró	Brown
Ós bru	Brown Bear
Moviment brownià	Brownian motion
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Categoria:Brunei	Brunei
Brussel·les	Brussels
Pesta	Bubonic plague
Bucarest	Bucharest
Palau de Buckingham	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Fajol	Buckwheat
Budapest	Budapest
Buda (il·luminat)	Buddha
Budisme	Buddhism
Categoria:Budisme	Buddhism
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Bujumbura	Bujumbura
Bulgària	Bulgaria
Categoria:Bulgària	Bulgaria
Borinot	Bumblebee
Principi d'Arquimedes	Buoyancy
Burkina Faso	Burkina Faso
Categoria:Burkina Faso	Burkina Faso
Myanmar	Burma
Categoria:Myanmar	Burma
Burka	Burqa
Bursa	Bursa
Categoria:Burundi	Burundi
Autobús	Bus
Categoria:Empresaris	Businesspeople
Buster Keaton	Buster Keaton
Butà	Butane
Mantega	Butter
Papallona	Butterfly
Efecte papallona	Butterfly effect
Byte	Byte
Categoria:Imperi Bizantí	Byzantine Empire
C	C
Llenguatge C	C (programming language)
Clive Staples Lewis	C. S. Lewis
Cd	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
COBOL	COBOL
Cabaret	Cabaret
Cacau	Cacao
Memòria cau	Cache
Cactàcia	Cactus
Cadmi	Cadmium
Cadme	Cadmus
Burí (constel·lació)	Caelum
Cesi	Caesium
Cafeïna	Caffeine
El Caire	Cairo
Pastís	Cake
Calàbria	Calabria
Calais	Calais
Calcita	Calcite
Calci	Calcium
Carbonat de calci	Calcium carbonate
Calç	Calcium oxide
Calculadora	Calculator
Càlcul infinitesimal	Calculus
Calendari	Calendar
Califòrnia	California
Categoria:Califòrnia	California
Californi	Californium
Calígula	Caligula
Califa	Caliph
Cal·ligrafia	Calligraphy
Cal·líope	Calliope
Cal·listo (satèl·lit)	Callisto (moon)
Caloria	Calorie
Calvados	Calvados
Gòlgota	Calvary
Calvin Coolidge	Calvin Coolidge
Calvinisme	Calvinism
Calipso (mitologia)	Calypso (mythology)
Cambodja	Cambodia
Categoria:Cambodja	Cambodia
Cambrià	Cambrian
Cambridge	Cambridge
Camell	Camel
Camembert (formatge)	Camembert (cheese)
Càmera fotogràfica	Camera
Camerun	Cameroon
Categoria:Camerun	Cameroon
Campània	Campania
Canadà	Canada
Categoria:Canadà	Canada
Dòlar canadenc	Canadian dollar
Canal navegable	Canal
Illes Canàries	Canary Islands
Categoria:Illes Canàries	Canary Islands
Canberra	Canberra
Càncer	Cancer
Cranc (constel·lació)	Cancer (constellation)
Candela	Candela
Espelma	Candle
Cànids	Canidae
Ca Major	Canis Major
Ca Menor	Canis Minor
Cànnabis	Cannabis
Canes	Cannes
Canibalisme	Cannibalism
Canó	Cannon
Canoa	Canoe
Canopus	Canopus
Cantata	Cantata
Canterbury	Canterbury
Capacitància	Capacitance
Condensador	Capacitor
Cap d'Hornos	Cape Horn
Ciutat del Cap	Cape Town
Cap Verd	Cape Verde
Categoria:Cap Verd	Cape Verde
Cap de Bona Esperança	Cape of Good Hope
Capital	Capital
Capital (economia)	Capital (economics)
Pena de mort	Capital punishment
Capitalisme	Capitalism
Capadòcia	Cappadocia
Capricorn	Capricornus
Pebrotera	Capsicum
Caracal	Caracal
Caracas	Caracas
Quirat	Carat (mass)
Quirat	Carat (purity)
Caravaggio	Caravaggio
Glúcid	Carbohydrate
Carboni	Carbon
Diòxid de carboni	Carbon dioxide
Monòxid de carboni	Carbon monoxide
Àcid carbònic	Carbonic acid
Carbonífer	Carboniferous
Carburador	Carburetor
Joc de cartes	Card game
Cardiff	Cardiff
Cardenal	Cardinal (Catholicism)
Cardenal Richelieu	Cardinal Richelieu
Cardiologia	Cardiology
Categoria:Sistema circulatori	Cardiovascular system
Carib	Caribbean
Categoria:Carib	Caribbean
Mar Carib	Caribbean Sea
Caricatura	Caricature
Quilla (constel·lació)	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnaval	Carnival
Carnívor	Carnivora
Dieta carnívora	Carnivore
Planta carnívora	Carnivorous plant
Dinastia Carolíngia	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Carpats	Carpathian Mountains
Pastanaga	Carrot
Carson City	Carson City
Cartagena	Cartagena
Sistema de coordenades cartesianes	Cartesian coordinate system
Producte cartesià	Cartesian product
Cartago	Carthage
Cartografia	Cartography
Categoria:Cartografia	Cartography
Cary Grant	Cary Grant
Cariofil·lal	Caryophyllales
Casablanca	Casablanca
Anacard	Cashew
Casino	Casino
Mar Càspia	Caspian Sea
Cassandra	Cassandra
Cassiopea (constel·lació)	Cassiopeia (constellation)
Fosa	Cast iron
Castella	Castile (historical region)
Castell	Castle
Castries	Castries
Casus belli	Casus belli
Gat	Cat
Catalunya	Catalonia
Categoria:Catalunya	Catalonia
Catalitzador	Catalysis
Catafracta	Cataphract
Cataracta	Cataract
Catarisme	Catharism
Catedral	Cathedral
Caterina d'Aragó	Catherine of Aragon
Catolicisme	Catholicism
Vaca	Cattle
Esplugabous	Cattle Egret
Caucas	Caucasus
Categoria:Caucas	Caucasus
Coliflor	Cauliflower
Causalitat	Causality
Cavalleria	Cavalry
Cova	Cave
Illes Caiman	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedre	Cedar
Api	Celery
Equador celeste	Celestial equator
Categoria:Mecànica celeste	Celestial mechanics
Mecànica celeste	Celestial mechanics
Esfera celeste	Celestial sphere
Celibat	Celibacy
Cèl·lula	Cell (biology)
Membrana plasmàtica	Cell membrane
Nucli cel·lular	Cell nucleus
Paret cel·lular	Cell wall
Violoncel	Cello
Cel·lulosa	Cellulose
Grau Celsius	Celsius
Ciment	Cement
Cementiri	Cemetery
Cenozoic	Cenozoic
Cens de població	Census
Centaure (mitologia)	Centaur
Centaure (constel·lació)	Centaurus
centre de massa	Center of mass
Centímetre	Centimetre
Àfrica Central	Central Africa
República Centreafricana	Central African Republic
Categoria:República Centreafricana	Central African Republic
Amèrica Central	Central America
Categoria:Amèrica Central	Central America
Agència Central d'Intel·ligència	Central Intelligence Agency
Potències Centrals	Central Powers
Banc central	Central bank
Sistema nerviós central	Central nervous system
Unitat Central de Procés	Central processing unit
Centre (regió francesa)	Centre
Centríol	Centriole
Segle	Century
Cefalòpode	Cephalopod
Cefeu (constel·lació)	Cepheus (constellation)
Ceràmica	Ceramic
Cèrber	Cerberus
Cereal	Cereal
Cerebel	Cerebellum
Ceres	Ceres
(1) Ceres	Ceres (dwarf planet)
Ceri	Cerium
Cèsar Borja	Cesare Borgia
Cetaci	Cetacea
Balena (constel·lació)	Cetus
Txad	Chad
Categoria:Txad	Chad
Pinsà	Chaffinch
Cadira	Chair
Calcedònia (mineral)	Chalcedony
Camaleó (constel·lació)	Chamaeleon
Isard	Chamois
Xampany	Champagne (wine)
Xampanya-Ardenes	Champagne-Ardenne
Eurotúnel	Channel Tunnel
Caos (mitologia)	Chaos (mythology)
Caradriforme	Charadriiformes
Carlemany	Charlemagne
Charles Pierre Baudelaire	Charles Baudelaire
Charles Robert Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Sanders Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Carles II el Calb	Charles the Bald
Charleston	Charleston
Charles Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Caront (satèl·lit)	Charon (moon)
Caront (mitologia)	Charon (mythology)
Chartres	Chartres
Xovinisme	Chauvinism
Che Guevara	Che Guevara
Txetxènia	Chechnya
Categoria:Txetxènia	Chechnya
Formatge	Cheese
Guepard	Cheetah
Enllaç químic	Chemical bond
Compost químic	Chemical compound
Element químic	Chemical element
Enginyeria química	Chemical engineering
Fórmula química	Chemical formula
Reacció química	Chemical reaction
Química	Chemistry
Categoria:Química	Chemistry
Portal:Química	Chemistry
Quimioteràpia	Chemotherapy
Chennai	Chennai
Txernòbil	Chernobyl
Sílex	Chert
Escacs	Chess
Categoria:Escacs	Chess
Castanya	Chestnut
Xiclet	Chewing gum
Cheyenne (Wyoming)	Cheyenne
Khi	Chi (letter)
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Gall	Chicken
Varicel·la	Chickenpox
Cigró	Chickpea
Estat de Chihuahua	Chihuahua
Nen	Child
Xile	Chile
Categoria:Xile	Chile
Chimborazo	Chimborazo (volcano)
Quimera	Chimera (mythology)
Ximpanzé	Chimpanzee
Categoria:Xina	China
Xina	China
Quios	Chios
Quitina	Chitin
Clor	Chlorine
Cloroform	Chloroform
Clorofil·la	Chlorophyll
Cloroplast	Chloroplast
Xocolata	Chocolate
Cor (música)	Choir
Còlera	Cholera
Colesterol	Cholesterol
Condricti	Chondrichthyes
Chongqing	Chongqing
Acord (música)	Chord (music)
Cordat	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Cristianisme	Christianity
Categoria:Cristianisme	Christianity
Nadal	Christmas
Arbre de Nadal	Christmas tree
Cristòfor Colom	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Cromatina	Chromatin
Cromatografia	Chromatography
Crom	Chromium
Cromosoma	Chromosome
Chuck Berry	Chuck Berry
Mar dels Txuktxis	Chukchi Sea
Església (arquitectura)	Church (building)
Ciceró	Cicero
Ciconiforme	Ciconiiformes
Sidra	Cider
Cigarreta	Cigarette
La Ventafocs	Cinderella
Cinabri	Cinnabar
Canyeller	Cinnamon
Circe	Circe
Compàs (constel·lació)	Circinus
Cercle	Circle
Sistema cardiovascular	Circulatory system
Circumcisió	Circumcision
Circ	Circus
Cítric	Citrus
Ciutat estat	City-state
Guerra civil	Civil war
Civilització	Civilization
Clarinet	Clarinet
Clark Gable	Clark Gable
Classe	Class
Classe (biologia)	Class (biology)
Classe (informàtica)	Class (computer science)
Mecànica clàssica	Classical mechanics
Música clàssica	Classical music
Categoria:Música clàssica	Classical music
Classicisme	Classicism
Claude Monet	Claude Monet
Claude Elwood Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudi	Claudius
Clavícula	Clavicle
Argila	Clay
Clau (música)	Clef
Clergat	Clergy
Cleveland (Ohio)	Cleveland
Client-servidor	Client-server
Clima	Climate
Categoria:Clima	Climate
Canvi climàtic	Climate change
Climatologia	Climatology
Depressió	Clinical depression
Clio	Clio
Clítoris	Clitoris
Rellotge	Clock
Big Ben	Clock Tower
Clonació	Cloning
Categoria:Roba	Clothing
Roba	Clothing
Núvol	Cloud
Clavell d'espècia	Clove
Trèvol	Clover
Clodoveu	Clovis I
Cnidari	Cnidaria
Carbó	Coal
Costa	Coast
Escut d'armes	Coat of arms
Cobalt	Cobalt
Cocaïna	Cocaine
Marieta	Coccinellidae
Blatodeu	Cockroach
Còctel	Cocktail
Cocoter	Coconut
Illes Cocos	Cocos (Keeling) Islands
Codeïna	Codeine
Cafè	Coffee
Conyac	Cognac (drink)
Psicologia cognitiva	Cognitive psychology
Ciència cognitiva	Cognitive science
Moneda	Coin
Beguda de cola	Cola
Còlquida	Colchis
Guerra freda	Cold War
Categoria:Guerra freda	Cold War
Colin Powell	Colin Powell
Collage	Collage
Col·lagen	Collagen
Col·loide	Colloid
Colònia (Alemanya)	Cologne
Colòmbia	Colombia
Categoria:Colòmbia	Colombia
Coronel	Colonel
Color	Color
Daltonisme	Color blindness
Colorado	Colorado
Riu Colorado	Colorado River
Colosseu	Colosseum
Colós de Rodes	Colossus of Rhodes
Colúbrid	Colubrid
Coloma (constel·lació)	Columba (constellation)
Columbia	Columbia
Columbia (desambiguació)	Columbia
Riu Columbia	Columbia River
Universitat de Columbia	Columbia University
Colom (ocell)	Columbidae
Columbiformes	Columbiformes
Columbus	Columbus
Columbus (desambiguació)	Columbus
Cabellera de Berenice	Coma Berenices
Combustió	Combustion
Comèdia	Comedy
Jan Amós Comenius	Comenius
Cometa	Comet
Coma (puntuació)	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Categoria:Comerç	Commerce
Figuera	Common Fig
Refredat	Common cold
Comunitat d'Estats Independents	Commonwealth of Independent States
Commonwealth	Commonwealth of Nations
Categoria:Comunicacions	Communication
Comunicació	Communication
Comunisme	Communism
Categoria:Comunisme	Communism
Comores	Comoros
Categoria:Comores	Comoros
Disc compacte	Compact Disc
Companyia militar	Company (military unit)
Brúixola	Compass
Competència	Competition
Compilador	Compiler
CISC	Complex instruction set computer
Nombre complex	Complex number
Compositor	Composer
Compòsit	Composite material
Nombre compost	Composite number
Tomografia computada	Computed tomography
Ordinador	Computer
Monitor (informàtica)	Computer display
Fitxer informàtic	Computer file
Categoria:Infografia	Computer graphics
Maquinari	Computer hardware
Categoria:Maquinari	Computer hardware
Xarxa informàtica	Computer network
Programa informàtic	Computer program
Categoria:Programació	Computer programming
Informàtica	Computer science
Categoria:Informàtica	Computer science
Programari	Computer software
Virus informàtic	Computer virus
Disseny assistit per ordinador	Computer-aided design
Categoria:Informàtica	Computing
Conakry	Conakry
Concord (Nova Hampshire)	Concord
Formigó	Concrete
Preservatiu	Condom
Con	Cone (geometry)
Estats Confederats d'Amèrica	Confederate States of America
Confederació	Confederation
Penitència	Confession
Confirmació	Confirmation
Confucianisme	Confucianism
Confuci	Confucius
Congo	Congo
Riu Congo	Congo River
Cònica	Conic section
Connecticut	Connecticut
Teixit conjuntiu	Connective tissue
Conquistador	Conquistador
Conservació de l'energia	Conservation of energy
Conservadorisme	Conservatism
Consonant	Consonant
Constantí I el Gran	Constantine I
Constantinoble	Constantinople
Constel·lació	Constellation
Constitució	Constitution (political)
Cònsol romà	Consul
Consum	Consumption (economics)
Continent	Continent
Plataforma continental	Continental shelf
Contracte	Contract
Convecció	Convection
Cooperativa	Cooperative
Coordenada	Coordinate system
Temps Universal Coordinat	Coordinated Universal Time
Copenhaguen	Copenhagen
Coure	Copper
Drets d'autor	Copyright
Corn anglès	Cor anglais
Coraciforme	Coraciiformes
Corall	Coral
Mar del Corall	Coral Sea
Coriandre	Coriander
Corint	Corinth
Efecte de Coriolis	Coriolis effect
Cork	Cork (city)
Corb marí	Cormorant
Còrnia	Cornea
Universitat de Cornell	Cornell University
Cornualla	Cornwall
Corona Boreal	Corona Borealis
Corrosió	Corrosion
Còrsega	Corsica
Còrvid	Corvidae
Corb (constel·lació)	Corvus (constellation)
Radiació còsmica de fons	Cosmic microwave background radiation
Raigs còsmics	Cosmic ray
Cosmologia	Cosmology
Categoria:Cosmologia	Cosmology
Costa Rica	Costa Rica
Categoria:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotó	Cotton
Puma	Cougar
Coulomb	Coulomb
Llei de Coulomb	Coulomb's law
Concili de Calcedònia	Council of Chalcedon
Concili de Trento	Council of Trent
Contrapunt	Counterpoint
País	Country
Country	Country music
Enllaç covalent	Covalent bond
Coiot	Coyote
Cranc	Crab
Nebulosa del Cranc	Crab Nebula
Copa (constel·lació)	Crater (constellation)
Creacionisme	Creationism
Cremona	Cremona
Cretaci	Cretaceous
Creta	Crete
Criquet	Cricket
Grill	Cricket (insect)
Crimea	Crimea
Guerra de Crimea	Crimean War
Categoria:Dret penal	Criminal law
Dret penal	Criminal law
Criminologia	Criminology
Croàcia	Croatia
Categoria:Croàcia	Croatia
Cocodril	Crocodile
Cronos	Cronus
Creu	Cross
Producte vectorial	Cross product
Ballesta	Crossbow
Corvus (gènere)	Crow
Crucifixió	Crucifixion
Escorça terrestre	Crust (geology)
Crustaci	Crustacean
Creu del Sud	Crux
Criptografia	Cryptography
Categoria:Criptografia	Cryptography
Cristall	Crystal
Cristal·lografia	Crystallography
Categoria:Cristal·lografia	Crystallography
Ctenòfor	Ctenophore
Cuba	Cuba
Categoria:Cuba	Cuba
Cub	Cube
Metre cúbic	Cubic metre
Cubisme	Cubism
Cuculiforme	Cuculiformes
Cogombre	Cucumber
Cucurbitàcia	Cucurbitaceae
Revolució Cultural	Cultural Revolution
Cultura	Culture
Categoria:Cultura	Culture
Cumbria	Cumbria
Cumulus	Cumulus cloud
Cupressàcia	Cupressaceae
Curitiba	Curitiba
Curi	Curium
Curling	Curling
Categoria:Monedes	Currency
Moneda	Currency
Cusco	Cusco
Cian	Cyan
Cianur	Cyanide
Cianobacteri	Cyanobacteria
Cíbele	Cybele
Cibernètica	Cybernetics
Ciberpunk	Cyberpunk
Cíclades	Cyclades
Ciclisme	Cycling
Categoria:Ciclisme	Cycling
Ciclop	Cyclops
Cigne (constel·lació)	Cygnus (constellation)
Cilindre	Cylinder (geometry)
Ciperàcia	Cyperaceae
Ciprínid	Cyprinid
Cipriniforme	Cypriniformes
Xipre	Cyprus
Categoria:Xipre	Cyprus
Alfabet ciríl·lic	Cyrillic alphabet
Cir II el Gran	Cyrus the Great
Fibrosi quística	Cystic fibrosis
Citoplasma	Cytoplasm
Citosina	Cytosine
Citosquelet	Cytoskeleton
República Txeca	Czech Republic
Categoria:Txèquia	Czech Republic
Txecoslovàquia	Czechoslovakia
Categoria:Txecoslovàquia	Czechoslovakia
D	D
DDT	DDT
Àcid desoxiribonucleic	DNA
DVD	DVD
Teckel	Dachshund
Dadaisme	Dada
Dèdal	Daedalus
Daga	Dagger
Daguerrotip	Daguerreotype
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmàcia	Dalmatia
Presa d'aigua	Dam
Damasc	Damascus
Dansa	Dance
Categoria:Dansa	Dance
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
José Daniel Ortega Saavedra	Daniel Ortega
Corona danesa	Danish krone
Dante Alighieri	Dante Alighieri
Danubi	Danube
Dafne (nimfa)	Daphne
Dar es Salaam	Dar es Salaam
Dardanels	Dardanelles
Darfur	Darfur
Matèria fosca	Dark matter
Darmstadi	Darmstadtium
Darwin	Darwin
Base de dades	Database
Sistema de gestió de bases de dades	Database management system
Palmera datilera	Date Palm
Cas datiu	Dative case
Daugavpils	Daugavpils
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Copa Davis de tennis	Davis Cup
Dia	Day
De facto	De facto
Diaca	Deacon
Mar Morta	Dead Sea
Manuscrits de la mar Morta	Dead Sea scrolls
Belladona	Deadly nightshade
Mort	Death
Dècada	Decade
Desembre	December
31 de desembre	December 31
8 de desembre	December 8
Decibel	Decibel
Nombre decimal	Decimal
Deci (emperador romà)	Decius (emperor)
Anderson Luis de Souza	Deco
Deconstrucció	Deconstruction
Cérvol	Deer
Definició	Definition
Deflació	Deflation
Grau	Degree
Grau sexagesimal	Degree (angle)
Deimos (satèl·lit)	Deimos (moon)
Deisme	Deism
Delaware	Delaware
Delft	Delft
Delfos (ciutat)	Delphi
Dofí (constel·lació)	Delphinus
Delta (lletra)	Delta (letter)
Diluvi Universal	Deluge (mythology)
Demagògia	Demagogy
Demèter	Demeter
Democràcia	Democracy
Partit Demòcrata dels Estats Units	Democratic Party (United States)
República Democràtica del Congo	Democratic Republic of the Congo
Categoria:República Democràtica del Congo	Democratic Republic of the Congo
Demòcrit	Democritus
Demografia	Demography
Categoria:Demografia	Demography
Demòstenes de Peània	Demosthenes
Dengue	Dengue fever
Denis Diderot	Denis Diderot
Dinamarca	Denmark
Categoria:Dinamarca	Denmark
Dennis Gabor	Dennis Gabor
Densitat	Density
Càries dental	Dental caries
Categoria:Odontologia	Dentistry
Odontologia	Dentistry
Denver	Denver
Derivada	Derivative
Dermatologia	Dermatology
Des Moines	Des Moines
Desert	Desert
Categoria:Deserts	Deserts
Erasme de Rotterdam	Desiderius Erasmus
Disseny	Design
Categoria:Disseny	Design
Desmond Tutu	Desmond Tutu
Determinant (matemàtiques)	Determinant
Determinisme	Determinism
Detroit	Detroit
Deuteri	Deuterium
Deuteronomi	Deuteronomy
Psicologia del desenvolupament	Developmental psychology
Programa de control	Device driver
Devon	Devon
Devonià	Devonian
Rosada	Dew
Punt de rosada	Dew point
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Diabetis mellitus	Diabetes mellitus
Signe diacrític	Diacritic
Dialecte	Dialect
Dialèctica	Dialectic
Diàmetre	Diameter
Diamant	Diamond
Diana de Gal·les	Diana
Diana	Diana (mythology)
Diarrea	Diarrhea
Diàspora	Diaspora
Dau	Dice
Dictadura	Dictatorship
Diccionari	Dictionary
Diego Rivera	Diego Rivera
Gasoli	Diesel
Motor dièsel	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Equació diferencial	Differential equation
Difracció	Diffraction
Difusió	Diffusion
Digestió	Digestion
Categoria:Aparell digestiu	Digestive system
Sistema digital	Digital
Càmera digital	Digital camera
Fotografia digital	Digital photography
Línia Digital d'Abonat	Digital subscriber line
Dijon	Dijon
Anet	Dill
Dimensió	Dimension
Dingo	Dingo
Dinosaure	Dinosaur
Diòcesi	Diocese
Dioclecià	Diocletian
Díode	Diode
Dionís	Dionysus
Diftèria	Diphtheria
Diftong	Diphthong
Diplodocus	Diplodocus
Diplomàcia	Diplomacy
Categoria:Diplomàcia	Diplomacy
Dire Straits	Dire Straits
Corrent continu	Direct current
Categoria:Viquipèdia:Registre de pàgines de desambiguació	Disambiguation
Disc jockey	Disc jockey
Discriminació	Discrimination
Malaltia	Disease
Distància	Distance
Destil·lació	Distillation
Divergència	Divergence
Divisió	Division (mathematics)
Divisió militar	Division (military)
Divorci	Divorce
Dizzy Gillespie	Dizzy Gillespie
Categoria:Djibouti	Djibouti
Dimitri Mendeléiev	Dmitri Mendeleev
Dmitri Xostakòvitx	Dmitri Shostakovich
Dnièper	Dnieper River
Doctor de l'Església	Doctor of the Church
Dodecàedre	Dodecahedron
Dodecanès	Dodecanese
Dodo	Dodo
Dodoma	Dodoma
Gos	Dog
Dogma	Dogma
Doha	Doha
Dòlar	Dollar
Ovella Dolly	Dolly (sheep)
Dolmen	Dolmen
Dofí	Dolphin
Domini taxonòmic	Domain (biology)
Domini d'Internet	Domain name
Cúpula	Dome
Llibre de Domesday	Domesday Book
Domesticació	Domestication
Dominica	Dominica
Categoria:Dominica	Dominica
Orde dels Predicadors	Dominican Order
República Dominicana	Dominican Republic
Categoria:República Dominicana	Dominican Republic
Domicià	Domitian
El Quixot	Don Quixote
Don	Don River (Russia)
Ànec Donald	Donald Duck
Donatello	Donatello
Bramante	Donato Bramante
Donetsk	Donetsk
Ase	Donkey
Porta	Door
Dopamina	Dopamine
Efecte Doppler	Doppler effect
Orada (constel·lació)	Dorado
Dòric	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Contrabaix	Double bass
Dover (Estats Units)	Dover
Dover (Anglaterra)	Dover
Síndrome de Down	Down syndrome
Dragó (constel·lació)	Draco (constellation)
Dràcula	Dracula
Drac	Dragon
Drama	Drama
Dames	Draughts
Somni	Dream
Dresden	Dresden
Beguda	Drink
Dromedari	Dromedary
Sequera	Drought
Addicció	Drug addiction
Druida	Druid
Tambor	Drum
Dualisme	Dualism
Dualisme	Dualism (philosophy of mind)
Dubai	Dubai
Dublín	Dublin
Dubni	Dubnium
Dubrovnik	Dubrovnik
Ànec	Duck
Dugong	Dugong
Duc	Duke
Duke Ellington	Duke Ellington
Universitat de Duke	Duke University
Duna	Dune
Dunkerque	Dunkirk
Duodè	Duodenum
Durban	Durban
Duixanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Categoria:Neerlandesos	Dutch people
Dwight David Eisenhower	Dwight D. Eisenhower
Dinàmica	Dynamics (physics)
Dinamita	Dynamite
Dinastia	Dynasty
Dislèxia	Dyslexia
Disprosi	Dysprosium
Distopia	Dystopia
E	E
Nombre e	E (mathematical constant)
Correu electrònic	E-mail
Ernst Theodor Amadeus Hoffmann	E. T. A. Hoffmann
Euskadi Ta Askatasuna	ETA
Àguila	Eagle
Oïda	Ear
Foca	Earless seal
Terra	Earth
Ciències de la Terra	Earth science
Terratrèmol	Earthquake
Est	East
Àfrica Oriental	East Africa
Mar de la Xina Oriental	East China Sea
República Democràtica Alemanya	East Germany
East Sussex	East Sussex
Timor Oriental	East Timor
Categoria:Timor Oriental	East Timor
Pasqua (cristianisme)	Easter
Ortodòxia de l'est	Eastern Orthodox Church
Ebre	Ebro
Excentricitat	Eccentricity (mathematics)
Eclesiastès	Ecclesiastes
Equidna	Echidna
Equinoderm	Echinoderm
Eclipsi	Eclipse
Eclíptica	Ecliptic
Nínxol ecològic	Ecological niche
Ecologia	Ecology
Categoria:Ecologia	Ecology
Econometria	Econometrics
Economia	Economics
Categoria:Economia	Economics
Economia	Economy
Ecosistema	Ecosystem
Equador	Ecuador
Categoria:Equador	Ecuador
Concili ecumènic	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edimburg	Edinburgh
Adrianòpolis	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Percival Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Educació	Education
Categoria:Educació	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Ou (biologia)	Egg (biology)
Albergínia	Eggplant
Egipte	Egypt
Categoria:Egipte	Egypt
Lliura egípcia	Egyptian pound
Egiptologia	Egyptology
Torre Eiffel	Eiffel Tower
Eindhoven	Eindhoven
Einsteini	Einsteinium
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
Categoria:El Salvador	El Salvador
Regne d'Elam	Elam
Elba (riu)	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Elecció	Election
Electra	Electra
Càrrega elèctrica	Electric charge
Corrent elèctric	Electric current
Camp elèctric	Electric field
Guitarra elèctrica	Electric guitar
Motor elèctric	Electric motor
Categoria:Enginyeria elèctrica	Electrical engineering
Electrotècnia	Electrical engineering
Resistència elèctrica (propietat)	Electrical resistance
Electricitat	Electricity
Categoria:Electricitat	Electricity
Electroquímica	Electrochemistry
Categoria:Electroquímica	Electrochemistry
Electròlisi	Electrolysis
Electròlit	Electrolyte
Radiació electromagnètica	Electromagnetic radiation
Espectre	Electromagnetic spectrum
Electromagnetisme	Electromagnetism
Categoria:Electromagnetisme	Electromagnetism
Electró	Electron
Microscopi electrònic	Electron microscope
Electronegativitat	Electronegativity
Electrònica	Electronics
Categoria:Electrònica	Electronics
Element	Element
Partícula elemental	Elementary particle
Elefant	Elephant
Elf	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elies	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
El·lipse	Ellipse
Om	Elm
Elvis Presley	Elvis Presley
Embrió	Embryo
Embriologia	Embryology
Maragda	Emerald
Emília-Romanya	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
