English	Marathi
Charlie Chaplin	चार्ली चॅप्लिन
Cheetah	चित्ता
Chemical bond	रासायनिक बंध
Chennai	चेन्नई
Chess	बुद्धिबळ
Chess	वर्ग:बुद्धिबळ
Chester A. Arthur	चेस्टर ए. आर्थर
Chicago	शिकागो
Chicken	कोंबडी
Chihuahua	शिवावा
Childbirth	प्रसूती
Chile	चिली
Chile	वर्ग:चिली
China	वर्ग:चीन
Christchurch	क्राइस्टचर्च
Christianity	ख्रिश्चन धर्म
Christopher Columbus	ख्रिस्तोफर कोलंबस
Classical mechanics	अभिजात यामिक
Claude Monet	क्लोद मोने
Claudius	क्लॉडियस
Clement Attlee	क्लेमेंट ऍटली
Cleveland	क्लीव्हलँड
Cobalt	कोबाल्ट
Coffee	कॉफी
Cologne	क्योल्न
Colombo	कोलंबो
Color	रंग
Colorado	कॉलोराडो
Colorado	वर्ग:कॉलोराडो
Colorado River	कॉलोराडो नदी
Columbia River	कोलंबिया नदी
Comet	धूमकेतू
Commonwealth of Nations	राष्ट्रकुल परिषद
Communism	साम्यवाद
Communism	वर्ग:साम्यवाद
Comoros	कोमोरोस
Comoros	वर्ग:कोमोरोस
Compass	होकायंत्र
Computer	संगणक विज्ञान
Congo River	काँगो नदी
Connecticut	कनेक्टिकट
Connecticut	वर्ग:कनेक्टिकट
Copenhagen	कोपनहेगन
Copper	तांबे
Crane (bird)	क्रौंच
Cricket	क्रिकेट
Croatia	वर्ग:क्रोएशिया
Curling	कर्लिंग
Cyprus	वर्ग:सायप्रस
Cyrus the Great	सायरस द ग्रेट
Czech Republic	चेक प्रजासत्ताक
Czech Republic	वर्ग:चेक प्रजासत्ताक
D. H. Lawrence	डी.एच. लॉरेन्स
Dalai Lama	दलाई लामा
Dance	नृत्य
Danish krone	डॅनिश क्रोन
Darjeeling	दार्जीलिंग
Davis Cup	डेव्हिस करंडक
Death	मृत्यू
December	डिसेंबर
December 31	डिसेंबर ३१
December 8	डिसेंबर ८
Deco	डेको
Deer	सारंग हरीण
Delaware	डेलावेर
Delaware	वर्ग:डेलावेर
Delhi	दिल्ली
Democracy	लोकशाही
Denmark	डेन्मार्क
Denmark	वर्ग:डेन्मार्क
Dennis Gabor	डेनिस गॅबॉर
Denver	डेन्व्हर
Desert	वाळवंट
Detroit	डेट्रॉईट
Dhaka	ढाका
Diameter	व्यास
Diamond	हिरा
Dimension	मिती
Dire Straits	डायर स्ट्रेट्स
Dmitri Mendeleev	दिमित्री मेंडेलीव
Dnieper River	ड्नाइपर नदी
Dodoma	डोडोमा
Dog	कुत्रा
Doha	दोहा
Dominican Republic	डॉमिनिकन प्रजासत्ताक
Dominican Republic	वर्ग:डॉमिनिकन प्रजासत्ताक
Domitian	डोमिशियन
Dortmund	डॉर्टमुंड
Dresden	ड्रेस्डेन
Dubai	दुबई
Dublin	डब्लिन
Dubnium	डब्नियम
Dwight D. Eisenhower	ड्वाइट डी. आयझेनहॉवर
E-mail	ईमेल
Ear	कान
Earth	पृथ्वी
East Germany	पूर्व जर्मनी
East Timor	पूर्व तिमोर
East Timor	वर्ग:पूर्व तिमोर
Eclipse	ग्रहण
Economics	अर्थशास्त्र
Ecuador	इक्वेडोर
Ecuador	वर्ग:इक्वेडोर
Edgar Allan Poe	एडगर ऍलन पो
Edgar Degas	एदगा दगा
Edgar Rice Burroughs	एडगर राइस बरोज
Edinburgh	एडिनबरा
Edmonton	एडमंटन
Edmund Hillary	एडमंड हिलरी
Eduard Buchner	एडुआर्ड बुखनेर
Education	शिक्षण
Edward Jenner	एडवर्ड जेनर
Egypt	इजिप्त
Egypt	वर्ग:इजिप्त
El Salvador	एल साल्वाडोर
El Salvador	वर्ग:एल साल्वाडोर
Electricity	विद्युत
Electron	विजाणू
Elizabeth Taylor	एलिझाबेथ टेलर
Energy	ऊर्जा
Engineering	अभियांत्रिकी
England	इंग्लंड
English language	इंग्लिश भाषा
Enrico Fermi	एन्रिको फर्मी
Equation	समीकरण
Equator	विषुववृत्त
Eritrea	वर्ग:एरिट्रिया
Ernest Hemingway	अर्नेस्ट हेमिंग्वे
Estonia	वर्ग:एस्टोनिया
Ethiopia	इथियोपिया
Eucalyptus	निलगिरी, वनस्पती
Euphrates	युफ्रेटिस नदी
Euro	युरो
Europa (moon)	युरोपा उपग्रह
Europe	युरोप
European Union	युरोपियन संघ
February	फेब्रुवारी
February 12	फेब्रुवारी १२
February 14	फेब्रुवारी १४
February 2	फेब्रुवारी २
February 22	फेब्रुवारी २२
February 29	फेब्रुवारी २९
Feces	विष्ठा
Felidae	मार्जार कुळ
Fermium	फर्मियम
Fertilizer	खते
Fidel Castro	फिदेल कास्त्रो
Field hockey	हॉकी
Finland	फिनलंड
Finland	वर्ग:फिनलंड
Flamingo	रोहित (पक्षी)
Flood	पूर
Florence	फ्लोरेन्स
Florida	फ्लोरिडा
Florida	वर्ग:फ्लोरिडा
Food	अन्न
Football (soccer)	फुटबॉल
France	फ्रांस
France	वर्ग:फ्रान्स
Francisco Goya	फ्रांसिस्को गोया
Francisco Pizarro	फ्रांसिस्को पिझारो
Frankfurt	फ्रांकफुर्ट
Franz Kafka	फ्रांत्स काफ्का
Frederick II	फ्रेडरिक दुसरा, पवित्र रोमन सम्राट
French Revolution	फ्रेंच राज्यक्रांती
French franc	फ्रेंच फ्रँक
Fundamental	वर्ग:Categories
Fyodor Dostoevsky	फ्योदर दस्तयेवस्की
Galileo Galilei	गॅलिलियो
Gamal Abdel Nasser	अब्दल गमाल नासर
Ganges	गंगा नदी
Ganymede (moon)	गॅनिमीड उपग्रह
Gas constant	वैश्विक वायू एकक
Gaza	गाझा
Geneva	जिनिव्हा
Geoffrey Chaucer	जेफरी चॉसर
Geography	भूगोल
George Bernard Shaw	जॉर्ज बर्नार्ड शॉ
George Harrison	जॉर्ज हॅरिसन
George Orwell	जॉर्ज ओरवेल
George W. Bush	जॉर्ज डब्ल्यू. बुश
George Washington	जॉर्ज वॉशिंग्टन
Georgia (U.S. state)	जॉर्जिया
Georgia (country)	वर्ग:जॉर्जिया
Gerald Ford	जेराल्ड फोर्ड
German language	जर्मन भाषा
German mark	जर्मन मार्क
Germany	जर्मनी
Germany	वर्ग:जर्मनी
Ghana	घाना
Ghana	वर्ग:घाना
Gibraltar	जिब्राल्टर
Girolamo Savonarola	गिरोलामो साव्होनारोला
Glasgow	ग्लासगो
Goa	गोवा
Gold	सोने
Golda Meir	गोल्डा मायर
Google	गूगल
Gottlieb Daimler	गोटलिब डाइमलर
Grace Kelly	ग्रेस केली
Grammar	मराठी व्याकरण
Greece	ग्रीस
Greece	वर्ग:ग्रीस
Green	हिरवा
Greenhouse effect	हरितगृह परिणाम
Grenoble	ग्रेनोबल
Guam	गुआम
Guatemala City	ग्वाटेमाला सिटी
Guglielmo Marconi	गुलियेल्मो मार्कोनी
Gujarat	गुजरात
Gulf of Mexico	मेक्सिकोचे आखात
Gustav Klimt	गुस्टाफ क्लिम्ट
Gustav Ludwig Hertz	गुस्ताव लुडविग हेर्ट्झ
H. G. Wells	एच.जी. वेल्स
HIV	एच.आय.व्ही.
Hadith	हादिथ
Hafnium	हाफ्नियम
Haiti	हैती
Haiti	वर्ग:हैती
Hamburg	हांबुर्ग
Han Dynasty	हान राजवंश
Hannah Arendt	हॅना अरेंट
Hanover	हॅनॉव्हर
Hanseatic League	हॅन्सियाटिक लीग
Hanuman	हनुमान
Hawaii	हवाई
Head	डोके
Health	आरोग्य
Heinrich Hertz	हाइनरिक हेर्ट्झ
Helium	हेलियम
Helmut Schmidt	हेल्मुट श्मिट
Helsinki	हेलसिंकी
Herat	हेरत
Herbert Hoover	हर्बर्ट हूवर
Hermann Hesse	हेर्मान हेस
Hesse	हेसेन
Himalayas	हिमालय
Hindu Kush	हिंदुकुश
Hinduism	हिंदू धर्म
Hinduism	वर्ग:हिंदू धर्म
Hispaniola	हिस्पॅनियोला
History	इतिहास
Ho Chi Minh City	हो चि मिन्ह सिटी
Hollywood	हॉलिवूड
Holmium	होल्मियम
Holy Roman Empire	पवित्र रोमन साम्राज्य
Homer	होमर
Homo erectus	आदिमानव
Honduras	होन्डुरास
Honey	मध
Hong Kong	हाँगकाँग
Horatio Nelson	होरेशियो नेल्सन
Horse	घोडा
Hosni Mubarak	होस्नी मुबारक
Houston	ह्यूस्टन
Human	मानव
Hungary	हंगेरी
Hungary	वर्ग:हंगेरी
Hydrogen	हायड्रोजन
Ian Fleming	इयान फ्लेमिंग
Iberian Peninsula	इबेरिया द्वीपकल्प
Ice hockey	आइस हॉकी
Iceberg	हिमनग
Iceland	आइसलँड
Idaho	आयडाहो
Idaho	वर्ग:आयडाहो
Igloo	ईग्‍लू
Iliad	इलियड
Illinois	इलिनॉय
Illinois	वर्ग:इलिनॉय
Incheon	इंचेवॉन
India	भारत
India	वर्ग:भारत
Indian Ocean	हिंदी महासागर
Indiana	इंडियाना
Indiana	वर्ग:इंडियाना
Indira Gandhi	इंदिरा गांधी
Indium	इंडियम
Indonesia	इंडोनेशिया
Indonesia	वर्ग:इंडोनेशिया
Indra	इंद्र
Indus River	सिंधु नदी
Infantry	पायदळ सैनिक
Infinity	अनंत
Innsbruck	इन्सब्रुक
Integer	पूर्ण संख्या
International System of Units	आंतरराष्ट्रीय गणना पद्धती
Internet	इंटरनेट
Io (moon)	आयो उपग्रह
Iodine	आयोडिन
Ionia	आयोनिया
Iowa	आयोवा
Iowa	वर्ग:आयोवा
Iran	इराण
Iran	वर्ग:इराण
Iraq	इराक
Iraq	वर्ग:इराक
Iridium	इरिडियम
Iron	लोखंड
Irrational number	अपरिमेय संख्या
Isaac Newton	आयझॅक न्यूटन
Islam	इस्लाम धर्म
Islamabad	इस्लामाबाद
Israel	इस्रायल
Israel	वर्ग:इस्रायल
Istanbul	इस्तंबूल
Italy	इटली
Italy	वर्ग:इटली
Ithaca	इथाका
Ivan Lendl	इव्हान लेंडल
Jacksonville	जॅक्सनविल
Jacques Cartier	जॉक कार्टिये
Jainism	जैन धर्म
Jakarta	जकार्ता
Jamaica	जमैका
Jamaica	वर्ग:जमैका
James A. Garfield	जेम्स गारफील्ड
James Bond	जेम्स बॉँड
James Joyce	जेम्स जॉइस
James K. Polk	जेम्स पोक
James Madison	जेम्स मॅडिसन
James Monroe	जेम्स मन्रो
James Prescott Joule	जेम्स प्रेस्कॉट जूल
James Watt	जेम्स वॅट
Jammu and Kashmir	जम्मू आणि काश्मीर
Jane Austen	जेन ऑस्टेन
Jane Fonda	जेन फोंडा
January	जानेवारी
January 1	जानेवारी १
January 19	जानेवारी १९
January 20	जानेवारी २०
January 6	जानेवारी ६
Japan	जपान
Japan	वर्ग:जपान
Jawaharlal Nehru	जवाहरलाल नेहरू
Jean-Paul Sartre	ज्यॉँ-पॉल सार्त्र
Jew	ज्यू
Jimi Hendrix	जिमी हेंड्रिक्स
Jimmy Carter	जिमी कार्टर
Joan of Arc	जोन ऑफ आर्क
Johann Bernoulli	योहान बर्नोली
Johann Wolfgang von Goethe	योहान वोल्फगांग फॉन ग्यॉटे
Johannes Diderik van der Waals	योहान्स डिडरिक व्हान डेर वाल्स
Johannes Kepler	योहानेस केप्लर
John Adams	जॉन ऍडम्स
John Herschel	जॉन हर्षल
John Lennon	जॉन लेनन
John Major	जॉन मेजर
John Milton	जॉन मिल्टन
John Quincy Adams	जॉन क्विन्सी ऍडम्स
John Ruskin	जॉन रस्किन
John Steinbeck	जॉन स्टाइनबेक
John Tyler	जॉन टायलर
John von Neumann	जॉन फोन न्यूमन
Johnny Cash	जॉनी कॅश
Jordan	जॉर्डन
Jordan	वर्ग:जॉर्डन
Joseph McCarthy	जोसेफ मॅककार्थी
Joseph Priestley	जोसेफ प्रिस्टली
Joseph Stalin	जोसेफ स्टालिन
Judea	जुदेआ
Jules Verne	जुल्स व्हर्न
Julian the Apostate	ज्युलियन, रोमन सम्राट
July	जुलै
July 1	जुलै १
July 4	जुलै ४
June	जून
June 14	जून १४
June 21	जून २१
June 23	जून २३
June 24	जून २४
June 29	जून २९
June 3	जून ३
Jupiter	गुरू ग्रह
K2	के२
Kabul	काबुल
Kampala	कंपाला
Kandahar	कंदहार
Kansas	कॅन्सस
Kansas	वर्ग:कॅन्सस
Kansas City	कॅन्सस सिटी, मिसूरी
Karachi	कराची
Karl Marx	कार्ल मार्क्स
Karnataka	कर्नाटक
Katharine Hepburn	कॅथरीन हेपबर्न
Kathmandu	काठमांडू
Katowice	केटोविच
Kazakhstan	कझाकस्तान
Kazakhstan	वर्ग:कझाकस्तान
Kentucky	केंटकी
Kentucky	वर्ग:केंटकी
Kenya	केन्या
Kharkiv	खार्कीव्ह
Kiev	क्यीव
Kilogram	किलोग्रॅम
Kinetic energy	गतीज ऊर्जा
King (chess)	राजा (बुद्धिबळ)
Kingston	किंग्स्टन
Kiribati	किरिबाटी
Kiribati	वर्ग:किरिबाटी
Knesset	क्नेसेट
Kobe	कोबे
Kolkata	कोलकाता
Kosovo	वर्ग:कोसोव्हो
Krishna	कृष्ण
Kuala Lumpur	क्वालालंपूर
Kublai Khan	कुब्लाई खान
Kuwait	कुवैत
Kuwait	वर्ग:कुवैत
Lakshmi	लक्ष्मी
Language	भाषा
Laptop	लॅपटॉप
Latin	लॅटिन भाषा
Latitude	अक्षांश
Latvia	लात्व्हिया
Latvia	वर्ग:लात्व्हिया
Lead	शिसे
League of Nations	लीग ऑफ नेशन्स
Lebanon	वर्ग:लेबेनॉन
Leonardo da Vinci	लिओनार्दो दा विंची
Leonid Brezhnev	लियोनिद ब्रेझनेव्ह
Leopard	बिबट्या
Lesotho	वर्ग:लेसोथो
Letter (alphabet)	अक्षर
Liberia	लायबेरिया
Liberia	वर्ग:लायबेरिया
Libya	वर्ग:लिब्या
Liechtenstein	लिश्टनस्टाइन
Light	प्रकाश
Lima	लिमा
Lincoln	लिंकन, नेब्रास्का
Linux	लिनक्स
Lion	सिंह
Lisbon	लिस्बन
Lithography	लिथोग्राफ
Lithuania	लिथुएनिया
Lithuania	वर्ग:लिथुएनिया
London	लंडन
London	वर्ग:लंडन
Los Angeles	लॉस एंजेल्स
Louisiana	लुईझियाना
Luanda	लुआंडा
Ludwig Boltzmann	लुडविग बोल्ट्झमन
Luxembourg	लक्झेंबर्ग
Lyon	ल्योन
Madonna (entertainer)	मॅडोना
Madrid	माद्रिद
Magna Carta	मॅग्ना कार्टा
Maharashtra	महाराष्ट्र
Mahatma Gandhi	महात्मा मोहनदास करमचंद गांधी
Main	माइन नदी
Maine	मेन
Maine	वर्ग:मेन
Malawi	वर्ग:मलावी
Malaysia	मलेशिया
Malaysia	वर्ग:मलेशिया
Maldives	मालदीव
Mali	माली
Mallard	मलार्ड बदक
Mammal	सस्तन प्राणी
Manchester	मँचेस्टर
Mango	आंबा
Manipur	मणिपूर
Manitoba	मॅनिटोबा
Mannheim	मानहाइम
March	मार्च
March 17	मार्च १७
March 19	मार्च १९
March 2	मार्च २
March 25	मार्च २५
Margaret Thatcher	मार्गारेट थॅचर
Marie Curie	मेरी क्युरी
Mark Twain	मार्क ट्वेन
Marseille	मार्सेल
Martina Navratilova	मार्टीना नवरातिलोव्हा
Marxism	मार्क्सिझम-लेनिनिझम
Maryland	मेरीलँड
Maryland	वर्ग:मेरीलँड
Massachusetts	मॅसेच्युसेट्स
Mathematics	गणित
Mauritius	मॉरिशियस
Mauritius	वर्ग:मॉरिशियस
Max Planck	माक्स प्लांक
May	मे
May 1	मे १
May 24	मे २४
