English	Swedish
A (Cyrillic)	А
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	Algol (programspråk)
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aachen
Aalborg	Ålborg
Aar	Aare
Aardvark	Jordsvin
Aarhus	Århus
Aaron	Aron
Abacus	Abakus
Abadan	Abadan
Abbot	Abbot
Abbreviation	Förkortning
Abdomen	Buken
Abel Tasman	Abel Tasman
Abelian group	Abelsk grupp
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abchazien
Abkhazia	Kategori:Abchazien
Abolitionism	Abolitionism
Abortion	Abort
Abraham	Abraham (patriark)
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolut magnitud
Absolute value	Absolutbelopp
Absolute zero	Absoluta nollpunkten
Abstract art	Abstrakt konst
Abstract expressionism	Abstrakt expressionism
Abstraction	Abstraktion
Abu Dhabi	Abu Dhabi
Abu Dhabi (emirate)	Abu Dhabi
Abuja	Abuja
Acacia	Akacior
Academy Award	Oscar
Acapulco	Acapulco
Acceleration	Acceleration
Accipitridae	Hökartade rovfåglar
Accordion	Dragspel
Accountancy	Redovisning
Accra	Accra
Accusative case	Ackusativ
Acetaldehyde	Acetaldehyd
Acetic acid	Ättiksyra
Acetone	Aceton
Acetylcholine	Acetylkolin
Acetylene	Etyn
Acheron	Acheron
Achillea millefolium	Röllika
Achilles	Akilles
Acid	Syra
Acid rain	Surt regn
Acne vulgaris	Akne
Aconcagua	Aconcagua
Acorn	Ekollon
Acoustics	Akustik
Acoustics	Kategori:Akustik
Acre	Acre
Acre	Akko
Acre (state)	Acre (delstat)
Acropolis	Akropolis
Actinide	Aktinoider
Actinium	Aktinium
Actor	Skådespelare
Acts of the Apostles	Apostlagärningarna
Acupuncture	Akupunktur
Ad hominem	Ad hominem-argument
Ada (programming language)	Ada (programspråk)
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Apbrödsträd
Addiction	Beroende
Addis Ababa	Addis Abeba
Addition	Addition
Adelaide	Adelaide
Aden	Aden
Adenine	Adenin
Adenosine triphosphate	Adenosintrifosfat
Adiabatic process	Adiabatisk process
Adige	Adige
Adjective	Adjektiv
Admiral	Amiral
Adolescence	Adolescens
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoption	Adoption
Adrenal gland	Binjure
Adriatic Sea	Adriatiska havet
Adsorption	Adsorption
Adult	Vuxen
Advent	Advent
Adverb	Adverb
Advertising	Reklam
Aegean Sea	Egeiska havet
Aeneas	Aeneas
Aeneid	Aeneiden
Aeolus	Aiolos
Aerodynamics	Aerodynamik
Aerosol	Aerosol
Aeschylus	Aischylos
Aesop	Aisopos
Aesthetics	Estetik
Affix	Affix
Afghanistan	Afghanistan
Afghanistan	Kategori:Afghanistan
Africa	Afrika
Africa	Kategori:Afrika
African American	Afroamerikaner
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar	Agar
Agate	Agat
Agatha Christie	Agatha Christie
Agnatha	Käklösa fiskar
Agnosticism	Agnosticism
Agora	Agora
Agoraphobia	Agorafobi
Agra	Agra
Agriculture	Jordbruk
Agriculture	Kategori:Jordbruk
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Air force	Flygvapen
Airbus	Airbus
Aircraft	Flygmaskin
Aircraft	Kategori:Flygplan
Aircraft carrier	Hangarfartyg
Airport	Flygplats
Ajax	Ajax
Ajax (mythology)	Ajax (mytologi)
Ajax (programming)	AJAX
Akhenaten	Akhenaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaida
Alabama	Alabama
Alabama	Kategori:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanin
Alaska	Alaska
Alaska	Kategori:Alaska
Alban Berg	Alban Berg
Albania	Albanien
Albania	Kategori:Albanien
Albany	Albany, New York
Albatross	Albatrosser
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Kategori:Alberta
Albinism	Albinism
Albite	Albit
Album	Musikalbum
Albuquerque	Albuquerque
Alchemy	Alkemi
Alchemy	Kategori:Alkemi
Alcohol	Alkoholer
Alcoholic beverage	Alkoholdryck
Alcoholism	Alkoholism
Aldebaran	Aldebaran
Aldehyde	Aldehyd
Alder	Alsläktet
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solzjenitsyn
Aleppo	Aleppo
Aleutian Islands	Aleuterna
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Pusjkin
Alexander the Great	Alexander den store
Alexandre Dumas	Alexandre Dumas d.ä.
Alexandre Dumas	Alexandre Dumas d.y.
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred den store
Algae	Alger
Algebra	Algebra
Algebra	Kategori:Algebra
Algebraic number	Algebraiskt tal
Algeria	Algeriet
Algeria	Kategori:Algeriet
Algiers	Alger (stad)
Algorithm	Algoritm
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Alkalimetall
Alkaloid	Alkaloid
Alkane	Alkan
Alkene	Alken
Alkyne	Alkyn
Allah	Allah
Allegory	Allegori
Allele	Allel
Allen Ginsberg	Allen Ginsberg
Allergy	Allergi
Alliteration	Allitteration
Allophone	Allofon
Allosaurus	Allosaurus
Allotropy	Allotropi
Alloy	Legering
Almanac	Almanacka
Almaty	Almaty
Almond	Mandel
Aloe	Aloesläktet
Alpha (letter)	Alfa
Alpha Centauri	Alfa Centauri
Alpha particle	Alfastrålning
Alphabet	Alfabet
Alps	Alperna
Alsace	Alsace
Altair	Altair
Altar	Altare
Altay Mountains	Altaj
Alternating current	Växelström
Alternative medicine	Kategori:Alternativmedicin
Alternative medicine	Alternativmedicin
Altruism	Altruism
Aluminium	Aluminium
Aluminium oxide	Aluminiumoxid
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimers sjukdom
Amanita muscaria	Röd flugsvamp
Amanita phalloides	Lömsk flugsvamp
Amaryllidaceae	Amaryllisväxter
Amaterasu	Amaterasu
Amazon River	Amazonfloden
Ambassador	Ambassadör
Amber	Bärnsten
Ambrose	Ambrosius av Milano
Amedeo Avogadro	Amadeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Bisonoxe
American Black Bear	Svartbjörn
American Civil War	Amerikanska inbördeskriget
American Revolutionary War	Amerikanska revolutionskriget
American Samoa	Amerikanska Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikansk fotboll
American football	Kategori:Amerikansk fotboll
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametist
Amharic	Amhariska
Amide	Amid
Amine	Amin
Amino acid	Aminosyra
Amish	Amish
Amman	Amman
Ammeter	Amperemeter
Ammonia	Ammoniak
Amnesia	Amnesi
Ampere	Ampere
Amphetamine	Amfetamin
Amphibian	Groddjur
Amphitheatre	Amfiteater
Amphora	Amfora
Amplitude	Amplitud
Amsterdam	Amsterdam
Amsterdam	Kategori:Amsterdam
Amun	Amon
Amur	Amur
Anabaptist	Anabaptism
Anagram	Anagram
Anaheim	Anaheim
Anal sex	Analsex
Analytic geometry	Analytisk geometri
Anarchism	Anarkism
Anarchism	Kategori:Anarkism
Anarchy	Anarki
Anatidae	Egentliga andfåglar
Anatole France	Anatole France
Anatomy	Kategori:Anatomi
Anatomy	Anatomi
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Ankare
Anchorage	Anchorage
Ancient Greek	Klassisk grekiska
Ancient history	Kategori:Antiken
Andalusia	Andalusien
Andaman Sea	Andamansjön
Anders Celsius	Anders Celsius
Andes	Anderna
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategori:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Sacharov
Andrei Tarkovsky	Andrej Tarkovskij
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (stjärnbild)
Andromeda (mythology)	Andromeda (mytologi)
Andromeda Galaxy	Andromedagalaxen
Andy Warhol	Andy Warhol
Anemia	Anemi
Anemometer	Anemometer
Anesthesia	Anestesi
Angel	Ängel
Angel Falls	Angelfallen
Angle	Vinkel
Anglicanism	Anglikanska kyrkogemenskapen
Angola	Angola
Angola	Kategori:Angola
Anguilla	Anguilla
Angular momentum	Rörelsemängdsmoment
Angular velocity	Rotationshastighet
Anicius Manlius Severinus Boethius	Anicius Manlius Severinus Boethius
Aniline	Anilin
Animal	Djur
Animal husbandry	Djurskötsel
Animation	Animering
Anime	Anime
Anime	Kategori:Anime
Animism	Animism
Anise	Anis
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Annelid	Ringmaskar
Anno Domini	Efter Kristus
Annunciation	Bebådelsen
Anode	Anod
Anseriformes	Andfåglar
Anseriformes	Kategori:Andfåglar
Ant	Myror
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktis
Antarctica	Kategori:Antarktis
Antares	Antares
Antenna (radio)	Antenn
Anthony Hopkins	Anthony Hopkins
Anthrax	Mjältbrand
Anthropology	Antropologi
Anthropology	Kategori:Antropologi
Anthroposophy	Antroposofi
Antibiotic	Antibiotikum
Antibody	Antikropp
Antichrist	Antikrist
Anticyclone	Högtryck
Antigen	Antigen
Antigone	Antigone
Antigua and Barbuda	Antigua och Barbuda
Antigua and Barbuda	Kategori:Antigua och Barbuda
Antimatter	Antimateria
Antimony	Antimon
Antioxidant	Antioxidant
Antipope	Motpåve
Antisemitism	Antisemitism
Antisemitism	Kategori:Antisemitism
Antlia	Luftpumpen
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Laurent de Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tjechov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerp	Antwerpen
Antwerp (province)	Antwerpen (provins)
Anubis	Anubis
Anus	Analöppning
Aorta	Aorta
Apache	Apacher
Apatite	Apatit
Ape	Hominoidea
Aphasia	Afasi
Aphorism	Aforism
Aphrodite	Afrodite
Apia	Apia
Apiaceae	Flockblommiga växter
Apocrypha	Apokryferna
Apodiformes	Seglarfåglar
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Apolloprogrammet
Apollo program	Kategori:Apolloprogrammet
Apoptosis	Apoptos
Appalachian Mountains	Appalacherna
Appendicitis	Blindtarmsinflammation
Apple	Äpple
Applied mathematics	Tillämpad matematik
Apricot	Aprikos
April	April
April 14	14 april
April Fools' Day	Aprilskämt
Apse	Absid
Apulia	Apulien
Apus	Paradisfågeln
Aqaba	Akaba
Aqua regia	Kungsvatten
Aquamarine	Akvamarin
Aquarium	Akvarium
Aquarius (constellation)	Vattumannen (stjärnbild)
Aqueduct	Akvedukt
Aquila (constellation)	Örnen (stjärnbild)
Aquitaine	Aquitaine
Ara (constellation)	Altaret
Arab	Araber
Arab League	Arabförbundet
Arabian Peninsula	Arabiska halvön
Arabian Sea	Arabiska havet
Arabic alphabet	Arabiska alfabetet
Arabic language	Arabiska
Araceae	Kallaväxter
Arachnid	Spindeldjur
Arafura Sea	Arafurahavet
Aragon	Aragonien
Aral Sea	Aralsjön
Aram Khachaturian	Aram Chatjaturjan
Arcadia	Arkadien
Arcangelo Corelli	Arcangelo Corelli
Arch	Båge
Archaeology	Arkeologi
Archaeology	Kategori:Arkeologi
Archaeopteryx	Archaeopteryx
Archangel	Ärkeänglar
Archbishop	Ärkebiskop
Archean	Arkeikum
Archetype	Arketyp
Archimedes	Arkimedes
Archipelago	Ögrupp
Architect	Arkitekt
Architecture	Arkitektur
Architecture	Kategori:Arkitektur
Archive	Arkiv
Archosaur	Härskarödlor
Arctic	Arktis
Arctic Ocean	Norra ishavet
Arctic fox	Fjällräv
Ardennes	Ardennerna
Ardennes (department)	Ardennes
Area	Ytmått
Arecaceae	Palmer
Ares	Ares
Argentina	Argentina
Argentina	Kategori:Argentina
Argon	Argon
Argos	Argos (stad)
Aria	Aria
Ariadne	Ariadne
Arianism	Arianism
Aries (constellation)	Väduren (stjärnbild)
Aristarchus of Samos	Aristarchos (astronom)
Aristocracy	Aristokrati
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmetik
Arithmetic	Kategori:Aritmetik
Arithmetic progression	Aritmetisk följd
Arius	Arius
Arizona	Arizona
Arizona	Kategori:Arizona
Ark of the Covenant	Förbundsarken
Arkansas	Arkansas
Arkansas	Kategori:Arkansas
Arles	Arles
Armadillo	Bältdjur
Armenia	Armenien
Armenia	Kategori:Armenien
Armenian language	Armeniska
Arminius	Arminius
Army	Armé
Arnhem	Arnhem
Arno River	Arno
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Aromatiska kolväten
Arquebus	Arkebuse
Arras	Arras
Arrow	Pil (vapen)
Arsenic	Arsenik
Art	Konst
Art Deco	Art déco
Art Nouveau	Jugend
Art history	Kategori:Konstens historia
Art history	Konsthistoria
Artemis	Artemis
Artemisia (plant)	Malörter
Artemisia absinthium	Malört
Artery	Artär
Arthropod	Leddjur
Arthur Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley Wellington
Artificial intelligence	Artificiell intelligens
Artificial intelligence	Kategori:Artificiell intelligens
Artillery	Artilleri
Artillery	Kategori:Artilleri
Artist	Konstnär
Arts	Kategori:Konst
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Kategori:Aruba
Asbestos	Asbest
Asclepius	Asklepios
Asexuality	Asexualitet
Asgard	Asgård
Ash Wednesday	Askonsdagen
Ashurbanipal	Ashurbanipal
Asia	Asien
Asia	Kategori:Asien
Asmara	Asmara
Aspartame	Aspartam
Asphalt	Asfalt
Aspirin	Acetylsalicylsyra
Assam	Assam
Assassination	Attentat
Association of Southeast Asian Nations	ASEAN
Assyria	Assyrien
Astana	Astana
Astatine	Astat
Asteraceae	Korgblommiga växter
Asteraceae	Kategori:Korgblommiga växter
Asteroid	Asteroid
Asteroid belt	Asteroidbältet
Asthenosphere	Astenosfär
Asthma	Astma
Astigmatism (eye)	Astigmatism
Astrakhan	Astrachan
Astrobiology	Astrobiologi
Astrolabe	Astrolabium
Astrology	Astrologi
Astrology	Kategori:Astrologi
Astrometry	Astrometri
Astronaut	Rymdfarare
Astronomical unit	Astronomisk enhet
Astronomy	Astronomi
Astronomy	Kategori:Astronomi
Astronomy	Portal:Astronomi
Astrophysics	Astrofysik
Astrophysics	Kategori:Astrofysik
Aswan	Assuan
Asymptote	Asymptot
Asynchronous Transfer Mode	Asynchronous Transfer Mode (it)
Atacama Desert	Atacamaöknen
Aten	Aton
Athena	Athena
Athens	Aten
Athletics	Kategori:Friidrott
Athletics (track and field)	Friidrott
Atlanta	Atlanta
Atlantic Ocean	Atlanten
Atlantis	Atlantis
Atlas (disambiguation)	Atlas (olika betydelser)
Atlas (moon)	Atlas (måne)
Atlas (mythology)	Atlas
Atlas Mountains	Atlasbergen
Atmosphere (unit)	Atmosfär (tryckenhet)
Atmospheric pressure	Lufttryck
Atoll	Atoll
Atom	Atom
Atomic clock	Atomur
Atomic mass	Atommassa
Atomic mass unit	Atommassenhet
Atomic number	Atomnummer
Atomic physics	Kategori:Atomfysik
Atomic physics	Atomfysik
Atreus	Atreus
Atropine	Atropin
Attica	Attika
Attila the Hun	Attila
Au	AU
Auckland	Auckland
Auction	Auktion
August	Augusti
August 1	1 augusti
August 15	15 augusti
August 6	6 augusti
August Strindberg	August Strindberg
Augusta	Augusta, Maine
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustinus
Augustus	Augustus
Auriga (constellation)	Kusken
Aurora	Aurora
Aurora (astronomy)	Polarsken
Austin	Austin, Texas
Australasia	Australiska regionen
Australia	Australien
Australia	Kategori:Australien
Australian dollar	Australisk dollar
Australopithecus	Australopithecus
Austria	Österrike
Austria	Kategori:Österrike
Austria-Hungary	Österrike-Ungern
Author	Författare
Authority	Auktoritet
Autism	Autism
Auto racing	Bilsport
Autobiography	Självbiografi
Automated teller machine	Uttagsautomat
Automobile	Bil
Autotroph	Autotrof
Autumn	Höst
Auvergne (region)	Auvergne
Avalanche	Lavin
Avant-garde	Avantgarde
Avatar	Avatar
Averroes	Averroës
Avesta	Avesta (religiös skrift)
Aviation	Kategori:Flyg
Aviation	Luftfart
Avicenna	Avicenna
Avignon	Avignon
Avocado	Avokado
Avogadro's law	Avogadros lag
Axe	Yxa
Axiom	Axiom
Axon	Axon
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbaijan	Azerbajdzjan
Azerbaijan	Kategori:Azerbajdzjan
Azimuth	Asimut
Azores	Azorerna
Aztec	Azteker
Azurite	Azurit
B	B
BASIC	BASIC
Baal	Baal
Baboon	Babianer
Babylon	Babylon
Babylonia	Babylonien
Backgammon	Backgammon
Bacteria	Bakterier
Bacteria	Kategori:Bakterier
Bacteriophage	Bakteriofag
Bactrian Camel	Kamel
Badminton	Badminton
Baffin Bay	Baffinbukten
Baffin Island	Baffin Island
Baghdad	Bagdad
Bahamas	Kategori:Bahamas
Bahrain	Bahrain
Bahrain	Kategori:Bahrain
Baja California	Baja California (delstat)
Baklava	Baklava
Baku	Baku
Balalaika	Balalajka
Balance sheet	Balansräkning
Baldr	Balder
Balearic Islands	Balearerna
Baleen whale	Bardvalar
Bali	Bali
Balkan Mountains	Balkanbergen
Balkan Wars	Balkankrigen
Balkans	Balkanhalvön
Ball	Boll
Ballet	Balett
Ballet	Kategori:Balett
Ballistic missile	Ballistisk robot
Ballpoint pen	Kulspetspenna
Baltic Sea	Östersjön
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambu
Banana	Banan
Banana republic	Bananrepublik
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Kategori:Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bank
Banknote	Sedel
Banks	Kategori:Banker
Baptism	Dop
Baptist	Baptism
Bar (unit)	Bar (måttenhet)
Barbados	Barbados
Barbados	Kategori:Barbados
Barbarian	Barbar
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Kategori:Barcelona
Barents Sea	Barents hav
Bari	Bari
Barium	Barium
Barley	Korn
Barn Owl	Tornuggla
Barn Swallow	Ladusvala
Barometer	Barometer
Baron	Baron
Baroque	Barock
Barranquilla	Barranquilla
Barrel (unit)	Fat (mått)
Baryon	Baryon
Basalt	Basalt
Base (chemistry)	Bas (kemi)
Baseball	Baseboll
Baseball	Kategori:Baseboll
Basel	Basel
Bash	Bash
Basidiomycota	Basidiesvampar
Basil	Basilika (krydda)
Basil of Caesarea	Basileios den store
Basilica	Basilika
Basilicata	Basilicata
Basiliscus	Basiliskos
Basilisk	Basilisk
Basketball	Basket
Basketball	Kategori:Basket
Basra	Basra
Bass guitar	Elbas
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Bassoon	Fagott
Bastille	Bastiljen
Bat	Fladdermöss
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Bats	Kategori:Fladdermöss
Battalion	Bataljon
Battery (electricity)	Batteri (elektricitet)
Battle of Austerlitz	Slaget vid Austerlitz
Battle of Britain	Slaget om Storbritannien
Battle of Hastings	Slaget vid Hastings
Battle of Lepanto (1571)	Slaget vid Lepanto
Battle of Marathon	Slaget vid Marathon
Battle of Midway	Slaget vid Midway
Battle of Thermopylae	Slaget vid Thermopyle
Battle of Trafalgar	Slaget vid Trafalgar
Battle of Verdun	Slaget vid Verdun
Battle of Waterloo	Slaget vid Waterloo
Battle of the Bulge	Ardenneroffensiven
Battle of the Somme	Slaget vid Somme
Battleship	Slagskepp
Bauhaus	Bauhaus
Bauxite	Bauxit
Bavaria	Bayern
Bavaria	Kategori:Bayern
Bay Laurel	Lager (växt)
Bay of Bengal	Bengaliska bukten
Bay of Biscay	Biscayabukten
Bayer	Bayer AG
Bayonet	Bajonett
Bayonne	Bayonne
Beach	Strand
Beagle	Beagle (hundras)
Beak	Näbb
Bear	Björnar
Beaufort Sea	Beauforthavet
Beaufort scale	Beauforts skala
Beaver	Bävrar
Bebop	Bebop
Becquerel	Becquerel
Bed	Säng
Bede	Beda venerabilis
Bedouin	Beduiner
Bee	Bin
Beech	Bok (träd)
Beekeeping	Kategori:Biodling
Beer	Öl
Beer	Kategori:Öl
Beetle	Skalbaggar
Behaviorism	Behaviorism
Beijing	Peking
Beirut	Beirut
Belarus	Vitryssland
Belarus	Kategori:Vitryssland
Belfast	Belfast
Belgium	Belgien
Belgium	Kategori:Belgien
Belgrade	Belgrad
Belisarius	Belisarius
Belize	Belize
Belize	Kategori:Belize
Bell (instrument)	Klocka
Bellerophon	Bellerofon
Belly dance	Orientalisk dans
Belo Horizonte	Belo Horizonte
Beluga	Vitval
Benelux	Benelux
Bengal	Bengalen
Benin	Benin
Benin	Kategori:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Berings hav
Bering Strait	Berings sund
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Berlin	Kategori:Berlin
Bermuda	Bermuda
Bermuda	Kategori:Bermuda
Bermuda Triangle	Bermudatriangeln
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Berry	Bär (botanik)
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryll
Beryllium	Beryllium
Beta (letter)	Beta
Beta decay	Betasönderfall
Betelgeuse	Betelgeuse
Bethlehem	Betlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills, Kalifornien
Bey	Bej
Bhutan	Bhutan
Bhutan	Kategori:Bhutan
Bible	Bibeln
Bible	Kategori:Bibeln
Bibliography	Bibliografi
Bicycle	Cykel
Big Bang	Big Bang
Bihar	Bihar
Bikini	Bikini
Bile	Galla
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Dubbelstjärna
Binoculars	Kikare
Biochemistry	Biokemi
Biochemistry	Kategori:Biokemi
Biodiversity	Biologisk mångfald
Biogeography	Biogeografi
Biography	Biografi
Biological warfare	Biologiska vapen
Biology	Biologi
Biology	Kategori:Biologi
Biomass	Biomassa
Biome	Biom
Biometrics	Biometri
Biophysics	Biofysik
Biopsy	Biopsi
Biosphere	Biosfär
Biotechnology	Bioteknik
Biotechnology	Kategori:Bioteknik
Biotin	Biotin
Bipolar disorder	Bipolärt syndrom
Birch	Björksläktet
Bird	Fåglar
Birmingham	Birmingham, Alabama
Birth control	Preventivmedel
Bisexuality	Bisexualitet
Bishkek	Bisjkek
Bishop	Biskop
Bishop (chess)	Löpare (schack)
Bismarck	Bismarck, North Dakota
Bismarck (disambiguation)	Bismarck (olika betydelser)
Bismuth	Vismut
Bissau	Bissau
Bit	Bit
Bithynia	Bithynien
Bivalvia	Musslor
Black	Svart
Black Death	Digerdöden
Black Forest	Schwarzwald
