English	Lithuanian
Fertilisation	Apvaisinimas
Fetus	Žmogaus vaisius
Feudalism	Feodalizmas
Fibonacci number	Fibonačio skaičius
Fidel Castro	Fidelis Kastro
Fighter aircraft	Naikintuvas
Figure skating	Dailusis čiuožimas
Fiji	Fidžis
Fiji	Kategorija:Fidžis
File Allocation Table	FAT
File Transfer Protocol	FTP
File system	Failų sistema
Filippo Brunelleschi	Filipas Bruneleskis
Film	Kategorija:Kinas
Film	Filmas
Film director	Režisierius
Fin Whale	Finvalas
Finance	Kategorija:Finansai
Finger	Pirštai
Finland	Suomija
Finland	Kategorija:Suomija
Fir	Kėnis
Fire	Ugnis
First Council of Constantinople	Konstantinopolio I susirinkimas
First Council of Nicaea	I Nikėjos susirinkimas
First aid	Pirmoji pagalba
First language	Gimtoji kalba
Fish	Žuvys
Fjord	Fjordas
Flag	Vėliava
Flagellum	Žiuželis
Flamingo	Flamingai
Flatulence	Bezdalai
Flatworm	Plokščiosios kirmėlės
Flea	Blusos
Flemish (linguistics)	Flamandų kalba
Flint	Titnagas
Florence	Florencija
Florida	Florida
Flour	Miltai
Flower	Žiedas
Flowering plant	Magnolijūnai
Fluorite	Fluoritas
Flute	Fleita
Fly	Dvisparniai
Fog	Rūkas
Folic acid	Folio rūgštis
Folklore	Folkloras
Food	Maistas
Food additive	Maisto priedas
Food and Agriculture Organization	Jungtinių Tautų maisto ir žemės ūkio organizacija
Food chain	Mitybos grandinė
Foot	Pėda
Foot (unit of length)	Pėda (matavimo vienetas)
Football (soccer)	Futbolas
Football (soccer)	Kategorija:Futbolas
Football (soccer) clubs	Kategorija:Futbolo klubai
Football (soccer) managers	Kategorija:Futbolo treneriai
Football (soccer) players	Kategorija:Futbolininkai
Force	Jėga
Forest	Miškas
Fork	Šakutė (stalo įrankis)
Form of government	Valdymo forma
Formaldehyde	Formaldehidas
Fornax	Krosnis (astronomija)
Fort Worth	Fortvortas
Fortran	Fortran
Fossil	Fosilija
Fourier series	Furjė eilutė
Fractal	Fraktalas
France	Prancūzija
France	Kategorija:Prancūzija
Francis Bacon	Francis Bacon
Francis Crick	Francis Harry Compton Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis of Assisi	Šv. Pranciškus Asyžietis
Franciscan	Pranciškonai
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francis
Franco-Prussian War	Prancūzijos-Prūsijos karas
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt	Frankfurtas prie Maino
Frankfurt	Kategorija:Frankfurtas prie Maino
Frankfurt (Oder)	Frankfurtas prie Oderio
Frankfurt (disambiguation)	Frankfurtas
Franz Kafka	Franz Kafka
Franz Liszt	Ferencas Listas
Franz Schubert	Franz Schubert
Frederick I	Frydrichas I Barbarosa
Frederick II	Frydrichas II
Fredericton	Frederiktonas
Free State	Fristeitas
Free will	Laisva valia
Freedom (philosophy)	Laisvė
Freemasonry	Masonai
Freetown	Fritaunas
Freeware	Nemokama programinė įranga
French Polynesia	Prancūzijos Polinezija
French Polynesia	Kategorija:Prancūzijos Polinezija
French Revolution	Didžioji Prancūzų revoliucija
French people	Kategorija:Prancūzijos asmenybės
Frequency	Dažnis
Fresno	Fresnas
Freyja	Frėja
Freyr	Freiras
Friction	Trinties jėga
Friday	Penktadienis
Friedrich Engels	Friedrich Engels
Friesland	Fryzija
Frigg	Frigė
Friuli-Venezia Giulia	Friulis-Venecija Džulija
Frog	Beuodegiai varliagyviai
Fructose	Fruktozė
Fruit	Vaisius
Fucking	Fukingas
Fugue	Fuga
Fukuoka	Fukuoka
Full moon	Pilnatis
Funafuti	Funafutis
Function (mathematics)	Funkcija (matematika)
Fundamental	Kategorija:Kategorijos
Fundamental interaction	Fundamentalioji sąveika
Fundamentalism	Fundamentalizmas
Fungus	Grybai
Funicular	Keltuvas
Futurism (art)	Futurizmas
Fyodor Dostoevsky	Fiodoras Dostojevskis
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabonas
Gabon	Kategorija:Gabonas
Gaborone	Gaboronas
Gabriel	Arkangelas Gabrielius
Gadolinium	Gadolinis
Gaetano Donizetti	Gaetanas Donicetis
Gaia (mythology)	Gaja
Galatia	Galatija
Galaxy	Galaktika
Galena	Galenitas
Galicia (Central Europe)	Galicija
Galicia (Spain)	Galisija
Galileo (spacecraft)	Galileo (erdvėlaivis)
Galileo Galilei	Galileo Galilei
Gallbladder	Tulžies pūslė
Galley	Galera
Galliformes	Vištiniai paukščiai
Galliformes	Kategorija:Vištiniai paukščiai
Gallium	Galis
Galway	Golvėjus
Gambling	Azartinis žaidimas
Game	Žaidimas
Game theory	Žaidimų teorija
Gamma	Gama (raidė)
Gamma ray	Gama spinduliai
Ganesha	Ganeša
Ganges	Gangas
Ganja	Gendžė
Gansu	Gansu
Ganymede	Ganimedas
Ganymede (moon)	Ganimedas (palydovas)
Garden	Sodas
Garden of Eden	Edenas
Garlic	Valgomasis česnakas
Garnet	Granatas
Garonne	Garona
Gas	Dujos
Gas constant	Dujų konstanta
Gas giant	Planetos milžinės
Gasoline	Benzinas
Gastropoda	Pilvakojai
Gaul	Galija
Gautama Buddha	Sidharta Gautama
Gaza Strip	Gazos Ruožas
Gear	Krumpliaratis
Geb	Gebas
Geisha	Geiša
Gemini (constellation)	Dvyniai (astronomija)
Gemstone	Brangakmenis
Gene	Genas
Genealogy	Kategorija:Genealogija
General Officer	Generolas
General relativity	Bendroji reliatyvumo teorija
Genesis	Pradžios knyga
Genetic code	Genetinis kodas
Genetics	Genetika
Genetics	Kategorija:Genetika
Geneva	Ženeva
Genoa	Genuja
Genocide	Genocidas
Genocide	Kategorija:Genocidas
Genome	Genomas
Genus	Gentis
Geochemistry	Geochemija
Geodesy	Kategorija:Geodezija
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografija
Geography	Kategorija:Geografija
Geology	Kategorija:Geologija
Geology	Geologija
Geometric progression	Geometrinė progresija
Geometry	Geometrija
Geometry	Kategorija:Geometrija
Geomorphology	Geomorfologija
Geophysics	Geofizika
Geopolitics	Geopolitika
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
George Bush	Džordžas Bušas
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Orwell	George Orwell
George Sand	Žorž Sand
George Stephenson	George Stephenson
George W. Bush	George Walker Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georgetown	Džordžtaunas
Georgia (U.S. state)	Džordžija
Georgia (country)	Gruzija
Georgia (country)	Kategorija:Gruzija
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Vokiečių aviganis
German language	Vokiečių kalba
Germanium	Germanis
Germany	Vokietija
Germany	Kategorija:Vokietija
Geronimo	Geronimo
Gestapo	Gestapas
Geyser	Geizeris
Ghana	Gana
Ghana	Kategorija:Gana
Ghent	Gentas
Ghetto	Getas
Ghost	Vaiduoklis
Giacomo Puccini	Giacomo Puccini
Giant Panda	Didžioji panda
Gibbon	Gibonai
Gibraltar	Gibraltaras
Gilgamesh	Gilgamešas
Ginger	Tikrasis imbieras
Ginkgo	Dviskiautis ginkmedis
Giotto di Bondone	Giotto
Giovanni Boccaccio	Džiovanis Bokačas
Giraffe	Žirafa
Giraffidae	Žirafiniai
Girolamo Savonarola	Džirolamas Savonarola
Gironde	Žironda (departamentas)
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Džiuzepė Verdis
Giza	Giza
Glacier	Ledynas
Gladiator	Gladiatorius
Gland	Liauka
Glasgow	Glazgas
Glass	Stiklas
Glasses	Akiniai
Global Positioning System	GPS
Global warming	Visuotinis atšilimas
Globalization	Globalizacija
Globe artichoke	Tikrasis artišokas
Glucagon	Gliukagonas
Glucose	Gliukozė
Gluon	Gliuonas
Glutamic acid	Glutamo rūgštis
Glycerol	Glicerolis
Glycine	Glicinas
Glycogen	Glikogenas
Glycolysis	Glikolizė
Gneiss	Gneisas
Go (board game)	Go
Goa	Goa
Goalkeeper	Vartininkas
Gobi Desert	Gobio dykuma
God	Dievas
Gold	Auksas
Golden Eagle	Kilnusis erelis
Golden Gate Bridge	Aukso vartų tiltas
Golden Horde	Aukso orda
Golden Retriever	Auksaspalvis retriveris
Golf	Golfas
Golgi apparatus	Goldžio kompleksas
Gomel	Gomelis
Google	Google
Google	Kategorija:Google
Googol	Gugolas
Gorgon	Gorgonės
Gorilla	Gorilos
Goshawk	Vištvanagis
Gothenburg	Geteborgas
Gothic architecture	Gotika
Gottlieb Daimler	Gottlieb Daimler
Government	Vyriausybė
Gradient	Gradientas
Gram	Gramas
Grammar	Gramatika
Granada	Granada
Grand Canyon	Didysis kanjonas
Grandmaster (chess)	Didmeistris
Granite	Granitas
Grapefruit	Greipfrutas
Graphic design	Kategorija:Grafinis dizainas
Graphic design	Grafinis dizainas
Graphite	Grafitas
Gravitation	Gravitacija
Gravitational constant	Gravitacijos konstanta
Graviton	Gravitonas
Gray Wolf	Pilkasis vilkas
Graz	Gracas
Great Barrier Reef	Didysis barjerinis rifas
Great Britain	Didžioji Britanija
Great Crested Grebe	Ausuotasis kragas
Great Depression	Didžioji ekonominė krizė
Great Lakes	Didieji ežerai
Great Rift Valley	Didysis riftinis slėnis
Great Wall of China	Didžioji kinų siena
Greater Antilles	Didieji Antilai
Greater London	Didysis Londonas (regionas)
Grebe	Kraginiai
Greece	Graikija
Greece	Kategorija:Graikija
Greek alphabet	Graikų raštas
Greek fire	Graikiška ugnis
Greek mythology	Graikų mitologija
Greek mythology	Kategorija:Graikų mitologija
Green	Žalia
Greenhouse effect	Šiltnamio efektas
Greenhouse gas	Šiltnamio dujos
Greenland	Grenlandija
Greenland	Kategorija:Grenlandija
Greenland Sea	Grenlandijos jūra
Greenpeace	Greenpeace
Greenwich Mean Time	Grinvičo laikas
Gregor Mendel	Gregoras Mendelis
Gregorian calendar	Grigaliaus kalendorius
Grenoble	Grenoblis
Greta Garbo	Greta Garbo
Grey	Pilka
Greylag Goose	Pilkoji žąsis
Griffin	Grifas (mitologija)
Griffon Vulture	Palšasis grifas
Gross domestic product	Bendrasis vidaus produktas
Group	Grupė
Group (mathematics)	Grupė (algebra)
Grozny	Groznas
Gruiformes	Gerviniai paukščiai
Grus (constellation)	Gervė (astronomija)
Guadeloupe	Gvadelupa
Guam	Guamas
Guangdong	Guangdongas
Guangzhou	Guangdžou
Guanine	Guaninas
Guano	Guanas
Guatemala	Kategorija:Gvatemala
Guatemala City	Gvatemala (miestas)
Guayaquil	Gvajakilis
Guglielmo Marconi	Guglielmo Marconi
Guinea	Gvinėja
Guinea	Kategorija:Gvinėja
Guinea pig	Jūrų kiaulytė
Guinea-Bissau	Bisau Gvinėja
Guinea-Bissau	Kategorija:Bisau Gvinėja
Guitar	Gitara
Gujarat	Gudžaratas
Gulag	Gulagas
Gulf Stream	Golfo srovė
Gulf of Aden	Adeno įlanka
Gulf of Aqaba	Akabos įlanka
Gulf of Bothnia	Botnijos įlanka
Gulf of Finland	Suomių įlanka
Gulf of Guinea	Gvinėjos įlanka
Gulf of Mexico	Meksikos įlanka
Gulf of Oman	Omano įlanka
Gulf of Riga	Rygos įlanka
Gulf of Thailand	Siamo įlanka
Gull	Kiriniai
Gustav Mahler	Gustav Mahler
Guy de Maupassant	Guy de Maupassant
Guyana	Kategorija:Gajana
Gynaecology	Ginekologija
Gypsum	Gipsas
Gyroscope	Giroskopas
H	H
HTML	HTML
Habitat	Buveinė
Hacker	Hakeris
Hadean	Hadėjus
Hades	Hadas
Hadrian	Publijus Elijus Trajanas Adrianas
Hadrian's Wall	Adriano siena
Hadron	Hadronas
Haemophilia	Hemofilija
Hafnium	Hafnis
Hagia Sophia	Sofijos soboras
Haifa	Haifa
Haiku	Haiku
Hail Mary	Sveika, Marija
Hair	Plaukas
Haiti	Haitis
Haiti	Kategorija:Haitis
Hajj	Hadžas
Halal	Halal
Halberd	Alebarda
Half-life	Pusėjimo trukmė
Halle	Halė
Halloween	Helovinas
Hallucination	Haliucinacija
Halogen	Halogenas
Hamas	Hamas
Hamburg	Hamburgas
Hamburg	Kategorija:Hamburgas
Hamlet	Hamletas
Hammer	Plaktukas
Hammurabi	Hamurapis
Han Dynasty	Han dinastija
Hand grenade	Granata
Handgun	Pistoletas
Hanging	Korimas
Hanging Gardens of Babylon	Kabantieji Babilono sodai
Hannibal	Hanibalas
Hanoi	Hanojus
Hanover	Hanoveris
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hanzos sąjunga
Hanuman	Hanumanas
Happiness	Laimė
Harare	Hararė
Hardness	Kietis (medžiaga)
Harem	Haremas
Harlem	Harlemas (Niujorkas)
Harp	Arfa
Harpsichord	Klavesinas
Harpy	Harpijos (mitologija)
Harriet Beecher Stowe	Harriet Beecher Stowe
Harry Houdini	Harry Houdini
Hassium	Hasis
Hatred	Neapykanta
Haute-Normandie	Aukštutinė Normandija
Havana	Havana
Hawaii	Havajai
Hawaii	Kategorija:Havajai
Hazel	Lazdynas
Health	Sveikata
Heart	Širdis
Heat	Šiluma
Heat engine	Šiluminis variklis
Heaven	Rojus
Heavy metal music	Heavy metal
Hebe (mythology)	Hebė
Hebei	Hebei
Hebrides	Hebridai
Hecate	Hekatė
Hectare	Hektaras
Hector	Hektoras
Hector Berlioz	Hector Berlioz
Hedonism	Hedonizmas
Heimdall	Heimdalas
Heinrich Hertz	Heinrichas Rudolfas Hercas
Heinrich Himmler	Heinrich Himmler
Hel (being)	Helė
Helen	Helenė
Helena	Helena (Montana)
Helicopter	Sraigtasparnis
Helios	Helijas
Helium	Helis
Hell	Pragaras
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinkis
Hematite	Hematitas
Hematology	Hematologija
Hemoglobin	Hemoglobinas
Hemorrhoid	Hemorojus
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henrik Ibsen	Henrik Ibsen
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Hepatitis	Virusinis hepatitas
Hephaestus	Hefaistas
Hera	Hera
Heracles	Heraklis
Heraldry	Heraldika
Heraldry	Kategorija:Heraldika
Herat	Heratas
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Hercules	Heraklis
Hercules (constellation)	Heraklis (astronomija)
Heresy	Erezija
Hermann Minkowski	Hermanas Minkovskis
Hermaphrodite	Hermafroditas
Hermeneutics	Hermeneutika
Hermes	Hermis
Herod the Great	Erodas I Didysis
Herodotus	Herodotas
Heroin	Heroinas
Heron	Garniniai
Herring Gull	Sidabrinis kiras
Hertz	Hercas
Hesiod	Hesiodas
Hesperides	Hesperidės
Hesse	Hesenas
Hesse	Kategorija:Hesenas
Hestia	Hestija
Heterotroph	Heterotrofai
Hexagon	Šešiakampis
Hezbollah	Hezbollah
Hibernation	Ramybės būklė
Himalayas	Himalajai
Hinduism	Induizmas
Hipparchus	Hiparchas (astronomas)
Hippie	Hipis
Hippocrates	Hipokratas
Hippopotamus	Didysis hipopotamas
Hirohito	Imperatorius Šiova
Hiroshima	Hirosima
Hispaniola	Haitis (sala)
Histidine	Histidinas
Histology	Histologija
Histology	Kategorija:Histologija
Histone	Histonas
Historiography	Istoriografija
History	Istorija
History	Kategorija:Istorija
History	Wikipedia:Istorija
Ho Chi Minh	Ho Ši Minas
Ho Chi Minh City	Hošiminas
Hobart	Hobartas
Hobbit	Hobitai
Hobby	Hobis
Hokusai	Katsushika Hokusai
Holiday	Šventė
Hollywood	Holivudas
Holmium	Holmis
Holocene	Holocenas
Holy Grail	Šventasis Gralis
Holy Roman Empire	Šventoji Romos Imperija
Holy Spirit	Šventoji Dvasia
Homeopathy	Homeopatija
Homeostasis	Savireguliacija
Homer	Homeras
Hominidae	Hominidai
Homo (genus)	Žmonės
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonimai
Homophobia	Homofobija
Homosexuality	Homoseksualumas
Honduras	Hondūras
Honey	Medus
Honey Buzzard	Vapsvaėdis
Hong Kong	Honkongas
Honiara	Honiara
Honolulu	Honolulu
Hooke's law	Huko dėsnis
Hoopoe	Kukutis
Horace	Horacijus
Horizon	Horizontas
Hormone	Hormonas
Horn (anatomy)	Ragas
Horn (instrument)	Valtorna
Horoscope	Horoskopas
Horse	Arklys
Horsepower	Arklio galia
Horus	Horas
Hosni Mubarak	Hosnis Mubarakas
Hospital	Ligoninė
Hotel	Viešbutis
Hour	Valanda
Hourglass	Smėlio laikrodis
House	Namas
House Mouse	Naminė pelė
House Sparrow	Žvirblis
Houston	Hiustonas
Hubble's law	Hablo dėsnis
Hudson Bay	Hadsono įlanka
Hudson River	Hadsonas
Huguenot	Hugenotai
Human	Žmogus
Humanism	Humanizmas
Humanities	Kategorija:Humanitariniai mokslai
Humerus	Žastikaulis
Hummingbird	Kolibriniai
Humor	Kategorija:Humoras
Humour	Humoras
Humpback Whale	Kuprotasis banginis
Humus	Humusas
Hunan	Hunanas
Hundred Years' War	Šimtametis karas
Hungary	Vengrija
Hungary	Kategorija:Vengrija
Hunger	Alkis
Hunting	Medžioklė
Hyderabad	Haidarabadas (Indija)
Hydra (constellation)	Hidra (astronomija)
Hydrocarbon	Angliavandenilis
Hydrochloric acid	Druskos rūgštis
Hydroelectricity	Hidroelektrinė
Hydrogen	Vandenilis
Hydrogen cyanide	Ciano vandenilis
Hydrogen peroxide	Vandenilio peroksidas
Hydrology	Hidrologija
Hydrology	Kategorija:Hidrologija
Hydrolysis	Hidrolizė
Hydrosphere	Hidrosfera
Hydroxide	Hidroksidas
Hydrus	Pietų Hidra
Hyena	Hieniniai
Hygiene	Kategorija:Higiena
Hymen	Mergystės plėvė
Hymenoptera	Kategorija:Plėviasparniai
Hymenoptera	Plėviasparniai
Hyperbole	Hiperbolė (menas)
Hyperion (moon)	Hiperionas (palydovas)
Hyperion (mythology)	Hiperionas
Hypertext	Hipertekstas
Hypertext Transfer Protocol	HTTP
Hypnos	Hipnas
Hypnosis	Hipnozė
Hypothesis	Hipotezė
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Iapetus (moon)	Japetas (palydovas)
Iapetus (mythology)	Japetas
Iberian Peninsula	Pirėnų pusiasalis
Ibuprofen	Ibuprofenas
Ice	Ledas
Ice age	Ledynmetis
Ice cream	Ledai
Ice hockey	Ledo ritulys
Ice hockey	Kategorija:Ledo ritulys
Iceberg	Ledkalnis
Iceland	Islandija
Iceland	Kategorija:Islandija
Ichthyology	Ichtiologija
Icon	Ikona (religija)
Idaho	Aidahas
Ideal gas	Idealiosios dujos
Ideology	Ideologija
Ido	Ido
Ignatius of Loyola	Ignacas Lojola
Igor Stravinsky	Igoris Stravinskis
Iguazu Falls	Igvasu krioklys
Iliad	Iliada
Illinois	Ilinojus
Image scanner	Skaitytuvas
Imam	Imamas
Immanuel Kant	Immanuel Kant
Immune system	Imuninė sistema
Immunology	Imunologija
Immunology	Kategorija:Imunologija
Imperialism	Imperializmas
Impressionism	Impresionizmas
Incest	Kraujomaiša
Incheon	Inčonas
Inclined plane	Nuožulnioji plokštuma
Independence	Nepriklausomybė
India	Indija
India	Kategorija:Indija
Indian Ocean	Indijos vandenynas
Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indis
Indonesia	Indonezija
Indonesia	Kategorija:Indonezija
Indra	Indra
Inductive reasoning	Indukcija (metodas)
Indulgence	Indulgencija
Indus (constellation)	Indėnas (astronomija)
Indus River	Indas (upė)
Industrial Revolution	Pramoninė revoliucija
Industry	Pramonė
Industry	Kategorija:Pramonė
Infantry	Pėstininkas
Infectious disease	Infekcinė liga
Infinitive	Bendratis
Infinity	Begalybė
Inflammation	Uždegimas
Inflation	Infliacija
Influenza	Gripas
Information	Informacija
Infrared	Infraraudonieji spinduliai
Infrastructure	Infrastruktūra
Ingmar Bergman	Ingmar Bergman
Inner Mongolia	Vidinė Mongolija
Innovation	Naujadara
Innsbruck	Insbrukas
Inorganic chemistry	Neorganinė chemija
Inquisition	Inkvizicija
Insect	Vabzdžiai
Insecticide	Insekticidas
Insectivora	Vabzdžiaėdžiai
Institution	Institucija
Insulin	Insulinas
Insurance	Draudimas
Integer	Sveikasis skaičius
Integral	Apibrėžtinis integralas
Integrated circuit	Integrinis grandynas
Intellectual property	Intelektinė nuosavybė
Intelligence	Intelektas
Intelligence quotient	Intelekto koeficientas
Interest	Palūkanos
Interference	Interferencija
Interjection	Jaustukas
Interlingua	Interlingua
International Atomic Energy Agency	Tarptautinė atominės energijos agentūra
International Civil Aviation Organization	Tarptautinė Civilinės Aviacijos Organizacija
International Court of Justice	Tarptautinis Teisingumo Teismas
International Date Line	Datos keitimosi linija
International Monetary Fund	Tarptautinis valiutos fondas
International System of Units	SI
International law	Kategorija:Tarptautinė teisė
International organization	Tarptautinė organizacija
Internet	Internetas
Internet	Kategorija:Internetas
Internet Explorer	Internet Explorer
Internment	Koncentracijos stovykla
Interpreter (computing)	Interpretatorius
Intestine	Žarnynas
Invention	Išradimas
Invertebrate	Bestuburiai
Io (moon)	Ijo (palydovas)
Io (mythology)	Ijo
Iodine	Jodas
Ion	Jonas (dalelė)
Ionian Sea	Jonijos jūra
Ionosphere	Jonosfera
Iota	Jota (raidė)
Iowa	Ajova
Iran	Iranas
Iran	Kategorija:Iranas
Iraq	Irakas
Iraq	Kategorija:Irakas
Ireland	Airijos sala
Irenaeus	Irenėjus
Iridium	Iridis
Iris (anatomy)	Rainelė
Iris (mythology)	Iridė
Irish Sea	Airijos jūra
Iron	Geležis
Iron Age	Geležies amžius
Iron Curtain	Geležinė uždanga
Iron Maiden	Iron Maiden
Irony	Ironija
Irrational number	Iracionalusis skaičius
Irtysh River	Irtyšius
Isaac	Izaokas
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Isis	Izidė
Islam	Islamas
Islam	Kategorija:Islamas
Islamabad	Islamabadas
Islamic calendar	Musulmonų kalendorius
Island	Sala
Isle of Man	Meno Sala
Isle of Wight	Vaito sala
Isotope	Izotopas
Israel	Izraelis
Israel	Kategorija:Izraelis
Istanbul	Stambulas
Isthmus of Panama	Panamos sąsmauka
Italian Peninsula	Apeninų pusiasalis
Italy	Italija
Italy	Kategorija:Italija
Ithaca	Itakė
Ivan Pavlov	Ivanas Pavlovas
Ivory	Dramblio kaulas
J	J
J. D. Salinger	Jerome David Salinger
Jack Kerouac	Jack Kerouac
Jack London	Jack London
Jackdaw	Kuosa
Jackson Pollock	Jackson Pollock
Jacksonville	Džeksonvilis
Jacob	Jokūbas
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jaguar	Jaguaras
Jainism	Džainizmas
Jakarta	Džakarta
Jalalabad	Džalalabadas
Jamaica	Jamaika
Jamaica	Kategorija:Jamaika
James	Apaštalas Jokūbas vyresnysis
James Bond	Džeimsas Bondas
James Clerk Maxwell	James Clark Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Džamu ir Kašmyras
Jan Hus	Janas Husas
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janissary	Janyčarai
January	Sausis
January 1	Sausio 1
January 19	Sausio 19
January 20	Sausio 20
January 6	Sausio 6
Janus (moon)	Janas (palydovas)
Janus (mythology)	Janas
Japan	Japonija
Japan	Kategorija:Japonija
Jason	Jasonas
Jaundice	Gelta
Java	Java (sala)
Java (disambiguation)	Java
Java (programming language)	Java (kalba)
Jazz	Džiazas
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Džida
Jehovah's Witnesses	Jehovos liudytojai
Jellyfish	Scifomedūzos
Jerez de la Frontera	Cheres de la Frontera
Jericho	Jerichas
Jerome	Šv. Jeronimas
Jerusalem	Jeruzalė
Jesus	Jėzus Kristus
Jew	Žydai
Jihad	Džihadas
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Žana d'Ark
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johann Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johanesburgas
John Adams	John Adams
John Calvin	Jonas Kalvinas
John Dalton	John Dalton
John Dewey	Džonas Diujis
John Lennon	John Winston Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Napier	Džonas Neperis
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Wycliffe	John Wycliff
John the Baptist	Jonas Krikštytojas
John von Neumann	John von Neumann
Joint	Sąnarys
Jonathan Swift	Jonathan Swift
Jordan	Jordanija
Jordan	Kategorija:Jordanija
Jordan River	Jordanas
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Franz Joseph Haydn
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Jozefas Pulitzeris
Joseph Stalin	Josifas Stalinas
Joule	Džaulis
Journalism	Kategorija:Žurnalistika
Journalism	Žurnalistika
Journalist	Žurnalistas
Judaism	Judaizmas
Judaism	Kategorija:Judaizmas
Judas Iscariot	Judas Iskariotas
Judo	Dziudo
Jujutsu	Džiudžitsu
Jules Verne	Jules Verne
Julian calendar	Julijaus kalendorius
Julius Caesar	Gajus Julijus Cezaris
July	Liepa
July 1	Liepos 1
July 4	Liepos 4
June	Birželis
June 14	Birželio 14
June 21	Birželio 21
June 23	Birželio 23
June 24	Birželio 24
June 29	Birželio 29
June 3	Birželio 3
Juneau	Džunas
Juniper	Kadagys
Juno (mythology)	Junona
Jupiter	Jupiteris (planeta)
Jupiter	Kategorija:Jupiteris
Jupiter (mythology)	Jupiteris (mitologija)
Jurassic	Jura
Justinian I	Justinianas I
Jutland	Jutlandijos pusiasalis
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabbalah	Kabala
Kabul	Kabulas
Kalahari Desert	Kalaharis
Kamikaze	Kamikadzė
Kampala	Kampala
Kandahar	Kandaharas
Kansas	Kanzasas
Kappa	Kapa (raidė)
Kara Sea	Karos jūra
Karachi	Karačis
Karate	Karatė
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karma	Karma
Karnataka	Karnataka
Kathmandu	Katmandu
Katowice	Katovicai
Kaunas	Kaunas
Kazakhstan	Kazachija
Kazakhstan	Kategorija:Kazachija
Kazan	Kazanė
Kazimir Malevich	Kazimir Malevič
Kelvin	Kelvinas
Kentucky	Kentukis
Kenya	Kenija
Kenya	Kategorija:Kenija
Kernel (computer science)	Branduolys (OS)
Ketone	Ketonai
Keyboard (computing)	Klaviatūra
Khabarovsk	Chabarovskas
Kharkiv	Charkovas
Khartoum	Chartumas
Khmer Rouge	Raudonieji khmerai
Khufu	Cheopsas
Kibbutz	Kibucas
Kidney	Inkstas
Kiev	Kijevas
Kigali	Kigalis
Kilogram	Kilogramas
Kimono	Kimono
Kinematics	Kinematika
Kinetic energy	Kinetinė energija
King (chess)	Karalius (šachmatai)
Kingdom (biology)	Karalystė
Kingston	Kingstonas
Kingstown	Kingstaunas
Kinshasa	Kinšasa
