Slovak	English
Rebríček obyčajný	Achillea millefolium
Achilles	Achilles
Kyselina	Acid
Kyslý dážď	Acid rain
Akné	Acne vulgaris
Aconcagua	Aconcagua
Akustika	Acoustics
Kategória:Akustika	Acoustics
Aker (jednotka)	Acre
Akko	Acre
Akropola	Acropolis
Aktinoid	Actinide
Aktínium	Actinium
Herec	Actor
Akupunktúra	Acupuncture
Argumentum ad hominem	Ad hominem
Ada (programovací jazyk)	Ada (programming language)
Adam Smith	Adam Smith
Addis Abeba	Addis Ababa
Adelaide	Adelaide
Adenín	Adenine
Adenozíntrifosfát	Adenosine triphosphate
Adiabatický dej	Adiabatic process
Prídavné meno	Adjective
Admirál	Admiral
Adolescencia	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adopcia	Adoption
Jadranské more	Adriatic Sea
Adsorpcia	Adsorption
Advent	Advent
Príslovka	Adverb
Reklama	Advertising
Egejské more	Aegean Sea
Aineias	Aeneas
Aerodynamika	Aerodynamics
Aerosól	Aerosol
Aischylos	Aeschylus
Ezop	Aesop
Estetika	Aesthetics
Afganistan	Afghanistan
Kategória:Afganistan	Afghanistan
Afrika	Africa
Kategória:Afrika	Africa
Afrikánčina	Afrikaans
Agamemnón	Agamemnon
Achát	Agate
Agatha Christie	Agatha Christie
Agresia (psychológia)	Aggression
Kruhoústnice	Agnatha
Agnosticizmus	Agnosticism
Agorafóbia	Agoraphobia
Kategória:Poľnohospodárstvo	Agriculture
Aikido	Aikido
Ain	Ain
Airbus	Airbus
Lietadlo	Aircraft
Kategória:Lietadlá	Aircraft
Lietadlová loď	Aircraft carrier
Letisko	Airport
Achnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Ká’ida	Al-Qaeda
Alabama	Alabama
Kategória:Alabama	Alabama
Alan Bartlett Shepard	Alan Shepard
Alan Mathison Turing	Alan Turing
Alanín	Alanine
Aljaška	Alaska
Kategória:Aljaška	Alaska
Alban Berg	Alban Berg
Albánsko	Albania
Kategória:Albánsko	Albania
Albany	Albany
Albatrosovité	Albatross
Albedo	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Kategória:Alberta	Alberta
Albit	Albite
Hudobný album	Album
Albuquerque	Albuquerque
Alchýmia	Alchemy
Kategória:Alchýmia	Alchemy
Alkohol (hydroxyderivát)	Alcohol
Alkoholický nápoj	Alcoholic beverage
Alkoholizmus	Alcoholism
Aldebaran	Aldebaran
Aldehyd	Aldehyde
Jelša	Alder
Aldous Huxley	Aldous Huxley
Alexandr Isajevič Solženicyn	Aleksandr Solzhenitsyn
Aleuty	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexandr Sergejevič Puškin	Alexander Pushkin
Alexander Veľký	Alexander the Great
Alexandre Dumas starší	Alexandre Dumas
Alexandre Dumas mladší	Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfréd Veľký	Alfred the Great
Riasa	Algae
Algebra	Algebra
Kategória:Algebra	Algebra
Algebrické číslo	Algebraic number
Alžírsko	Algeria
Kategória:Alžírsko	Algeria
Alžír	Algiers
Algoritmus	Algorithm
Alkalické kovy	Alkali metal
Alkaloid	Alkaloid
Alkán	Alkane
Alkén	Alkene
Alkín	Alkyne
Alah	Allah
Inotaj	Allegory
Alela	Allele
Allen Ginsberg	Allen Ginsberg
Alergia	Allergy
Aliterácia	Alliteration
Allosaurus	Allosaurus
Alotropia	Allotropy
Alma-Ata	Almaty
Mandľa obyčajná	Almond
Alfa (grécke písmeno)	Alpha (letter)
Alfa Centauri	Alpha Centauri
Častica alfa	Alpha particle
Abeceda	Alphabet
Alpy	Alps
Kategória:Alpy	Alps
Alsasko	Alsace
Altair	Altair
Oltár	Altar
Striedavý prúd	Alternating current
Kategória:Alternatívna medicína	Alternative medicine
Altruizmus	Altruism
Hliník	Aluminium
Oxid hlinitý	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimerova choroba	Alzheimer's disease
Muchotrávka červená	Amanita muscaria
Muchotrávka zelená	Amanita phalloides
Amarylkovité	Amaryllidaceae
Amazon	Amazon River
Veľvyslanec	Ambassador
Jantár	Amber
Ambrosius Milánsky	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhartová	Amelia Earhart
Zubor americký	American Bison
Americká občianska vojna	American Civil War
Americká vojna za nezávislosť	American Revolutionary War
Americká Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Americký futbal	American football
Kategória:Americký futbal	American football
Amerícium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametyst	Amethyst
Amharčina	Amharic
Amín	Amine
Aminokyselina	Amino acid
Ammán	Amman
Amoniak	Ammonia
Amnézia	Amnesia
Ampér	Ampere
Obojživelníky	Amphibian
Amplitúda	Amplitude
Amsterdam	Amsterdam
Kategória:Amsterdam	Amsterdam
Amón	Amun
Amur (rieka)	Amur
Anabaptizmus	Anabaptist
Anagram	Anagram
Análny sex	Anal sex
Analytická geometria	Analytic geometry
Anarchizmus	Anarchism
Kategória:Anarchizmus	Anarchism
Anatole France	Anatole France
Kategória:Anatómia	Anatomy
Anatómia	Anatomy
Anaxagoras	Anaxagoras
Anaximandros	Anaximander
Anchorage	Anchorage
Starogréčtina	Ancient Greek
Andalúzia	Andalusia
Andamanské more	Andaman Sea
Anders Celsius	Anders Celsius
Andy	Andes
Ándhrapradéš	Andhra Pradesh
Andorra (štát)	Andorra
Kategória:Andorra (štát)	Andorra
Andrej Dmitrijevič Sacharov	Andrei Sakharov
Andrej Tarkovskij	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Android	Android
Andromeda	Andromeda
Súhvezdie Androméda	Andromeda (constellation)
Andromeda (mytológia)	Andromeda (mythology)
Galaxia Androméda	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anémia	Anemia
Anemometer	Anemometer
Anjel	Angel
Uhol	Angle
Anglikánstvo	Anglicanism
Angola	Angola
Kategória:Angola	Angola
Anguilla	Anguilla
Moment hybnosti	Angular momentum
Uhlová rýchlosť	Angular velocity
Boethius	Anicius Manlius Severinus Boethius
Anilín	Aniline
Živočíchy	Animal
Anime	Anime
Kategória:Anime	Anime
Animizmus	Animism
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anna Boleynová	Anne Boleyn
Obrúčkavce	Annelid
Anóda	Anode
Husotvaré	Anseriformes
Kategória:Husotvaré	Anseriformes
Mravcovité	Ant
Antalya	Antalya
Antananarivo	Antananarivo
Antarktída	Antarctica
Kategória:Antarktída	Antarctica
Antares	Antares
Anténa	Antenna (radio)
Slezinová sneť	Anthrax
Antropológia	Anthropology
Kategória:Antropológia	Anthropology
Antropozofia	Anthroposophy
Antibiotikum	Antibiotic
Protilátka	Antibody
Tlaková výš	Anticyclone
Antigén	Antigen
Antigona (mytológia)	Antigone
Antigua a Barbuda	Antigua and Barbuda
Kategória:Antigua a Barbuda	Antigua and Barbuda
Antihmota	Antimatter
Antimón	Antimony
Antioxidant	Antioxidant
Protipápež	Antipope
Antisemitizmus	Antisemitism
Kategória:Antisemitizmus	Antisemitism
Súhvezdie Výveva	Antlia
Antoine Laurent Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pavlovič Čechov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonymum	Antonym
Antverpy	Antwerp
Anup	Anubis
Ritný otvor	Anus
Srdcovnica	Aorta
Apatit	Apatite
Hominoidovce	Ape
Afázia	Aphasia
Aforizmus	Aphorism
Afrodita	Aphrodite
Apia	Apia
Apokryf	Apocrypha
Dážďovníkotvaré	Apodiformes
Apolón	Apollo
Apollo	Apollo (disambiguation)
Program Apollo	Apollo program
Kategória:Program Apollo	Apollo program
Apoptóza	Apoptosis
Apalačské vrchy	Appalachian Mountains
Jablko	Apple
Apríl	April
14. apríl	April 14
Apsida (architektúra)	Apse
Súhvezdie Rajka	Apus
Lúčavka kráľovská	Aqua regia
Akvárium	Aquarium
Súhvezdie Vodnár	Aquarius (constellation)
Akvadukt	Aqueduct
Súhvezdie Orol	Aquila (constellation)
Akvitánsko	Aquitaine
Súhvezdie Oltár	Ara (constellation)
Arabi	Arab
Liga arabských štátov	Arab League
Arabský polostrov	Arabian Peninsula
Arabské more	Arabian Sea
Arabské písmo	Arabic alphabet
Arabčina	Arabic language
Pavúkovce	Arachnid
Arafurské more	Arafura Sea
Aragónsko	Aragon
Aralské jazero	Aral Sea
Aram Iľjič Chačaturjan	Aram Khachaturian
Arkádia	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Archeológia	Archaeology
Kategória:Archeológia	Archaeology
Archaeopteryx	Archaeopteryx
Archanjel	Archangel
Arcibiskup	Archbishop
Archaikum	Archean
Archetyp	Archetype
Archimedes	Archimedes
Súostrovie	Archipelago
Architekt	Architect
Architektúra	Architecture
Kategória:Architektúra	Architecture
Archosauria	Archosaur
Arktída	Arctic
Severný ľadový oceán	Arctic Ocean
Ardennes (departement)	Ardennes (department)
Ár	Are
Arekotvaré	Arecaceae
Ares (boh)	Ares
Argentína	Argentina
Kategória:Argentína	Argentina
Argón	Argon
Argos	Argos
Ária	Aria
Arianizmus	Arianism
Súhvezdie Baran	Aries (constellation)
Aristarchos zo Samu	Aristarchus of Samos
Aristofanes	Aristophanes
Aristoteles	Aristotle
Aritmetika	Arithmetic
Kategória:Aritmetika	Arithmetic
Aritmetická postupnosť	Arithmetic progression
Areios	Arius
Arizona	Arizona
Kategória:Arizona	Arizona
Arkansas	Arkansas
Kategória:Arkansas	Arkansas
Arménsko	Armenia
Kategória:Arménsko	Armenia
Arménčina	Armenian language
Arminius	Arminius
Arnhem	Arnhem
Arno	Arno River
Arnold Schönberg	Arnold Schoenberg
Arén	Aromatic hydrocarbon
Arzén	Arsenic
Umenie	Art
Art deco	Art Deco
Secesia	Art Nouveau
Artemis	Artemis
Palina pravá	Artemisia absinthium
Tepna	Artery
Dna	Arthritis
Článkonožce	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Jean Nicolas Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, 1. vojvoda z Wellingtonu	Arthur Wellesley
Umelá inteligencia	Artificial intelligence
Kategória:Umelá inteligencia	Artificial intelligence
Delostrelectvo	Artillery
Kategória:Delostrelectvo	Artillery
Artista	Artist
Kategória:Umenie	Arts
Aruba	Aruba
Kategória:Aruba	Aruba
Azbest	Asbestos
Asklepios	Asclepius
Asexualita	Asexuality
Popolcová streda	Ash Wednesday
Aššurbanipal	Ashurbanipal
Ázia	Asia
Kategória:Ázia	Asia
Asmara	Asmara
Aspartam	Aspartame
Asfalt	Asphalt
Acylpyrin	Aspirin
Asýria	Assyria
Kategória:Asýria	Assyria
Astana	Astana
Astát	Astatine
Kategória:Astrovité	Asteraceae
Asteroid	Asteroid
Pásmo planétok	Asteroid belt
Astenosféra	Asthenosphere
Astma	Asthma
Astigmatizmus (optika)	Astigmatism (eye)
Astrobiológia	Astrobiology
Astroláb	Astrolabe
Astrológia	Astrology
Kategória:Astrológia	Astrology
Astrometria	Astrometry
Kozmonaut	Astronaut
Astronóm	Astronomer
Astronomická jednotka	Astronomical unit
Astronómia	Astronomy
Kategória:Astronómia	Astronomy
Portál:Astronómia	Astronomy
Astrofyzika	Astrophysics
Kategória:Astrofyzika	Astrophysics
Atacama	Atacama Desert
Aton	Aten
Pallas Aténa	Athena
Atény	Athens
Kategória:Atletika	Athletics
Atletika	Athletics (track and field)
Atlanta	Atlanta
Atlantický oceán	Atlantic Ocean
Kategória:Atlantický oceán	Atlantic Ocean
Atlas	Atlas (disambiguation)
Atlas (mesiac)	Atlas (moon)
Atlas (mytológia)	Atlas (mythology)
Atlas (pohorie)	Atlas Mountains
Atmosféra (kozmického telesa)	Atmosphere
Atmosféra (jednotka)	Atmosphere (unit)
Atmosférický tlak	Atmospheric pressure
Atol	Atoll
Atóm	Atom
Atómové hodiny	Atomic clock
Atómová hmotnosť	Atomic mass
Atómová hmotnostná jednotka	Atomic mass unit
Protónové číslo	Atomic number
Atropín	Atropine
Atika (polostrov)	Attica
Au	Au
Auckland	Auckland
August	August
1. august	August 1
15. august	August 15
6. august	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustín z Hippa	Augustine of Hippo
Octavianus Augustus	Augustus
Súhvezdie Povozník	Auriga (constellation)
Aurora	Aurora
Austin (Texas)	Austin
Australázia (geografia)	Australasia
Austrália (štát)	Australia
Kategória:Austrália (štát)	Australia
Austrálsky dolár	Australian dollar
Australopitek	Australopithecus
Rakúsko	Austria
Kategória:Rakúsko	Austria
Rakúsko-Uhorsko	Austria-Hungary
Autor	Author
Autorita (sociológia)	Authority
Autizmus (uzavretosť)	Autism
Autobiografia	Autobiography
Automobil	Automobile
Autotrofia	Autotroph
Jeseň	Autumn
Auvergne (región)	Auvergne (region)
Lavína	Avalanche
Avatára	Avatar
Ibn Rušd	Averroes
Avesta	Avesta
Kategória:Letectvo	Aviation
Letectvo	Aviation
Ibn Síná	Avicenna
Avignon	Avignon
Avogadrov zákon	Avogadro's law
Sekera	Axe
Axióma	Axiom
Ajatolláh	Ayatollah
Ayn Randová	Ayn Rand
Azerbajdžan	Azerbaijan
Kategória:Azerbajdžan	Azerbaijan
Azory	Azores
Aztékovia	Aztec
Azurit	Azurite
B	B
BASIC (programovací jazyk)	BASIC
Babylónia	Babylonia
Backgammon	Backgammon
Baktérie	Bacteria
Kategória:Baktérie	Bacteria
Bakteriofág	Bacteriophage
Bedminton	Badminton
Baffinov záliv	Baffin Bay
Baffinov ostrov	Baffin Island
Bagdad	Baghdad
Kategória:Bahamy	Bahamas
Bahrajn	Bahrain
Kategória:Bahrajn	Bahrain
Baja California	Baja California
Baku	Baku
Baleáry	Balearic Islands
Kosticovce	Baleen whale
Balkánsky polostrov	Balkans
Balet	Ballet
Kategória:Balet	Ballet
Balistická raketa	Ballistic missile
Baltské more	Baltic Sea
Baltimore (Maryland)	Baltimore
Bamako	Bamako
Bambus	Bamboo
Banán	Banana
Banánová republika	Banana republic
Bangalúr	Bangalore
Bangkok	Bangkok
Bangladéš	Bangladesh
Kategória:Bangladéš	Bangladesh
Bangui	Bangui
Banjul	Banjul
Banka (inštitúcia)	Bank
Bankovka	Banknote
Kategória:Banky	Banks
Sviatosť krstu	Baptism
Baptizmus	Baptist
Bar (tlak)	Bar (unit)
Barbados	Barbados
Kategória:Barbados	Barbados
Barbar	Barbarian
Barcelona	Barcelona
Barentsovo more	Barents Sea
Bari (mesto v Taliansku)	Bari
Bárium	Barium
Jačmeň	Barley
Plamienka driemavá	Barn Owl
Lastovička obyčajná	Barn Swallow
Barometer (fyzika)	Barometer
Barón	Baron
Barok	Baroque
Barranquilla	Barranquilla
Barel	Barrel (unit)
Baryón	Baryon
Bazalt	Basalt
Bejzbal	Baseball
Kategória:Bejzbal	Baseball
Bazilej	Basel
Bash	Bash
Bazalka pravá	Basil
Bazil Veľký	Basil of Caesarea
Bazilika	Basilica
Basiliskos	Basiliscus
Basketbal	Basketball
Kategória:Basketbal	Basketball
Basová gitara	Bass guitar
Dolná Normandia	Basse-Normandie
Basseterre	Basseterre
Bast	Bast (mythology)
Netopiere	Bat
Baton Rouge	Baton Rouge
Kategória:Netopiere	Bats
Bitka pri Slavkove	Battle of Austerlitz
Bitka o Britániu (druhá svetová vojna)	Battle of Britain
Bitka pri Hastingse	Battle of Hastings
Bitka pri Maratóne	Battle of Marathon
Bitka o Midway	Battle of Midway
Bitka pri Termopylách	Battle of Thermopylae
Bitka pri Trafalgare	Battle of Trafalgar
Bitka o Verdun	Battle of Verdun
Bitka pri Waterloo	Battle of Waterloo
Bitka o Ardeny	Battle of the Bulge
Bojová loď	Battleship
Staatliches Bauhaus	Bauhaus
Bauxit	Bauxite
Bavorsko	Bavaria
Kategória:Bavorsko	Bavaria
Vavrín pravý	Bay Laurel
Biskajský záliv	Bay of Biscay
Bayer AG	Bayer
Bígl	Beagle
Zobák	Beak
Beaufortovo more	Beaufort Sea
Beaufortova stupnica sily vetra	Beaufort scale
Bebop	Bebop
Becquerel (jednotka)	Becquerel
Beda Venerabilis	Bede
Kategória:Včelárstvo	Beekeeping
Pivo	Beer
Kategória:Pivo	Beer
Chrobáky	Beetle
Behaviorizmus	Behaviorism
Peking	Beijing
Bejrút	Beirut
Bielorusko	Belarus
Kategória:Bielorusko	Belarus
Belfast	Belfast
Belgicko	Belgium
Kategória:Belgicko	Belgium
Belehrad	Belgrade
Belisar	Belisarius
Belize	Belize
Kategória:Belize	Belize
Zvon	Bell (instrument)
Bellerofontes	Bellerophon
Benelux	Benelux
Benin	Benin
Kategória:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Bergen	Bergen
Beringovo more	Bering Sea
Beringov prieliv	Bering Strait
Berkélium	Berkelium
Berkshire (grófstvo)	Berkshire
Berlín	Berlin
Kategória:Berlín	Berlin
Bermudy	Bermuda
Kategória:Bermudy	Bermuda
Bermudský trojuholník	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern (mesto)	Berne
Georg Friedrich Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryl
Berýlium	Beryllium
Beta (grécke písmeno)	Beta (letter)
Beta rozpad	Beta decay
Betelgeuze	Betelgeuse
Betlehem (sídlo)	Bethlehem
Bhután	Bhutan
Kategória:Bhután	Bhutan
Biblia	Bible
Kategória:Biblia	Bible
Bibliografia	Bibliography
Bicykel	Bicycle
Veľký tresk	Big Bang
Žlč	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Dvojhviezda	Binary star
Binokulár	Binoculars
Biochémia	Biochemistry
Kategória:Biochémia	Biochemistry
Biogeografia	Biogeography
Biografia	Biography
Portál:Ľudia	Biography
Bakteriologická zbraň	Biological warfare
Biológia	Biology
Kategória:Biológia	Biology
Portál:Biológia	Biology
Bióm	Biome
Biofyzika	Biophysics
Biopsia	Biopsy
Biosféra	Biosphere
Biotín	Biotin
Vtáky	Bird
Birmingham (Alabama)	Birmingham
Antikoncepcia	Birth control
Bisexualita	Bisexuality
Biškek	Bishkek
Biskup	Bishop
Strelec (šach)	Bishop (chess)
Bismarck (Severná Dakota)	Bismarck
Bismarck	Bismarck (disambiguation)
Bizmut	Bismuth
Bissau	Bissau
Bit	Bit
Lastúrniky	Bivalvia
Čierna	Black
Čierna smrť	Black Death
Schwarzwald	Black Forest
Haja tmavá	Black Kite
Čierne more	Black Sea
Bocian čierny	Black Stork
Absolútne čierne teleso	Black body
Čierna diera	Black hole
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Weblog	Blog
Krv	Blood
Krvná plazma	Blood plasma
Krvný tlak	Blood pressure
Cieva (anatómia)	Blood vessel
Modrá	Blue
Blues	Blues
Diviak lesný	Boar
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Robert Fischer	Bobby Fischer
Boby	Bobsleigh
Bódhisattva	Bodhisattva
Index telesnej hmotnosti	Body mass index
Kulturistika	Bodybuilding
Čechy	Bohemia
Bohrium	Bohrium
Teplota varu	Boiling point
Boise	Boise
Hríb smrekový	Boletus edulis
Bolívia	Bolivia
Kategória:Bolívia	Bolivia
Boloňa	Bologna
Boľševik	Bolshevik
Bolzano	Bolzano
Bombardovacie lietadlo	Bomber
Dlhopis (cenný papier)	Bond (finance)
Kosť	Bone
Kostná dreň	Bone marrow
Bonn	Bonn
Kniha	Book
Sudcovia	Book of Judges
Kniha Mormónova	Book of Mormon
Numeri	Book of Numbers
Zjavenie svätého Jána	Book of Revelation
Kniha Rút	Book of Ruth
Bordeaux	Bordeaux
Boris Fiodorovič Godunov	Boris Godunov
Boris Leonidovič Pasternak	Boris Pasternak
Boris Vasilievič Spasskij	Boris Spassky
Borneo	Borneo
Bór	Boron
Bosna a Hercegovina	Bosnia and Herzegovina
Kategória:Bosna a Hercegovina	Bosnia and Herzegovina
Bozón	Boson
Boston (Massachusetts)	Boston
Bostonské pitie čaju	Boston Tea Party
Šablóna:Bot	Bot
Botanická záhrada	Botanical garden
Botanika	Botany
Kategória:Botanika	Botany
Botswana	Botswana
Kategória:Botswana	Botswana
Delfín skákavý	Bottlenose Dolphin
Buržoázia	Bourgeoisie
Burgundsko (región)	Bourgogne
Bouvetov ostrov	Bouvet Island
Luk	Bow (weapon)
Bowling	Bowling
Boxer (pes)	Boxer (dog)
Kategória:Box	Boxing
Boyleov-Mariottov zákon	Boyle's law
Zátvorka (interpunkčné znamienko)	Bracket
Brahma (hinduistický boh)	Brahma
Brahmaputra	Brahmaputra River
Braillovo písmo	Braille
Mozog	Brain
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenbursko	Brandenburg
Mosadz	Brass
Podprsenka	Brassiere
Bratislava	Bratislava
Brazília	Brazil
Kategória:Brazília	Brazil
Brazzaville	Brazzaville
Chlieb	Bread
Prsník	Breast
Karcinóm prsníka	Breast cancer
Brémy	Bremen
Brémy (krajina)	Bremen (state)
Brescia (mesto)	Brescia
Brest (Bielorusko)	Brest
Brest	Brest
Bretónsko (región)	Bretagne
Tehla (stavebníctvo)	Brick
Most	Bridge
Kategória:Mosty	Bridges
Bridgetown	Bridgetown
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol (mesto v Anglicku)	Bristol
Britská Kolumbia	British Columbia
Britské impérium	British Empire
Britské ostrovy	British Isles
Britské Panenské ostrovy	British Virgin Islands
Kategória:Britské osobnosti	British people
Brno	Brno
Broadway	Broadway (New York City)
Bróm	Bromine
Bronz	Bronze
Bronzová doba	Bronze Age
Brooklyn	Brooklyn
Brooklynský most	Brooklyn Bridge
Medveď hnedý	Brown Bear
Brownov pohyb	Brownian motion
Brunej	Brunei
Kategória:Brunej	Brunei
Brusel	Brussels
Bukurešť	Bucharest
Buckinghamský palác	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Pohánka jedlá	Buckwheat
Budapešť	Budapest
Budha	Buddha
Budhizmus	Buddhism
Kategória:Budhizmus	Buddhism
Buenos Aires	Buenos Aires
Buffalo (New York)	Buffalo
Stavba	Building
Bujumbura	Bujumbura
Bulharsko	Bulgaria
Kategória:Bulharsko	Bulgaria
Čmeľ	Bumblebee
Archimedov zákon	Buoyancy
Byrokracia	Bureaucracy
Starosta	Burgomaster
Burkina	Burkina Faso
Kategória:Burkina	Burkina Faso
Mjanmarsko	Burma
Kategória:Mjanmarsko	Burma
Bursa	Bursa
Kategória:Burundi	Burundi
Autobus	Bus
Kategória:Podnikatelia	Businesspeople
Maslo	Butter
Bydgoszcz	Bydgoszcz
Bajt	Byte
Kategória:Byzantská ríša	Byzantine Empire
C	C
C (programovací jazyk)	C (programming language)
Clive Staples Lewis	C. S. Lewis
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Kabaret	Cabaret
Rýchla vyrovnávacia pamäť	Cache
Kadmium	Cadmium
