English	Catalan
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Emoticona
Emotion	Emoció
Emotion	Categoria:Sentiments
Empedocles	Empèdocles
Emperor	Emperador
Emperor Penguin	Pingüí emperador
Empire	Imperi
Empire State Building	Empire State Building
Empiricism	Empirisme
Emu	Emú
Emulsion	Emulsió
Encyclopedia	Enciclopèdia
Endemism	Endemisme
Endocrine system	Sistema endocrí
Endocrinology	Endocrinologia
Energy	Energia
Energy	Categoria:Energia
Energy (society)	Energia
Engine	Motor
Engineering	Enginyeria
Engineering	Categoria:Enginyeria
England	Anglaterra
England	Categoria:Anglaterra
English Channel	Canal de la Mànega
English Civil War	Guerra Civil Anglesa
English language	Anglès
English language	Categoria:Anglès
English people	Categoria:Anglesos
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Categoria:Entreteniment
Enthalpy	Entalpia
Entomology	Entomologia
Entomology	Categoria:Entomologia
Entropy	Entropia
Environment	Categoria:Medi ambient
Environment	Medi ambient
Enzyme	Enzim
Eocene	Eocè
Eon (geology)	Eó
Eos	Eos
Ephesus	Efes
Epic poetry	Poema èpic
Epicenter	Epicentre
Epictetus	Epictet d'Hieràpolis
Epicurus	Epicur
Epidemic	Epidèmia
Epidemiology	Epidemiologia
Epilepsy	Epilèpsia
Epimetheus (mythology)	Epimeteu (mitologia)
Epinephrine	Adrenalina
Epiphany (Christian)	Epifania
Epirus (periphery)	Regne de l'Epir
Epistemology	Epistemologia
Epistle to the Galatians	Epístola als gàlates
Epistle to the Romans	Epístola als Romans
Epithelium	Teixit epitelial
Epsilon	Èpsilon
Equation	Equació
Equator	Línia equatorial
Equatorial Guinea	Guinea Equatorial
Equatorial Guinea	Categoria:Guinea Equatorial
Equidae	Èquid
Equinox	Equinocci
Equisetum	Equiset
Erato	Èrato
Eratosthenes	Eratòstenes
Erbium	Erbi
Erebus	Èreb
Erectile dysfunction	Disfunció erèctil
Ericaceae	Ericàcia
Ericales	Erical
Eridanus (constellation)	Eridà (constel·lació)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	(136199) Eris
Eris (mythology)	Eris (filla de Nix)
Eritrea	Categoria:Eritrea
Ernest Hemingway	Ernest Miller Hemingway
Ernest Rutherford	Ernest Rutherford
Eros (mythology)	Eros (fill d'Ares)
Erosion	Erosió
Erotica	Erotisme
Erwin Rommel	Erwin Rommel
Escape velocity	Velocitat d'escapament
Eschatology	Escatologia
Escherichia coli	Escheríchia coli
Esophagus	Esòfag
Esperanto	Esperanto
Esperanto	Categoria:Esperanto
Espoo	Espoo
Essay	Assaig
Essen	Essen
Essential oil	Oli essencial
Essex	Essex
Ester	Èster
Estonia	Categoria:Estònia
Estrogen	Estrogen
Eta (letter)	Eta
Etching	Aiguafort
Ethane	Età
Ethanol	Etanol
Ether	Èter
Ethernet	Ethernet
Ethics	Ètica
Ethics	Categoria:Ètica
Ethiopia	Etiòpia
Ethiopia	Categoria:Etiòpia
Ethnography	Etnografia
Ethology	Etologia
Ethylene	Etilè
Etymology	Etimologia
Eucharist	Eucaristia
Euclid	Euclides
Euclidean geometry	Geometria euclidiana
Eugene O'Neill	Eugene Gladstone O'Neill
Eukaryote	Eucariota
Euphemism	Eufemisme
Euphrates	Eufrates
Eurasia	Euràsia
Eurasian Badger	Toixó
Euripides	Eurípides
Euro	Euro
Europa (moon)	Europa (satèl·lit)
Europa (mythology)	Europa (filla d'Agènor)
Europe	Europa
Europe	Categoria:Europa
European Central Bank	Banc Central Europeu
European Community	Comunitat Europea
European Magpie	Garsa
European Union	Unió Europea
European Union	Categoria:Unió Europea
Europium	Europi
Eusebius of Caesarea	Eusebi de Cesarea
Euterpe	Euterpe
Euthanasia	Eutanàsia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Evaporació
Even-toed ungulate	Artiodàctil
Evolution	Evolució
Excalibur	Excàlibur
Exchange rate	Taxa de canvi
Exclamation mark	Signe d'exclamació
Excommunication	Excomunió
Executive (government)	Poder executiu
Exhibitionism	Exhibicionisme
Existentialism	Existencialisme
Exodus	Èxode
Expected value	Esperança matemàtica
Expo (exhibition)	Exposició Universal
Exponential function	Funció exponencial
Exponentiation	Potència aritmètica
Expressionism	Expressionisme
Extinction	Extinció
Eye	Ull
Eye	Categoria:Ull
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	Francis Scott Fitzgerald
Fabaceae	Lleguminosa
Fable	Faula
Face	Cara
Factorial	Factorial
Factory	Fàbrica
Facula	Fàcula
Fado	Fado
Fagaceae	Categoria:Fagàcies
Fagales	Fagal
Fahrenheit	Grau Fahrenheit
Fair use	Fair use
Fairy	Fada
Falcon	Falcó
Falconiformes	Falconiformes
Falkland Islands	Illes Malvines
Fallacy	Fal·làcia
Fallopian tube	Trompa de Fal·lopi
Fallow Deer	Daina
Family (biology)	Família (biologia)
Family history	Genealogia
Family name	Cognom
Far East	Extrem Orient
Farad	Farad
Faroe Islands	Categoria:Illes Fèroe
Fascism	Feixisme
Fascism	Categoria:Feixisme
Fashion	Moda
Fast food	Menjar ràpid
Fatah	Fatah
Fatty acid	Àcid gras
Fault (geology)	Falla
Fauna	Fauna
Fauvism	Fauvisme
Fax	Fax
Fear	Por
Feather	Ploma
February	Febrer
February 12	12 de febrer
February 14	14 de febrer
February 2	2 de febrer
February 22	22 de febrer
February 29	29 de febrer
February Revolution	Revolució de Febrer
Feces	Excrement
Federal Bureau of Investigation	Federal Bureau of Investigation
Federated States of Micronesia	Estats Federats de Micronèsia
Federated States of Micronesia	Categoria:Estats Federats de Micronèsia
Federation	Federació
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora
Feedback	Realimentació
Feldspar	Feldspat
Felidae	Fèlid
Felix Mendelssohn	Felix Mendelssohn
Feminism	Feminisme
Feminism	Categoria:Feminisme
Fencing	Esgrima
Fennel	Fonoll
Fenrir	Fenrir
Fenugreek	Fenigrec
Ferdinand II	Ferran II del Sacre Imperi Romanogermànic
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentació
Fermion	Fermió
Fermium	Fermi (element)
Fern	Falguera
Ferrara	Ferrara
Ferry	Transbordador
Fertile Crescent	Creixent Fèrtil
Fertilisation	Fecundació
Fertilizer	Fertilitzant
Fetus	Fetus
Feudalism	Feudalisme
Fever	Febre
Fiat	FIAT
Fibonacci number	Successió de Fibonacci
Fictional character	Personatge
Fidel Castro	Fidel Castro Ruz
Field (mathematics)	Cos (matemàtiques)
Field hockey	Hoquei sobre herba
Fiji	Fiji
Fiji	Categoria:Fiji
File Allocation Table	File Allocation Table
File Transfer Protocol	Protocol de transferència de fitxers
Filippo Brunelleschi	Filippo Brunelleschi
Film	Categoria:Cinema
Film	Pel·lícula
Film	Portal:Cinema
Film director	Director de cinema
Fin Whale	Rorqual comú
Finance	Categoria:Finances
Finger	Dit
Fingerprint	Reconeixement d'empremtes dactilars
Finland	Finlàndia
Finland	Categoria:Finlàndia
Fire	Foc
Firearm	Arma de foc
Firefighter	Bomber
Firewall (networking)	Tallafocs
Firmware	Microprogramari
First Council of Nicaea	Concili de Nicea I
First Crusade	Primera Croada
First language	Llengua materna
Fish	Peix
Fish	Categoria:Peixos
Fishing	Pesca
Fjord	Fiord
Flag	Bandera
Flamenco	Música flamenca
Flamingo	Flamenc (animal)
Flanders	Flandes
Flash memory	Memòria flaix
Flatulence	Flatulència
Flatworm	Platihelmint
Flea	Puça
Flint	Sílex
Flood	Inundació
Floppy disk	Disc flexible
Florence	Florència
Florence Nightingale	Florence Nightingale
Florida	Florida
Flour	Farina
Flower	Flor
Flowering plant	Magnoliofití
Fluid	Fluid
Fluid mechanics	Mecànica dels fluids
Fluorite	Fluorita
Flute	Flauta
Fly	Mosca
Fog	Boira
Folic acid	Àcid fòlic
Folk music	Folk
Food	Aliment
Food and Agriculture Organization	FAO
Food chain	Xarxa tròfica
Foot	Peu
Foot (unit of length)	Peu (unitat de longitud)
Football (soccer)	Futbol
Football (soccer)	Categoria:Futbol
Football (soccer) by country	Categoria:Futbol per territori
Football (soccer) clubs	Categoria:Clubs de futbol
Football (soccer) managers	Categoria:Entrenadors de futbol
Football (soccer) players	Categoria:Futbolistes
Force	Força
Forest	Bosc
Fork	Forquilla
Form of government	Forma de govern
Formaldehyde	Formaldehid
Formic acid	Àcid fòrmic
Fornax	Forn (constel·lació)
Fort Worth	Fort Worth
Fortran	Fortran
Fossil	Fòssil
Fossil fuel	Combustible fòssil
Foucault pendulum	Pèndol de Foucault
Fourier series	Sèrie de Fourier
Fourth Crusade	Quarta Croada
Fractal	Fractal
Fraction (mathematics)	Fracció
France	França
France	Categoria:França
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Francesc I d'Àustria
Francis Poulenc	Francis Poulenc
Francis of Assisi	Sant Francesc d'Assís
Franciscan	Franciscà
Francisco Franco	Francisco Franco Bahamonde
Francisco Goya	Francisco de Goya y Lucientes
Francisco Pizarro	Francisco Pizarro
Francium	Franci
Franco-Prussian War	Guerra francoprussiana
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Frankfurt del Main
Frankfurt	Categoria:Frankfurt del Main
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Frederick I	Frederic I del Sacre Imperi Romanogermànic
Frederick II	Frederic II del Sacre Imperi Romanogermànic
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Free State	Estat Lliure (Sud-àfrica)
Free will	Lliure albir
Freedom of speech	Llibertat d'expressió
Freemasonry	Francmaçoneria
Freetown	Freetown
Freeware	Programari gratuït
French Polynesia	Polinèsia Francesa
French Polynesia	Categoria:Polinèsia Francesa
French Revolution	Revolució Francesa
French Revolution	Categoria:Revolució Francesa
French franc	Franc francès
French people	Categoria:Francesos
Frequency	Freqüència
Fresco	Pintura al fresc
Freshwater	Aigua dolça
Fresno	Fresno
Freyja	Freya
Freyr	Freyr
Friction	Fricció
Friday	Divendres
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Província de Frísia
Frigate	Fragata (vaixell)
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friül – Venècia Júlia
Frog	Anur
Fructose	Fructosa
Fruit	Fruit
Fruit	Categoria:Fruites
Fuel	Combustible
Fuel cell	Pila de combustible
Fugue	Fuga
Fukuoka	Fukuoka
Full moon	Lluna plena
Funafuti	Funafuti
Function (mathematics)	Funció matemàtica
Fundamental	Categoria:Principal
Fundamental interaction	Forces fonamentals
Fundamentalism	Fonamentalisme
Fungi	Categoria:Fongs
Fungus	Fong
Funicular	Funicular
Funk	Funk
Furniture	Categoria:Mobles
Furniture	Moble
Future	Futur
Futurism (art)	Futurisme
Fyodor Dostoevsky	Fiódor Dostoievski
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Categoria:Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolini
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gea
Galatia	Galàcia
Galaxy	Galàxia
Galen	Galè
Galena	Galena
Galicia (Central Europe)	Galítsia
Galicia (Spain)	Galícia
Galilee	Galilea
Galileo (spacecraft)	Galileo (sonda)
Galileo Galilei	Galileo Galilei
Galley	Galera
Galliformes	Gal·liforme
Galliformes	Categoria:Gal·liformes
Gallium	Gal·li
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Joc d'aposta
Game	Joc
Game theory	Teoria dels jocs
Gamma	Gamma
Gamma ray	Radiació gamma
Ganesha	Ganesha
Ganges	Ganges
Ganja	Gandja
Gansu	Gansu
Ganymede	Ganimedes (mitologia)
Ganymede (moon)	Ganimedes (satèl·lit)
Gap	Gap
Garden	Jardí
Garden of Eden	Jardí de l'Edèn
Gardening	Jardineria
Garfield	Garfield
Gargoyle	Gàrgola
Garlic	All
Garnet	Granat
Garonne	Garona
Gas	Gas
Gas giant	Gegant gasós
Gasoline	Gasolina
Gastrointestinal tract	Aparell digestiu
Gastropoda	Gasteròpode
Gaul	Gàl·lia
Gautama Buddha	Siddharta Gautama
Gaza	Gaza
Gaza Strip	Franja de Gaza
Gear	Engranatge
Geb	Llista de personatges de la Mitologia Egípcia#G
Geisha	Geisha
Gemini (constellation)	Bessons
Gemstone	Gemma
Gene	Gen
Genealogy	Genealogia
General Officer	General
General relativity	Relativitat general
Genesis	Gènesi
Genetic code	Codi genètic
Genetic engineering	Enginyeria genètica
Genetics	Genètica
Genetics	Categoria:Genètica
Geneva	Ginebra
Genie	Djinn
Genitive case	Cas genitiu
Genoa	Gènova
Genocide	Genocidi
Genome	Genoma
Genotype	Genotip
Genus	Gènere (biologia)
Geochemistry	Geoquímica
Geodesy	Geodèsia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografia
Geography	Categoria:Geografia
Geography	Portal:Geografia
Geology	Categoria:Geologia
Geology	Geologia
Geometric progression	Progressió geomètrica
Geometry	Geometria
Geometry	Categoria:Geometria
Geomorphology	Geomorfologia
Geophysics	Geofísica
Geopolitics	Geopolítica
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George Walker Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Guyana)
Georgia (U.S. state)	Geòrgia (EUA)
Georgia (country)	Geòrgia
Georgia (country)	Categoria:Geòrgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Pastor alemany
German language	Alemany
German mark	Marc alemany
Germanium	Germani
Germany	Alemanya
Germany	Categoria:Alemanya
Geronimo	Gerónimo
Gestapo	Gestapo
Geyser	Guèiser
Ghana	Ghana
Ghana	Categoria:Ghana
Ghent	Gant
Ghetto	Gueto
Ghost	Fantasma
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda gegant
Gibbon	Gibó
Gibraltar	Gibraltar
Gibraltar	Categoria:Gibraltar
Gigabyte	Gigabyte
Gilgamesh	Gilgamesh
Ginger	Gingebre
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Girafa
Giraffidae	Giràfid
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironda
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Gizeh
Glacier	Glacera
Gladiator	Gladiador
Gland	Glàndula
Glasgow	Glasgow
Glasnost	Glàsnost
Glass	Vidre
Glasses	Ulleres
Glider	Planador
Global Positioning System	Sistema de posicionament global
Global warming	Escalfament global
Globalization	Globalització
Globe artichoke	Carxofera
Gloucestershire	Gloucestershire
Glucose	Glucosa
Gluon	Gluó
Glutamic acid	Àcid glutàmic
Glycerol	Glicerol
Glycine	Glicina
Glycolysis	Glucòlisi
Gnathostomata	Gnatostomat
Gneiss	Gneis
Gnosticism	Gnosticisme
Go (board game)	Go
Goa	Goa
Goat	Cabra domèstica
Gobi Desert	Gobi
God	Déu
Golan Heights	Alts del Golan
Gold	Or
Golda Meir	Golda Meir
Golden Eagle	Àguila daurada
Golf	Golf (esport)
Golf	Categoria:Golf
Golgi apparatus	Aparell de Golgi
Gomel	Hómiel
Good Friday	Divendres Sant
Google	Google
Google	Categoria:Google
Googol	Googol
Gorgon	Gòrgones
Gorilla	Goril·la
Goshawk	Astor
Gospel	Evangeli
Gospel of Luke	Evangeli segons Lluc
Gothenburg	Göteborg
Gothic	Gòtic
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Government	Govern
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Grafit (art)
Graham Greene	Graham Greene
Gram	Gram
Grammar	Gramàtica
Grammar	Categoria:Gramàtica
Grammatical gender	Gènere (gramàtica)
Granada	Granada (Andalusia)
Grand Canyon	Gran Canyó
Grand Slam (tennis)	Grand Slam
Grandmaster (chess)	Gran Mestre Internacional
Granite	Granit
Grape	Vinya
Grapefruit	Aranja
Graphic design	Categoria:Arts gràfiques
Graphic design	Disseny gràfic
Graphical user interface	Interfície gràfica d'usuari
Graphite	Grafit (mineral)
Gravitation	Gravetat
Gravitational constant	Constant de la gravitació
Graviton	Gravitó
Gray (unit)	Gray (unitat)
Gray Wolf	Llop
Graz	Graz
Great Barrier Reef	Gran Barrera de Corall
Great Britain	Gran Bretanya
Great Crested Grebe	Cabussó emplomallat
Great Depression	Gran depressió
Great Lakes	Grans Llacs d'Amèrica del Nord
Great Rift Valley	Gran Vall del Rift
Great Wall of China	Gran Muralla Xinesa
Great white shark	Gran tauró blanc
Greater London	Gran Londres
Greatest common divisor	Màxim comú divisor
Grebe	Podicipediformes
Greece	Grècia
Greece	Categoria:Grècia
Greek alphabet	Alfabet grec
Greek alphabet	Categoria:Alfabet grec
Greek fire	Foc grec
Greek mythology	Mitologia grega
Greek mythology	Categoria:Mitologia grega
Green	Verd
Greenhouse effect	Efecte hivernacle
Greenland	Grenlàndia
Greenland	Categoria:Grenlàndia
Greenland Sea	Mar de Grenlàndia
Greenpeace	Greenpeace
Greenwich Mean Time	GMT
Gregor Mendel	Gregor Mendel
Gregorian calendar	Calendari gregorià
Grenada	Categoria:Grenada
Grenoble	Grenoble
Grey	Gris
Griffin	Grifó
Griffon Vulture	Voltor comú
Gross domestic product	Producte interior brut
Group	Grup
Group (mathematics)	Grup (matemàtiques)
Group (periodic table)	Grup de la taula periòdica
Group theory	Teoria de grups
Grozny	Grozni
Gruiformes	Gruïforme
Grus (constellation)	Grua (constel·lació)
Guadalajara	Guadalajara (Mèxic)
Guadeloupe	Guadalupe (Illa)
Guam	Guam
Guangdong	Guangdong
Guangzhou	Canton
Guanine	Guanina
Guano	Guano
Guatemala	Categoria:Guatemala
Guatemala City	Ciutat de Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Gremi
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Guillotina
Guinea	República de Guinea
Guinea	Categoria:Guinea
Guinea pig	Conill porquí
Guinea-Bissau	Guinea Bissau
Guinea-Bissau	Categoria:Guinea Bissau
Guitar	Guitarra
Gujarat	Gujarat
Gulag	Gulag
Gulf Stream	Corrent del Golf
Gulf War	Guerra del Golf
Gulf of Aden	Golf d'Aden
Gulf of Aqaba	Golf d'Aqaba
Gulf of Bothnia	Golf de Bòtnia
Gulf of Finland	Golf de Finlàndia
Gulf of Guinea	Golf de Guinea
Gulf of Mexico	Golf de Mèxic
Gulf of Oman	Golf d'Oman
Gulf of Thailand	Golf de Siam
Gull	Laridae
Gunpowder	Pólvora
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Categoria:Guyana
Gymnastics	Gimnàstica
Gymnosperm	Gimnosperma
Gynaecology	Ginecologia
Gypsum	Guix
H	H
H. G. Wells	H. G. Wells
HIV	Virus de la Immunodeficiència Humana
HTML	Hyper Text Markup Language
Habitat	Hàbitat
Hacker	Hacker
Hadean	Hadeà
Hades	Hades
Hadrian	Adrià
Hadrian's Wall	Vallum Romanum
Hadron	Hadró
Haemophilia	Hemofília
Hafnium	Hafni
Hagia Sophia	Santa Sofia (Istanbul)
Haifa	Haifa
Haiku	Haiku
Hail	Calamarsa
Hail Mary	Avemaria
Hair	Pèl
Haiti	Haití
Haiti	Categoria:Haití
Halberd	Alabarda
Half-life	Període de semidesintegració
Halle	Halle (Saxònia-Anhalt)
Halloween	Halloween
Halogen	Halogen
Hamas	Hamàs
Hamburg	Ciutat d'Hamburg
Hamburg	Categoria:Hamburg
Hamburger	Hamburguesa
Hamlet	Hamlet
Hammer	Martell
Hammer and sickle	Falç i martell
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hàmster
Han Dynasty	Dinastia Han
Hand	Mà
Handgun	Pistola
Hanging	Forca (pena de mort)
Hanging Gardens of Babylon	Jardins penjants de Babilònia
Hannah Arendt	Hannah Arendt
Hannibal	Anníbal Barca
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Lliga Hanseàtica
Hanukkah	Hanukà
Happiness	Felicitat
Harare	Harare
Hardness	Duresa
Harmonica	Harmònica
Harmony	Harmonia
Harold Pinter	Harold Pinter
Harp	Arpa
Harpsichord	Clavicèmbal
Harpy	Harpia
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hassi
Hatred	Odi
Haute-Normandie	Alta Normandia
Havana	L'Havana
Hawaii	Hawaii
Hawaii	Categoria:Hawaii
Head	Cap (anatomia)
Head of state	Cap d'Estat
Health	Salut
Health	Categoria:Salut i Benestar Social
Heart	Cor
Heat	Calor
Heavy metal music	Heavy metal
Heavy water	Aigua pesant
Hebe (mythology)	Hebe (mitologia)
Hebei	Hebei
Hebrew alphabet	Alfabet hebreu
Hebrew calendar	Calendari hebreu
Hebrides	Hèbrides
Hecate	Hècate
Hectare	Hectàrea
Hector	Hèctor
Hector Berlioz	Hector Berlioz
Hedgehog	Eriçó
Hedonism	Hedonisme
Heimdall	Heimdall
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hela
Helen	Helena
Helen Keller	Helen Keller
Helena	Helena (Estats Units)
Helicopter	Helicòpter
Helios	Hèlios
Helium	Heli
Hell	Infern
Helmut Schmidt	Helmut Schmidt
Helsinki	Hèlsinki
Hematite	Hematites
Hematology	Hematologia
Hematology	Categoria:Hematologia
Hemoglobin	Hemoglobina
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry (unitat)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatitis
Hephaestus	Hefest
Hera	Hera
Heracles	Hèracles
Heraclitus	Heràclit d'Efes
Heraldry	Heràldica
Heraldry	Categoria:Heràldica
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Hèracles
Hercules (constellation)	Hèrcules (constel·lació)
Heresy	Heretgia
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermaphrodite	Hermafrodita
Hermes	Hermes
Hero	Heroi
Hero of Alexandria	Heró d'Alexandria
Herod the Great	Herodes el gran
Herodotus	Heròdot
Heroin	Heroïna
Heron	Ardeid
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiod	Hesíode
Hesse	Hessen
Hesse	Categoria:Hessen
Hestia	Hestia
Heterosexuality	Heterosexualitat
Heterotroph	Heterotròfia
Hexadecimal	Sistema hexadecimal
Hexagon	Hexàgon
Hezbollah	Hesbol·là
Hibernation	Hibernació
Hideki Yukawa	Hideki Yukawa
Himalayas	Himàlaia
Hindu Kush	Hindu Kush
Hinduism	Hinduisme
Hinduism	Categoria:Hinduisme
Hipparchus	Hiparc de Nicea
Hippie	Hippie
Hippocrates	Hipòcrates
Hippocratic Oath	Jurament Hipocràtic
Hippopotamus	Hipopòtam
Hirohito	Hirohito
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidine	Histidina
Histology	Histologia
Histology	Categoria:Histologia
Histone	Histona
Historiography	Historiografia
History	Història
History	Categoria:Història
History	Portal:Història
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Ciutat Ho Chi Minh
Hobart	Hobart
Hobbit	Hòbbit
Hobby	Passatemps
Hokusai	Katsushika Hokusai
Hollywood	Hollywood
Holmium	Holmi
Holocene	Holocè
Holography	Holografia
Holy Grail	Sant Graal
Holy Roman Empire	Sacre Imperi Romanogermànic
Holy Spirit	Esperit Sant
Homeopathy	Homeopatia
Homeostasis	Homeòstasi
Homer	Homer
Hominidae	Homínid
Homo (genus)	Homo
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonímia
Homophobia	Homofòbia
Homosexuality	Homosexualitat
Honduras	Hondures
Honduras	Categoria:Hondures
Honey	Mel
Honey Buzzard	Aligot vesper
Hong Kong	Hong Kong
Hong Kong	Categoria:Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Hooke's law	Llei de Hooke
Hoopoe	Puput
Horace	Horaci
Horatio Nelson	Horatio Nelson
Horizon	Horitzó
Hormone	Hormona
Horn (anatomy)	Banya
Horn (instrument)	Trompa (instrument)
Horn of Africa	Banya d'Àfrica
Horoscope	Horòscop
Horse	Cavall
Horse racing	Hípica
Horsepower	Cavall de vapor
Horus	Horus
Hotel	Hotel
Hour	Hora
Hourglass	Rellotge de sorra
House	Casa
House (TV series)	House, MD
House Mouse	Ratolí
House Sparrow	Pardal
Houston	Houston
Hovercraft	Aerolliscador
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Constant de Hubble
Hudson Bay	Badia de Hudson
Hudson River	Riu Hudson
Hugh Capet	Hug I de França
Huguenot	Hugonot
Human	Humà
Humanism	Humanisme
Humanities	Categoria:Humanitats
Humerus	Húmer
Humidity	Humitat
Hummingbird	Colibrí
Humor	Categoria:Humor
Humour	Humor
Humpback Whale	Iubarta
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Hundred Years' War	Guerra dels Cent Anys
Hungary	Hongria
Hungary	Categoria:Hongria
Hunger	Fam
Hunting	Caça
Hutu	Hutu
Hyderabad	Hyderabad (Índia)
Hydra (constellation)	Hidra femella (constel·lació)
Hydrocarbon	Hidrocarbur
Hydrochloric acid	Àcid clorhídric
Hydroelectricity	Energia hidràulica
Hydrogen	Hidrogen
Hydrogen bond	Enllaç d'hidrogen
Hydrogen cyanide	Àcid cianhídric
Hydrogen peroxide	Peròxid d'hidrogen
Hydrology	Hidrologia
Hydrology	Categoria:Hidrologia
Hydrolysis	Hidròlisi
Hydrosphere	Hidrosfera
Hydrus	Hidra mascle
Hyena	Hiena
Hymenoptera	Categoria:Himenòpters
Hymenoptera	Himenòpter
Hyperbola	Hipèrbola
Hyperbole	Hipèrbole
Hyperion (moon)	Hiperió (satèl·lit)
Hyperion (mythology)	Hiperió (mitologia)
Hypertext	Hipertext
