Asturian	English
Islla de Man	Isle of Man
Islla de Wight	Isle of Wight
Isótopu	Isotope
Israel	Israel
Categoría:Israel	Israel
Estambul	Istanbul
Istmu	Isthmus
Italia	Italy
Categoría:Italia	Italy
J	J
Jack Lemmon	Jack Lemmon
Jackson, Mississippi	Jackson
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Xainismu	Jainism
Jalalabad	Jalalabad
Xamaica	Jamaica
Categoría:Xamaica	Jamaica
James Cook	James Cook
James Watt	James Watt
Xenízaros	Janissary
Xineru	January
1 de xineru	January 1
19 de xineru	January 19
20 de xineru	January 20
6 de xineru	January 6
Xapón	Japan
Categoría:Xapón	Japan
Jazz	Jazz
Xehová	Jehovah
Testigos de Xehová	Jehovah's Witnesses
Jersey	Jersey
Xerusalén	Jerusalem
Xesús	Jesus
Xuana d'Arcu	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Xuan Calvín	John Calvin
John Dalton	John Dalton
John Maynard Keynes	John Maynard Keynes
John von Neumann	John von Neumann
Xordania	Jordan
Categoría:Xordania	Jordan
Joseph Goebbels	Joseph Goebbels
Yósif Stalin	Joseph Stalin
Xuliu (unidá)	Joule
Categoría:Periodismu	Journalism
Categoría:Xudaismu	Judaism
Yudu	Judo
Jules Verne	Jules Verne
Xuliu César	Julius Caesar
Xunetu	July
1 de xunetu	July 1
4 de xunetu	July 4
Xunu	June
14 de xunu	June 14
21 de xunu	June 21
23 de xunu	June 23
24 de xunu	June 24
29 de xunu	June 29
3 de xunu	June 3
Juneau, Alaska	Juneau
Xúpiter (planeta)	Jupiter
Xúpiter	Jupiter (disambiguation)
Xurásicu	Jurassic
K	K
Kabul (ciudá)	Kabul
Kandahar (ciudá)	Kandahar
Karachi	Karachi
Kárate	Karate
Karl Marx	Karl Marx
Karma	Karma
Katowice	Katowice
Kazakhistán	Kazakhstan
Categoría:Kazakhistán	Kazakhstan
Kelvin	Kelvin
Keña	Kenya
Categoría:Keña	Kenya
Kernel	Kernel (computer science)
Kan (títulu)	Khan
Khmeres Roxos	Khmer Rouge
Quilómetru	Kilometre
Quilómetru por hora	Kilometres per hour
Kiribati	Kiribati
Pucu	Kiss
Kneset	Knesset
Cuchiellu	Knife
Nuedu (unidá)	Knot (speed)
Corea	Korea
Kosovo	Kosovo
Categoría:Kosovo	Kosovo
Cublai Kan	Kublai Khan
Kuwait	Kuwait
Categoría:Kuwait	Kuwait
Kyoto	Kyoto
Kirguistán	Kyrgyzstan
L	L
Llaboratoriu	Laboratory
Llagu	Lake
Lambda	Lambda
Frangüesu	Lammergeier
Idioma	Language
Lantánidu	Lanthanide
Laos	Laos
Las Vegas, Nevada	Las Vegas
Llatín	Latin
América Llatina	Latin America
Alfabetu llatín	Latin alphabet
Llatitú	Latitude
Letonia	Latvia
Categoría:Letonia	Latvia
Laurasia	Laurasia
Drechu	Law
Categoría:Derechu	Law
Sociedá de Naciones	League of Nations
Añu bisiestu	Leap year
Líbano	Lebanon
Citrus limon	Lemon
Ríu Lena	Lena River
Lleo	Leo (constellation)
León Trotsky	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Lesotho	Lesotho
Lletra	Letter (alphabet)
Lleva	Lever
Llevíticu	Leviticus
Lexicoloxía	Lexicology
Liberia	Liberia
Llibra (constelación)	Libra (constellation)
Libia	Libya
Categoría:Libia	Libya
Liechtenstein	Liechtenstein
Categoría:Liechtenstein	Liechtenstein
Lluz	Light
Añu lluz	Light-year
Faru	Lighthouse
Lincoln	Lincoln
Reuta	Line (mathematics)
Llingüística	Linguistics
Categoría:Llingüística	Linguistics
Linux	Linux
Lisboa	Lisbon
Lliteratura	Literature
Categoría:Lliteratura	Literature
Litiu	Lithium
Lituania	Lithuania
Categoría:Lituania	Lithuania
Llitru	Litre
Categoría:Lóxica	Logic
Londres	London
Los Ángeles	Los Angeles
Baxa Saxonia	Lower Saxony
Luanda	Luanda
Ludwig van Beethoven	Ludwig van Beethoven
Luxemburgu	Luxembourg
Categoría:Luxemburgu	Luxembourg
M	M
Macedonia Antigua	Macedon
Macedonia (dixebra)	Macedonia
Macedonia (Grecia)	Macedonia (Greece)
Númberu Mach	Mach number
Machu Picchu	Machu Picchu
Macroeconomía	Macroeconomics
Madagascar	Madagascar
Categoría:Madagascar	Madagascar
Madeira	Madeira
Madrid	Madrid
Comunidá de Madrid	Madrid (autonomous community)
Magma	Magma
Carta Magna	Magna Carta
Magnesiu	Magnesium
Categoría:Magnoliopsida	Magnoliopsida
Pega	Magpie
Mohandas Gandhi	Mahatma Gandhi
Maine	Maine
Zea mais	Maize
Mallorca	Majorca
Malasia	Malaysia
