English	Thai
Alfred Russel Wallace	อัลเฟรด รัสเซล วอลเลซ
Alfred the Great	สมเด็จพระเจ้าอัลเฟรดมหาราช
Algae	สาหร่าย
Algebra	พีชคณิต
Algebra	หมวดหมู่:พีชคณิต
Algebraic number	จำนวนเชิงพีชคณิต
Algeria	ประเทศแอลจีเรีย
Algorithm	ขั้นตอนวิธี
Alhambra	อัลฮัมบรา
Ali	อะลีย์
Alkali metal	โลหะแอลคาไล
Alkane	อัลเคน
Alkene	แอลคีน
Allah	อัลลอฮ์
Allegory	สัญลักษณ์แฝงคติ
Allergy	โรคภูมิแพ้
Alloy	โลหะผสม
Almaty	อัลมาตี
Almond	อัลมอนด์
Alpha (letter)	แอลฟา
Alpha particle	อนุภาคแอลฟา
Alphabet	อักษร
Alps	เทือกเขาแอลป์
Alsace	แคว้นอัลซาซ
Altay Mountains	เทือกเขาอัลไต
Aluminium	อะลูมิเนียม
Aluminium oxide	อะลูมิเนียมออกไซด์
Amaterasu	อะมาเตระสุ
Amazon River	แม่น้ำแอมะซอน
Amber	อำพัน
Ambrose	แอมโบรสแห่งมิลาน
Amedeo Avogadro	อาเมเดโอ อาโวกาโดร
Amelia Earhart	อเมเลีย เอียร์ฮาร์ต
American Black Bear	หมีดำ
American Civil War	สงครามกลางเมืองอเมริกา
American Samoa	อเมริกันซามัว
American Standard Code for Information Interchange	แอสกี
American football	อเมริกันฟุตบอล
American football	หมวดหมู่:อเมริกันฟุตบอล
Americium	อะเมริเซียม
Amerigo Vespucci	อเมริโก เวสปุชชี
Amethyst	เขี้ยวหนุมาน
Amino acid	กรดอะมิโน
Amman	อัมมาน
Ammonia	แอมโมเนีย
Ampere	แอมแปร์
Amphibian	สัตว์สะเทินน้ำสะเทินบก
Amsterdam	อัมสเตอร์ดัม
Anagram	คำสลับอักษร
Anarchism	ลัทธิอนาธิปไตย
Anatidae	นกกาน้ำ
Anatomy	หมวดหมู่:กายวิภาคศาสตร์
Anatomy	กายวิภาคศาสตร์
Andalusia	แคว้นอันดาลูเซีย
Andaman Sea	ทะเลอันดามัน
Anders Celsius	แอนเดอร์ เซลเซียส
Andes	เทือกเขาแอนดีส
Andhra Pradesh	รัฐอานธรประเทศ
Andorra	ประเทศอันดอร์รา
Andrea Palladio	อันเดรอา ปัลลาดีโอ
Andrew Jackson	แอนดรูว์ แจ็กสัน
Android	แอนดรอยด์
Andromeda (constellation)	กลุ่มดาวแอนดรอเมดา
Andromeda Galaxy	ดาราจักรแอนดรอเมดา
Andy Warhol	แอนดี วอร์ฮอล
Angel	เทวดา
Angel Falls	น้ำตกเอนเจล
Angle	มุม
Anglicanism	อังกลิคัน
Angola	ประเทศแองโกลา
Anguilla	แองกวิลลา
Animal	สัตว์
Animation	แอนิเมชัน
Anime	อะนิเมะ
Anime	หมวดหมู่:อะนิเมะ
Annapurna	ยอดเขาอันนะปุรณะ
Anne Boleyn	แอนน์ โบลีน สมเด็จพระราชินีแห่งอังกฤษ
Anno Domini	คริสต์ศักราช
Annunciation	การประกาศของเทพ
Anode	แอโนด
Ant	มด
Antananarivo	อันตานานาริโว
Antarctica	ทวีปแอนตาร์กติกา
Antenna (radio)	สายอากาศ
Anthony Hopkins	แอนโธนี ฮ็อปกินส์
Anthropology	มานุษยวิทยา
Anthropology	หมวดหมู่:มานุษยวิทยา
Antibiotic	ยาปฏิชีวนะ
Antibody	แอนติบอดี
Antigua and Barbuda	ประเทศแอนติกาและบาร์บูดา
Antimony	พลวง
Antioxidant	สารต้านอนุมูลอิสระ
Antlia	กลุ่มดาวเครื่องสูบลม
Antoine Lavoisier	อองตวน ลาวัวซิเยร์
Antonio Vivaldi	อันโตนีโอ วีวัลดี
Anubis	เทพอานูบิส
Anus	ทวารหนัก
Aorta	หลอดเลือดแดงใหญ่เอออร์ตา
Apache	อะแพชี
Apatite	อะพาไทต์
Aphrodite	อโฟรไดท์
Apollo	อพอลโล
Apollo program	โครงการอะพอลโล
Apple	แอปเปิล
Applied mathematics	คณิตศาสตร์ประยุกต์
April	เมษายน
April 14	14 เมษายน
April Fools' Day	วันเอพริลฟูลส์
Apus	กลุ่มดาวนกการเวก
Aquarius (constellation)	กลุ่มดาวคนแบกหม้อน้ำ
Aquila (constellation)	กลุ่มดาวนกอินทรี
Aquitaine	แคว้นอากีแตน
Ara (constellation)	กลุ่มดาวแท่นบูชา
Arab League	สันนิบาตอาหรับ
Arabian Peninsula	คาบสมุทรอาหรับ
Arabian Sea	ทะเลอาหรับ
Arabic alphabet	อักษรอาหรับ
Arabic language	ภาษาอาหรับ
Arachnid	แมง
Aragon	แคว้นอารากอน
Arch	อาร์ช
Archaeology	โบราณคดี
Archimedes	อาร์คิมิดีส
Architect	สถาปนิก
Architecture	สถาปัตยกรรม
Architecture	หมวดหมู่:สถาปัตยกรรม
Archosaur	อาร์โคซอร์
Arctic	อาร์กติก
Arctic Ocean	มหาสมุทรอาร์กติก
Are	อาร์ (หน่วยวัด)
Area	พื้นที่
Arecaceae	ปาล์ม
Ares	เอรีส
Argentina	ประเทศอาร์เจนตินา
Argentina	หมวดหมู่:ประเทศอาร์เจนตินา
Argon	อาร์กอน
Aries (constellation)	กลุ่มดาวแกะ
Aristocracy	อภิชนาธิปไตย
Aristotle	อริสโตเติล
Arithmetic	เลขคณิต
Arithmetic	หมวดหมู่:เลขคณิต
Arithmetic progression	การก้าวหน้าเลขคณิต
Arizona	มลรัฐแอริโซนา
Arkansas	มลรัฐอาร์คันซอ
Armadillo	อาร์มาดิลโล
Armenia	ประเทศอาร์เมเนีย
Armenia	หมวดหมู่:ประเทศอาร์เมเนีย
Armenian language	ภาษาอาร์เมเนีย
Army	กองทัพบก
Arquebus	ปืนไฟ
Arrow	ลูกศร
Arsenic	อาร์ซีนิก
Art	ศิลปะ
Art Nouveau	อาร์ทนูโว
Arthritis	โรคข้ออักเสบ
Arthropod	สัตว์ขาปล้อง
Arthur Conan Doyle	อาร์เธอร์ โคนัน ดอยล์
Artificial intelligence	ปัญญาประดิษฐ์
Artificial intelligence	หมวดหมู่:ปัญญาประดิษฐ์
Artillery	ทหารปืนใหญ่
Artist	ศิลปิน
Arts	หมวดหมู่:ศิลปะ
Aruba	อารูบา
Asia	ทวีปเอเชีย
Asia	หมวดหมู่:ทวีปเอเชีย
Aspartame	แอสปาร์แตม
Asphalt	ยางมะตอย
Aspirin	แอสไพริน
Assam	รัฐอัสสัม
Assembly language	ภาษาแอสเซมบลี
Association of Southeast Asian Nations	สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้
Astana	อัสตานา
Astatine	แอสทาทีน
Asteroid	ดาวเคราะห์น้อย
Asteroid belt	แถบดาวเคราะห์น้อย
Astigmatism (eye)	สายตาเอียง
Astrology	โหราศาสตร์
Astronaut	นักบินอวกาศ
Astronomer	นักดาราศาสตร์
Astronomical unit	หน่วยดาราศาสตร์
Astronomy	ดาราศาสตร์
Astronomy	หมวดหมู่:ดาราศาสตร์
Astronomy	สถานีย่อย:ดาราศาสตร์
Astrophysics	ฟิสิกส์ดาราศาสตร์
Astrophysics	หมวดหมู่:ฟิสิกส์ดาราศาสตร์
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	ทะเลทรายอาตากามา
Aten	เทพอาเตน
Athena	อะธีนา
Athens	เอเธนส์
Athletics (track and field)	กรีฑา
Atlanta	แอตแลนตา
Atlantic Ocean	มหาสมุทรแอตแลนติก
Atlantic Ocean	หมวดหมู่:มหาสมุทรแอตแลนติก
Atlantis	แอตแลนติส
Atmosphere	บรรยากาศ
Atmospheric pressure	ความกดอากาศ
Atom	อะตอม
Atomic clock	นาฬิกาอะตอม
Atomic mass	มวลอะตอม
Atomic mass unit	หน่วยมวลอะตอม
Atomic number	เลขอะตอม
Au	AU
August	สิงหาคม
August 1	1 สิงหาคม
August 15	15 สิงหาคม
August 6	6 สิงหาคม
Auguste Rodin	ออกุสต์ โรแดง
Augustine of Hippo	ออกัสตินแห่งฮิปโป
Augustus	ออกุสตุส ซีซาร์
Auriga (constellation)	กลุ่มดาวสารถี
Aurora	ออโรรา (แก้ความกำกวม)
Aurora (astronomy)	ออโรรา
Australasia	ออสตราเลเซีย
Australia	ประเทศออสเตรเลีย
Australia	หมวดหมู่:ประเทศออสเตรเลีย
Austria	ประเทศออสเตรีย
Austria	หมวดหมู่:ประเทศออสเตรีย
Austria-Hungary	จักรวรรดิออสเตรีย-ฮังการี
Author	นักเขียน
Authority	อำนาจหน้าที่
Autobiography	อัตชีวประวัติ
Automated teller machine	บัตรเอทีเอ็ม
Automobile	รถยนต์
Autotroph	ออโตทรอพ
Autumn	ฤดูใบไม้ร่วง
Auvergne (region)	แคว้นโอแวร์ญ
Avalanche	หิมะถล่ม
Avant-garde	อาวองการ์ด
Avatar	อวตาร
Averroes	อิบุน รัชด์
Avesta	คัมภีร์อเวสตะ
Aviation	หมวดหมู่:การบิน
Axe	ขวาน
Axon	แอกซอน
Ayatollah	อายะตุลลอหฺ
Azerbaijan	ประเทศอาเซอร์ไบจาน
Azerbaijan	หมวดหมู่:ประเทศอาเซอร์ไบจาน
B	B
BASIC	ภาษาเบสิก
Bacteria	แบคทีเรีย
Bacteria	หมวดหมู่:แบคทีเรีย
Badminton	แบดมินตัน
Baghdad	แบกแดด
Bahrain	ประเทศบาห์เรน
Baku	บากู
Balance sheet	งบดุล
Balearic Islands	หมู่เกาะแบลีแอริก
Baleen whale	อันดับวาฬและโลมา
Bali	จังหวัดบาหลี
Balkans	คาบสมุทรบอลข่าน
Baltic Sea	ทะเลบอลติก
Bamako	บามาโก
Bamboo	ไผ่
Banana	กล้วย
Bangkok	กรุงเทพมหานคร
Bangladesh	ประเทศบังกลาเทศ
Bangladesh	หมวดหมู่:ประเทศบังกลาเทศ
Bank	ธนาคาร
Banknote	ธนบัตร
Barbados	ประเทศบาร์เบโดส
Barcelona	บาร์เซโลนา
Barium	แบเรียม
Barley	ข้าวบาร์เลย์
Barometer	บารอมิเตอร์
Baroque	ศิลปะบาโรก
Basalt	หินบะซอลต์
Base (chemistry)	เบส (เคมี)
Baseball	เบสบอล
Baseball	หมวดหมู่:เบสบอล
Bash	Bash
Basilisk	บาซิลิสก์
Basketball	บาสเกตบอล
Basketball	หมวดหมู่:บาสเกตบอล
Bass guitar	กีตาร์เบส
Basse-Normandie	แคว้นบาส-นอร์มองดี
Bat	ค้างคาว
Batman	แบทแมน
Bats	หมวดหมู่:ค้างคาว
Battery (electricity)	แบตเตอรี่
Battle of Britain	ยุทธภูมิบริเตน
Battle of Thermopylae	ยุทธการแห่งเธอร์มอพิวไล
Battleship	เรือประจัญบาน
Bay of Bengal	อ่าวเบงกอล
Bay of Biscay	อ่าวบิสเคย์
Bayer	ไบเออร์
Beagle	บีเกิ้ล
Bear	หมี
Bee	ผึ้ง
Beer	เบียร์
Beer	หมวดหมู่:เบียร์
Beetle	ด้วง
Beijing	ปักกิ่ง
Beirut	เบรุต
Belarus	ประเทศเบลารุส
Belfast	เบลฟัสต์
Belgium	ประเทศเบลเยียม
Belgium	หมวดหมู่:ประเทศเบลเยียม
Belgrade	เบลเกรด
Belize	ประเทศเบลีซ
Benelux	เบเนลักซ์
Benin	ประเทศเบนิน
Benito Mussolini	เบนิโต มุสโสลินี
Benjamin Franklin	เบนจามิน แฟรงคลิน
Beowulf	เบวูล์ฟ
Berkelium	เบอร์คีเลียม
Berlin	เบอร์ลิน
Berlin	หมวดหมู่:เบอร์ลิน
Bermuda	เบอร์มิวดา
Bermuda Triangle	สามเหลี่ยมเบอร์มิวดา
Bernhard Riemann	แบร์นฮาร์ด รีมันน์
Bertrand Russell	เบอร์ทรานด์ รัสเซิลล์
Beryllium	เบริลเลียม
Beta (letter)	บีตา
Bhutan	ประเทศภูฏาน
Bhutan	หมวดหมู่:ประเทศภูฏาน
Bible	คัมภีร์ไบเบิล
Bibliography	บรรณานุกรม
Bicycle	จักรยาน
Big Bang	บิกแบง
Bihar	รัฐพิหาร
Bile	น้ำดี
Bill Clinton	บิล คลินตัน
Bill Gates	บิลล์ เกตส์
Binoculars	กล้องสองตา
Biochemistry	ชีวเคมี
Biochemistry	หมวดหมู่:ชีวเคมี
Biography	ชีวประวัติ
Biology	ชีววิทยา
Biology	หมวดหมู่:ชีววิทยา
Biomass	มวลชีวภาพ
Biotechnology	เทคโนโลยีชีวภาพ
Bird	นก
Birth control	การคุมกำเนิด
Bishop (chess)	บิชอป (หมากรุก)
Bismarck (disambiguation)	บิสมาร์ก
Bismuth	บิสมัท
Bit	บิต
Black	สีดำ
Black Death	กาฬโรคระบาดในยุโรป
Black Sea	ทะเลดำ
Black body	วัตถุดำ
Black hole	หลุมดำ
Black pepper	พริกไท
Blackbird	นกแบล็กเบิร์ด
Blaise Pascal	แบลส ปาสกาล
Blender (software)	เบลนเดอร์
Blindness	ตาบอด
Blitzkrieg	การโจมตีสายฟ้าแลบ
Bloemfontein	บลูมฟอนเทน
Blog	บล็อก
Blood	เลือด
Blood plasma	น้ำเลือด
Blood pressure	ความดันโลหิต
Blood type	หมู่โลหิต
Blood vessel	หลอดเลือด
Blue	สีน้ำเงิน
Blues	บลูส์
Boar	หมูป่า
Boat	เรือ
Bob Marley	บ็อบ มาร์เลย์
Bobby Fischer	บอบบี ฟิชเชอร์
Bodhisattva	พระโพธิสัตว์สิ่ส่าสเอ่
Body mass index	ดัชนีมวลกาย
Bodybuilding	เพาะกาย
Bohrium	โบห์เรียม
Boiling point	จุดเดือด
Bolivia	ประเทศโบลิเวีย
Bolshevik	พรรคบอลเชวิค
Bomb	ระเบิด
Bomber	เครื่องบินทิ้งระเบิด
Bond (finance)	พันธบัตร
Bone	กระดูก
Bonn	บอนน์
Book	หนังสือ
Book of Esther	พระธรรมเอสเธอร์
Book of Joshua	พระธรรมโยชูวา
Book of Numbers	พระธรรมกันดารวิถี
Book of Ruth	พระธรรมนางรูธ
Boolean algebra (structure)	พีชคณิตแบบบูล
Bordeaux	บอร์โดซ์
Borneo	เกาะบอร์เนียว
Boron	โบรอน
Bosnia and Herzegovina	ประเทศบอสเนียและเฮอร์เซโกวีนา
Boston	บอสตัน
Boston Tea Party	กรณีชาที่บอสตัน (พ.ศ. 2316)
Bot	แม่แบบ:Bot
Botanical garden	สวนพฤกษศาสตร์
Botany	พฤกษศาสตร์
Botany	หมวดหมู่:พฤกษศาสตร์
Botswana	ประเทศบอตสวานา
Bottle	ขวด
Bottlenose Dolphin	โลมาปากขวด
Bourgeoisie	กระฎุมพี
Bourgogne	แคว้นบูร์กอญ
Boxers	หมวดหมู่:นักมวย
Boxing	มวยสากล
Bracket	นขลิขิต
Brahma	พระพรหม
Brahmaputra River	แม่น้ำพรหมบุตร
Braille	อักษรเบรลล์
Brain	สมอง
Brandenburg	บรานเดนบวร์ก
Brandy	บรั่นดี
Brass	ทองเหลือง
Brassiere	ยกทรง
Bratislava	บราติสลาวา
Brazil	ประเทศบราซิล
Brazil	หมวดหมู่:ประเทศบราซิล
Bread	ขนมปัง
Breast	เต้านม
Breast cancer	มะเร็งเต้านม
Bremen	เบรเมิน
Bretagne	แคว้นเบรอตาญ
Brick	อิฐ
Bridge	สะพาน
Bridges	หมวดหมู่:สะพาน
Brisbane	บริสเบน
British Columbia	รัฐบริติชโคลัมเบีย
British Empire	จักรวรรดิอังกฤษ
British Virgin Islands	หมู่เกาะบริติชเวอร์จิน
Broadway (New York City)	บรอดเวย์ (ถนน)
Bromine	โบรมีน
Bronze	สำริด
Bronze Age	ยุคสำริด
Brooklyn Bridge	สะพานบรูคลิน
Brown Bear	หมีสีน้ำตาล
Bruce Lee	บรู๊ซ ลี
Brunei	ประเทศบรูไนดารุสซาลาม
Brunei	หมวดหมู่:ประเทศบรูไนดารุสซาลาม
Brussels	บรัสเซลส์
Buckingham Palace	พระราชวังบัคคิงแฮม
Buckminster Fuller	บักมินสเตอร์ ฟุลเลอร์
Budapest	บูดาเปสต์
Buddha	พระพุทธเจ้า
Buddhism	พระพุทธศาสนา
Buenos Aires	บัวโนสไอเรส
Buffalo	บัฟฟาโล
Building	อาคาร
Bulgaria	ประเทศบัลแกเรีย
Bulgaria	หมวดหมู่:ประเทศบัลแกเรีย
Burkina Faso	ประเทศบูร์กินาฟาโซ
Burma	ประเทศพม่า
Burma	หมวดหมู่:ประเทศพม่า
Bus	รถโดยสารประจำทาง
Business	ธุรกิจ
Butterfly	ผีเสื้อ
Byte	ไบต์
C	C
C (programming language)	ภาษาซี
C. S. Lewis	ซี. เอส. ลิวอิส
COBOL	ภาษาโคบอล
Cache	แคช
Cactus	กระบองเพชร
Cadmium	แคดเมียม
Caelum	กลุ่มดาวสิ่ว
Caesium	ซีเซียม
Caffeine	คาเฟอีน
Cairo	ไคโร
Cake	เค้ก
Calcium	แคลเซียม
Calcium carbonate	แคลเซียมคาร์บอเนต
Calculator	เครื่องคิดเลข
Calculus	แคลคูลัส
Calendar	ปฏิทิน
California	มลรัฐแคลิฟอร์เนีย
California	หมวดหมู่:มลรัฐแคลิฟอร์เนีย
Californium	แคลิฟอร์เนียม
Caliph	กาหลิบ
Calorie	แคลอรี
Calvin Coolidge	คาลวิน คูลิดจ์
Cambodia	ประเทศกัมพูชา
Cambodia	หมวดหมู่:ประเทศกัมพูชา
Cambridge	เคมบริดจ์ (เคมบริดจ์เชียร์)
Cambridge	เคมบริดจ์ (มลรัฐแมสซาชูเซตส์)
Cambridge (disambiguation)	เคมบริดจ์
Camel	อูฐ
Camera	กล้องถ่ายภาพ
Cameroon	ประเทศแคเมอรูน
Canada	ประเทศแคนาดา
Canada	หมวดหมู่:ประเทศแคนาดา
Canal	คลอง
Canary Islands	หมู่เกาะคะเนรี
Canberra	แคนเบอร์รา
Cancer	มะเร็ง
Cancer (constellation)	กลุ่มดาวปู
Canis Major	กลุ่มดาวสุนัขใหญ่
Canis Minor	กลุ่มดาวสุนัขเล็ก
Canon (company)	แคนนอน
Canopus	ดาวคาโนปัส
Cantata	แคนตาตา
Cantonese (linguistics)	ภาษาจีนกวางตุ้ง
Canute the Great	สมเด็จพระเจ้าคานูทมหาราช
Capacitor	ตัวเก็บประจุ
Cape Canaveral	แหลมคานาเวอรัล
Cape Horn	แหลมฮอร์น
Cape Town	เคปทาวน์
Cape Verde	ประเทศเคปเวิร์ด
Capital	เมืองหลวง
Capital punishment	โทษประหารชีวิต
Capitalism	ทุนนิยม
Capricornus	กลุ่มดาวแพะทะเล
Caracas	การากัส
Carambola	มะเฟือง
Carat (mass)	กะรัต
Carat (purity)	กะรัต
Caravaggio	คาราวัจจิโอ
Carbohydrate	คาร์โบไฮเดรต
Carbon	คาร์บอน
Carbon cycle	วัฏจักรคาร์บอน
Carbon dioxide	คาร์บอนไดออกไซด์
Carbonic acid	กรดคาร์บอนิก
Carboxylic acid	กรดคาร์บอกซิลิก
Card game	เกมไพ่
Cardinal (Catholicism)	พระคาร์ดินัล
Cardiovascular system	หมวดหมู่:ระบบไหลเวียนโลหิต
Caribbean	แคริบเบียน
Caribbean Sea	ทะเลแคริบเบียน
Carina (constellation)	กลุ่มดาวกระดูกงูเรือ
Carl Orff	คาร์ล ออร์ฟ
Carnivora	คาร์นิวอรา
Carnivore	สัตว์กินเนื้อ
