Romanian	English
Galileo Galilei	Galileo Galilei
Galeră	Galley
Galliformes	Galliformes
Categorie:Galliformes	Galliformes
Galon	Gallon
Gamal Abdel Nasser	Gamal Abdel Nasser
Joc de noroc	Gambling
Joc	Game
Teoria jocului	Game theory
Radiaţie gamma	Gamma ray
Gange	Ganges
Ganca	Ganja
Gansu	Gansu
Ganymede (satelit)	Ganymede (moon)
Gap	Gap
Grădină	Garden
Eden	Garden of Eden
Grădinărit	Gardening
Gargui	Gargoyle
Usturoi	Garlic
Granat	Garnet
Garonne	Garonne
Benzină	Gasoline
Galia	Gaul
Gautama Siddhartha	Gautama Buddha
Fâşia Gaza	Gaza Strip
Roată dinţată	Gear
Geb	Geb
Gheişă	Geisha
Piatră preţioasă	Gemstone
Genă	Gene
Genealogie	Genealogy
Categorie:Genealogie	Genealogy
General	General Officer
Geneza	Genesis
Cod genetic	Genetic code
Genetică	Genetics
Categorie:Genetică	Genetics
Geneva	Geneva
Cazul genitiv	Genitive case
Genova	Genoa
Genocid	Genocide
Categorie:Genocid	Genocide
Genom	Genome
Genotip	Genotype
Gen (biologie)	Genus
Geodezie	Geodesy
Categorie:Geodezie	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografie	Geography
Categorie:Geografie	Geography
Portal:Geografie	Geography
Categorie:Geologie	Geology
Geologie	Geology
Geometrie	Geometry
Categorie:Geometrie	Geometry
Geomorfologie	Geomorphology
Categorie:Geomorfologie	Geomorphology
Geofizică	Geophysics
Geopolitică	Geopolitics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georgia (stat SUA)	Georgia (U.S. state)
Categorie:Statul Georgia, SUA	Georgia (U.S. state)
Georgia	Georgia (country)
Categorie:Georgia	Georgia (country)
Gerald Ford	Gerald Ford
Ciobănesc german	German Shepherd Dog
Limba germană	German language
Categorie:Limba germană	German language
Marca germană	German mark
Germaniu	Germanium
Germania	Germany
Categorie:Germania	Germany
Gestapo	Gestapo
Ghana	Ghana
Categorie:Ghana	Ghana
Gent	Ghent
Ghetou	Ghetto
Giacomo Puccini	Giacomo Puccini
Ailuropoda melanoleuca	Giant Panda
Gibraltar	Gibraltar
Ghilgameş	Gilgamesh
Ghimbir	Ginger
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Girafă	Giraffe
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Glandă	Gland
Glasgow	Glasgow
Sticlă	Glass
Planor	Glider
Global Positioning System	Global Positioning System
Încălzirea globală	Global warming
Anghinare	Globe artichoke
Gloucestershire	Gloucestershire
Glucoză	Glucose
Gluon	Gluon
Glicerină	Glycerol
Glicogen	Glycogen
Gnathostomata	Gnathostomata
Gnais	Gneiss
Gnosticism	Gnosticism
Go	Go (board game)
Goa	Goa
Capră	Goat
Deşertul Gobi	Gobi Desert
Dumnezeu	God
Aur	Gold
Golda Meir	Golda Meir
Pajură	Golden Eagle
Podul Golden Gate	Golden Gate Bridge
Hoarda de Aur	Golden Horde
Golden Retriever	Golden Retriever
Aparatul Golgi	Golgi apparatus
Gomel	Gomel
Google	Google
Googol	Googol
Gorgone	Gorgon
Evanghelie	Gospel
Evanghelia după Luca	Gospel of Luke
Göteborg	Gothenburg
Arhitectură gotică	Gothic
Arhitectură gotică	Gothic architecture
Gottlieb Daimler	Gottlieb Daimler
Guvern	Government
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Gramatică	Grammar
Granada	Granada
Grand Canyon	Grand Canyon
Granit	Granite
Categorie:Design grafic	Graphic design
GUI	Graphical user interface
Gravitaţie	Gravitation
Graviton	Graviton
Lup cenuşiu	Gray Wolf
Graz	Graz
Marea Barieră de Corali	Great Barrier Reef
Marea Britanie	Great Britain
Marea criză economică	Great Depression
Marile Lacuri	Great Lakes
Marele Zid Chinezesc	Great Wall of China
Londra Mare	Greater London
Grecia	Greece
Categorie:Grecia	Greece
Alfabetul grec	Greek alphabet
Focul grecesc	Greek fire
Mitologie greacă	Greek mythology
Categorie:Mitologie greacă	Greek mythology
Verde	Green
Efect de seră	Greenhouse effect
Groenlanda	Greenland
Greenwich (burg)	Greenwich
Gregor Mendel	Gregor Mendel
Calendarul gregorian	Gregorian calendar
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Gri	Grey
Produs intern brut	Gross domestic product
Grup	Group
Grup (matematică)	Group (mathematics)
Grupele tabelului periodic	Group (periodic table)
Grover Cleveland	Grover Cleveland
Groznîi	Grozny
Cocorul (constelaţie)	Grus (constellation)
Guadalajara	Guadalajara
Guadelupa	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Categorie:Guatemala	Guatemala
Ciudad de Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillaume Apollinaire	Guillaume Apollinaire
Ghilotină	Guillotine
Guineea	Guinea
Guineea-Bissau	Guinea-Bissau
Chitară	Guitar
Gujarat	Gujarat
Gulag	Gulag
Curentul Golfului	Gulf Stream
Războiul din Golf	Gulf War
Golful Aden	Gulf of Aden
Golful Aqaba	Gulf of Aqaba
Golful Finlandei	Gulf of Finland
Golful Guineii	Gulf of Guinea
Golful Mexic	Gulf of Mexico
Golful Oman	Gulf of Oman
Golful Riga	Gulf of Riga
Complotul Prafului de Puşcă	Gunpowder Plot
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Categorie:Guyana	Guyana
Gimnastică	Gymnastics
Gips	Gypsum
Giroscop	Gyroscope
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HyperText Markup Language	HTML
Habitat	Habitat
Hades	Hades
Hadrian (împărat)	Hadrian
Hemofilie	Haemophilia
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Grindină	Hail
Haiti	Haiti
Categorie:Haiti	Haiti
Dezintegrare	Half-life
Halle (Saale)	Halle
Halucinaţie	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Categorie:Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Secera şi ciocanul	Hammer and sickle
Hammurabi	Hammurabi
Hampshire	Hampshire
Grenadă	Hand grenade
Grădinile suspendate ale Semiramidei	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanovra	Hanover
Hans Albrecht Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Liga Hanseatică	Hanseatic League
Hanuka	Hanukkah
Harare	Harare
Duritate	Hardness
Harmonia	Harmony
Harold Pinter	Harold Pinter
Harpie	Harpy
Harrisburg, Pennsylvania	Harrisburg
Hartford, Connecticut	Hartford
Normandia de Sus	Haute-Normandie
Havana	Havana
Hawaii (stat SUA)	Hawaii
Categorie:Statul Hawaii, SUA	Hawaii
Cap (anatomie)	Head
Sănătate	Health
Categorie:Sănătate	Health
Inimă	Heart
Căldură	Heat
Rai	Heaven
Heavy metal	Heavy metal music
Apă grea	Heavy water
Hebe	Hebe (mythology)
Hebei	Hebei
Alfabetul ebraic	Hebrew alphabet
Calendarul ebraic	Hebrew calendar
Hecate	Hecate
Hectar	Hectare
Hector	Hector
Hector Berlioz	Hector Berlioz
Arici	Hedgehog
Heimdall	Heimdall
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Elena (mitologie)	Helen
Helena, Montana	Helena
Elicopter	Helicopter
Helios	Helios
Heliu	Helium
Iad (religie)	Hell
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematit	Hematite
Hematologie	Hematology
Categorie:Hematologie	Hematology
Hemoglobină	Hemoglobin
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unitate)	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hefaistos	Hephaestus
Hera	Hera
Heracle	Heracles
Heraclit	Heraclitus
Heraldică	Heraldry
Categorie:Heraldică	Heraldry
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Heracles	Hercules
Hercule (constelaţie)	Hercules (constellation)
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermafrodit	Hermaphrodite
Hermeneutică	Hermeneutics
Hermes	Hermes
Heron din Alexandria	Hero of Alexandria
Irod cel Mare	Herod the Great
Herodot	Herodotus
Heroină	Heroin
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiod	Hesiod
Hessa	Hesse
Categorie:Hessa	Hesse
Hestia	Hestia
Heterosexualitate	Heterosexuality
Heterotrof	Heterotroph
Sistem hexazecimal	Hexadecimal
Hexagon	Hexagon
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Spaţiu Hilbert	Hilbert space
Himalaya	Himalayas
Hindukuş	Hindu Kush
Hinduism	Hinduism
Categorie:Hinduism	Hinduism
Hiparh	Hipparchus
Hippocrate	Hippocrates
Jurământul lui Hippocrate	Hippocratic Oath
Hirohito	Hirohito
Hiroşima	Hiroshima
Hispaniola	Hispaniola
Histologie	Histology
Categorie:Histologie	Histology
Istoriografie	Historiography
Istorie	History
Categorie:Istorie	History
Portal:Istorie	History
Ho Şi Min	Ho Chi Minh
Ho Şi Min (oraş)	Ho Chi Minh City
Hobart	Hobart
Hobby	Hobby
Hollywood	Hollywood
Holocen	Holocene
Holografie	Holography
Graal	Holy Grail
Sfântul Imperiu Roman	Holy Roman Empire
Categorie:Sfântul Imperiu Roman	Holy Roman Empire
Duhul Sfânt	Holy Spirit
Homeopatie	Homeopathy
Homeostazie	Homeostasis
Homer	Homer
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homofobie	Homophobia
Homosexualitate	Homosexuality
Honduras	Honduras
Categorie:Honduras	Honduras
Miere	Honey
Hong Kong	Hong Kong
Honiara	Honiara
Honolulu, Hawaii	Honolulu
Quintus Horatius Flaccus	Horace
Horatio Nelson	Horatio Nelson
Horizonte	Horizon
Hormon	Hormone
Cal	Horse
Horus	Horus
Hosni Mubarak	Hosni Mubarak
Oră	Hour
Clepsidră	Hourglass
Houston, Texas	Houston
Howard Carter (arheolog)	Howard Carter (archaeologist)
Hugo Capet	Hugh Capet
Hughenot	Huguenot
Om	Human
Umanism	Humanism
Categorie:Ştiinţe umane	Humanities
Umiditate	Humidity
Categorie:Umor	Humor
Umor	Humour
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Războiul de 100 de Ani	Hundred Years' War
Ungaria	Hungary
Categorie:Ungaria	Hungary
Vânătoare	Hunting
Hyderabad, India	Hyderabad
Hidra (constelaţie)	Hydra (constellation)
Hidrocarbură	Hydrocarbon
Energie hidraulică	Hydroelectricity
Hidrogen	Hydrogen
Acid cianhidric	Hydrogen cyanide
Hidrologie	Hydrology
Categorie:Hidrologie	Hydrology
Reacţia de hidroliză	Hydrolysis
Hidrosferă	Hydrosphere
Hidra Australă (constelaţie)	Hydrus
Hyaenidae	Hyena
Categorie:Igienă	Hygiene
Categorie:Hymenoptera	Hymenoptera
Hymenoptera	Hymenoptera
Hiperbolă	Hyperbola
Hiperbolă (figură de stil)	Hyperbole
Hyperion (satelit)	Hyperion (moon)
Hipertext	Hypertext
HTTP	Hypertext Transfer Protocol
Hypnos	Hypnos
Hipnoză	Hypnosis
Hipotalamus	Hypothalamus
Ipoteză	Hypothesis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (satelit)	Iapetus (moon)
Iapetus	Iapetus (mythology)
Peninsula iberică	Iberian Peninsula
Ibuprofen	Ibuprofen
Gheaţă	Ice
Hochei pe gheaţă	Ice hockey
Aisberg	Iceberg
Islanda	Iceland
Categorie:Islanda	Iceland
Ihtiologie	Ichthyology
Icoana	Icon
Iconoclasm	Iconoclasm
Idaho (stat SUA)	Idaho
Categorie:Statul Idaho, SUA	Idaho
Idealism	Idealism
Ideologie	Ideology
Ido	Ido
Ignaţiu de Loyola	Ignatius of Loyola
Igor Stravinski	Igor Stravinsky
Iliada	Iliad
Illinois (stat SUA)	Illinois
Categorie:Statul Illinois, SUA	Illinois
Iliria	Illyria
Immanuel Kant	Immanuel Kant
Sistemul imunitar	Immune system
Imunologie	Immunology
Imperialism	Imperialism
Impresionism	Impressionism
Incest	Incest
Ţol	Inch
India	India
Categorie:India	India
Oceanul Indian	Indian Ocean
Categorie:Oceanul Indian	Indian Ocean
Indiana (stat SUA)	Indiana
Categorie:Statul Indiana, SUA	Indiana
Indianapolis, Indiana	Indianapolis
Indira Gandhi	Indira Gandhi
Indiu	Indium
Indonezia	Indonesia
Categorie:Indonezia	Indonesia
Indra	Indra
Bobină	Inductor
Indulgenţă (creştinism)	Indulgence
Indianul (constelaţie)	Indus (constellation)
Revoluţia industrială	Industrial Revolution
Industrie	Industry
Categorie:Industrie	Industry
Inegalitate	Inequality
Inerţie (fizică)	Inertia
Infanterie	Infantry
Boală infecţioasă	Infectious disease
Infinit	Infinity
Inflaţie	Inflation
Informaţie	Information
Tehnologia informaţiei	Information technology
Infraroşu	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Mongolia Interioară	Inner Mongolia
Innsbruck	Innsbruck
Chimie anorganică	Inorganic chemistry
Categorie:Chimie anorganică	Inorganic chemistry
Inchiziţie	Inquisition
Insectă	Insect
Insectivore	Insectivora
Instituţie	Institution
Insulină	Insulin
Asigurare	Insurance
Număr întreg	Integer
Integrală	Integral
Circuit integrat	Integrated circuit
Proprietate intelectuală	Intellectual property
Inteligenţă	Intelligence
Coeficient de inteligenţă	Intelligence quotient
Rachetă balistică intercontinentală	Intercontinental ballistic missile
Interferenţă	Interference
Interlingua	Interlingua
International Civil Aviation Organization	International Civil Aviation Organization
Fondul Monetar Internaţional	International Monetary Fund
Sistemul internaţional de unităţi	International System of Units
Categorie:Drept internaţional	International law
Internet	Internet
Categorie:Internet	Internet
Internet Explorer	Internet Explorer
Lagăr de concentrare	Internment
Interpretor	Interpreter (computing)
Io (satelit)	Io (moon)
Io (mitologie)	Io (mythology)
Iod	Iodine
Ion	Ion
Marea Ionică	Ionian Sea
Iowa (stat SUA)	Iowa
Categorie:Statul Iowa, SUA	Iowa
Iran	Iran
Categorie:Iran	Iran
Războiul Iran-Irak	Iran-Iraq War
Irak	Iraq
Categorie:Irak	Iraq
Irlanda (insulă)	Ireland
Categorie:Irlanda	Ireland
Iridiu	Iridium
Iris	Iris (mythology)
Marea Irlandei	Irish Sea
Categorie:Irlandezi	Irish people
Fier	Iron
Epoca Fierului	Iron Age
Cortina de fier	Iron Curtain
Iron Maiden	Iron Maiden
Număr iraţional	Irrational number
Irtiş	Irtysh River
Isac (personaj biblic)	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ismael	Ishmael
Isis	Isis
Islam	Islam
Categorie:Islam	Islam
Islamabad	Islamabad
Insulă	Island
Insula Man	Isle of Man
Isle of Wight	Isle of Wight
Izotop	Isotope
Israel	Israel
Categorie:Israel	Israel
Istanbul	Istanbul
Istm	Isthmus
Istmul Panama	Isthmus of Panama
Peninsula Italică	Italian Peninsula
Italo Calvino	Italo Calvino
Italia	Italy
Categorie:Italia	Italy
Itaca	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgheniev	Ivan Turgenev
J	J
Jerome David Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jackson, Mississippi	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville, Florida	Jacksonville
Iacob (personaj biblic)	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jaguar	Jaguar
Jainism	Jainism
Jakarta	Jakarta
Dschalalabad	Jalalabad
Jamaica	Jamaica
Categorie:Jamaica	Jamaica
Iacov cel Mare (apostol)	James
James Abram Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Ienicer	Janissary
Ianuarie	January
1 ianuarie	January 1
19 ianuarie	January 19
20 ianuarie	January 20
6 ianuarie	January 6
Ianus (zeu)	Janus (mythology)
Japonia	Japan
Categorie:Japonia	Japan
Iason	Jason
Java (dezambiguizare)	Java (disambiguation)
Java (limbaj de programare)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jeddah
Jefferson City, Missouri	Jefferson City
YHWH	Jehovah
Organizaţia Religioasă Martorii lui Iehova	Jehovah's Witnesses
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Ierihon	Jericho
Ieronim	Jerome
Insula Jersey	Jersey
Ierusalim	Jerusalem
Iisus din Nazaret	Jesus
Motor cu reacţie	Jet engine
Evrei	Jew
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Ioana d'Arc	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
Jean Calvin	John Calvin
Ioan Chrysostom	John Chrysostom
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliff	John Wycliffe
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Jonathan Swift	Jonathan Swift
Iordania	Jordan
Categorie:Iordania	Jordan
Râul Iordan	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith, Jr.	Joseph Smith
Iosif Vissarionovici Stalin	Joseph Stalin
Joule	Joule
Categorie:Jurnalism	Journalism
Jurnalism	Journalism
Jurnalist	Journalist
Iovian	Jovian
Joystick	Joystick
Iudaism	Judaism
Categorie:Iudaism	Judaism
Iuda Iscarioteanul	Judas Iscariot
Judo	Judo
Jujutsu	Jujutsu
Jules Verne	Jules Verne
Calendarul iulian	Julian calendar
Iulian Apostatul	Julian the Apostate
Iulius Cezar	Julius Caesar
Iulie	July
1 iulie	July 1
4 iulie	July 4
Iunie	June
14 iunie	June 14
21 iunie	June 21
23 iunie	June 23
24 iunie	June 24
29 iunie	June 29
3 iunie	June 3
Juneau, Alaska	Juneau
Ienupăr	Juniper
Iuno (mitologie)	Juno (mythology)
Jupiter (planetă)	Jupiter
Categorie:Jupiter	Jupiter
Jupiter (dezambiguizare)	Jupiter (disambiguation)
Jupiter (zeu)	Jupiter (mythology)
Jurasic	Jurassic
Iustinian I cel Mare	Justinian I
Iutlanda	Jutland
K	K
K2	K2
KGB	KGB
Cabala	Kabbalah
Kabul	Kabul
Deşertul Kalahari	Kalahari Desert
Kampala	Kampala
Kandahar	Kandahar
Cangur	Kangaroo
Kansas (stat SUA)	Kansas
Categorie:Statul Kansas, SUA	Kansas
Kansas City, Missouri	Kansas City
Marea Kara	Kara Sea
Karachi	Karachi
Karakorum	Karakoram
Karate-dō	Karate
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kazahstan	Kazakhstan
Categorie:Kazahstan	Kazakhstan
Kazan	Kazan
Kazimir Malevici	Kazimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky (stat SUA)	Kentucky
Categorie:Statul Kentucky, SUA	Kentucky
Kenya	Kenya
Categorie:Kenya	Kenya
Nucleu (sistem de operare)	Kernel (computer science)
Cetonă	Ketone
Tastatură	Keyboard (computing)
Habarovsk	Khabarovsk
Harkiv	Kharkiv
Khartoum	Khartoum
Khufu	Khufu
Kibuţ	Kibbutz
Rinichi	Kidney
Kiev	Kiev
Kigali	Kigali
Kilogram	Kilogram
Kilometru	Kilometre
Kilometru pe oră	Kilometres per hour
Kimono	Kimono
Energie cinetică	Kinetic energy
Rege (şah)	King (chess)
Regele Artur	King Arthur
Regele Lear	King Lear
Regn	Kingdom (biology)
Kinshasa	Kinshasa
Kiribati	Kiribati
Categorie:Kiribati	Kiribati
Kirkuk	Kirkuk
Knesset	Knesset
Cal (şah)	Knight (chess)
Cnossos	Knossos
Nod (unitate de măsură)	Knot (speed)
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe, Hyogo	Kobe
Calcutta	Kolkata
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Coreea	Korea
Categorie:Coreea	Korea
Kosovo	Kosovo
Krakatau	Krakatoa
Kremlin (citadelă)	Kremlin
Krishna	Krishna
Kripton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai	Kublai Khan
Centura Kuiper	Kuiper belt
Kuomintang	Kuomintang
Kurdistan	Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuweit	Kuwait
Categorie:Kuweit	Kuwait
Kuweit (oraş)	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kârgâzstan	Kyrgyzstan
Categorie:Kârgâzstan	Kyrgyzstan
L	L
L'Aquila	L'Aquila
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Partidul Laburist (Regatul Unit)	Labour Party (UK)
Labrador Retriever	Labrador Retriever
Şopârla (constelaţie)	Lacerta
Acid lactic	Lactic acid
Lady Jane Grey	Lady Jane Grey
Lagomorfe	Lagomorpha
Lagos	Lagos
Lahore	Lahore
Lac	Lake
Lacul Baikal	Lake Baikal
Lacul Balaton	Lake Balaton
Lacul Constanţa	Lake Constance
Lacul Erie	Lake Erie
Lacul Geneva	Lake Geneva
Lacul Huron	Lake Huron
Lacul Ilmen	Lake Ilmen
Lacul Ladoga	Lake Ladoga
Lacul Nyasa	Lake Malawi
Lacul Michigan	Lake Michigan
Lacul Onega	Lake Onega
Lacul Ontario	Lake Ontario
Lacul Superior	Lake Superior
Lacul Tanganyika	Lake Tanganyika
Lacul Victoria	Lake Victoria
Lakshmi	Lakshmi
Lamiaceae	Lamiaceae
Lancashire	Lancashire
Limbă	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing, Michigan	Lansing
Lantanide	Lanthanide
Lantan	Lanthanum
Laos	Laos
Categorie:Laos	Laos
Marea Laptev	Laptev Sea
Larix	Larch
Larvă	Larva
Laringe	Larynx
Las Vegas, Nevada	Las Vegas
Laser	Laser
Limba latină	Latin
America Latină	Latin America
Alfabetul latin	Latin alphabet
Latitudine	Latitude
Letonia	Latvia
Categorie:Letonia	Latvia
Laurasia	Laurasia
Lausanne	Lausanne
Lavă	Lava
Drept	Law
Categorie:Drept	Law
Lawrenciu	Lawrencium
Avocat	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Plumb	Lead
Frunză	Leaf
Liga Naţiunilor	League of Nations
Turnul din Pisa	Leaning Tower of Pisa
An bisect	Leap year
Liban	Lebanon
Categorie:Liban	Lebanon
Leda	Leda (mythology)
Leeds	Leeds
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Lămâie	Lemon
Roiniţă	Lemon balm
Lena	Lena River
Lungime	Length
Păresimi	Lent
Linte (plantă)	Lentil
Leul (constelaţie)	Leo (constellation)
Leon I (împărat)	Leo I (emperor)
Lev Davidovici Troţki	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brejnev	Leonid Brezhnev
Lepră	Leprosy
Lepton	Lepton
Iepurele (constelaţie)	Lepus (constellation)
Lesbiană	Lesbian
Lesotho	Lesotho
Categorie:Lesotho	Lesotho
Leto	Leto
Levant	Levant
Lewis Carroll	Lewis Carroll
Lhotse	Lhotse
Liberalism	Liberalism
Liberia	Liberia
Balanţa (constelaţie)	Libra (constellation)
Bibliotecă	Library
Bibliologie şi ştiinţa informării	Library science
Libreville	Libreville
Libia	Libya
Minciună	Lie
Liechtenstein	Liechtenstein
Categorie:Liechtenstein	Liechtenstein
Viaţă	Life
Categorie:Viaţă	Life
Lumină	Light
LED	Light-emitting diode
An-lumină	Light-year
Far	Lighthouse
Trăsnet	Lightning
Liguria	Liguria
Liliaceae	Liliaceae
Lille	Lille
Lima	Lima
Limerick	Limerick
Limită (matematică)	Limit (mathematics)
Limnologie	Limnology
Limousin	Limousin (region)
Lincoln, Nebraska	Lincoln
Lincoln (dezambiguizare)	Lincoln
Lincolnshire	Lincolnshire
Dreaptă (matematică)	Line (mathematics)
Algebră liniară	Linear algebra
Categorie:Algebră liniară	Linear algebra
Lingua franca	Lingua franca
Lingvistică	Linguistics
Categorie:Lingvistică	Linguistics
Linux	Linux
Categorie:Linux	Linux
Linz	Linz
Leu	Lion
