Slovenian	English
Kategorija:Argentina	Argentina
Argon	Argon
Arija	Aria
Ariadna	Ariadne
Arijanstvo	Arianism
Aristarh	Aristarchus of Samos
Aristokracija	Aristocracy
Aristofan	Aristophanes
Aristotel	Aristotle
Aritmetika	Arithmetic
Kategorija:Aritmetika	Arithmetic
Aritmetično zaporedje	Arithmetic progression
Arij	Arius
Arizona	Arizona
Kategorija:Arizona	Arizona
Arkansas	Arkansas
Kategorija:Arkansas	Arkansas
Arles	Arles
Armenija	Armenia
Kategorija:Armenija	Armenia
Armenščina	Armenian language
Oklep	Armour
Vojska	Army
Arnold Schönberg	Arnold Schoenberg
Arkebuza	Arquebus
Arras	Arras
Arzen	Arsenic
Umetnost	Art
Art Nouveau	Art Nouveau
Umetnostna zgodovina	Art history
Artemida (mitologija)	Artemis
Arterija	Artery
Členonožci	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Umetna inteligenca	Artificial intelligence
Kategorija:Umetna inteligenca	Artificial intelligence
Artilerija	Artillery
Kategorija:Artilerija	Artillery
Kategorija:Umetnost	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Asklepij	Asclepius
Pepelnična sreda	Ash Wednesday
Asurbanipal	Ashurbanipal
Azija	Asia
Kategorija:Azija	Asia
Aspartam	Aspartame
Aspirin	Aspirin
Atentat	Assassination
Zbirni jezik	Assembly language
Zveza držav Jugovzhodne Azije	Association of Southeast Asian Nations
Asirija	Assyria
Kategorija:Asirija	Assyria
Astana	Astana
Astat	Astatine
Nebinovke	Asteraceae
Kategorija:Nebinovke	Asteraceae
Asteroid	Asteroid
Asteroidni pas	Asteroid belt
Astenosfera	Asthenosphere
Astma	Asthma
Astrahan	Astrakhan
Astrobiologija	Astrobiology
Astrolab	Astrolabe
Astrologija	Astrology
Kategorija:Astrologija	Astrology
Astrometrija	Astrometry
Astronavt	Astronaut
Astronom	Astronomer
Astronomska enota	Astronomical unit
Astronomija	Astronomy
Kategorija:Astronomija	Astronomy
Portal:Astronomija	Astronomy
Astrofizika	Astrophysics
Kategorija:Astrofizika	Astrophysics
Asimptota	Asymptote
Atacama	Atacama Desert
Aton	Aten
Kategorija:Ateizem	Atheism
Atena	Athena
Atene	Athens
Kategorija:Atletika	Athletics
Atletika	Athletics (track and field)
Atlantski ocean	Atlantic Ocean
Kategorija:Atlantski ocean	Atlantic Ocean
Atlantida	Atlantis
Atlas	Atlas (disambiguation)
Atlas (luna)	Atlas (moon)
Atlas (mitologija)	Atlas (mythology)
Atlas (gorovje)	Atlas Mountains
Atmosfera (enota)	Atmosphere (unit)
Zračni tlak	Atmospheric pressure
Atol	Atoll
Atom	Atom
Atomska teža	Atomic mass
Enota atomske mase	Atomic mass unit
Vrstno število	Atomic number
Kategorija:Atomska in molekulska fizika	Atomic physics
Atropin	Atropine
Atika	Attica
Atila	Attila the Hun
Au	Au
Avgust	August
1. avgust	August 1
15. avgust	August 15
6. avgust	August 6
Sveti Avguštin	Augustine of Hippo
Gaj Avgust Oktavijan	Augustus
Avrora	Aurora
Polarni sij	Aurora (astronomy)
Avstralazija	Australasia
Avstralija	Australia
Kategorija:Avstralija	Australia
Avstralopitek	Australopithecus
Avstrija	Austria
Kategorija:Avstrija	Austria
Avstro-Ogrska	Austria-Hungary
Pisatelj	Author
Motošport	Auto racing
Avtomobil	Automobile
Avtonomno živčevje	Autonomic nervous system
Jesen	Autumn
Auvergne (regija)	Auvergne (region)
Plaz	Avalanche
Avantgarda	Avant-garde
Ibn Rušd	Averroes
Kategorija:Letalstvo	Aviation
Letalstvo	Aviation
Avignon	Avignon
Avokadovec	Avocado
Sekira	Axe
Aksiom	Axiom
Nevrit	Axon
Azerbajdžan	Azerbaijan
Kategorija:Azerbajdžan	Azerbaijan
Azimut	Azimuth
Azori	Azores
Azteška civilizacija	Aztec
Azurit	Azurite
B	B
BASIC (programski jezik)	BASIC
Baal	Baal
Babilonija	Babylonia
Backgammon	Backgammon
Bakterije	Bacteria
Kategorija:Bakterije	Bacteria
Bakteriofag	Bacteriophage
Badminton	Badminton
Bagdad	Baghdad
Kategorija:Bahami	Bahamas
Bahrajn	Bahrain
Kategorija:Bahrajn	Bahrain
Baku	Baku
Balalajka	Balalaika
Baldur	Baldr
Balearski otoki	Balearic Islands
Bali	Bali
Balkanski vojni	Balkan Wars
Balkan	Balkans
Žoga	Ball
Balet	Ballet
Kategorija:Balet	Ballet
Balistični izstrelek	Ballistic missile
Baltsko morje	Baltic Sea
Baltimore, Maryland	Baltimore
Bambus	Bamboo
Bananovec	Banana
Bangkok	Bangkok
Bangladeš	Bangladesh
Kategorija:Bangladeš	Bangladesh
Bankovec	Banknote
Krst	Baptism
Bar (enota)	Bar (unit)
Barbados	Barbados
Kategorija:Barbados	Barbados
Barcelona	Barcelona
Kategorija:Barcelona	Barcelona
Bari	Bari
Barij	Barium
Ječmen	Barley
Pegasta sova	Barn Owl
Barometer	Barometer
Barok	Baroque
Sod (prostorninska mera)	Barrel (unit)
Bazalt	Basalt
Baza (kemija)	Base (chemistry)
Baseball	Baseball
Kategorija:Baseball	Baseball
Basel	Basel
Navadna bazilika	Basil
Sveti Bazilij Veliki	Basil of Caesarea
Bazilika (zgradba)	Basilica
Bazilikata	Basilicata
Bazilisk (bizantinski cesar)	Basiliscus
Bazilisk	Basilisk
Košarka	Basketball
Kategorija:Košarka	Basketball
Spodnja Normandija	Basse-Normandie
Fagot	Bassoon
Bastet	Bast (mythology)
Bastilja	Bastille
Netopirji	Bat
Batman	Batman
Kategorija:Netopirji	Bats
Bataljon	Battalion
Bitka pri Austerlitzu	Battle of Austerlitz
Bitka za Britanijo	Battle of Britain
Bitka pri Hastingsu	Battle of Hastings
Bitka pri Lepantu (1571)	Battle of Lepanto (1571)
Bitka na Maratonskem polju	Battle of Marathon
Bitka pri Termopilah	Battle of Thermopylae
Bitka pri Verdunu	Battle of Verdun
Ardenska ofenziva (1944)	Battle of the Bulge
Bitka na Somi (1916)	Battle of the Somme
Bavarska	Bavaria
Kategorija:Bavarska	Bavaria
Navadni lovor	Bay Laurel
Biskajski zaliv	Bay of Biscay
Bayer	Bayer
Bajonet	Bayonet
Bayonne	Bayonne
Plaža	Beach
Beagle (pes)	Beagle
Medvedi	Bear
Beaufortova lestvica	Beaufort scale
Bekerel	Becquerel
Postelja	Bed
Čebele	Bee
Kategorija:Čebelarstvo	Beekeeping
Pivo	Beer
Kategorija:Pivo	Beer
Hrošči	Beetle
Behaviorizem	Behaviorism
Peking	Beijing
Bejrut	Beirut
Belorusija	Belarus
Kategorija:Belorusija	Belarus
Belgija	Belgium
Kategorija:Belgija	Belgium
Beograd	Belgrade
Belize	Belize
Kategorija:Belize	Belize
Zvon	Bell (instrument)
Belerofont	Bellerophon
Beneluks	Benelux
Benin	Benin
Kategorija:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Bergen, Norveška	Bergen
Berkelij	Berkelium
Berlin	Berlin
Kategorija:Berlin	Berlin
Bermudi	Bermuda
Bermudski trikotnik	Bermuda Triangle
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Berilij	Beryllium
Beta	Beta (letter)
Razpad beta	Beta decay
Betlehem	Bethlehem
Beg	Bey
Butan (država)	Bhutan
Kategorija:Butan (država)	Bhutan
Sveto pismo	Bible
Kategorija:Sveto pismo	Bible
Dvokolo	Bicycle
Prapok	Big Bang
Bikini	Bikini
Žolč	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Dvojna zvezda	Binary star
Biokemija	Biochemistry
Kategorija:Biokemija	Biochemistry
Biodiverziteta	Biodiversity
Biogeografija	Biogeography
Biografija	Biography
Biologija	Biology
Kategorija:Biologija	Biology
Portal:Biologija	Biology
Biomasa	Biomass
Biom	Biome
Biometrija	Biometrics
Biofizika	Biophysics
Biosfera	Biosphere
Biotehnologija	Biotechnology
Kategorija:Biotehnologija	Biotechnology
Bipolarna motnja	Bipolar disorder
Breza	Birch
Ptiči	Bird
Birmingham, Alabama	Birmingham
Nadzor rojstev	Birth control
Biseksualnost	Bisexuality
Škof	Bishop
Lovec (šah)	Bishop (chess)
Bizmut	Bismuth
Bit	Bit
Bitinija	Bithynia
Črna	Black
Črna smrt	Black Death
Črni škarnik	Black Kite
Črno morje	Black Sea
Črno telo	Black body
Črna luknja	Black hole
Kos (ptič)	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Slepota	Blindness
Bliskovita vojna	Blitzkrieg
Blog	Blog
Kri	Blood
Krvna plazma	Blood plasma
Krvni tlak	Blood pressure
Krvna skupina	Blood type
Žila	Blood vessel
Modra	Blue
Sinji kit	Blue Whale
Blues	Blues
Divja svinja	Boar
Igra na deski	Board game
Čoln	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bodybuilding	Bodybuilding
Češka (zgodovinska dežela)	Bohemia
Borij	Bohrium
Vrelišče	Boiling point
Jesenski goban	Boletus edulis
Bolivija	Bolivia
Kategorija:Bolivija	Bolivia
Boljševiki	Bolshevik
Bolzano	Bolzano
Bombnik	Bomber
Sviloprejka	Bombyx mori
Kost	Bone
Bonn	Bonn
Knjiga	Book
Jozue (svetopisemska knjiga)	Book of Joshua
Razodetje (Apokalipsa)	Book of Revelation
Booleova algebra	Boolean algebra (structure)
Bumerang	Boomerang
Bordeaux	Bordeaux
Boris Godunov (opera)	Boris Godunov
Boris Leonidovič Pasternak	Boris Pasternak
Borneo	Borneo
Bor (element)	Boron
Bosna in Hercegovina	Bosnia and Herzegovina
Kategorija:Bosna in Hercegovina	Bosnia and Herzegovina
Bozon	Boson
Bospor	Bosporus
Boston, Massachusetts	Boston
Bostonska čajanka	Boston Tea Party
Predloga:Bot page	Bot
Botanični vrt	Botanical garden
Botanika	Botany
Kategorija:Botanika	Botany
Bocvana	Botswana
Kategorija:Bocvana	Botswana
Bourgogne	Bourgogne
Bouvetov otok	Bouvet Island
Votlorogi	Bovid
Lok (orožje)	Bow (weapon)
Bokser	Boxer (dog)
Kategorija:Boksarji	Boxers
Kategorija:Boks	Boxing
Boylov zakon	Boyle's law
Oklepaj	Bracket
Brahma	Brahma
Brahmaputra	Brahmaputra River
Braillova pisava	Braille
Možgani	Brain
Brainstorming	Brainstorming
Med (kemija)	Brass
Nedrček	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazilija	Brazil
Kategorija:Brazilija	Brazil
Kruh	Bread
Bremen (dežela)	Bremen (state)
Brescia	Brescia
Brest, Francija	Brest
Brest	Brest
Bretanja	Bretagne
Most	Bridge
Kategorija:Mostovi	Bridges
Brigada	Brigade
Bristol	Bristol
Britanska Kolumbija	British Columbia
Britanski imperij	British Empire
Britansko otočje	British Isles
Britanski Deviški otoki	British Virgin Islands
Kategorija:Britanci	British people
Brno	Brno
Brokoli	Broccoli
Brom	Bromine
Bron	Bronze
Bronasta doba	Bronze Age
Brooklyn	Brooklyn
Rjavi medved	Brown Bear
Brownovo gibanje	Brownian motion
Bruce Lee	Bruce Lee
Brugge	Bruges
Brunej	Brunei
Kategorija:Brunej	Brunei
Bruselj	Brussels
Kuga	Bubonic plague
Bukarešta	Bucharest
Buckinghamska palača	Buckingham Palace
Ajda	Buckwheat
Budimpešta	Budapest
Budizem	Buddhism
Kategorija:Budizem	Buddhism
Buenos Aires	Buenos Aires
Zgradba	Building
Bolgarija	Bulgaria
Kategorija:Bolgarija	Bulgaria
Arhimedov zakon	Buoyancy
Birokratizem	Bureaucracy
Župan	Burgomaster
Burkina Faso	Burkina Faso
Kategorija:Burkina Faso	Burkina Faso
Mjanmar	Burma
Kategorija:Mjanmar	Burma
Bursa	Bursa
Kategorija:Burundi	Burundi
Avtobus	Bus
Vodilo	Bus (computing)
Kategorija:Poslovneži	Businesspeople
Butan (plin)	Butane
Maslo	Butter
Dnevni metulji	Butterfly
Bajt	Byte
Kategorija:Bizantinsko cesarstvo	Byzantine Empire
C	C
Programski jezik C	C (programming language)
CD	CD (disambiguation)
CN Tower	CN Tower
COBOL	COBOL
Kabaret	Cabaret
Kadmij	Cadmium
Cezij	Caesium
Kofein	Caffeine
Kairo	Cairo
Kalabrija	Calabria
Calais	Calais
Kalcij	Calcium
Kalcijev karbonat	Calcium carbonate
Računalo	Calculator
Infinitezimalni račun	Calculus
Koledar	Calendar
Kaliber	Caliber
Kalifornija	California
Kalifornij	Californium
Kaligula	Caligula
Kaliopa	Calliope
Kalisto (luna)	Callisto (moon)
Kalorija	Calorie
Calvados	Calvados
Golgota	Calvary
Calvin Coolidge	Calvin Coolidge
Kalipso	Calypso (mythology)
Kambodža	Cambodia
Kategorija:Kambodža	Cambodia
Kambrij	Cambrian
Cambridge	Cambridge
Cambridge, Massachusetts	Cambridge
Velblod	Camel
Fotoaparat	Camera
Kamerun	Cameroon
Kategorija:Kamerun	Cameroon
Kampanija	Campania
Kanada	Canada
Kategorija:Kanada	Canada
Kanadski dolar	Canadian dollar
Kanarski otoki	Canary Islands
Canberra	Canberra
Rak (bolezen)	Cancer
Kandela	Candela
Sveča	Candle
Psi (družina)	Canidae
Marihuana	Cannabis (drug)
Cannes	Cannes
Kanibalizem	Cannibalism
Top	Cannon
Kanu	Canoe
Canon	Canon (company)
Kapacitivnost	Capacitance
Kondenzator	Capacitor
Kaapstad	Cape Town
Zelenortski otoki	Cape Verde
Kategorija:Zelenortski otoki	Cape Verde
Rt dobrega upanja	Cape of Good Hope
Glavno mesto	Capital
Kapital	Capital (economics)
Smrtna kazen	Capital punishment
Kapitalizem	Capitalism
Kapadokija	Cappadocia
Kozorog (ozvezdje)	Capricornus
Karat	Carat (mass)
Ogljikovi hidrati	Carbohydrate
Ogljik	Carbon
Ogljikov dioksid	Carbon dioxide
Ogljikov oksid	Carbon monoxide
Ogljikova kislina	Carbonic acid
Karbon	Carboniferous
Uplinjač	Carburetor
Igra s kartami	Card game
Kardamom	Cardamom
Cardiff	Cardiff
Kardinal	Cardinal (Catholicism)
Kardiologija	Cardiology
Kategorija:Kardiologija	Cardiology
Kategorija:Obtočila	Cardiovascular system
Karibi	Caribbean
Kategorija:Karibi	Caribbean
Karibsko morje	Caribbean Sea
Karikatura	Caricature
Carl David Anderson	Carl David Anderson
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Zveri	Carnivora
Carl Linnaeus	Carolus Linnaeus
Kartezični koordinatni sistem	Cartesian coordinate system
Kartezični produkt	Cartesian product
Kartagina	Carthage
Kartografija	Cartography
Kategorija:Kartografija	Cartography
Casablanca	Casablanca
Kaspijsko jezero	Caspian Sea
Železova litina	Cast iron
Grad	Castle
Rokada (šah)	Castling
Domača mačka	Cat
Katalonija	Catalonia
Katari	Catharism
Katedrala	Cathedral
Katarina Aragonska	Catherine of Aragon
Katoda	Cathode
Katolištvo	Catholicism
Domače govedo	Cattle
Kavkaz	Caucasus
Kategorija:Kavkaz	Caucasus
Kavkaz	Caucasus Mountains
Konjenica	Cavalry
Jama	Cave
Kaviar	Caviar
Kajmanski otoki	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Zelena (zelenjava)	Celery
Nebesni ekvator	Celestial equator
Kategorija:Nebesna mehanika	Celestial mechanics
Nebesna mehanika	Celestial mechanics
Nebesna krogla	Celestial sphere
Celibat	Celibacy
Celica	Cell (biology)
Celična membrana	Cell membrane
Celično jedro	Cell nucleus
Celična stena	Cell wall
Violončelo	Cello
Celuloza	Cellulose
Celzijeva temperaturna lestvica	Celsius
Popis prebivalstva	Census
Kentaver	Centaur
Kentaver (ozvezdje)	Centaurus
Masno središče	Center of mass
Centimeter	Centimetre
Osrednja Afrika	Central Africa
Srednjeafriška republika	Central African Republic
Kategorija:Srednjeafriška republika	Central African Republic
Srednja Amerika	Central America
Centralna obveščevalna agencija	Central Intelligence Agency
Centralne sile	Central Powers
