Volapuk	English
Gustul 15	August 15
Gustul 6	August 6
Augusta (Maine)	Augusta
Aurora	Aurora
Austin (Texas)	Austin
Laustralän	Australia
Lösterän	Austria
Avignon	Avignon
Lasärbäcän	Azerbaijan
B	B
Bagdad	Baghdad
Bahruäns	Bahrain
Bakı	Baku
Baltimore (Maryland)	Baltimore
Bangalore	Bangalore
Bangladejän	Bangladesh
Klad:Bangladejän	Bangladesh
Banjul	Banjul
Barbadeän	Barbados
Klad:Barbadeän	Barbados
Barcelona (Spanyän)	Barcelona
Bari	Bari
Barranquilla	Barranquilla
Basel	Basel
Bath (Linglän)	Bath
Baton Rouge	Baton Rouge
Bayän	Bavaria
Bayonne (Fransän)	Bayonne
Bir	Beer
Bäyrut	Beirut
Belarusän	Belarus
Klad:Belarusän	Belarus
Belgän	Belgium
Klad:Belgän	Belgium
Beograd	Belgrade
Belisän	Belize
Klad:Belisän	Belize
Belo Horizonte	Belo Horizonte
Bängasi	Benghazi
Beninän	Benin
Klad:Beninän	Benin
Bergen (Norgän)	Bergen
Berkshire	Berkshire
Berlin	Berlin
Bern	Berne
Beverly Hills (California)	Beverly Hills
Butän	Bhutan
Klad:Butän	Bhutan
Lifav	Biology
Birmingham (Alabama)	Birmingham
Bismarck (North Dakota)	Bismarck
Bismarck	Bismarck (disambiguation)
Blaise Pascal	Blaise Pascal
Bloemfontein	Bloemfontein
Boise	Boise
Bolivän	Bolivia
Bologna	Bologna
Bolzano	Bolzano
Bonn	Bonn
Bordeaux	Bordeaux
Bosnän e Härzegovän	Bosnia and Herzegovina
Klad:Bosnän e Härzegovän	Bosnia and Herzegovina
Boston	Boston
Samafomot:Bot	Bot
Planav	Botany
Zvanän	Botswana
Braga	Braga
Brandänburgän	Brandenburg
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasilän	Brazil
Bremen	Bremen
Bremen (fedalän)	Bremen (state)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest (Fransän)	Brest
Bridgetown	Bridgetown
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
Brno	Brno
Brugge	Bruges
Brunän	Brunei
Brussel (zif)	Brussels
Bucureşti	Bucharest
Budapest	Budapest
Buenos Aires	Buenos Aires
Buffalo (New York)	Buffalo
Bulgarän	Bulgaria
Burkinän	Burkina Faso
Mianmarän	Burma
Klad:Mianmarän	Burma
Bursa	Bursa
Bydgoszcz	Bydgoszcz
C	C
Kahirä	Cairo
Calais (Fransän)	Calais
California	California
Calvados	Calvados
Kambocän	Cambodia
Kambrium	Cambrian
Cambridge	Cambridge
Cambridge (Massachusetts)	Cambridge
Cambridge (Telplänov)	Cambridge (disambiguation)
Kamerunän	Cameroon
Kanadän	Canada
Klad:Kanadän	Canada
Canberra	Canberra
Cannes	Cannes
Canterbury	Canterbury
Cape Town	Cape Town
Kabovärduäns	Cape Verde
Cifazif	Capital
Caracas	Caracas
Carolus Linnaeus	Carolus Linnaeus
Carson City (Nevada)	Carson City
Zänoda-Frikop	Central African Republic
Ceres	Ceres
Tjadän	Chad
Charleroi	Charleroi
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charleston (West Virginia)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlotte (North Carolina)	Charlotte
Chartres	Chartres
Tsyelyabinsk	Chelyabinsk
Kiemav	Chemistry
Chemnitz	Chemnitz
Chennai	Chennai
Cög	Chess
Klad:Cög	Chess
Cheyenne (Wyoming)	Cheyenne
Chicago	Chicago
Cilän	Chile
Christchurch (Nula-Seleäns)	Christchurch
Cristoforo Colombo	Christopher Columbus
Cleveland (Ohio)	Cleveland
Köln	Cologne
Kolumbän	Colombia
Colorado	Colorado
Columbia (South Carolina)	Columbia
Columbia	Columbia
Columbus (Ohio)	Columbus
Columbus	Columbus
Komoruäns	Comoros
Klad:Komoruäns	Comoros
Concord (New Hampshire)	Concord
Congo	Congo
Connecticut	Connecticut
København	Copenhagen
Corcaigh	Cork (city)
Cornwall	Cornwall
Kostarikän	Costa Rica
Coventry	Coventry
Cremona	Cremona
Kroasän	Croatia
Kubeän	Cuba
Klad:Kubeän	Cuba
Cumbria	Cumbria
Curitiba	Curitiba
Cusco	Cusco
Sipreän	Cyprus
Tsyegän	Czech Republic
D	D
Dallas (Texas)	Dallas
Dimäjk	Damascus
Dante Alighieri	Dante Alighieri
Darwin	Darwin
Daugavpils	Daugavpils
Del	Day
Dekul	December
Dekul 31	December 31
Dekul 8	December 8
Delaware	Delaware
Delft	Delft
Delhi	Delhi
Delta	Delta
Kongoän (Repüblikän Demokratik)	Democratic Republic of the Congo
Danän	Denmark
Klad:Danän	Denmark
Denver (Colorado)	Denver
Des Moines	Des Moines
Detroit	Detroit
Devon	Devon
Dhaka	Dhaka
Dijon	Dijon
Klad:Telplänovapads	Disambiguation
Dmitriy Mendeleyev	Dmitri Mendeleev
Dnipropetrovsk	Dnipropetrovsk
Däuha	Doha
Dominikeän	Dominica
Repüblikän Dominiganik	Dominican Republic
Donatello	Donatello
Donetsk	Donetsk
Dortmund	Dortmund
Dover (Delaware)	Dover
Dover	Dover
Dresden	Dresden
Baile Átha Cliath	Dublin
Dubrovnik	Dubrovnik
Dunkerque	Dunkirk
Durban	Durban
E	E
East Sussex	East Sussex
Lofüda-Timoreän	East Timor
Konömav	Economics
Lekvadorän	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edinburgh	Edinburgh
Edmonton	Edmonton
Dugäl	Education
Lägüptän	Egypt
Eindhoven	Eindhoven
El Paso (Texas)	El Paso
Salvadorän	El Salvador
Elvis Presley	Elvis Presley
Kaenalav	Engineering
Linglän	England
Klad:Linglän	England
Linglänapük	English language
Enrico Fermi	Enrico Fermi
Kveatora-Gineyän	Equatorial Guinea
Ernest Rutherford	Ernest Rutherford
Sperantapük	Esperanto
Espoo	Espoo
Essen (Nordrhein-Westfalen)	Essen
Essex	Essex
Lätiopän	Ethiopia
Eukleides	Euclid
Klad:Yurop	Europe
F	F
Febul	February
Febul 12	February 12
Febul 14	February 14
Febul 2	February 2
Febul 22	February 22
Febul 29	February 29
Federico Fellini	Federico Fellini
Fernão de Magalhães	Ferdinand Magellan
Ferrara	Ferrara
Ficiyuäns	Fiji
Suomiyän	Finland
Stän	Flag
Firenze	Florence
Florida	Florida
Fort Worth	Fort Worth
Fransän	France
Francisco Goya	Francisco Goya
Frank Lloyd Wright	Frank Lloyd Wright
Frankfort (Kentucky)	Frankfort
Frankfurt len Main	Frankfurt
Frankfurt len Oder	Frankfurt (Oder)
Frankfurt	Frankfurt (disambiguation)
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Fredericton	Fredericton
Libatatiän	Free State
Freetown	Freetown
Fresno (California)	Fresno
Friesland	Friesland
Fyodor Mihailovic Dostoyevskiy	Fyodor Dostoevsky
G	G
Gabunän	Gabon
Galileo Galilei	Galileo Galilei
Gaillimh	Galway
Gap (Fransän)	Gap
Gadam	Gardening
Genealog	Genealogy
Genève	Geneva
Genova	Genoa
Geoffrey Chaucer	Geoffrey Chaucer
Taledav	Geography
Talav	Geology
Klad:Geomet	Geometry
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Georg Friedrich Händel	George Frideric Handel
George Lucas	George Lucas
Georgetown (Gvayän)	Georgetown
Georgia	Georgia (U.S. state)
Grusiyän	Georgia (country)
Klad:Grusiyän	Georgia (country)
Deutän	Germany
Klad:Deutän	Germany
Ganän	Ghana
Ghent	Ghent
Giacomo Puccini	Giacomo Puccini
Giordano Bruno	Giordano Bruno
Giuseppe Verdi	Giuseppe Verdi
Glasgow	Glasgow
Gloucestershire	Gloucestershire
Homyel	Gomel
Göteborg	Gothenburg
Graz	Graz
Grikän	Greece
Grenoble	Grenoble
Klad:Gvatemän	Guatemala
Ciudad de Guatemala	Guatemala City
Guayaquil	Guayaquil
Gineyän	Guinea
Gineyän-Bisauän	Guinea-Bissau
Gustav Mahler	Gustav Mahler
H	H
Haitiyän	Haiti
Klad:Haitiyän	Haiti
Halle (Sachsen-Anhalt)	Halle
Hamburg	Hamburg
Hampshire	Hampshire
Hannover	Hanover
Hans Christian Andersen	Hans Christian Andersen
Harrisburg (Pennsylvania)	Harrisburg
Hartford (Connecticut)	Hartford
La Habana	Havana
Hawaii	Hawaii
Hector Berlioz	Hector Berlioz
Helena (Montana)	Helena
Helsinki	Helsinki
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Ford	Henry Ford
Hermann Hesse	Hermann Hesse
Hertfordshire	Hertfordshire
Hesän	Hesse
Jenav	History
Zeladel	Holiday
Hollywood	Hollywood
Homeros	Homer
Hondurän	Honduras
Honiara	Honiara
Honolulu	Honolulu
Horatius	Horace
Houston	Houston
Macarän	Hungary
Haidarabad	Hyderabad
I	I
Ieoh Ming Pei	I. M. Pei
Lisladeän	Iceland
Idaho	Idaho
Ido	Ido
Igor Stravinskiy	Igor Stravinsky
Illinois	Illinois
Immanuel Kant	Immanuel Kant
Lindän	India
Indiana	Indiana
Indianapolis	Indianapolis
Lindäna-Seänuäns	Indonesia
Ingmar Bergman	Ingmar Bergman
Innsbruck	Innsbruck
Interlingua	Interlingua
Vüresod	Internet
Iowa	Iowa
Lirän	Iran
Klad:Lirän	Iran
Lirakän	Iraq
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isle of Wight	Isle of Wight
Yisraelän	Israel
İstanbul	Istanbul
Litaliyän	Italy
Klad:Litaliyän	Italy
J	J
Jackson (Mississippi)	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville (Florida)	Jacksonville
Jacques Cartier	Jacques Cartier
Camekeän	Jamaica
James Cook	James Cook
James Joyce	James Joyce
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Yanul	January
Yanul 1	January 1
Yanul 19	January 19
Yanul 20	January 20
Yanul 6	January 6
Yapän	Japan
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Ciddä	Jeddah
Jefferson City (Missouri)	Jefferson City
Jena	Jena
Hierusalem	Jerusalem
Jimi Hendrix	Jimi Hendrix
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John von Neumann	John von Neumann
Yordän	Jordan
Jorge Luis Borges	Jorge Luis Borges
Yulul	July
Yulul 1	July 1
Yulul 4	July 4
Yunul	June
Yunul 14	June 14
Yunul 21	June 21
Yunul 23	June 23
Yunul 24	June 24
Yunul 29	June 29
Yunul 3	June 3
Juneau (Alaska)	Juneau
K	K
Kampala	Kampala
Kansas	Kansas
Kansas City (Missouri)	Kansas City
Kappa	Kappa
Kathmandau	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kazakistän	Kazakhstan
Klad:Kazakistän	Kazakhstan
Kazan	Kazan
Kent	Kent
Kentucky	Kentucky
Kenyän	Kenya
Kharkiv	Kharkiv
Küyiv	Kiev
Kingston (Camekeän)	Kingston
Kiribasuäns	Kiribati
Kolkata	Kolkata
Kuala Lumpur	Kuala Lumpur
Kovätän	Kuwait
Kuväyt	Kuwait City
Suluvän-Nataliän	KwaZulu-Natal
Kirgistän	Kyrgyzstan
Klad:Kirgistän	Kyrgyzstan
L	L
L'Aquila	L'Aquila
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
Lancashire	Lancashire
Pük	Language
Lansing (Michigan)	Lansing
Laosän	Laos
Las Vegas	Las Vegas
Latviyän	Latvia
Laurasiyop	Laurasia
Lausanne	Lausanne
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lubnän	Lebanon
Leeds	Leeds
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Sutuvän	Lesotho
Liberän	Liberia
Libreville	Libreville
Lübän	Libya
Klad:Lübän	Libya
Ligtänstän	Liechtenstein
Litayel	Light-year
Lille (Fransän)	Lille
Lilongwe	Lilongwe
Lima	Lima
Luimneach	Limerick
Lincoln (Nebraska)	Lincoln
Lincolnshire	Lincolnshire
Linz	Linz
Lisboa	Lisbon
Lietuvän	Lithuania
Liverpool	Liverpool
Ljubljana	Ljubljana
Loire	Loire
London	London
Long Beach (California)	Long Beach
Pleked Söla	Lord's Prayer
Los Angeles	Los Angeles
Lot	Lot (department)
Louis Pasteur	Louis Pasteur
Louisiana	Louisiana
Louisville (Kentucky)	Louisville
Dona-Saxän	Lower Saxony
Lublin	Lublin
Luzern	Lucerne
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Lund	Lund
Luxämburgän	Luxembourg
Lyon	Lyon
M	M
Macedonia	Macedonia
Malagaseän	Madagascar
Madison (Wisconsin)	Madison
Madrid	Madrid
Maine	Maine
Malaysiyän	Malaysia
Maldivuäns	Maldives
Maliyän	Mali
Malteän	Malta
Mänamä	Manama
Manchester	Manchester
Maynila	Manila
Manitoba	Manitoba
Mannheim	Mannheim
Mantova	Mantua
Marcel Proust	Marcel Proust
Mäzul	March
Mäzul 17	March 17
Mäzul 19	March 19
Mäzul 2	March 2
Mäzul 25	March 25
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Twain	Mark Twain
Marlene Dietrich	Marlene Dietrich
Marseille	Marseille
Marjaluäns	Marshall Islands
Blodef: Marx	Marx Brothers
Maryland	Maryland
Massachusetts	Massachusetts
Mata Hari	Mata Hari
Matemat	Mathematics
Mauritän	Mauritania
Maurizeän	Mauritius
Max Planck	Max Planck
Mayul	May
Mayul 1	May 1
Mayul 24	May 24
Mayenne	Mayenne
Mafam	Measurement
Mäkkä	Mecca
Sanav	Medicine
Mädinä	Medina
Memphis (Tennessee)	Memphis
Mesopotän	Mesopotamia
Metafüd	Metaphysics
Mäxikän	Mexico
Ciudad de México	Mexico City
Miami	Miami
Michael Faraday	Michael Faraday
Michelangelo	Michelangelo
Michigan	Michigan
Miguel de Cervantes	Miguel de Cervantes
Milano	Milan
Milwaukee	Milwaukee
Minneapolis (Minnesota)	Minneapolis
Minnesota	Minnesota
Minsk	Minsk
Missouri	Missouri
Moldovän	Moldova
Monakän	Monaco
Mongolän	Mongolia
Monrovia	Monrovia
Mons	Mons
Montana	Montana
Montenegrän	Montenegro
Monterrey	Monterrey
Montevideo	Montevideo
Montgomery	Montgomery
Montpelier (Vermont)	Montpelier
Montréal	Montreal
Mun	Moon
Marokän	Morocco
Moskva	Moscow
Mosambikän	Mozambique
Mumbai	Mumbai
München	Munich
Mäskat	Muscat
Klad:Musig	Music
N	N
NBNL	NATO
Nairobi	Nairobi
Namibiyän	Namibia
Klad:Namibiyän	Namibia
Nancy	Nancy
Nantes	Nantes
Napoli	Naples
Nashville (Tennessee)	Nashville
Natanolavs	Natural science
Naureän	Nauru
Nebraska	Nebraska
Neil Armstrong	Neil Armstrong
Nepalän	Nepal
Nedän	Netherlands
Nevada	Nevada
New Brunswick	New Brunswick
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
New Orleans	New Orleans
New York (tat)	New York
New York	New York (disambiguation)
New York (zif)	New York City
Nula-Seleäns	New Zealand
Newark (New Jersey)	Newark
Newfoundland e Labrador	Newfoundland and Labrador
Nikaraguvän	Nicaragua
Klad:Nikaraguvän	Nicaragua
Nice	Nice
Nicolaus Copernicus	Nicolaus Copernicus
Niels Henrik Abel	Niels Henrik Abel
Nigeriyän	Nigeria
Nijmegen	Nijmegen
Nikola Tesla	Nikola Tesla
Norfolk	Norfolk
North Carolina	North Carolina
North Dakota	North Dakota
Nolüda-Koreyän	North Korea
North Yorkshire	North Yorkshire
Northwest Territories	Northwest Territories
Norgän	Norway
Klad:Norgän	Norway
Nävakjut	Nouakchott
Nova Scotia	Nova Scotia
Novul	November
Novul 1	November 1
Novul 11	November 11
Novul 2	November 2
Novul 5	November 5
Novial	Novial
Novosibirsk	Novosibirsk
Nunavut	Nunavut
Nürnberg	Nuremberg
O	O
Oakland	Oakland
Seanakaedav	Oceanography
Tobul	October
Tobul 12	October 12
Tobul 24	October 24
Odesa	Odessa
Ohio	Ohio
Oklahoma	Oklahoma
Oklahoma City	Oklahoma City
Olympia	Olympia
Omaha	Omaha
Lomän	Oman
Omsk	Omsk
Ontario	Ontario
Lop	Opera
Lordovig	Ordovician
Oregon	Oregon
Orlando (Florida)	Orlando
Oscar Wilde	Oscar Wilde
Oslo	Oslo
Ostrava	Ostrava
Ottawa	Ottawa
Ovidius	Ovid
Oxford	Oxford
P	P
Pablo Picasso	Pablo Picasso
Padova	Padua
Pakistän	Pakistan
Klad:Pakistän	Pakistan
Palauvuäns	Palau
Fösilav	Paleontology
Paleozoig	Paleozoic
Palermo	Palermo
Panamän	Panama
Papuveän Nula-Gineyän	Papua New Guinea
Paragvän	Paraguay
Paris	Paris
Pennsylvania	Pennsylvania
Perm	Perm
Perth	Perth
Peruvän	Peru
Klad:Peruvän	Peru
Peter Paul Rubens	Peter Paul Rubens
Philadelphia	Philadelphia
Filipuäns	Philippines
Filosop	Philosophy
Phnum Pénh	Phnom Penh
Phoenix (Arizona)	Phoenix
Phoenix	Phoenix
Füsüd	Physics
Pierre	Pierre
Plzeň	Pilsen
Pisa	Pisa
Pittsburgh	Pittsburgh
Pleven	Pleven
Plovdiv	Plovdiv
Poitiers	Poitiers
Polän	Poland
Klad:Polän	Poland
Klad:Bolit	Politics
Port Louis	Port Louis
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland (Oregon)	Portland
Portland	Portland
Porto	Porto
Portsmouth	Portsmouth
Portugän	Portugal
Klad:Portugän	Portugal
Potsdam	Potsdam
Praha	Prague
Praia	Praia
Prince Edward Island	Prince Edward Island
Providence	Providence
Proxima Centauri	Proxima Centauri
Puertorikeäns	Puerto Rico
Pyöngyang	Pyongyang
Püthagoras	Pythagoras
Q	Q
Katarän	Qatar
Québec	Quebec
Québec (zif)	Quebec City
Quito	Quito
R	R
Raleigh (North Carolina)	Raleigh
Raffaello	Raphael
Ravenna	Ravenna
Recife	Recife
Reims	Reims
Rel	Religion
Rembrandt	Rembrandt
Repüblikän	Republic
Tayvän	Republic of China
Lireyän	Republic of Ireland
Kongoän (Repüblikän)	Republic of the Congo
Rhode Island	Rhode Island
Richard Wagner	Richard Wagner
Richmond (Virginia)	Richmond
Rīga	Riga
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (tat)	Rio de Janeiro (state)
Riyad	Riyadh
Roald Amundsen	Roald Amundsen
Robert Schumann	Robert Schumann
Rumän	Romania
Roma	Rome
Roosevelt	Roosevelt
Rostock	Rostock
Rotterdam	Rotterdam
Rudolf Hesse	Rudolf Hess
Rusän	Russia
Ruandän	Rwanda
S	S
Sacramento (California)	Sacramento
Saluda-Kiteän e Neviseän	Saint Kitts and Nevis
St. Paul (Minnesota)	Saint Paul
Sankt-Peterburg	Saint Petersburg
Saluda-Vinsenteän e Grenadineäns	Saint Vincent and the Grenadines
Salem (Oregon)	Salem
Salerno	Salerno
Salt Lake City	Salt Lake City
Salvador	Salvador
Salzburg (Lösterän)	Salzburg
Samara	Samara
Samovuäns	Samoa
Klad:Samovuäns	Samoa
Samuel Beckett	Samuel Beckett
San Antonio (Texas)	San Antonio
San Diego	San Diego
San Francisco	San Francisco
San Jose (California)	San Jose
San Juan (Puertorikeäns)	San Juan
Sanmarinän	San Marino
San Marino	San Marino
San Salvador	San Salvador
Sandro Botticelli	Sandro Botticelli
Santa Fe (New Mexico)	Santa Fe
Santiago de Chile	Santiago
Santiago de Cuba	Santiago de Cuba
Santos	Santos (Săo Paulo)
Sappho	Sappho
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Saskatchewan	Saskatchewan
Sauda-Larabän	Saudi Arabia
Saxän	Saxony
Skotän	Scotland
Seattle	Seattle
Senegalän	Senegal
Söul	Seoul
Setul	September
Setul 11	September 11
Setul 17	September 17
Setul 29	September 29
Särbän	Serbia
Klad:Särbän	Serbia
Konletateor	Set theory
Sevilla	Seville
Säceluäns	Seychelles
Klad:Säceluäns	Seychelles
Sheffield	Sheffield
Sieraleonän	Sierra Leone
Silur	Silurian
Simone de Beauvoir	Simone de Beauvoir
Singapurän	Singapore
Skopje	Skopje
Slovakiyän	Slovakia
Klad:Slovakiyän	Slovakia
Sloveniyän	Slovenia
Klad:Sloveniyän	Slovenia
Sofiya	Sofia
Salomonuäns	Solomon Islands
Somalän	Somalia
Somerset	Somerset
Somme	Somme
Sophokles	Sophocles
Klad:Sulüda-Frikopän	South Africa
South Carolina	South Carolina
South Dakota	South Dakota
Sulüda-Koreyän	South Korea
Spanyän	Spain
Split	Split
Springfield (Illinois)	Springfield
Sri-Lankän	Sri Lanka
Saint Louis (Missouri)	St. Louis
Stanley Kubrick	Stanley Kubrick
Stavanger	Stavanger
Steven Spielberg	Steven Spielberg
Stockholm	Stockholm
Strasbourg	Strasbourg
Stuttgart	Stuttgart
Sudän	Sudan
Poyümot	Suffix
Sol	Sun
Surinän	Suriname
Surrey	Surrey
Svasiyän	Swaziland
Svedän	Sweden
Klad:Svedän	Sweden
Jveizän	Switzerland
Sydney	Sydney
Siracusa	Syracuse
Süriyän	Syria
T	T
Tacikistän	Tajikistan
Tallahassee	Tallahassee
Tallinn	Tallinn
Tampa (Florida)	Tampa
Tampere	Tampere
Tansanän	Tanzania
Tarn	Tarn
Tartu	Tartu
Toshkent	Tashkent
Tbilisi	Tbilisi
Klad:Kaenav	Technology
Tehran	Tehran
Tennessee	Tennessee
Texas	Texas
Tayän	Thailand
Gambiyän	The Gambia
Thessaloniki	Thessaloniki
Thomas Aquinas	Thomas Aquinas
Thomas Edison	Thomas Edison
Türinän	Thuringia
Klad:Timastabäds	Time
Tirana	Tirana
Tivoli (Litaliyän)	Tivoli
Tocantins	Tocantins (state)
Togoän	Togo
Tonguäns	Tonga
Topeka (Kansas)	Topeka
Toronto	Toronto
Toulon	Toulon
Toulouse	Toulouse
Tours	Tours
Trento	Trento
Trenton (New Jersey)	Trenton
Trier	Trier
Trinidad (Bolivän)	Trinidad
Trinidadeän e Tobageäns	Trinidad and Tobago
Tarabulus	Tripoli
Trondheim	Trondheim
Ilio	Troy
Tucson	Tucson
Tunisän	Tunisia
Torino	Turin
Türkän	Turkey
Turkmenän	Turkmenistan
Tuvaluäns	Tuvalu
Tycho Brahe	Tycho Brahe
Tyrannosaurus	Tyrannosaurus
U	U
Ufa	Ufa
Lugandayän	Uganda
Lukrayän	Ukraine
Klad:Lukrayän	Ukraine
Lemiräns Pebalöl Larabänik	United Arab Emirates
Regän Pebalöl	United Kingdom
Lamerikän	United States
Uppsala	Uppsala
Luruguyän	Uruguay
Utah	Utah
Utrecht (zif)	Utrecht (city)
Utrecht (provin)	Utrecht (province)
Lusbekän	Uzbekistan
V	V
Vaduz	Vaduz
Valence	Valence
Valencia (Spanyän)	Valencia
Valletta	Valletta
Vancouver	Vancouver
Vanuatuäns	Vanuatu
Klad:Vanuatuäns	Vanuatu
Var	Var (department)
Varna	Varna
Vatikän	Vatican City
Venesolän	Venezuela
Klad:Venesolän	Venezuela
Venezia	Venice
Vermont	Vermont
Verona	Verona
Versailles	Versailles
Vichy	Vichy
Victor Hugo	Victor Hugo
Victoria (Säceluäns)	Victoria
Victoria (British Columbia)	Victoria
Wien	Vienna
Vienne	Vienne
Viengtjan	Vientiane
Vietnamän	Vietnam
Klad:Vietnamän	Vietnam
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Publius Vergilius Maro	Virgil
Virginia	Virginia
Vladimir Nabokov	Vladimir Nabokov
Volgograd	Volgograd
Voltaire	Voltaire
Walt Disney	Walt Disney
Warszawa	Warsaw
Washington	Washington
Washington (tat)	Washington
Vat	Water
Weimar	Weimar
Wellington (Nula-Seleäns)	Wellington
West Sussex	West Sussex
West Virginia	West Virginia
Vesüda-Saharän	Western Sahara
Wiesbaden	Wiesbaden
William Butler Yeats	William Butler Yeats
William Shakespeare	William Shakespeare
William Wordsworth	William Wordsworth
Windhoek	Windhoek
Winnipeg	Winnipeg
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Worcestershire	Worcestershire
Vol	World
Wyoming	Wyoming
X	X
Y	Y
Yämän	Yemen
Yerevan	Yerevan
York	York
Yukon	Yukon
Yuriy Gagarin	Yuri Gagarin
Z	Z
Zagreb	Zagreb
Zambiyän	Zambia
Zaragoza	Zaragoza
Zimbabiyän	Zimbabwe
Nimav	Zoology
