English	Korean
George Frideric Handel	게오르크 프리드리히 헨델
George Gershwin	조지 거슈인
George Harrison	조지 해리슨
George Lucas	조지 루카스
George Orwell	조지 오웰
George Paget Thomson	조지 패짓 톰슨
George Sand	조르주 상드
George W. Bush	조지 W. 부시
George Washington	조지 워싱턴
Georges Bizet	조르주 비제
Georges Braque	조르주 브라크
Georges Clemenceau	조르주 클레망소
Georgetown	조지타운 (가이아나)
Georgia (U.S. state)	조지아 주
Georgia (U.S. state)	분류:조지아 주
Georgia (country)	그루지야
Georgia (country)	분류:그루지야
Gerald Ford	제럴드 포드
Gerard Kuiper	제러드 카이퍼
German language	독일어
German language	분류:독일어
German mark	독일 마르크
Germanium	저마늄
Germany	독일
Germany	분류:독일
Gestapo	게슈타포
Ghana	가나
Ghana	분류:가나
Giacomo Puccini	자코모 푸치니
Giant Panda	자이언트판다
Gibbon	긴팔원숭이
Gibraltar	지브롤터
Gibraltar	분류:지브롤터
Gigabyte	기가바이트
Gilgamesh	길가메시
Ginkgo	은행나무
Giordano Bruno	조르다노 브루노
Giorgio Vasari	조르조 바사리
Giotto di Bondone	조토 디 본도네
Giraffe	기린
Giraffidae	기린과
Giuseppe Garibaldi	주세페 가리발디
Giuseppe Verdi	주세페 베르디
Gladiator	검투사
Glasgow	글래스고
Glasnost	글라스노스트
Glass	유리
Glasses	안경
Global Positioning System	GPS
Global warming	지구 온난화
Globalization	세계화
Glucose	글루코스
Gluon	글루온
Glutamic acid	글루탐산
Glycerol	글리세롤
Glycine	글리신
Glycolysis	해당
Gneiss	편마암
Gnosticism	영지주의
Go (board game)	바둑
Goa	고아 주
Goalkeeper	골키퍼
Gobi Desert	고비 사막
God	하느님
Gold	금
Golda Meir	골다 메이어
Golden Gate Bridge	골든게이트 교
Golden Horde	킵차크 한국
Golf	골프
Golf	분류:골프
Golgi apparatus	골지체
Gomel	호몔
Good Friday	성 금요일
Google	구글
Google	분류:구글
Googol	구골
Gorilla	고릴라
Goshawk	참매
Gospel	복음서
Gospel of Luke	루카 복음서
Gothenburg	예테보리
Gothic	고딕
Gothic architecture	고딕 건축
Government	정부
Grace Kelly	그레이스 켈리
Gradient	기울기 (벡터)
Graffiti	그라피티
Gram	그램
Grammar	문법
Grammar	분류:문법
Granite	화강암
Grape	포도
Grapefruit	그레이프프루트
Graphic design	분류:그래픽 디자인
Graphic design	그래픽 디자인
Graphical user interface	그래픽 사용자 인터페이스
Graphite	흑연
Gravitation	중력
Gravitational constant	중력상수
Graviton	중력자
Gray (unit)	그레이
Gray Wolf	늑대
Great Barrier Reef	그레이트배리어리프
Great Britain	그레이트브리튼 섬
Great Depression	대공황
Great Lakes	오대호
Great Rift Valley	동아프리카 지구대
Great Wall of China	만리장성
Great white shark	백상아리
Greece	그리스
Greece	분류:그리스
Greek alphabet	그리스 문자
Greek alphabet	분류:그리스 문자
Greek fire	그리스 화약
Greek mythology	그리스 신화
Greek mythology	분류:그리스 신화
Green	녹색
Greenhouse	비닐하우스
Greenhouse effect	온실 효과
Greenhouse gas	온실 기체
Greenland	그린란드
Greenland	분류:그린란드
Greenland Sea	그린란드 해
Greenpeace	그린피스
Greenwich	그리니치
Greenwich Mean Time	그리니치 평균시
Gregor Mendel	그레고르 요한 멘델
Gregorian calendar	그레고리력
Grenada	분류:그레나다
Grey	회색
Griffin	그리핀
Gross domestic product	국내 총생산
Group	그룹
Group (mathematics)	군 (수학)
Group (periodic table)	주기율표 족
Group theory	군론
Grover Cleveland	그로버 클리블랜드
Grozny	그로즈니
Grus (constellation)	두루미자리
Guadeloupe	과들루프
Guam	괌
Guangdong	광둥 성
Guangzhou	광저우
Guano	구아노
Guatemala	분류:과테말라
Guatemala City	과테말라 시
Guayaquil	과야킬
Guernsey	건지 섬
Guglielmo Marconi	굴리엘모 마르코니
Guillaume Apollinaire	기욤 아폴리네르
Guillotine	단두대
Guinea	기니
Guinea	분류:기니
Guinea-Bissau	기니비사우
Guinea-Bissau	분류:기니비사우
Guitar	기타
Gulag	굴락
Gulf Stream	멕시코 만류
Gulf War	걸프 전쟁
Gulf of Aden	아덴 만
Gulf of Aqaba	아카바 만
Gulf of Bothnia	보트니아 만
Gulf of Finland	핀란드 만
Gulf of Guinea	기니 만
Gulf of Mexico	멕시코 만
Gulf of Oman	오만 만
Gulf of Thailand	타이 만
Gull	갈매기
Gustav Klimt	구스타프 클림트
Gustav Mahler	구스타프 말러
Gustave Courbet	귀스타브 쿠르베
Gustave Flaubert	귀스타브 플로베르
Guy Fawkes	가이 포크스
Guy de Maupassant	기 드 모파상
Guyana	분류:가이아나
Gymnosperm	겉씨식물
Gypsum	석고
Gyroscope	자이로스코프
H	H
H. G. Wells	허버트 조지 웰스
HIV	HIV
HTML	HTML
Hacker	해커
Hades	하데스
Hadith	하디스 (이슬람교)
Hadrian	하드리아누스
Haemophilia	혈우병
Hafnium	하프늄
Hagia Sophia	하기아 소피아 성당
Haifa	하이파
Haiku	하이쿠
Hail	우박
Hail Mary	성모송
Hair	털
Haiti	아이티
Haiti	분류:아이티
Halberd	할베르트
Half-life	반감기
Halloween	할로윈
Halogen	할로젠
Hamas	하마스
Hamburg	함부르크
Hamburg	분류:함부르크
Hamburger	햄버거
Hamlet	햄릿
Hammer	망치
Hammer and sickle	낫과 망치
Hammurabi	함무라비
Hamster	햄스터
Han Dynasty	한나라
Hand	손
Hand grenade	수류탄
Handgun	권총
Hanging	교수형
Hanging Gardens of Babylon	바빌론의 공중 정원
Hannah Arendt	해나 아렌트
Hannibal	한니발
Hanoi	하노이
Hanover	하노버
Hans Bethe	한스 베테
Hans Christian Andersen	한스 크리스티안 안데르센
Hanseatic League	한자 동맹
Hanukkah	하누카
Happiness	행복
Harare	하라레
Harem	하렘
Harlem	할렘
Harmony	화성 (음악)
Harold Pinter	해럴드 핀터
Harp	하프
Harpsichord	하프시코드
Harpy	하피 (신화)
Harriet Beecher Stowe	헤리엇 비처 스토
Harrisburg	해리스버그
Hartford	하트퍼드
Hassium	하슘
Hatred	증오
Haute-Normandie	오트노르망디
Havana	아바나
Hawaii	하와이 주
Hawaii	분류:하와이 주
Head	머리
Head of state	국가 원수
Health	분류:건강
Heart	심장
Heat	열
Heat engine	열기관
Heaven	천국
Heavy metal	분류:헤비 메탈
Heavy metal music	헤비 메탈
Heavy water	중수
Hebei	허베이 성
Hebrew alphabet	히브리 문자
Hebrew calendar	히브리력
Hebrides	헤브리디스 제도
Hectare	헥타르
Hector	헥토르
Hector Berlioz	엑토르 베를리오즈
Hedgehog	고슴도치아과
Heimdall	헤임달
Heinrich Hertz	하인리히 루돌프 헤르츠
Heinrich Himmler	하인리히 힘러
Heinrich Schliemann	하인리히 슐리만
Helen	헬레네
Helen Keller	헬렌 켈러
Helena	헬레나 (몬태나 주)
Helicopter	헬리콥터
Helium	헬륨
Hell	지옥
Helsinki	헬싱키
Hematology	분류:혈액학
Hemoglobin	헤모글로빈
Hemorrhoid	치질
Henri Becquerel	앙투안 앙리 베크렐
Henri Bergson	앙리 베르그송
Henri Matisse	앙리 마티스
Henrik Ibsen	헨리크 입센
Henry (unit)	헨리 (단위)
Henry Cavendish	헨리 캐번디시
Henry Ford	헨리 포드
Henry Kissinger	헨리 키신저
Henry Purcell	헨리 퍼셀
Hepatitis	간염
Hephaestus	헤파이스토스
Hera	헤라
Heracles	헤라클레스
Heraclitus	헤라클레이토스
Herat	헤라트
Herbert Hoover	허버트 후버
Herbert Spencer	허버트 스펜서
Hercules	헤라클레스
Hercules (constellation)	허큘리스자리
Heresy	이단
Herman Melville	허먼 멜빌
Hermann Hesse	헤르만 헤세
Hermann Minkowski	헤르만 민코프스키
Hermann von Helmholtz	헤르만 폰 헬름홀츠
Hermaphrodite	자웅동체
Hermes	헤르메스
Hero of Alexandria	알렉산드리아의 헤론
Herod the Great	헤로데 대왕
Herodotus	헤로도토스
Heron	왜가리과
Hertz	헤르츠
Hesiod	헤시오도스
Hesperides	헤스페리데스
Hesse	헤센 주
Hesse	분류:헤센 주
Hestia	헤스티아
Heterosexuality	이성애
Hexadecimal	십육진법
Hexagon	육각형
Hezbollah	헤즈볼라
Hibernation	겨울잠
Hideki Yukawa	유카와 히데키
Hieronymus Bosch	히에로니무스 보슈
Hilbert space	힐베르트 공간
Himalayas	히말라야 산맥
Hindu Kush	힌두쿠시 산맥
Hinduism	힌두교
Hinduism	분류:힌두교
Hippie	히피
Hippocrates	히포크라테스
Hippopotamus	하마
Hirohito	쇼와 천황
Hiroshima	히로시마 시
Hispaniola	이스파니올라 섬
Histidine	히스티딘
Histology	분류:조직학
Histone	히스톤
History	역사
History	분류:역사
Ho Chi Minh	호찌민 (사람)
Ho Chi Minh City	호찌민 시
Hobart	호바트
Hobby	취미
Hokusai	가쓰시카 호쿠사이
Holiday	공휴일
Hollywood	할리우드
Holmium	홀뮴
Holocene	홀로세
Holy Roman Empire	신성 로마 제국
Holy Roman Empire	분류:신성 로마 제국
Holy Spirit	성령
Homeostasis	항상성
Homer	호메로스
Hominidae	사람과
Homo (genus)	사람속
Homo erectus	호모 에렉투스
Homosexuality	동성애
Honduras	온두라스
Honduras	분류:온두라스
Honey	벌꿀
Hong Kong	홍콩
Hong Kong	분류:홍콩
Honiara	호니아라
Honolulu	호놀룰루
Hooke's law	훅의 법칙
Hoopoe	후투티
Horace	호라티우스
Horatio Nelson	허레이시오 넬슨
Horizon	수평선
Hormone	호르몬
Horn of Africa	아프리카의 뿔
Horse	말 (동물)
Horse racing	경마
Horsepower	마력
Horus	호루스
Hosni Mubarak	호스니 무바라크
Hospital	병원
Hotel	호텔
Hour	시간 (단위)
Hourglass	모래시계
House	집
House (TV series)	하우스 (드라마)
House Mouse	생쥐
Houston	휴스턴 (텍사스 주)
Hudson Bay	허드슨 만
Hudson River	허드슨 강
Hugh Capet	위그 카페
Hugo Grotius	휘호 그로티우스
Huguenot	위그노
Human	사람
Humanism	인문주의
Humanities	분류:인문 과학
Humidity	습도
Hummingbird	벌새
Humor	분류:유머
Humpback Whale	혹등고래
Hunan	후난 성
Hundred Years' War	백년 전쟁
Hungary	헝가리
Hungary	분류:헝가리
Hunger	배고픔
Hunting	수렵
Hybrid	잡종
Hydra (constellation)	바다뱀자리
Hydrocarbon	탄화수소
Hydrochloric acid	염산
Hydrogen	수소
Hydrogen bond	수소 결합
Hydrogen cyanide	사이안화 수소
Hydrogen peroxide	과산화 수소
Hydrolysis	가수분해
Hydrus	물뱀자리
Hyena	하이에나
Hygiene	분류:위생
Hymen	처녀막
Hymenoptera	분류:벌목
Hymenoptera	벌목 (곤충)
Hyperbola	쌍곡선
Hyperion (moon)	히페리온 (위성)
Hypertension	고혈압
Hypertext	하이퍼텍스트
Hypertext Transfer Protocol	HTTP
Hypnosis	최면
Hypothesis	가설
I	I
IPod	아이팟
Ian Fleming	이언 플레밍
Iapetus (moon)	이아페투스 (위성)
Iapetus (mythology)	이아페토스
Iberian Peninsula	이베리아 반도
Ibuprofen	이부프로펜
Ice	얼음
Ice cream	아이스크림
Ice hockey	아이스하키
Ice hockey	분류:아이스하키
Iceberg	빙산
Iceland	아이슬란드
Iceland	분류:아이슬란드
Icon	성화상
Iconoclasm	성상파괴운동
Idaho	아이다호 주
Idaho	분류:아이다호 주
Ideal gas	이상 기체
Idealism	관념론
Identity element	항등원
Identity matrix	단위행렬
Ideology	이데올로기
Ido	이도
Igloo	이글루
Ignatius of Loyola	이냐시오 데 로욜라
Igneous rock	화성암
Igor Stravinsky	이고리 스트라빈스키
Iguazu Falls	이과수 폭포
Iliad	일리아스
Illinois	일리노이 주
Illinois	분류:일리노이 주
Illyria	일리리아
Image scanner	이미지 스캐너
Imam	이맘
Immanuel Kant	이마누엘 칸트
Immune system	면역체계
Immunology	면역학
Immunology	분류:면역학
Imperialism	제국주의
Impressionism	인상주의
Incest	근친상간
Incheon	인천광역시
Inclined plane	빗면
India	인도
India	분류:인도
Indian Ocean	인도양
Indian Ocean	분류:인도양
Indiana	인디애나 주
Indiana	분류:인디애나 주
Indianapolis	인디애나폴리스
Indira Gandhi	인디라 간디
Indium	인듐
Indochina	인도차이나 반도
Indonesia	인도네시아
Indonesia	분류:인도네시아
Indra	인드라
Inductance	인덕턴스
Inductive reasoning	귀납 추론
Inductor	코일
Indulgence	대사 (가톨릭)
Indus (constellation)	인디언자리
Indus River	인더스 강
Industrial Revolution	산업 혁명
Industry	산업
Industry	분류:산업
Inequality	부등식
Inertia	관성
Infantry	보병
Infectious disease	감염병
Infinity	무한
Inflation	인플레이션
Influenza	인플루엔자
Information	정보
Information technology	정보통신기술
Information theory	정보 이론
Infrared	적외선
Infrastructure	하부 구조
Ingmar Bergman	잉마르 베리만
Inner Mongolia	네이멍구 자치구
Innovation	혁신
Inorganic chemistry	무기화학
Inorganic chemistry	분류:무기화학
Inquisition	종교재판
Insect	곤충
Insectivora	식충목
Institution	기관 (조직)
Insulin	인슐린
Integer	정수
Integral	적분
Integrated circuit	집적회로
Intellectual property	지적재산권
Intelligence	지능
Intelligence quotient	지능 지수
Intercontinental ballistic missile	대륙간 탄도 미사일
Interest	이자
Interference	간섭
Interlingua	인테르링구아
International Atomic Energy Agency	국제원자력기구
International Civil Aviation Organization	국제 민간 항공 기구
International Court of Justice	국제사법재판소
International Date Line	날짜 변경선
International Monetary Fund	국제통화기금
International System of Units	SI 단위계
International law	분류:국제법
Internet	인터넷
Internet	분류:인터넷
Internet Explorer	인터넷 익스플로러
Interpreter (computing)	인터프리터
Intersection (set theory)	교집합
Interval (music)	음정
Intestine	창자
Intranet	인트라넷
Invertebrate	무척추동물
Io (moon)	이오 (위성)
Io (mythology)	이오 (신화)
Iodine	아이오딘
Ion	이온
Ionia	이오니아
Ionian Sea	이오니아 해
Ionic bond	이온 결합
Ionosphere	전리층
Iota	Ι
Iowa	아이오와 주
Iowa	분류:아이오와 주
Iran	이란
Iran	분류:이란
Iran-Iraq War	이란-이라크 전쟁
Iraq	이라크
Iraq	분류:이라크
Ireland	아일랜드 섬
Ireland	분류:아일랜드
Irenaeus	이레나이우스
Iridium	이리듐
Iris (anatomy)	홍채
Irish Republican Army	아일랜드 공화국군 (1919년)
Irish Sea	아일랜드 해
Irish people	분류:아일랜드 사람
Iron	철
Iron Age	철기 시대
Iron Curtain	철의 장막
Iron Maiden	아이언 메이든
Irrational number	무리수
Irtysh River	이르티시 강
Isaac	이사악
Isaac Asimov	아이작 아시모프
Isaac Newton	아이작 뉴턴
Isadora Duncan	이사도라 던컨
Isis	이시스
Islam	이슬람교
Islam	분류:이슬람교
Islamabad	이슬라마바드
Islamic calendar	이슬람력
Island	섬
Isle of Man	맨 섬
Isle of Man	분류:맨 섬
Isomer	이성질체
Isoroku Yamamoto	야마모토 이소로쿠
Isotope	동위 원소
Israel	이스라엘
Israel	분류:이스라엘
Istanbul	이스탄불
Istanbul	분류:이스탄불
Isthmus	지협
Isthmus of Panama	파나마 지협
Italian Peninsula	이탈리아 반도
Italy	이탈리아
Italy	분류:이탈리아
Ivan Pavlov	이반 파블로프
Ivy League	아이비 리그
Iwo Jima	이오 섬
J	J
J. D. Salinger	제롬 데이비드 샐린저
J. M. Barrie	제임스 매튜 배리
Jack the Ripper	잭 더 리퍼
Jackdaw	갈까마귀
Jackson	잭슨 (미시시피 주)
Jackson Pollock	잭슨 폴록
Jacksonville	잭슨빌 (플로리다 주)
Jacob	야곱
Jacques Cartier	자크 카르티에
Jacques Derrida	자크 데리다
Jacques Offenbach	자크 오펜바흐
Jaguar	재규어
Jainism	자이니즘
Jakarta	자카르타
Jalalabad	잘랄라바드
Jamaica	자메이카
Jamaica	분류:자메이카
James	제베대오의 아들 야고보
James A. Garfield	제임스 가필드
James Bond	제임스 본드
James Buchanan	제임스 뷰캐넌
James Clerk Maxwell	제임스 클러크 맥스웰
James Cook	제임스 쿡
James Joyce	제임스 조이스
James K. Polk	제임스 K. 포크
James Madison	제임스 매디슨
James Monroe	제임스 먼로
James Naismith	제임스 네이스미스
Jammu and Kashmir	잠무카슈미르 주
Jan Hus	얀 후스
Jane Austen	제인 오스틴
Jane Fonda	제인 폰다
Jane Seymour	제인 시무어
Janissary	예니체리
January	1월
January 1	1월 1일
January 19	1월 19일
January 20	1월 20일
January 6	1월 6일
Japan	일본
Japan	분류:일본
Java	자와 섬
Java (disambiguation)	자바
Java (programming language)	자바 (프로그래밍 언어)
Jawaharlal Nehru	자와할랄 네루
Jazz	재즈
Jazz	분류:재즈
Jean Auguste Dominique Ingres	도미니크 앵그르
Jean Piaget	장 피아제
Jean Racine	장 라신
Jean Sibelius	장 시벨리우스
Jean de La Fontaine	장 드 라퐁텐
Jean-Jacques Rousseau	장 자크 루소
Jean-Paul Sartre	장폴 사르트르
Jean-Philippe Rameau	장 필리프 라모
Jeddah	지다 (도시)
Jefferson City	제퍼슨 시
Jehovah	야훼
Jehovah's Witnesses	여호와의 증인
Jellyfish	해파리
Jena	예나
Jeremy Bentham	제러미 벤담
Jerome	히에로니무스
Jersey	저지 섬
Jerusalem	예루살렘
Jesus	예수
Jet engine	제트 엔진
Jew	유대인
Jihad	지하드
Jimi Hendrix	지미 헨드릭스
Jimmy Carter	지미 카터
Joan of Arc	잔 다르크
Johann Bernoulli	요한 베르누이
Johann Sebastian Bach	요한 제바스티안 바흐
Johann Wolfgang von Goethe	요한 볼프강 폰 괴테
Johannes Brahms	요하네스 브람스
Johannes Diderik van der Waals	요하네스 디데릭 판데르 발스
Johannes Gutenberg	요하네스 구텐베르크
Johannes Kepler	요하네스 케플러
Johannesburg	요하네스버그
John Adams	존 애덤스
John Bardeen	존 바딘
John Calvin	장 칼뱅
John Chrysostom	요한네스 크리소스토무스
John Dalton	존 돌턴
John Dewey	존 듀이
John Lennon	존 레논
John Locke	존 로크
John Major	존 메이저
John Maynard Keynes	존 메이너드 케인즈
John Milton	존 밀턴
John Napier	존 네이피어
John Quincy Adams	존 퀸시 애덤스
John Ruskin	존 러스킨
John Stuart Mill	존 스튜어트 밀
John Tyler	존 타일러
John Wayne	존 웨인
John the Baptist	세례자 요한
John von Neumann	존 폰 노이만
Jonathan Swift	조나단 스위프트
Jordan	요르단
Jordan	분류:요르단
Jordan River	요르단 강
Jorge Luis Borges	호르헤 루이스 보르헤스
Joseph Goebbels	요제프 괴벨스
Joseph Haydn	요제프 하이든
Joseph McCarthy	조지프 매카시
Joseph Priestley	조지프 프리스틀리
Joseph Schumpeter	조지프 슘페터
Joseph Smith	조지프 스미스 2세
Joseph Stalin	이오시프 스탈린
Josephus	요세푸스
Joule	줄 (단위)
Journalism	분류:언론
Journalism	언론
Jovian	요비아누스
Joystick	조이스틱
Judaism	유대교
Judaism	분류:유대교
Judas Iscariot	이스카리옷 유다
Judea	유대
Judo	유도
Jujutsu	유술
Jules Verne	쥘 베른
Julian calendar	율리우스력
Julian the Apostate	율리아누스
Julius Caesar	율리우스 카이사르
July	7월
July 1	7월 1일
July 4	7월 4일
June	6월
June 14	6월 14일
June 21	6월 21일
June 23	6월 23일
June 24	6월 24일
June 29	6월 29일
June 3	6월 3일
Juneau	주노 (알래스카 주)
Juniper	노간주나무속
Jupiter	목성
Jupiter	분류:목성
Jupiter (mythology)	유피테르
Jurassic	쥐라기
Justinian I	유스티니아누스 1세
Jutland	윌란 반도
K	K
K2	K2 산
KGB	국가보안위원회
Kabbalah	카발라
Kabul	카불
Kalahari Desert	칼라하리 사막
Kamchatka Peninsula	캄차카 반도
Kampala	캄팔라
Kandahar	칸다하르
Kangaroo	캥거루
Kansas	캔자스 주
Kansas	분류:캔자스 주
Kansas City	캔자스시티 (미주리 주)
Kappa	Κ
Kara Sea	카라 해
Karachi	카라치
Karakoram	카라코람 산맥
Karaoke	가라오케
Karate	공수도
Karl Barth	카를 바르트
Karl Jaspers	카를 야스퍼스
Karl Marx	카를 마르크스
Karl Popper	칼 포퍼
Katharine Hepburn	캐서린 헵번
Kathmandu	카트만두
Katowice	카토비체
Kaunas	카우나스
Kazakhstan	카자흐스탄
Kazakhstan	분류:카자흐스탄
Kazan	카잔
Kelvin	켈빈
Kent	켄트 주
Kentucky	켄터키 주
Kentucky	분류:켄터키 주
Kenya	케냐
Kenya	분류:케냐
Kernel (computer science)	커널 (운영 체제)
Ketchup	케첩
Ketone	케톤
Keyboard (computing)	컴퓨터 자판
Keyboard instrument	건반 악기
Khabarovsk	하바롭스크
Khan	칸 (칭호)
Kharkiv	하르키우
Khartoum	하르툼
Khmer Rouge	크메르루주
Khufu	쿠푸
Kibbutz	키부츠
Kidney	콩팥
Kiev	키예프
Kigali	키갈리
Kilobyte	킬로바이트
Kilogram	킬로그램
Kilometres per hour	킬로미터 매 시간
Kimono	기모노
Kinetic energy	운동 에너지
King (chess)	킹 (체스)
King Arthur	아서 왕
King Lear	리어 왕
Kingdom (biology)	계 (생물)
Kingston	킹스턴 (자메이카)
Kingstown	킹스타운
Kinshasa	킨샤사
Kiribati	키리바시
Kiribati	분류:키리바시
Kirkuk	키르쿠크
Kiss	입맞춤
Kite	연
Kiwi	키위
Knee	무릎
Knife	칼 (도구)
Knight (chess)	나이트 (체스)
Knot (speed)	노트 (속력)
Knowledge	지식
Knut Hamsun	크누트 함순
Koala	코알라
Kobe	고베 시
Kola Peninsula	콜라 반도
Kolkata	콜카타
Konrad Adenauer	콘라트 아데나워
Korea	한국
Korea	분류:한국
Korean War	한국 전쟁
Kosovo	코소보
Kosovo	분류:코소보
Krishna	크리슈나
Krypton	크립톤
Ku Klux Klan	쿠 클럭스 클랜
Kuala Lumpur	쿠알라룸푸르
Kublai Khan	쿠빌라이 칸
Kuiper belt	카이퍼 대
Kumquat	금귤
Kung fu (term)	쿵푸
Kunlun Mountains	쿤룬 산맥
Kuomintang	중국 국민당
Kura River	쿠라 강
Kurdistan	쿠르디스탄
Kurdistan	분류:쿠르디스탄
Kurdistan Workers Party	쿠르디스탄 노동자당
Kursk	쿠르스크
Kurt Vonnegut	커트 보네거트
Kuwait	쿠웨이트
Kuwait	분류:쿠웨이트
Kuwait City	쿠웨이트 시
Kyoto	교토 시
Kyrgyzstan	키르기스스탄
Kyrgyzstan	분류:키르기스스탄
L	L
LAMP (software bundle)	LAMP
La Paz	라파스
LaTeX	LaTeX
Labour Party (UK)	노동당 (영국)
Lacerta	도마뱀자리
Lady Jane Grey	제인 그레이
Lagomorpha	토끼목
Lagos	라고스
Lahore	라호르
Lake	호수
Lake Baikal	바이칼 호
Lake Erie	이리 호
Lake Geneva	레만 호
Lake Huron	휴런 호
Lake Ilmen	일멘 호
Lake Ladoga	라도가 호
Lake Malawi	말라위 호
Lake Michigan	미시간 호
Lake Onega	오네가 호
Lake Ontario	온타리오 호
Lake Superior	슈피리어 호
Lake Tanganyika	탕가니카 호수
Lake Victoria	빅토리아 호
Lambda	Λ
Lamiaceae	꿀풀과
Lancelet	두색동물
Language	언어
Languedoc-Roussillon	랑그도크루시용
Lansing	랜싱
Lanthanide	란타넘족
Lanthanum	란타넘
Laos	라오스
Laos	분류:라오스
Laptev Sea	랍테프 해
Laptop	노트북 컴퓨터
Las Vegas	라스베이거스
Lascaux	라스코 동굴
Laser	레이저
Latin	라틴어
Latin America	라틴아메리카
Latin alphabet	로마자
Latvia	라트비아
Latvia	분류:라트비아
Laughter	웃음
Laurasia	로라시아
Lava	용암
Law	법
Law	분류:법률
Law enforcement	분류:경찰
Lawrencium	로렌슘
Lawyer	변호사
Lazio	라치오 주
Le Corbusier	르 코르뷔지에
Lead	납
Leaf	잎
League of Nations	국제 연맹
Leaning Tower of Pisa	피사의 사탑
Leap year	윤년
Learning	학습
Lebanon	레바논
Lebanon	분류:레바논
Lee Harvey Oswald	리 하비 오스월드
Left-handed	왼손잡이
Lego	레고
Leipzig	라이프치히
Lemon	레몬
Lena River	레나 강
Length	길이
Lens (optics)	렌즈
Lent	사순절
Leo (constellation)	사자자리
Leo I (emperor)	레오 1세
Leon Trotsky	레프 트로츠키
Leonard Bernstein	레너드 번스타인
Leonardo da Vinci	레오나르도 다 빈치
Leonhard Euler	레온하르트 오일러
Leonid Brezhnev	레오니트 브레즈네프
Leopard	표범
Lepidoptera	나비목
Leprosy	한센병
Lepton	렙톤
Lepus (constellation)	토끼자리
Lesbian	레즈비언
Lesotho	레소토
Lesotho	분류:레소토
Leto	레토
Letter (alphabet)	자모
Leukemia	백혈병
Levant	레반트
Lever	지레
Leviathan	레비아탄
Leviticus	레위기
Lewis Carroll	루이스 캐럴
Lhasa	라싸
Lhotse	로체 산
Liberalism	자유주의
Liberalism	분류:자유주의
Liberation Tigers of Tamil Eelam	타밀엘람 해방 호랑이
Liberia	라이베리아
Liberia	분류:라이베리아
Libra (constellation)	천칭자리
Library	도서관
Libreville	리브르빌
Libya	리비아
Libya	분류:리비아
Liechtenstein	리히텐슈타인
Liechtenstein	분류:리히텐슈타인
Life	생명
Life	분류:생명
Light	빛
Light-emitting diode	발광 다이오드
Light-year	광년
Lightning	번개
Liguria	리구리아 주
Ligurian Sea	리구리아 해
Liliaceae	백합과
Lille	릴
Lilongwe	릴롱궤
Lima	리마
Limestone	석회암
Limit (mathematics)	극한
Limousin (region)	리무쟁
Lincoln	링컨 (네브래스카 주)
Lincoln	링컨
Lincolnshire	링컨셔 주
Line (mathematics)	직선
Linear algebra	선형대수학
Linear algebra	분류:선형대수학
Linear equation	일차 방정식
Linguistics	언어학
Linguistics	분류:언어학
Linus Pauling	라이너스 폴링
Linux	리눅스
Linux	분류:리눅스
Lion	사자
Lipid	지질
Liquid	액체
Liquid crystal display	액정 디스플레이
Lisbon	리스본
Lise Meitner	리제 마이트너
Lisp (programming language)	리스프
Literature	문학
Literature	분류:문학
Lithium	리튬
Lithosphere	암권
Lithuania	리투아니아
Lithuania	분류:리투아니아
Litre	리터
Liverpool	리버풀
Livonia	리보니아
Lizard	도마뱀
Ljubljana	류블랴나
Llama	라마
Loanword	외래어
Local area network	로컬 영역 네트워크
Loch Ness	네스 호
Loch Ness Monster	네스 호의 괴물
Locomotive	기관차
Logarithm	로그
Logic	논리학
Logic	분류:논리학
Logic gate	논리 회로
Loire River	루아르 강
Loki	로키
Lolita	롤리타
Lombardy	롬바르디아 주
London	런던
London	분류:런던
Long Beach	롱비치
Long Island	롱아일랜드 섬
Lord's Prayer	주님의 기도
Lorraine (region)	로렌
Los Angeles	로스앤젤레스
Loudspeaker	스피커
Louis Braille	루이 브라유
Louis Pasteur	루이 파스퇴르
Louis the Pious	프랑크의 루트비히 1세
Louis the Stammerer	프랑크의 루이 2세
Louisiana	루이지애나 주
Louisiana	분류:루이지애나 주
Louisville	루이빌
Louvre	루브르 박물관
Love	사랑
Lower Saxony	니더작센 주
Luanda	루안다
Luciano Pavarotti	루치아노 파바로티
Lucifer	루치펠
Lucrezia Borgia	루크레치아 보르자
Ludwig Boltzmann	루트비히 볼츠만
Ludwig Mies van der Rohe	루드비히 미스 반 데어 로에
Ludwig Wittgenstein	루트비히 비트겐슈타인
Ludwig van Beethoven	루트비히 판 베토벤
Lumen (unit)	루멘
Luminescence	발광
Lunar eclipse	월식
Lung	허파
Lung cancer	폐암
Lungfish	폐어류
Lupus (constellation)	이리자리
Lusaka	루사카
Lute	류트
Lutetium	루테튬
Lutheranism	루터교
Lux	룩스
Luxembourg	룩셈부르크
Luxembourg	분류:룩셈부르크
Luxembourg (city)	룩셈부르크 시
Luzon	루손 섬
Lydia	리디아
Lymphatic system	림프계
Lynx (constellation)	살쾡이자리
Lynx (web browser)	링크스 (웹 브라우저)
Lyon	리옹
Lyra	거문고자리
Lysergic acid diethylamide	LSD
Lysine	리신
Lysosome	리소좀
M	M
M-theory	M이론
MESSENGER	메신저 (수성 탐사선)
MIME	MIME
MS-DOS	MS-DOS
Macau	마카오
Macedon	마케도니아 왕국
Macedonia	마케도니아
Mach number	마하 수
