English	Ukrainian
Agatha Christie	Крісті Аґата
Aggression	Агресія
Agnatha	Безщелепні
Agnosticism	Агностицизм
Agora	Агора
Agoraphobia	Агорафобія
Agra	Агра
Agriculture	Сільське господарство
Agriculture	Категорія:Сільське господарство
Aikido	Айкідо
Ain	Ен
Air force	Військово-Повітряні Сили
Aircraft	Літак
Aircraft	Категорія:Літаки
Aircraft carrier	Авіаносець
Airline	Авіалінії
Airport	Аеропорт
Ajax	Аякс
Ajax (mythology)	Аякс Теламонід
Ajax (programming)	AJAX
Akhenaten	Аменхотеп IV Ехнатон
Akira Kurosawa	Куросава Акіра
Al Gore	Ґор Альберт
Al-Qaeda	Аль-Каїда
Alabama	Алабама (штат)
Alabama	Категорія:Алабама
Alan Shepard	Алан Шепард
Alan Turing	Тюрінг Алан Матісон
Alanine	Аланін
Alaska	Аляска
Alaska	Категорія:Аляска
Alban Berg	Берг Альбан
Albania	Албанія
Albania	Категорія:Албанія
Albany	Олбані (Нью-Йорк)
Albatross	Альбатросові
Albedo	Альбедо
Albert Camus	Камю Альбер
Albert Einstein	Альберт Ейнштейн
Albert Schweitzer	Швейцер Альберт
Alberta	Альберта
Alberta	Категорія:Альберта
Albinism	Альбінізм
Albite	Альбіт
Album	Музичний альбом
Alchemy	Алхімія
Alcohol	Спирти
Alcoholic beverage	Спиртні напої
Alcoholism	Алкоголізм
Aldebaran	Альдебаран
Aldehyde	Альдегіди
Alder	Вільха
Aldous Huxley	Хакслі Олдос
Aleksandr Solzhenitsyn	Солженіцин Александр Ісайович
Aleppo	Халеб
Aleutian Islands	Алеутські острови
Alexander	Олександр
Alexander Graham Bell	Белл Александер Ґрем
Alexander Hamilton	Гамілтон Александер
Alexander Pushkin	Пушкін Олександр Сергійович
Alexander the Great	Александр Македонський
Alexandre Dumas	Александр Дюма (батько)
Alexandria	Александрія
Alfred Hitchcock	Альфред Хічкок
Alfred Nobel	Нобель Альфред Бернард
Alfred the Great	Альфред I
Algae	Водорості
Algebra	Алгебра
Algebra	Категорія:Алгебра
Algeria	Алжир
Algeria	Категорія:Алжир
Algiers	Алжир (місто)
Algorithm	Алгоритм
Alhambra	Альгамбра
Ali	Алі ібн Абі Таліб
Alkali metal	Лужні метали
Alkaloid	Алкалоїди
Alkane	Алкани
Alkene	Алкени
Alkyne	Алкіни
Allah	Аллах
Allegory	Алегорія
Allele	Алельні гени
Allen Ginsberg	Гінсберг Аллен
Allergy	Алергія
Alliteration	Алітерація
Allotropy	Алотропія
Alloy	Сплави
Almanac	Альманах
Almaty	Алмати
Aloe	Алое
Alpha (letter)	Альфа (літера)
Alpha Centauri	Альфа Центавра
Alpha particle	Альфа-частинки
Alphabet	Алфавіт
Alps	Альпи
Alps	Категорія:Альпи
Alsace	Ельзас
Altair	Альтаїр
Altar	Вівтар
Altay Mountains	Алтай (гори)
Alternating current	Змінний струм
Alternative medicine	Категорія:Альтернативна медицина
Alternative medicine	Альтернативна медицина
Altruism	Альтруїзм
Aluminium	Алюміній
Aluminium oxide	Оксид алюмінію
Alvar Aalto	Аалто Алвар Гуґо
Alzheimer's disease	Хвороба Альцгеймера
Amanita muscaria	Мухомор червоний
Amanita phalloides	Мухомор зелений
Amaterasu	Аматерасу Омікамі
Amazon River	Амазонка (річка)
Amber	Бурштин (смола)
Ambrose	Амвросій Медіоланський
Amedeo Avogadro	Амедео Авогадро
Amelia Earhart	Ергарт Амелія
American Bison	Бізон американський
American Black Bear	Барибал
American Civil War	Громадянська війна в США
American Samoa	Східне Самоа
American Standard Code for Information Interchange	ASCII
American football	Американський футбол
American football	Категорія:Американський футбол
Americium	Америцій
Amerigo Vespucci	Веспуччі Амеріго
Amethyst	Аметист
Amharic	Амхарська мова
Amide	Аміди
Amine	Аміни
Amino acid	Амінокислоти
Amish	Аміші
Amman	Амман
Ammeter	Амперметр
Ammonia	Аміак
Amnesia	Амнезія
Amnesty	Амністія
Ampere	Ампер
Amphetamine	Амфетамін
Amphibian	Земноводні
Amphitheatre	Амфітеатр
Amphora	Амфора
Amplitude	Амплітуда
Amsterdam	Амстердам
Amsterdam	Категорія:Амстердам
Amun	Амон
Amur	Амур (річка)
Anabaptist	Анабаптисти
Anagram	Анаграма
Anaheim	Анахайм
Anal sex	Анальний секс
Analytic geometry	Аналітична геометрія
Anarchism	Анархізм
Anarchism	Категорія:Анархізм
Anatidae	Качкові
Anatomy	Категорія:Анатомія
Anatomy	Анатомія
Anaxagoras	Анаксагор
Anaximander	Анаксімандр
Anchorage	Анкорідж
Ancient Greek	Давньогрецька мова
Ancient history	Категорія:Стародавній світ
Andalusia	Андалусія
Andaman Sea	Андаманське море
Anders Celsius	Цельсій Андерс
Andes	Анди
Andhra Pradesh	Андхра-Прадеш
Andorra	Андорра
Andorra	Категорія:Андорра
Andrea Palladio	Палладіо Андреа
Andrei Sakharov	Сахаров Андрій Дмитрович
Andrei Tarkovsky	Тарковський Андрій Арсенович
Andrew Jackson	Джексон Ендрю
Andrew Johnson	Ендрю Джонсон
Andrew Lloyd Webber	Ендрю Ллойд Веббер
Android	Андроїд
Andromeda	Андромеда
Andromeda (constellation)	Андромеда (сузір'я)
Andromeda (mythology)	Андромеда (міфологія)
Andromeda Galaxy	Галактика Андромеди
Andy Warhol	Воргол Енді
Anemia	Анемія
Anemometer	Анемометр
Anesthesia	Анестезія
Angara River	Ангара
Angel	Ангел
Angel Falls	Анхель (водоспад)
Angle	Кут
Angola	Ангола
Angola	Категорія:Ангола
Anguilla	Ангілья
Angular momentum	Момент імпульсу
Angular velocity	Кутова швидкість
Anicius Manlius Severinus Boethius	Боецій
Aniline	Анілін
Animal	Тварини
Animation	Анімація
Anime	Аніме
Anime	Категорія:Аніме
Animism	Анімізм
Anise	Аніс
Ankara	Анкара
Annapurna	Аннапурна
Anne Boleyn	Анна Болейн
Annelid	Кільчасті черви
Anno Domini	Anno Domini
Annunciation	Благовіщення
Anode	Анод
Anorexia nervosa	Анорексія
Anseriformes	Гусеподібні
Ant	Мурахи
Antalya	Анталья
Antananarivo	Антананаріву
Antarctica	Антарктида
Antarctica	Категорія:Антарктика
Antares	Антарес
Antenna (radio)	Антена
Anthrax	Сибірка
Anthropology	Антропологія
Anthropology	Категорія:Антропологія
Anthroposophy	Антропософія
Antibiotic	Антибіотик
Antibody	Антитіло
Antichrist	Антихрист
Anticyclone	Антициклон
Antigen	Антиген
Antigone	Антігона
Antigua and Barbuda	Антигуа і Барбуда
Antimatter	Антиматерія
Antimony	Стибій (хімічний елемент)
Antioxidant	Антиоксиданти
Antipope	Антипапа
Antisemitism	Антисемітизм
Antlia	Насос (сузір'я)
Antofagasta	Антофаґаста (місто)
Antoine Lavoisier	Лавуазьє Антуан Лоран
Anton Bruckner	Брукнер Антон
Anton Chekhov	Чехов Антон Павлович
Antonio Vivaldi	Вівальді Антоніо
Antonym	Антоніми
Antwerp	Антверпен
Antwerp (province)	Антверпен (провінція)
Anubis	Анубіс
Anus	Анус
Aorta	Аорта
Apache	Апачі
Apatite	Апатит
Aphasia	Мовні регресії
Aphorism	Афоризм
Aphrodite	Афродіта
Apia	Апіа
Apocrypha	Апокрифи
Apollo	Аполлон
Apollo (disambiguation)	Аполлон (значення)
Apoptosis	Апоптоз
Appalachian Mountains	Аппалачі
Appendicitis	Апендицит
Apple	Яблуня
Applied mathematics	Прикладна математика
Apricot	Абрикос
April	Квітень
April 14	14 квітня
April Fools' Day	День сміху
Apse	Абсида
Apulia	Апулія
Apus	Райський Птах (сузір'я)
Aqaba	Акаба (порт)
Aqua regia	Царська вода
Aquamarine	Аквамарин
Aquarium	Акваріум
Aquarius (constellation)	Водолій (сузір'я)
Aqueduct	Акведук
Aquila (constellation)	Орел (сузір'я)
Aquitaine	Аквітанія
Ara (constellation)	Жертовник (сузір'я)
Arab	Араби
Arab League	Арабська ліга
Arabian Peninsula	Аравійський півострів
Arabian Sea	Аравійське море
Arabic alphabet	Арабська абетка
Arabic language	Арабська мова
Araceae	Ароїдні
Arachnid	Павукоподібні
Arafura Sea	Арафурське море
Aragon	Арагон
Aral Sea	Аральське море
Aram Khachaturian	Хачатурян Арам Ілліч
Arch	Арка
Archaeology	Археологія
Archaeology	Категорія:Археологія
Archaeopteryx	Археоптерикс
Archangel	Архангел
Archbishop	Архієпископ
Archean	Архейський еон
Archetype	Архетипи
Archimedes	Архімед
Archipelago	Архіпелаг
Architect	Архітектор
Architecture	Архітектура
Architecture	Категорія:Архітектура
Archive	Архіви
Archosaur	Архозаври
Arctic	Арктика
Arctic Ocean	Північний Льодовитий океан
Ardennes	Арденни
Ardennes (department)	Арденни (департамент)
Are	Ар
Area	Площа
Arecaceae	Пальмові
Ares	Арес
Argentina	Аргентина
Argentina	Категорія:Аргентина
Argon	Аргон
Aria	Арія
Ariadne	Аріадна
Arianism	Аріанство
Aries (constellation)	Овен (сузір'я)
Aristocracy	Аристократія
Aristophanes	Арістофан
Aristotle	Аристотель
Arithmetic	Арифметика
Arithmetic progression	Арифметична прогресія
Arius	Арій
Arizona	Аризона
Arizona	Категорія:Аризона
Ark of the Covenant	Ковчег Заповіту
Arkansas	Арканзас
Arles	Арль
Armadillo	Броненосці
Armenia	Вірменія
Armenia	Категорія:Вірменія
Armenian language	Вірменська мова
Armour	Броня
Army	Армія
Arnhem	Арнем
Arno River	Арно
Arnold Schoenberg	Шенберґ Арнольд
Aromatic hydrocarbon	Ароматичні сполуки
Arquebus	Аркебуза
Arsenic	Миш'як
Art	Мистецтво
Art Deco	Арт Деко
Art Nouveau	Арт Нуво
Artemis	Артеміда
Artemisia absinthium	Полин
Artery	Артерії
Arthritis	Артрит
Arthropod	Членистоногі
Arthur Compton	Артур Комптон
Arthur Conan Doyle	Конан-Дойл Артур
Arthur Rimbaud	Рембо Жан-Артур
Arthur Schopenhauer	Шопенгауер Артур
Arthur Wellesley	Веллінгтон Артур
Artificial intelligence	Штучний інтелект
Artificial intelligence	Категорія:Штучний інтелект
Artillery	Артилерія
Artillery	Категорія:Артилерія
Artist	Художник
Arts	Категорія:Мистецтво
Arturo Toscanini	Тосканіні Артуро
Aruba	Аруба
Asbestos	Азбест
Asclepius	Асклепій
Ashurbanipal	Ашшурбаніпал
Asia	Азія
Asia	Категорія:Азія
Asmara	Асмара
Aspartame	Аспартам
Asphalt	Асфальт
Aspirin	Ацетилсаліцилова кислота
Assam	Ассам
Association of Southeast Asian Nations	Асоціація держав Південно-Східної Азії
Assyria	Ассирія
Assyria	Категорія:Ассирія
Astana	Астана
Astatine	Астат
Asteraceae	Айстрові
Asteraceae	Категорія:Айстрові
Asteroid	Астероїд
Asteroid belt	Пояс астероїдів
Asthenosphere	Астеносфера
Asthma	Астма
Astigmatism (eye)	Астигматизм
Astrakhan	Астрахань
Astrobiology	Космічна біологія
Astrolabe	Астролябія
Astrology	Астрологія
Astrology	Категорія:Астрологія
Astronaut	Астронавт
Astronomer	Астроном
Astronomical unit	Астрономічна одиниця довжини
Astronomy	Астрономія
Astronomy	Категорія:Астрономія
Astronomy	Портал:Астрономія
Astrophysics	Астрофізика
Astrophysics	Категорія:Астрофізика
Aswan	Асуан
Asymptote	Асимптота
Atacama Desert	Атакама
Aten	Атон
Atheism	Категорія:Атеїзм
Athena	Афіна
Athens	Афіни
Athletics	Категорія:Легка атлетика
Athletics (track and field)	Легка атлетика
Atlanta	Атланта (Джорджія)
Atlantic Ocean	Атлантичний океан
Atlantic Ocean	Категорія:Атлантичний океан
Atlantis	Атлантида
Atlas (disambiguation)	Атлас
Atlas (moon)	Атлас (супутник)
Atlas (mythology)	Атлант (міфологія)
Atlas Mountains	Атлаські гори
Atmosphere (unit)	Атмосфера (одиниця)
Atmospheric pressure	Атмосферний тиск
Atoll	Атол
Atom	Атом
Atomic clock	Атомний годинник
Atomic mass	Атомна маса
Atomic mass unit	Атомна одиниця маси
Atomic number	Атомний номер
Atomic physics	Категорія:Атомна фізика
Atomic physics	Атомна фізика
Atreus	Атрей
Atropine	Атропін
Attica	Аттика
Attila the Hun	Аттіла
Auction	Аукціон
August	Серпень
August 1	1 серпня
August 15	15 серпня
August 6	6 серпня
Auguste Comte	Конт Оґюст
Augustine of Hippo	Августин Аврелій
Augustus	Октавіан Авґуст
Auriga (constellation)	Візничий (сузір'я)
Aurora	Аврора
Aurora (astronomy)	Полярне сяйво
Austin	Остін (Техас)
Australasia	Австралоазія
Australia	Австралійський Союз
Australia	Категорія:Австралія
Australian dollar	Австралійський долар
Australopithecus	Австралопітек
Austria	Австрія
Austria	Категорія:Австрія
Austria-Hungary	Австро-Угорщина
Author	Автор
Authority	Авторитет
Autism	Аутизм
Auto racing	Автомобільні гонки
Autobiography	Автобіографія
Automated teller machine	Банкомат
Automobile	Автомобіль
Autonomic nervous system	Автономна нервова система
Autotroph	Автотрофи
Autumn	Осінь
Auvergne (region)	Овернь
Avalanche	Лавина
Avant-garde	Авангардизм
Avatar	Аватар
Avena	Овес
Averroes	Аверроес
Avesta	Авеста
Aviation	Категорія:Авіація
Aviation	Авіація
Avicenna	Авіценна
Avignon	Авіньйон
Avocado	Авокадо
Avogadro's law	Закон Авогадро
Axiom	Аксіома
Ayatollah	Аятола
Ayn Rand	Айн Рэнд
Azerbaijan	Азербайджан
Azerbaijan	Категорія:Азербайджан
Azimuth	Азимут
Azores	Азорські острови
Aztec	Ацтеки
Azurite	Азурит
B	B (латиниця)
BASIC	BASIC
Baal	Ваал
Baboon	Бабуїн
Babylon	Вавилон
Babylonia	Вавилонія
Backgammon	Нарди
Bacteria	Бактерії
Bacteria	Категорія:Бактерії
Bacteriophage	Бактеріофаги
Badminton	Бадмінтон
Baffin Bay	Море Баффіна
Baffin Island	Баффінова Земля
Baghdad	Багдад
Bahrain	Бахрейн
Bahrain	Категорія:Бахрейн
Baklava	Баклава
Baku	Баку
Balalaika	Балалайка
Balance sheet	Баланс бухгалтерський
Baldr	Бальдр
Balearic Islands	Балеарські острови
Bali	Балі (острів)
Balkan Mountains	Стара Планина
Balkan Wars	Балканські війни
Balkans	Балканський півострів
Ball	М'яч
Ballet	Балет
Ballet	Категорія:Балет
Ballpoint pen	Кулькова ручка
Baltic Sea	Балтійське море
Baltimore	Балтимор
Bamako	Бамако
Bamboo	Бамбук
Banana	Банан
Banana republic	Бананова республіка
Bangalore	Бангалор
Bangkok	Бангкок
Bangladesh	Бангладеш
Bangladesh	Категорія:Бангладеш
Bangui	Бангі
Banjul	Банжул
Bank	Банк
Banknote	Банкнота
Banks	Категорія:Банківська справа
Baptism	Хрещення
Baptist	Баптизм
Bar (unit)	Бар (одиниця)
Barbados	Барбадос
Barbados	Категорія:Барбадос
Barbarian	Варвари
Barbra Streisand	Стрейзанд Барбра
Barcelona	Барселона
Barcelona	Категорія:Барселона
Barents Sea	Баренцове море
Bari	Барі
Barium	Барій
Barley	Ячмінь
Barometer	Барометр
Baron	Барон
Baroque	Бароко
Barranquilla	Барранкілья
Barrel (unit)	Барель
Baryon	Баріони
Basalt	Базальт
Base (chemistry)	Основа (хімія)
Baseball	Бейсбол
Basel	Базель
Basidiomycota	Базидіоміцети
Basil	Васильки справжні
Basil of Caesarea	Василій Великий
Basilica	Базиліка
Basilicata	Базіліката
Basketball	Баскетбол
Basra	Басра
Bass guitar	Бас-гітара
Basse-Normandie	Нижня Нормандія
Basseterre	Бастер
Bassoon	Фагот
Bastille	Бастилія
Bat	Кажан
Batman	Бетмен
Baton Rouge	Батон-Руж
Battalion	Батальйон
Battle of Britain	Битва за Англію
Battle of Midway	Битва за Мідвей
Battle of Verdun	Верденська битва
Battle of Waterloo	Битва при Ватерлоо
Battle of the Bulge	Арденнська операція
Bauhaus	Баугаус
Bauxite	Боксити
Bavaria	Баварія
Bavaria	Категорія:Баварія
Bay Laurel	Лавр
Bay of Bengal	Бенгальська затока
Bay of Biscay	Біскайська затока
Bayer	Bayer AG
Bayonet	Багнет
Bayonne	Байонна
Beak	Дзьоб
Bear	Родина Ведмежі
Beaufort Sea	Море Бофорта
Beaufort scale	Шкала Бофорта
Beaver	Бобер
Bebop	Бі-боп
Becquerel	Бекерель
Bed	Ліжко
Bede	Беда Преподобний
Bedouin	Бедуїни
Bee	Бджоли
Beech	Бук
Beekeeping	Категорія:Бджільництво
Beer	Пиво
Beer	Категорія:Пиво
Beetle	Твердокрилі
Behaviorism	Біхевіоризм
Beijing	Пекін
Beirut	Бейрут
Belarus	Білорусь
Belarus	Категорія:Білорусь
Belfast	Белфаст
Belgium	Бельгія
Belgium	Категорія:Бельгія
Belgrade	Белград
Belize	Беліз
Belize	Категорія:Беліз
Bell (instrument)	Дзвін
Bellerophon	Беллерофонт
Belly dance	Танець живота
Belo Horizonte	Белу-Оризонті
Beluga	Білуха
Benelux	Бенілюкс
Bengal	Бенгалія
Benghazi	Бенгазі
Benin	Бенін
Benito Mussolini	Муссоліні Беніто
Benjamin Disraeli	Дізраелі Бенджамін
Benjamin Franklin	Франклін Бенджамін
Benny Goodman	Бенні Гудмен
Beowulf	Беовульф
Bergen	Берген
Bering Sea	Берингове море
Bering Strait	Берингова протока
Berkelium	Берклій
Berlin	Берлін
Berlin	Категорія:Берлін
Bermuda	Бермудські острови
Bermuda Triangle	Бермудський трикутник
Berne	Берн
Bernhard Riemann	Ріман Бернгард
Berry	Ягода
Bertolt Brecht	Брехт Бертольт
Bertrand Russell	Рассел Бертран
Beryl	Берил
Beryllium	Берилій
Beta (letter)	Бета (літера)
Betelgeuse	Бетельгейзе
Bethlehem	Вифлеєм
Beverly Hills	Беверлі-Хіллз
Bhutan	Бутан
Bhutan	Категорія:Бутан
Bible	Біблія
Bible	Категорія:Біблія
Bibliography	Бібліографія
Bicycle	Велосипед
Big Bang	Великий вибух
Bihar	Біхар
Bile	Жовч
Bill Clinton	Клінтон Білл
Bill Gates	Білл Гейтс
Billy Wilder	Біллі Вайлдер
Binary star	Подвійна зірка
Binoculars	Бінокль
Biochemistry	Біохімія
Biochemistry	Категорія:Біохімія
Biodiversity	Біорізноманіття
Biogeography	Біогеографія
Biography	Біографія
Biography	Портал:Біографії
Biological warfare	Біологічна зброя
Biology	Біологія
Biology	Категорія:Біологія
Biology	Портал:Біологія
Biomass	Біомаса
Biome	Біом
Biometrics	Біометрія
Biophysics	Біофізика
Biopsy	Біопсія
Biosphere	Біосфера
Biotechnology	Біотехнологія
Biotechnology	Категорія:Біотехнології
Biotin	Біотин
Birch	Береза
Bird	Птахи
Birmingham	Бірмінгем (Алабама)
Birth control	Контрацептиви
Bishkek	Бішкек
Bishop	Єпископ
Bismuth	Бісмут
Bissau	Бісау
Bit	Біт
Bivalvia	Двостулкові
Black	Чорний колір
Black Death	Чорна смерть
Black Kite	Чорний шуліка
Black Sea	Чорне море
Black body	Абсолютно чорне тіло
Black hole	Чорна діра
Blackbird	Чорний дрізд
Blaise Pascal	Паскаль Блез
Blender (software)	Blender
Blindness	Сліпота
Blitzkrieg	Бліцкриг
Blog	Блоґ
Blood	Кров
Blood plasma	Плазма крові
Blood pressure	Кров'яний тиск
Blood type	Групи крові
Blood vessel	Кровоносні судини
Blue	Синій колір
Blue Whale	Синій кит
Blues	Блюз
Boar	Дикий кабан
Board game	Настільна гра
Boat	Човен
Bob Dylan	Боб Ділан
Bob Marley	Боб Марлі
Bobby Fischer	Фішер Роберт
Bobsleigh	Бобслей
Bodhisattva	Бодхісаттва
Body mass index	Індекс маси тіла
Bodybuilding	Культуризм
Bohemia	Богемія
Bohrium	Борій
Boiling point	Температура кипіння
Boletus edulis	Білий гриб
Bolivia	Болівія
Bolivia	Категорія:Болівія
Bollywood	Боллівуд
Bologna	Болонья
Bolshevik	Більшовики
Bolzano	Больцано
Bomb	Бомба
Bomber	Бомбардувальник
Bond (finance)	Облігація
Bone	Кістка
Bonn	Бонн
Book	Книга
Book of Mormon	Книга Мормона
Book of Numbers	Числа (книга)
Book of Revelation	Апокаліпсис
Boolean algebra (structure)	Булева алгебра
Bordeaux	Бордо
Boris Godunov	Годунов Борис
Boris Pasternak	Пастернак Борис Леонідович
Borneo	Борнео
Bosnia and Herzegovina	Боснія і Герцеґовина
Bosnia and Herzegovina	Категорія:Боснія і Герцеґовина
Boson	Бозон
Bosporus	Босфор
Boston	Бостон
Botanical garden	Ботанічні сади
Botany	Ботаніка
Botany	Категорія:Ботаніка
Botswana	Ботсвана
Botswana	Категорія:Ботсвана
Bourgeoisie	Буржуазія
Bourgogne	Бургундія
Bouvet Island	Буве
Bovid	Бичачі
Bow (weapon)	Лук
Boxers	Категорія:Боксери
Boxing	Бокс
Boxing	Категорія:Бокс
Boyle's law	Закон Бойля-Маріотта
Brahma	Брахма
Brahmaputra River	Брахмапутра (річка)
Braille	Шрифт Брайля
Brain	Головний мозок
Brainstorming	Мозковий штурм
Bram Stoker	Брем Стокер
Brandenburg	Бранденбург
Brandy	Бренді
Brass	Латунь
Brassiere	Бюстгальтер
Bratislava	Братислава
Braunschweig	Брауншвейг
Brazil	Бразилія
Brazil	Категорія:Бразилія
Brazzaville	Браззавіль
Bread	Хліб
Breast	Груди
Bremen	Бремен
Bremen (state)	Бремен (земля)
Brescia	Брешіа
Brest	Брест (Франція)
Brest	Берестя
Brest	Брест
Bretagne	Бретань
Brick	Цегла
Bridge	Міст (споруда)
Bridges	Категорія:Мости
Bridgetown	Бриджтаун
Brigade	Бригада
Brindisi	Бріндізі
Brisbane	Брісбен
Bristol	Брістоль
British Columbia	Британська Колумбія
British Empire	Британська імперія
British Isles	Британські острови
British Virgin Islands	Британські Віргінські острови
British people	Категорія:Персоналії:Великобританія
Brno	Брно
Broadway (New York City)	Бродвей
Bromine	Бром
Bronze	Бронза
Bronze Age	Бронзова доба
Brooklyn	Бруклін
Brooklyn Bridge	Бруклінський міст
Brown	Коричневий колір
Brown Bear	Бурий ведмідь
Brownian motion	Броунівський рух
Bruce Lee	Брюс Лі
Bruges	Брюгге
Brunei	Бруней
Brunei	Категорія:Бруней
Brussels	Брюссель
Bubonic plague	Чума
Bucharest	Бухарест
Buckminster Fuller	Фуллер Річард Бакмінстер
Buckwheat	Гречка
Budapest	Будапешт
Buddhism	Буддизм
Buddhism	Категорія:Буддизм
Buenos Aires	Буенос-Айрес
Buffalo	Баффало
Building	Будівлі
Bujumbura	Бужумбура
Bulgaria	Болгарія
Bulgaria	Категорія:Болгарія
Buoyancy	Закон Архімеда
Bureaucracy	Бюрократія
Burkina Faso	Буркіна-Фасо
Burkina Faso	Категорія:Буркіна-Фасо
Burma	М'янма
Burma	Категорія:М'янма
Bursa	Бурса (місто)
Burundi	Категорія:Бурунді
Bus	Автобус
