English	Chinese
Eduard Buchner	爱德华·比希纳
Education	教育
Education	Category:教育
Edvard Grieg	爱德华·格里格
Edvard Munch	爱德华·蒙克
Edward Gibbon	爱德华·吉本
Edward Jenner	愛德華·詹納
Edward Teller	愛德華·泰勒
Edward the Confessor	愛德華 (懺悔者)
Edwin Hubble	愛德文·哈勃
Eel	鰻
Egg (biology)	蛋
Eggplant	茄子
Egypt	埃及
Egypt	Category:埃及
Egyptian pound	埃及鎊
Egyptology	埃及学
Eiffel Tower	艾菲爾鐵塔
Eindhoven	埃因霍温
Einsteinium	锿
Ejaculation	射精
El Cid	席德
El Greco	格雷考
El Paso	艾爾帕索 (德克薩斯州)
El Salvador	萨尔瓦多
El Salvador	Category:萨尔瓦多
Elam	埃蘭
Elbe	易北河
Eleanor Roosevelt	埃莉诺·罗斯福
Election	選舉
Electric charge	電荷
Electric current	电流
Electric field	電場
Electric guitar	电吉他
Electric motor	电动机
Electrical engineering	Category:电子工程
Electrical engineering	电子工程
Electrical resistance	电阻
Electricity	電
Electricity	Category:電學
Electrocardiogram	心电图
Electrochemistry	电化学
Electrochemistry	Category:电化学
Electrolysis	电解
Electrolyte	电解质
Electromagnetic radiation	电磁波
Electromagnetic spectrum	電磁波譜
Electromagnetism	电磁学
Electromagnetism	Category:电磁学
Electron	电子
Electron microscope	電子顯微鏡
Electronegativity	电负性
Electronics	电子学
Electronics	Category:電子學
Elegy	挽歌
Element	元素 (消歧義)
Elementary particle	基本粒子
Elephant	象
Elevator	升降机
Elf	精靈
Elia Kazan	伊利亚·卡赞
Elias Canetti	埃利亞斯·卡內蒂
Elijah	以利亞
Elizabeth Taylor	伊丽莎白·泰勒
Ella Fitzgerald	艾拉·費茲潔拉
Ellipse	椭圆
Ellipsis	省略号
Elm	榆树
Elvis Presley	埃爾維斯·皮禮士利
Embryo	胚胎
Embryology	胚胎学
Emerald	祖母綠
Emilia-Romagna	艾米利亚-罗马涅
Emiliano Zapata	埃米利亚诺·萨帕塔
Emily Dickinson	埃米莉·迪更生
Emir	埃米爾
Emma Goldman	爱玛·戈尔德曼
Emoticon	表情符号
Emotion	情绪
Emotion	Category:情緒
Empathy	同理心
Empedocles	恩培多克勒
Emperor	皇帝
Emperor Penguin	皇帝企鹅
Empire	帝国
Empire State Building	帝国大厦
Empiricism	经验主义
Emu	鸸鹋
Emulator	模拟器
Emulsion	乳剂
Encyclopedia	百科全书
Endemism	特有種
Endocrine system	內分泌系統
Endocrinology	內分泌學
Endocrinology	Category:内分泌学
Energy	能量
Energy	Category:能量
Energy (society)	能量
Engine	发动机
Engineer	工程师
Engineering	工程学
Engineering	Category:工程技术
England	英格兰
England	Category:英格蘭
English Channel	英吉利海峡
English Civil War	英國內戰
English language	英语
English language	Category:英语
English people	Category:英格兰人
English people	英格蘭人
Enki	恩基
Enrico Caruso	恩里科·卡鲁索
Enrico Fermi	恩里科·费米
Entertainment	Category:娱乐
Enthalpy	焓
Entomology	昆虫学
Entomology	Category:昆蟲學
Entropy	熵 (熱力學)
Environment	Category:環境
Environment	环境
Enzyme	酶
Eocene	始新世
Eos	厄俄斯
Ephesus	以弗所
Epic poetry	史诗
Epicenter	震央
Epictetus	愛比克泰德
Epicurus	伊壁鸠鲁
Epidemic	流行病
Epidemiology	流行病学
Epigraphy	金石学
Epilepsy	癫痫
Epimetheus (mythology)	厄庇墨透斯
Epinephrine	肾上腺素
Epiphany (Christian)	主顯節
Epirus (periphery)	伊庇鲁斯
Epistemology	知识论
Epistle to the Galatians	加拉太書
Epistle to the Romans	羅馬書
Epithelium	上皮組織
Epsilon	Ε
Equation	方程
Equator	赤道
Equatorial Guinea	赤道几内亚
Equatorial Guinea	Category:赤道几内亚
Equidae	马科
Equinox	晝夜平分點
Equisetum	木贼属
Erato	厄剌托
Eratosthenes	埃拉托斯特尼
Erbium	铒
Erebus	厄瑞玻斯
Erectile dysfunction	勃起功能障碍
Erection	勃起
Ericaceae	杜鹃花科
Ericales	杜鹃花目
Eridanus (constellation)	波江座
Erik Axel Karlfeldt	埃利克·阿克塞尔·卡尔费尔特
Erik Satie	艾瑞克·薩第
Eris (dwarf planet)	阋神星
Eris (mythology)	厄里斯 (神話)
Eritrea	Category:厄利垂亞
Ernest Hemingway	欧内斯特·海明威
Ernest Rutherford	欧内斯特·卢瑟福
Ernst Werner von Siemens	维尔纳·冯·西门子
Eros (mythology)	厄洛斯
Erosion	侵蚀作用
Erotica	情色
Erwin Rommel	埃尔温·隆美尔
Escape velocity	宇宙速度
Eschatology	末世论
Escherichia coli	大腸桿菌
Esfahan	伊斯法罕
Esophagus	食道
Esperanto	世界语
Esperanto	Category:世界语
Espionage	间谍
Espoo	埃斯波
Espresso	濃縮咖啡
Essay	杂文
Essen	埃森
Essential oil	精油
Essex	埃塞克斯郡
Ester	酯
Estonia	Category:爱沙尼亚
Estrogen	雌激素
Eta (letter)	Η
Ethane	乙烷
Ethanol	乙醇
Ether	醚
Ethernet	以太网
Ethics	伦理学
Ethics	Category:倫理學
Ethiopia	埃塞俄比亚
Ethiopia	Category:衣索比亞
Ethnic group	族群 (人類社會)
Ethnography	民族誌
Ethology	动物行为学
Ethylene	乙烯
Etymology	语源学
Eucalyptus	桉树
Eucharist	聖餐禮
Euclid	欧几里德
Euclidean geometry	欧几里德几何
Eugene O'Neill	尤金·奥尼尔
Eukaryote	真核生物
Eunuch	宦官
Euphemism	委婉
Euphrates	幼发拉底河
Eurasia	歐亞大陸
Eurasian Badger	獾
Euripides	欧里庇得斯
Euro	欧元
Europa (moon)	木卫二
Europa (mythology)	欧罗巴
Europe	欧洲
Europe	Category:欧洲
European Central Bank	欧洲中央银行
European Community	欧洲共同体
European Magpie	喜鹊
European Union	欧洲联盟
European Union	Category:欧盟
Europium	铕
Eusebius of Caesarea	該撒利亞的優西比烏
Euterpe	欧忒耳佩
Euthanasia	安乐死
Eva Braun	爱娃·勃劳恩
Evanescence	伊凡塞斯
Evangelista Torricelli	伊万格利斯塔·托里拆利
Evaporation	蒸发
Even-toed ungulate	偶蹄目
Evolution	演化
Excalibur	王者之劍
Exchange rate	汇率
Exclamation mark	叹号
Excommunication	绝罚
Executive (government)	行政部门
Exhibitionism	暴露癖
Existentialism	存在主义
Exodus	出埃及记
Expected value	期望值
Experiment	实验
Explosion	爆炸
Expo (exhibition)	世界博覽會
Exponential function	指数函数
Exponentiation	冪
Expressionism	表现主义
Extinction	灭绝
Eye	眼
Eye	Category:眼睛
Ezra Pound	艾兹拉·庞德
F	F
F. Scott Fitzgerald	佛兰西斯·史考特·基·费兹杰罗
Fabaceae	豆科
Fable	寓言
Face	臉
Fact	Template:Fact
Factorial	階乘
Factory	工廠
Facula	光斑
Fagales	壳斗目
Fahrenheit	华氏温标
Fair use	合理使用
Fairy	小仙子
Fairy tale	童話故事
Falcon	隼属
Falconiformes	隼形目
Falkland Islands	福克兰群岛
Fallacy	謬論
Fallopian tube	输卵管
Fallow Deer	黇鹿
Falun Gong	法轮功
Family	Category:家庭
Family (biology)	科 (生物)
Family history	系譜學
Family name	姓氏
Fantasy	奇幻小说
Far East	遠東
Farad	法拉
Fascism	法西斯主义
Fascism	Category:法西斯主義
Fashion	Category:時尚
Fashion	时尚
Fast food	快餐
Fasting	禁食
Fatah	法塔赫
Fatty acid	脂肪酸
Fault (geology)	斷層
Fauna	動物相
Fauvism	野兽派
Fax	傳真機
Fear	敬畏
Feather	羽毛
February	2月
February 12	2月12日
February 14	2月14日
February 2	2月2日
February 22	2月22日
February 29	2月29日
February Revolution	俄國二月革命
Feces	糞便
Federal Bureau of Investigation	联邦调查局
Federal Reserve System	美国联邦储备系统
Federated States of Micronesia	密克罗尼西亚联邦
Federated States of Micronesia	Category:密克罗尼西亚联邦
Federation	联邦制
Federico Fellini	费德里柯·费里尼
Fedora (Linux distribution)	Fedora Core
Feedback	反馈
Feldspar	长石
Felidae	猫科
Felix Mendelssohn	费利克斯·门德尔松
Feminism	女權主義
Feminism	Category:女性主義
Fencing	击剑
Feng shui	風水
Fennel	小茴香
Fenrir	芬里厄
Fenugreek	胡芦巴
Ferdinand II	斐迪南二世 (神圣罗马帝国)
Ferdinand Magellan	斐迪南·麥哲倫
Ferdinand de Saussure	弗迪南·德·索緒爾
Fermentation (biochemistry)	发酵
Fermentation (food)	发酵
Fermion	费米子
Fermium	镄
Fern	蕨类植物
Ferrara	费拉拉
Ferry	渡輪
Fertile Crescent	新月沃土
Fertilisation	受精
Fertilizer	肥料
Fetus	胎兒
Feudalism	歐洲封建制度
Fever	发热
Fiat	菲亚特
Fibonacci number	斐波那契数列
Fiction	Category:虛構
Fictional character	虚构角色
Fidel Castro	菲德尔·卡斯特罗
Field (mathematics)	域 (数学)
Field hockey	曲棍球
Fighter aircraft	战斗机
Figure skating	花样滑冰
Fiji	斐濟
Fiji	Category:斐济
File Allocation Table	FAT
File Transfer Protocol	文件传输协议
File system	文件系统
Filippo Brunelleschi	伯鲁乃列斯基
Film	Category:电影
Film	电影
Film	Portal:电影
Film director	電影導演
Fin Whale	長鬚鯨
Finance	Category:金融
Finance	金融
Finger	手指
Fingerprint	指紋
Finland	芬兰
Finland	Category:芬蘭
Fir	冷杉属
Fire	火
Firearm	火器
Firefighter	消防員
Firewall (networking)	防火墙 (网络)
Firmware	韌體
First Council of Constantinople	第一次君士坦丁堡公會議
First Council of Nicaea	第一次尼西亞公會議
First Crusade	第一次十字军东征
First Epistle to the Corinthians	哥林多前書
First aid	急救
First language	母語
Fish	鱼
Fish	Category:鱼类
Fishing	钓鱼
Fishing	Category:钓鱼
Fjord	峡湾
Flag	旗幟
Flagellum	鞭毛
Flamenco	弗拉明戈
Flamingo	火烈鸟
Flanders	佛拉芒
Flash memory	闪存
Flatulence	屁
Flatworm	扁形动物门
Flea	跳蚤
Flemish (linguistics)	佛兰芒语
Flint	燧石
Flip-flop (electronics)	触发器
Flood	洪灾
Floppy disk	软盘
Florence	佛罗伦萨
Florence Nightingale	弗羅倫斯·南丁格爾
Florida	佛罗里达州
Florida	Category:佛罗里达州
Flour	麵粉
Flower	花
Flowering plant	被子植物門
Fluid	流體
Fluid mechanics	流体力学
Fluorite	萤石
Flute	笛
Fly	雙翅目
Fog	霧
Folic acid	叶酸
Folk music	民間音樂
Folklore	民俗學
Folklore	Category:民俗學
Food	食品
Food additive	食品添加剂
Food and Agriculture Organization	联合国粮食及农业组织
Food chain	食物鏈
Foot	脚
Foot (unit of length)	英尺
Football (soccer)	足球
Football (soccer)	Category:足球
Football (soccer) by country	Category:各國足球
Football (soccer) clubs	Category:足球俱乐部
Football (soccer) managers	Category:足球教练
Football (soccer) players	Category:足球运动员
Football (soccer) venues	Category:足球場
Forbidden City	故宫
Force	力
Forest	森林
Forestry	林业
Fork	叉
Form of government	政治体制
Formaldehyde	甲醛
Formic acid	甲酸
Fornax	天炉座
Fort Worth	沃思堡
Fortification	要塞
Fortran	Fortran
Fossil	化石
Fossil fuel	化石燃料
Foucault pendulum	傅科摆
Fountain	噴泉
Fourier series	傅里叶级数
Fourth Crusade	第四次十字军东征
Fox	狐狸
Fractal	分形
Fraction (mathematics)	分數
France	法国
France	Category:法国
Francis Bacon	弗兰西斯·培根
Francis Crick	佛朗西斯·克里克
Francis Drake	法蘭西斯·德瑞克
Francis Ford Coppola	弗朗西斯·科波拉
Francis II	弗朗茨二世 (神圣罗马帝国)
Francis of Assisi	聖方濟各 (亞西西)
Franciscan	方济各会
Francisco Franco	弗朗西斯科·佛朗哥
Francisco Goya	弗朗西斯科·哥雅
Francisco Pizarro	法蘭西斯克·皮澤洛
Francium	钫
Franco-Prussian War	普法戰爭
Frank Lloyd Wright	弗蘭克·勞埃德·賴特
Frank Sinatra	法蘭·仙納杜拉
Frankfort	法兰克福 (肯塔基州)
Frankfurt	法兰克福
Frankfurt	Category:法兰克福
Frankfurt (Oder)	奥得河畔法兰克福
Frankfurt (disambiguation)	法蘭克福 (消歧義)#.E5.BE.B7.E5.9C.8B
Franklin Pierce	富兰克林·皮尔斯
Franz Kafka	弗兰兹·卡夫卡
Franz Liszt	弗兰兹·李斯特
Franz Schubert	弗朗茨·舒伯特
Fred Astaire	弗雷德·阿斯泰爾
Frederick I	腓特烈一世 (神圣罗马帝国)
Frederick II	腓特烈二世 (神圣罗马帝国)
Frederick Sanger	弗雷德里克·桑格
Frederick Soddy	弗雷德里克·索迪
Fredericton	弗雷德里克頓
Free State	自由邦 (南非)
Free will	自由意志
Freedom (philosophy)	自由
Freedom of speech	言論自由
Freemasonry	共济会
Freetown	弗里敦
Freeware	免費軟體
French Polynesia	法屬玻里尼西亞
French Revolution	法国大革命
French Revolution	Category:法国大革命
French franc	法国法郎
French people	Category:法国人
Frequency	頻率
Fresco	濕壁畫
Freshwater	淡水
Fresno	弗雷斯诺
Freyja	弗蕾亚
Freyr	弗雷
Friction	摩擦力
Friday	星期五
Fridtjof Nansen	弗里乔夫·南森
Friedrich Engels	弗里得里希·恩格斯
Friesland	弗里斯兰省
Frigate	巡防艦
Frigg	弗丽嘉
Fritz Haber	弗里茨·哈伯
Friuli-Venezia Giulia	弗留利-威尼斯朱利亚
Frog	无尾目
Fructose	果糖
Fruit	果实
Fruit	Category:水果
Fucking	富金
Fuel	燃料
Fuel cell	燃料电池
Fugue	赋格
Fukuoka	福岡市
Full moon	满月
Funafuti	富纳富提
Function (mathematics)	函数
Fundamental	Category:頁面分類
Fundamental interaction	基本相互作用
Fundamentalism	基本教义派
Fungi	Category:真菌
Fungus	真菌
Funicular	纜索鐵路
Furniture	Category:家具
Furniture	家具
Future	未来
Futurism (art)	未来主义
Fuzzy logic	模糊逻辑
Fyodor Dostoevsky	費奧多爾·陀思妥耶夫斯基
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	加蓬
Gabon	Category:加蓬
Gaborone	嘉柏隆里
Gabriel	加百利
Gabriel Lippmann	加布里埃尔·李普曼
Gadolinium	钆
Gaetano Donizetti	葛塔諾·多尼采蒂
Gaia (mythology)	盖娅
Galatia	加拉太
Galaxy	星系
Galen	盖伦
Galena	方铅矿
Galicia (Central Europe)	加利西亚 (中欧)
Galicia (Spain)	加利西亚 (西班牙)
Galilee	加利利
Galileo (spacecraft)	伽利略号
Galileo Galilei	伽利略·伽利莱
Gallbladder	胆囊
Galley	槳戰船
Galliformes	鸡形目
Galliformes	Category:鸡形目
Gallium	镓
Gallon	加仑
Galway	戈尔韦
Gamal Abdel Nasser	纳赛尔
Gambling	赌博
Game	游戏
Game theory	博弈论
Gamma	Γ
Gamma ray	伽马射线
Ganesha	格涅沙
Ganges	恆河
Ganja	占贾
Gansu	甘肃省
Ganymede	盖尼米得
Ganymede (moon)	木卫三
Garden	花園
Garden of Eden	伊甸園
Gardening	园艺
Garfield	加菲猫
Gargoyle	滴水嘴兽
Garlic	大蒜
Garnet	石榴石
Garonne	加龍河
Gas	气体
Gas constant	氣體常數
Gas giant	类木行星
Gasoline	汽油
Gastrointestinal tract	消化系统
Gastropoda	腹足纲
Gaul	高卢
Gautama Buddha	释迦牟尼
Gay	Gay
Gaza	加薩
Gaza Strip	加沙地带
Gear	齿轮
Geb	盖布
Geisha	艺妓
Gemini (constellation)	双子座
Gemstone	寶石
Gene	基因
Genealogy	系譜學
Genealogy	Category:系譜學
General Agreement on Tariffs and Trade	關稅暨貿易總協定
General Officer	將軍 (中國古代)
General relativity	廣義相對論
Genesis	創世記
Genetic code	遗传密码
Genetic engineering	遺傳工程
Genetics	遗传学
Genetics	Category:遗传学
Geneva	日内瓦
Genitive case	属格
Genoa	热那亚
Genocide	种族灭绝
Genocide	Category:大屠殺
Genome	基因組
Genotype	基因型
Genus	属 (生物)
Geochemistry	地球化学
Geodesy	大地测量学
Geodesy	Category:大地测量学
Geoffrey Chaucer	杰弗里·乔叟
Geography	地理学
Geography	Category:地理
Geography	Portal:地理学
Geology	Category:地质学
Geology	地质学
Geometric progression	等比数列
Geometry	几何学
Geometry	Category:几何学
Geomorphology	地貌学
Geophysics	地球物理学
Geophysics	Category:地球物理学
Geopolitics	地缘政治学
Georg Philipp Telemann	格奥尔格·菲利普·泰勒曼
Georg Wilhelm Friedrich Hegel	格奥尔格·威廉·弗里德里希·黑格尔
George Berkeley	乔治·贝克莱
George Bernard Shaw	萧伯纳
George Boole	乔治·布尔
George Bush	乔治·布什
George Frideric Handel	格奥尔格·弗里德里希·亨德尔
George Gershwin	乔治·格什温
George Harrison	乔治·哈里森
George Lucas	乔治·卢卡斯
George Marshall	乔治·卡特莱特·马歇尔
George Orwell	乔治·奥威尔
George Paget Thomson	乔治·佩吉特·汤姆孙
George Sand	乔治·桑
George Stephenson	喬治·史蒂芬生
George W. Bush	乔治·沃克·布什
George Washington	乔治·华盛顿
Georges Bizet	乔治·比才
Georges Braque	喬治·布拉克
Georges Clemenceau	乔治·克列孟梭
Georges Simenon	喬治·西默農
Georgetown	乔治敦 (圭亚那)
Georgia (U.S. state)	喬治亞州
Georgia (U.S. state)	Category:喬治亞州
Georgia (country)	格鲁吉亚
Georgia (country)	Category:喬治亞
Gerald Ford	杰拉尔德·福特
Gerard Kuiper	杰拉德·柯伊伯
German Shepherd Dog	德國牧羊犬
German language	德语
German language	Category:德语
German mark	德國馬克
Germanium	锗
Germany	德国
Germany	Category:德国
Gestapo	秘密国家警察
Geyser	間歇泉
Ghana	加纳
Ghana	Category:加纳
Ghent	根特
Ghetto	猶太區
Ghost	鬼
Giacomo Puccini	贾科莫·普契尼
Giant Panda	大熊猫
Gibbon	長臂猿科
Gibraltar	直布罗陀
Gigabyte	Gigabyte
Gilgamesh	吉爾伽美什
Ginger	薑
Ginkgo	银杏
Giordano Bruno	喬爾丹諾·布魯諾
Giorgio Vasari	乔尔乔·瓦萨里
Giorgio de Chirico	乔治·德·基里科
Giotto di Bondone	喬托·迪·邦多納
Giovanni Boccaccio	乔万尼·薄伽丘
Giraffe	长颈鹿
Giraffidae	长颈鹿科
Girolamo Savonarola	薩佛納羅拉
Gironde	吉伦特省
Giuseppe Garibaldi	朱塞佩·加里波底
Giuseppe Verdi	朱塞佩·威尔第
Giza	吉萨
Glacier	冰川
Gladiator	角鬥士
Gland	腺体
Glasgow	格拉斯哥
Glasnost	開放政策
Glass	玻璃
Glasses	眼鏡
Glider	滑翔机
Global Positioning System	全球定位系统
Global warming	全球变暖
Globalization	全球化
Globe artichoke	洋薊
Gloucestershire	格洛斯特郡
Glucagon	胰高血糖素
Glucose	葡萄糖
Gluon	膠子
Glutamic acid	穀氨酸
Glycerol	丙三醇
Glycine	甘氨酸
Glycogen	糖原
Glycolysis	糖酵解
Gneiss	片麻岩
Gnosticism	諾斯底主義
Go (board game)	围棋
Goa	果阿邦
Goalkeeper	守門員
Goat	家山羊
Gobi Desert	戈壁
God	上帝
Golan Heights	戈蘭高地
Gold	金
Golda Meir	果尔达·梅厄
Golden Eagle	金雕
Golden Gate Bridge	金门大桥
Golden Horde	金帳汗國
Golden Retriever	黃金獵犬
Golf	高爾夫球
Golf	Category:高爾夫球
Golgi apparatus	高尔基体
Gomel	戈梅利
Good Friday	基督受難日
Google	Google公司
Google	Category:Google
Googol	古高爾
Gorgon	戈耳贡
Gorilla	大猩猩
Goshawk	蒼鷹
Gospel	福音
Gospel of Luke	路加福音
Gothenburg	哥德堡
Gothic	哥特
Gothic architecture	哥特式建筑
Gotthold Ephraim Lessing	戈特霍尔德·埃夫莱姆·莱辛
Gottlieb Daimler	戈特利布·戴姆勒
Gout	痛风
Government	政府
Grace Kelly	格雷斯·凯利
Gradient	梯度
Graffiti	塗鴉
Graham Greene	格雷厄姆·格林
Gram	克
Grammar	语法
Grammar	Category:语法
Grammatical gender	性
Granada	格拉纳达
Grand Canyon	科羅拉多大峽谷
Grand Slam (tennis)	网球大满贯
Granite	花崗岩
Grape	葡萄
Grapefruit	葡萄柚
Graphic design	Category:图形设计
Graphic design	平面设计
Graphical user interface	图形用户界面
Graphite	石墨
Gravitation	万有引力
Gravitational constant	万有引力常数
Graviton	引力子
Gray Wolf	狼
Graz	格拉茨
Great Barrier Reef	大堡礁
Great Britain	大不列顛島
Great Crested Grebe	凤头鸊鷉
Great Depression	大萧条
Great Lakes	五大湖
Great Rift Valley	東非大裂谷
Great Wall of China	长城
Great white shark	大白鲨
Greater Antilles	大安的列斯群岛
Greater London	大倫敦
Greatest common divisor	最大公因數
Grebe	鸊鷉科
Greece	希腊
Greece	Category:希腊
Greek alphabet	希腊字母
Greek alphabet	Category:希腊字母
Greek fire	希腊火
Greek mythology	希腊神话
Greek mythology	Category:希腊神话
Green	綠色
Greenhouse	溫室
Greenhouse effect	温室效应
Greenhouse gas	温室气体
Greenland	格陵兰
Greenland	Category:格陵蘭
Greenland Sea	格陵兰海
Greenpeace	绿色和平
Greenwich	格林尼治
Greenwich Mean Time	格林尼治標準時間
Gregor Mendel	格里哥·孟德尔
Gregorian calendar	公历
Grenoble	格勒诺布尔
Greta Garbo	葛麗泰·嘉寶
Grey	灰色
Greylag Goose	灰雁
Griffin	狮鹫
Gross domestic product	国内生产总值
Group (mathematics)	群
Group (periodic table)	族 (化学)
Group theory	群论
Grover Cleveland	格罗弗·克利夫兰
Grozny	格罗兹尼
Gruiformes	鹤形目
Grus (constellation)	天鹤座
Guadalajara	瓜达拉哈拉 (墨西哥)
Guadeloupe	瓜德罗普
Guam	關島
Guangdong	广东省
Guangzhou	广州市
Guanine	鳥嘌呤
Guatemala	Category:瓜地馬拉
Guatemala City	瓜地馬拉市
Guayaquil	瓜亞基爾
Guernsey	根西岛
Guglielmo Marconi	古列尔莫·马可尼
Guillaume Apollinaire	纪尧姆·阿波利奈尔
Guillotine	斷頭台
Guinea	几内亚
Guinea	Category:幾內亞
Guinea pig	豚鼠
Guinea-Bissau	幾內亞比索
Guinea-Bissau	Category:幾內亞比索
Guitar	吉他
Gujarat	古吉拉特邦
Gulag	古拉格
Gulf Stream	墨西哥灣暖流
Gulf War	海湾战争
Gulf of Aden	亚丁湾
Gulf of Aqaba	亚喀巴湾
Gulf of Bothnia	波的尼亞灣
Gulf of Finland	芬蘭灣
Gulf of Guinea	几内亚湾
Gulf of Mexico	墨西哥湾
Gulf of Oman	阿曼灣
Gulf of Thailand	泰國灣
Gull	鷗
Gunpowder	火药
Gunpowder Plot	火药阴谋
Guppy	孔雀鱼
Gustav Klimt	古斯塔夫·克林姆
Gustav Ludwig Hertz	古斯塔夫·赫兹
Gustav Mahler	古斯塔夫·馬勒
Gustave Courbet	居斯塔夫·库尔贝
Gustave Flaubert	古斯塔夫·福樓拜
Guy Fawkes	盖伊·福克斯
Guy de Maupassant	居伊·德·莫泊桑
Gymnastics	体操
Gymnosperm	裸子植物
Gynaecology	婦科學
Gypsum	石膏
Gyroscope	陀螺儀
H	H
H. G. Wells	赫伯特·乔治·威尔斯
HIV	人類免疫缺陷病毒
HTML	HTML
Habitat	棲息地
Hacker	黑客
Hadean	冥古宙
Hades	哈底斯
Hadith	聖訓
Hadrian	哈德良
Hadrian's Wall	哈德良长城
Hadron	强子
Haemophilia	血友病
Hafnium	铪
Hagia Sophia	圣索非亚大教堂
Haifa	海法
Haiku	俳句
Hail	冰雹
Hail Mary	聖母經
Hair	頭髮
Haiti	海地
Haiti	Category:海地
Hajj	朝覲
Halal	符合教規的食物 (伊斯蘭教)
Half-life	半衰期
Halle	哈雷 (德国)
Halloween	萬聖夜
Hallucination	幻觉
Halogen	卤素
Hamas	哈马斯
Hamburg	汉堡市
Hamburger	漢堡 (食物)
Hamlet	哈姆雷特
Hammer	鎚
Hammer and sickle	锤子与镰刀
Hammurabi	汉谟拉比
Hampshire	漢普郡
Hamster	仓鼠
Han Dynasty	汉朝
Hand	手
Hand grenade	手榴弹
Handgun	手枪
Hanging	缢死
Hanging Gardens of Babylon	空中花园
Hannah Arendt	汉娜·阿伦特
Hannibal	汉尼拔
Hanoi	河內
Hanover	漢諾威
Hans Bethe	汉斯·贝特
Hans Christian Andersen	漢斯·克里斯蒂安·安徒生
Hanseatic League	汉萨同盟
Hanukkah	光明节
Hanuman	哈奴曼
Happiness	快樂
Harare	哈拉雷
Hardness	硬度
Harlem	哈莱姆区
Harmonica	口琴
Harmony	和声
Harold Pinter	哈罗德·品特
Harp	豎琴
Harpsichord	羽管键琴
Harpy	鸟身女妖
Harriet Beecher Stowe	哈里特·伊丽莎白·比彻·斯托
Harriet Tubman	哈莉特·塔布曼
Harrisburg	哈里斯堡
Harry Houdini	哈利·胡迪尼
Hartford	哈特福
Hassium	𨭆
Hatred	怨恨
Haute-Normandie	上諾曼地
Havana	哈瓦那
Hawaii	夏威夷州
Hawaii	Category:夏威夷
Head	头
Head of state	國家元首
Health	健康
Health	Category:健康
Heart	心臟
Heat	熱量
Heat engine	热机
Heaven	天國
Heavy metal	Category:重金屬音樂
Heavy metal music	重金属音乐
Heavy water	重水
Hebe (mythology)	赫柏
Hebei	河北省
Hebrew alphabet	希伯来字母
Hebrew calendar	希伯來曆
Hecate	赫卡忒
Hectare	公顷
Hector	赫克托耳
Hector Berlioz	埃克托·柏辽兹
Hedgehog	刺猬
Hedonism	享樂主義
Heimdall	海姆达尔
Heinrich Hertz	海因里希·鲁道夫·赫兹
Heinrich Himmler	海因里希·希姆莱
Heinrich Schliemann	海因里希·施里曼
Helen	海伦 (神话)
Helen Keller	海倫·凱勒
Helena	赫勒拿 (蒙大拿州)
Helicopter	直升機
Helios	赫利俄斯
Helium	氦
Hell	地獄
Helmut Schmidt	赫尔穆特·施密特
Helsinki	赫尔辛基
Hematology	血液學
Hematology	Category:血液学
Hemoglobin	血红蛋白
Hemorrhoid	痔疮
Henri Becquerel	亨利·贝克勒尔
Henri Bergson	亨利·柏格森
Henri Matisse	亨利·马蒂斯
Henrik Ibsen	亨利克·易卜生
Henry (unit)	亨利 (電感)
Henry Cavendish	亨利·卡文迪什
Henry David Thoreau	亨利·戴维·梭罗
Henry Fonda	亨利·方达
Henry Ford	亨利·福特
Henry James	亨利·詹姆斯
Henry Kissinger	亨利·基辛格
Henry Miller	亨利·米勒
Henry Moore	亨利·摩尔
Hepatitis	肝炎
Hephaestus	赫斐斯托斯
Hera	赫拉
Heracles	海格力斯
Heraclitus	赫拉克利特
Heraldry	纹章学
Heraldry	Category:纹章
Herat	赫拉特
Herbert Hoover	赫伯特·胡佛
Herbert Marcuse	赫伯特·马尔库塞
Herbert Spencer	赫伯特·斯宾塞
Hercules	海格力斯
Hercules (constellation)	武仙座
Heresy	異端
Herman Melville	赫尔曼·梅尔维尔
Hermann Hesse	赫尔曼·黑塞
Hermann Minkowski	赫尔曼·闵可夫斯基
Hermann von Helmholtz	赫尔曼·冯·亥姆霍兹
Hermeneutics	解釋學
Hermes	赫耳墨斯
Hero	英雄
Herod the Great	大希律王
Herodotus	希羅多德
Heroin	海洛因
Heron	鹭科
Herring Gull	银鸥
Hertfordshire	赫特福德郡
Hertz	赫兹
Hesiod	赫西奥德
Hesse	黑森
Hesse	Category:黑森州
Hestia	維斯塔
Heterosexuality	异性恋
Heterotroph	消费者 (生物)
Hexadecimal	十六进制
Hexagon	六边形
Hezbollah	真主党
Hibernation	冬眠
Hideki Yukawa	汤川秀树
Hieronymus Bosch	希羅尼穆斯·波希
Hilbert space	希尔伯特空间
Himalayas	喜马拉雅山脉
Hindu Kush	興都庫什山脈
Hinduism	印度教
Hinduism	Category:印度教
Hipparchus	喜帕恰斯
Hippie	嬉皮士
Hippocrates	希波克拉底
Hippocratic Oath	希波克拉底誓詞
Hippopotamus	河马
Hirohito	昭和天皇
Hiroshima	廣島市
Hispaniola	伊斯帕尼奥拉岛
Histidine	組氨酸
Histology	组织学
Histology	Category:組織學
Histone	組織蛋白
Historiography	史学史
History	歷史
History	Category:历史
History	Portal:历史
Ho Chi Minh	胡志明
