English	Latin
Bruges	Brugae
Brunei	Bruneium
Brussels	Bruxellae
Bubonic plague	Pestis
Bucharest	Bucaresta
Budapest	Aquincum
Buddhism	Buddhismus
Buddhism	Categoria:Religio Buddhistica
Buenos Aires	Bonaëropolis
Buffalo	Bufalum
Bujumbura	Buiumbura
Bulgaria	Bulgaria
Bulgaria	Categoria:Bulgaria
Burkina Faso	Burkina
Burma	Birmania
Bus	Laophorium
Businesspeople	Categoria:Magistri officinarum
Buster Keaton	Buster Keaton
Butane	Butanum
Butter	Butyrum
Butterfly	Papilio
Bydgoszcz	Bydgostia
C	C
C (programming language)	C (lingua programmandi)
Cabaret	Cabaret
Cadmium	Cadmium
Cadmus	Cadmus
Caelum	Caelum (sidus)
Caesium	Caesium
Cairo	Cairus
Calabria	Calabria
Calais	Caletum
Calcium	Calcium
Calculator	Computator
Calculus	Calculus
Calendar	Calendarium
California	California
California	Categoria:California
Californium	Californium
Caligula	Caligula
Caliph	Calipha
Calligraphy	Calligraphia
Calliope	Calliope
Callisto (moon)	Callisto (satelles)
Callisto (mythology)	Callisto
Calvados	Calvados (praefectura Franciae)
Calvin Coolidge	Calvinus Coolidge
Calypso (mythology)	Calypso
Cambodia	Cambosia
Cambrian	Aevum Cambricum
Cambridge	Cantabrigia
Cambridge	Cantabrigia iuxta Flumen Carolanum
Cambridge (disambiguation)	Cantabrigia (discretiva)
Camel	Camelus
Cameroon	Cameronia
Cameroon	Categoria:Cameronia
Campania	Campania
Canada	Canada
Canada	Categoria:Canada
Canal	Fossa
Canary Islands	Canariae Insulae
Canberra	Canberra
Cancer	Cancer (morbus)
Cancer (constellation)	Cancer (sidus)
Candle	Cereus
Canidae	Canidae
Canis Major	Canis Maior (sidus)
Canis Minor	Canis Minor (sidus)
Cannabis	Cannabis
Cannes	Canoe (Francia)
Canterbury	Cantuaria
Canute the Great	Cnuto (rex Anglorum)
Capacitor	Condensatrum
Cape Canaveral	Promunturium Cannaveralium
Cape Horn	Hornanum caput
Cape Town	Urbs Promontorii
Cape Verde	Promontorium Viride
Cape of Good Hope	Promontorium Bonae Spei
Capital	Caput (urbs)
Capital (economics)	Capitale
Capitalism	Capitalismus
Capricornus	Capricornus (sidus)
Capsicum	Capsicum
Caracal	Caracal
Caracas	Caracae
Caravaggio	Michael Angelus Merisi Caravaggius
Carbohydrate	Saccharidum
Carbon	Carbonium
Carbon dioxide	Dioxydum carbonis
Carbon monoxide	Monoxidum Carbonis
Carbonic acid	Acidum carbonicum
Carboniferous	Aevum Carboniferum
Carboxylic acid	Acidum carboxylicum
Cardinal (Catholicism)	Cardinalis
Cardinal Richelieu	Armandus Ioannes Plessaeus de Richelieu
Cardiology	Cardiologia
Cardiovascular system	Categoria:Vasa sanguinea
Caribbean Sea	Mare Caribicum
Carina (constellation)	Carina (sidus)
Carl Maria von Weber	Carolus Maria de Weber
Carl Orff	Carolus Orff
Carnival	Carnelevarium
Carnivora	Carnivora
Carolus Linnaeus	Carolus Linnaeus
Carrot	Carota
Cartagena	Carthago Nova
Carthage	Karthago
Cartography	Categoria:Cartographia
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Cashew	Cassuvium
Casino	Aleatorium
Caspian Sea	Mare Caspium
Cassiopeia (constellation)	Cassiopeia (sidus)
Castile (historical region)	Castella
Castling	Adrochatio
Cat	Feles
Catalonia	Catalonia
Catalonia	Categoria:Catalonia
Catfish	Siluriformes
Cathedral	Cathedralis
Catherine Parr	Catharina Parra
Catherine of Aragon	Catharina Aragonensis
Cattle	Bos
Catullus	Gaius Valerius Catullus
Caucasus	Caucasus
Caucasus Mountains	Caucasus
Cave	Spelunca
Cayenne	Caienna
Cecil Rhodes	Caecilius Ioannes Rhodes
Cedar	Cedrus
Celery	Apium
Cell (biology)	Cellula
Cemetery	Coemeterium
Cenozoic	Aera Caenozoica
Census	Census
Centaur	Centaurus
Centaurus	Centaurus (sidus)
Centimetre	Centimetrum
Central African Republic	Respublica Africae Mediae
Central bank	Argentaria centralis
Central processing unit	Processorium centrale
Centre	Centrum (regio Franciae)
Century	Saeculum
Cephalopod	Cephalopoda
Cepheus (constellation)	Cepheus (sidus)
Cerberus	Cerberus
Cereal	Frumentum
Cerebellum	Cerebellum
Ceres	Ceres
Ceres (dwarf planet)	Ceres (planetula)
Ceres (mythology)	Ceres (dea)
Cerium	Cerium
Cesare Borgia	Caesar Borgia
Cestoda	Cestoda
Cetacea	Cetacea
Cetus	Cetus (sidus)
Chad	Tzadia
Chalcedony	Calcedonius
Chamaeleon	Chamaeleon (sidus)
Champagne-Ardenne	Campania et Arduenna
Chaos (mythology)	Chaos
Charlemagne	Carolus Magnus
Charles	Carolus Princeps Cambriae
Charles Baudelaire	Carolus Baudelarius
Charles Darwin	Carolus Robertus Darwin
Charles Dickens	Carolus Dickens
Charles de Gaulle	Carolus de Gaulle
Charles the Bald	Carolus Calvus
Charleston	Carolopolis (Virginia Occidentalis)
Charlie Chaplin	Carolinus Chaplin
Charlotte	Carlotta (Carolina Septentrionalis)
Charon (moon)	Charon (satelles)
Charon (mythology)	Charon (mythologia)
Chartres	Autricum
Che Guevara	Ernestus Guevara
Cheese	Caseus
Cheetah	Acinonyx
Chemical bond	Vinculum chemicum
Chemical element	Elementum
Chemistry	Chemia
Chemistry	Categoria:Chemia
Chemnitz	Chemnicium
Cherry	Cerasus (pomum)
Chert	Silex
Cherub	Cherubim
Chess	Scacci
Chess	Categoria:Scacci
Chester A. Arthur	Cestria Alanus Arthur
Chestnut	Castanea
Cheyenne	Cheyenna
Chi (letter)	Chi
Chicago	Sicagum
Chicken	Gallus
Chickenpox	Varicella
Chihuahua	Chihuahua
Chile	Chilia
Chile	Categoria:Chilia
China	Categoria:Sina
China	Sina
Chios	Chios
Chitin	Chitina
Chlorine	Chlorum
Chocolate	Socolata
Cholera	Cholera
Chondrichthyes	Chondrichthyes
Chordate	Chordata
Christiaan Huygens	Christianus Hugenius
Christianity	Religio Christiana
Christianity	Categoria:Religio Christiana
Christmas	Christi Natalis
Christmas	Categoria:Sollemnia natalicia Iesu Christi
Christmas Eve	Vesper Sanctus
Christmas tree	Arbor natalicia
Christopher Columbus	Christophorus Columbus
Christopher Marlowe	Christophorus Marlowe
Chromium	Chromium
Church	Ecclesia
Church of England	Ecclesia Anglica
Cicero	Marcus Tullius Cicero
Ciconiiformes	Ciconiiformes
Cider	Sicera
Cigarette	Sigarellum
Cinderella	Cinerella
Circe	Circe
Circinus	Circinus (sidus)
Circle	Circulus
Circulatory system	Apparatus circulatorius
Circumcision	Circumcisio
Circus	Circus
Cirrhosis	Cirrhosis hepatis
Citrus	Citrus
Civil war	Bellum civile
Class (biology)	Classis (Taxon)
Classical mechanics	Mechanica Newtoniana
Claude Monet	Claudius Monet
Claudio Monteverdi	Claudius Monteverdi
Claudius	Claudius (imperator)
Clavicle	Clavicula
Clement Attlee	Clemens Attlee
Cleveland	Cleveterra
Clinical depression	Depressio (psychiatria)
Clio	Clio
Clitoris	Clitoris
Clock	Horologium
Clock Tower	Magnus Beniaminus
Clothing	Vestimenta
Cloud	Nubes
Clove	Syzygium aromaticum
Clovis I	Chlodovechus
Cnidaria	Cnidaria
Coat of arms	Insigne
Cobalt	Cobaltum
Cockroach	Blattodea
Coffea	Coffea
Coffee	Coffeum
Colchis	Colchis
Cold War	Bellum Frigidum
Cologne	Colonia Agrippina
Colombia	Columbia
Colombia	Categoria:Columbia
Colombo	Colombo (urbs)
Color	Color
Colorado	Coloratum
Colorado River	Coloratense Flumen
Colosseum	Amphitheatrum Flavium
Columba (constellation)	Columba (sidus)
Columbia	Columbia (discretiva)
Columbia River	Columbia (flumen)
Columbia University	Universitas Columbiae
Columbidae	Columba (avis)
Columbus	Columbus (Ohium)
Columbus	Columbus
Coma Berenices	Coma Berenices (sidus)
Comedy	Comoedia
Comenius	Iohannes Amos Comenius
Comet	Cometes
Commonwealth of Independent States	Independentium Civitatum Foederatio
Commonwealth of Nations	Consortio Populorum
Communism	Communismus
Comoros	Insulae Comorianae
Compact Disc	Discus compactus
Compass	Pyxis nautica
Compass (drafting)	Circinus
Complex number	Numerus complexus
Composer	Compositor
Computer	Computatrum
Computer display	Monitorium
Computer science	Informatica
Computer science	Categoria:Informatica
Computer software	Res informatica
Computing	Categoria:Informatica
Conakry	Conakri
Confederate States of America	Civitates Confoederatae Americae
Confession	Confessio
Confucius	Confucius
Congo River	Congo (flumen)
Connecticut	Connecticuta
Conquistador	Conquisitatores Hispani
Conservatism	Conservatismus
Constantine I	Constantinus I
Constantinople	Constantinopolis
Constellation	Sidus
Consul	Consul
Continent	Continens
Cooperative	Societas cooperativa
Coordinated Universal Time	UTC
Copenhagen	Hafnia
Copper	Cuprum
Corinth	Corinthus
Cork (city)	Corcagia
Cormorant	Phalacrocorax carbo
Cornell University	Universitas Cornelliana
Cornwall	Cornubia
Corona Borealis	Corona Borealis (sidus)
Corsica	Corsica
Corvidae	Corvidae
Corvus (constellation)	Corvus (sidus)
Cosmic microwave background radiation	Radiatio Cosmica Microondica Prisca
Cosmology	Cosmologia
Costa Rica	Ora Opulenta
Cougar	Puma
Council of Chalcedon	Concilium Chalcedonense
Council of Ephesus	Concilium Ephesinum
Council of Trent	Concilium Tridentinum
Coyote	Coiotes
Crab	Cancer
Crater (constellation)	Crater (sidus)
Creationism	Creationismus
Cremona	Cremona
Cretaceous	Aevum Cretaceum
Crete	Creta
Cricket	Criccetius lusus
Cricket (insect)	Gryllus
Crimea	Crimaea
Croatia	Croatia
Croatia	Categoria:Croatia
Crocodile	Crocodylidae
Crocodilia	Crocodilia
Cronus	Cronus
Cross	Crux
Crossbow	Manuballista (sensu stricto)
Crossword	Crucigramma
Crow	Corvus
Crux	Crux (sidus)
Cryptography	Cryptographia
Cryptography	Categoria:Cryptographia
Crystal	Crystallum
Cuba	Cuba
Cuba	Categoria:Cuba
Cubic metre	Metrum cubicum
Cucumber	Cucumis sativus
Cucurbitaceae	Cucurbitaceae
Cumbria	Cumbria
Cupressaceae	Cupressaceae
Curitiba	Curitiba
Curium	Curium
Currency	Categoria:Monetae
Cusco	Cuscum
Cybele	Cybele
Cyclades	Cyclades
Cycling	Birotatio
Cyclops	Cyclops
Cygnus (constellation)	Cygnus (sidus)
Cyperaceae	Cyperaceae
Cyprus	Cyprus
Cyprus	Categoria:Cyprus
Cyrillic alphabet	Abecedarium Cyrillicum
Cyrus the Great	Cyrus II (rex Persarum)
Czech Republic	Res publica Bohemica
Czech Republic	Categoria:Tzekia
Czechoslovakia	Bohemoslovacia
D	D
D. W. Griffith	David Wark Griffith
DNA	Acidum desoxyribonucleicum
DVD	Discus varius digitalis
