Armenian	English
Բիշկեկ	Bishkek
Բիսմութ	Bismuth
Բիսաու	Bissau
Սև ծով	Black Sea
Սև Արագիլ	Black Stork
Բլեզ Պասկալ	Blaise Pascal
Բորիում	Bohrium
Պարտատոմս	Bond (finance)
Բոր	Boron
Բոսնիա և Հերցեգովինա	Bosnia and Herzegovina
Կաղապար:Bot	Bot
Բոթսվանա	Botswana
Բրատիսլավա	Bratislava
Բրազիլիա	Brazil
Բրազավիլ	Brazzaville
Բրոմ	Bromine
Բրոնզ	Bronze
Բրյուսել	Brussels
Բուխարեստ	Bucharest
Բուդապեշտ	Budapest
Բուդդա	Buddha
Բուդդայականություն	Buddhism
Կատեգորիա:Բուդդայականություն	Buddhism
Բուենոս Այրես	Buenos Aires
Բուժումբուրա	Bujumbura
Բուլղարիա	Bulgaria
Մյանմար	Burma
Կադմիում	Cadmium
Ցեզիում	Caesium
Կահիրա	Cairo
Կալցիում	Calcium
Կալիֆորնիա	California
Կալիֆորնիում	Californium
Քամբոջա	Cambodia
Կամերուն	Cameroon
Կանադա	Canada
Կատեգորիա:Կանադա	Canada
Կանբերա	Canberra
Քեյփ Վերդե	Cape Verde
Ածխածին	Carbon
Կասպից ծով	Caspian Sea
Կովկաս	Caucasus
Կատեգորիա:Կովկաս	Caucasus
Ցերիում	Cerium
Չադ	Chad
Չառլզ Դարվին	Charles Darwin
Շառլ դե Գոլ	Charles de Gaulle
Չե Գեվարա	Che Guevara
Քիմիա	Chemistry
Շախմատ	Chess
Չիկագո	Chicago
Քլոր	Chlorine
Շոկոլադ	Chocolate
Քրիստոնեություն	Christianity
Նավասարդ	Christmas
Քրոմ	Chromium
Ածուխ	Coal
Կոբալտ	Cobalt
Սուրճ	Coffee
Կոլումբիա	Colombia
Կոլորադո	Colorado
Համակարգիչ	Computer
Category:Համակարգիչներ	Computing
Կոնակրի	Conakry
Կոնֆուցիոս	Confucius
Կոնեկտիկուտ	Connecticut
Կոստանդնուպոլիս	Constantinople
Կոպենհագեն	Copenhagen
Պղինձ	Copper
Կոստա Րիկա	Costa Rica
Խորվաթիա	Croatia
Կուբա	Cuba
Մշակույթ	Culture
Կուրիտիբա	Curitiba
Կյուրիում	Curium
Կիպրոս	Cyprus
Չեխիա	Czech Republic
Դակար	Dakar
Դամասկոս	Damascus
Դանտե Ալիգյերի	Dante Alighieri
Դե ֆակտո	De facto
Դեկտեմբեր	December
Դեկտեմբերի 31	December 31
Դեկտեմբերի 8	December 8
Դելավեր	Delaware
Dell	Dell
Կոնգոյի Դեմոկրատական Հանրապետություն	Democratic Republic of the Congo
Դանիա	Denmark
Դակա	Dhaka
Ադամանդ	Diamond
Դմիտրի Մենդելեև	Dmitri Mendeleev
Դմիտրի Շոստակովիչ	Dmitri Shostakovich
Դոդոմա	Dodoma
Դոհա	Doha
Թմրամոլություն	Drug addiction
Դուբլին	Dublin
Դուբնիում	Dubnium
Դուայթ Էյզենհաուեր	Dwight D. Eisenhower
Դիսպրոզիում	Dysprosium
Երկիր	Earth
Երկրաշարժ	Earthquake
Տնտեսություն	Economy
Էկվադոր	Ecuador
Կատեգորիա:Կրթություն	Education
Եգիպտոս	Egypt
Էյնշտեյնիում	Einsteinium
Կատեգորիա:Տեխնիկական գիտություններ	Engineering
Անգլիա	England
Անգլերեն	English language
Էրբիում	Erbium
Էրոզիա	Erosion
Սպահան	Esfahan
Էսպերանտո	Esperanto
Կատեգորիա:Էսպերանտո	Esperanto
Էթիկա	Ethics
Եթովպիա	Ethiopia
Էվկլիդես	Euclid
Եվրասիա	Eurasia
Եւրօ	Euro
Եվրոպա	Europe
Կատեգորիա:Եվրոպա	Europe
Եվրոպական Միություն	European Union
Եվրոպիում	Europium
Փետրվար	February
Փետրվարի 2	February 2
Փետրվարի 29	February 29
Ֆերմիում	Fermium
Ֆիդել Կաստրո	Fidel Castro
Ֆինլանդիա	Finland
Ֆլորիդա	Florida
Կատեգորիա:Ֆուտբոլ	Football (soccer)
Կատեգորիա:Ֆուտբոլային ակումբներ	Football (soccer) clubs
Ֆրանսիա	France
Կատեգորիա:Ֆրանսիա	France
Ֆրանցիսկո Գոյա	Francisco Goya
Ֆրասիում	Francium
Ֆրանկֆուրտ	Frankfurt
Մասոնություն	Freemasonry
Ֆրանսիական հեղափոխություն	French Revolution
Կատեգորիա:Ֆրանսիայի պատմություն	French Revolution
Կատեգորիա:Ֆրանսիացիներ	French people
Ֆրեզնո, Կալիֆորնիա	Fresno
Ուրբաթ	Friday
Ֆրիտյոֆ Նանսեն	Fridtjof Nansen
Կատեգորիա:Հիմնարար	Fundamental
Ֆյոդոր Դոստոևսկի	Fyodor Dostoevsky
Գաբոն	Gabon
Գաբորոնե	Gaborone
Գադոլինիում	Gadolinium
Գալիլեո Գալիլեյ	Galileo Galilei
Գալիում	Gallium
Գանձակ	Ganja
Գեյշա	Geisha
Ժնև	Geneva
Ցեղասպանություն	Genocide
Կատեգորիա:Ցեղասպանություն	Genocide
Աշխարհագրություն	Geography
Կատեգորիա:Աշխարհագրություն	Geography
Ջորջ Գերշվին	George Gershwin
Ջորջ Հարրիսոն	George Harrison
Ջորջ Օրվել	George Orwell
Ջորջ Վոկեր Բուշ	George W. Bush
Ջորջ Վաշինգտոն	George Washington
Ժորժ Սիմենոն	Georges Simenon
Ջորջիա	Georgia (U.S. state)
Վրաստան	Georgia (country)
Կատեգորիա:Վրաստան	Georgia (country)
Ջերալդ Ֆորդ	Gerald Ford
Գերմաներեն	German language
Գերմանիում	Germanium
Գերմանիա	Germany
Ջուզեպպե Վերդի	Giuseppe Verdi
Գլոբալ տաքացում	Global warming
Ոսկի	Gold
Ավետարան ըստ Ղուկասի	Gospel of Luke
Գրաֆֆիտի	Graffiti
Քերականություն	Grammar
Հունաստան	Greece
Գուամ	Guam
Գվինեա	Guinea
ՄԻԱՎ	HIV
Հաֆնիում	Hafnium
Համաս	Hamas
Համբուրգ	Hamburg
Մուրճ և մանգաղ	Hammer and sickle
Հաննիբալ	Hannibal
Հասիում	Hassium
Հավայան կղզիներ	Hawaii
Հելիում	Helium
Հելսինկի	Helsinki
Թութք	Hemorrhoid
Հենրի Կավենդիշ	Henry Cavendish
Հերոդոտոս	Herodotus
Հիպոկրատես	Hippocrates
Պատմություն	History
Հոբբի	Hobby
Հոլմիում	Holmium
Հոմեոստազ	Homeostasis
Հոմերոս	Homer
Հորոսկոպ	Horoscope
Հումոր	Humour
Հունգարիա	Hungary
Ջրածին	Hydrogen
IPod	IPod
Հոկեյ	Ice hockey
Իսլանդիա	Iceland
Այդահո	Idaho
Իդո (արհեստական լեզու)	Ido
Իգոր Ստրավինսկի	Igor Stravinsky
Իլինոյս	Illinois
Իմանուիլ Կանտ	Immanuel Kant
Հնդկաստան	India
Հնդկական Օվկիանոս	Indian Ocean
Ինդիանա	Indiana
Ինդիում	Indium
Ինդոնեզիա	Indonesia
Համացանց	Internet
Յոդ	Iodine
Այովա	Iowa
Իրան	Iran
Կատեգորիա:Իրան	Iran
Իրաք	Iraq
Իրիդիում	Iridium
Երկաթ	Iron
Իսահակ Ազիմով	Isaac Asimov
Իսահակ Նյուտոն	Isaac Newton
Իսլամ	Islam
Իսլամաբադ	Islamabad
Իսրայել	Israel
Ստամբուլ	Istanbul
Իտալիա	Italy
Ջակարտա	Jakarta
Յան Հուս	Jan Hus
Հունվար	January
Հունվարի 1	January 1
Հունվարի 19	January 19
Հունվարի 20	January 20
Հունվարի 6	January 6
Ճապոնիա	Japan
Ժան Ժակ Ռուսո	Jean-Jacques Rousseau
Ժան Փոլ Սարթր	Jean-Paul Sartre
Հիսուս Քրիստոս	Jesus
Հրեա	Jew
Ջիմի Կարտեր	Jimmy Carter
Յոհան Սեբաստյան Բախ	Johann Sebastian Bach
Յոհան Վոլֆգանգ ֆոն Գյոթե	Johann Wolfgang von Goethe
Ջոն Լեննոն	John Lennon
Հորդանան	Jordan
Ջոզեֆ Շումպետեր	Joseph Schumpeter
Հուլիոս Կեսար	Julius Caesar
Հուլիս	July
Հունիս	June
Յուպիտեր	Jupiter
Քաբուլ	Kabul
Կամպալա	Kampala
Կանզաս	Kansas
Կառլ Մարքս	Karl Marx
Կատմանդու	Kathmandu
Կատովիցե	Katowice
Ղազախստան	Kazakhstan
Կենտուկի	Kentucky
Քենիա	Kenya
Կիև	Kiev
Կիգալի	Kigali
Կինգստոն	Kingston
Կինշասա	Kinshasa
Համբույր	Kiss
Կրիպտոն	Krypton
Կուալա Լումպուր	Kuala Lumpur
Քուռ գետ	Kura River
Ղրղզստան	Kyrgyzstan
Լա Պաս	La Paz
Լագոս	Lagos
Լանթան	Lanthanum
Լաոս	Laos
Լաս Վեգաս	Las Vegas
Լատիներեն	Latin
Լատվիա	Latvia
Լոուրենսիում	Lawrencium
Կապար	Lead
Նահանջ տարի	Leap year
Լիբանան	Lebanon
Լեոնարդո Դա Վինչի	Leonardo da Vinci
Լեսոթո	Lesotho
Լիբերիա	Liberia
Լիբրևիլ	Libreville
Լիբիա	Libya
Լիխտենշտեյն	Liechtenstein
Լիլոնգվե	Lilongwe
Linux	Linux
Լիսաբոն	Lisbon
Լիթիում	Lithium
Լիտվա	Lithuania
Տիտուս Լիվիուս	Livy
Լյուբլյանա	Ljubljana
Լոնդոն	London
Հայր Մեր	Lord's Prayer
Լոս Անջելես	Los Angeles
Լուիզիանա	Louisiana
Լուանդա	Luanda
Լուդվիգ վան Բեթհովեն	Ludwig van Beethoven
Լուսակա	Lusaka
Լուտեցիում	Lutetium
Լյուքսեմբուրգ	Luxembourg
Լյուքսեմբուրգ (քաղաք)	Luxembourg (city)
Լիոն	Lyon
Apple Macintosh	Macintosh
Մադագասկար	Madagascar
Մադրիդ	Madrid
Մագնիում	Magnesium
Մայն	Main
Մեն	Maine
Մալաբո	Malabo
Մալայզիա	Malaysia
Մալի	Mali
Մալթա	Malta
Մանամա	Manama
Մանգան	Manganese
Մապուտու	Maputo
Մարտ	March
Մարտի 2	March 2
Մարսել	Marseille
Մարտին Լյութեր	Martin Luther
Մարքսիզմ	Marxism
Մերիլենդ	Maryland
Մասերու	Maseru
Մասաչուսեթս	Massachusetts
Մավրիտանիա	Mauritania
Մավրիտիուս	Mauritius
Մայիս	May
Մայիսի 1	May 1
Մբաբանե	Mbabane
Մայտներիում	Meitnerium
Մենդելեվիում	Mendelevium
Սնդիկ	Mercury (element)
Մերկուրի	Mercury (planet)
Միջագետք	Mesopotamia
Միչիգան	Michigan
Միլան	Milan
Կաթ	Milk
Մինեսոտա	Minnesota
Մինսկ	Minsk
Միսուրի	Missouri
Մոգադիշո	Mogadishu
Մոլդովա	Moldova
Մոլիբդեն	Molybdenum
Մոնակո	Monaco
Երկուշաբթի	Monday
Մոնղոլիա	Mongolia
Մոնիզմ	Monism
Մոնոթեիզմ	Monotheism
Մոնրովիա	Monrovia
Մոնտանա	Montana
Չեռնոգորիա	Montenegro
Մոնրեալ	Montreal
Լուսին	Moon
Ձևաբանություն	Morphology (linguistics)
Մոսկվա	Moscow
Արարատ	Mount Ararat
Մոզամբիկ	Mozambique
Մյունխեն	Munich
Մասկատ	Muscat
NASDAQ	NASDAQ
Նայրոբի	Nairobi
Նամիբիա	Namibia
Նանսի	Nancy
Նանոտեխնոլոգիա	Nanotechnology
Նեապոլ	Naples
Բնություն	Nature
Կատեգորիա:Բնություն	Nature
Նացիստական Գերմանիա	Nazi Germany
Նեբրասկա	Nebraska
Նեոդիում	Neodymium
Նեոն	Neon
Նեպալ	Nepal
Նեպտուն	Neptune
Նեպտունիում	Neptunium
Նիդեռլանդներ	Netherlands
Նևադա	Nevada
Նյու Դելի	New Delhi
Նյու Հեմպշիր	New Hampshire
Նյու Ջերսի	New Jersey
Նյու Մեքսիկո	New Mexico
Նոր Կտակարան	New Testament
Նոր Զելանդիա	New Zealand
Նիամեյ	Niamey
Նիկարագուա	Nicaragua
Նիկել	Nickel
Նիկոսիա	Nicosia
Նիգեր	Niger
Նիգերիա	Nigeria
Նիոբիում	Niobium
Ազոտ	Nitrogen
Նոամ Չոմսկի	Noam Chomsky
Հյուսիսային Կարոլինա	North Carolina
Հյուսիսային Դակոտա	North Dakota
Հյուսիսային Կորեա	North Korea
Նորվեգիա	Norway
Նուակշոտ	Nouakchott
Գոյական անուն	Noun
Նոյեմբեր	November
Օվկիանոս	Ocean
Հոկտեմբեր	October
Օդեսսա	Odessa
Օհայո	Ohio
Օկլահոմա	Oklahoma
Հին Կտակարան	Old Testament
Օման	Oman
Օրեգոն	Oregon
Ուսամա բեն Լադեն	Osama bin Laden
Օսլո	Oslo
Օսման I	Osman I
Օսմիում	Osmium
Օտավա	Ottawa
Օտտօ ֆոն Բիսմարկ	Otto von Bismarck
Թթվածին	Oxygen
Խաղաղ Օվկիանոս	Pacific Ocean
Պացիֆիզմ	Pacifism
Պակիստան	Pakistan
Պաղեստին	Palestine
Պալադիում	Palladium
Պանթեիզմ	Pantheism
Փարիզ	Paris
Ախտաֆիզիոլոգիա	Pathology
Փոլ Մաքքարթնի	Paul McCartney
Մարգարիտ	Pearl
Պենսիլվանիա	Pennsylvania
Կատեգորիա:Անձեր	People
Չինաստանի Ժողովրդական Հանրապետություն	People's Republic of China
Ըմբռնում	Perception
Պարբերական աղյուսակ	Periodic table
Ֆիլադելֆիա	Philadelphia
Փիլիսոփայություն	Philosophy
Կատեգորիա:Փիլիսոփայություն	Philosophy
Պնոմպեն	Phnom Penh
Ֆոսֆոր	Phosphorus
Լուսանկարչություն	Photography
Ֆիզիկա	Physics
Կատեգորիա:Ֆիզիկա	Physics
Պլատին	Platinum
Պլատոն	Plato
Սալոր	Plum
Պլուտոն	Pluto
Պլուտոնիում	Plutonium
Լեհաստան	Poland
Կատեգորիա:Քաղաքականություն	Politics
Պոլոնիում	Polonium
Նուռ	Pomegranate
Հռոմի Պապ	Pope
Պորտ Լուի	Port Louis
Պորտ-օ-Պրենս	Port-au-Prince
Պորտուգալիա	Portugal
Կալիում	Potassium
Պրագա	Prague
Պրայա	Praia
Պրազեդիում	Praseodymium
Պրոմեթիում	Promethium
Պրոտակտինիում	Protactinium
Հոգեբանություն	Psychology
Պուերտո Ռիկո	Puerto Rico
Պխենյան	Pyongyang
Պյութագորաս	Pythagoras
Քատար	Qatar
Կիտո	Quito
Ռադիում	Radium
Ռադոն	Radon
Ազնվամորի	Raspberry
Կրոն	Religion
Կատեգորիա:Կրոն	Religion
Քվակերներ	Religious Society of Friends
Ռեմբրանտ վան Ռեյն	Rembrandt
Իռլանդիա	Republic of Ireland
Ռենիում	Rhenium
Ռնգեղջյուր	Rhinoceros
Ռոդ-Այլենդ	Rhode Island
Ռոդիում	Rhodium
Ռիչարդ Նիքսոն	Richard Nixon
Րիխարդ Վագներ	Richard Wagner
Ռիգա	Riga
Ռինգո Սթար	Ringo Starr
Լեռնային ապար	Rock (geology)
Ռումինիա	Romania
Հռոմ	Rome
Ռոնալդ Ռեյգան	Ronald Reagan
Վարդ	Rose
Ռուբիդիում	Rubidium
Ազնվամորի	Rubus idaeus
Ռուդոլֆ Դիզել	Rudolf Diesel
Ռուսաստան	Russia
Ռոթենիում	Ruthenium
Ռեզերֆորդիում	Rutherfordium
Ռուանդա	Rwanda
Սահարա	Sahara
Սանկտ Պետերբուրգ	Saint Petersburg
Սամարիում	Samarium
Սան Մարինո	San Marino
Սան Մարինո (քաղաք)	San Marino
Սարաևո	Sarajevo
Շաբաթ	Saturday
Սատուրն	Saturn
Սաքսոնիա	Saxony
Սկանդիում	Scandium
Սիբորգիում	Seaborgium
Կատեգորիա:Անվտանգություն	Security
Սեյսմալոգիա	Seismology
Սելեն	Selenium
Սեուլ	Seoul
Սեպտեմբեր	September
Սերբիա	Serbia
Սերբիա և Մոնտենեգրո	Serbia and Montenegro
Սերոտոնին	Serotonin
Սիերա Լիոնե	Sierra Leone
Սիլիցիում	Silicon
Արծաթ	Silver
Սինգապուր	Singapore
Սկոպյե	Skopje
Սլովակիա	Slovakia
Կատեգորիա:Սլովակիա	Slovakia
Սլովենիա	Slovenia
Category:Հասարակություն	Society
Ճիզվիտ	Society of Jesus
Սոկրատես	Socrates
Նատրիում	Sodium
Սոֆիա	Sofia
Արեգակնային համակարգ	Solar System
Հոգի	Soul
Հարավային Կարոլինա	South Carolina
Հարավային Դակոտա	South Dakota
Հարավային Կորեա	South Korea
Խորհրդային Միություն	Soviet Union
Կատեգորիա:Սովետական Միություն	Soviet Union
Իսպանիա	Spain
Սպորտ	Sport
Շրի Լանկա	Sri Lanka
Ստոքհոլմ	Stockholm
Ստրոնցիում	Strontium
Ծծումբ	Sulfur
Արև	Sun
Կիրակի	Sunday
Գերհամակարգիչ	Supercomputer
Սյուրռեալիզմ	Surrealism
Շվեդիա	Sweden
Կատեգորիա:Շվեդիա	Sweden
Շվեյցարիա	Switzerland
Սիրիա	Syria
Թաջ Մահալ	Taj Mahal
Տաջիկստան	Tajikistan
Տալլին	Tallinn
Տանտալ	Tantalum
Թանզանիա	Tanzania
Թբիլիսի	Tbilisi
Տեխնեցիում	Technetium
Տեխնիկա	Technology
Category:Տեխնոլոգիա	Technology
Թեհրան	Tehran
Տելուր	Tellurium
Թենեսի	Tennessee
Կերբիում	Terbium
Ահաբեկչություն	Terrorism
Տեխաս	Texas
Թալիում	Thallium
Գամբիա	The Gambia
Ջերմաչափ	Thermometer
Թորիում	Thorium
Թուլիում	Thulium
Թուրինգիա	Thuringia
Հինգշաբթի	Thursday
Ուրց	Thyme
Տիբեր	Tiber
Տիգրիս	Tigris
Կատեգորիա:Ժամանակ	Time
Լենկթեմուր	Timur
Անագ	Tin
Տիրանա	Tirana
Տիտան	Titanium
Տոկիո	Tokyo
Տրիպոլի	Tripoli
Ճշմարտություն	Truth
Ցար	Tsar
Թոքախտ	Tuberculosis
Երեքշաբթի	Tuesday
Վոլֆրամ	Tungsten
Թունիս (քաղաք)	Tunis
Թուրին	Turin
Թուրքիա	Turkey
Կատեգորիա:Թուրքիա	Turkey
Թուրքմենիստան	Turkmenistan
Միավորված Ազգերի Կրթության, Գիտության և Մշակույթի Կազմակերպություն	UNESCO
Ուգանդա	Uganda
Ուկրաինա	Ukraine
Ուլան Բատոր	Ulan Bator
Միավորված Թագավորություն	United Kingdom
Միավորված Ազգերի Կազմակերպություն	United Nations
Ամերիկայի Միացյալ Նահանգներ	United States
ԱՄՆ Սահմանադրություն	United States Constitution
Ամերիկյան Վիրջինյան կղզիներ	United States Virgin Islands
ԱՄՆ դոլլար	United States dollar
Ուփսալա	Uppsala
Ուրան (տարր)	Uranium
Ուրան (մոլորակ)	Uranus
Յուտա	Utah
Ուզբեկստան	Uzbekistan
Վադուց	Vaduz
Վալետա	Valletta
Վանադիում	Vanadium
Վատիկան	Vatican City
Վենեսուելա	Venezuela
Վենետիկ	Venice
Վեներա	Venus
Վերմոնտ	Vermont
Վեսպասիանոս	Vespasian
Վիեննա	Vienna
Վյենտյան	Vientiane
Վիետնամ	Vietnam
Վիլնյուս	Vilnius
Վինսենթ վան Գոգ	Vincent van Gogh
Վիրջինիա	Virginia
Վիտամին	Vitamin
Վլադիմիր Պուտին	Vladimir Putin
Վարշավա	Warsaw
Վաշինգտոն	Washington
Վաշինգտոն (նահանգ)	Washington
Ջուր	Water
Չորեքշաբթի	Wednesday
Վելինգտոն	Wellington
Մարդագայլ	Werewolf
Արևմտյան Վիրջինիա	West Virginia
Անիվ	Wheel
Վինդհուկ	Windhoek
Հողմաղաց	Windmill
Ուինսթոն Չերչիլ	Winston Churchill
Վիսկոնսին	Wisconsin
Վոլֆգանգ Ամադեուս Մոցարտ	Wolfgang Amadeus Mozart
Երկրորդ Համաշխարհային Պատերազմ	World War II
Կատեգորիա:Երկրորդ Համաշխարհային Պատերազմ	World War II
Վայոմինգ	Wyoming
Քսենոն	Xenon
Ռանգուն	Yangon
Յասեր Արաֆաթ	Yasser Arafat
Եմեն	Yemen
Երևան	Yerevan
Իտերբիում	Ytterbium
Իտրիում	Yttrium
Յուրի Գագարին	Yuri Gagarin
Զագրեբ	Zagreb
Ցինկ	Zinc
Ցիրկոնիում	Zirconium
Զրադաշտ	Zoroaster
Զրադաշտականություն	Zoroastrianism
