Finnish	English
Denver	Denver
Derivaatta	Derivative
Des Moines	Des Moines
Aavikko	Desert
Luokka:Aavikot	Deserts
Erasmus Rotterdamilainen	Desiderius Erasmus
Muotoilu	Design
Luokka:Muotoilu	Design
Desmond Tutu	Desmond Tutu
Hävittäjä (laiva)	Destroyer
Determinismi	Determinism
Detroit	Detroit
Deuterium	Deuterium
Viides Mooseksen kirja	Deuteronomy
Kehityspsykologia	Developmental psychology
Laiteajuri	Device driver
Devon	Devon
Devonikausi	Devonian
Kaste (sääilmiö)	Dew
Kastepiste	Dew point
Deweyn luokittelu	Dewey Decimal Classification
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Vuorisusi	Dhole
Diabetes	Diabetes mellitus
Tarke	Diacritic
Murre	Dialect
Dialektiikka	Dialectic
Dialektinen materialismi	Dialectical materialism
Halkaisija	Diameter
Timantti	Diamond
Walesin prinsessa Diana	Diana
Diana	Diana (mythology)
Ripuli	Diarrhea
Diaspora	Diaspora
Piilevät	Diatom
Noppa	Dice
Kaksisirkkaiset	Dicotyledon
Diktatuuri	Dictatorship
Sanakirja	Dictionary
Diego Rivera	Diego Rivera
Dieselöljy	Diesel
Dieselmoottori	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differentiaaliyhtälö	Differential equation
Diffraktio	Diffraction
Diffuusio	Diffusion
Ruoansulatus	Digestion
Luokka:Ruoansulatuselimistö	Digestive system
Digitaalisuus	Digital
Digitaalikamera	Digital camera
Digitaalinen valokuvaus	Digital photography
DSL	Digital subscriber line
Dijon	Dijon
Tilli	Dill
Ulottuvuus	Dimension
Dingo (eläin)	Dingo
Dinosaurukset	Dinosaur
Hiippakunta	Diocese
Diocletianus	Diocletian
Diodi	Diode
Dionysos	Dionysus
Kurkkumätä	Diphtheria
Diftongi	Diphthong
Diplodocus	Diplodocus
Diplomatia	Diplomacy
Dire Straits	Dire Straits
Tasavirta	Direct current
Disakkaridi	Disaccharide
Luokka:Täsmennyssivut	Disambiguation
DJ	Disc jockey
Diskurssi	Discourse
Syrjintä	Discrimination
Sairaus	Disease
Välimatka	Distance
Tislaus	Distillation
Divergenssi	Divergence
Jakolasku	Division (mathematics)
Divisioona	Division (military)
Avioero	Divorce
Dizzy Gillespie	Dizzy Gillespie
Luokka:Djibouti	Djibouti
Djibouti (kaupunki)	Djibouti (city)
Dmitri Mendelejev	Dmitri Mendeleev
Dmitri Šostakovitš	Dmitri Shostakovich
Dnepr	Dnieper River
Dnipropetrovsk	Dnipropetrovsk
Dobermanni	Doberman Pinscher
Kirkonopettaja	Doctor of the Church
Dokumentti	Document
Dodekaedri	Dodecahedron
Dodekanesia	Dodecanese
Drontti	Dodo
Dodoma	Dodoma
Koira	Dog
Dogmi	Dogma
Doha	Doha
Dollari	Dollar
Dolly-lammas	Dolly (sheep)
Dolmen	Dolmen
Dolomiitti	Dolomite
Delfiinit	Dolphin
Kupoli	Dome
Domesday book	Domesday Book
Kotieläin	Domestication
Dominica	Dominica
Luokka:Dominica	Dominica
Dominikaanit	Dominican Order
Dominikaaninen tasavalta	Dominican Republic
Luokka:Dominikaaninen tasavalta	Dominican Republic
Domitianus	Domitian
Don Quijote	Don Quixote
Don	Don River (Russia)
Aku Ankka	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Aasi	Donkey
Ovi	Door
Dopamiini	Dopamine
Doppler-ilmiö	Doppler effect
Kultakala (tähdistö)	Dorado
Doorilainen pylväsjärjestelmä	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Kontrabasso	Double bass
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Dover (Englanti)	Dover
Downin oireyhtymä	Down syndrome
Lohikäärme (tähdistö)	Draco (constellation)
Dracula	Dracula
Lohikäärme	Dragon
Vesistö	Drainage basin
Draama	Drama
Tammipeli	Draughts
Uni	Dream
Dresden	Dresden
Juoma	Drink
Kuivuuskausi	Drought
Päihderiippuvuus	Drug addiction
Druidi	Druid
Rumpu	Drum
Dualismi (filosofia)	Dualism
Kartesiolainen dualismi	Dualism (philosophy of mind)
Dubai	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Dugongi	Dugong
Herttua	Duke
Duke Ellington	Duke Ellington
Duke University	Duke University
Dyyni	Dune
Dunkerque	Dunkirk
Pohjukaissuoli	Duodenum
Durban	Durban
Dušanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Luokka:Alankomaalaiset henkilöt	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamiikka	Dynamics (physics)
Dynamiitti	Dynamite
Hallitsijasuku	Dynasty
Lukivaikeus	Dyslexia
Dysprosium	Dysprosium
Dystopia	Dystopia
E	E
Neperin luku	E (mathematical constant)
Sähköposti	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA (järjestö)	ETA
Kotkat	Eagle
Korva	Ear
Korvahylkeet	Eared seal
Hylkeet	Earless seal
Maa	Earth
Luokka:Maa	Earth
Geotieteet	Earth science
Maanjäristys	Earthquake
Itä	East
Itä-Afrikka	East Africa
Itä-Kiinan meri	East China Sea
Saksan demokraattinen tasavalta	East Germany
East Sussex	East Sussex
Itä-Timor	East Timor
Luokka:Itä-Timor	East Timor
Pääsiäinen	Easter
Ortodoksinen kirkko	Eastern Orthodox Church
Ebola	Ebola
Ebro	Ebro
Eksentrisyys	Eccentricity (mathematics)
Saarnaajan kirja	Ecclesiastes
Nokkasiilit	Echidna
Ekhidna	Echidna (mythology)
Piikkinahkaiset	Echinoderm
Auringonpimennys	Eclipse
Eclipse (IDE)	Eclipse (software)
Ekliptika	Ecliptic
Ekologinen lokero	Ecological niche
Ekologia	Ecology
Luokka:Ekologia	Ecology
Ekonometria	Econometrics
Kansantalous	Economics
Luokka:Taloustiede	Economics
Kansantalous	Economy
Ekosysteemi	Ecosystem
Ecuador	Ecuador
Luokka:Ecuador	Ecuador
Ekumeeninen kirkolliskokous	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Koulutus	Education
Luokka:Koulutus	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edvard Tunnustaja	Edward the Confessor
Edwin Hubble	Edwin Hubble
Ankeriaskalat	Eel
Muna	Egg (biology)
Munakoiso	Eggplant
Egypti	Egypt
Luokka:Egypti	Egypt
Egyptin punta	Egyptian pound
Egyptologia	Egyptology
Eiffel-torni	Eiffel Tower
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Siemensyöksy	Ejaculation
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
Luokka:El Salvador	El Salvador
Elam	Elam
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Vaali	Election
Elektra	Electra
Sähkövaraus	Electric charge
Sähkövirta	Electric current
Sähkökenttä	Electric field
Sähkökitara	Electric guitar
Sähkömoottori	Electric motor
Luokka:Sähkötekniikka	Electrical engineering
Sähkötekniikka	Electrical engineering
Resistanssi	Electrical resistance
Sähkö	Electricity
Luokka:Sähkö	Electricity
EKG	Electrocardiogram
Sähkökemia	Electrochemistry
Luokka:Sähkökemia	Electrochemistry
Elektrolyysi	Electrolysis
Elektrolyytti	Electrolyte
Sähkömagneettinen säteily	Electromagnetic radiation
Sähkömagneettinen spektri	Electromagnetic spectrum
Sähkömagnetismi	Electromagnetism
Luokka:Sähkömagnetismi	Electromagnetism
Elektroni	Electron
Elektronimikroskooppi	Electron microscope
Elektronegatiivisuus	Electronegativity
Elektroniikka	Electronics
Luokka:Elektroniikka	Electronics
Elegia	Elegy
Elementti	Element
Alkeishiukkanen	Elementary particle
Norsut	Elephant
Hissi	Elevator
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elia (profeetta)	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipsi	Ellipse
Kolme pistettä	Ellipsis
Jalavat	Elm
Elvis Presley	Elvis Presley
Alkio	Embryo
Embryologia	Embryology
Smaragdi	Emerald
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emiiri	Emir
Emma Goldman	Emma Goldman
Hymiö	Emoticon
Tunne	Emotion
Empatia	Empathy
Empedokles	Empedocles
Keisari	Emperor
Keisaripingviini	Emperor Penguin
Empire State Building	Empire State Building
Empirismi	Empiricism
Emu	Emu
Emulaattori	Emulator
Emulsio	Emulsion
Tietosanakirja	Encyclopedia
Kotoperäisyys	Endemism
Umpieritysjärjestelmä	Endocrine system
Luokka:Endokrinologia	Endocrinology
Energia	Energy
Luokka:Energia	Energy
Energia	Energy (society)
Moottori	Engine
Insinööri	Engineer
Tekniikka	Engineering
Englanti	England
Luokka:Englanti	England
Englannin kanaali	English Channel
Englannin sisällissota	English Civil War
Englannin kieli	English language
Luokka:Englannin kieli	English language
Luokka:Englantilaiset henkilöt	English people
Englantilaiset	English people
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Luokka:Viihde	Entertainment
Entalpia	Enthalpy
Entomologia	Entomology
Luokka:Entomologia	Entomology
Entropia	Entropy
Luokka:Ympäristö	Environment
Ympäristö	Environment
Entsyymi	Enzyme
Eoseenikausi	Eocene
Eoni	Eon (geology)
Eos	Eos
Efesos	Ephesus
Epiikka	Epic poetry
Episentrumi	Epicenter
Epiktetos	Epictetus
Epikuros	Epicurus
Epidemia	Epidemic
Epidemiologia	Epidemiology
Epigrafiikka	Epigraphy
Epilepsia	Epilepsy
Epimetheus	Epimetheus (mythology)
Adrenaliini	Epinephrine
Loppiainen	Epiphany (Christian)
Epeiros	Epirus (periphery)
Tietoteoria	Epistemology
Kirje galatalaisille	Epistle to the Galatians
Kirje roomalaisille	Epistle to the Romans
Epiteelikudos	Epithelium
Epsilon	Epsilon
Yhtälö	Equation
Päiväntasaaja	Equator
Päiväntasaajan Guinea	Equatorial Guinea
Luokka:Päiväntasaajan Guinea	Equatorial Guinea
Hevoseläimet	Equidae
Päiväntasaus	Equinox
Kortteet	Equisetum
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebos	Erebus
Erektiohäiriö	Erectile dysfunction
Erektio	Erection
Kanervakasvit	Ericaceae
Ericales	Ericales
Eridanus	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (plutoidi)	Eris (dwarf planet)
Eris	Eris (mythology)
Luokka:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Werner von Siemens	Ernst Werner von Siemens
Eros	Eros (mythology)
Eroosio	Erosion
Erotiikka	Erotica
Erwin Rommel	Erwin Rommel
Pakonopeus	Escape velocity
Eskatologia	Eschatology
Escherichia coli	Escherichia coli
Isfahan	Esfahan
Ruokatorvi	Esophagus
Esperanto	Esperanto
Luokka:Esperanto	Esperanto
Vakoilu	Espionage
Espoo	Espoo
Espresso	Espresso
Essee	Essay
Essen	Essen
Eteerinen öljy	Essential oil
Essex	Essex
Esteri	Ester
Luokka:Viro	Estonia
Estrogeeni	Estrogen
Eeta	Eta (letter)
Etsaus (taidegrafiikka)	Etching
Etaani	Ethane
Etanoli	Ethanol
Eetteri	Ether
Ethernet	Ethernet
Etiikka	Ethics
Luokka:Etiikka	Ethics
Etiopia	Ethiopia
Luokka:Etiopia	Ethiopia
Etninen ryhmä	Ethnic group
Etnografia	Ethnography
Luokka:Kansatiede	Ethnology
Etologia	Ethology
Eteeni	Ethylene
Etymologia	Etymology
Eukalyptukset	Eucalyptus
Ehtoollinen	Eucharist
Eukleides	Euclid
Euklidinen geometria	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Aitotumaiset	Eukaryote
Eunukki	Eunuch
Kiertoilmaus	Euphemism
Eufrat	Euphrates
Euraasia	Eurasia
Mäyrä	Eurasian Badger
Euripides	Euripides
Euro	Euro
Europa (kuu)	Europa (moon)
Europa (mytologia)	Europa (mythology)
Eurooppa	Europe
Luokka:Eurooppa	Europe
Euroopan keskuspankki	European Central Bank
Euroopan yhteisö	European Community
Harakka	European Magpie
Euroopan unioni	European Union
Luokka:Euroopan unioni	European Union
Europium	Europium
Eusebios Kesarealainen	Eusebius of Caesarea
Euterpe	Euterpe
Eutanasia	Euthanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Haihtuminen	Evaporation
Sorkkaeläimet	Even-toed ungulate
Evoluutio	Evolution
Excalibur	Excalibur
Vaihtokurssi	Exchange rate
Huutomerkki	Exclamation mark
Ekskommunikaatio	Excommunication
Ekshibitionismi	Exhibitionism
Eksistentialismi	Existentialism
Toinen Mooseksen kirja	Exodus
Odotusarvo	Expected value
Koe	Experiment
Räjähdys	Explosion
Maailmannäyttely	Expo (exhibition)
Eksponenttifunktio	Exponential function
Potenssi	Exponentiation
Ekspressionismi	Expressionism
Sukupuutto	Extinction
Silmä	Eye
Luokka:Silmät	Eye
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Hernekasvit	Fabaceae
Faabeli	Fable
Kasvot	Face
Malline:Lähde	Fact
Kertoma	Factorial
Tehdas	Factory
Auringonpilkku	Facula
Fado	Fado
Luokka:Pyökkikasvit	Fagaceae
Pyökkimäiset	Fagales
Fahrenheit-asteikko	Fahrenheit
Keijukainen	Fairy
Satu	Fairy tale
Falklandinsaaret	Falkland Islands
Argumentointivirhe	Fallacy
Munanjohdin	Fallopian tube
Kuusipeura	Fallow Deer
Falun Gong	Falun Gong
Luokka:Perhe	Family
Sukututkimus	Family history
Sukunimi	Family name
Fantasiakirjallisuus	Fantasy
Faradi	Farad
Luokka:Färsaaret	Faroe Islands
Fasismi	Fascism
Luokka:Muoti	Fashion
Muoti	Fashion
Pikaruoka	Fast food
Paasto	Fasting
Fatah	Fatah
Rasvahappo	Fatty acid
Lohkoliikunnot	Fault (geology)
Fauvismi	Fauvism
Faksi	Fax
Pelko	Fear
Höyhen	Feather
Helmikuu	February
12. helmikuuta	February 12
14. helmikuuta	February 14
2. helmikuuta	February 2
22. helmikuuta	February 22
29. helmikuuta	February 29
Helmikuun vallankumous	February Revolution
Uloste	Feces
FBI	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve System
Mikronesian liittovaltio	Federated States of Micronesia
Luokka:Mikronesian liittovaltio	Federated States of Micronesia
Liittovaltio	Federation
Federico Fellini	Federico Fellini
Fedora (Linux-jakelu)	Fedora (Linux distribution)
Takaisinkytkentä	Feedback
Maasälpä	Feldspar
Kissaeläimet	Felidae
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Feminismi	Feminism
Luokka:Feminismi	Feminism
Miekkailu	Fencing
Fengshui	Feng shui
Fenkoli	Fennel
Fenris	Fenrir
Rohtosarviapila	Fenugreek
Ferdinand II	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Käyminen	Fermentation (biochemistry)
Käyminen	Fermentation (food)
Fermioni	Fermion
Fermium	Fermium
Saniaiset	Fern
Ferrara	Ferrara
Autolautta	Ferry
Hedelmällinen puolikuu	Fertile Crescent
Hedelmöitys	Fertilisation
Lannoite	Fertilizer
Sikiö	Fetus
Feodalismi	Feudalism
Kuume	Fever
Fiat	Fiat
Fibonaccin lukujono	Fibonacci number
Kuvitteellinen hahmo	Fictional character
Fidel Castro	Fidel Castro
Kunta (matematiikka)	Field (mathematics)
Maahockey	Field hockey
Hävittäjä (lentokone)	Fighter aircraft
Taitoluistelu	Figure skating
Fidži	Fiji
Luokka:Fidži	Fiji
FAT	File Allocation Table
FTP	File Transfer Protocol
Tiedostojärjestelmä	File system
Filippo Brunelleschi	Filippo Brunelleschi
Luokka:Elokuvataide	Film
Elokuva	Film
Teemasivu:Elokuva	Film
Elokuvaohjaaja	Film director
Sillivalas	Fin Whale
Luokka:Rahoitus	Finance
Rahoitus	Finance
Sormi	Finger
Sormenjälki	Fingerprint
Suomi	Finland
Luokka:Suomi	Finland
Pihdat	Fir
Tuli	Fire
Tuliase	Firearm
Palokunta	Firefighter
Palomuuri	Firewall (networking)
Firmware	Firmware
Konstantinopolin ensimmäinen kirkolliskokous	First Council of Constantinople
Nikean ensimmäinen kirkolliskokous	First Council of Nicaea
Ensimmäinen ristiretki	First Crusade
Ensimmäinen kirje korinttilaisille	First Epistle to the Corinthians
Ensiapu	First aid
Äidinkieli	First language
Kala	Fish
Luokka:Kalat	Fish
Kalastus	Fishing
Luokka:Kalastus	Fishing
Vuono	Fjord
Lippu	Flag
Siima	Flagellum
Flamenco	Flamenco
Flamingot	Flamingo
Flanderi	Flanders
Flash-muisti	Flash memory
Pieru	Flatulence
Laakamadot	Flatworm
Kirput	Flea
Flaamin kieli	Flemish (linguistics)
Piikivi	Flint
Kiikku (tietokonetekniikka)	Flip-flop (electronics)
Tulva	Flood
Levyke	Floppy disk
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Luokka:Florida	Florida
Jauhot	Flour
Kukka	Flower
Koppisiemeniset	Flowering plant
Fluidi	Fluid
Virtausmekaniikka	Fluid mechanics
Fluoriitti	Fluorite
Huilu	Flute
Kaksisiipiset	Fly
Sumu	Fog
Foolihappo	Folic acid
Kansanmusiikki	Folk music
Kansanperinne	Folklore
Luokka:Kansanperinne	Folklore
Ravinto	Food
Lisäaine	Food additive
Yhdistyneiden kansakuntien elintarvike- ja maatalousjärjestö	Food and Agriculture Organization
Ravintoketju	Food chain
Jalkaterä	Foot
Jalka (mittayksikkö)	Foot (unit of length)
Jalkapallo	Football (soccer)
Luokka:Jalkapallo	Football (soccer)
Luokka:Jalkapallo maittain	Football (soccer) by country
Luokka:Jalkapalloseurat	Football (soccer) clubs
Luokka:Jalkapallovalmentajat	Football (soccer) managers
Luokka:Jalkapalloilijat	Football (soccer) players
Luokka:Jalkapallostadionit	Football (soccer) venues
Kielletty kaupunki	Forbidden City
Voima (fysiikka)	Force
Metsä	Forest
Metsätalous	Forestry
Haarukka	Fork
Valtiomuoto	Form of government
Formaldehydi	Formaldehyde
Muurahaishappo	Formic acid
Sulatusuuni	Fornax
Fort Worth	Fort Worth
Fortran	Fortran
Fossiili	Fossil
Fossiilinen polttoaine	Fossil fuel
Foucault'n heiluri	Foucault pendulum
Suihkulähde	Fountain
Fourier'n sarja	Fourier series
Neljäs ristiretki	Fourth Crusade
Fraktaali	Fractal
Ranska	France
Luokka:Ranska	France
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Frans I (Itävalta)	Francis II
Francis Poulenc	Francis Poulenc
Franciscus Assisilainen	Francis of Assisi
Fransiskaanit	Franciscan
Francisco Franco	Francisco Franco
Francisco de Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Frankium	Francium
Ranskan–Preussin sota	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt am Main	Frankfurt
Luokka:Frankfurt am Main	Frankfurt
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Fredrik I Barbarossa	Frederick I
Fredrik II (keisari)	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Free State
Vapaa tahto	Free will
Vapaus	Freedom (philosophy)
Sananvapaus	Freedom of speech
Vapaamuurarit	Freemasonry
Freetown	Freetown
Ilmaisohjelma	Freeware
Ranskan Polynesia	French Polynesia
Luokka:Ranskan Polynesia	French Polynesia
Ranskan suuri vallankumous	French Revolution
Luokka:Ranskan suuri vallankumous	French Revolution
Ranskan frangi	French franc
Luokka:Ranskalaiset henkilöt	French people
Taajuus	Frequency
Fresko	Fresco
Makea vesi	Freshwater
Fresno	Fresno
Freija	Freyja
Freyr	Freyr
Kitka	Friction
Perjantai	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friisinmaa	Friesland
Fregatti	Frigate
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Sammakot	Frog
Hedelmäsokeri	Fructose
Hedelmä	Fruit
Luokka:Hedelmät	Fruit
Fucking	Fucking
Polttoaine	Fuel
Polttokenno	Fuel cell
Fuuga	Fugue
Fukuoka	Fukuoka
Täysikuu	Full moon
Funafuti	Funafuti
Funktio	Function (mathematics)
Luokka:Pääluokat	Fundamental
Perusvuorovaikutus	Fundamental interaction
Fundamentalismi	Fundamentalism
Luokka:Sienet	Fungi
Sienet	Fungus
Funikulaari	Funicular
Funk	Funk
Luokka:Huonekalut	Furniture
Huonekalu	Furniture
Tulevaisuus	Future
Futurismi	Futurism (art)
Sumea logiikka	Fuzzy logic
Fjodor Dostojevski	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Luokka:Gabon	Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia	Gaia (mythology)
Galatia	Galatia
Galaksi	Galaxy
Galenos	Galen
Lyijyhohde	Galena
Galitsia	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galilea	Galilee
Galileo (luotain)	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Sappirakko	Gallbladder
Kanalinnut	Galliformes
Luokka:Kanalinnut	Galliformes
Gallium	Gallium
Gallona	Gallon
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Uhkapeli	Gambling
Peli	Game
Peliteoria	Game theory
Gamma	Gamma
Gammasäteily	Gamma ray
Ganesha	Ganesha
Ganges	Ganges
Gəncə	Ganja
Gansu	Gansu
Ganymedes (mytologia)	Ganymede
Ganymedes	Ganymede (moon)
Puutarha	Garden
Eedenin puutarha	Garden of Eden
Puutarhanhoito	Gardening
Karvinen	Garfield
Gargoili	Gargoyle
Valkosipuli	Garlic
Granaatti	Garnet
Garonne	Garonne
Kaasu	Gas
Kaasuvakio	Gas constant
Jättiläisplaneetta	Gas giant
Bensiini	Gasoline
Ruoansulatuskanava	Gastrointestinal tract
Kotilot	Gastropoda
Gallia	Gaul
Siddhartha Gautama	Gautama Buddha
Gaza (kaupunki)	Gaza
Gazan kaista	Gaza Strip
Hammaspyörä	Gear
Geb	Geb
Geisha	Geisha
Kaksoset (tähdistö)	Gemini (constellation)
Jalokivi	Gemstone
Geeni	Gene
Sukututkimus	Genealogy
Luokka:Sukututkimus	Genealogy
GATT	General Agreement on Tariffs and Trade
Kenraali	General Officer
Yleinen suhteellisuusteoria	General relativity
Ensimmäinen Mooseksen kirja	Genesis
Geneettinen koodi	Genetic code
Geenitekniikka	Genetic engineering
Perinnöllisyystiede	Genetics
Luokka:Perinnöllisyystiede	Genetics
Geneve	Geneva
Džinni	Genie
Genetiivi	Genitive case
Genova	Genoa
Kansanmurha	Genocide
Luokka:Kansanmurhat	Genocide
Genomi	Genome
Genotyyppi	Genotype
Suku (biologia)	Genus
Geokemia	Geochemistry
Geodesia	Geodesy
Luokka:Geodesia	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Maantiede	Geography
Luokka:Maantiede	Geography
Teemasivu:Maantiede	Geography
Luokka:Geologia	Geology
Geologia	Geology
Geometrinen sarja	Geometric progression
Geometria	Geometry
Luokka:Geometria	Geometry
Geomorfologia	Geomorphology
Luokka:Geomorfologia	Geomorphology
Geofysiikka	Geophysics
Luokka:Geofysiikka	Geophysics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown (Guyana)	Georgetown
Georgia (osavaltio)	Georgia (U.S. state)
Luokka:Georgia (osavaltio)	Georgia (U.S. state)
Georgia	Georgia (country)
Luokka:Georgia	Georgia (country)
Gerald Ford	Gerald Ford
Saksanpaimenkoira	German Shepherd Dog
Saksan kieli	German language
Saksan markka	German mark
Germanium	Germanium
Saksa	Germany
Luokka:Saksa	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Geysir	Geyser
Ghana	Ghana
Luokka:Ghana	Ghana
Gent	Ghent
Ghetto	Ghetto
Kummitus	Ghost
Giacomo Puccini	Giacomo Puccini
Isopanda	Giant Panda
Gibbonit	Gibbon
Gibraltar	Gibraltar
Luokka:Gibraltar	Gibraltar
Gilgameš	Gilgamesh
Inkivääri	Ginger
Neidonhiuspuut	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Kirahvi	Giraffe
Kirahvieläimet	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Jäätikkö	Glacier
Gladiaattori	Gladiator
Rauhanen	Gland
Glasgow	Glasgow
Glasnost	Glasnost
Lasi	Glass
Silmälasit	Glasses
Purjelentokone	Glider
GPS	Global Positioning System
Ilmaston lämpeneminen	Global warming
Globalisaatio	Globalization
Latva-artisokka	Globe artichoke
Gloucestershire	Gloucestershire
Glukagoni	Glucagon
Glukoosi	Glucose
Gluoni	Gluon
Glutamiinihappo	Glutamic acid
Glyseroli	Glycerol
Glysiini	Glycine
Glykogeeni	Glycogen
Glykolyysi	Glycolysis
Gneissi	Gneiss
Gnostilaisuus	Gnosticism
Go	Go (board game)
Goa	Goa
Maalivahti	Goalkeeper
Vuohi	Goat
Gobi	Gobi Desert
Jumala	God
Golanin kukkulat	Golan Heights
Kulta	Gold
Golda Meir	Golda Meir
Maakotka	Golden Eagle
Golden Gate Bridge	Golden Gate Bridge
Kultainen orda	Golden Horde
Kultainennoutaja	Golden Retriever
Golf	Golf
Luokka:Golf	Golf
Golgin laite	Golgi apparatus
Homel	Gomel
Pitkäperjantai	Good Friday
Google	Google
Luokka:Google	Google
Googol	Googol
Gorgot	Gorgon
Gorilla	Gorilla
Kanahaukka	Goshawk
Evankeliumi Luukkaan mukaan	Gospel of Luke
Göteborg	Gothenburg
Gotiikka	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Kihti	Gout
Hallinto	Government
Grace Kelly	Grace Kelly
Gradientti	Gradient
Graffiti	Graffiti
