Piedmontese	English
Djibouti (sità)	Djibouti (city)
Dmitrij Šostakovič	Dmitri Shostakovich
Dodoma	Dodoma
Doha	Doha
Domini (tassonomìa)	Domain (biology)
Dominica	Dominica
Categorìa:Dominica	Dominica
Repùblica Dominican-a	Dominican Republic
Categorìa:Repùblica Dominican-a	Dominican Republic
Doris Lessing	Doris Lessing
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dresda	Dresden
Dubai	Dubai
Dublin	Dublin
Dušanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Timor Est	East Timor
Ecuador	Ecuador
Categorìa:Ecuador	Ecuador
Edimborgh	Edinburgh
Edmund Hillary	Edmund Hillary
Egit	Egypt
Categorìa:Egit	Egypt
Tor Eiffel	Eiffel Tower
El Salvador	El Salvador
Categorìa:El Salvador	El Salvador
Emilia-Romagna	Emilia-Romagna
Empédocle	Empedocles
Anghiltèra	England
Categorìa:Anghiltèra	England
Lenga anglèisa	English language
Enrico Fermi	Enrico Fermi
Epicur	Epicurus
Guinea Equatorial	Equatorial Guinea
Eratòstene	Eratosthenes
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Ernest Hemingway	Ernest Hemingway
Etiòpia	Ethiopia
Uclid	Euclid
Euro	Euro
Euròpa	Europe
Categorìa:Euròpa	Europe
Union Europenga	European Union
Evangelista Torricelli	Evangelista Torricelli
Fërvé	February
Fërara	Ferrara
FIAT	Fiat
Sequensa ëd Fibonacci	Fibonacci number
Figi	Fiji
Categorìa:Figi	Fiji
Finlandia	Finland
Firense	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Fransa	France
Categorìa:Fransa	France
Francis Bacon	Francis Bacon
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Franchfort sël Men	Frankfurt
Franz Kafka	Franz Kafka
Federich II	Frederick II
Freetown	Freetown
Friul-Venessia Giulia	Friuli-Venezia Giulia
Funafuti	Funafuti
Fëdor Dostoevskij	Fyodor Dostoevsky
Gabòn	Gabon
Gaborone	Gaborone
Galen	Galen
Galissia	Galicia (Spain)
Galileo Galilei	Galileo Galilei
Génoa	Genoa
Geometrìa	Geometry
Geopolìtica	Geopolitics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Boole	George Boole
Georg Friedrich Händel	George Frideric Handel
George Orwell	George Orwell
Georges Simenon	Georges Simenon
Georgetown (Gujan-a)	Georgetown
Georgia (USA)	Georgia (U.S. state)
Geòrgia	Georgia (country)
Gerald Ford	Gerald Ford
Lenga tedësca	German language
Gërmania	Germany
Ghana	Ghana
Giacomo Puccini	Giacomo Puccini
Gibiltèra	Gibraltar
Giovanni Boccaccio	Giovanni Boccaccio
Giuseppe Verdi	Giuseppe Verdi
Mondialisassion	Globalization
Gòlf	Golf
Graham Greene	Graham Greene
Grecia	Greece
Groenlandia	Greenland
Categorìa:Grenada	Grenada
Strop	Group (mathematics)
Categorìa:Guatemala	Guatemala
Sità ëd Guatemala	Guatemala City
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Gustav Klimt	Gustav Klimt
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Haiti	Haiti
Categorìa:Haiti	Haiti
Hanoi	Hanoi
Hans Christian Andersen	Hans Christian Andersen
Harare	Harare
Àuta Normandìa	Haute-Normandie
L'Avan-a	Havana
Hawaii	Hawaii
Heinrich Himmler	Heinrich Himmler
Helsinki	Helsinki
Henri Bergson	Henri Bergson
Henry Ford	Henry Ford
Efest	Hephaestus
Assia	Hesse
Hirohito	Hirohito
Omossessualità	Homosexuality
Honduras	Honduras
Categorìa:Honduras	Honduras
Ungherìa	Hungary
Ian Fleming	Ian Fleming
Islanda	Iceland
Idaho	Idaho
Illinois	Illinois
Immanuel Kant	Immanuel Kant
India	India
Indian-a	Indiana
Indonesia	Indonesia
Ingmar Bergman	Ingmar Bergman
Iowa	Iowa
Iran	Iran
Irak	Iraq
Irlanda (ìsola)	Ireland
Isaac Newton	Isaac Newton
Islamabad	Islamabad
Israel	Israel
Italo Calvino	Italo Calvino
Italia	Italy
Categorìa:Italia	Italy
Jack London	Jack London
Giacarta	Jakarta
Giamàica	Jamaica
Categorìa:Giamàica	Jamaica
Jane Austen	Jane Austen
Gené	January
Giapon	Japan
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jeremy Bentham	Jeremy Bentham
Gesù ëd Nàsaret	Jesus
Jimmy Carter	Jimmy Carter
Johann Bernoulli	Johann Bernoulli
Johannes Kepler	Johannes Kepler
John Herschel	John Herschel
John Stuart Mill	John Stuart Mill
John von Neumann	John von Neumann
Giordania	Jordan
Joseph Haydn	Joseph Haydn
Josif Stalin	Joseph Stalin
Jules Verne	Jules Verne
24 ëd giugn	June 24
Kabul	Kabul
Kampala	Kampala
Kansas	Kansas
Karl Popper	Karl Popper
Kathmandu	Kathmandu
Kaunas	Kaunas
Kazakistan	Kazakhstan
Categorìa:Kazakistan	Kazakhstan
Kentucky	Kentucky
Kenya	Kenya
Khartoum	Khartoum
Kijv	Kiev
Kigali	Kigali
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kolkata	Kolkata
Kosovo	Kosovo
Kuala Lumpur	Kuala Lumpur
Fassa ëd Kuiper	Kuiper belt
Kurt Vonnegut	Kurt Vonnegut
Kuwait	Kuwait
Sità dël Kuwait	Kuwait City
Kirghizistan	Kyrgyzstan
L'Àquila	L'Aquila
La Paz	La Paz
La Spessia	La Spezia
Lagos	Lagos
Lagh Leman	Lake Geneva
Làos	Laos
Categorìa:Làos	Laos
Letònia	Latvia
Lassio	Lazio
Le Corbusier	Le Corbusier
Lìban	Lebanon
Lipsia	Leipzig
Lev Davidovič Trockij	Leon Trotsky
Leonard da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Lesotho	Lesotho
Lewis Carroll	Lewis Carroll
Liberia	Liberia
Libreville	Libreville
Libia	Libya
Liechtenstein	Liechtenstein
Categorìa:Liechtenstein	Liechtenstein
Liguria	Liguria
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Àlgebra linear	Linear algebra
Categorìa:Lenghìstica	Linguistics
Lisbon-a	Lisbon
Lise Meitner	Lise Meitner
Categorìa:Literatura	Literature
Lituania	Lithuania
Categorìa:Lituania	Lithuania
Lubian-a	Ljubljana
Lombardìa	Lombardy
Londra	London
Categorìa:Londra	London
Luisian-a	Louisiana
Bassa Sassònia	Lower Saxony
Luanda	Luanda
Luciano Pavarotti	Luciano Pavarotti
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lusaka	Lusaka
Lussemborgh	Luxembourg
Lussemborgh (sità)	Luxembourg (city)
Madagascar	Madagascar
Madrid	Madrid
Comunità ëd Madrid	Madrid (autonomous community)
Maine	Maine
Malabo	Malabo
Malaysia	Malaysia
Maldive	Maldives
Mali	Mali
Categorìa:Mali	Mali
Malta	Malta
Managua	Managua
Manama	Manama
Manila	Manila
Manitòba	Manitoba
Màntoa	Mantua
Maputo	Maputo
Marche	Marche
Maria Callas	Maria Callas
Marsèja	Marseille
Pian Marshall	Marshall Plan
Martin Heidegger	Martin Heidegger
Martin Scorsese	Martin Scorsese
Martinica	Martinique
Maryland	Maryland
Maseru	Maseru
Massachusetts	Massachusetts
Matemàtica	Mathematics
Categorìa:Matemàtica	Mathematics
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauritius	Mauritius
Mbabane	Mbabane
Meryl Streep	Meryl Streep
Messin-a	Messina
Méssich	Mexico
Sità dël Méssich	Mexico City
Michigan	Michigan
Miguel de Cervantes	Miguel de Cervantes
Milan	Milan
Minnesota	Minnesota
Minsk	Minsk
Missouri	Missouri
Mogadiss	Mogadishu
Moldavia	Moldova
Molise	Molise
Prinsipà ëd Mònaco	Monaco
Lùn-es	Monday
Mongòlia	Mongolia
Categorìa:Mongòlia	Mongolia
Monrovia	Monrovia
Montan-a	Montana
Montnèigr	Montenegro
Montevideo	Montevideo
Montserrat (Caràib)	Montserrat
Maròch	Morocco
Mosca	Moscow
Everest	Mount Everest
Mosambich	Mozambique
Mascate	Muscat
N'Djamena	N'Djamena
Nairòbi	Nairobi
Namibia	Namibia
Nàpoli	Naples
Nassau	Nassau
Nauru	Nauru
Categorìa:Nauru	Nauru
Nebraska	Nebraska
Nelson Mandela	Nelson Mandela
Nepal	Nepal
Pais Bass	Netherlands
Antile Olandèise	Netherlands Antilles
Nevada	Nevada
New Brunswick	New Brunswick
New Delhi	New Delhi
New Hampshire	New Hampshire
New Jersey	New Jersey
Neuv Méssich	New Mexico
New York (stat federal)	New York
New York	New York City
Teraneuva e Labrador	Newfoundland and Labrador
Niamey	Niamey
Nicaragua	Nicaragua
Categorìa:Nicaragua	Nicaragua
Nissa Marìtima	Nice
Nicolas Poussin	Nicolas Poussin
Nicosìa	Nicosia
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Nìger	Niger
Nigeria	Nigeria
Categorìa:Premi Nobel	Nobel Prize
Carolin-a dël Nòrd	North Carolina
Dakota dël Nòrd	North Dakota
Coréa dël Nòrd	North Korea
Irlanda dël Nòrd	Northern Ireland
Categorìa:Irlanda dël Nòrd	Northern Ireland
Teritòri dël Nòrd-Òvest	Northwest Territories
Norvegia	Norway
Nouakchott	Nouakchott
Neuva Scòssia	Nova Scotia
Romanz (literatura)	Novel
Nunavut	Nunavut
Oakland	Oakland
Oaxaca	Oaxaca
Ohio	Ohio
Oklahoma	Oklahoma
Gieugh olìmpich modern	Olympic Games
Oman	Oman
Ontario	Ontario
Oregon	Oregon
Oscar Wilde	Oscar Wilde
Òslo	Oslo
Ottawa	Ottawa
Pablo Neruda	Pablo Neruda
Pàdoa	Padua
Pakistan	Pakistan
Palau (repùblica)	Palau
Categorìa:Palau	Palau
Palerm	Palermo
Palestin-a (ANP)	Palestinian National Authority
Panamà	Panama
Categorìa:Panamà	Panama
Sità ëd Panamà	Panama City
Papua Neuva Guinea	Papua New Guinea
Categorìa:Papua Neuva Guinea	Papua New Guinea
Paraguay	Paraguay
Categorìa:Paraguay	Paraguay
Paramaribo	Paramaribo
Paris	Paris
Categorìa:Paris	Paris
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul Verlaine	Paul Verlaine
Quercus robur	Pedunculate Oak
Pennsylvania	Pennsylvania
Categorìa:Biografìe	People
Cin-a	People's Republic of China
Perù	Peru
Categorìa:Perù	Peru
Francesco Petrarca	Petrarch
Filadelfia (Pennsylvania)	Philadelphia
Filipin-e	Philippines
Filologìa	Philology
Phnom Penh	Phnom Penh
Fìsica	Physics
Piemont	Piedmont
Pierre de Fermat	Pierre de Fermat
Pisa	Pisa
Platon	Plato
Pleven	Pleven
Pò	Po River
Polònia	Poland
Categorìa:Polònia	Poland
Port Luis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portugal	Portugal
Categorìa:Portugal	Portugal
Francobol	Postage stamp
Potsdam	Potsdam
Praga	Prague
Praia	Praia
Preistòria	Prehistory
Pretoria	Pretoria
Ìsola dël Prinsi Edoard	Prince Edward Island
Pyongyang	Pyongyang
Pitàgora	Pythagoras
Qatar	Qatar
Québec	Quebec
Quito	Quito
Rabat	Rabat
Rabindranath Tagore	Rabindranath Tagore
Pieuva	Rain
Ravënna	Ravenna
Nùmer real	Real number
Religion	Religion
Taiwan	Republic of China
Còngo	Republic of the Congo
Rhode Island	Rhode Island
Richard Feynman	Richard Feynman
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (stat federal)	Rio de Janeiro (state)
Riyadh	Riyadh
Imperi Roman	Roman Empire
Romanìa	Romania
Roma	Rome
Categorìa:Roma	Rome
Rosario	Rosario
Roseau	Roseau
Rudyard Kipling	Rudyard Kipling
Rugby	Rugby football
Federassion Russa	Russia
Categorìa:Federassion Russa	Russia
Ruanda	Rwanda
Saint Kitts e Nevis	Saint Kitts and Nevis
Categorìa:Saint Kitts e Nevis	Saint Kitts and Nevis
Santa Lussìa	Saint Lucia
Categorìa:Santa Lussìa	Saint Lucia
San Martin (Antile)	Saint Martin
San Peroborgh	Saint Petersburg
San Vincens e Grenadin-e	Saint Vincent and the Grenadines
Categorìa:San Vincens e Grenadin-e	Saint Vincent and the Grenadines
Salern	Salerno
Samoa	Samoa
Categorìa:Samoa	Samoa
Repùblica ëd San Marin	San Marino
Sità ëd San Marin	San Marino
San Salvador	San Salvador
Santiago dël Cile	Santiago
Santo Domingo	Santo Domingo
Safo	Sappho
Sarajevo	Sarajevo
Sardëgna	Sardinia
Saskatchewan	Saskatchewan
Arabia Saodita	Saudi Arabia
Categorìa:Arabia Saodita	Saudi Arabia
Sassònia	Saxony
Siensa	Science
Scòssia	Scotland
Categorìa:Scòssia	Scotland
Pinus sylvestris	Scots Pine
Senegal	Senegal
Seoul	Seoul
Serbia	Serbia
Categorìa:Serbia	Serbia
Teorìa dj'ansem	Set theory
Seychelles	Seychelles
Sicilia	Sicily
Categorìa:Sicilia	Sicily
Sierra Leone	Sierra Leone
Singapor	Singapore
Skopje	Skopje
Slovachia	Slovakia
Slovenia	Slovenia
Fiòca	Snow
Sòcrate	Socrates
Sòfia	Sofia
Sistema solar	Solar System
Categorìa:Sistema solar	Solar System
Somalia	Somalia
Categorìa:América meridional	South America
Carolin-a dël Sud	South Carolina
Dakota dël Sud	South Dakota
Coréa dël Sud	South Korea
Spagna	Spain
Sri Lanka	Sri Lanka
Stanley Kubrick	Stanley Kubrick
Categorìa:Statìstica	Statistics
Stocòlma	Stockholm
Età dla pera	Stone Age
Sucre	Sucre
Sudan	Sudan
Suriname	Suriname
Categorìa:Suriname	Suriname
Suva	Suva
Swaziland	Swaziland
Svessia	Sweden
Svìssera	Switzerland
Categorìa:Svìssera	Switzerland
Siracusa	Syracuse
Siria	Syria
Sistemàtica	Systematics
Taipei	Taipei
Tagikistan	Tajikistan
Tallin	Tallinn
Tanzanìa	Tanzania
Tashkent	Tashkent
Taxus baccata	Taxus baccata
Tbilisi	Tbilisi
Tegucigalpa	Tegucigalpa
Teheran	Tehran
Tenessì	Tennessee
Tenzing Norgay	Tenzing Norgay
Texas	Texas
Thailandia	Thailand
Talete	Thales
Gambia	The Gambia
L'Aja	The Hague
Thomas Mann	Thomas Mann
Turingia	Thuringia
Tiran-a	Tirana
Tocantins	Tocantins (state)
Tògo	Togo
Tokyo	Tokyo
Tònga	Tonga
Categorìa:Tònga	Tonga
Tony Blair	Tony Blair
Topeka	Topeka
Gir dla Fransa	Tour de France
Trent	Trento
Trinidad e Tobago	Trinidad and Tobago
Categorìa:Trinidad e Tobago	Trinidad and Tobago
Trìpoli	Tripoli
Màrtes	Tuesday
Tùnis	Tunis
Tunisìa	Tunisia
Turin	Turin
Turkmenistan	Turkmenistan
Toscan-a	Tuscany
Tuvalu	Tuvalu
Categorìa:Tuvalu	Tuvalu
Tycho Brahe	Tycho Brahe
UNESCO	UNESCO
Uganda	Uganda
Ucrain-a	Ukraine
Categorìa:Ucrain-a	Ukraine
Ulaanbaatar	Ulan Bator
Umbria	Umbria
Emirà Àrabo Unì	United Arab Emirates
Regn Unì	United Kingdom
Categorìa:Regn Unì	United Kingdom
Organisassion dle Nassion Unìe	United Nations
Categorìa:Nassion Unìe	United Nations
Stat Unì d'América	United States
Università	University
Uruguay	Uruguay
Categorìa:Uruguay	Uruguay
Utah	Utah
Uzbekistan	Uzbekistan
Categorìa:Uzbekistan	Uzbekistan
Vaduz	Vaduz
La Valëtta	Valletta
Vanuatu	Vanuatu
Categorìa:Vanuatu	Vanuatu
Varna	Varna
Sità dël Vatican	Vatican City
Véneto	Veneto
Venessuela	Venezuela
Venessia	Venice
Vermont	Vermont
Veron-a	Verona
Victor Hugo	Victor Hugo
Victoria (Seychelles)	Victoria
Vien-a	Vienna
Vientiane	Vientiane
Vietnam	Vietnam
Categorìa:Vietnam	Vietnam
Vilnius	Vilnius
Virginia	Virginia
Volgograd	Volgograd
Voltaire	Voltaire
Latin volgar	Vulgar Latin
Gàles	Wales
Categorìa:Gàles	Wales
Varsavia	Warsaw
Washington	Washington
Washington (stat federal)	Washington
Sman-a	Week
Virginia Ossidental	West Virginia
Wiesbaden	Wiesbaden
William Golding	William Golding
William Shakespeare	William Shakespeare
Windhoek	Windhoek
Vin	Wine
Winston Churchill	Winston Churchill
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wyoming	Wyoming
Yemen	Yemen
Erevan	Yerevan
Yukon	Yukon
Zagabria	Zagreb
Zambia	Zambia
Saragòssa	Zaragoza
Zimbabwe	Zimbabwe
