English	Portuguese
Black Death	Peste negra
Black Forest	Floresta Negra
Black Kite	Milhafre-preto
Black Sea	Mar Negro
Black Stork	Cegonha-preta
Black body	Corpo negro
Black hole	Buraco negro
Black pepper	Pimenta preta
Blackbird	Melro-preto
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Cegueira
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Weblog
Blood	Sangue
Blood plasma	Plasma (sangue)
Blood pressure	Pressão sangüínea
Blood type	Grupo sanguíneo
Blood vessel	Vaso sanguíneo
Blue	Azul
Blue Whale	Baleia-azul
Blues	Blues
Boar	Javali
Board game	Jogo de tabuleiro
Boat	Barco
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleigh
Bodhisattva	Bodisatva
Body mass index	Índice de massa corporal
Bodybuilding	Fisiculturismo
Bohemia	Boémia
Bohrium	Bóhrio
Boiling point	Ponto de ebulição
Boise	Boise
Bolivia	Bolívia
Bolivia	Categoria:Bolívia
Bollywood	Bollywood
Bologna	Bolonha
Bolshevik	Bolchevique
Bolzano	Bolzano
Bomb	Bomba
Bomber	Bombardeiro
Bombyx mori	Bicho-da-seda
Bond (finance)	Obrigação (economia)
Bone	Osso
Bone marrow	Medula óssea
Bonn	Bonn
Bonsai	Bonsai
Book	Livro
Book of Esther	Livro de Ester
Book of Joshua	Livro de Josué
Book of Judges	Livro dos Juízes
Book of Mormon	Livro de Mórmon
Book of Numbers	Livro dos Números
Book of Revelation	Apocalipse de São João
Book of Ruth	Livro de Rute
Boolean algebra (structure)	Álgebra booleana
Boomerang	Bumerangue
Bordeaux	Bordéus
Boris Godunov	Boris Godunov da Rússia
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spassky
Borneo	Bornéu
Boron	Boro
Bosnia and Herzegovina	Bósnia-Herzegovina
Bosnia and Herzegovina	Categoria:Bósnia e Herzegovina
Boson	Bóson
Bosporus	Bósforo
Boston	Boston
Boston Tea Party	Festa do Chá de Boston
Bot	Predefinição:Bot
Botanical garden	Jardim botânico
Botany	Botânica
Botany	Categoria:Botânica
Botswana	Botswana
Botswana	Categoria:Botswana
Bottle	Garrafa
Bottlenose Dolphin	Golfinho-comum
Bourgeoisie	Burguesia
Bourgogne	Borgonha
Bouvet Island	Ilha Bouvet
Bovid	Bovídeos
Bow (weapon)	Arco (arma)
Bowling	Boliche
Boxer (dog)	Boxer
Boxers	Categoria:Pugilistas
Boxing	Boxe
Boxing	Categoria:Boxe
Boyle's law	Lei de Boyle-Mariotte
Bracket	Parêntese
Braga	Braga
Brahma	Brama
Brahmaputra River	Rio Bramaputra
Braille	Braille
Brain	Cérebro
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandemburgo
Brandy	Conhaque
Brass	Latão
Brassicaceae	Brassicaceae
Brassiere	Sutiã
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasil
Brazil	Categoria:Brasil
Brazzaville	Brazzaville
Bread	Pão
Breast	Seios
Breast cancer	Câncer de mama
Bremen	Bremen
Bremen (state)	Bremen (Alemanha)
Bremerhaven	Bremerhaven
Brescia	Bréscia
Brest	Brest (França)
Brest	Brest (Bielorrússia)
Brest	Brest
Bretagne	Bretanha
Brick	Tijolo
Bridge	Ponte
Bridges	Categoria:Pontes
Bridgetown	Bridgetown
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol (Inglaterra)
British Columbia	Colúmbia Britânica
British Empire	Império britânico
British Isles	Ilhas Britânicas
British Virgin Islands	Ilhas Virgens Britânicas
British people	Categoria:Britânicos
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Brócolis
Bromine	Bromo
Bronze	Bronze
Bronze Age	Idade do Bronze
Brooklyn	Brooklyn
Brooklyn Bridge	Ponte de Brooklyn
Brown	Marrom
Brown Bear	Urso-pardo
Brownian motion	Movimento browniano
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Brunei	Categoria:Brunei
Brussels	Bruxelas
Bubonic plague	Peste negra
Bucharest	Bucareste
Buckingham Palace	Palácio de Buckingham
Buckminster Fuller	Buckminster Fuller
Buckwheat	Trigo sarraceno
Budapest	Budapeste
Buddha	Buda
Buddhism	Budismo
Buddhism	Categoria:Budismo
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Building	Edifício
Bujumbura	Bujumbura
Bulgaria	Bulgária
Bulgaria	Categoria:Bulgária
Bumblebee	Mamangaba
Buoyancy	Princípio de Arquimedes
Bureaucracy	Burocracia
Burgomaster	Prefeito
Burkina Faso	Burkina Faso
Burkina Faso	Categoria:Burkina Faso
Burma	Myanmar
Burqa	Burca
Bursa	Bursa
Burundi	Categoria:Burundi
Bus	Autocarro
Bus (computing)	Barramento
Business	Negócio
Businesspeople	Categoria:Empresários
Buster Keaton	Buster Keaton
Butane	Butano
Butter	Manteiga
Butterfly	Borboleta
Butterfly effect	Efeito borboleta
Bydgoszcz	Bydgoszcz
Byte	Byte
Byzantine Empire	Categoria:Bizâncio
C	C
C (programming language)	C (linguagem de programação)
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	CD (desambiguação)
CHAOS (Linux distribution)	CHAOS
CN Tower	Torre CN
COBOL	COBOL
Cabaret	Cabaré
Cacao	Cacau
Cache	Cache
Cactus	Cactaceae
Cadmium	Cádmio
Cadmus	Cadmo
Caelum	Caelum
Caesium	Césio
Caffeine	Cafeína
Cairo	Cairo
Cake	Bolo
Calabria	Calábria
Calais	Calais
Calcite	Calcita
Calcium	Cálcio
Calcium carbonate	Carbonato de cálcio
Calcium oxide	Cal
Calculator	Calculadora
Calculus	Cálculo
Caldera	Caldeira vulcânica
Calendar	Calendário
Caliber	Calibre
California	Califórnia
California	Categoria:Califórnia
Californium	Califórnio
Caligula	Calígula
Caliph	Califa
Calligraphy	Caligrafia
Calliope	Calíope
Callisto (moon)	Calisto (satélite)
Callisto (mythology)	Calisto (mitologia)
Calorie	Caloria
Calvados	Calvados
Calvary	Calvário (Gólgota)
Calvin Coolidge	Calvin Coolidge
Calvinism	Calvinismo
Calypso (mythology)	Calipso
Cambodia	Camboja
Cambodia	Categoria:Camboja
Cambrian	Cambriano
Cambridge	Cambridge
Cambridge	Cambridge (Massachusetts)
Cambridge (disambiguation)	Cambridge (desambiguação)
Camel	Camelus
Camembert (cheese)	Camembert
Camera	Câmera
Cameroon	Camarões
Cameroon	Categoria:Camarões
Campania	Campânia
Canada	Canadá
Canada	Categoria:Canadá
Canadian dollar	Dólar canadense
Canal	Canal
Canary Islands	Canárias
Canary Islands	Categoria:Canárias
Canberra	Camberra
Cancer	Cancro (tumor)
Cancer (constellation)	Cancer
Candela	Candela
Candle	Vela (iluminação)
Canidae	Canídeos
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannabis	Cannabis
Cannabis (drug)	Maconha
Cannes	Cannes
Cannibalism	Canibalismo
Cannon	Canhão
Canoe	Canoa
Canon (company)	Canon
Canopus	Canopus
Cantata	Cantata
Canterbury	Cantuária
Cantonese (linguistics)	Cantonês
Canute the Great	Canuto II da Dinamarca
Capacitance	Capacitância
Capacitor	Capacitor
Cape Canaveral	Cabo Canaveral
Cape Horn	Cabo Horn
Cape Town	Cidade do Cabo
Cape Verde	Cabo Verde
Cape Verde	Categoria:Cabo Verde
Cape of Good Hope	Cabo da Boa Esperança
Capital	Capital
Capital (economics)	Capital (economia)
Capital punishment	Pena de morte
Capitalism	Capitalismo
Cappadocia	Capadócia
Capricornus	Capricornus
Capsicum	Capsicum
Caracal	Caracal
Caracas	Caracas
Carambola	Carambola
Carat (mass)	Quilate
Carat (purity)	Quilate
Caravaggio	Caravaggio
Carbohydrate	Carboidrato
Carbon	Carbono
Carbon cycle	Ciclo do carbono
Carbon dioxide	Dióxido de carbono
Carbon monoxide	Monóxido de carbono
Carbonic acid	Ácido carbônico
Carboniferous	Carbonífero
Carboxylic acid	Ácido carboxílico
Carburetor	Carburador
Card game	Jogos de cartas
Cardamom	Cardamomo
Cardiff	Cardiff
Cardinal (Catholicism)	Cardeal
Cardinal Richelieu	Cardeal de Richelieu
Cardiology	Cardiologia
Cardiology	Categoria:Cardiologia
Cardiovascular system	Categoria:Sistema circulatório
Caribbean	Caribe
Caribbean	Categoria:Caribe
Caribbean Sea	Mar do Caribe
Caricature	Caricatura
Carina (constellation)	Carina
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Carnaval
Carnivora	Carnívoros
Carnivorous plant	Planta carnívora
Carolingian dynasty	Dinastia carolíngia
Carolus Linnaeus	Carolus Linnaeus
Carpathian Mountains	Cárpatos
Carrot	Cenoura
Carson City	Carson City
Cartagena	Cartagena (Espanha)
Cartesian coordinate system	Sistema de coordenadas cartesiano
Cartesian product	Produto cartesiano
Carthage	Cartago
Cartography	Cartografia
Cartography	Categoria:Cartografia
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Cashew	Caju
Casino	Casino
Caspian Sea	Mar Cáspio
Cassandra	Cassandra
Cassiopeia (constellation)	Cassiopéia (constelação)
Cast iron	Ferro fundido
Caste	Castas
Castile (historical region)	Região histórica de Castela
Castle	Castelo
Castling	Roque (xadrez)
Castries	Castries
Casus belli	Casus belli
Cat	Gato doméstico
Catalonia	Catalunha
Catalonia	Categoria:Catalunha
Catalysis	Catalisador
Cataphract	Catafractário
Cataract	Catarata
Catfish	Peixe-gato
Catharism	Catarismo
Cathedral	Catedral
Catherine Parr	Catarina Parr
Catherine of Aragon	Catarina de Aragão
Cathode	Cátodo
Catholicism	Catolicismo
Cattle	Gado bovino
Cattle Egret	Garça-vaqueira
Catullus	Catulo
Caucasus	Cáucaso
Caucasus	Categoria:Cáucaso
Caucasus Mountains	Cordilheira do Cáucaso
Cauliflower	Couve-flor
Causality	Causalidade
Cavalry	Cavalaria
Cave	Caverna
Caviar	Caviar
Cayenne	Caiena
Cayman Islands	Ilhas Cayman
Cecil Rhodes	Cecil Rhodes
Cedar	Cedro
Celery	Apium graveolens
Celestial equator	Equador celeste
Celestial mechanics	Categoria:Mecânica celeste
Celestial mechanics	Mecânica celeste
Celestial sphere	Esfera celeste
Celibacy	Celibato
Cell (biology)	Célula
Cell membrane	Membrana plasmática
Cell nucleus	Núcleo celular
Cell wall	Parede celular
Cello	Violoncelo
Cellulose	Celulose
Celsius	Grau Celsius
Cement	Cimento
Cemetery	Cemitério
Cenozoic	Cenozóico
Census	Censo demográfico
Centaur	Centauro
Centaurus	Centaurus
Center of mass	Centro de massa
Centimetre	Centímetro
Central Africa	África Central
Central African Republic	República Centro-Africana
Central African Republic	Categoria:República Centro-Africana
Central America	América Central
Central America	Categoria:América Central
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Impérios Centrais
Central bank	Banco central
Central nervous system	Sistema nervoso central
Central processing unit	Unidade Central de Processamento
Centre	Centro (França)
Centriole	Centríolo
Century	Século
Cephalopod	Cefalópodes
Cepheus (constellation)	Cepheus
Ceramic	Cerâmica
Cerberus	Cérbero
Cereal	Cereal
Cerebellum	Cerebelo
Ceres	Ceres
Ceres (dwarf planet)	Ceres (planeta anão)
Ceres (mythology)	Ceres (mitologia)
Cerium	Cério
Cesare Borgia	César Bórgia
Cestoda	Cestoda
Cetacea	Cetáceos
Cetus	Cetus
Chad	Chade
Chad	Categoria:Chade
Chaffinch	Tentilhão
Chair	Cadeira
Chalcedony	Calcedônia
Chamaeleon	Chamaeleon
Champagne (wine)	Champagne (vinho)
Champagne-Ardenne	Champanha-Ardenas
Channel Tunnel	Eurotúnel
Chaos (mythology)	Caos (mitologia)
Charadriiformes	Charadriiformes
Charlemagne	Carlos Magno
Charleroi	Charleroi
Charles	Carlos, Príncipe de Gales
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Carlos II de França
Charleston	Charleston (Virgínia Ocidental)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Charmed
Charon (moon)	Caronte (satélite)
Charon (mythology)	Caronte
Chartres	Chartres
Chauvinism	Chauvinismo
Che Guevara	Che Guevara
Chechnya	Chechênia
Chechnya	Categoria:Chechênia
Cheese	Queijo
Cheetah	Chita (animal)
Chelyabinsk	Tcheliabinsk
Chemical bond	Ligação química
Chemical compound	Composto químico
Chemical element	Elemento químico
Chemical engineering	Engenharia química
Chemical formula	Fórmula química
Chemical reaction	Reacção química
Chemical warfare	Guerra química
Chemistry	Química
Chemistry	Categoria:Química
Chemistry	Portal:Química
Chemnitz	Chemnitz
Chemotherapy	Quimioterapia
Chennai	Chennai
Cheque	Cheque
Chernobyl	Chernobyl
Cherry	Cerejeira
Chert	Sílex
Cherub	Querubim
Chess	Xadrez
Chess	Categoria:Xadrez
Chess opening	Abertura (xadrez)
Chester A. Arthur	Chester A. Arthur
Chestnut	Castanha
Chewing gum	Chiclete
Cheyenne	Cheyenne (Wyoming)
Chi (letter)	Χ
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Galinha
Chickenpox	Varicela
Chickpea	Grão-de-bico
Chihuahua	Chihuahua (Estado)
Child	Criança
Childbirth	Parto
Chile	Chile
Chile	Categoria:Chile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Quimera
Chimpanzee	Chimpanzé
China	Categoria:China
China	China
Chios	Quíos
Chiron	Quíron
Chitin	Quitina
Chlorine	Cloro
Chloroform	Clorofórmio
Chlorophyll	Clorofila
Chloroplast	Cloroplasto
Chocolate	Chocolate
Choir	Grupo coral
Cholera	Cólera
Cholesterol	Colesterol
Chondrichthyes	Chondrichthyes
Chongqing	Chongqing
Chord (music)	Acorde
Chordate	Cordados
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Cristianismo
Christianity	Categoria:Cristianismo
Christmas	Natal
Christmas	Categoria:Natal
Christmas Eve	Véspera de Natal
Christmas tree	Árvore de Natal
Christopher Columbus	Cristóvão Colombo
Christopher Marlowe	Christopher Marlowe
Chromatin	Cromatina
Chromatography	Cromatografia
Chromium	Crômio
Chromosome	Cromossomo
Chronology	Categoria:Cronologia
Chuck Berry	Chuck Berry
Chukchi Sea	Mar de Chukchi
Church	Igreja
Church of England	Igreja Anglicana
Cicero	Cícero
Ciconiiformes	Ciconiiformes
Cider	Sidra
Cigarette	Cigarro
Cinderella	Cinderela
Cinnabar	Cinábrio
Cinnamon	Cinnamomum zeylanicum
Circe	Circe
Circinus	Circinus
Circle	Círculo
Circulatory system	Sistema circulatório
Circumcision	Circuncisão
Circus	Circo
Cirrhosis	Cirrose hepática
Citizenship	Cidadania
Citric acid	Ácido cítrico
Citric acid cycle	Ciclo de Krebs
Citrus	Citrus
City-state	Cidade-Estado
Civil war	Guerra civil
Civilization	Civilização
Civilization (computer game)	Civilization
Clarinet	Clarinete
Clark Gable	Clark Gable
Class	Classe
Class (biology)	Classe (biologia)
Class (computer science)	Classe (programação)
Classical mechanics	Mecânica clássica
Classical music	Música clássica
Classical music	Categoria:Música erudita
Classicism	Classicismo
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Cláudio
Clavicle	Clavícula
Clay	Argila
Clef	Clave
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Cleópatra (desambiguação)
Clergy	Clero
Cleveland	Cleveland
Client-server	Cliente-servidor
Climate	Clima
Climate	Categoria:Clima
Climate change	Mudança do clima
Climatology	Climatologia
Climatology	Categoria:Climatologia
Clinical depression	Depressão nervosa
Clio	Clio
Clitoris	Clítoris
Clock	Relógio
Clock Tower	Big Ben
Cloning	Clonagem
Clothing	Categoria:Vestuário
Clothing	Roupa
Cloud	Nuvem
Clove	Cravo-da-índia
Clover	Trifolium
Clovis I	Clóvis I
Cnidaria	Cnidários
Coal	Carvão mineral
Coast	Costa (geografia)
Coat of arms	Brasão
Cobalt	Cobalto
Cocaine	Cocaína
Coccinellidae	Joaninha
Cockatoo	Cacatua
Cockroach	Blattaria
Cocktail	Coquetel
Coconut	Coqueiro
Cocos (Keeling) Islands	Ilhas Cocos (Keeling)
Codeine	Codeína
Coffea	Cafeeiro
Coffee	Café
Coffee	Categoria:Café
Cognitive psychology	Psicologia cognitiva
Cognitive science	Ciência cognitiva
Coin	Moeda (peça metálica)
Cola	Bebida de cola
Colchis	Cólquida
Cold War	Guerra Fria
Cold War	Categoria:Guerra Fria
Colin Powell	Colin Powell
Collage	Colagem
Collagen	Colágeno
Colloid	Colóide
Cologne	Colônia (Alemanha)
Colombia	Colômbia
Colombia	Categoria:Colômbia
Colombo	Colombo (Sri Lanka)
Colonel	Coronel
Colony	Colónia (história)
Color	Cor
Color blindness	Daltonismo
Colorado	Colorado
Colorado	Categoria:Colorado
Colorado River	Rio Colorado
Colosseum	Coliseu de Roma
Colossus of Rhodes	Colosso de Rodes
Colubrid	Colubridae
Columba (constellation)	Columba (constelação)
Columbia	Columbia (Carolina do Sul)
Columbia	Columbia
Columbia River	Rio Columbia
Columbia University	Universidade Columbia
Columbidae	Columbidae
Columbiformes	Categoria:Columbiformes
Columbiformes	Columbiformes
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Coma
Coma Berenices	Coma Berenices
Combustion	Combustão
Comedy	Comédia
Comenius	Comenius
Comet	Cometa
Comma (punctuation)	Vírgula
Commedia dell'arte	Commedia dell'Arte
Commerce	Categoria:Comércio
Common Fig	Figo
Common cold	Resfriado
Commonwealth of Independent States	Comunidade dos Estados Independentes
Commonwealth of Nations	Commonwealth
Communication	Categoria:Comunicação
Communication	Comunicação
Communism	Comunismo
Communism	Categoria:Comunismo
Comoros	Comores
Comoros	Categoria:Comores
Compact Disc	CD
Company (military unit)	Companhia (militar)
Compass	Bússola
Compass (drafting)	Compasso (geometria)
Competition	Competição
Compiler	Compilador
Complex instruction set computer	CISC
Complex number	Número complexo
Composer	Compositor
Composite material	Compósito
Computational linguistics	Lingüística computacional
Computed tomography	Tomografia computadorizada
Computer	Computador
Computer architecture	Arquitectura de computadores
Computer display	Monitor de vídeo
Computer file	Arquivo de computador
Computer graphics	Categoria:Computação gráfica
Computer hardware	Hardware
Computer hardware	Categoria:Hardware
Computer network	Rede de computadores
Computer program	Programa de computador
Computer programming	Programação de computadores
Computer programming	Categoria:Programação
Computer science	Ciência da computação
Computer science	Categoria:Ciência da computação
Computer software	Software
Computer virus	Vírus de computador
Computer-aided design	CAD
Computing	Categoria:Ciência da computação
Conakry	Conacri
Concentration	Concentração (química)
Concerto	Concerto
Concord	Concord (Nova Hampshire)
Concrete	Concreto
Condom	Preservativo
Conducting	Maestro
Cone (geometry)	Cone
Confederate States of America	Estados Confederados da América
Confederation	Confederação
Confession	Confissão (sacramento)
Confirmation	Crisma
Conflict	Conflito
Confucianism	Confucionismo
Confucius	Confúcio
Congo	Congo (desambiguação)
Congo River	Rio Congo
Conic section	Cónica
Connecticut	Connecticut
Connecticut	Categoria:Connecticut
Connective tissue	Tecido conjuntivo
Conquistador	Conquistadores
Consensus	Consenso
Conservation of energy	Lei da Conservação de Energia
Conservatism	Conservadorismo
Consonant	Consoante
Constantine I	Constantino I
Constantinople	Constantinopla
Constellation	Constelação
Constitution (political)	Constituição
Consul	Cônsul
Consumption (economics)	Consumo
Contact lens	Lente de contacto
Continent	Continente (geografia)
Continental drift	Deriva continental
Continental shelf	Plataforma continental
Contract	Contrato
Contract bridge	Bridge (jogo de cartas)
Convection	Convecção
Cooking	Culinária
Cooperative	Cooperativismo
Coordinate system	Sistema de coordenadas
Coordinated Universal Time	Tempo Universal Coordenado
Copenhagen	Copenhaga
Copper	Cobre
Copyright	Direito autoral
Cor anglais	Corne inglês
Coraciiformes	Coraciiformes
Coral	Coral
Coral Sea	Mar de Coral
Coral reef	Recife de coral
Coriander	Coentro
Corinth	Corinto
Coriolis effect	Força de Coriolis
Cork (city)	Cork
Cormorant	Cormorão
Cornea	Córnea
Cornell University	Universidade Cornell
Cornwall	Cornualha
Corona Borealis	Corona Borealis
Corporation	Corporação
Corrosion	Corrosão
Corsica	Córsega
Corundum	Coríndon
Corvette	Corveta
Corvidae	Corvidae
Corvus (constellation)	Corvus (constelação)
Cosmic microwave background radiation	Radiação cósmica de fundo
Cosmic ray	Raio cósmico
Cosmology	Cosmologia
Cosmology	Categoria:Cosmologia
Costa Rica	Costa Rica
Costa Rica	Categoria:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Algodão
Cougar	Suçuarana
Coulomb	Coulomb
Coulomb's law	Lei de Coulomb
Council of Chalcedon	Concílio de Calcedónia
Council of Ephesus	Concílio de Éfeso
Council of Trent	Concílio de Trento
Counterpoint	Contraponto (música)
Country	País
Country music	Música country
Court	Tribunal
Covalent bond	Ligação covalente
Coventry	Coventry
Coyote	Coiote
Crab	Caranguejo
Crab Nebula	Nebulosa do Caranguejo
Crane (bird)	Gruidae
Crater (constellation)	Crater
Creationism	Criacionismo
Cremona	Cremona
Cretaceous	Cretáceo
Crete	Creta
Cricket	Críquete
Cricket (insect)	Grilo
Crime	Crime
Crimea	Criméia
Crimean War	Guerra da Crimeia
Criminal law	Categoria:Direito penal
Criminal law	Direito penal
Criminology	Criminologia
Croatia	Croácia
Croatia	Categoria:Croácia
Crocodile	Crocodilo
Crocodilia	Crocodilianos
Cronus	Cronos
Cross	Cruz (símbolo)
Cross product	Produto vetorial
Crossbow	Besta (arma)
Crossword	Palavras cruzadas
Crow	Corvo
Crucifixion	Crucificação
Cruiser	Cruzador
Crust (geology)	Crosta
Crustacean	Crustáceo
Crux	Crux
Cryptography	Criptografia
Cryptography	Categoria:Criptografia
Crystal	Cristal
Crystallography	Cristalografia
Crystallography	Categoria:Cristalografia
Ctenophore	Ctenophora
Cuba	Cuba
Cuba	Categoria:Cuba
Cube	Cubo
Cubic metre	Metro cúbico
Cubism	Cubismo
Cuculiformes	Cuculiformes
Cucumber	Pepino
Cucurbitaceae	Cucurbitaceae
Cultural Revolution	Revolução Cultural Chinesa
Culture	Cultura
Culture	Categoria:Cultura
Cumbria	Cúmbria
Cumulus cloud	Cumulus
Cupressaceae	Cupressaceae
Curitiba	Curitiba
Curium	Cúrio
Curling	Curling
Currency	Categoria:Moedas
Currency	Moeda
Curry	Caril (prato culinário)
Curve	Curva
Cusco	Cusco
Cyan	Ciano
Cyanide	Cianureto
Cyanobacteria	Cyanobacteria
Cybele	Cíbele
Cybernetics	Cibernética
Cyberpunk	Cyberpunk
Cyclades	Cíclades
Cycling	Ciclismo
Cycling	Categoria:Ciclismo
Cyclone	Ciclone
Cyclops	Ciclope
Cygnus (constellation)	Cygnus
Cylinder (geometry)	Cilindro
Cyperaceae	Cyperaceae
Cyprinid	Cyprinidae
Cypriniformes	Cypriniformes
Cyprus	Chipre
Cyprus	Categoria:Chipre
Cyrillic alphabet	Alfabeto cirílico
Cyrus the Great	Ciro II da Pérsia
Cystic fibrosis	Fibrose cística
Cytoplasm	Citoplasma
Cytosine	Citosina
Cytoskeleton	Citoesqueleto
Czech Republic	República Checa
Czech Republic	Categoria:República Checa
Czechoslovakia	Checoslováquia
Czechoslovakia	Categoria:Tchecoslováquia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	Ácido desoxirribonucleico
DOS	DOS
DVD	DVD
Dachshund	Dachshund
Dada	Dadaísmo
Daedalus	Dédalo
Dagger	Adaga
Daguerreotype	Daguerreótipo
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmácia
Dam	Barragem
Damascus	Damasco
Dance	Dança
Dance	Categoria:Dança
Dandelion	Dente-de-leão
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Coroa dinamarquesa
Dante Alighieri	Dante Alighieri
Danube	Rio Danúbio
Daphne	Dafne
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanelos
Darfur	Darfur
Dark matter	Matéria escura
Darmstadtium	Darmstádio
Darwin	Darwin (Austrália)
Darwin	Darwin
Das Kapital	O Capital
Data	Dados
Data mining	Mineração de dados
Data structure	Estrutura de dados
Database	Banco de dados
Database management system	Sistema de gerenciamento de banco de dados
Date Palm	Tamareira
Dative case	Caso dativo
Daugavpils	Daugavpils
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Copa Davis
Day	Dia
Days	Categoria:Dias do ano
Deacon	Diácono
Dead Sea	Mar Morto
Dead Sea scrolls	Pergaminhos do Mar Morto
Deadly nightshade	Beladona
Death	Morte
Death	Categoria:Morte
Decade	Década
December	Dezembro
December 31	31 de Dezembro
December 8	8 de Dezembro
Decibel	Decibel
Decimal	Sistema de numeração decimal
Decius (emperor)	Décio
Declination	Declinação
Deco	Anderson Luiz de Sousa
Deconstruction	Desconstrução
Deductive reasoning	Método dedutivo
Deer	Cervídeos
Definition	Definição
Deflation	Deflação (economia)
Degree	Grau
Degree (angle)	Grau (geometria)
Deimos (moon)	Deimos (satélite)
Deism	Deísmo
Delaware	Delaware
Delaware	Categoria:Delaware
Delft	Delft
Delhi	Deli
Dell	Dell
Delphi	Delfos
Delphinus	Delphinus
Delta	Delta (desambiguação)
Delta (letter)	Δ
Deluge (mythology)	Dilúvio
Demagogy	Demagogia
Dementia	Demência
Demeter	Deméter
Democracy	Democracia
Democratic Party (United States)	Partido Democrata (Estados Unidos da América)
Democratic Republic of the Congo	República Democrática do Congo
Democratic Republic of the Congo	Categoria:República Democrática do Congo
Democritus	Demócrito de Abdera
Demography	Demografia
Demography	Categoria:Demografia
Demon	Demónio
Demosthenes	Demóstenes
Deng Xiaoping	Deng Xiaoping
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Dinamarca
Denmark	Categoria:Dinamarca
Dennis Gabor	Dennis Gabor
Density	Massa volúmica
Dental caries	Cárie
Dentistry	Categoria:Odontologia
Dentistry	Odontologia
Denver	Denver
Derivative	Derivada
Dermatology	Dermatologia
Des Moines	Des Moines
Desert	Deserto
Deserts	Categoria:Desertos
Desiderius Erasmus	Erasmo de Roterdão
Design	Design
Design	Categoria:Design
Desmond Tutu	Desmond Tutu
Destroyer	Contratorpedeiro
Determinant	Determinante
Determinism	Determinismo
Detroit	Detroit
Deuterium	Deutério
Deuteronomy	Deuteronômio
Developmental psychology	Psicologia do desenvolvimento
Device driver	Driver de dispositivo
Devon	Devon
Devonian	Devoniano
Dew	Sereno
Dew point	Ponto de orvalho
Dewey Decimal Classification	Classificação decimal de Dewey
Dhaka	Daca
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Raposa-asiática-dos-montes
Diabetes mellitus	Diabetes mellitus
Diacritic	Diacrítico
Dialect	Dialeto
Dialectic	Dialética
Dialectical materialism	Materialismo dialético
Diameter	Diâmetro
Diamond	Diamante
Diana	Diana, Princesa de Gales
Diana (mythology)	Diana (mitologia)
Diarrhea	Diarreia
Diaspora	Diáspora
Diatom	Diatomácea
Dice	Dado
Dicotyledon	Dicotiledónea
Dictatorship	Ditadura
Dictionary	Dicionário
Diego Rivera	Diego Rivera
Diesel	Diesel
Diesel engine	Motor a diesel
