English	Swahili
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Tyler	John Tyler
Jordan	Yordani
Jordan	Category:Yordani
Jordan River	Yordani (mto)
Jorge Luis Borges	Jorge Luis Borges
Joseph Pulitzer	Joseph Pulitzer
Joseph Stalin	Josef Stalin
Joule	Jouli
Judaism	Category:Uyahudi
Julian calendar	Kalenda ya Juliasi
Julius Caesar	Julius Caesar
July	Julai
July 1	1 Julai
July 4	4 Julai
June	Juni
June 14	14 Juni
June 21	21 Juni
June 23	23 Juni
June 24	24 Juni
June 29	29 Juni
June 3	3 Juni
Juneau	Juneau (Alaska)
Jupiter	Mshtarii
Jutland	Jutland
K	K
Kabul	Kabul
Kampala	Kampala
Karachi	Karachi
Karen Blixen	Karen Blixen
Kathmandu	Kathmandu
Kaunas	Kaunas
Kazakhstan	Kazakhstan
Kazakhstan	Category:Kazakhstan
Kelvin	Kelvini
Kenya	Kenya
Kenya	Category:Kenya
Khartoum	Khartoum
Kiev	Kiev
Kigali	Kigali
Kilogram	Kilogramu
Kilometre	Kilomita
Kilometres per hour	Km/h
Kingston	Kingston (Jamaika)
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Knut Hamsun	Knut Hamsun
Korea	Rasi ya Korea
Korean War	Vita ya Korea
Kosovo	Kosovo
Krypton	Kriptoni
Kuala Lumpur	Kuala Lumpur
Kuomintang	Kuomintang
Kuwait	Kuwait
Kuwait	Category:Kuwait
Kuwait City	Jiji la Kuwait
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kyrgyzstan	Kirgizia
Kyrgyzstan	Category:Kirgizia
L	L
La Paz	La Paz
Lagos	Lagos
Lake	Ziwa
Lake Baikal	Baikal (ziwa)
Lake Chad	Chad (ziwa)
Lake Constance	Ziwa la Konstanz
Lake Malawi	Nyasa (ziwa)
Lake Tanganyika	Tanganyika (ziwa)
Lake Victoria	Victoria (ziwa)
Language	Lugha
Laos	Laos
Laos	Category:Laos
Latin	Kilatini
Latin America	Amerika ya Kilatini
Latin alphabet	Alfabeti ya Kilatini
Latitude	Latitudo
Latvia	Latvia
Latvia	Category:Latvia
Lava	Lava
Le Corbusier	Le Corbusier
Lead	Risasi
League of Nations	Shirikisho la Mataifa
Lebanon	Lebanoni
Lebanon	Category:Lebanon
Leeds	Leeds
Lemon	limau
Leonardo da Vinci	Leonardo da Vinci
Lesotho	Lesotho
Lesotho	Category:Lesotho
Lesser Antilles	Antili Ndogo
Letter (alphabet)	Herufi
Leviticus	Walawi (Biblia)
Liberia	Liberia
Liberia	Category:Liberia
Libreville	Libreville
Libya	Libya
Libya	Category:Libya
Liechtenstein	Liechtenstein
Liechtenstein	Category:Liechtenstein
Life	Category:Maisha
Light-year	Mwaka wa nuru
Lighthouse	Mnara wa taa
Lilongwe	Lilongwe
Lima	Lima
Linguistics	Isimu
Linus Pauling	Linus Pauling
Liquid	Kiowevu
Lisbon	Lisbon
Literature	Fasihi
Literature	Category:Fasihi
Lithium	Lithi
Lithuania	Lituanya
Lithuania	Category:Lituanya
Litre	Lita
Ljubljana	Lyublyana
London	London
Los Angeles	Los Angeles
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Luanda	Luanda
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lusaka	Lusaka
Luxembourg	Luxemburg
Luxembourg (city)	Luxemburg (mji)
Lyon	Lyon
M	M
Macau	Macau
Machine gun	Bombomu
Madagascar	Madagaska
Madagascar	Category:Madagaska
Madeira	Visiwa vya Madeira
Madrid	Madrid
Magma	Magma
Magnesium	Magnesi
Mahatma Gandhi	Mohandas Karamchand Gandhi
Maize	Mhindi
Malabo	Malabo
Malaria	Malaria
Malawi	Category:Malawi
Malay Peninsula	Rasi ya Malay
Malaysia	Malaysia
Maldives	Maldivi
Maldives	Category:Maldivi
Mali	Mali
Mali	Category:Mali
Malta	Malta
Maltese language	Kimalta
Managua	Managua
Manama	Manama
Manchuria	Manchuria
Manganese	Manganisi
Manila	Manila
Mao Zedong	Mao Zedong
Map	Ramani
Maputo	Maputo
Marble	Marumaru
Marcel Proust	Marcel Proust
March	Machi
March 17	17 Machi
March 19	19 Machi
March 2	2 Machi
March 25	25 Machi
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Margaret Thatcher	Margaret Thatcher
Mariana Islands	Visiwa vya Mariana
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Marlene Dietrich	Marlene Dietrich
Marshall Islands	Visiwa vya Marshall
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King, Jr.
Martin Van Buren	Martin Van Buren
Martinique	Martinique
Marx Brothers	Marx Brothers
Maryland	Maryland
Maseru	Maseru
Match	Kibiriti
Mathematics	Hisabati
Mathematics	Category:Hisabati
