English	Estonian
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametüst
Amharic	Amhari keel
Amide	Amiidid
Amine	Amiinid
Amino acid	Aminohapped
Amish	Amišid
Amman	‘Ammān
Ammonia	Ammoniaak
Amnesia	Amneesia
Amnesty	Amnestia
Ampere	Amper
Amphetamine	Amfetamiin
Amphibian	Kahepaiksed
Amphitheatre	Amfiteater
Amphora	Amfora
Amplitude	Amplituud
Amsterdam	Amsterdam
Amsterdam	Kategooria:Amsterdam
Amun	Amon
Amur	Amuur
Anabaptist	Anabaptistid
Anaheim	Anaheim
Analytic geometry	Analüütiline geomeetria
Anarchism	Anarhism
Anarchism	Kategooria:Anarhism
Anarchy	Anarhia
Anatidae	Partlased
Anatole France	Anatole France
Anatomy	Kategooria:Anatoomia
Anatomy	Anatoomia
Anaximander	Anaximandros
Anchor	Ankur
Andalusia	Andaluusia
Andaman Sea	Andamani meri
Anders Celsius	Anders Celsius
Andes	Andid
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategooria:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrei Sahharov
Andrei Tarkovsky	Andrei Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda (täpsustus)
Andromeda (constellation)	Andromeeda (tähtkuju)
Andromeda (mythology)	Andromeda
Andromeda Galaxy	Andromeeda galaktika
Andy Warhol	Andy Warhol
Anemia	Aneemia
Anemometer	Anemomeeter
Angara River	Angara
Angel	Ingel
Angel Falls	Angeli juga
Angle	Nurk
Angola	Angola
Angola	Kategooria:Angola
Anguilla	Anguilla
Anicius Manlius Severinus Boethius	Boëthius
Aniline	Aniliin
Animal	Loomad
Animation	Animatsioon
Anime	Anime
Animism	Animism
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Annelid	Rõngussid
Anno Domini	PKr
Anorexia nervosa	Anoreksia
Ant	Sipelglased
Antananarivo	Antananarivo
Antarctica	Antarktika
Antarctica	Kategooria:Antarktika
Antares	Antares
Anthony Hopkins	Anthony Hopkins
Anthropology	Antropoloogia
Anthropology	Kategooria:Antropoloogia
Anthroposophy	Antroposoofia
Antibody	Antikehad
Antigua and Barbuda	Antigua ja Barbuda
Antimony	Antimon
Antipope	Vastupaavst
Antisemitism	Antisemitism
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tšehhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonüüm
Antwerp	Antwerpen
Anubis	Anubis
Anus	Pärak
Apatite	Apatiit
Ape	Hominoidea
Aphorism	Aforism
Aphrodite	Aphrodite
Apiaceae	Sarikalised
Apocrypha	Apokrüüfid
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Apollo programm
Apoptosis	Apoptoos
Appalachian Mountains	Apalatšid
Apple	Õun
April	Aprill
April 14	14. aprill
April Fools' Day	Naljapäev
Apse	Apsiid
Apulia	Apuulia
Aqaba	Al-‘Aqabah
Aqua regia	Kuningvesi
Aquamarine	Akvamariin
Aquarium	Akvaarium
Aqueduct	Akvedukt
Aquitaine	Akvitaania
Ara (constellation)	Altar (tähtkuju)
Arab	Araablased
Arabian Peninsula	Araabia
Arabian Sea	Araabia meri
Arabic language	Araabia keel
Arachnid	Ämblikulaadsed
Arafura Sea	Arafura meri
Aragon	Aragón
Aral Sea	Araali meri
Aram Khachaturian	Aram Hatšaturjan
Arcadia	Arkaadia
Archaeology	Arheoloogia
Archaeology	Kategooria:Arheoloogia
Archaeopteryx	Ürglind
Archbishop	Peapiiskop
Archean	Arhaikum
Archetype	Arhetüüp
Archimedes	Archimedes
Archipelago	Saarestik
Architect	Arhitekt
Architecture	Arhitektuur
Architecture	Kategooria:Arhitektuur
Archive	Arhiiv
Arctic	Arktika
Arctic Circle	Põhjapolaarjoon
Arctic Ocean	Põhja-Jäämeri
Arctic fox	Polaarrebane
Ardennes (department)	Ardennesi departemang
Are	Aar
Area	Pindala
Ares	Ares
Argentina	Argentina
Argentina	Kategooria:Argentina
Argon	Argoon
Aria	Aaria
Arianism	Arianism
Aristocracy	Aristokraatia
Aristotle	Aristoteles
Arithmetic	Aritmeetika
Arius	Areios
Arizona	Arizona
Arizona	Kategooria:Arizona
Arkansas	Arkansas
Arkansas	Kategooria:Arkansas
Armenia	Armeenia
Armenia	Kategooria:Armeenia
Armenian language	Armeenia keel
Arno River	Arno jõgi
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Areenid
Arras	Arras
Arsenic	Arseen
Art	Kunst
Artemis	Artemis
Artemisia absinthium	Koirohi
Arthropod	Lülijalgsed
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Artificial intelligence	Tehisintellekt
Arts	Kategooria:Kunst
Aruba	Aruba
Aruba	Kategooria:Aruba
Asbestos	Asbest
Asclepius	Asklepios
Asexuality	Aseksuaalsus
Asgard	Asgard
Ashurbanipal	Assurbanipal
Asia	Aasia
Asia	Kategooria:Aasia
Asmara	Asmara
Asphalt	Asfalt
Aspirin	Aspiriin
Assam	Assam
Assassination	Atentaat
Assembly language	Assemblerkeel
Association of Southeast Asian Nations	ASEAN
Assyria	Assüüria
Assyria	Kategooria:Assüüria
Astana	Astana
Astatine	Astaat
Asteraceae	Korvõielised
Asteraceae	Kategooria:Korvõielised
Asteroid	Asteroid
Asthenosphere	Astenosfäär
Asthma	Bronhiaalastma
Astrakhan	Astrahan
Astrobiology	Astrobioloogia
Astrology	Astroloogia
Astrology	Kategooria:Astroloogia
Astronomical unit	Astronoomiline ühik
Astronomy	Astronoomia
Astronomy	Kategooria:Astronoomia
Astrophysics	Astrofüüsika
Aswan	Aswān
Atacama Desert	Atacama
Aten	Aton
Athena	Athena
Athens	Ateena
Athletics	Kategooria:Kergejõustik
Athletics (track and field)	Kergejõustik
Atlanta	Atlanta
Atlantic Ocean	Atlandi ookean
Atlantic Ocean	Kategooria:Atlandi ookean
Atlantis	Atlantis
Atlas (disambiguation)	Atlas
Atlas Mountains	Atlase mäed
Atmosphere (unit)	Atmosfäär (ühik)
Atmospheric pressure	Õhurõhk
Atoll	Atoll
Atom	Aatom
Atomic clock	Aatomkell
Atomic mass	Aatommass
Atomic mass unit	Aatommassiühik
Atomic number	Aatomnumber
Atomic physics	Aatomifüüsika
Atreus	Atreus
Attila the Hun	Attila
Au	Au (täpsustus)
Auckland	Auckland
August	August
August 1	1. august
August 15	15. august
August 6	6. august
Augusta	Augusta (Maine)
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustinus
Augustus	Augustus
Auriga (constellation)	Veomees
Aurora (astronomy)	Virmalised
Austin	Austin
Australia	Austraalia
Australia	Kategooria:Austraalia
Australian dollar	Austraalia dollar
Australopithecus	Australopithecus
Austria	Austria
Austria	Kategooria:Austria
Austria-Hungary	Austria-Ungari
Author	Autor
Auto racing	Autosport
Automobile	Auto
Autotroph	Autotroof
Autumn	Sügis
Auvergne (region)	Auvergne
Avalanche	Laviin
Avatar	Avataara
Averroes	Ibn Rushd
Aviation	Kategooria:Lennundus
Aviation	Lennundus
Avicenna	Ibn Sīnā
Avignon	Avignon
Avogadro's law	Avogadro seadus
Axe	Kirves
Axiom	Aksioom
Ayatollah	Ajatolla
Azerbaijan	Aserbaidžaan
Azerbaijan	Kategooria:Aserbaidžaan
Azimuth	Asimuut
Azores	Assoorid
B	B
BASIC	BASIC
Baal	Baal
Babylon	Paabel
Bacteria	Bakterid
Bacteria	Kategooria:Bakterid
Badminton	Sulgpall
Baffin Bay	Baffini laht
Baffin Island	Baffini saar
Baghdad	Bagdad
Bahamas	Kategooria:Bahama
Bahrain	Bahrein
Bahrain	Kategooria:Bahrein
Baja California	Baja California
Baku	Bakuu
Balalaika	Balalaika
Balance sheet	Bilanss
Baldr	Baldr
Balearic Islands	Baleaarid
Bali	Bali
Balkan Mountains	Stara planina
Balkans	Balkani poolsaar
Ballet	Ballett
Ballistic missile	Ballistiline rakett
Ballpoint pen	Pastapliiats
Baltic Sea	Läänemeri
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambus
Banana	Banaan
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Kategooria:Bangladesh
Bangui	Bangui
Banjul	Banjul
Baptist	Baptism
Barbados	Barbados
Barbados	Kategooria:Barbados
Barbarian	Barbarid
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Kategooria:Barcelona
Barents Sea	Barentsi meri
Bari	Bari
Barium	Baarium
Barley	Oder
Barn Swallow	Suitsupääsuke
Baroque	Barokk
Barrel (unit)	Barrel
Basalt	Basalt
Base (chemistry)	Alus (keemia)
Baseball	Pesapall
Baseball	Kategooria:Pesapall
Basel	Basel
Basilica	Basiilika
Basilicata	Basilicata
Basilisk	Basilisk
Basketball	Korvpall
Basketball	Kategooria:Korvpall
Basra	Al-Başrah
Bass guitar	Basskitarr
Basse-Normandie	Alam-Normandia
Basseterre	Basseterre
Bassoon	Fagott
Bastille	Bastille
Bat	Käsitiivalised
Batman	Batman
Baton Rouge	Baton Rouge
Battalion	Pataljon
Battle of Austerlitz	Austerlitzi lahing
Battle of Hastings	Hastingsi lahing
Battle of Waterloo	Waterloo lahing
Battleship	Lahingulaev
Bauhaus	Bauhaus
Bauxite	Boksiit
Bavaria	Baieri
Bavaria	Kategooria:Baieri
Bay of Bengal	Bengali laht
Bay of Biscay	Biskaia laht
Bayonet	Tääk
Bayonne	Bayonne
Beaufort Sea	Beauforti meri
Beaver	Kobras
Bebop	Bebop
Becquerel	Bekrell
Bee	Mesilane
Beekeeping	Kategooria:Mesindus
Beer	Õlu
Beer	Kategooria:Õlu
Beetle	Mardikalised
Behaviorism	Biheiviorism
Beijing	Peking
Beirut	Beirut
Belarus	Valgevene
Belarus	Kategooria:Valgevene
Belfast	Belfast
Belgium	Belgia
Belgium	Kategooria:Belgia
Belgrade	Belgrad
Belize	Belize
Belize	Kategooria:Belize
Belly dance	Kõhutants
Belo Horizonte	Belo Horizonte
Beluga	Valgevaal
Bengal	Bengal
Benin	Benin
Benin	Kategooria:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Beringi meri
Bering Strait	Beringi väin
Berkelium	Berkeelium
Berkshire	Berkshire
Berlin	Berliin
Berlin	Kategooria:Berliin
Bermuda	Bermuda
Bermuda Triangle	Bermuda kolmnurk
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Berüllium
Bette Davis	Bette Davis
Bhutan	Bhutan
Bhutan	Kategooria:Bhutan
Bible	Piibel
Bible	Kategooria:Piibel
Bicycle	Jalgratas
Big Bang	Suur Pauk
Bihar	Bihar
Bikini	Bikiinid
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binoculars	Binokkel
Biochemistry	Biokeemia
Biochemistry	Kategooria:Biokeemia
Biodiversity	Biodiversiteet
Biogeography	Biogeograafia
Biological warfare	Bioloogiline relv
Biology	Bioloogia
Biology	Kategooria:Bioloogia
Biophysics	Biofüüsika
Biopsy	Biopsia
Biosphere	Biosfäär
Biotin	Biotiin
Bipolar disorder	Bipolaarne häire
Birch	Kask
Bird	Linnud
Bisexuality	Biseksuaalsus
Bishkek	Biškek
Bishop	Piiskop
Bishop (chess)	Oda (male)
Bismarck	Bismarck
Bismarck (disambiguation)	Bismarck (täpsustus)
Bismuth	Vismut
Bissau	Bissau
Bit	Bitt
Bithynia	Bitüünia
Bivalvia	Karbid
Black	Must
Black Death	Must surm
Black Forest	Schwarzwald
Black Sea	Must meri
Black Stork	Must-toonekurg
Black body	Absoluutselt must keha
Black hole	Must auk
Blackbird	Musträstas
Blaise Pascal	Blaise Pascal
Blog	Ajaveeb
Blood	Veri
Blood vessel	Veresoon
Blue	Sinine
Blue Whale	Sinivaal
Blues	Bluus
Boar	Metssiga
Board game	Lauamäng
Boat	Paat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Robert Fischer
Bobsleigh	Bobisõit
Bodhisattva	Bodhisattva
Body mass index	Kehamassiindeks
Bohemia	Čechy
Bohrium	Bohrium
Boiling point	Keemistemperatuur
Boise	Boise
Boletus edulis	Harilik kivipuravik
Bolivia	Boliivia
Bologna	Bologna
Bolshevik	Bolševikud
Bolzano	Bolzano
Bomber	Pommitaja
Bone	Luu
Bone marrow	Luuüdi
Bonn	Bonn
Bonsai	Bonsai
Book	Raamat
Book of Joshua	Joosua raamat
Book of Judges	Kohtumõistjate raamat
Book of Revelation	Ilmutuseraamat
Book of Ruth	Ruti raamat
Bordeaux	Bordeaux
Boris Godunov	Boriss Godunov
Boris Pasternak	Boriss Pasternak
Borneo	Kalimantan
Boron	Boor
Bosnia and Herzegovina	Bosnia ja Hertsegoviina
Bosnia and Herzegovina	Kategooria:Bosnia ja Hertsegoviina
Boson	Boson
Bosporus	Bosporus
Boston	Boston
Boston Tea Party	Bostoni teejoomine
Bot	Mall:Bot
Botany	Botaanika
Botany	Kategooria:Botaanika
Botswana	Botswana
Botswana	Kategooria:Botswana
Bottlenose Dolphin	Afaliin
Bourgogne	Burgundia
Bouvet Island	Bouvet' saar
Boxers	Kategooria:Poksijad
Boxing	Poks
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Brain	Peaaju
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brändi
Brass	Messing
Brassicaceae	Ristõielised
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasiilia
Brazil	Kategooria:Brasiilia
Brazzaville	Brazzaville
Bread	Leib
Bremen	Bremen
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest (Prantsusmaa)
Brest	Brest (Valgevene)
Brest	Brest
Bretagne	Bretagne
Brick	Tellis
Bridge	Sild
Bridges	Kategooria:Sillad
Bridgetown	Bridgetown
Brigade	Brigaad
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Briti Columbia
British Isles	Briti saared
British Virgin Islands	Briti Neitsisaared
British people	Kategooria:Suurbritannia inimesed
Brno	Brno
Bromine	Broom
Bronze	Pronks
Bronze Age	Pronksiaeg
Brooklyn	Brooklyn
Brown Bear	Karu
Brownian motion	Browni liikumine
Bruce Lee	Bruce Lee
Bruges	Brugge
Brunei	Brunei
Brunei	Kategooria:Brunei
Brussels	Brüssel
Bubonic plague	Katk
Bucharest	Bukarest
Budapest	Budapest
Buddhism	Budism
Buddhism	Kategooria:Budism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Building	Hoone
Bujumbura	Bujumbura
Bulgaria	Bulgaaria
Bulgaria	Kategooria:Bulgaaria
Bumblebee	Kimalane
Buoyancy	Üleslükkejõud
Bureaucracy	Bürokraatia
Burgomaster	Bürgermeister
Burkina Faso	Burkina Faso
Burkina Faso	Kategooria:Burkina Faso
Burma	Birma
Burma	Kategooria:Myanmar
Bursa	Bursa
Burundi	Kategooria:Burundi
Bus	Buss
Business	Ettevõte
Butane	Butaan
Butter	Või
Butterfly effect	Liblikaefekt
Bydgoszcz	Bydgoszcz
Byte	Bait
C	C
C (programming language)	C (programmeerimiskeel)
C. S. Lewis	C. S. Lewis
CD (disambiguation)	Cd
Cadmium	Kaadmium
Cadmus	Kadmos
Caesium	Tseesium
Caffeine	Kofeiin
Cairo	Kairo
Calabria	Calabria
Calcite	Kaltsiit
Calcium	Kaltsium
Calcium carbonate	Kaltsiumkarbonaat
Calcium oxide	Kaltsiumoksiid
Calculator	Kalkulaator
Caldera	Kaldeera
Calendar	Kalender
California	California
California	Kategooria:California
Californium	Kalifornium
Caligula	Caligula
Caliph	Kaliif
Caliphate	Kalifaat
Callisto (moon)	Callisto
Calorie	Kalor
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinism
Cambodia	Kambodža
Cambodia	Kategooria:Kambodža
Cambrian	Kambrium
Cambridge	Cambridge
Camel	Kaamel
Camembert (cheese)	Kamambäär
Camera	Fotoaparaat
Cameroon	Kamerun
Campania	Campania
Canada	Kanada
Canada	Kategooria:Kanada
Canadian dollar	Kanada dollar
Canal	Kanal
Canary Islands	Kanaari saared
Canberra	Canberra
Candela	Kandela
Cannabis	Kanep
Cannibalism	Kannibalism
Canoe	Kanuu
Canopus	Canopus
Cantata	Kantaat
Canute the Great	Knud Suur
Capacitor	Kondensaator
Cape Canaveral	Canaverali neem
Cape Horn	Hoorni neem
Cape Town	Kaplinn
Cape Verde	Roheneemesaared
Cape Verde	Kategooria:Roheneemesaared
Cape of Good Hope	Hea Lootuse neem
Capital	Pealinn
Capital (economics)	Kapital
Capital punishment	Surmanuhtlus
Capitalism	Kapitalism
Cappadocia	Kapadookia
Caracal	Karakal
Caracas	Caracas
Carat (mass)	Karaat
Carat (purity)	Karaat
Caravaggio	Michelangelo Caravaggio
Carbohydrate	Süsivesikud
Carbon	Süsinik
Carbon cycle	Süsinikuringe
Carbon dioxide	Süsihappegaas
Carbon monoxide	Vingugaas
Carbonic acid	Süsihape
Carboniferous	Karbon
Carboxylic acid	Karboksüülhapped
Card game	Kaardimäng
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardinal Richelieu	Kardinal Richelieu
Caribbean	Lääne-India
Caribbean Sea	Kariibi meri
Caricature	Karikatuur
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Orff	Carl Orff
Carnivora	Kiskjalised
Carnivore	Karnivoor
Carolus Linnaeus	Karl von Linné
Carpathian Mountains	Karpaadid
Carson City	Carson City
Carthage	Kartaago
Cartography	Kartograafia
Cartography	Kategooria:Kartograafia
Caryophyllales	Nelgilaadsed
Casablanca	Casablanca
Cashew	Lääneanakard
Casino	Kasiino
Caspian Sea	Kaspia meri
Cassiopeia (constellation)	Kassiopeia (tähtkuju)
Cast iron	Malm
Castle	Linnus
Castries	Castries
Cat	Kass
Catalonia	Kataloonia
Catalonia	Kategooria:Kataloonia
Catalysis	Katalüsaator
Cataract	Katarakt
Catharism	Katarid
Cathedral	Katedraal
Catherine of Aragon	Catherine Aragónist
Catholicism	Katoliiklus
Cattle	Veis
Caucasus	Kaukaasia
Caucasus	Kategooria:Kaukaasia
Caucasus Mountains	Kaukasus
Cauliflower	Lillkapsas
Causality	Põhjuslikkus
Cave	Koobas
Cayenne	Cayenne
Cayman Islands	Kaimanisaared
Cecil Rhodes	Cecil Rhodes
Celestial sphere	Taevasfäär
Celibacy	Tsölibaat
Cell (biology)	Rakk
Cell membrane	Rakumembraan
Cell nucleus	Rakutuum
Cello	Tšello
Cellulose	Tselluloos
Celsius	Celsiuse skaala
Cement	Tsement
Cenozoic	Kainosoikum
Centaur	Kentaurid
Center of mass	Raskuskese
Centimetre	Sentimeeter
Central Africa	Kesk-Aafrika
Central African Republic	Kesk-Aafrika Vabariik
Central African Republic	Kategooria:Kesk-Aafrika Vabariik
Central America	Kesk-Ameerika
Central Intelligence Agency	CIA
Central Powers	Keskriigid
Central processing unit	Protsessor
Centre	Keskpiirkond (Prantsusmaa)
Century	Sajandid
Cephalopod	Peajalgsed
Ceramic	Keraamika
Cerberus	Kerberos
Ceres (dwarf planet)	Ceres (kääbusplaneet)
Cerium	Tseerium
Cesare Borgia	Cesare Borgia
Cestoda	Paelussid
Cetacea	Vaalalised
Chad	Tšaad
Chad	Kategooria:Tšaad
Chalcedony	Kaltsedon
Champagne-Ardenne	Champagne-Ardenne
Charlemagne	Karl Suur
Charles	Charles Mountbatten-Windsor
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
