English	Galician
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Cleopatra
Cleveland	Cleveland, Ohio
Climate	Clima
Climate change	Cambio climático
Climatology	Climatoloxía
Clitoris	Clítoris
Clock	Reloxo
Cloning	Clonación
Cloud	Nube
Clover	Trevo
Clovis I	Clodoveo I
Cnidaria	Cnidaria
Coal	Carbón
Coast	Costa (xeografía)
Cobalt	Cobalto
Cocaine	Cocaína
Coccinellidae	Maruxiña
Cockroach	Cascuda
Coconut	Coco
Cocos (Keeling) Islands	Illas Cocos
Codeine	Codeína
Coffee	Café
Coin	Moeda (peza metálica)
Colchis	Cólquida
Cold War	Guerra fría
Cologne	Colonia - Köln
Colombia	Colombia
Colombia	Categoría:Colombia
Colombo	Colombo
Color	Cor
Colorado	Colorado, Estados Unidos de América
Colosseum	Coliseo de Roma
Colossus of Rhodes	Coloso de Rodas
Columba (constellation)	Columba
Columbia	Columbia
Columbia River	Río Columbia
Columbia University	Universidade de Columbia
Columbidae	Pomba
Columbus	Columbus, Ohio
Coma Berenices	Coma Berenices
Combustion	Combustión
Comedy	Comedia
Comet	Cometa
Comma (punctuation)	Coma
Commedia dell'arte	Commedia dell’arte
Common Fig	Figueira (árbore)
Commonwealth of Nations	Commonwealth de Nacións
Communication	Comunicación, función da linguaxe
Communism	Comunismo
Communism	Categoría:Comunismo
Comoros	Comores - جزر القمر
Comoros	Categoría:Comores
Compact Disc	CD (informática)
Compass	Compás (navegación)
Competition	Competición
Compiler	Compilador
Complex instruction set computer	CISC
Composite number	Número composto
Computational linguistics	Lingüística computacional
Computer	Ordenador
Computer display	Monitor
Computer hardware	Hardware
Computer science	Informática
Computer software	Programa informático
Computer virus	Virus informático
Computer-aided design	CAD
Conakry	Conakry
Concentration	Molaridade
Concord	Concord, New Hampshire
Concrete	Formigón
Condom	Preservativo
Confederate States of America	Estados Confederados de América
Confederation	Confederación
Confucianism	Confucionismo
Confucius	Confucio
Congo River	Río Congo
Connecticut	Connecticut
Consensus	Consenso
Conservatism	Conservadorismo
Consonant	Consoante
Constantine I	Constantino I o Grande
Constantinople	Constantinopla
Constellation	Constelación
Constitution (political)	Constitución
Consul	Cónsul romano
Continent	Continente
Continental drift	Deriva continental
Continental shelf	Plataforma continental
Contract	Contrato
Convection	Convección
Cooperative	Cooperativa
Coordinate system	Sistema de coordenadas
Coordinated Universal Time	Tempo Universal Coordinado
Copenhagen	Copenhaguen - København
Copper	Cobre
Cor anglais	Corno inglés
Coral	Coral (animal)
Coral Sea	Mar do Coral
Coriolis effect	Forza de Coriolis
Cork (city)	Cork - Corcaigh
Cornea	Córnea
Cornwall	Cornualles - Kernow
Corona Borealis	Corona Borealis
Corsica	Córsega - Corse - Corsica
Corundum	Corindón
Corvette	Corveta
Corvus (constellation)	Corvus
Cosmology	Cosmoloxía
Costa Rica	Costa Rica
Costa Rica	Categoría:Costa Rica
Cotopaxi	Cotopaxi (volcán)
Cotton	Algodón
Coulomb	Coulomb
Coulomb's law	Lei de Coulomb
Council of Trent	Concilio de Trento
Counterpoint	Contrapunto
Country	País
Country music	Música country
Court	Tribunal
Covalent bond	Enlace covalente
Crater (constellation)	Crater
Cretaceous	Cretáceo
Cricket	Críquet
Cricket (insect)	Grilo (insecto)
Crimea	Crimea
Crimean War	Guerra da Crimea
Croatia	Croacia - Hrvatska
Croatia	Categoría:Croacia
Cronus	Cronos
Cross product	Produto vectorial
Crossbow	Bésta
Crust (geology)	Codia terrestre
Crustacean	Crustáceo
Crux	Crux
Cryptography	Criptografía
Crystallography	Cristalografía
Ctenophore	Ctenophora
Cuba	Cuba
Cuba	Categoría:Cuba
Cubic metre	Quilómetro cúbico
Cubism	Cubismo
Cuculiformes	Cuculiformes
Cultural Revolution	Revolución Cultural
Culture	Cultura
Cumulus cloud	Cumulus
Curitiba	Curitiba
Curium	Curio
Curling	Curling
Currency	Divisa
Curry	Caril
Cyan	Ciano
Cyanobacteria	Cyanobacteria
Cybele	Cibeles
Cyclades	Cícladas - Κυκλάδες
Cycling	Ciclismo
Cyclops	Ciclope
Cygnus (constellation)	Cygnus
Cyprus	Chipre - Κύπρος
Cyprus	Categoría:Chipre
Cyrillic alphabet	Alfabeto cirílico
Cyrus the Great	Ciro II
Cytosine	Citosina
Cytoskeleton	Citoesqueleto
Czech Republic	Chequia - Česko
Czech Republic	Categoría:Chequia
Czechoslovakia	Checoslovaquia - Československo
Czechoslovakia	Categoría:Checoslovaquia
D	D
D. H. Lawrence	D. H. Lawrence
DNA	ADN
DOS	DOS
DVD	DVD
Dada	Dadaísmo
Daguerreotype	Daguerrotipo
Dakar	Dacar - Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas, Texas
Dam	Encoro
Damascus	Damasco - دمشق
Dance	Danza
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dante Alighieri	Dante Alighieri
Danube	Río Danubio
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanelos
Darfur	Darfur - دار فور
Dark matter	Materia escura
Darmstadtium	Darmstadtio
Darwin	Darwin (Australia)
Das Kapital	Das Kapital
Database	Base de datos
Dative case	Dativo
Daugavpils	Daugavpils
David	David
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Copa Davis
Day	Día
Dead Sea	Mar Morto
Death	Morte
Decade	Década
December	Decembro
December 31	31 de decembro
December 8	8 de decembro
Decibel	Decibel
Decius (emperor)	Decio
Deco	Deco
Deductive reasoning	Dedución
Definition	Definición
Degree	Grao
Deimos (moon)	Deimos
Delaware	Delaware
Delhi	Delhi - दिल्ली
Delphinus	Delphinus
Delta	Delta
Delta (letter)	Delta (letra)
Deluge (mythology)	Diluvio
Demagogy	Demagoxia
Democracy	Democracia
Democratic Party (United States)	Partido Demócrata (Estados Unidos)
Democratic Republic of the Congo	República Democrática do Congo - République Démocratique du Congo
Democratic Republic of the Congo	Categoría:República Democrática do Congo
Democritus	Demócrito de Abdera
Demography	Demografía
Denis Diderot	Denis Diderot
Denmark	Dinamarca - Danmark
Denmark	Categoría:Dinamarca
Dennis Gabor	Dennis Gabor
Denver	Denver, Colorado
Derivative	Derivada
Des Moines	Des Moines
Desert	Deserto
Desiderius Erasmus	Erasmo de Róterdam
Design	Deseño
Desmond Tutu	Desmond Tutu
Detroit	Detroit, Michigan
Dew	Orballo
Dhaka	Dacca - ঢাকা
Dhaulagiri	Dhaulagiri
Diabetes mellitus	Diabetes mellitus
Diacritic	Diacrítico
Dialect	Dialecto
Dialectical materialism	Materialismo dialéctico
Diameter	Diámetro
Diamond	Diamante
Dictatorship	Ditadura
Dictionary	Dicionario
Diego Rivera	Diego Rivera
Diesel engine	Motor Diesel
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Ecuación diferencial
Diffraction	Difracción
Digital	Sistema dixital
Digital photography	Fotografía dixital
Dijon	Dijon
Dill	Aneto
Dimension	Dimensión
Dinosaur	Dinosauro
Diocese	Diocese
Diocletian	Diocleciano
Diphthong	Ditongo
Diplodocus	Diplodocus
Diplomacy	Diplomacia
Dire Straits	Dire Straits
Direct current	Corrente continua
Disaccharide	Disacárido
Disambiguation	Categoría:Homónimos
Discourse	Discurso
Disease	Doenza
Distance	Distancia
Distillation	Destilación
Division (mathematics)	División (matemáticas)
Division (military)	División (militar)
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Categoría:Xibutí
Dmitri Mendeleev	Dmitri Mendeleiev
Dmitri Shostakovich	Dmitri Shostakovich
Dnieper River	Río Dniepr
Document	Documento
Dodecanese	Dodecaneso - Δωδεκάνησα
Dodo	Dodo
Dodoma	Dodoma
Dog	Can
Doha	Doha
Dolly (sheep)	Ovella Dolly
Dolmen	Dolmen
Dolphin	Golfiño
Domain (biology)	Dominio (bioloxía)
Domesday Book	Domesday Book
Dominica	Dominica
Dominican Republic	República Dominicana
Domitian	Domiciano
Don Quixote	O enxeñoso fidalgo Don Quixote da Mancha
Don River (Russia)	Río Don
Donatello	Donatello
Donetsk	Donetsk
Donkey	Burro
Door	Porta
Dorado	Dorado
Doric order	Orde dórica
Doris Lessing	Doris Lessing
Douglas MacArthur	Douglas MacArthur
Dover	Dover, Delaware
Dover	Dover
Down syndrome	Síndrome de Down
Draco (constellation)	Draco
Dracula	Drácula
Drainage basin	Conca fluvial
Draughts	Damas
Dream	Soño
Dresden	Dresde
Drink	Bebida
Drought	Seca
Drug addiction	Adicción
Druid	Druída
Drum	Tambor
Dubai	Dubai
Dublin	Dublín - Baile Átha Cliath
Duck	Pato
Duke Ellington	Duke Ellington
Dune	Duna
Dunkirk	Dunkerque
Durban	Durban
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dinámica
Dyslexia	Dislexia
Dystopia	Distopía
E	E
E (mathematical constant)	Número e
E-mail	Correo electrónico
E. T. A. Hoffmann	Ernest Theodor Amadeus Hoffmann
ETA	Euskadi Ta Askatasuna
Eagle	Aguia
Ear	Orella
Earless seal	Foca
Earth	Terra (planeta)
Earth science	Ciencias da Terra
Earthquake	Terremoto
East	Leste
East Germany	Alemaña do Leste
East Timor	Timor Leste - Timor Lorosa'e
East Timor	Categoría:Timor Leste
Ebro	Río Ebro
Eccentricity (mathematics)	Excentricidade
Eclipse	Eclipse
Ecliptic	Eclíptica
Ecological niche	Nicho Ecolóxico
Ecology	Ecoloxía
Ecology	Categoría:Ecoloxía
Economics	Economía
Economics	Categoría:Economía
Economy	Economía
Ecosystem	Ecosistema
Ecuador	Ecuador
Ecuador	Categoría:Ecuador
Ecumenical council	Concilio ecuménico
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edimburgo - Edinburgh
Edmond Halley	Edmund Halley
Edmonton	Edmonton
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Education	Educación
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Egg (biology)	Ovo (alimento)
Egypt	Exipto - مصر
Egypt	Categoría:Exipto
Egyptology	Exiptoloxía
Eiffel Tower	Torre Eiffel
Einsteinium	Einstenio
El Cid	Rodrigo Díaz de Vivar
El Greco	El Greco
El Salvador	O Salvador - El Salvador
El Salvador	Categoría:O Salvador
Elam	Elam
Elbe	Río Elba
Eleanor Roosevelt	Eleanor Roosevelt
Election	Eleccións
Electra	Electra
Electric charge	Carga eléctrica
Electric current	Corrente eléctrica
Electric field	Campo eléctrico
Electric guitar	Guitarra eléctrica
Electricity	Electricidade
Electrocardiogram	Electrocardiograma
Electrochemistry	Electroquímica
Electrolysis	Electrólise
Electromagnetic radiation	Radiación electromagnética
Electromagnetic spectrum	Espectro electromagnético
Electromagnetism	Electromagnetismo
Electromagnetism	Categoría:Electromagnetismo
Electron	Electrón
Electron microscope	Microscopio electrónico
Electronegativity	Electronegatividade
Electronics	Electrónica
Elegy	Elexía
Element	Elemento
Elephant	Elefante
Elf	Elfo
Elias Canetti	Elias Canetti
Ellipse	Elipse (lingua)
Elvis Presley	Elvis Presley
Embryo	Embrión
Emerald	Esmeralda
Emilia-Romagna	Emilia Romaña - Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Cariña
Emotion	Emoción
Empedocles	Empédocles
Emperor	Emperador
Empire	Imperio
Emulsion	Emulsión
Encyclopedia	Enciclopedia
Energy	Enerxía
Energy (society)	Enerxía
Engineering	Enxeñaría
England	Inglaterra - England
England	Categoría:Inglaterra
English Channel	Canal da Mancha
English language	Lingua inglesa
Enrico Fermi	Enrico Fermi
Entertainment	Categoría:Entretemento
Enthalpy	Entalpía
Entropy	Entropía
Eon (geology)	Eón xeolóxico
Ephesus	Éfeso
Epicenter	Epicentro
Epicurus	Epicuro de Samos
Epidemic	Epidemia
Epigraphy	Epigrafía
Epilepsy	Epilepsia
Epinephrine	Adrenalina
Epirus (periphery)	Épiro
Epistemology	Epistemoloxía
Epsilon	Epsilon
Equation	Ecuación
Equator	Ecuador terrestre
Equatorial Guinea	Guinea Ecuatorial
Equatorial Guinea	Categoría:Guinea Ecuatorial
Equidae	Équido
Equinox	Equinoccio
Eratosthenes	Eratóstenes
Erbium	Erbio
Erebus	Erebo
Eridanus (constellation)	Eridanus
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (planeta anano)
Eritrea	Categoría:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eros (mythology)	Eros
Erosion	Erosión
Erwin Rommel	Erwin Rommel
Esperanto	Esperanto
Essay	Ensaio (literatura)
Essen	Essen
Estonia	Categoría:Estonia
Eta (letter)	Eta
Ethanol	Etanol
Ethernet	Ethernet
Ethics	Ética
Ethiopia	Etiopía - Ityop'iya
Ethiopia	Categoría:Etiopía
Ethnic group	Etnia
Ethnography	Etnografía
Ethology	Etoloxía
Etymology	Etimoloxía
Eucalyptus	Eucalipto
Euclid	Euclides
Eukaryote	Eukaryota
Euphemism	Eufemismo
Euphrates	Río Éufrates
Eurasia	Eurasia
Eurasian Badger	Teixugo
Euro	Euro
Europa (moon)	Europa (satélite)
Europe	Europa
Europe	Categoría:Europa
European Central Bank	Banco Central Europeo
European Community	Comunidade Económica Europea
European Magpie	Pega
European Union	Unión Europea
European Union	Categoría:Unión Europea
Europium	Europio
Eusebius of Caesarea	Eusebio de Cesarea
Euthanasia	Eutanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evaporation	Evaporación
Even-toed ungulate	Artiodáctilo
Evolution	Evolución biolóxica
Excalibur	Excalibur
Exclamation mark	Signo de admiración
Executive (government)	Poder executivo
Existentialism	Existencialismo
Exodus	Éxodo
Expected value	Valor esperado
Expressionism	Expresionismo
Eye	Ollo
Ezra Pound	Ezra Pound
F	F
Factorial	Factorial
Fado	Fado
Fahrenheit	Fahrenheit
Fair use	Uso lexítimo
Fairy tale	Conto de fadas
Falcon	Falcón
Falkland Islands	Illas Malvinas - Falkland Islands
Falun Gong	Falun Gong
Family (biology)	Familia (bioloxía)
Family name	Apelido
Far East	Extremo Oriente
Farad	Farad
Faroe Islands	Categoría:Illas Feroe
Fascism	Fascismo
Fashion	Moda
Fast food	Comida rápida
Fauvism	Fauvismo
Fear	Medo
Feather	Pluma
February	Febreiro
February 12	12 de febreiro
February 14	14 de febreiro
February 2	2 de febreiro
February 22	22 de febreiro
February 29	29 de febreiro
Federated States of Micronesia	Estados Federados de Micronesia - Federated States of Micronesia
Federation	Federación
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feldspar	Feldespato
Felidae	Felino
Feminism	Feminismo
Feminism	Categoría:Feminismo
Fencing	Esgrima
Feng shui	Feng Shui
Fennel	Fiúncho
Fenrir	Fenrir
Fenugreek	Alforfa
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermion	Fermión
Fermium	Fermio
Fertile Crescent	Crecente Fértil
Feudalism	Feudalismo
Fidel Castro	Fidel Castro
Fighter aircraft	Caza (avión)
Fiji	Fidxi - Viti
Fiji	Categoría:Fidxi
File Allocation Table	FAT
File Transfer Protocol	File Transfer Protocol
Filippo Brunelleschi	Filippo Brunelleschi
Film	Category:Cine
Fingerprint	Pegada dactilar
Finland	Finlandia - Suomi
Finland	Categoría:Finlandia
Fir	Abeto
Fire	Lume
Firefighter	Bombeiro
Firewall (networking)	Devasa
Firmware	Firmware
First Council of Nicaea	Primeiro Concilio de Nicea
First language	Lingua materna
Fish	Peixe
Fishing	Pesca
Fjord	Fiorde
Flag	Bandeira, símbolo
Flamenco	Música flamenca
Flamingo	Flamingo
Flanders	Flandres
Flea	Pulga
Flood	Inundación
Floppy disk	Disquete
Florence	Florencia - Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Flour	Fariña
Flower	Flor
Fluid	Fluído
Fluorite	Fluorita
Food	Alimento
Food additive	Aditivo
Food and Agriculture Organization	Organización das Nacións Unidas para a Alimentación e a Agricultura
Foot (unit of length)	Pé (medida)
Football (soccer)	Fútbol
Football (soccer)	Categoría:Fútbol
Football (soccer) managers	Categoría:Adestradores de fútbol
Football (soccer) players	Categoría:Futbolistas
Force	Forza
Forest	Bosque
Fork	Garfo
Fornax	Fornax
Fossil	Fósil
Fossil fuel	Enerxía fósil
Fourier series	Serie de Fourier
Fractal	Fractal
France	Francia - France
France	Categoría:Francia
Francis Bacon	Francis Bacon (filósofo)
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis of Assisi	Francisco de Asís
Francisco Franco	Francisco Franco Bahamonde
Francisco Goya	Francisco José de Goya y Lucientes
Francisco Pizarro	Francisco Pizarro
Francium	Francio
Franco-Prussian War	Guerra franco-prusiana
Frank Lloyd Wright	Frank Lloyd Wright
Frankfort	Frankfort, Kentucky
Frankfurt	Frankfurt - Frankfurt am Main
Frankfurt	Categoría:Frankfurt
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Frederico I Barbarroxa
Freedom (philosophy)	Liberdade
Freemasonry	Masonería
Freetown	Freetown
French Polynesia	Polinesia Francesa - Polynésie française
French Revolution	Revolución Francesa
Frequency	Frecuencia
Fresco	Fresco
Freyr	Frey
Friction	Atrito
Friday	Venres
Friedrich Engels	Friedrich Engels
Frigg	Frigg
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Anura
Fructose	Frutosa
Fuel	Combustible
Fukuoka	Fukuoka
Full moon	Fases da lúa
Funafuti	Funafuti
Function (mathematics)	Función
Fundamental	Category:Índice
Funk	Funk
Furniture	Mobiliario
Future	Futuro
Futurism (art)	Futurismo
Fyodor Dostoevsky	Fiódor Dostoievski
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabón - Gabon
Gabon	Categoría:Gabón
Gaborone	Gaborone
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinio
Gaia (mythology)	Gaia
Galaxy	Galaxia
Galen	Galeno
Galena	Galena
Galicia (Central Europe)	Galitsia
Galicia (Spain)	Galicia
Galileo Galilei	Galileo Galilei
Gallium	Galio
Gallon	Galón
Galway	Galway - Gaillimh
Gamal Abdel Nasser	Gamal Abdel Nasser
Game	Xogo
Gamma	Gamma
Gamma ray	Radiación gamma
Ganges	Río Ganxes
Ganymede (moon)	Ganímedes (satélite)
Garden	Xardín
Garfield	Garfield
Gargoyle	Gárgola (arquitectura)
Garlic	Allo
Garonne	Río Garona
Gas	Gas
Gasoline	Gasolina
Gaul	Galia
Gautama Buddha	Siddhartha Gautama
Gay	Gai
Gaza	Gaza, Palestina
Gaza Strip	Faixa de Gaza
Gemini (constellation)	Gemini
Gene	Xene
General relativity	Relatividade Xeral
Genesis	Xénese
Genetics	Xenética
Geneva	Xenebra - Genève
Genie	Xenio
Genitive case	Xenitivo
Genoa	Xénova - Genova
Genocide	Xenocidio
Genome	Xenoma
Genotype	Xenotipo
Genus	Xénero (bioloxía)
Geodesy	Xeodesia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Xeografía
Geography	Categoría:Xeografía
Geology	Categoría:Xeoloxía
Geology	Xeoloxía
Geometry	Xeometría
Geometry	Categoría:Xeometría
Geophysics	Xeofísica
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Lucas	George Lucas
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George W. Bush	George Walker Bush
George Washington	George Washington
Georges Braque	Georges Braque
Georges Simenon	Georges Simenon
Georgetown	Georgetown, Güiana
Georgia (U.S. state)	Xeorxia, Estados Unidos de América
Georgia (country)	Xeorxia - საქართველო
Georgia (country)	Categoría:Xeorxia
Gerald Ford	Gerald Rudolph Ford, Jr.
German language	Lingua alemá
Germanium	Xermanio
Germany	Alemaña - Deutschland
Germany	Categoría:Alemaña
Gestapo	Gestapo
Geyser	Geyser
Ghana	Gana - Ghana
Ghana	Categoría:Gana
Ghent	Gante - Gent
Giacomo Puccini	Giacomo Puccini
Gibraltar	Xibraltar - Gibraltar
Ginger	Xenxibre
Ginkgo	Xinkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giovanni Boccaccio	Giovanni Boccaccio
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza - الجيزة
Gland	Glándula
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Vidro
Glasses	Lentes
Global Positioning System	GPS (sistema de posicionamento global)
Global warming	Quentamento global
Globalization	Globalización
Glucose	Glicosa
Gluon	Gluón
Glycerol	Glicerol
Gnathostomata	Gnathostomata
Go (board game)	Go
Goa	Goa - गोंय
Gobi Desert	Deserto de Gobi
God	Deus
Golan Heights	Altos do Golán
Gold	Ouro
Golda Meir	Golda Meir
Golden Eagle	Aguia real
Golden Gate Bridge	Ponte Golden Gate
Golf	Golf
Golgi apparatus	Aparello de Golgi
Google	Google
Gorilla	Gorila
Goshawk	Azor
Gothenburg	Göteborg
Gothic	Gótico
Gothic architecture	Arquitectura gótica
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Government	Goberno
Graham Greene	Graham Greene
Grammar	Gramática
Grammatical gender	Xénero gramatical
Granada	Granada, España
Granite	Granito
Grapefruit	Pomelo
Graphical user interface	GUI
Graphite	Grafito
Graviton	Gravitón
Gray Wolf	Lobo
Graz	Graz
Great Barrier Reef	Gran Barreira de Coral
Great Britain	Gran Bretaña - Great Britain
Great Depression	Gran Depresión
Great Lakes	Grandes Lagos, América do Norte
Great Rift Valley	Gran Val do Rift
Great Wall of China	Gran Muralla Chinesa
Greater Antilles	Antillas Maiores
Greater London	Gran Londres
Greece	Grecia - Ελλάδα
Greece	Categoría:Grecia
Greek alphabet	Alfabeto grego
Greek alphabet	Categoría:Alfabeto grego
Greek fire	Lume grego
Greek mythology	Mitoloxía grega
Greek mythology	Categoría:Mitoloxía grega
Green	Verde
Greenhouse	Invernadoiro
Greenhouse effect	Efecto invernadoiro
Greenhouse gas	Gas de efecto invernadoiro
Greenland	Grenlandia - Kalaallit Nunaat
Greenpeace	Greenpeace
Gregorian calendar	Calendario gregoriano
Grenada	Categoría:Granada
Greta Garbo	Greta Garbo
Greylag Goose	Ganso bravo
Griffon Vulture	Voitre común
Gross domestic product	Produto Interior Bruto
Group (periodic table)	Grupo da táboa periódica
Grover Cleveland	Stephen Grover Cleveland
Grus (constellation)	Grus
Guadalajara	Guadalaxara, México
Guadeloupe	Guadalupe - Guadeloupe
Guam	Guam
Guangzhou	Guangzhou
Guanine	Guanina
Guano	Guano
Guatemala	Categoría:Guatemala
Guatemala City	Cidade de Guatemala - Ciudad de Guatemala
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillaume Apollinaire	Guillaume Apollinaire
Guinea	Guinea - Guinée
Guinea	Categoría:Guinea
Guinea pig	Cobaia
Guinea-Bissau	Guinea-Bisau - Guiné-Bissau
Guinea-Bissau	Categoría:Guinea-Bisau
Guitar	Guitarra
Gulf Stream	Corrente do Golfo
Gulf of Aqaba	Golfo de Aqaba
Gulf of Bothnia	Golfo de Botnia
Gulf of Finland	Golfo de Finlandia
Gulf of Guinea	Golfo de Guinea
Gulf of Mexico	Golfo de México
Gulf of Oman	Golfo de Omán
Gulf of Riga	Golfo de Riga
Gunpowder Plot	Conspiración da pólvora
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Categoría:Güiana
Gymnastics	Ximnasia
Gymnosperm	Ximnosperma
Gyroscope	Xiroscopio
H	H
H. G. Wells	Herbert George Wells
HTML	HTML
Hacker	Hacker
Hadrian	Hadriano (emperador)
Hadrian's Wall	Vallum Hadriani
Hafnium	Hafnio
Hagia Sophia	Igrexa de Santa Sofía
Haiku	Haiku
Hail	Sarabia
Hair	Cabelo
Haiti	Haití - Haïti
Halberd	Alabarda
Halloween	Halloween
Hamas	Hamás
Hamburg	Hamburgo
Hamlet	Hamlet
Hammer and sickle	Fouce e martelo
Hammurabi	Hammurabi
Hamster	Hamster
Hanging	Aforcamento
Hanging Gardens of Babylon	Xardíns colgantes da Babilonia
Hannah Arendt	Hannah Arendt
Hannibal	Aníbal
Hanoi	Hanoi - Hà Nội
Hanover	Hannóver - Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Liga Hanseática
Happiness	Felicidade
Harare	Harare
Hardness	Dureza
Harold Pinter	Harold Pinter
Harp	Arpa
Harpsichord	Clavicémbalo
Harpy	Harpía
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg, Pensilvania
Hartford	Hartford, Connecticut
Hassium	Hasio
Havana	A Habana - La Habana
Hawaii	Hawai - Hawai'i
Head	Cabeza
Head of state	Xefe de Estado
Health	Saúde
Heart	Corazón
Heat	Calor
Heat engine	Máquina térmica
Heavy metal	Categoría:Heavy metal
Heavy metal music	Heavy metal
Hebrew alphabet	Alfabeto hebreo
Hebrew calendar	Calendario hebreo
Hebrides	Illas Hébridas
Hectare	Hectárea
Hector	Héctor
Heimdall	Heimdall
Heinrich Hertz	Heinrich Rudolf Hertz
Hel (being)	Hela
Helen	Helena
Helen Keller	Helen Keller
Helena	Helena, Montana
Helicopter	Helicóptero
Helium	Helio
Helsinki	Helsinqui - Helsinki
Hematite	Hematita
Hematology	Hematoloxía
Hemoglobin	Hemoglobina
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Alfred Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Hepatitis	Hepatite
Hera	Hera
Heraclitus	Heráclito de Éfeso
Heraldry	Heráldica
Herbert Hoover	Herbert Clark Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules (constellation)	Hercules (constelación)
Heresy	Herexía
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermaphrodite	Hermafrodita
Hermeneutics	Hermenéutica
Hermes	Hermes
Hero	Heroe
Herodotus	Heródoto
Heroin	Heroína (droga)
Hertz	Hertz
Hesse	Hessen
Hestia	Hestia (deusa)
Hexadecimal	Código hexadecimal
Hexagon	Hexágono
Hezbollah	Hesbulá
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Himalayas	Himalaia
Hindu Kush	Hindu Kush
Hinduism	Categoría:Hinduísmo
Hipparchus	Hiparco
Hippocrates	Hipócrates
Hirohito	Hirohito
Hiroshima	Hiroxima - 広島市
Hispaniola	A Española
Histology	Histoloxía
History	Historia
History	Categoría:Historia
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Cidade Ho Chi Minh - Thành phố Hồ Chí Minh
Hobart	Hobart
Hobbit	Hobbit
Hobby	Hobby
Hokusai	Hokusai
Hollywood	Hollywood
Holmium	Holmio
Holography	Holografía
Holy Grail	Santo Graal
Holy Roman Empire	Sacro Imperio Romano Xermánico
Holy Spirit	Espírito Santo
Homeopathy	Homeopatía
Homeostasis	Homeostase
Homer	Homero
Homo (genus)	Homo
Homo erectus	Homo erectus
Homo habilis	Homo habilis
