Interlingua	English
Annapolis, Maryland	Annapolis
Formica	Ant
Antarctica	Antarctica
Anthropologia	Anthropology
Categoria:Anthropologia	Anthropology
Antichristo	Antichrist
Antigua e Barbuda	Antigua and Barbuda
Categoria:Antigua e Barbuda	Antigua and Barbuda
Aphorismo	Aphorism
Aphrodite	Aphrodite
Apocryphos	Apocrypha
Apollon	Apollo
Appendicitis	Appendicitis
April	April
14 de april	April 14
Alphabeto arabe	Arabic alphabet
Lingua arabe	Arabic language
Arcadia	Arcadia
Archeologia	Archaeology
Categoria:Archeologia	Archaeology
Archimedes	Archimedes
Architectura	Architecture
Categoria:Architectura	Architecture
Oceano Arctic	Arctic Ocean
Superficie	Area
Ares	Ares
Argentina	Argentina
Categoria:Argentina	Argentina
Arianismo	Arianism
Arithmetica	Arithmetic
Categoria:Arithmetica	Arithmetic
Armenia	Armenia
Categoria:Armenia	Armenia
Arte	Art
Arthritis	Arthritis
Arthropodo	Arthropod
Intelligentia artificial	Artificial intelligence
Artista	Artist
Categoria:Arte	Arts
Aruba	Aruba
Asia	Asia
Asthma	Asthma
Astrologia	Astrology
Categoria:Astrologia	Astrology
Astronauta	Astronaut
Astronomia	Astronomy
Categoria:Astronomia	Astronomy
Categoria:Astrophysica	Astrophysics
Atlanta, Georgia	Atlanta
Oceano Atlantic	Atlantic Ocean
Atlantis	Atlantis
Atmosphera	Atmosphere
Atomo	Atom
Augusto	August
1 de augusto	August 1
15 de augusto	August 15
6 de augusto	August 6
Augusta, Maine	Augusta
Augustino de Hippona	Augustine of Hippo
Augustus	Augustus
Austin, Texas	Austin
Australia	Australia
Categoria:Australia	Australia
Austria	Austria
Categoria:Austria	Austria
Autor	Author
Autismo	Autism
Autobiographia	Autobiography
Cassero automatic	Automated teller machine
Autotropho	Autotroph
Avalanche	Avalanche
Azerbaidzhan	Azerbaijan
Categoria:Azerbaidzhan	Azerbaijan
Azores	Azores
Backgammon	Backgammon
Bacterio	Bacteria
Camelo	Bactrian Camel
Categoria:Bahamas	Bahamas
Bahrain	Bahrain
Categoria:Bahrain	Bahrain
Bangladesh	Bangladesh
Categoria:Bangladesh	Bangladesh
Banca	Bank
Baptismo	Baptism
Baptistas	Baptist
Barbados	Barbados
Categoria:Barbados	Barbados
Barcelona	Barcelona
Basilicata	Basilicata
Basketball	Basketball
Vespertilion	Bat
Baton Rouge, Louisiana	Baton Rouge
Ursidae	Bear
Bielorussia	Belarus
Categoria:Bielorussia	Belarus
Belfast	Belfast
Belgica	Belgium
Categoria:Belgica	Belgium
Belize	Belize
Categoria:Belize	Belize
Benin	Benin
Categoria:Benin	Benin
Bergen	Bergen
Berlin	Berlin
Bhutan	Bhutan
Categoria:Bhutan	Bhutan
Biblia	Bible
Categoria:Biblia	Bible
Big Bang	Big Bang
Bill Gates	Bill Gates
Biologia	Biology
Categoria:Biologia	Biology
Birmingham, Alabama	Birmingham
Episcopo	Bishop
Bismarck, North Dakota	Bismarck
Bit	Bit
Blaise Pascal	Blaise Pascal
Cecitate	Blindness
Blog	Blog
Sanguine	Blood
Plasma	Blood plasma
Bob Dylan	Bob Dylan
Boise, Idaho	Boise
Bolivia	Bolivia
Categoria:Bolivia	Bolivia
Bombyx mori	Bombyx mori
Libro	Book
Libro de Mormon	Book of Mormon
Bosnia e Herzegovina	Bosnia and Herzegovina
Categoria:Bosnia e Herzegovina	Bosnia and Herzegovina
Boston, Massachusetts	Boston
Patrono:Bot	Bot
Botanica	Botany
Categoria:Botanica	Botany
Botswana	Botswana
Categoria:Botswana	Botswana
Boxer	Boxer (dog)
Cerebro	Brain
Brasil	Brazil
Categoria:Brasil	Brazil
Columbia Britannic	British Columbia
Categoria:Gente britannic	British people
Brunei	Brunei
Categoria:Brunei	Brunei
Bucarest	Bucharest
Buddha	Buddha
Buddhismo	Buddhism
Categoria:Buddhismo	Buddhism
Buenos Aires	Buenos Aires
Edificio	Building
Bulgaria	Bulgaria
Categoria:Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Categoria:Burkina Faso	Burkina Faso
Myanmar	Burma
Categoria:Myanmar	Burma
Categoria:Burundi	Burundi
Papilion	Butterfly
Byte	Byte
C (linguage de programmation)	C (programming language)
COBOL	COBOL
Cache	Cache
Calabria	Calabria
Calendario	Calendar
California	California
Calvinismo	Calvinism
Cambodgia	Cambodia
Categoria:Cambodgia	Cambodia
Camera photographic	Camera
Camerun	Cameroon
Categoria:Camerun	Cameroon
Campania	Campania
Canada	Canada
Categoria:Canada	Canada
Canarias	Canary Islands
Capacitor	Capacitor
Capo Verde	Cape Verde
Categoria:Capo Verde	Cape Verde
Capital	Capital
Carbon	Carbon
Mar Caribe	Caribbean Sea
Carnivoro	Carnivora
Carl von Linné	Carolus Linnaeus
Carson City, Nevada	Carson City
Cartographia	Cartography
Castilia	Castile (historical region)
Catto	Cat
Catalonia	Catalonia
Catholicismo	Catholicism
Vacca	Cattle
Cellula (biologia)	Cell (biology)
Nucleo (biologia)	Cell nucleus
Centimetro	Centimetre
Republica Centroafrican	Central African Republic
Categoria:Republica Centroafrican	Central African Republic
America central	Central America
Ceramica	Ceramic
Ceres (disambiguation)	Ceres
Ceres (planeta nano)	Ceres (dwarf planet)
Chad	Chad
Categoria:Chad	Chad
Charles Darwin	Charles Darwin
Charleston, West Virginia	Charleston
Charlotte, North Carolina	Charlotte
Caseo	Cheese
Gepardo	Cheetah
Elemento chimic	Chemical element
Chimia	Chemistry
Categoria:Chimia	Chemistry
Chacos	Chess
Categoria:Chacos	Chess
Cheyenne, Wyoming	Cheyenne
Chile	Chile
Categoria:Chile	Chile
Categoria:China	China
Chordatos	Chordate
Christianismo	Christianity
Categoria:Christianismo	Christianity
Christophoro Columbo	Christopher Columbus
Ecclesia	Church
Cleveland, Ohio	Cleveland
Clonage	Cloning
Categoria:Guerra Frigide	Cold War
Colonia	Cologne
Colombia	Colombia
Categoria:Colombia	Colombia
Amphitheatrum Flavium	Colosseum
Columbia, South Carolina	Columbia
Columbus, Ohio	Columbus
Cometa	Comet
Categoria:Commercio	Commerce
Categoria:Communication	Communication
Communication	Communication
Comores	Comoros
Categoria:Comores	Comoros
Computator	Computer
Categoria:Hardware	Computer hardware
Rete de computatores	Computer network
Categoria:Programmation	Computer programming
Informatica	Computer science
Categoria:Informatica	Computer science
Software	Computer software
Concord, New Hampshire	Concord
Confession	Confession
Constantinopolis	Constantinople
Continente	Continent
Cocina	Cooking
Cooperative	Cooperative
Tempore universal coordinate	Coordinated Universal Time
Derecto de autor	Copyright
Cosmologia	Cosmology
Categoria:Cosmologia	Cosmology
Costa Rica	Costa Rica
Categoria:Costa Rica	Costa Rica
Creta	Crete
Cricket	Cricket
Croatia	Croatia
Categoria:Croatia	Croatia
Cruce	Cross
Crystallographia	Crystallography
Categoria:Crystallographia	Crystallography
Ctenophoro	Ctenophore
Cuba	Cuba
Categoria:Cuba	Cuba
Cubismo	Cubism
Cultura	Culture
Categoria:Cultura	Culture
Curitiba	Curitiba
Numerario	Currency
Categoria:Cypro	Cyprus
Republica Chec	Czech Republic
Categoria:Republica Chec	Czech Republic
Checoslovachia	Czechoslovakia
Dalai Lama	Dalai Lama
Dallas, Texas	Dallas
Dansa	Dance
Categoria:Dansa	Dance
Dante Alighieri	Dante Alighieri
Base de datos	Database
Categoria:Datas	Days
Morte	Death
Categoria:Morte	Death
Decembre	December
31 de decembre	December 31
8 de decembre	December 8
Deconstruction	Deconstruction
Grado	Degree
Grado (angulo)	Degree (angle)
Deimos (luna)	Deimos (moon)
Deismo	Deism
Democratia	Democracy
Republica Democratic del Congo	Democratic Republic of the Congo
Categoria:Republica Democratic del Congo	Democratic Republic of the Congo
Democrito	Democritus
Demographia	Demography
Categoria:Demographia	Demography
Dengue	Dengue fever
Danmark	Denmark
Categoria:Danmark	Denmark
Denver, Colorado	Denver
Des Moines, Iowa	Des Moines
Determinismo	Determinism
Detroit, Michigan	Detroit
Deuteronomio	Deuteronomy
Diabete	Diabetes mellitus
Signo diacritic	Diacritic
Diaspora	Diaspora
Categoria:Disambiguation	Disambiguation
Maladia	Disease
Distantia	Distance
Categoria:Djibouti	Djibouti
Dodo	Dodo
Can	Dog
Dogma	Dogma
Delphino	Dolphin
Dominica (pais)	Dominica
Categoria:Dominica	Dominica
Republica Dominican	Dominican Republic
Categoria:Republica Dominican	Dominican Republic
Don Quixote de La Mancha	Don Quixote
Dover, Delaware	Dover
Dresden	Dresden
Dromedario	Dromedary
Categoria:Gente hollandese	Dutch people
Dynamica	Dynamics (physics)
E (constante mathematic)	E (mathematical constant)
Terra	Earth
Scientias del terra	Earth science
Timor Oriental	East Timor
Categoria:Timor Oriental	East Timor
Ecologia	Ecology
Categoria:Ecologia	Ecology
Economia	Economics
Categoria:Economia	Economics
Economia	Economy
Ecuador	Ecuador
Categoria:Ecuador	Ecuador
Edmund Hillary	Edmund Hillary
Education	Education
Categoria:Education	Education
Edward Jenner	Edward Jenner
Egypto	Egypt
Categoria:Egypto	Egypt
El Greco	El Greco
El Paso, Texas	El Paso
El Salvador	El Salvador
Categoria:El Salvador	El Salvador
Electromagnetismo	Electromagnetism
Electron	Electron
Electronica	Electronics
Categoria:Electronica	Electronics
Elegia	Elegy
Elemento (disambiguation)	Element
Elephante	Elephant
Elijah	Elijah
Ellipse	Ellipse
Emilia-Romagna	Emilia-Romagna
Emoticone	Emoticon
Categoria:Emotiones	Emotion
Imperator	Emperor
Emulator	Emulator
Encyclopedia	Encyclopedia
Energia	Energy
Energia	Energy (society)
Ingenieria	Engineering
Categoria:Ingenieria	Engineering
Anglaterra	England
Lingua anglese	English language
Enrico Fermi	Enrico Fermi
Categoria:Intertenimento	Entertainment
Entropia	Entropy
Epos	Epic poetry
Epiphania	Epiphany (Christian)
Epistola al Romanos	Epistle to the Romans
Equation	Equation
Guinea Equatorial	Equatorial Guinea
Categoria:Guinea Equatorial	Equatorial Guinea
Eris	Eris (dwarf planet)
Categoria:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Eros	Eros (mythology)
Erotica	Erotica
Eschatologia	Eschatology
Esperanto	Esperanto
Essayo	Essay
Categoria:Estonia	Estonia
Ethica	Ethics
Categoria:Ethica	Ethics
Ethiopia	Ethiopia
Categoria:Ethiopia	Ethiopia
Ethologia	Ethology
Etymologia	Etymology
Eucharistia	Eucharist
Euphemismo	Euphemism
Euro	Euro
Europa (mythologia)	Europa (mythology)
Europa	Europe
Categoria:Europa	Europe
Union Europee	European Union
Categoria:Union Europee	European Union
Artiodactyla	Even-toed ungulate
Excommunication	Excommunication
Existentialismo	Existentialism
Fabula	Fable
Fabrica	Factory
Grado Fahrenheit	Fahrenheit
Insulas Falkland - Malvinas	Falkland Islands
Februario	February
12 de februario	February 12
14 de februario	February 14
2 de februario	February 2
22 de februario	February 22
29 de februario	February 29
Feminismo	Feminism
Categoria:Feminismo	Feminism
Ferdinando Magellanes	Ferdinand Magellan
Categoria:Fiction	Fiction
Fiji	Fiji
Categoria:Fiji	Fiji
File Transfer Protocol	File Transfer Protocol
Categoria:Cinema	Film
Categoria:Financia	Finance
Finlandia	Finland
Categoria:Finlandia	Finland
Epistola 1 al Corinthios	First Epistle to the Corinthians
Memoria flash	Flash memory
Florida	Florida
Football	Football (soccer)
Categoria:Football	Football (soccer)
Categoria:Clubs de football	Football (soccer) clubs
Foreste	Forest
Fort Worth, Texas	Fort Worth
FORTRAN	Fortran
Fractal	Fractal
Francia	France
Categoria:Francia	France
Francis Drake	Francis Drake
Frankfort, Kentucky	Frankfort
Frankfurt am Main	Frankfurt
Freeware	Freeware
Revolution francese	French Revolution
Categoria:Gente francese	French people
Fresno, California	Fresno
Venerdi	Friday
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Categoria:Fructo	Fruit
Funafuti	Funafuti
Categoria:Tote	Fundamental
Fundamentalismo	Fundamentalism
Categoria:Mobiles	Furniture
Futurismo	Futurism (art)
Gabon	Gabon
Categoria:Gabon	Gabon
Gallecia	Galicia (Spain)
Galileo Galilei	Galileo Galilei
Banda de Gaza	Gaza Strip
Categoria:Genetica	Genetics
Genoma	Genome
Genere (biologia)	Genus
Geographia	Geography
Categoria:Geographia	Geography
Categoria:Geologia	Geology
Geologia	Geology
Geometria	Geometry
Categoria:Geometria	Geometry
George Bernard Shaw	George Bernard Shaw
Georgia (pais)	Georgia (country)
Categoria:Georgia	Georgia (country)
Lingua german	German language
Germania	Germany
Categoria:Germania	Germany
Ghana	Ghana
Categoria:Ghana	Ghana
Gibraltar	Gibraltar
Glandula	Gland
Gnosticismo	Gnosticism
Go	Go (board game)
Goa	Goa
Capra	Goat
Deo	God
Evangelio	Gospel
Evangelio secundo Luca	Gospel of Luke
Göteborg	Gothenburg
Grammatica	Grammar
Categoria:Grammatica	Grammar
Gravitate	Gravitation
Lupo gris	Gray Wolf
Grecia	Greece
Categoria:Grecia	Greece
Alphabeto grec	Greek alphabet
Mythologia grec	Greek mythology
Categoria:Mythologia grec	Greek mythology
Effecto conservatorio	Greenhouse effect
Groenlandia	Greenland
Categoria:Grenada	Grenada
Guadeloupe	Guadeloupe
Guanina	Guanine
Categoria:Guatemala	Guatemala
Guinea	Guinea
Categoria:Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Categoria:Guinea-Bissau	Guinea-Bissau
Categoria:Guyana	Guyana
Gynecologia	Gynaecology
HTML	HTML
Hemophilia	Haemophilia
Ave Maria	Hail Mary
Haiti	Haiti
Categoria:Haiti	Haiti
Hadj	Hajj
Hannibal	Hannibal
Hanoi	Hanoi
Harold Pinter	Harold Pinter
Harrisburg, Pennsylvania	Harrisburg
Hartford, Connecticut	Hartford
Capite	Head
Sanitate	Health
Categoria:Sanitate	Health
Alphabeto hebree	Hebrew alphabet
Calendario hebree	Hebrew calendar
Heinrich Rudolf Hertz	Heinrich Hertz
Helena, Montana	Helena
Helsinki	Helsinki
Hemoglobina	Hemoglobin
Henry	Henry (unit)
Henry Ford	Henry Ford
Heraldica	Heraldry
Categoria:Heraldica	Heraldry
Heresia	Heresy
Hermeneutica	Hermeneutics
Hertz	Hertz
Heterotropho	Heterotroph
Hezbollah	Hezbollah
Hinduismo	Hinduism
Categoria:Hinduismo	Hinduism
Hispaniola	Hispaniola
Historia	History
Categoria:Historia	History
Hobart	Hobart
Sacre Imperio Roman	Holy Roman Empire
Categoria:Sacre Imperio Roman	Holy Roman Empire
Spirito Sancte	Holy Spirit
Homosexualitate	Homosexuality
Honduras	Honduras
Categoria:Honduras	Honduras
Hong Kong	Hong Kong
Honolulu, Hawaii	Honolulu
Corno	Horn (anatomy)
Cavallo	Horse
Houston, Texas	Houston
Esser human	Human
Humanismo	Humanism
Hungaria	Hungary
Categoria:Hungaria	Hungary
Hydrogeno	Hydrogen
Hypertexto	Hypertext
Hypothese	Hypothesis
Peninsula iberic	Iberian Peninsula
Islanda	Iceland
Categoria:Islanda	Iceland
Ichthyologia	Ichthyology
Ido	Ido
Immanuel Kant	Immanuel Kant
India	India
Categoria:India	India
Oceano Indian	Indian Ocean
Indianapolis, Indiana	Indianapolis
Indira Gandhi	Indira Gandhi
Indonesia	Indonesia
Categoria:Indonesia	Indonesia
Categoria:Industria	Industry
Information	Information
Insecto	Insect
Numero integre	Integer
Intelligentia	Intelligence
Interlingua	Interlingua
Systema International de Unitates	International System of Units
Internet	Internet
Categoria:Internet	Internet
Iran	Iran
Categoria:Iran	Iran
Irak	Iraq
Categoria:Irak	Iraq
Irlanda	Ireland
Categoria:Irlanda	Ireland
Iridium	Iridium
Categoria:Gente irlandese	Irish people
Ferro	Iron
Isaac Newton	Isaac Newton
Islam	Islam
Categoria:Islam	Islam
Calendario islamic	Islamic calendar
Insula	Island
Israel	Israel
Categoria:Israel	Israel
Istanbul	Istanbul
Isthmo	Isthmus
Italia	Italy
Categoria:Italia	Italy
Ivan Petrovich Pavlov	Ivan Pavlov
Jackson, Mississippi	Jackson
Jacksonville, Florida	Jacksonville
Jacques Offenbach	Jacques Offenbach
Jamaica	Jamaica
Categoria:Jamaica	Jamaica
James Joyce	James Joyce
Januario	January
1 de januario	January 1
19 de januario	January 19
20 de januario	January 20
6 de januario	January 6
Japon	Japan
Categoria:Japon	Japan
Java (disambiguation)	Java (disambiguation)
Java (linguage de programmation)	Java (programming language)
Jean Piaget	Jean Piaget
Jean Jacques Rousseau	Jean-Jacques Rousseau
Jeddah	Jeddah
Jefferson City, Missouri	Jefferson City
Jehovah	Jehovah
Testes de Jehovah	Jehovah's Witnesses
Jeronimo	Jerome
Jesus Christo	Jesus
Judeo	Jew
Jihad	Jihad
Johann Sebastian Bach	Johann Sebastian Bach
Johannes Calvin	John Calvin
John Napier	John Napier
Jordania	Jordan
Categoria:Jordania	Jordan
Joseph Smith	Joseph Smith
Categoria:Jornalismo	Journalism
Judaismo	Judaism
Categoria:Judaismo	Judaism
Julius Caesar	Julius Caesar
Julio	July
1 de julio	July 1
4 de julio	July 4
Junio	June
14 de junio	June 14
21 de junio	June 21
23 de junio	June 23
24 de junio	June 24
29 de junio	June 29
3 de junio	June 3
Juneau, Alaska	Juneau
Jupiter (planeta)	Jupiter
Jupiter (disambiguation)	Jupiter (disambiguation)
Jupiter (mythologia)	Jupiter (mythology)
Kaaba	Kaaba
Karate	Karate
Karl Barth	Karl Barth
Karl Marx	Karl Marx
Katowice	Katowice
Kazakhstan	Kazakhstan
Categoria:Kazakhstan	Kazakhstan
Kenya	Kenya
Categoria:Kenya	Kenya
Nucleo (informatica)	Kernel (computer science)
Kiev	Kiev
Kilogramma	Kilogram
Kilometro	Kilometre
Regno (biologia)	Kingdom (biology)
Corea	Korea
Ku Klux Klan	Ku Klux Klan
Kuwait	Kuwait
Categoria:Kuwait	Kuwait
Kirghizistan	Kyrgyzstan
Categoria:Kirghizistan	Kyrgyzstan
Linguage	Language
Linguadoc-Rossellon	Languedoc-Roussillon
Lansing, Michigan	Lansing
Las Vegas, Nevada	Las Vegas
Lingua latin	Latin
Alphabeto latin	Latin alphabet
Latvia	Latvia
Categoria:Latvia	Latvia
Derecto	Law
Categoria:Derecto	Law
Latio	Lazio
Anno bissextil	Leap year
Libano	Lebanon
Categoria:Libano	Lebanon
Longitude	Length
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leucemia	Leukemia
Liechtenstein	Liechtenstein
Categoria:Liechtenstein	Liechtenstein
Liguria	Liguria
Lima	Lima
Lincoln, Nebraska	Lincoln
Lingua franca	Lingua franca
Linguistica	Linguistics
Categoria:Linguistica	Linguistics
Linux	Linux
Categoria:Linux	Linux
Leon	Lion
Lisbona	Lisbon
Litteratura	Literature
Categoria:Litteratura	Literature
Lituania	Lithuania
Categoria:Lituania	Lithuania
Llama	Llama
Rete local	Local area network
Logarithmo	Logarithm
Logica	Logic
Categoria:Logica	Logic
Lombardia	Lombardy
London	London
Patrenostre	Lord's Prayer
Lorraine	Lorraine (region)
Los Angeles, California	Los Angeles
Louisville, Kentucky	Louisville
Amor	Love
Ludwig van Beethoven	Ludwig van Beethoven
Lutheranismo	Lutheranism
Luxemburg	Luxembourg
Categoria:Luxemburg	Luxembourg
Luzon	Luzon
Systema lymphatic	Lymphatic system
Lynx	Lynx (web browser)
Lyon	Lyon
Macao	Macau
Madison, Wisconsin	Madison
Madrid	Madrid
Mahatma Gandhi	Mahatma Gandhi
Patrono:AP	Main
Mais	Maize
Malaria	Malaria
Malaysia	Malaysia
Categoria:Malaysia	Malaysia
Malta	Malta
Categoria:Malta	Malta
Lingua maltese	Maltese language
Mammal	Mammal
Mammut	Mammoth
Lingua chinese mandarin	Mandarin (linguistics)
Manhattan	Manhattan
Manicheismo	Manichaeism
Manila	Manila
Manierismo	Mannerism
Martio	March
17 de martio	March 17
19 de martio	March 19
2 de martio	March 2
25 de martio	March 25
Marche	Marche
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marte (disambiguation)	Mars (disambiguation)
Marte (mythologia)	Mars (mythology)
Martin Luther King, Jr.	Martin Luther King
Martinique	Martinique
Massa	Mass
Mathematica	Mathematics
Categoria:Mathematica	Mathematics
Portal:Mathematica	Mathematics
Materia	Matter
Max Planck	Max Planck
Maximiano	Maximian
Maio	May
1 de maio	May 1
24 de maio	May 24
Categoria:Mesura	Measurement
Medicamento	Medication
Medicina	Medicine
Categoria:Medicina	Medicine
Mediterraneo	Mediterranean Sea
Megabyte	Megabyte
Memphis, Tennessee	Memphis
Mercurio (mythologia)	Mercury (mythology)
Mercurio (planeta)	Mercury (planet)
Messia	Messiah
Metallo	Metal
Categoria:Meteorologia	Meteorology
Meteorologia	Meteorology
Metro	Metre
Mexico	Mexico
Categoria:Mexico	Mexico
Miami, Florida	Miami
Michael Faraday	Michael Faraday
Miguel de Cervantes	Miguel de Cervantes
Milano	Milan
Lacte	Milk
Millennio	Millennium
Millimetro	Millimetre
Million	Million
Milwaukee, Wisconsin	Milwaukee
Mineralogia	Mineralogy
Categoria:Mineralogia	Mineralogy
Minerva	Minerva
Minneapolis, Minnesota	Minneapolis
Minnesota	Minnesota
Miraculo	Miracle
Mishnah	Mishnah
Telephono mobile	Mobile phone
Modernismo	Modernism
Moldavia	Moldova
Categoria:Moldova	Moldova
Mollusco	Mollusca
Monaco (principato)	Monaco
Categoria:Monaco	Monaco
Lunedi	Monday
Moneta	Money
Mongolia	Mongolia
Categoria:Mongolia	Mongolia
Monotheismo	Monotheism
Montenegro	Montenegro
Montgomery, Alabama	Montgomery
Mense	Month
Montpelier, Vermont	Montpelier
Luna	Moon
Moral	Morality
Moscova	Moscow
Moses	Moses
Motto	Motto
Mozambique	Mozambique
Categoria:Mozambique	Mozambique
Mahomet	Muhammad
Musica	Music
Categoria:Musica	Music
Categoria:Myanmar	Myanmar
Mythologia	Mythology
Categoria:Mythologia	Mythology
OTAN	NATO
Nancy	Nancy
Napoli	Naples
Nashville, Tennessee	Nashville
Numero natural	Natural number
Scientia natural	Natural science
Natura	Nature
Categoria:Natura	Nature
Nauru	Nauru
Categoria:Nauru	Nauru
Pais Basse	Netherlands
Categoria:Pais Basse	Netherlands
Antillas Nederlandese	Netherlands Antilles
Topologia de rete	Network topology
Categoria:Neurologia	Neurology
Nove Testamento	New Testament
New York (disambiguation)	New York (disambiguation)
New York (citate)	New York City
Nove Zelanda	New Zealand
Categoria:Nove Zelanda	New Zealand
Newark, New Jersey	Newark
Nicaragua	Nicaragua
Categoria:Nicaragua	Nicaragua
Credo catholic	Nicene Creed
Nigeria	Nigeria
Nitrogeno	Nitrogen
Noam Chomsky	Noam Chomsky
Premio Nobel	Nobel Prize
Mythologia nordic	Norse mythology
America del Nord	North America
Corea del Nord	North Korea
Categoria:Corea del Nord	North Korea
Irlanda del Nord	Northern Ireland
Categoria:Irlanda del Nord	Northern Ireland
Norvegia	Norway
Categoria:Norvegia	Norway
Novembre	November
1 de novembre	November 1
11 de novembre	November 11
2 de novembre	November 2
5 de novembre	November 5
Novial	Novial
Arma nuclear	Nuclear weapon
Numero	Number
Categoria:Numeros	Numbers
Numismatica	Numismatics
Quercus	Oak
Oakland, California	Oakland
Oceania	Oceania
Oceanographia	Oceanography
Categoria:Oceanographia	Oceanography
Octobre	October
12 de octobre	October 12
24 de octobre	October 24
Ode	Ode
Oklahoma City, Oklahoma	Oklahoma City
Vetere Testamento	Old Testament
Jocos Olympic	Olympic Games
Categoria:Jocos Olympic	Olympics
Omaha, Nebraska	Omaha
Ontario	Ontario
Ontologia	Ontology
Opera	Opera
Systema de operation	Operating system
Orangutan	Orangutan
Organo (anatomia)	Organ (anatomy)
Chimia organic	Organic chemistry
Organismo	Organism
Organisation del Statos American	Organization of American States
Origen	Origen
Orlando, Florida	Orlando
Ornithologia	Ornithology
Orthographia	Orthography
Osama bin Laden	Osama bin Laden
Oslo	Oslo
