Neapolitan	English
1 'e luglio	July 1
4 'e luglio	July 4
Giùgno	June
14 'e giùgno	June 14
21 'e giùgno	June 21
23 'e giùgno	June 23
24 'e giùgno	June 24
29 'e giùgno	June 29
3 'e giùgno	June 3
Katovice	Katowice
L'Aquila	L'Aquila
La Spezia	La Spezia
Laos	Laos
Lengua latina	Latin
Lazzio	Lazio
Libbano	Lebanon
Lipsia	Leipzig
Libbia	Libya
Luce	Light
Liguria	Liguria
Litteratura	Literature
Categoria:Litteratura	Literature
Lituania	Lithuania
Lummardìa	Lombardy
Lublino	Lublin
Granone	Maize
Lamantino	Manatee
Mantova	Mantua
Manascritto	Manuscript
Màrzo	March
17 'e màrzo	March 17
19 'e màrzo	March 19
2 'e màrzo	March 2
25 'e màrzo	March 25
Marche	Marche
Categoria:Matemàteca	Mathematics
Majo	May
1 'e maggio	May 1
24 'e maggio	May 24
Mericina	Medicine
Memphis	Memphis
Messina	Messina
Milano	Milan
Mulise	Molise
Lunnerì	Monday
Montenegro	Montenegro
Mundreale	Montreal
Luna	Moon
Vesuvio	Mount Vesuvius
Monaco 'e Baviera	Munich
Categoria:Múseca	Music
Napule	Naples
Ulanna	Netherlands
Nova York	New York City
Premmio Nobel	Nobel Prize
Nuvembre	November
1 'e nuvembre	November 1
11 'e nuvembre	November 11
2 'e nuvembre	November 2
5 'e nuvembre	November 5
Ottovre	October
12 'e ottovre	October 12
24 'e ottovre	October 24
Padova	Padua
Palermo	Palermo
Paraguay	Paraguay
Parigge	Paris
Petrusino	Parsley
Fotografía	Photography
Físeca	Physics
Categoria:Físeca	Physics
Piemunte	Piedmont
Pisa	Pisa
Pizza	Pizza
Chianeta	Planet
Pulonnia	Poland
Categoria:Pulonnia	Poland
Categoria:Puliteca	Politics
Pompei	Pompeii
Purcellamma	Porcelain
Purtuallo	Portugal
Elenco 'e contranomme	Pseudonym
Psicologgia	Psychology
Quetzalcoatl	Quetzalcoatl
Ravenna	Ravenna
Mar Ruosso	Red Sea
Reggione	Region
Religgione	Religion
Categoria:Religgione	Religion
Sciummo	River
Romma	Rome
Categoria:Romma	Rome
Salierno	Salerno
San Marino	San Marino
Zardegna	Sardinia
Sassonia	Saxony
Scultura	Sculpture
Senegal	Senegal
Settembre	September
11 'e settembre	September 11
17 'e settembre	September 17
29 'e settembre	September 29
Serbia	Serbia
Sicilia	Sicily
Solanaceae	Solanaceae
Categoria:Solanaceae	Solanaceae
Sofia Loren	Sophia Loren
Spagna	Spain
Sport	Sport
Posema	Starch
Sole	Sun
Dummeneca	Sunday
Sguezia	Sweden
Sguizzera	Switzerland
Categoria:Sguizzera	Switzerland
Siracusa	Syracuse
Ucchiarone	Telescope
Tennessee	Tennessee
Tiatro	Theatre
Gioverì	Thursday
Tivoli	Tivoli
Pummarola	Tomato
Diente	Tooth
Trento	Trento
Marterì	Tuesday
Turino	Turin
Turchía	Turkey
Mar Tirreno	Tyrrhenian Sea
Organizzazione d''e Nazzione Aunite pe ll'Aducazione, 'a Scienza e 'a Cultura	UNESCO
Umbria	Umbria
Gran Vretagna	United Kingdom
State Aunite d'Amereca	United States
Annevierzo	Universe
Univerzità	University
Cità d''o Vaticano	Vatican City
Veneto	Veneto
Venezia	Venice
Verona	Verona
Pareto	Vilfredo Pareto
Vilnius	Vilnius
Vittorio De Sica	Vittorio De Sica
Varsavia	Warsaw
Miercurì	Wednesday
Wiesbaden	Wiesbaden
William James	William James
Fenesta	Window
Winston Churchill	Winston Churchill
Yemen	Yemen
