English	Tagalog
Frankfurt (disambiguation)	Frankfurt (paglilinaw)
Franklin Pierce	Franklin Pierce
Freetown	Freetown
Friday	Biyernes
Frog	Palaka
Fruit	Bungang-kahoy
Fukuoka	Lungsod ng Fukuoka
Funafuti	Funafuti
Fyodor Dostoevsky	Fëdor Dostoevskij
G	G
GNU	GNU
Gabon	Gabon
Gaborone	Gaborone
Galicia (Spain)	Galicia (Espanya)
Galileo Galilei	Galileo Galilei
Gambling	Sugal
Game	Laro
Ganges	Ilog Ganges
Gansu	Gansu
Gardening	Paghahardin
Gasoline	Gasolina
Gastrointestinal tract	Sistemang panunaw
Gautama Buddha	Gautama Buddha
Gay	Bakla
Gear	Engranahe
Geisha	Geisha
Gemstone	Batong-hiyas
Genesis	Henesis
Genetics	Henetika
Genoa	Lungsod ng Genova
Genus	Sari
Geography	Heograpiya
Geography	Category:Heograpiya
Geology	Category:Heolohiya
Geology	Heolohiya
Geometry	Heometriya
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georgetown	Georgetown
Georgia (U.S. state)	Georgia (Estado sa Estados Unidos)
Georgia (country)	Georgia
Gerald Ford	Gerald Ford
German language	Wikang Aleman
Germany	Alemanya
Germany	Category:Alemanya
Ghana	Ghana
Gibraltar	Gibraltar
Giuseppe Garibaldi	Giuseppe Garibaldi
Glycolysis	Glikolisis
Goat	Kambing
God	Diyos
Gold	Ginto
Golda Meir	Golda Me’ir
Google	Google
Government	Pamahalaan
Grape	Ubas (prutas)
Graphical user interface	Graphical user interface
Gray Wolf	Lobo (hayop)
Great Britain	Gran Britanya
Greece	Gresya
Greece	Category:Gresya
Greek mythology	Mitolohiyang Griyego
Greenwich Mean Time	GMT
Gregorian calendar	Kalendaryong Gregoryano
Gross domestic product	Pangkalahatang kitang pantahanan
Grover Cleveland	Grover Cleveland
Grozny	Grozny
Guam	Guam
Guangdong	Guangdong
Guatemala City	Lungsod ng Guatemala
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Guitar	Gitara
Gulf of Finland	Golpo ng Finland
H	H
HTML	HTML
Hadrian	Hadrian
Haifa	Haifa
Hail	Hail
Hail Mary	Aba Ginoong Maria
Hair	Buhok
Haiti	Haïti
Han Dynasty	Dinastiyang Han
Hanoi	Hà Nội
Hanseatic League	Hanseatic League
Hanukkah	Pista ng Pagtatalaga
Harare	Harare
Harmonica	Silindro (gamit panugtog)
Havana	Havana
Hawaii	Hawaii
Head	Ulo
Health	Kalusugan
Heart	Puso (anatomiya)
Hebei	Hebei
Hebrew calendar	Kalendaryong Ebreo
Helen Keller	Helen Keller
Helsinki	Lungsod ng Helsinki
Henry Ford	Henry Ford
Herbert Hoover	Herbert Hoover
Hercules	Hercules
Herodotus	Herodotus
Heron	Bakaw (ibon)
Hesse	Category:Hessen
Hibernation	Idlip
Hinduism	Hinduismo
Hippocrates	Hippocrates
Historiography	Historyograpiya
Holiday	Pista
Homer	Homer
Honduras	Honduras
Hong Kong	Hong Kong
Honiara	Honiara
Horse	Kabayo
Hosni Mubarak	Hosni Mubarak
House	Tahanan
Human	Tao
Hunan	Hunan
Hungary	Hungary
Hydrogen	Idroheno
Hydroxide	Hydroxide
Hypertext Transfer Protocol	HTTP
I	I
IPod	IPod
Iceland	Iceland
Iconoclasm	Ikonoklasta
Ignatius of Loyola	Ignacio ng Loyola
Image scanner	Scanner
Immanuel Kant	Immanuel Kant
Immune system	Sistemang imyuno
India	Indya
India	Category:Indya
Indonesia	Indonesia
Indonesia	Category:Indonesia
Infantry	Impanteriya
Influenza	Trangkaso
Inner Mongolia	Inner Mongolia
Insect	Kulisap
International Court of Justice	Hukumang Internasyonal ng Katarungan
International Monetary Fund	Pandaigdigang Pondong Pananalapi
International System of Units	Sistemang pandaigdig ng mga yunit
International law	Category:Batas internasyonal
Internet	Internet
Internet	Category:Internet
Internet Explorer	Internet Explorer
Intestine	Bituka
Intranet	Intranet
Invertebrate	Invertebrata
Io (moon)	Io (buwan)
Iodine	Yodo
Ion	Iono
Iran	Iran
Iran	Category:Iran
Iraq	Irak
Iraq	Category:Irak
Ireland	Pulo ng Irlanda
Irish people	Category:Mga Irish
Isaac Newton	Isaac Newton
Islam	Islam
Islam	Category:Islam
Islamabad	Islamabad
Island	Pulo
Isle of Man	Pulo ng Man
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotopo
Israel	Israel
Israel	Category:Israel
Italy	Italya
Italy	Category:Italya
J	J
Jacques Cartier	Jacques Cartier
Jainism	Jainismo
Jakarta	Jakarta
Jamaica	Jamaica
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Cook	James Cook
James K. Polk	James K. Polk
James Monroe	James Monroe
James Watt	James Watt
Janis Joplin	Janis Joplin
January	Enero
January 1	Enero 1
January 19	Enero 19
January 20	Enero 20
January 6	Enero 6
Japan	Hapon (bansa)
Japan	Category:Hapon
Jason	Jason
Java	Java (pulo)
Java (disambiguation)	Java
Java (programming language)	Java (wikang pamprograma)
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jeddah	Jeddah
Jehovah	Jehova
Jellyfish	Dikya
Jerusalem	Herusalem
Jesus	Hesus
Jew	Mga Hudyo
Jimmy Carter	Jimmy Carter
Joan of Arc	Juana ng Arko
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
John Adams	John Adams
John Cage	John Cage
John Maynard Keynes	John Maynard Keynes
Jordan	Jordan
Joseph Haydn	Joseph Haydn
Joseph Stalin	Iosif Stalin
Journalism	Category:Pamamahayag
Jovian	Jovian
Judaism	Hudaismo
Judaism	Category:Hudaismo
Julius Caesar	Julius Caesar
July	Hulyo
July 1	Hulyo 1
July 4	Hulyo 4
June	Hunyo
June 14	Hunyo 14
June 21	Hunyo 21
June 23	Hunyo 23
June 24	Hunyo 24
June 29	Hunyo 29
June 3	Hunyo 3
Jupiter	Hupiter (planeta)
K	K
Kabul	Kabul
Kampala	Kampala
Karachi	Karachi
Karaoke	Videoke
Karl Marx	Karl Marx
Kathmandu	Kathmandu
Kazakhstan	Kazakhstan
Kenya	Kenya
Khabarovsk	Khabarovsk
Khartoum	Khartoum
Kibbutz	Kibuts
Kigali	Kigali
Kilometre	Kilometro
Kingdom (biology)	Kingdom (biyolohiya)
Kingston	Kingston, Jamaica
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kite	Saranggola
Knee	Tuhod
Kobe	Lungsod ng Kobe
Kolkata	Kolkata
Korea	Korea
Kuala Lumpur	Kuala Lumpur
Kuwait	Kuwait
Kuwait City	Lungsod ng Kuwait
Kyoto	Kyoto
Kyrgyzstan	Kyrgyzstan
L	L
L'Aquila	L’Aquila (lungsod)
Laissez-faire	Laissez-faire
Language	Wika
Laos	Laos (bansa)
Larva	Larba
Las Vegas	Las Vegas, Nevada
Lathe	Lalik
Latin	Wikang Latin
Latin America	Amerikang Latino
Latin alphabet	Alpabetong Latin
Latvia	Latvia
Law	Batas
Leap year	Taong bisyesto
Lebanon	Lebanon
Legislature	Tagapagbatas
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Brežnev
Lesotho	Lesotho
Leviathan	Leviatan
Liberia	Liberia
Library	Aklatan
Library science	Agham pang-aklatan at pang-impormasyon
Libreville	Libreville
Libya	Libya
Liechtenstein	Liechtenstein
Life	Buhay
Lighthouse	Parola
Lilongwe	Lilongwe
Lima	Lungsod ng Lima
Linguistics	Linggwistika
Linguistics	Category:Linggwistika
Linux	Linux
Lion	Leon
Literature	Panitikan
Literature	Category:Panitikan
Lithuania	Lithuania
Lithuania	Category:Lithuania
Ljubljana	Ljubljana
Local area network	Local area network
Loch Ness Monster	Halimaw ng Lagunang Ness
Logic	Lohika
Logic	Category:Lohika
London	Greater London
Lord's Prayer	Ama Namin
Los Angeles	Los Angeles
Loudspeaker	Speaker
Love	Pag-ibig
Lucifer	Lusiper
Ludwig van Beethoven	Ludwig van Beethoven
Lung	Baga (anatomiya)
Lungfish	Isdang may baga
Lusaka	Lusaka
Lusitania	Lusitania
Lutheranism	Lutheranismo
Luxembourg	Luxembourg
Luxembourg (city)	Lungsod ng Luxembourg
Luzon	Luzon
Lydia	Lydia
Lymphatic system	Sistemang limpatiko
M	M
MESSENGER	MESSENGER
MS-DOS	MS-DOS
Macau	Macau
Machine	Makina
Madagascar	Madagascar
Madeira	Madeira
Madison	Madison, Wisconsin
Madonna (entertainer)	Madonna
Madrid	Madrid
Magazine	Magasin
Mahatma Gandhi	Mahatma Gandhi
Main	Template:Main
Majorca	Mallorca
Malabo	Malabo
Malaysia	Malaysia
Maldives	Maldives
Mali	Mali (bansa)
Mallard	Papaw
Malta	Malta
Maltese language	Wikang Maltes
Mammal	Mamalya
Managua	Managua
Manama	Manama
Manatee	Trichechus
Manchuria	Manchuria
Manila	Maynila
Manitoba	Manitoba
Mantua	Lungsod ng Mantova
Manuscript	Manuskrito
Mao Zedong	Mao Zedong
Map	Mapa
Maputo	Maputo
March	Marso
March 17	Marso 17
March 19	Marso 19
March 2	Marso 2
March 25	Marso 25
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Mariana Islands	Kapuluang Mariana
Marie Curie	Marie Curie
Mark Antony	Marcus Antonius
Marketing	Marketing
Marriage	Kasal (institusyon)
Marshall Islands	Kapuluang Marshall
Martin Buber	Martin Buber
Martin Luther King	Martin Luther King, Jr.
Martin Van Buren	Martin Van Buren
Mary Wollstonecraft	Mary Wollstonecraft
Maseru	Maseru
Masturbation	Pagsasalsal
Mathematical logic	Matematikal na lohika
Mathematics	Matematika
Mathematics	Category:Matematika
Matter	Materya
Mauritania	Mauritania
Mauritius	Mauritius
Maximian	Maximian
May	Mayo
May 1	Mayo 1
May 24	Mayo 24
Mbabane	Mbabane
Meat	Karne
Mecca	Mecca
Mechanical engineering	Inhinyeryang mekanikal
Medicine	Medisina
Medicine	Category:Panggagamot
Mediterranean Sea	Dagat Mediterranean
Memphis	Memphis
Mercury	Mercury
Mercury (planet)	Merkuryo (planeta)
Mesopotamia	Mesopotamya
Metal	Metal
Metallurgy	Metalurhiya
Metaphysics	Metapisika
Metis (moon)	Metis (buwan)
Metre	Metro
Mexico	Mehiko
Mexico	Category:Mehiko
Mexico City	Lungsod ng Mehiko
Michelangelo	Michelangelo Buonarroti
Microbiology	Mikrobiyolohiya
Micronesia	Micronesia
Microphone	Mikropono
Microscope	Mikroskopyo
Middle Ages	Gitnang Panahon
Middle East	Gitnang Silangan
Mikhail Gorbachev	Mihail Gorbačëv
Milan	Lungsod ng Milano
Military	Category:Militar
Milk	Gatas
Millennium	Milenyo
Millipede	Millipede
Mindanao	Mindanao
Minsk	Minsk
Missouri	Missouri
Mogadishu	Mogadishu
Mold	Amag
Moldova	Moldova
Molecule	Molekula
Monaco	Monaco
Monarchy	Category:Monarkiya
Monday	Lunes
Money	Salapi
Mongolia	Mongolia
Monrovia	Monrovia
Monsoon	Balaklaot
Montenegro	Montenegro
Montenegro	Category:Montenegro
Montevideo	Montevideo
Month	Buwan (panahon)
Montreal	Montréal, Québec
Moon	Buwan (astronomiya)
Morocco	Morocco
Morphology (linguistics)	Morpolohiya
Morse code	Kodigong Morse
Motto	Moto
Mount Everest	Bundok Everest
Mount Pinatubo	Bundok Pinatubo
Mouse (computing)	Mouse
Mozambique	Mozambique
Muhammad	Muhammad
Multiplication	Multiplikasyon
Mumbai	Mumbai
Munich	Munich
Musa (genus)	Saging
Muscat	Muscat
Muscle	Masel
Museum	Museo
Music	Musika
Mysticism	Mistisismo
Mythology	Mitolohiya
N	N
N'Djamena	NDjamena
Nagoya	Nagoya, Aichi
Nail (anatomy)	Kuko
Nairobi	Nairobi
Namibia	Namibia
Nanjing	Nanjing
Nanotechnology	Nanoteknolohiya
Naples	Naples (lungsod)
Nassau	Nassau
Nationalism	Pagkamakabansa
Nationalism	Category:Nasyonalismo
Natural science	Likas na agham
Nauru	Nauru
Nazareth	Nasaret
Nelson Mandela	Nelson Mandela
Nepal	Nepal
Nerva	Nerva
Nervous system	Sistemang nerbiyos
Netherlands	Netherlands
Netherlands	Category:Netherlands
Nevada	Nevada
New Delhi	New Delhi
New Jersey	New Jersey
New Testament	Bagong Tipan
New Year	Bagong Taon
New York	New York
New York City	Lungsod ng New York
New Zealand	New Zealand
Newfoundland and Labrador	Newfoundland at Labrador
Niamey	Niamey
Nicaragua	Nicaragua
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolaus Copernicus
Nicosia	Nicosia
Niels Bohr	Niels Bohr
Niger	Niger
Nigeria	Nigeria
Nikita Khrushchev	Nikita Hruščëv
Nile	Ilog Nile
Nirvana	Nirvana
North Africa	Hilagang Aprika
North America	Hilagang Amerika
North Korea	Hilagang Korea
Northern Ireland	Hilagang Irlanda
Northern Mariana Islands	Hilagang Kapuluang Marianas
Norway	Norway
Nose	Ilong
Nouakchott	Nouakchott
Noun	Pangngalan
November	Nobyembre
November 1	Nobyembre 1
November 11	Nobyembre 11
November 2	Nobyembre 2
November 5	Nobyembre 5
Novial	Wikang Novial
Nuclear weapon	Sandatang nuklear
O	O
Oaxaca	Oaxaca
Ocean	Karagatan
Oceania	Oceania
Oceania	Category:Oceania
Oceanography	Category:Oceanography
October	Oktubre
October 12	Oktubre 12
October 24	Oktubre 24
Octopus	Pugita
Oligarchy	Oligarkiya
Oman	Oman
Onion	Sibuyas
Ontario	Ontario, Canada
Opera (Internet suite)	Opera (web browser)
Operating system	Operating system
Orange (colour)	Narangha (kulay)
Order (biology)	Orden (biyolohiya)
Organ (anatomy)	Organo
Osama bin Laden	Osama bin Laden
Ostrich	Abestrus
Otho	Otho
Ottawa	Ottawa
Ovary	Obaryo
Oxygen	Oksiheno
P	P
Pablo Picasso	Pablo Picasso
Pacific Ocean	Karagatang Pasipiko
Pacifism	Pasipismo
Padua	Lungsod ng Padova
Pakistan	Pakistan
Palau	Palau
Palermo	Lungsod ng Palermo
Palestine	Category:Palestina
Panama	Panama
Panama City	Lungsod ng Panama
Pangaea	Pangaea
Papua New Guinea	Papua New Guinea
Paraguay	Paraguay
Paramaribo	Paramaribo
Paris	Paris
Paris (mythology)	Páris
Parliament	Batasan
Pascal (programming language)	Pascal (programming language)
Passover	Paskwa
Pasteurization	Pasteurisasyon
Patriotism	Pagkamakabayan
Paul Gauguin	Paul Gauguin
Paul the Apostle	Pablo ng Tarsus
Peanut	Mani
Pearl	Perlas
Pencil	Lapis
Peninsula	Tangway
People's Republic of China	Republikang Popular ng Tsina
Percentage	Persentahe
Perestroika	Perestrojka
Periodic table	Talaang peryodiko
Persian Empire	Imperyong Persyano
Peru	Peru
Philip II of Spain	Felipe II ng Espanya
Philippine Sea	Dagat Pilipinas
Philippines	Pilipinas
Philippines	Category:Pilipinas
