English	Latvian
Eclipse	Saules aptumsums
Ecological niche	Ekoloģiskā niša
Ecology	Kategorija:Ekoloģija
Economics	Ekonomika
Economics	Kategorija:Ekonomika
Economy	Ekonomika
Ecosystem	Ekosistēma
Ecuador	Ekvadora
Ecuador	Kategorija:Ekvadora
Edgar Allan Poe	Edgars Alans Po
Edinburgh	Edinburga
Edmond Halley	Edmonds Halejs
Edmund Hillary	Edmunds Hilarijs
Education	Izglītība
Education	Kategorija:Izglītība
Edvard Grieg	Edvards Grīgs
Edward Teller	Edvards Tellers
Edwin Hubble	Edvīns Habls
Egypt	Ēģipte
Egypt	Kategorija:Ēģipte
Eiffel Tower	Eifeļa tornis
Eindhoven	Eindhovena
Einsteinium	Einšteinijs
El Greco	El Greko
El Salvador	Salvadora
El Salvador	Kategorija:Salvadora
Elbe	Elba
Electric charge	Elektriskais lādiņš
Electric current	Elektriskā strāva
Electric field	Elektriskais lauks
Electric guitar	Elektriskā ģitāra
Electric motor	Elektrodzinējs
Electrical engineering	Kategorija:Elektrotehnika
Electrical resistance	Elektriskā pretestība
Electricity	Elektrība
Electrolysis	Elektrolīze
Electrolyte	Elektrolīts
Electromagnetism	Kategorija:Elektromagnētisms
Electron	Elektrons
Electron microscope	Elektronmikroskops
Electronegativity	Elektronegativitāte
Electronics	Kategorija:Elektronika
Elegy	Elēģija
Element	Elements
Elementary particle	Elementārdaļiņas
Elephant	Ziloņu dzimta
Elizabeth Taylor	Elizabete Teilore
Ellipse	Elipse
Emerald	Smaragds
Emilia-Romagna	Emīlija-Romanja
Emir	Emīrs
Emma Goldman	Emma Goldmane
Emoticon	Smaidiņš
Emperor	Imperators
Emperor Penguin	Imperatorpingvīns
Empire	Impērija
Empiricism	Empīrisms
Emu	Emu
Encyclopedia	Enciklopēdija
Endocrine system	Endokrīnā sistēma
Endocrinology	Kategorija:Endokrinoloģija
Energy	Enerģija
Energy (society)	Enerģija
Engineering	Inženierija
Engineering	Kategorija:Inženierija
England	Anglija
English Channel	Lamanšs
English language	Angļu valoda
English people	Kategorija:Anglijas cilvēki
English people	Angļi
Enrico Fermi	Enriko Fermi
Entertainment	Kategorija:Izklaide
Entomology	Entomoloģija
Entomology	Kategorija:Entomoloģija
Entropy	Entropija
Environment	Kategorija:Vide
Epic poetry	Liroepika
Epithelium	Epitēlijaudi
Equator	Ekvators
Equatorial Guinea	Ekvatoriālā Gvineja
Equatorial Guinea	Kategorija:Ekvatoriālā Gvineja
Equisetum	Kosas
Erasure	Erasure
Erbium	Erbijs
Eridanus (constellation)	Eridāna
Eritrea	Kategorija:Eritreja
Ernest Hemingway	Ernests Hemingvejs
Ernest Rutherford	Ernests Rezerfords
Eros (mythology)	Erots
Esperanto	Esperanto
Espoo	Espo
Essen	Esene
Essex	Eseksa
Ester	Esteri
Estonia	Kategorija:Igaunija
Etching	Oforts
Ethane	Etāns
Ethanol	Etanols
Ether	Ēteri
Ethernet	Ethernet
Ethics	Ētika
Ethiopia	Etiopija
Ethiopia	Kategorija:Etiopija
Ethnic group	Etnoss
Ethnography	Etnogrāfija
Ethology	Etoloģija
Ethylene	Etilēns
Euclid	Eiklīds
Eukaryote	Eikariots
Eurasia	Eirāzija
Eurasian Badger	Āpsis
Euripides	Eiripīds
Euro	EUR
Europa (moon)	Eiropa (pavadonis)
Europe	Eiropa
Europe	Kategorija:Eiropa
European Union	Eiropas Savienība
European Union	Kategorija:Eiropas Savienība
Europium	Eiropijs
Eva Braun	Eva Brauna
Evanescence	Evanescence
Evaporation	Iztvaikošana
Evolution	Evolūcija
Exclamation mark	Izsaukuma zīme
Executive (government)	Izpildvara
Experiment	Eksperiments
Expressionism	Ekspresionisms
Extinction	Izmiršana
Eye	Kategorija:Acs
F	F
Fact	Template:Nepieciešama atsauce
Factorial	Faktoriāls
Fagaceae	Kategorija:Dižskābaržu dzimta
Fagales	Dižskābaržu rinda
Falkland Islands	Folklenda salas
Falun Gong	Faluņgun
Family history	Ģenealoģija
Fantasy	Fantāzijas literatūra
Farad	Farads
Fascism	Fašisms
Fascism	Kategorija:Fašisms
Fashion	Kategorija:Mode
Fatty acid	Taukskābe
Fault (geology)	Lūzuma zona
Fauvism	Fovisms
February	Februāris
February 12	12. februāris
February 14	14. februāris
February 2	2. februāris
February 22	22. februāris
February 29	29. februāris
February Revolution	Februāra revolūcija
Federated States of Micronesia	Mikronēzija (valsts)
Federated States of Micronesia	Kategorija:Mikronēzija (valsts)
Fedora (Linux distribution)	Fedora
Feldspar	Laukšpats
Felidae	Kaķu dzimta
Fenrir	Fenrirs
Ferdinand Magellan	Fernāns Magelāns
Fermion	Fermioni
Fermium	Fermijs
Feudalism	Feodālisms
Fiat	Fiat
Fibonacci number	Fibonači skaitļi
Fidel Castro	Fidels Kastro Russ
Fighter aircraft	Iznīcinātājs
Figure skating	Daiļslidošana
Fiji	Fidži
Fiji	Kategorija:Fidži
File Transfer Protocol	FTP
File system	Failu sistēma
Film	Kategorija:Kino
Fin Whale	Finvalis
Finance	Finanses
Finland	Somija
Finland	Kategorija:Somija
Fire	Uguns
First aid	Pirmā palīdzība
First language	Dzimtā valoda
Fish	Kategorija:Zivis
Fjord	Fjords
Flatworm	Plakantārpi
Flea	Blusu kārta
Flint	Krams
Flip-flop (electronics)	Trigeris
Florence	Florence
Florida	Florida
Florida	Kategorija:Florida
Flowering plant	Segsēkļi
Fluorite	Fluorīts
Fog	Migla
Folklore	Folklora
Folklore	Kategorija:Folklora
Football (soccer)	Futbols
Football (soccer)	Kategorija:Futbols
Football (soccer) clubs	Kategorija:Futbola klubi
Football (soccer) players	Kategorija:Futbolisti
Force	Spēks
Forest	Mežs
Formaldehyde	Formaldehīds
Formic acid	Skudrskābe
Fornax	Krāsns (zvaigznājs)
Fort Worth	Fortvorta
Fortran	Fortran
France	Francija
France	Kategorija:Francija
Francis Bacon	Frānsiss Bēkons
Francis Crick	Frānsiss Kriks
Francisco Franco	Fransisko Franko
Francisco Goya	Fransisko Hosē de Goija i Lusientess
Francium	Francijs
Frank Sinatra	Frenks Sinatra
Frankfurt	Frankfurte pie Mainas
Franklin Pierce	Frenklins Pīrss
Frans Hals	Franss Halss
Franz Kafka	Francs Kafka
Franz Schubert	Francis Šūberts
Frederick Sanger	Frederiks Sengers
Freedom of speech	Vārda brīvība
Freemasonry	Brīvmūrnieki
Freeware	Bezmaksas programmatūra
French Polynesia	Franču Polinēzija
French Revolution	Franču revolūcija
French people	Kategorija:Francijas cilvēki
Frequency	Frekvence
Fresco	Freska
Freshwater	Saldūdens
Freyja	Freija
Freyr	Freirs
Friction	Berze
Friday	Piektdiena
Friedrich Engels	Frīdrihs Engelss
Frigg	Friga
Friuli-Venezia Giulia	Friuli-Venēcija Džūlija
Frog	Bezastainie abinieki
Fructose	Fruktoze
Fruit	Auglis
Fruit	Kategorija:Augļi
Function (mathematics)	Funkcija
Fundamental	Kategorija:Pamatkategorijas
Fundamental interaction	Mijiedarbība
Fungi	Kategorija:Sēnes
Fungus	Sēnes
Futurism (art)	Futūrisms
Fyodor Dostoevsky	Fjodors Dostojevskis
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabona
Gabon	Kategorija:Gabona
Gadolinium	Gadolīnijs
Galaxy	Galaktika
Galileo Galilei	Galileo Galilejs
Gallium	Gallijs
Galway	Golveja
Gamal Abdel Nasser	Gamals Abdels Nasers
Gamma ray	Gamma stari
Ganesha	Ganēša
Ganymede (moon)	Ganimēds (pavadonis)
Gas	Gāze
Gas giant	Milzu planēta
Gastrointestinal tract	Gremošanas orgānu sistēma
Gastropoda	Gliemeži
Gaul	Gallija
Gautama Buddha	Sidhārta Gautama
Gay	Gejs
Gaza Strip	Gazas josla
Geisha	Geiša
Gemstone	Dārgakmens
Gene	Gēns
Genealogy	Ģenealoģija
Genealogy	Kategorija:Ģenealoģija
Genetics	Ģenētika
Genetics	Kategorija:Ģenētika
Geneva	Ženēva
Genoa	Dženova
Genome	Genoms
Geodesy	Ģeodēzija
Geodesy	Kategorija:Ģeodēzija
Geography	Ģeogrāfija
Geography	Kategorija:Ģeogrāfija
Geology	Kategorija:Ģeoloģija
Geology	Ģeoloģija
Geometry	Kategorija:Ģeometrija
Geomorphology	Kategorija:Ģeomorfoloģija
Geophysics	Ģeofizika
Geophysics	Kategorija:Ģeofizika
Georg Wilhelm Friedrich Hegel	Georgs Vilhelms Frīdrihs Hēgelis
George Berkeley	Džordžs Bērklijs
George Bush	Džordžs Bušs
George Frideric Handel	Georgs Frīdrihs Hendelis
George Harrison	Džordžs Harisons
George Orwell	Džordžs Orvels
George Paget Thomson	Džordžs Tomsons
George W. Bush	Džordžs V. Bušs
George Washington	Džordžs Vašingtons
Georgia (U.S. state)	Džordžija
Georgia (country)	Gruzija
Georgia (country)	Kategorija:Gruzija
Gerald Ford	Džeralds Fords
German language	Vācu valoda
Germanium	Germānijs
Germany	Vācija
Germany	Kategorija:Vācija
Gestapo	Gestapo
Geyser	Geizers
Ghana	Gana
Ghana	Kategorija:Gana
Ghent	Ģente
Ghetto	Geto
Giant Panda	Lielā panda
Gibraltar	Gibraltārs
Gibraltar	Kategorija:Gibraltārs
Gigabyte	Gigabaits
Ginkgo	Ginki
Giordano Bruno	Džordano Bruno
Giorgio de Chirico	Džordžo de Kiriko
Giovanni Boccaccio	Džovanni Bokačo
Girolamo Savonarola	Džirolamo Savonarola
Giuseppe Verdi	Džuzepe Verdi
Giza	Giza
Gladiator	Gladiators
Glasgow	Glāzgova
Glass	Stikls
Glider	Planieris
Global Positioning System	Globālā pozicionēšanas sistēma
Globalization	Globalizācija
Gloucestershire	Glosteršīra
Glucose	Glikoze
Gluon	Gluons
Glutamic acid	Glutamīnskābe
Glycerol	Glicerīns
Glycine	Glicīns
Gnathostomata	Žokļaiņi
Go (board game)	Go
God	Dievs
Gold	Zelts
Golden Gate Bridge	Zelta vārtu tilts
Golf	Golfs
Golgi apparatus	Goldži komplekss
Gomel	Gomeļa
Google	Google
Googol	Gugols
Gospel	Evanģēlijs
Gothenburg	Gēteborga
Gothic architecture	Gotiskā arhitektūra
Gottlieb Daimler	Gotlībs Daimlers
Government	Valdība
Gradient	Gradients
Graffiti	Grafiti
Graham Greene	Greiems Grīns
Grammar	Gramatika
Graphic design	Kategorija:Grafiskais dizains
Graphite	Grafīts
Gravitation	Gravitācija
Graviton	Gravitons
Gray Wolf	Vilks
Graz	Grāca
Great Barrier Reef	Lielais Barjerrifs
Great Depression	Lielā depresija
Great Lakes	Lielie ezeri
Great Rift Valley	Lielā Rifta ieleja
Great Wall of China	Lielais Ķīnas mūris
Great white shark	Lielā baltā haizivs
Greatest common divisor	Lielākais kopīgais dalītājs
Greece	Grieķija
Greece	Kategorija:Grieķija
Greek alphabet	Grieķu alfabēts
Greek fire	Grieķu uguns
Greek mythology	Kategorija:Sengrieķu mitoloģija
Greenland	Grenlande
Greenland Sea	Grenlandes jūra
Greenwich Mean Time	Griničas laiks
Gregorian calendar	Gregora kalendārs
Grenada	Kategorija:Grenāda
Grenoble	Grenoble
Gross domestic product	Iekšzemes kopprodukts
Grover Cleveland	Grovers Klīvlends
Grus (constellation)	Dzērve (zvaigznājs)
Guadeloupe	Gvadelupa
Guam	Guama
Guatemala	Kategorija:Gvatemala
Guayaquil	Gvajakila
Guernsey	Gērnsija
Guillaume Apollinaire	Gijoms Apolinērs
Guinea	Gvineja
Guinea	Kategorija:Gvineja
Guinea pig	Jūrascūciņa
Guinea-Bissau	Gvineja-Bisava
Guinea-Bissau	Kategorija:Gvineja-Bisava
Guitar	Ģitāra
Gulf Stream	Golfa straume
Gulf of Finland	Somu līcis
Gulf of Riga	Rīgas jūras līcis
Gunpowder	Šaujampulveris
Gustav Klimt	Gustavs Klimts
Gustave Courbet	Gistavs Kurbē
Guyana	Kategorija:Gajāna
Gypsum	Ģipsis
Gyroscope	Žiroskops
H	H
H. G. Wells	Herberts Velss
HTML	HTML
Hades	Aīds
Hadrian	Adriāns
Hadron	Hadroni
Hafnium	Hafnijs
Hagia Sophia	Svētā Sofija
Hail	Krusa
Haiti	Haiti
Haiti	Kategorija:Haiti
Halloween	Visu svēto diena
Halogen	Halogēni
Hamburg	Hamburga
Hamburg	Kategorija:Hamburga
Hammurabi	Hammurapi
Hampshire	Hempšīra
Han Dynasty	Haņu dinastija
Hanging Gardens of Babylon	Babilonas gaisa dārzi
Hannah Arendt	Hanna Ārente
Hannibal	Hannibals
Hanover	Hannovere
Hans Christian Andersen	Hanss Kristians Andersens
Hanseatic League	Hanzas savienība
Hardness	Cietība
Harem	Harēms
Harmonica	Mutes harmonikas
Havana	Havana
Hawaii	Havajas
Hawaii	Kategorija:Havajas
Health	Veselība
Health	Kategorija:Veselība
Heart	Sirds
Heat	Siltums
Heavy metal music	Smagais metāls (mūzikas žanrs)
Hectare	Hektārs
Hedonism	Hedonisms
Heimdall	Heimdals
Heinrich Hertz	Heinrihs Rudolfs Hercs
Heinrich Himmler	Heinrihs Himlers
Hel (being)	Hēla (mītiska būtne)
Helicopter	Helikopters
Helium	Hēlijs
Helsinki	Helsinki
Henri Matisse	Anrī Matiss
Henrik Ibsen	Henriks Ibsens
Henry (unit)	Henrijs
Henry Ford	Henrijs Fords
Henry James	Henrijs Džeimss
Henry Moore	Henrijs Mūrs
Hephaestus	Hēfaists
Hera	Hēra
Heraldry	Heraldika
Herbert Hoover	Herberts Hūvers
Herbert Marcuse	Herberts Markūze
Hercules (constellation)	Herkuless (zvaigznājs)
Heresy	Ķecerība
Hermann Hesse	Hermanis Hese
Hermann von Helmholtz	Hermanis fon Helmholcs
Hermeneutics	Hermeneitika
Hermes	Hermejs
Hero of Alexandria	Hērons
Herodotus	Hērodots
Hertfordshire	Hārtfordšīra
Hertz	Hercs (mērvienība)
Hesiod	Hēsiods
Hesse	Hesene
Hesse	Kategorija:Hesene
Hieronymus Bosch	Hieronīms Boss
Himalayas	Himalaji
Hinduism	Hinduisms
Hinduism	Kategorija:Hinduisms
Hippopotamus	Nīlzirgs
Histidine	Histidīns
Histology	Kategorija:Histoloģija
History	Vēsture
History	Kategorija:Vēsture
Ho Chi Minh City	Hošimina
Hobbit	Hobits
Hobby	Hobijs
Hollywood	Holivuda
Holmium	Holmijs
Holography	Hologrāfija
Holy Roman Empire	Svētā Romas impērija
Homer	Homērs
Homo (genus)	Homo ģints
Homo habilis	Prasmīgais cilvēks
Homonym	Homonīms
Homosexuality	Homoseksualitāte
Honduras	Hondurasa
Honey	Medus
Hong Kong	Honkonga
Hong Kong	Kategorija:Honkonga
Honiara	Honiara
Hooke's law	Huka likums
Horace	Horācijs
Hormone	Hormoni
Horse	Zirgs
Hour	Stunda
Hourglass	Smilšu pulkstenis
House Sparrow	Mājas zvirbulis
Houston	Hjūstona
Hugh Capet	Hugo Kapets
Hugo Grotius	Hugo Grocijs
Human	Cilvēks
Humanism	Humānisms
Humanities	Kategorija:Humanitārās zinātnes
Humpback Whale	Kuprvalis
Humphrey Bogart	Hamfrijs Bogarts
Hundred Years' War	Simtgadu karš
Hungary	Ungārija
Hungary	Kategorija:Ungārija
Hunting	Medniecība
Hydra (constellation)	Hidra (zvaigznājs)
Hydrocarbon	Ogļūdeņraži
Hydrochloric acid	Sālsskābe
Hydrogen	Ūdeņradis
Hydrogen bond	Ūdeņraža saite
Hydrogen cyanide	Ciānūdeņražskābe
Hydrogen peroxide	Ūdeņraža peroksīds
Hydrology	Kategorija:Hidroloģija
Hydrolysis	Hidrolīze
Hydrus	Dienvidu Hidra
Hymenoptera	Plēvspārņu kārta
Hypertext	Hiperteksts
Hypertext Transfer Protocol	HTTP
I	I
Ice	Ledus
Ice age	Ledus laikmets
Ice hockey	Hokejs
Ice hockey	Kategorija:Hokejs
Iceland	Īslande
Iceland	Kategorija:Īslande
Icon	Ikona (svētbilde)
Idaho	Aidaho
Idaho	Kategorija:Aidaho
Ideal gas	Ideāla gāze
Identity matrix	Vienības matrica
Ido	Ido
Ignatius of Loyola	Ignācijs no Lojolas
Igor Stravinsky	Igors Stravinskis
Illinois	Ilinoisa
Illyria	Ilīrija
Immanuel Kant	Imanuels Kants
Impressionism	Impresionisms
Incheon	Inčona
Independence	Neatkarība
India	Indija
India	Kategorija:Indija
Indian Ocean	Indijas okeāns
Indian Ocean	Kategorija:Indijas okeāns
Indiana	Indiāna
Indianapolis	Indianapolisa
Indium	Indijs
Indonesia	Indonēzija
Indonesia	Kategorija:Indonēzija
Inductance	Induktivitāte
Inductive reasoning	Indukcija (izziņas metode)
Inductor	Induktivitātes spole
Indus (constellation)	Indiānis (zvaigznājs)
Indus River	Inda
Industrial Revolution	Rūpnieciskā revolūcija
Industry	Kategorija:Rūpniecība
Inequality	Nevienādība
Inertia	Inerce
Infinity	Bezgalība
Inflation	Inflācija
Influenza	Gripa
Information	Informācija
Information technology	Informācijas tehnoloģijas
Information theory	Informācijas teorija
Infrared	Infrasarkanais starojums
Infrastructure	Infrastruktūra
Ingrid Bergman	Ingrīda Bergmane
Innovation	Inovācija
Innsbruck	Insbruka
Inorganic chemistry	Neorganiskā ķīmija
Inorganic chemistry	Kategorija:Neorganiskā ķīmija
Insect	Kukaiņi
Insulin	Insulīns
Integer	Vesels skaitlis
Integral	Integrālis
Integrated circuit	Integrālā shēma
Interference	Interference
International Monetary Fund	Starptautiskais valūtas fonds
International System of Units	Starptautiskā mērvienību sistēma
International law	Kategorija:Starptautiskās tiesības
Internet	Internets
Internet	Kategorija:Internets
Internet Explorer	Internet Explorer
Internment	Koncentrācijas nometne
Interval (music)	Intervāls (mūzika)
Io (moon)	Jo (pavadonis)
Iodine	Jods (elements)
Ion	Jons
Ionian Sea	Jonijas jūra
Ionosphere	Jonosfēra
Iowa	Aiova
Iran	Irāna
Iran	Kategorija:Irāna
Iran-Iraq War	Irānas - Irākas karš
Iraq	Irāka
Iraq	Kategorija:Irāka
Ireland	Kategorija:Īrija
Iridium	Irīdijs
Irish Sea	Īrijas jūra
Irish people	Kategorija:Īrijas cilvēki
Iron	Dzelzs
Iron Age	Dzelzs laikmets
Iron Maiden	Iron Maiden
Irony	Ironija
Irrational number	Iracionāls skaitlis
Isaac Asimov	Aizeks Azimovs
Isaac Newton	Īzaks Ņūtons
Isis	Izīda
Islam	Islāms
Islam	Kategorija:Islāms
Islamic calendar	Islāma kalendārs
Island	Sala
Isle of Man	Menas Sala
Isle of Wight	Vaita
Isomer	Izomēri
Isotope	Izotops
Israel	Izraēla
Israel	Kategorija:Izraēla
Istanbul	Stambula
Italy	Itālija
Italy	Kategorija:Itālija
Ithaca	Itaka
Ivan Lendl	Ivans Lendls
J	J
Jacksonville	Džeksonvila
Jacques Cartier	Žaks Kartjē
Jaguar	Jaguārs
Jakarta	Džakarta
Jamaica	Jamaika
James A. Garfield	Džeimss Gārfīlds
James Buchanan	Džeimss Bjūkenens (politiķis)
James Clerk Maxwell	Džeimss Maksvels
James Cook	Džeimss Kuks
James Franck	Džeimss Franks
James Joyce	Džeimss Džoiss
James K. Polk	Džeimss Polks
James Madison	Džeimss Medisons
James Monroe	Džeimss Monro
James Prescott Joule	Džeimss Preskots Džouls
James Watt	Džeimss Vats
Janissary	Jeničeri
January	Janvāris
January 1	1. janvāris
January 19	19. janvāris
January 20	20. janvāris
January 6	6. janvāris
Japan	Japāna
Japan	Kategorija:Japāna
Java (disambiguation)	Java
Java (programming language)	Java (valoda)
Jazz	Džezs
Jean-Jacques Rousseau	Žans Žaks Ruso
Jean-Paul Sartre	Žans Pols Sartrs
Jeddah	Džida
Jehovah's Witnesses	Jehovas liecinieki
Jericho	Jērika
Jersey	Džersija
Jerusalem	Jeruzāleme
Jesus	Jēzus Kristus
Jet engine	Gāzes strūklas dzinējs
Jew	Ebreji
Jihad	Džihāds
Jimi Hendrix	Džimijs Hendrikss
Jimmy Carter	Džimijs Kārters
Joan of Arc	Žanna d’Arka
Johann Sebastian Bach	Johans Sebastians Bahs
Johann Wolfgang von Goethe	Johans Volfgangs fon Gēte
Johannes Brahms	Johanness Brāmss
Johannes Gutenberg	Johans Gūtenbergs
Johannes Kepler	Johanness Keplers
John Adams	Džons Adamss (prezidents)
John Cage	Džons Keidžs
John Dewey	Džons Djūijs
John Herschel	Džons Heršels
John Lennon	Džons Lenons
John Locke	Džons Loks
John Maynard Keynes	Džons Meinards Keinss
John Quincy Adams	Džons K. Adamss
John Ruskin	Džons Raskins
John Tyler	Džons Tailers
Jordan	Jordānija
Jordan	Kategorija:Jordānija
Joseph Conrad	Džozefs Konrads
Joseph Haydn	Jozefs Haidns
Joseph McCarthy	Džozefs Makartijs
Joseph Smith	Džozefs Smits
Joseph Stalin	Josifs Staļins
Joule	Džouls
Journalism	Kategorija:Žurnālistika
Journalism	Žurnālistika
Judaism	Jūdaisms
Judaism	Kategorija:Jūdaisms
Judea	Jūdeja
Judo	Džudo
Jujutsu	Džiu džitsu
Jules Verne	Žils Verns
Julian calendar	Jūlija kalendārs
Julius Caesar	Jūlijs Cēzars
July	Jūlijs
July 1	1. jūlijs
June	Jūnijs
June 14	14. jūnijs
June 23	23. jūnijs
June 24	24. jūnijs
June 29	29. jūnijs
June 3	3. jūnijs
Juneau	Džūno
Jupiter	Jupiters (planēta)
Jupiter	Kategorija:Jupiters (planēta)
Jupiter (disambiguation)	Jupiters
Justinian I	Justiniāns I
K	K
K2	K2
Kabbalah	Kabala
Kabul	Kabula
Kampala	Kampala
Kansas	Kanzasa
Kara Sea	Karas jūra
Karachi	Karači
Karakoram	Karakorums
Karen Blixen	Karena Bliksena
Karl Marx	Kārlis Markss
Kathmandu	Katmandu
Katowice	Katovice
Kaunas	Kauņa
Kazakhstan	Kazahstāna
Kazakhstan	Kategorija:Kazahstāna
Kazan	Kazaņa
Kelvin	Kelvins (mērvienība)
Kent	Kenta
Kentucky	Kentuki
Kenya	Kenija
Kenya	Kategorija:Kenija
Ketone	Ketoni
Keyboard (computing)	Klaviatūra
Khabarovsk	Habarovska
Khan	Hans
Kharkiv	Harkiva
Khartoum	Hartūma
Kidney	Nieres
Kiev	Kijeva
Kigali	Kigali
Kilogram	Kilograms
Kilometres per hour	Kilometri stundā
Kinetic energy	Kinētiskā enerģija
King Arthur	Karalis Arturs
Kingdom (biology)	Valsts (bioloģija)
Kinshasa	Kinšasa
Kiribati	Kiribati
Knee	Ceļa locītava
Knight	Bruņinieks
Knowledge	Zināšanas
Knut Hamsun	Knuts Hamsuns
Kobe	Kobe
Kolkata	Kolkata
Komodo dragon	Komodo varāns
Korean War	Korejas karš
Kosovo	Kosova
Kosovo	Kategorija:Kosova
Krypton	Kriptons
Kuala Lumpur	Kualalumpūra
Kuomintang	Gomiņdan
Kura River	Kūra
Kurdistan	Kurdistāna
Kurdistan Workers Party	Kurdistānas Strādnieku partija
Kurt Vonnegut	Kurts Vonnegūts
Kuwait	Kuveita
Kuwait	Kategorija:Kuveita
Kyrgyzstan	Kirgizstāna
Kyrgyzstan	Kategorija:Kirgizstāna
L	L
Lacerta	Ķirzaka (zvaigznājs)
Lactic acid	Pienskābe
Lady Jane Grey	Džeina Greja (Tjudora)
Lagos	Lagosa
Lake	Ezers
Lake Baikal	Baikāls
Lake Balaton	Balatons
Lake Chad	Čada ezers
Lake Constance	Bodenezers
Lake Erie	Ēri ezers
Lake Eyre	Eira ezers
Lake Geneva	Ženēvas ezers
Lake Huron	Hūrons
Lake Ilmen	Ilmeņa ezers
Lake Ladoga	Lādogas ezers
Lake Malawi	Njasa ezers
Lake Michigan	Mičigans
Lake Onega	Oņegas ezers
Lake Ontario	Ontārio ezers
Lake Superior	Augšezers
Lake Tanganyika	Tanganjikas ezers
Lake Victoria	Viktorijas ezers
Lancashire	Lankašīra
Landfill	Izgāztuve
Language	Valoda
Languedoc-Roussillon	Langdoka-Rusijona
Lanthanum	Lantāns
Laos	Laosa
Laos	Kategorija:Laosa
Laptev Sea	Laptevu jūra
Laptop	Klēpjdators
Las Vegas	Lasvegasa
Laser	Lāzers
Latin	Latīņu valoda
Latin America	Latīņamerika
Latin alphabet	Latīņu alfabēts
Latvia	Latvija
Latvia	Kategorija:Latvija
Lausanne	Lozanna
Lava	Lava
Law	Likums
Law	Kategorija:Tieslietas
Lazio	Lacio
Le Havre	Havra
Lead	Svins
Leaf	Lapas
League of Nations	Tautu Savienība
Leap year	Garais gads
Lebanon	Libāna
Lebanon	Kategorija:Libāna
Leeds	Līdsa
Lego	Lego
Leicester	Lestera
Leipzig	Leipciga
Length	Garums
Lens (optics)	Lēca
Leo (constellation)	Lauva (zvaigznājs)
Leonardo da Vinci	Leonardo da Vinči
Leonhard Euler	Leonards Eilers
Leonid Brezhnev	Leonīds Brežņevs
Lepidoptera	Tauriņu kārta
Lepton	Leptoni
Lepus (constellation)	Zaķis (zvaigznājs)
Lesbian	Lesbiete
Lesotho	Lesoto
Lesotho	Kategorija:Lesoto
Letter (alphabet)	Burts
Levant	Levante
Liberia	Libērija
Liberia	Kategorija:Libērija
Libya	Lībija
Libya	Kategorija:Lībija
Lichen	Ķērpji
Liechtenstein	Lihtenšteina
Liechtenstein	Kategorija:Lihtenšteina
Life	Dzīvība
Life	Kategorija:Dzīvība
Light	Gaisma
Light-year	Gaismas gads
Lightning	Zibens
Liguria	Ligūrija
Ligurian Sea	Ligūrijas jūra
Liliaceae	Liliju dzimta
Lille	Lille
Lima	Lima
Limerick	Limerika
Limestone	Kaļķakmens
Limnology	Limnoloģija
Lincolnshire	Linkolnšīra
Line (mathematics)	Taisne
Linguistics	Valodniecība
Linguistics	Kategorija:Valodniecība
Linux	Linux
Linux	Kategorija:Linux
Linz	Linca
Lion	Lauva
Lipid	Lipīdi
Liquid	Šķidrums
Liquid crystal display	LCD
Lisbon	Lisabona
Lisp (programming language)	Lisp
Literature	Literatūra
Literature	Kategorija:Literatūra
Lithium	Litijs
Lithosphere	Litosfēra
Lithuania	Lietuva
Lithuania	Kategorija:Lietuva
Litre	Litrs
Liverpool	Liverpūle
Livonia	Livonija
Livy	Tits Līvijs
Ljubljana	Ļubļana
Local area network	Lokālais tīkls
Loch Ness	Lohness
Logarithm	Logaritms
Logic	Loģika
Logic	Kategorija:Loģika
Logic gate	Loģiskais elements
Loki	Loki
Lombardy	Lombardija
London	Londona
London	Kategorija:Londona
Lord's Prayer	Tēvreize
Los Angeles	Losandželosa
Louis Armstrong	Lūiss Ārmstrongs
Louisiana	Luiziāna
Louvre	Luvra
Lower Saxony	Lejassaksija
Luanda	Luanda
Lublin	Ļubļina
Luciano Pavarotti	Lučāno Pavaroti
Lucifer	Lucifers
Ludwig Wittgenstein	Ludvigs Vitgenšteins
Ludwig van Beethoven	Ludvigs van Bēthovens
Luigi Pirandello	Luidži Pirandello
Lupus (constellation)	Vilks (zvaigznājs)
Lutetium	Lutēcijs
Luxembourg	Luksemburga (valsts)
Luxembourg	Kategorija:Luksemburga
Luxembourg (city)	Luksemburga (pilsēta)
Lymphatic system	Limfrites sistēma
Lyon	Liona
Lyra	Lira (zvaigznājs)
Lysergic acid diethylamide	Lizergīnskābes dietilamīds
Lysine	Lizīns
Lysosome	Lizosoma
M	M
MESSENGER	MESSENGER
MIME	Multipurpose Internet Mail Extensions
MS-DOS	MS-DOS
Macedonia	Maķedonija
Mach number	Maha skaitlis
Machine gun	Ložmetējs
Machu Picchu	Maču Pikču
Macintosh	Macintosh
Macroeconomics	Makroekonomika
Madagascar	Madagaskara
Madagascar	Kategorija:Madagaskara
Madonna (entertainer)	Madonna (mūziķe)
Madrid	Madride
Maghreb	Magriba
Magma	Magma
Magna Carta	Lielā brīvības harta
Magnesium	Magnijs
Magnetic field	Magnētiskais lauks
Magnoliopsida	Kategorija:Divdīgļlapji
Mail	Pasts
Main	Maina
Main	Veidne:Galvenais
Maine	Mena (ASV štats)
