English	Interlingua
Australia	Categoria:Australia
Austria	Austria
Austria	Categoria:Austria
Author	Autor
Autism	Autismo
Autobiography	Autobiographia
Automated teller machine	Cassero automatic
Autotroph	Autotropho
Avalanche	Avalanche
Azerbaijan	Azerbaidzhan
Azerbaijan	Categoria:Azerbaidzhan
Azores	Azores
Backgammon	Backgammon
Bacteria	Bacterio
Bactrian Camel	Camelo
Bahamas	Categoria:Bahamas
Bahrain	Bahrain
Bahrain	Categoria:Bahrain
Bangladesh	Bangladesh
Bangladesh	Categoria:Bangladesh
Bank	Banca
Baptism	Baptismo
Baptist	Baptistas
Barbados	Barbados
Barbados	Categoria:Barbados
Barcelona	Barcelona
Basilicata	Basilicata
Basketball	Basketball
Bat	Vespertilion
Baton Rouge	Baton Rouge, Louisiana
Bear	Ursidae
Belarus	Bielorussia
Belarus	Categoria:Bielorussia
Belfast	Belfast
Belgium	Belgica
Belgium	Categoria:Belgica
Belize	Belize
Belize	Categoria:Belize
Benin	Benin
Benin	Categoria:Benin
Bergen	Bergen
Berlin	Berlin
Bhutan	Bhutan
Bhutan	Categoria:Bhutan
Bible	Biblia
Bible	Categoria:Biblia
Big Bang	Big Bang
Bill Gates	Bill Gates
Biology	Biologia
Biology	Categoria:Biologia
Birmingham	Birmingham, Alabama
Bishop	Episcopo
Bismarck	Bismarck, North Dakota
Bit	Bit
Blaise Pascal	Blaise Pascal
Blindness	Cecitate
Blog	Blog
Blood	Sanguine
Blood plasma	Plasma
Bob Dylan	Bob Dylan
Boise	Boise, Idaho
Bolivia	Bolivia
Bolivia	Categoria:Bolivia
Bombyx mori	Bombyx mori
Book	Libro
Book of Mormon	Libro de Mormon
Bosnia and Herzegovina	Bosnia e Herzegovina
Bosnia and Herzegovina	Categoria:Bosnia e Herzegovina
Boston	Boston, Massachusetts
Bot	Patrono:Bot
Botany	Botanica
Botany	Categoria:Botanica
Botswana	Botswana
Botswana	Categoria:Botswana
Boxer (dog)	Boxer
Brain	Cerebro
Brazil	Brasil
Brazil	Categoria:Brasil
British Columbia	Columbia Britannic
British people	Categoria:Gente britannic
Brunei	Brunei
Brunei	Categoria:Brunei
Bucharest	Bucarest
Buddha	Buddha
Buddhism	Buddhismo
Buddhism	Categoria:Buddhismo
Buenos Aires	Buenos Aires
Building	Edificio
Bulgaria	Bulgaria
Bulgaria	Categoria:Bulgaria
Burkina Faso	Burkina Faso
Burkina Faso	Categoria:Burkina Faso
Burma	Myanmar
Burma	Categoria:Myanmar
Burundi	Categoria:Burundi
Butterfly	Papilion
Byte	Byte
C (programming language)	C (linguage de programmation)
COBOL	COBOL
Cache	Cache
Calabria	Calabria
Calendar	Calendario
California	California
Calvinism	Calvinismo
Cambodia	Cambodgia
Cambodia	Categoria:Cambodgia
Camera	Camera photographic
Cameroon	Camerun
Cameroon	Categoria:Camerun
Campania	Campania
Canada	Canada
Canada	Categoria:Canada
Canary Islands	Canarias
Capacitor	Capacitor
Cape Verde	Capo Verde
Cape Verde	Categoria:Capo Verde
Capital	Capital
Carbon	Carbon
Caribbean Sea	Mar Caribe
Carnivora	Carnivoro
Carolus Linnaeus	Carl von Linné
Carson City	Carson City, Nevada
Cartography	Cartographia
Castile (historical region)	Castilia
Cat	Catto
Catalonia	Catalonia
Catholicism	Catholicismo
Cattle	Vacca
Cell (biology)	Cellula (biologia)
Cell nucleus	Nucleo (biologia)
Centimetre	Centimetro
Central African Republic	Republica Centroafrican
Central African Republic	Categoria:Republica Centroafrican
Central America	America central
Ceramic	Ceramica
Ceres	Ceres (disambiguation)
Ceres (dwarf planet)	Ceres (planeta nano)
Chad	Chad
Chad	Categoria:Chad
Charles Darwin	Charles Darwin
Charleston	Charleston, West Virginia
Charlotte	Charlotte, North Carolina
Cheese	Caseo
Cheetah	Gepardo
Chemical element	Elemento chimic
Chemistry	Chimia
Chemistry	Categoria:Chimia
Chess	Chacos
Chess	Categoria:Chacos
Cheyenne	Cheyenne, Wyoming
Chile	Chile
Chile	Categoria:Chile
China	Categoria:China
Chordate	Chordatos
Christianity	Christianismo
Christianity	Categoria:Christianismo
Christopher Columbus	Christophoro Columbo
Church	Ecclesia
Cleveland	Cleveland, Ohio
Cloning	Clonage
Cold War	Categoria:Guerra Frigide
Cologne	Colonia
Colombia	Colombia
Colombia	Categoria:Colombia
Colosseum	Amphitheatrum Flavium
Columbia	Columbia, South Carolina
Columbus	Columbus, Ohio
Comet	Cometa
Commerce	Categoria:Commercio
Communication	Categoria:Communication
Communication	Communication
Comoros	Comores
Comoros	Categoria:Comores
Computer	Computator
Computer hardware	Categoria:Hardware
Computer network	Rete de computatores
Computer programming	Categoria:Programmation
Computer science	Informatica
Computer science	Categoria:Informatica
Computer software	Software
Concord	Concord, New Hampshire
Confession	Confession
Constantinople	Constantinopolis
Continent	Continente
Cooking	Cocina
Cooperative	Cooperative
Coordinated Universal Time	Tempore universal coordinate
Copyright	Derecto de autor
Cosmology	Cosmologia
Cosmology	Categoria:Cosmologia
Costa Rica	Costa Rica
Costa Rica	Categoria:Costa Rica
Crete	Creta
Cricket	Cricket
Croatia	Croatia
Croatia	Categoria:Croatia
Cross	Cruce
Crystallography	Crystallographia
Crystallography	Categoria:Crystallographia
Ctenophore	Ctenophoro
Cuba	Cuba
Cuba	Categoria:Cuba
Cubism	Cubismo
Culture	Cultura
Culture	Categoria:Cultura
Curitiba	Curitiba
Currency	Numerario
Cyprus	Categoria:Cypro
Czech Republic	Republica Chec
Czech Republic	Categoria:Republica Chec
Czechoslovakia	Checoslovachia
Dalai Lama	Dalai Lama
Dallas	Dallas, Texas
Dance	Dansa
Dance	Categoria:Dansa
Dante Alighieri	Dante Alighieri
Database	Base de datos
Days	Categoria:Datas
Death	Morte
Death	Categoria:Morte
December	Decembre
December 31	31 de decembre
December 8	8 de decembre
Deconstruction	Deconstruction
Degree	Grado
Degree (angle)	Grado (angulo)
Deimos (moon)	Deimos (luna)
Deism	Deismo
Democracy	Democratia
Democratic Republic of the Congo	Republica Democratic del Congo
Democratic Republic of the Congo	Categoria:Republica Democratic del Congo
Democritus	Democrito
Demography	Demographia
Demography	Categoria:Demographia
Dengue fever	Dengue
Denmark	Danmark
Denmark	Categoria:Danmark
Denver	Denver, Colorado
Des Moines	Des Moines, Iowa
Determinism	Determinismo
Detroit	Detroit, Michigan
Deuteronomy	Deuteronomio
Diabetes mellitus	Diabete
Diacritic	Signo diacritic
Diaspora	Diaspora
Disambiguation	Categoria:Disambiguation
Disease	Maladia
Distance	Distantia
Djibouti	Categoria:Djibouti
Dodo	Dodo
Dog	Can
Dogma	Dogma
Dolphin	Delphino
Dominica	Dominica (pais)
Dominica	Categoria:Dominica
Dominican Republic	Republica Dominican
Dominican Republic	Categoria:Republica Dominican
Don Quixote	Don Quixote de La Mancha
Dover	Dover, Delaware
Dresden	Dresden
Dromedary	Dromedario
Dutch people	Categoria:Gente hollandese
Dynamics (physics)	Dynamica
E (mathematical constant)	E (constante mathematic)
Earth	Terra
Earth science	Scientias del terra
East Timor	Timor Oriental
East Timor	Categoria:Timor Oriental
Ecology	Ecologia
Ecology	Categoria:Ecologia
Economics	Economia
Economics	Categoria:Economia
Economy	Economia
Ecuador	Ecuador
Ecuador	Categoria:Ecuador
Edmund Hillary	Edmund Hillary
Education	Education
Education	Categoria:Education
Edward Jenner	Edward Jenner
Egypt	Egypto
Egypt	Categoria:Egypto
El Greco	El Greco
El Paso	El Paso, Texas
El Salvador	El Salvador
El Salvador	Categoria:El Salvador
Electromagnetism	Electromagnetismo
Electron	Electron
Electronics	Electronica
Electronics	Categoria:Electronica
Elegy	Elegia
Element	Elemento (disambiguation)
Elephant	Elephante
Elijah	Elijah
Ellipse	Ellipse
Emilia-Romagna	Emilia-Romagna
Emoticon	Emoticone
Emotion	Categoria:Emotiones
Emperor	Imperator
Emulator	Emulator
Encyclopedia	Encyclopedia
Energy	Energia
Energy (society)	Energia
Engineering	Ingenieria
Engineering	Categoria:Ingenieria
England	Anglaterra
English language	Lingua anglese
Enrico Fermi	Enrico Fermi
Entertainment	Categoria:Intertenimento
Entropy	Entropia
Epic poetry	Epos
Epiphany (Christian)	Epiphania
Epistle to the Romans	Epistola al Romanos
Equation	Equation
Equatorial Guinea	Guinea Equatorial
Equatorial Guinea	Categoria:Guinea Equatorial
Eris (dwarf planet)	Eris
Eritrea	Categoria:Eritrea
Ernest Hemingway	Ernest Hemingway
Eros (mythology)	Eros
Erotica	Erotica
Eschatology	Eschatologia
Esperanto	Esperanto
Essay	Essayo
Estonia	Categoria:Estonia
Ethics	Ethica
Ethics	Categoria:Ethica
Ethiopia	Ethiopia
Ethiopia	Categoria:Ethiopia
Ethology	Ethologia
Etymology	Etymologia
Eucharist	Eucharistia
Euphemism	Euphemismo
Euro	Euro
Europa (mythology)	Europa (mythologia)
Europe	Europa
Europe	Categoria:Europa
European Union	Union Europee
European Union	Categoria:Union Europee
Even-toed ungulate	Artiodactyla
Excommunication	Excommunication
Existentialism	Existentialismo
Fable	Fabula
Factory	Fabrica
Fahrenheit	Grado Fahrenheit
Falkland Islands	Insulas Falkland - Malvinas
February	Februario
February 12	12 de februario
February 14	14 de februario
February 2	2 de februario
February 22	22 de februario
February 29	29 de februario
Feminism	Feminismo
Feminism	Categoria:Feminismo
Ferdinand Magellan	Ferdinando Magellanes
Fiction	Categoria:Fiction
Fiji	Fiji
Fiji	Categoria:Fiji
File Transfer Protocol	File Transfer Protocol
Film	Categoria:Cinema
Finance	Categoria:Financia
Finland	Finlandia
Finland	Categoria:Finlandia
First Epistle to the Corinthians	Epistola 1 al Corinthios
Flash memory	Memoria flash
Florida	Florida
Football (soccer)	Football
Football (soccer)	Categoria:Football
Football (soccer) clubs	Categoria:Clubs de football
Forest	Foreste
Fort Worth	Fort Worth, Texas
Fortran	FORTRAN
Fractal	Fractal
France	Francia
France	Categoria:Francia
Francis Drake	Francis Drake
Frankfort	Frankfort, Kentucky
Frankfurt	Frankfurt am Main
Freeware	Freeware
French Revolution	Revolution francese
French people	Categoria:Gente francese
Fresno	Fresno, California
Friday	Venerdi
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Fruit	Categoria:Fructo
Funafuti	Funafuti
Fundamental	Categoria:Tote
Fundamentalism	Fundamentalismo
Furniture	Categoria:Mobiles
Futurism (art)	Futurismo
Gabon	Gabon
Gabon	Categoria:Gabon
Galicia (Spain)	Gallecia
Galileo Galilei	Galileo Galilei
Gaza Strip	Banda de Gaza
Genetics	Categoria:Genetica
Genome	Genoma
Genus	Genere (biologia)
Geography	Geographia
Geography	Categoria:Geographia
Geology	Categoria:Geologia
Geology	Geologia
Geometry	Geometria
Geometry	Categoria:Geometria
George Bernard Shaw	George Bernard Shaw
Georgia (country)	Georgia (pais)
Georgia (country)	Categoria:Georgia
German language	Lingua german
Germany	Germania
Germany	Categoria:Germania
Ghana	Ghana
Ghana	Categoria:Ghana
Gibraltar	Gibraltar
Gland	Glandula
Gnosticism	Gnosticismo
Go (board game)	Go
Goa	Goa
Goat	Capra
God	Deo
Gospel	Evangelio
Gospel of Luke	Evangelio secundo Luca
Gothenburg	Göteborg
Grammar	Grammatica
Grammar	Categoria:Grammatica
Gravitation	Gravitate
Gray Wolf	Lupo gris
Greece	Grecia
Greece	Categoria:Grecia
Greek alphabet	Alphabeto grec
Greek mythology	Mythologia grec
Greek mythology	Categoria:Mythologia grec
Greenhouse effect	Effecto conservatorio
Greenland	Groenlandia
Grenada	Categoria:Grenada
Guadeloupe	Guadeloupe
Guanine	Guanina
Guatemala	Categoria:Guatemala
Guinea	Guinea
Guinea	Categoria:Guinea
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Categoria:Guinea-Bissau
Guyana	Categoria:Guyana
Gynaecology	Gynecologia
HTML	HTML
Haemophilia	Hemophilia
Hail Mary	Ave Maria
Haiti	Haiti
Haiti	Categoria:Haiti
Hajj	Hadj
Hannibal	Hannibal
Hanoi	Hanoi
Harold Pinter	Harold Pinter
Harrisburg	Harrisburg, Pennsylvania
Hartford	Hartford, Connecticut
Head	Capite
Health	Sanitate
Health	Categoria:Sanitate
Hebrew alphabet	Alphabeto hebree
Hebrew calendar	Calendario hebree
Heinrich Hertz	Heinrich Rudolf Hertz
Helena	Helena, Montana
Helsinki	Helsinki
Hemoglobin	Hemoglobina
Henry (unit)	Henry
Henry Ford	Henry Ford
Heraldry	Heraldica
Heraldry	Categoria:Heraldica
Heresy	Heresia
Hermeneutics	Hermeneutica
Hertz	Hertz
Heterotroph	Heterotropho
Hezbollah	Hezbollah
Hinduism	Hinduismo
Hinduism	Categoria:Hinduismo
Hispaniola	Hispaniola
History	Historia
History	Categoria:Historia
Hobart	Hobart
Holy Roman Empire	Sacre Imperio Roman
Holy Roman Empire	Categoria:Sacre Imperio Roman
Holy Spirit	Spirito Sancte
Homosexuality	Homosexualitate
Honduras	Honduras
Honduras	Categoria:Honduras
Hong Kong	Hong Kong
Honolulu	Honolulu, Hawaii
Horn (anatomy)	Corno
Horse	Cavallo
Houston	Houston, Texas
Human	Esser human
Humanism	Humanismo
Hungary	Hungaria
Hungary	Categoria:Hungaria
Hydrogen	Hydrogeno
Hypertext	Hypertexto
Hypothesis	Hypothese
Iberian Peninsula	Peninsula iberic
Iceland	Islanda
Iceland	Categoria:Islanda
Ichthyology	Ichthyologia
Ido	Ido
Immanuel Kant	Immanuel Kant
India	India
India	Categoria:India
Indian Ocean	Oceano Indian
Indianapolis	Indianapolis, Indiana
Indira Gandhi	Indira Gandhi
Indonesia	Indonesia
Indonesia	Categoria:Indonesia
Industry	Categoria:Industria
Information	Information
Insect	Insecto
Integer	Numero integre
Intelligence	Intelligentia
Interlingua	Interlingua
International System of Units	Systema International de Unitates
Internet	Internet
Internet	Categoria:Internet
Iran	Iran
Iran	Categoria:Iran
Iraq	Irak
Iraq	Categoria:Irak
Ireland	Irlanda
Ireland	Categoria:Irlanda
Iridium	Iridium
Irish people	Categoria:Gente irlandese
Iron	Ferro
Isaac Newton	Isaac Newton
Islam	Islam
Islam	Categoria:Islam
Islamic calendar	Calendario islamic
Island	Insula
Israel	Israel
Israel	Categoria:Israel
Istanbul	Istanbul
Isthmus	Isthmo
Italy	Italia
Italy	Categoria:Italia
Ivan Pavlov	Ivan Petrovich Pavlov
Jackson	Jackson, Mississippi
Jacksonville	Jacksonville, Florida
Jacques Offenbach	Jacques Offenbach
Jamaica	Jamaica
Jamaica	Categoria:Jamaica
James Joyce	James Joyce
January	Januario
January 1	1 de januario
January 19	19 de januario
January 20	20 de januario
January 6	6 de januario
Japan	Japon
Japan	Categoria:Japon
Java (disambiguation)	Java (disambiguation)
Java (programming language)	Java (linguage de programmation)
Jean Piaget	Jean Piaget
Jean-Jacques Rousseau	Jean Jacques Rousseau
Jeddah	Jeddah
Jefferson City	Jefferson City, Missouri
Jehovah	Jehovah
Jehovah's Witnesses	Testes de Jehovah
Jerome	Jeronimo
Jesus	Jesus Christo
Jew	Judeo
Jihad	Jihad
Johann Sebastian Bach	Johann Sebastian Bach
John Calvin	Johannes Calvin
John Napier	John Napier
Jordan	Jordania
Jordan	Categoria:Jordania
Joseph Smith	Joseph Smith
Journalism	Categoria:Jornalismo
Judaism	Judaismo
Judaism	Categoria:Judaismo
Julius Caesar	Julius Caesar
July	Julio
July 1	1 de julio
July 4	4 de julio
June	Junio
June 14	14 de junio
June 21	21 de junio
June 23	23 de junio
June 24	24 de junio
June 29	29 de junio
June 3	3 de junio
Juneau	Juneau, Alaska
Jupiter	Jupiter (planeta)
Jupiter (disambiguation)	Jupiter (disambiguation)
Jupiter (mythology)	Jupiter (mythologia)
Kaaba	Kaaba
Karate	Karate
Karl Barth	Karl Barth
Karl Marx	Karl Marx
Katowice	Katowice
Kazakhstan	Kazakhstan
Kazakhstan	Categoria:Kazakhstan
Kenya	Kenya
Kenya	Categoria:Kenya
Kernel (computer science)	Nucleo (informatica)
Kiev	Kiev
Kilogram	Kilogramma
Kilometre	Kilometro
Kingdom (biology)	Regno (biologia)
Korea	Corea
Ku Klux Klan	Ku Klux Klan
Kuwait	Kuwait
Kuwait	Categoria:Kuwait
Kyrgyzstan	Kirghizistan
Kyrgyzstan	Categoria:Kirghizistan
Language	Linguage
Languedoc-Roussillon	Linguadoc-Rossellon
Lansing	Lansing, Michigan
Las Vegas	Las Vegas, Nevada
Latin	Lingua latin
Latin alphabet	Alphabeto latin
Latvia	Latvia
Latvia	Categoria:Latvia
Law	Derecto
Law	Categoria:Derecto
Lazio	Latio
Leap year	Anno bissextil
Lebanon	Libano
Lebanon	Categoria:Libano
Length	Longitude
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leukemia	Leucemia
Liechtenstein	Liechtenstein
Liechtenstein	Categoria:Liechtenstein
Liguria	Liguria
Lima	Lima
Lincoln	Lincoln, Nebraska
Lingua franca	Lingua franca
Linguistics	Linguistica
Linguistics	Categoria:Linguistica
Linux	Linux
Linux	Categoria:Linux
Lion	Leon
Lisbon	Lisbona
Literature	Litteratura
Literature	Categoria:Litteratura
Lithuania	Lituania
Lithuania	Categoria:Lituania
Llama	Llama
Local area network	Rete local
Logarithm	Logarithmo
Logic	Logica
Logic	Categoria:Logica
Lombardy	Lombardia
London	London
Lord's Prayer	Patrenostre
Lorraine (region)	Lorraine
Los Angeles	Los Angeles, California
Louisville	Louisville, Kentucky
Love	Amor
Ludwig van Beethoven	Ludwig van Beethoven
Lutheranism	Lutheranismo
Luxembourg	Luxemburg
Luxembourg	Categoria:Luxemburg
Luzon	Luzon
Lymphatic system	Systema lymphatic
Lynx (web browser)	Lynx
Lyon	Lyon
Macau	Macao
Madison	Madison, Wisconsin
Madrid	Madrid
Mahatma Gandhi	Mahatma Gandhi
Main	Patrono:AP
Maize	Mais
Malaria	Malaria
Malaysia	Malaysia
Malaysia	Categoria:Malaysia
Malta	Malta
Malta	Categoria:Malta
Maltese language	Lingua maltese
Mammal	Mammal
Mammoth	Mammut
Mandarin (linguistics)	Lingua chinese mandarin
Manhattan	Manhattan
Manichaeism	Manicheismo
Manila	Manila
Mannerism	Manierismo
March	Martio
March 17	17 de martio
March 19	19 de martio
March 2	2 de martio
March 25	25 de martio
Marche	Marche
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Mars (disambiguation)	Marte (disambiguation)
Mars (mythology)	Marte (mythologia)
Martin Luther King	Martin Luther King, Jr.
Martinique	Martinique
Mass	Massa
Mathematics	Mathematica
Mathematics	Categoria:Mathematica
Mathematics	Portal:Mathematica
Matter	Materia
Max Planck	Max Planck
Maximian	Maximiano
May	Maio
May 1	1 de maio
May 24	24 de maio
Measurement	Categoria:Mesura
Medication	Medicamento
Medicine	Medicina
Medicine	Categoria:Medicina
Mediterranean Sea	Mediterraneo
Megabyte	Megabyte
Memphis	Memphis, Tennessee
Mercury (mythology)	Mercurio (mythologia)
Mercury (planet)	Mercurio (planeta)
Messiah	Messia
Metal	Metallo
Meteorology	Categoria:Meteorologia
Meteorology	Meteorologia
Metre	Metro
Mexico	Mexico
Mexico	Categoria:Mexico
Miami	Miami, Florida
Michael Faraday	Michael Faraday
Miguel de Cervantes	Miguel de Cervantes
Milan	Milano
Milk	Lacte
Millennium	Millennio
Millimetre	Millimetro
Million	Million
Milwaukee	Milwaukee, Wisconsin
Mineralogy	Mineralogia
Mineralogy	Categoria:Mineralogia
Minerva	Minerva
Minneapolis	Minneapolis, Minnesota
Minnesota	Minnesota
Miracle	Miraculo
Mishnah	Mishnah
Mobile phone	Telephono mobile
Modernism	Modernismo
Moldova	Moldavia
Moldova	Categoria:Moldova
Mollusca	Mollusco
Monaco	Monaco (principato)
Monaco	Categoria:Monaco
Monday	Lunedi
Money	Moneta
Mongolia	Mongolia
Mongolia	Categoria:Mongolia
Monotheism	Monotheismo
Montenegro	Montenegro
Montgomery	Montgomery, Alabama
Month	Mense
Montpelier	Montpelier, Vermont
Moon	Luna
Morality	Moral
Moscow	Moscova
Moses	Moses
Motto	Motto
Mozambique	Mozambique
Mozambique	Categoria:Mozambique
Muhammad	Mahomet
Music	Musica
Music	Categoria:Musica
Myanmar	Categoria:Myanmar
Mythology	Mythologia
Mythology	Categoria:Mythologia
NATO	OTAN
Nancy	Nancy
Naples	Napoli
Nashville	Nashville, Tennessee
Natural number	Numero natural
Natural science	Scientia natural
Nature	Natura
Nature	Categoria:Natura
Nauru	Nauru
Nauru	Categoria:Nauru
Netherlands	Pais Basse
Netherlands	Categoria:Pais Basse
Netherlands Antilles	Antillas Nederlandese
Network topology	Topologia de rete
Neurology	Categoria:Neurologia
New Testament	Nove Testamento
New York (disambiguation)	New York (disambiguation)
New York City	New York (citate)
New Zealand	Nove Zelanda
New Zealand	Categoria:Nove Zelanda
Newark	Newark, New Jersey
Nicaragua	Nicaragua
Nicaragua	Categoria:Nicaragua
Nicene Creed	Credo catholic
Nigeria	Nigeria
Nitrogen	Nitrogeno
Noam Chomsky	Noam Chomsky
Nobel Prize	Premio Nobel
Norse mythology	Mythologia nordic
North America	America del Nord
North Korea	Corea del Nord
North Korea	Categoria:Corea del Nord
Northern Ireland	Irlanda del Nord
Northern Ireland	Categoria:Irlanda del Nord
Norway	Norvegia
Norway	Categoria:Norvegia
November	Novembre
November 1	1 de novembre
November 11	11 de novembre
November 2	2 de novembre
November 5	5 de novembre
Novial	Novial
Nuclear weapon	Arma nuclear
Number	Numero
Numbers	Categoria:Numeros
Numismatics	Numismatica
Oak	Quercus
Oakland	Oakland, California
Oceania	Oceania
Oceanography	Oceanographia
Oceanography	Categoria:Oceanographia
October	Octobre
October 12	12 de octobre
October 24	24 de octobre
Ode	Ode
Oklahoma City	Oklahoma City, Oklahoma
Old Testament	Vetere Testamento
Olympic Games	Jocos Olympic
Olympics	Categoria:Jocos Olympic
Omaha	Omaha, Nebraska
Ontario	Ontario
Ontology	Ontologia
Opera	Opera
Operating system	Systema de operation
Orangutan	Orangutan
Organ (anatomy)	Organo (anatomia)
Organic chemistry	Chimia organic
Organism	Organismo
Organization of American States	Organisation del Statos American
Origen	Origen
Orlando	Orlando, Florida
Ornithology	Ornithologia
Orthography	Orthographia
Osama bin Laden	Osama bin Laden
Oslo	Oslo
