English	Esperanto
Electric guitar	Elektra gitaro
Electric motor	Elektromotoro
Electrical engineering	Kategorio:Elektra inĝenierarto
Electrical engineering	Elektrotekniko
Electrical resistance	Elektra rezistanco
Electricity	Elektro
Electricity	Kategorio:Elektro
Electrochemistry	Elektrokemio
Electrolysis	Elektrolizo
Electrolyte	Elektrolito
Electromagnetic radiation	Elektromagneta ondo
Electromagnetism	Elektromagnetismo
Electron	Elektrono
Electron microscope	Elektrona mikroskopo
Electronics	Elektroniko
Elegy	Elegio
Element	Elemento
Elementary particle	Elementa partiklo
Elephant	Elefanto
Elevator	Lifto
Elf	Elfo
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elija
Elizabeth Taylor	Elizabeth Taylor
Ellipse	Elipso (matematiko)
Ellipsis	Tripunkto
Elm	Ulmo
Elvis Presley	Elvis Presley
Embryo	Embrio
Embryology	Embriologio
Emerald	Smeraldo
Emilia-Romagna	Emilio-Romanjo
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emiro
Emma Goldman	Emma Goldman
Emoticon	Miensimbolo
Emotion	Emocio
Emotion	Kategorio:Emocioj
Empedocles	Empedoklo
Emperor	Imperiestro
Emperor Penguin	Imperiestra pingveno
Empire	Imperio
Empire State Building	Empire State Building
Empiricism	Empiriismo
Emu	Emuo
Encyclopedia	Enciklopedio
Endemism	Endemismo
Endocrine system	Endokrina sistemo
Energy	Energio
Energy	Kategorio:Energio
Energy (society)	Energio
Engine	Motoro
Engineer	Inĝeniero
Engineering	Inĝenierarto
Engineering	Kategorio:Inĝenierarto
England	Anglio
England	Kategorio:Anglio
English Channel	Manika Markolo
English Civil War	Angla enlanda milito
English language	Angla lingvo
English language	Kategorio:Angla lingvo
English people	Kategorio:Angloj
English people	Angloj
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategorio:Distrado
Enthalpy	Entalpio
Entomology	Entomologio
Entomology	Kategorio:Entomologio
Entropy	Entropio
Environment	Kategorio:Mediprotektado
Enzyme	Enzimo
Eocene	Eoceno
Eon (geology)	Eono
Ephesus	Efeso
Epic poetry	Eposo
Epicenter	Surcentro
Epictetus	Epikteto
Epicurus	Epikuro
Epidemic	Epidemio
Epidemiology	Epidemiologio
Epilepsy	Epilepsio
Epinephrine	Adrenalino
Epiphany (Christian)	Epifanio
Epirus (periphery)	Epiro (administra regiono)
Epistemology	Sciteorio
Epistle to the Galatians	Epistolo al la Galatoj
Epistle to the Romans	Epistolo al la Romanoj
Epithelium	Epitelio
Epsilon	Epsilono
Equation	Ekvacio
Equator	Ekvatoro
Equatorial Guinea	Ekvatora Gvineo
Equatorial Guinea	Kategorio:Ekvatora Gvineo
Equidae	Ekvedoj
Equinox	Ekvinokso
Equisetum	Ekvizeto
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosteno
Erbium	Erbio
Erebus	Erebo
Erectile dysfunction	Impotenteco
Erection	Erektiĝo
Ericaceae	Erikacoj
Eridanus (constellation)	Eridano (konstelacio)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	Eriso
Eris (mythology)	Eriso (diino)
Eritrea	Kategorio:Eritreo
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eros (mythology)	Eroso
Erosion	Erozio
Erotica	Erotismo
Erwin Rommel	Erwin Rommel
Escape velocity	Eskapa rapido
Eschatology	Eskatologio
Esfahan	Esfahano
Esophagus	Ezofago
Esperanto	Esperanto
Esperanto	Kategorio:Esperanto
Espionage	Spionado
Espoo	Espoo
Essay	Eseo
Essen	Essen
Essential oil	Volatila oleo
Essex	Essex
Ester	Estero
Estonia	Kategorio:Estonio
Eta (letter)	Eto (litero)
Ethane	Etano
Ethanol	Etanolo
Ether	Etero (kemio)
Ethernet	Eterreto
Ethics	Etiko
Ethics	Kategorio:Etiko
Ethiopia	Etiopio
Ethiopia	Kategorio:Etiopio
Ethnic group	Etno
Ethnography	Etnografio
Ethnology	Kategorio:Etnologio
Ethology	Etologio
Ethylene	Eteno
Etymology	Etimologio
Eucalyptus	Eŭkalipto
Eucharist	Komunio
Euclid	Eŭklido
Eukaryote	Eŭkariotoj
Eunuch	Eŭnuko
Euphemism	Eŭfemismo
Euphrates	Eŭfrato
Eurasia	Eŭrazio
Eurasian Badger	Melo
Euripides	Eŭripido
Euro	Eŭro
Europa (moon)	Eŭropo (luno)
Europa (mythology)	Eŭropa
Europe	Eŭropo
Europe	Kategorio:Eŭropo
European Central Bank	Eŭropa Centra Banko
European Community	Eŭropa Ekonomia Komunumo
European Magpie	Eŭropa pigo
European Union	Eŭropa Unio
European Union	Kategorio:Eŭropa Unio
Europium	Eŭropio
Eusebius of Caesarea	Eŭsebio de Cezareo
Euterpe	Eŭterpo
Euthanasia	Eŭtanazio
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Vaporado
Even-toed ungulate	Parhufuloj
Evolution	Evoluismo
Exchange rate	Kurzo
Exclamation mark	Krisigno
Excommunication	Ekskomuniko
Executive (government)	Plenuma povo
Existentialism	Ekzistadismo
Exodus	Eliro
Expected value	Atendata valoro
Experiment	Eksperimento
Explosion	Eksplodo
Expo (exhibition)	Internacia ekspozicio
Exponential function	Eksponenta funkcio
Exponentiation	Potenco (matematiko)
Expressionism	Ekspresionismo
Extinction	Formorto
Eye	Okulo
Eye	Kategorio:Okulo
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	Francis Scott Key Fitzgerald
Fabaceae	Fabacoj
Fable	Fablo
Face	Vizaĝo
Factorial	Faktorialo
Factory	Fabriko
Facula	Sunmakulo
Fado	Fado
Fagaceae	Kategorio:Fagacoj
Fahrenheit	Farenhejta skalo
Fair use	Justa uzo
Fairy	Feo
Fairy tale	Fabelo
Falcon	Falko
Falconiformes	Falkoformaj birdoj
Falkland Islands	Falklandoj
Fallopian tube	Salpingo
Fallow Deer	Damao
Falun Gong	Falun Gong
Family	Kategorio:Familio
Family (biology)	Familio (biologio)
Family history	Genealogio
Family name	Familia nomo
Fantasy	Fantasto
Farad	Farado
Faroe Islands	Kategorio:Ferooj
Fascism	Faŝismo
Fashion	Kategorio:Modo
Fashion	Modo
Fast food	Rapidmanĝejo
Fasting	Fasto
Fatah	Fatah
Fatty acid	Grasacido
Fauna	Bestaro
Fauvism	Faŭvismo
Fax	Faksilo
Fear	Timo
Feather	Plumo
February	Februaro
February 12	12-a de februaro
February 14	14-a de februaro
February 2	2-a de februaro
February 22	22-a de februaro
February 29	29-a de februaro
Feces	Fekaĵo
Federal Bureau of Investigation	FBI
Federated States of Micronesia	Federacio de Mikronezio
Federated States of Micronesia	Kategorio:Federacio de Mikronezio
Federation	Federacio
Federico Fellini	Federico Fellini
Feldspar	Feldspato
Felidae	Felisedoj
Felix Mendelssohn	Felix Mendelssohn Bartholdy
Feminism	Feminismo
Feminism	Kategorio:Feminismo
Fencing	Skermo
Feng shui	Fengŝuo
Ferdinand II	Ferdinando la 2-a (Sankta Romia Imperio)
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentado
Fermentation (food)	Fermentado
Fermion	Fermiono
Fermium	Fermio
Fern	Filiko
Ferrara	Ferrara
Ferry	Pramo
Fertile Crescent	Fekunda duonluno
Fertilizer	Sterko
Fetus	Feto
Feudalism	Feŭdismo
Fever	Febro
Fiat	Fiat
Fibonacci number	Fibonaĉi-nombro
Fiction	Kategorio:Fikcio
Fictional character	Fikciulo
Fidel Castro	Fidel Castro
Field (mathematics)	Korpo (algebro)
Fighter aircraft	Ĉasaviadilo
Figure skating	Arta sketado
Fiji	Fiĝioj
Fiji	Kategorio:Fiĝioj
File Allocation Table	FAT
File Transfer Protocol	Dosiero-Transiga Protokolo
File system	Dosiersistemo
Film	Kategorio:Kino
Film	Filmo
Film	Portalo:Filmo
Film director	Reĝisoro
Fin Whale	Balenoptero
Finger	Fingro
Finland	Finnlando
Finland	Kategorio:Finnlando
Fir	Abio
Fire	Fajro
Firearm	Pafilo
Firefighter	Fajroestingisto
Firewall (networking)	Fajroŝirmilo
First Crusade	Unua krucmilito
First Epistle to the Corinthians	1-a Epistolo al la Korintanoj
First aid	Sukuro
First language	Gepatra lingvo
Fish	Fiŝoj
Fish	Kategorio:Fiŝoj
Fishing	Fiŝkaptado
Fjord	Fjordo
Flag	Flago
Flagellum	Flagelo
Flamenco	Flamenko
Flamingo	Flamengo
Flanders	Flandrio
Flash memory	Fulmomemoro
Flatulence	Furzo
Flatworm	Platvermo
Flea	Pulo
Flemish (linguistics)	Flandra lingvo
Flint	Siliko
Flood	Inundo
Floppy disk	Disketo
Florence	Florenco
Florence Nightingale	Florence Nightingale
Florida	Florido
Florida	Kategorio:Florido
Flour	Faruno
Flower	Floro
Flowering plant	Angiospermoj
Fluid	Fluido
Flute	Fluto
Fly	Dipteroj
Fog	Nebulo
Folk music	Popola muziko
Folklore	Folkloro
Folklore	Kategorio:Folkloro
Food	Manĝaĵo
Food and Agriculture Organization	Organizaĵo pri Nutrado kaj Agrikulturo
Food chain	Nutroĉeno
Foot	Piedo
Foot (unit of length)	Futo
Football (soccer)	Futbalo
Football (soccer)	Kategorio:Futbalo
Football (soccer) clubs	Kategorio:Futbalteamoj
Football (soccer) managers	Kategorio:Trejnistoj de futbalo
Football (soccer) players	Kategorio:Futbalistoj
Forbidden City	Malpermesita Urbo
Force	Forto
Forest	Arbaro
Fork	Forko
Form of government	Ŝtatformo
Formaldehyde	Formaldehido
Formic acid	Formika acido
Fornax	Forno (konstelacio)
Fortification	Fortikaĵo
Fortran	Fortran (programlingvo)
Fossil	Fosilio
Fossil fuel	Fosilia brulaĵo
Foucault pendulum	Pendolo de Foucault
Fountain	Fontano
Fox	Vulpo
Fractal	Fraktalo
Fraction (mathematics)	Frakcio (matematiko)
France	Francio
France	Kategorio:Francio
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Francisko la 1-a (Aŭstrio)
Francis Poulenc	Francis Poulenc
Francis of Assisi	Sankta Francisko el Asizo
Franciscan	Franciskanoj
Francisco Franco	Francisco Franco
Francisco Goya	Francisco de Goya
Francisco Pizarro	Francisco Pizarro
Francium	Franciumo
Franco-Prussian War	Francia-Prusia Milito
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort (Kentukio)
Frankfurt	Frankfurto ĉe Majno
Frankfurt	Kategorio:Frankfurt
Frankfurt (Oder)	Frankfurto ĉe Odro
Frankfurt (disambiguation)	Frankfurto
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Frederiko la 1-a (Sankta Romia Imperio)
Frederick II	Frederiko la 2-a (Sankta Romia Imperio)
Fredericton	Frederiktono (Nov-Brunsviko)
Free State	Liberŝtato
Free will	Libera volo
Freemasonry	Framasonismo
Freetown	Fritaŭno
French Polynesia	Franca Polinezio
French Polynesia	Kategorio:Franca Polinezio
French Revolution	Francaj revolucioj
French Revolution	Kategorio:Franca Revolucio
French franc	Franca franko
French people	Kategorio:Francoj
Frequency	Frekvenco
Fresco	Fresko
Freshwater	Nesala akvo
Freyr	Freyr
Friction	Frotado
Friday	Vendredo
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Frislando
Frigate	Fregato
Frigg	Frigg
Friuli-Venezia Giulia	Friulo-Venecio Julia
Frog	Rano
Fructose	Fruktozo
Fruit	Frukto
Fruit	Kategorio:Fruktoj
Fucking	Fucking
Fuel	Brulaĵo
Fuel cell	Fuelpilo
Fugue	Fugo
Fukuoka	Fukuoka (urbo)
Full moon	Plenluno
Funafuti	Funafutio
Function (mathematics)	Funkcio (matematiko)
Fundamental	Kategorio:Ĉio
Fundamental interaction	Fundamenta forto
Fundamentalism	Fundamentismo
Fungi	Kategorio:Fungoj
Fungus	Fungoj
Funicular	Funikularo
Funk	Funko
Furniture	Kategorio:Mebloj
Furniture	Meblo
Future	Estonteco
Futurism (art)	Futurismo
Fuzzy logic	Neakra logiko
Fyodor Dostoevsky	Fjodor Dostojevskij
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabono
Gabon	Kategorio:Gabono
Gaborone	Gaborono
Gabriel	Sankta Gabrielo
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinio
Gaia (mythology)	Geo
Galatia	Galatia
Galaxy	Galaksio
Galen	Galeno de Pergamono
Galena	Galeno
Galicia (Central Europe)	Galicio
Galicia (Spain)	Galegio
Galilee	Galileo (regiono)
Galileo Galilei	Galilejo
Galliformes	Kokoformaj birdoj
Gallium	Galiumo
Gallon	Galjono
Galway	Galway
Gamal Abdel Nasser	Nasser
Gambling	Hazardludo
Game	Ludo
Game theory	Ludoteorio
Gamma	Gamo (litero)
Gamma ray	Gama-radiado
Ganges	Gango
Ganja	Ganĝa
Gansu	Gansuo
Ganymede (moon)	Ganimedo
Gap	Gap (Hautes-Alpes)
Garden	Ĝardeno
Garden of Eden	Edena ĝardeno
Gardening	Ĝardenado
Gargoyle	Gargojlo
Garlic	Ajlo
Garnet	Grenato
Garonne	Garono
Gas	Gaso
Gas constant	Universala gaskonstanto
Gas giant	Gasgiganto
Gasoline	Benzino
Gastrointestinal tract	Digesta sistemo
Gastropoda	Gastropodo
Gaul	Gaŭloj
Gautama Buddha	Siddhartha Gautama
Gay	Gejo
Gaza	Gaza-urbo
Gaza Strip	Gaza Sektoro
Gear	Dentrado
Geisha	Gejŝo
Gemini (constellation)	Ĝemeloj (konstelacio)
Gemstone	Gemo
Gene	Geno
Genealogy	Genealogio
General Officer	Generalo
General relativity	Ĝenerala relativeco
Genesis	Genezo
Genetic code	Genetika kodo
Genetic engineering	Gentekniko
Genetics	Genetiko
Genetics	Kategorio:Genetiko
Geneva	Ĝenevo
Genie	Ĝino (spirito)
Genitive case	Genitivo
Genoa	Ĝenovo
Genocide	Genocido
Genome	Genomo
Genus	Genro (biologio)
Geochemistry	Geokemio
Geodesy	Geodezio
Geodesy	Kategorio:Geodezio
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografio
Geography	Kategorio:Geografio
Geology	Kategorio:Geologio
Geology	Geologio
Geometry	Geometrio
Geometry	Kategorio:Geometrio
Geomorphology	Geomorfologio
Geophysics	Geofiziko
Geophysics	Kategorio:Geofiziko
Geopolitics	Geopolitiko
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Hegelo
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Catlett Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Ĝorĝtaŭno (Gujano)
Georgia (U.S. state)	Georgio
Georgia (U.S. state)	Kategorio:Georgio
Georgia (country)	Kartvelio
Georgia (country)	Kategorio:Kartvelio
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German language	Germana lingvo
German language	Kategorio:Germana lingvo
German mark	Germana marko
Germanium	Germaniumo
Germany	Germanio
Germany	Kategorio:Germanio
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Gejsero
Ghana	Ganao
Ghana	Kategorio:Ganao
Ghent	Gento (urbo)
Ghetto	Geto
Ghost	Fantomo
Giacomo Puccini	Giacomo Puccini
Giant Panda	Granda pando
Gibbon	Gibonoj
Gibraltar	Ĝibraltaro
Gibraltar	Kategorio:Ĝibraltaro
Gilgamesh	Gilgameŝ
Ginger	Zingibro
Ginkgo	Ginko
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Ĝirafo
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Gizo
Glacier	Glaĉero
Gladiator	Gladiatoro
Gland	Glando
Glasgow	Glasgovo
Glasnost	Glasnost
Glass	Vitro
Glasses	Okulvitro
Glider	Glisilo
Global Positioning System	Tutmonda loktrova sistemo
Global warming	Tutmonda varmiĝo
Globalization	Tutmondiĝo
Globe artichoke	Artiŝoko
Gloucestershire	Gloucestershire
Glucagon	Glukagono
Glucose	Glukozo
Gluon	Gluono
Glutamic acid	Glutama acido
Glycerol	Glicerino
Glycine	Glicino
Glycogen	Glikogeno
Glycolysis	Glikolizo
Gnathostomata	Makzelulo
Gneiss	Gnejso
Gnosticism	Gnostikismo
Go (board game)	Goo
Goa	Goao
Goalkeeper	Golulo
Gobi Desert	Gobi
God	Dio
Golan Heights	Golanaj Altaĵoj
Gold	Oro
Golda Meir	Golda Meir
Golden Eagle	Reĝa aglo
Golden Gate Bridge	Golden-Gate-Ponto
Golden Horde	Ora Hordo
Golden Retriever	Orkolora reporthundo
Golf	Golfo (sporto)
Golgi apparatus	Golĝi-aparato
Google	Google
Google	Kategorio:Google
Googol	Guglo
Gorilla	Gorilo
Goshawk	Akcipitro
Gospel	Evangelio
Gospel of Luke	Evangelio laŭ Luko
Gothenburg	Göteborg
Gothic	Gotiko
Gothic architecture	Gotika arkitekturo
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Podagro
Government	Registaro
Grace Kelly	Grace Kelly
Gradient	Gradiento (matematiko)
Graham Greene	Graham Greene
Gram	Gramo
Grammar	Gramatiko
Grammar	Kategorio:Gramatiko
Grammatical gender	Genro
Granada	Granado (Hispanio)
Grand Canyon	Granda Kanjono
Grandmaster (chess)	Grandmajstro
Granite	Granito
Grape	Vinbero
Grapefruit	Grapfrukto
Graphical user interface	Grafika uzantinterfaco
Graphite	Grafito
Gravitation	Gravito
Gravitational constant	Gravita konstanto
Gray (unit)	Grajo
Gray Wolf	Lupo
Graz	Graz
Great Barrier Reef	Granda barilrifo
Great Britain	Britio (insulo)
Great Crested Grebe	Tufgrebo
Great Depression	Granda depresio
Great Lakes	Grandaj Lagoj (Nordameriko)
Great Rift Valley	Granda Rifto
Great Wall of China	Granda Ĉina Muro
Greater Antilles	Grandaj Antiloj
Greater London	Granda Londono
Greatest common divisor	Plej granda komuna divizoro
Grebe	Greboj
Greece	Grekio
Greece	Kategorio:Grekio
Greek alphabet	Greka alfabeto
Greek alphabet	Kategorio:Greka alfabeto
Greek fire	Greka fajro
Greek mythology	Helena mitologio
Greek mythology	Kategorio:Helena mitologio
Green	Verdo
Greenhouse	Forcejo
Greenhouse effect	Forceja efiko
Greenland	Gronlando
Greenland	Kategorio:Gronlando
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	GMT
Gregor Mendel	Johann Gregor Mendel
Gregorian calendar	Gregoria kalendaro
Grenada	Kategorio:Grenado
Grenoble	Grenoblo
Greta Garbo	Greta Garbo
Grey	Griza
Greylag Goose	Griza ansero
Griffin	Grifo
Griffon Vulture	Ansergrifo
Gross domestic product	Malneta enlanda produkto
Group	Grupo
Group (mathematics)	Grupo (algebro)
Group (periodic table)	Grupo de la perioda tabelo
Group theory	Grupa teorio
Grover Cleveland	Grover Cleveland
Grozny	Grozno
Gruiformes	Gruoformaj
Grus (constellation)	Gruo (konstelacio)
Guadalajara	Gvadalaharo
Guadeloupe	Gvadelupo
Guam	Gvamo
Guangzhou	Kantono (Ĉinio)
Guanine	Guanino
Guano	Guano
Guatemala	Kategorio:Gvatemalo
Guatemala City	Gvatemalurbo
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Gildo
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Gilotino
Guinea	Gvineo
Guinea	Kategorio:Gvineo
Guinea pig	Kobajo
Guinea-Bissau	Gvineo Bisaŭa
Guinea-Bissau	Kategorio:Gvineo Bisaŭa
Guitar	Gitaro
Gujarat	Guĝarato
Gulag	Gulago
Gulf Stream	Golfa Marfluo
Gulf War	Golfa Milito
Gulf of Aden	Adena Golfo
Gulf of Aqaba	Akaba Golfo
Gulf of Bothnia	Botnia golfo
Gulf of Finland	Finna golfo
Gulf of Guinea	Gvinea Golfo
Gulf of Mexico	Meksika Golfo
Gulf of Riga	Golfo de Rigo
Gull	Mevo
Gunpowder	Pulvo
Gunpowder Plot	Pulva konspiro
Guppy	Gupio
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Kategorio:Gujano
Gymnastics	Gimnastiko
Gymnosperm	Gimnospermoj
Gynaecology	Ginekologio
Gypsum	Gipsoŝtono
Gyroscope	Giroskopo
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Hacker	Kodumulo
Hades	Hadeso
Hadrian	Hadriano
Hadrian's Wall	Muro de Hadriano
Hadron	Hadrono
Haemophilia	Hemofilio
Hafnium	Hafnio
Hagia Sophia	Hagia Sofia
Haifa	Ĥajfo
Haiku	Hajko
Hail	Hajlo
Hail Mary	Ave Maria
Hair	Haro
Haiti	Haitio
Haiti	Kategorio:Haitio
Hajj	Haĝo
Halberd	Halebardo
Half-life	Duoniĝtempo
Halle	Halle (Saale)
Halloween	Halloween
Hallucination	Halucino
Halogen	Halogeno
Hamas	Hamas
Hamburg	Hamburgo
Hamburg	Kategorio:Hamburgo
Hamburger	Hamburgero
Hamlet	Hamleto
Hammer	Martelo
Hammer and sickle	Rikoltilo kaj martelo
Hammurabi	Hamurabi
Hampshire	Hampshire
Hamster	Hamstro
Han Dynasty	Dinastio Han
Hand	Mano
Handgun	Pistolo
Hanging	Pendumo
Hanging Gardens of Babylon	Pendĝardenoj de Babilono
Hannah Arendt	Hannah Arendt
Hannibal	Hanibal Barka
Hanoi	Hanojo
Hanover	Hanovro
Hans Bethe	Hans Albrecht Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hansa ligo
Hanukkah	Ĥanuka
Happiness	Ĝojo
Harare	Harareo
Hardness	Dureco
Harem	Haremo
Harmonica	Buŝharmoniko
Harmony	Harmoniscienco
Harold Pinter	Harold Pinter
Harp	Harpo
Harpsichord	Klaviceno
Harpy	Harpio
Harriet Beecher Stowe	Harriet Beecher Stowe
Harrisburg	Harrisburg (Pensilvanio)
Harry Houdini	Harry Houdini
Hartford	Hartford (Konektikuto)
Hassium	Hasio
Hatred	Malamo
Haute-Normandie	Supra Normandio
Havana	Havano
Hawaii	Havajo
Hawaii	Kategorio:Havajo
Hazel	Avelujo
Head	Kapo
Head of state	Ŝtatestro
Health	Sano
Heart	Koro
Heat	Varmo
Heaven	Paradizo
Heavy metal music	Metalroko
Heavy water	Peza akvo
Hebei	Hebejo
Hebrew alphabet	Hebrea alfabeto
Hebrew calendar	Hebrea kalendaro
Hebrides	Hebridaj Insuloj
Hecate	Hekato
Hectare	Hektaro
Hector	Hektoro
Hector Berlioz	Louis Hector Berlioz
Hedgehog	Erinaco
Hedonism	Hedonismo
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel (mitologio)
Helen	Helena de Trojo
Helen Keller	Helen Keller
Helena	Helena (Montano)
Helicopter	Helikoptero
Helios	Helios
Helium	Heliumo
Hell	Infero
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinko
Hematite	Hematito
Hematology	Hematologio
Hemoglobin	Hemoglobino
Hemorrhoid	Hemoroido
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henro
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatito
Hephaestus	Hefesto
Hera	Hera
Heracles	Heraklo
Heraclitus	Heraklito
Heraldry	Heraldiko
Heraldry	Kategorio:Heraldiko
Herbert Hoover	Herbert C. Hoover
Herbert Spencer	Herbert Spencer
Hercules	Heraklo
Hercules (constellation)	Herkulo (konstelacio)
Heresy	Herezo
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann von Helmholtz	Hermann von Helmholtz
Hermes	Hermeso
Hero	Heroo
Hero of Alexandria	Herono
Herod the Great	Herodo la Granda
Herodotus	Herodoto
Heroin	Heroino
Heron	Ardeedoj
Herring Gull	Arĝentmevo
Hertfordshire	Hertfordshire
Hertz	Herco
Hesiod	Heziodo
Hesse	Hesio
Hesse	Kategorio:Hesio
Hestia	Hestia
Heterosexuality	Aliseksemo
Heterotroph	Heterotrofo
Hexadecimal	Deksesuma sistemo
Hexagon	Seslatero
Hezbollah	Hizbulaho
Hibernation	Vintra dormo
Hideki Yukawa	Yukawa Hideki
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Hilberta spaco
Himalayas	Himalajo
Hindu Kush	Hindukuŝo
Hinduism	Hinduismo
Hinduism	Kategorio:Hinduismo
Hipparchus	Hiparko
Hippie	Hipio
Hippocrates	Hipokrato
Hippopotamus	Amfibia hipopotamo
Hirohito	Hirohito
Hiroshima	Hiroŝimo
Hispaniola	Hispaniolo
Histidine	Histidino
Histology	Histologio
Historiography	Historiografio
History	Historio
History	Kategorio:Historio
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Ho-Ĉi-Min-urbo
Hobart	Hobarto
Hobbit	Hobito
Hobby	Ŝatokupo
Hokusai	Katsushika Hokusai
Holiday	Festaj kaj feriaj tagoj
Hollywood	Holivudo
Holmium	Holmio
Holocene	Holoceno
Holography	Holografio
Holy Grail	Sankta gralo
Holy Roman Empire	Sankta Romia Imperio
Holy Spirit	Sankta Spirito
Homeopathy	Homeopatio
Homer	Homero
Hominidae	Homedoj
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonimo
Homosexuality	Samseksemo
Honduras	Honduro
Honduras	Kategorio:Honduro
Honey	Mielo
Honey Buzzard	Vespobuteo
Hong Kong	Honkongo
Hong Kong	Kategorio:Honkongo
Honiara	Honiaro
Honolulu	Honolulu (Havajo)
Hookah	Nargileo
Hoopoe	Upupedoj
Horace	Horacio
Horatio Nelson	Horatio Nelson
Horizon	Horizonto
Hormone	Hormono
Horn (anatomy)	Korno (anatomio)
Horn (instrument)	Korno (muzikinstrumento)
Horn of Africa	Korno de Afriko
Horoscope	Horoskopo
Horse	Ĉevalo
Horse racing	Ĉevalvetkuro
Horsepower	Ĉevalpovo
Horus	Horuso
Hosni Mubarak	Hosni Mubarak
Hospital	Malsanulejo
Hotel	Hotelo
Hour	Horo
House	Domo
House (TV series)	House
House Sparrow	Dompasero
Houston	Houston (Teksaso)
Hovercraft	Aeroglita boato
Howard Carter (archaeologist)	Howard Carter
Hudson Bay	Hudsona Golfo
Hugh Capet	Hugo Kapeto
Huguenot	Hugenotoj
Human	Homo
Humanism	Humanismo
Humanities	Kategorio:Homa scienco
Humerus	Humero
Hummingbird	Kolibro
