English	Malay
Aikido	Aikido
Aircraft	Pesawat udara
Aircraft carrier	Kapal pengangkut pesawat
Airport	Lapangan terbang
Ajax	Ajax (nyahkekaburan)
Ajax (programming)	Ajax
Akhenaten	Akhenaten
Al Gore	Al Gore
Al-Qaeda	Al Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Albania	Kategori:Albania
Albert Einstein	Albert Einstein
Albuquerque	Albuquerque, New Mexico
Alchemy	Alkimia
Alchemy	Kategori:Alkimia
Alcohol	Alkohol
Alcoholic beverage	Arak
Alcoholism	Alkoholisme
Alexander Graham Bell	Alexander Graham Bell
Alexander the Great	Alexander Agung
Alexandria	Iskandariah
Algebra	Algebra
Algebra	Kategori:Algebra
Algeria	Algeria
Algeria	Kategori:Algeria
Algiers	Algiers
Algorithm	Algoritma
Alhambra	Alhambra
Ali	Ali bin Abi Talib
Alkali metal	Logam alkali
Alkane	Alkana
Alkene	Alkena
Alkyne	Alkuna
Allah	Allah
Allergy	Alergi
Allosaurus	Allosaurus
Allotropy	Alotrop
Alloy	Aloi
Almond	Badam
Alpha (letter)	Alfa
Alsace	Alsace
Altruism	Altruisme
Aluminium	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimer
Amanita phalloides	Cendawan kep kematian
Amazon River	Sungai Amazon
American Samoa	Samoa Amerika
American Standard Code for Information Interchange	ASCII
Amharic	Bahasa Amhara
Ammonia	Ammonia
Ampere	Ampere
Amphetamine	Amfetamina
Amphibian	Amfibia
Amplitude	Amplitud
Amsterdam	Amsterdam
Amun	Amun
Amur	Sungai Amur
Anagram	Anagram
Anarchism	Anarkisme
Anatomy	Kategori:Anatomi
Andalusia	Andalusia
Andaman Sea	Laut Andaman
Anders Celsius	Anders Celsius
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategori:Andorra
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Anemia	Penyakit anemia
Anesthesia	Anestesia
Angel	Malaikat
Angel Falls	Air terjun Angel
Angle	Sudut
Angola	Angola
Angola	Kategori:Angola
Anguilla	Anguilla
Angular momentum	Momentum sudut
Angular velocity	Halaju sudut
Animal	Haiwan
Animation	Animasi
Anime	Anime
Anime	Kategori:Anime
Animism	Animisme
Anise	Jintan manis
Annapolis	Annapolis
Antarctica	Antartika
Antarctica	Kategori:Antartika
Antenna (radio)	Antena
Anthrax	Penyakit Antraks
Anthropology	Antropologi
Anthropology	Kategori:Antropologi
Antibiotic	Antibiotik
Antigua and Barbuda	Antigua dan Barbuda
Antigua and Barbuda	Kategori:Antigua dan Barbuda
Antioxidant	Bahan antioksida
Antoine Lavoisier	Antoine Lavoisier
Antonym	Antonim
Aorta	Aorta
Aphasia	Afasia
Apia	Apia
Apple	Epal
Apricot	Pokok Aprikot
April	April
April 14	14 April
April Fools' Day	Hari April Fool
Aquitaine	Aquitaine
Arab	Arab
Arab League	Liga Arab
Arabian Peninsula	Semenanjung Arab
Arabic alphabet	Abjad Arab
Arabic language	Bahasa Arab
Aragon	Aragon
Archaeology	Arkeologi
Archean	Arkean
Archimedes	Archimedes
Architecture	Seni bina
Architecture	Kategori:Seni bina
Archive	Arkib
Arctic	Artik
Arctic Ocean	Lautan Artik
Area	Keluasan
Arecaceae	Arecaceae
Argentina	Argentina
Argentina	Kategori:Argentina
Argon	Argon
Aria	Aria
Arianism	Arianisme
Aristotle	Aristotle
Arithmetic	Aritmetik
Arius	Arius
Arizona	Arizona
Arizona	Kategori:Arizona
Arkansas	Arkansas
Armenia	Armenia
Armenia	Kategori:Armenia
Armenian language	Bahasa Armenia
Art	Seni
Artery	Arteri
Arthritis	Gout
Arthur Conan Doyle	Arthur Conan Doyle
Artificial intelligence	Kecerdasan buatan
Artificial intelligence	Kategori:Kecerdasan buatan
Artillery	Artileri
Artist	Artis
Aruba	Aruba
Asia	Asia
Asia	Kategori:Asia
Aspirin	Aspirin
Assam	Assam
Association of Southeast Asian Nations	Persatuan Negara-negara Asia Tenggara
Assyria	Assyria
Assyria	Kategori:Assyria
Astana	Astana
Asteroid	Asteroid
Astrology	Astrologi
Astrology	Kategori:Astrologi
Astronaut	Angkasawan
Astronomy	Astronomi
Astronomy	Kategori:Astronomi
Astronomy	Portal:Astronomi
Astrophysics	Astrofizik
Astrophysics	Kategori:Astrofizik
Athens	Athens
Athletics	Kategori:Olahraga
Atlantic Ocean	Lautan Atlantik
Atlantis	Atlantis
Atom	Atom
Atomic mass	Jisim atom/Jadual
Atomic physics	Fizik atom
Attila the Hun	Atilla
August	Ogos
August 1	1 Ogos
August 15	15 Ogos
August 6	6 Ogos
Auguste Comte	Auguste Comte
Augustus	Augustus
Aurora (astronomy)	Aurora
Australasia	Australasia
Australia	Australia
Australia	Kategori:Australia
Austria	Austria
Austria	Kategori:Austria
Austria-Hungary	Austria-Hungary
Autism	Autisme
Automobile	Kereta
Auvergne (region)	Auvergne
Avatar	Avatar
Averroes	Abul Waleed Muhammad Ibn Rushd
Aviation	Kategori:Pengangkutan Udara
Avicenna	Abu Ali Al-Hussain Ibn Abdallah Ibn Sina
Avogadro's law	Hukum Avogadro
Axe	Kapak
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbaijan	Azerbaijan
Azerbaijan	Kategori:Azerbaijan
Aztec	Aztek
B	B
BASIC	BASIC
Backgammon	Backgammon
Bacteria	Bakteria
Badminton	Badminton
Baghdad	Baghdad
Bahamas	Kategori:Bahamas
Bahrain	Bahrain
Bahrain	Kategori:Bahrain
Balearic Islands	Kepulauan Baleares
Bali	Pulau Bali
Balkans	Balkan
Ball	Bola
Ballistic missile	Peluru berpandu balistik
Bamboo	Pokok Buluh
Banana	Pokok Pisang
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Kategori:Bangladesh
Bank	Bank
Baptism	Pembaptisan
Barbados	Barbados
Barbados	Kategori:Barbados
Barcelona	Barcelona
Barley	Pokok Barli
Barn Owl	Burung Pungguk Jelapang
Barn Swallow	Burung Layang-layang Hijrah
Baseball	Besbol
Bash	Bash
Basil	Pokok Selasih
Basilisk	Basilisk
Basketball	Bola keranjang
Basketball	Kategori:Bola keranjang
Basra	Basra
Basse-Normandie	Basse-Normandie
Bat	Kelawar
Batman	Batman
Bats	Kategori:Kelawar
Battalion	Batalion
Battle of Midway	Pertempuran Midway
Battle of the Bulge	Pertempuran Bulge
Battleship	Kapal perang
Bay of Biscay	Teluk Biscay
Bear	Beruang
Becquerel	Becquerel
Bedouin	Badwi
Bee	Lebah
Beer	Bir
Beetle	Kumbang
Beijing	Beijing
Beirut	Beirut
Belarus	Belarus
Belarus	Kategori:Belarus
Belgium	Belgium
Belgium	Kategori:Belgium
Belize	Belize
Belize	Kategori:Belize
Belly dance	Tarian gelek
Benelux	Benelux
Benin	Benin
Benin	Kategori:Benin
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli
Benjamin Harrison	Benjamin Harrison
Bering Sea	Laut Bering
Berlin	Berlin
Bermuda	Bermuda
Bermuda Triangle	Segi tiga Bermuda
Beryllium	Berilium
Beta (letter)	Beta
Bhutan	Bhutan
Bhutan	Kategori:Bhutan
Bible	Kitab Bible
Bicycle	Basikal
Big Bang	Letupan Besar
Bihar	Bihar
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Biochemistry	Biokimia
Biography	Biografi
Biography	Portal:Biografi
Biology	Biologi
Biology	Kategori:Biologi
Biology	Portal:Biologi
Biomass	Biojisim
Biotechnology	Bioteknologi
Bird	Burung
Birth control	Kawalan kelahiran
Bit	Bit
Black	Hitam
Black Death	Maut Hitam
Black Kite	Burung Helang Kembara Hitam
Black Sea	Laut Hitam
Black hole	Lohong hitam
Blindness	Buta
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Darah
Blood pressure	Tekanan darah
Blue	Biru
Blues	Blues
Boar	Babi Hutan
Boat	Perahu
Body mass index	Index Jisim Badan
Bodybuilding	Bina badan
Boiling point	Takat didih
Boletus edulis	Boletus edulis
Bolivia	Bolivia
Bolivia	Kategori:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bomber	Pesawat pengebom
Bombyx mori	Ulat sutera
Book	Buku
Borneo	Borneo
Boron	Boron
Bosnia and Herzegovina	Bosnia dan Herzegovina
Bosnia and Herzegovina	Kategori:Bosnia dan Herzegovina
Bot	Templat:Bot
Botany	Botani
Botany	Kategori:Botani
Botswana	Botswana
Botswana	Kategori:Botswana
Bottlenose Dolphin	Dolfin Hidung Botol
Bourgogne	Bourgogne
Bow (weapon)	Busur
Boxing	Tinju
Brahma	Brahma
Braille	Braille
Brainstorming	Pemerahan otak
Brazil	Brazil
Brazil	Kategori:Brazil
Bread	Roti
Breast cancer	Penyakit barah payudara
Bretagne	Bretagne
Brick	Batu bata
Bridge	Jambatan
Bridgetown	Bridgetown
Brigade	Briged
Brisbane	Brisbane
British Virgin Islands	Kepulauan Virgin British
Bronze	Gangsa
Bronze Age	Zaman Gangsa
Brownian motion	Pergerakan Brown
Bruce Lee	Bruce Lee
Brunei	Brunei
Brunei	Kategori:Brunei
Brussels	Brussels
Bucharest	Bucharest
Buckingham Palace	Istana Buckingham
Buddhism	Agama Buddha
Buddhism	Kategori:Agama Buddha
Buenos Aires	Buenos Aires
Bulgaria	Bulgaria
Bulgaria	Kategori:Bulgaria
Buoyancy	Keapungan
Bureaucracy	Birokrasi
Burkina Faso	Burkina Faso
Burkina Faso	Kategori:Burkina Faso
Burma	Myanmar
Burma	Kategori:Myanmar
Burundi	Kategori:Burundi
Businesspeople	Kategori:Usahawan
Butter	Mentega
Butterfly	Rama-rama
Byte	Bait
C	C
C (programming language)	C (bahasa pengaturcaraan)
COBOL	COBOL
Cacao	Pokok Koko
Cache	Cache
Caffeine	Kafeina
Cairo	Kaherah
Calcium	Kalsium
Calculus	Kalkulus
Caldera	Kaldera
Calendar	Takwim
California	California
Caliph	Khalifah
Caliphate	Khilafah
Calorie	Kalori
Calvin Coolidge	Calvin Coolidge
Calvinism	Calvinisme
Cambodia	Kemboja
Cambodia	Kategori:Kemboja
Camel	Unta
Camera	Kamera
Cameroon	Cameroon
Cameroon	Kategori:Cameroon
Canada	Kanada
Canada	Kategori:Kanada
Canal	Terusan
Canary Islands	Kepulauan Canary
Canberra	Canberra
Cancer	Penyakit Barah
Candela	Kandela
Candle	Lilin
Cannabis (drug)	Ganja
Cantata	Kantata
Cantonese (linguistics)	Bahasa Kantonis
Capacitance	Kapasitans
Capacitor	Kapasitor
Cape Town	Cape Town
Cape Verde	Tanjung Verde
Cape Verde	Kategori:Tanjung Verde
Capital	Ibu negara
Capital punishment	Hukuman mati
Capitalism	Kapitalisme
Carambola	Pokok Belimbing Besi
Caravaggio	Caravaggio
Carbohydrate	Karbohidrat
Carbon	Karbon
Carbon dioxide	Karbon dioksida
Carbonic acid	Asid karbonik
Carboxylic acid	Asid karboksilik
Carburetor	Karburetor
Cardamom	Buah pelaga
Caribbean	Caribbean
Caribbean Sea	Laut Caribbean
Carnivore	Maging
Carrot	Lobak merah
Cartesian coordinate system	Sistem koordinat Cartes
Cashew	Pokok Gajus
Casino	Kasino
Caste	Sistem kasta
Casus belli	Casus belli
Cat	Kucing
Catalonia	Catalonia
Cataphract	Kataphract
Cataract	Katarak
Catfish	Ikan Keli
Catherine of Aragon	Catherine dari Aragon
Cattle	Lembu
Cattle Egret	Burung Bangau
Catullus	Catullus
Cavalry	Pasukan berkuda
Cave	Gua
Cayman Islands	Kepulauan Cayman
Celery	Daun Saderi
Cell (biology)	Sel (biologi)
Cell membrane	Membran plasma
Cell nucleus	Nukleus
Cell wall	Dinding sel
Cello	Selo
Cellulose	Selulosa
Cement	Simen
Central Africa	Afrika Tengah
Central African Republic	Republik Afrika Tengah
Central African Republic	Kategori:Republik Afrika Tengah
Central America	Amerika Tengah
Central America	Kategori:Amerika Tengah
Central Intelligence Agency	Agensi Perisikan Pusat
Central processing unit	Unit pemprosesan pusat
Centre	Centre
Century	Abad
Ceramic	Seramik
Cerberus	Cerberus
Cereal	Bijirin
Ceres (dwarf planet)	1 Ceres
Cetacea	Haiwan paus
Chad	Chad
Chad	Kategori:Chad
Chair	Kerusi
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Terowong Selat
Charlemagne	Charlemagne
Charles	Charles, Putera Wales
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles de Gaulle	Charles de Gaulle
Charmed	Charmed
Che Guevara	Che Guevara
Cheese	Keju
Chemical bond	Ikatan kimia
Chemical compound	Sebatian kimia
Chemical element	Unsur kimia
Chemical engineering	Kejuruteraan kimia
Chemical reaction	Tindak balas kimia
Chemistry	Kimia
Chemistry	Kategori:Kimia
Chemotherapy	Kemoterapi
Chennai	Chennai
Chernobyl	Chernobyl
Chess	Catur
Chester A. Arthur	Chester A. Arthur
Chewing gum	Gula-gula getah
Chi (letter)	Khi
Chicago	Chicago
Chicken	Ayam
Chickenpox	Cacar air
Child	Kanak-kanak
Chile	Chile
Chile	Kategori:Chile
China	China
Chlorine	Klorin
Chlorophyll	Klorofil
Chloroplast	Kloroplas
Chocolate	Coklat
Choir	Koir
Cholera	Penyakit Taun
Cholesterol	Kolesterol
Chordate	Kordata
Christiaan Huygens	Christiaan Huygens
Christianity	Kristian
Christianity	Kategori:Kristian
Christmas	Krismas
Christmas	Kategori:Krismas
Christopher Columbus	Christopher Columbus
Chromatography	Kromatografi
Chromium	Kromium
Chromosome	Kromosom
Church of England	Mazhab Gereja England
Cicero	Cicero
Circle	Bulatan
Circumcision	Khatan
Citizenship	Kerakyatan
Citric acid cycle	Kitar Krebs
Civilization	Tamadun
Class (biology)	Kelas (biologi)
Classical mechanics	Mekanik klasik
Classical music	Muzik klasikal
Classical music	Kategori:Muzik klasikal
Clay	Tanah liat
Climate	Iklim
Climate	Kategori:Iklim
Climate change	Perubahan iklim
Climatology	Klimatologi
Clinical depression	Kemurungan
Clitoris	Kelentit
Clock Tower	Big Ben
Clothing	Pakaian
Cloud	Awan
Cocaine	Kokaina
Cockatoo	Burung Kakaktua
Cockroach	Lipas
Coconut	Pokok Kelapa
Cocos (Keeling) Islands	Kepulauan Cocos (Keeling)
Codeine	Kodeina
Coffee	Kopi
Coffee	Kategori:Kopi
Cognitive science	Sains kognitif
Cold War	Perang Dingin
Cold War	Kategori:Perang Dingin
Colin Powell	Colin Powell
Cologne	Cologne
Colombia	Colombia
Colombia	Kategori:Colombia
Colorado	Colorado
Colossus of Rhodes	Patung Raksasa Rhodes
Comedy	Komedi
Comet	Komet
Commerce	Kategori:Perdagangan
Commonwealth of Independent States	Komanwel Negara-negara Merdeka
Commonwealth of Nations	Negara-negara Komanwel
Communication	Kategori:Komunikasi
Communication	Komunikasi
Communism	Komunisme
Communism	Kategori:Komunisme
Comoros	Comoros
Comoros	Kategori:Comoros
Compact Disc	Cakera padat
Company (military unit)	Kompeni
Compass	Kompas
Complex number	Nombor kompleks
Composer	Penggubah
Composite material	Bahan komposit
Computational linguistics	Linguistik pengiraan
Computer	Komputer
Computer display	Monitor
Computer file	Fail komputer
Computer hardware	Perkakasan komputer
Computer hardware	Kategori:Perkakasan komputer
Computer programming	Pengatucaraan komputer
Computer programming	Kategori:Pengaturcaraan
Computer science	Kategori:Sains komputer
Computer software	Perisian komputer
Computer virus	Virus komputer
Computing	Kategori:Pengkomputeran
Concrete	Konkrit
Condom	Kondom
Conducting	Konduktor muzik
Confederate States of America	Negeri-Negeri Gabungan Amerika
Conflict	Konflik
Confucianism	Konfusianisme
Confucius	Confucius
Congo	Congo
Connecticut	Connecticut
Constantine I	Constantine I
Constitution (political)	Perlembagaan
Continent	Benua
Continental drift	Teori hanyutan benua
Coordinated Universal Time	Waktu Semesta Berkoordinat
Copper	Tembaga
Copyright	Hak cipta
Coriander	Ketumbar
Corsica	Corse
Costa Rica	Costa Rica
Costa Rica	Kategori:Costa Rica
Country	Negara (geografi)
Crab	Ketam
Croatia	Croatia
Croatia	Kategori:Croatia
Crocodile	Buaya
Crow	Burung Gagak
Cruiser	Penjajap
Crust (geology)	Kerak bumi
Cryptography	Kriptografi
Cryptography	Kategori:Kriptografi
Cuba	Cuba
Cuba	Kategori:Cuba
Cucumber	Timun
Cultural Revolution	Revolusi Kebudayaan
Culture	Budaya
Culture	Kategori:Budaya
Cumulus cloud	Awan Kumulus
Curitiba	Curitiba
Currency	Kategori:Mata wang
Currency	Mata wang
Curry	Kari
Cyprus	Cyprus
Cyprus	Kategori:Cyprus
Cyrillic alphabet	Huruf Cyril
Cyrus the Great	Kurusy Agung
Cytoplasm	Sitoplasma
Czech Republic	Republik Czech
Czech Republic	Kategori:Republik Czech
Czechoslovakia	Czechoslovakia
D	D
DNA	DNA
DVD	DVD
Dalai Lama	Dalai Lama
Dam	Empangan
Damascus	Damsyik
Dance	Tarian
Dante Alighieri	Dante Alighieri
Danube	Danube
Dar es Salaam	Dar es Salam
Darfur	Darfur
Darwin	Darwin, Wilayah Utara
Darwin	Darwin
Database	Pangkalan data
David	Nabi Daud a.s.
Day	Hari
De facto	De facto
Dead Sea	Laut Mati
Death	Ajal
Decade	Dekad
December	Disember
December 31	31 Disember
December 8	8 Disember
Decibel	Desibel
Deco	Deco
Definition	Definisi
Deflation	Deflasi
Degree (angle)	Darjah (sudut)
Delaware	Delaware
Delhi	Delhi
Delta (letter)	Delta (huruf)
Dementia	Penyakit Dementia
Democracy	Demokrasi
Democratic Republic of the Congo	Republik Demokratik Congo
Democratic Republic of the Congo	Kategori:Republik Demokratik Congo
Deng Xiaoping	Deng Xiaoping
Dengue fever	Demam Denggi
Denmark	Denmark
Denmark	Kategori:Denmark
Density	Ketumpatan
Desmond Tutu	Desmond Tutu
Destroyer	Kapal pembinasa
Deuterium	Deuterium
Dewey Decimal Classification	Pengelasan Perpuluhan Dewey
Dhaka	Dhaka
Dhole	Anjing Hutan
Diabetes mellitus	Penyakit kencing manis
Diameter	Diameter
Diamond	Berlian
Diana	Diana, Puteri Wales
Diarrhea	Diarea
Dice	Dadu
Dicotyledon	Dikotiledon
Dictionary	Kamus
Digital photography	Fotografi digital
Digital subscriber line	DSL
Dinosaur	Dinosaur
Diocletian	Diocletian
Diode	Diod
Diphtheria	Difteria
Disaccharide	Disakarida
Disambiguation	Kategori:Nyahkekaburan
Discrimination	Diskriminasi
Disease	Penyakit
Distance	Jarak
Djibouti	Kategori:Djibouti
Dmitri Mendeleev	Dmitri Mendeleev
Document	Dokumen
Dodo	Dodo
Dog	Anjing
Doha	Doha
Dome	Kubah
Dominica	Dominika
Dominica	Kategori:Dominika
Dominican Republic	Republik Dominika
Dominican Republic	Kategori:Republik Dominika
Don Quixote	Don Quixote
Donald Duck	Donald Duck
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Down syndrome	Sindrom Down
Dragon	Naga
Drama	Drama
Draughts	Dam
Drink	Minuman
Dubai	Dubai
Duck	Itik
Durban	Durban
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dinamik
Dyslexia	Disleksia
E	E
E-mail	Mel elektronik
Eagle	Burung helang
Ear	Telinga
Earth	Bumi
Earth science	Sains bumi
Earthquake	Gempa bumi
East Africa	Afrika Timur
East Germany	Jerman Timur
East Timor	Timor Leste
East Timor	Kategori:Timor Leste
Ebola	Ebola
Eclipse	Gerhana
Ecology	Ekologi
Economics	Ekonomi
Economics	Kategori:Ekonomi
Ecuador	Ecuador
Ecuador	Kategori:Ecuador
Edinburgh	Edinburgh
Edmund Hillary	Edmund Hillary
Education	Pendidikan
Education	Kategori:Pendidikan
Eel	Belut
Eggplant	Pokok Terung
Egypt	Mesir
Egypt	Kategori:Mesir
Eiffel Tower	Menara Eiffel
Einsteinium	Einsteinium
El Salvador	El Salvador
El Salvador	Kategori:El Salvador
Elam	Elam
Electric current	Arus elektrik
Electricity	Elektrik
Electrolysis	Elektrolisis
Electrolyte	Elektrolit
Electromagnetic radiation	Sinaran elektromagnet
Electromagnetic spectrum	Spektrum elektromagnet
Electromagnetism	Keelektromagnetan
Electron	Elektron
Electron microscope	Mikroskop elektron
Electronics	Elektronik
Electronics	Kategori:Elektronik
Element	Unsur
Elephant	Gajah
Elevator	Lif
Elf	Orang halus
Elijah	Illyas
Elvis Presley	Elvis Presley
Emiliano Zapata	Emiliano Zapata
Emoticon	Emotikon
Empire State Building	Bangunan Empire State
Emu	Burung Emu
Emulsion	Emulsi
Encyclopedia	Ensiklopedia
Energy	Tenaga
Energy	Kategori:Tenaga
Energy (society)	Tenaga
Engineering	Kejuruteraan
England	England
English Channel	Selat Inggeris
English Civil War	Perang Saudara Inggeris
English language	Bahasa Inggeris
English people	Orang Inggeris
Enrico Fermi	Enrico Fermi
Entertainment	Kategori:Hiburan
Enthalpy	Entalpi
Entomology	Entomologi
Environment	Kategori:Persekitaran
Enzyme	Enzim
Eon (geology)	Eon
Epistemology	Epistemologi
Epithelium	Epitelium
Epsilon	Epsilon
Equator	Khatulistiwa
Equatorial Guinea	Guinea Khatulistiwa
Equatorial Guinea	Kategori:Guinea Khatulistiwa
Equinox	Ekuinoks
Erectile dysfunction	Lemah tenaga batin
Ericales	Ericales
Eris (dwarf planet)	Eris
Eritrea	Kategori:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erwin Rommel	Erwin Rommel
Esfahan	Isfahan (bandar)
Esperanto	Bahasa Esperanto
Ester	Ester
Estonia	Kategori:Estonia
Eta (letter)	Eta
Ethanol	Etanol
Ethernet	Ethernet
Ethics	Etika
Ethiopia	Habsyah
Ethiopia	Kategori:Habsyah
Ethnic group	Etnik
Ethylene	Etena
Etymology	Etimologi
Eucharist	Ekaristi
Euphrates	Sungai Furat
Euro	Euro
Europe	Eropah
Europe	Kategori:Eropah
European Union	Kesatuan Eropah
European Union	Kategori:Kesatuan Eropah
Euthanasia	Eutanasia
Eva Braun	Eva Braun
Excalibur	Excalibur
Executive (government)	Badan eksekutif
Eye	Mata
F	F
Fabaceae	Fabaceae
Fahrenheit	Fahrenheit
Fair use	Kegunaan wajar
Falkland Islands	Kepulauan Falkland
Falun Gong	Falun Gong
Family (biology)	Famili (biologi)
Faroe Islands	Kategori:Kepulauan Faroe
Fascism	Fasisme
Fasting	Puasa
Fatah	Fatah
Fauna	Fauna
Feather	Bulu pelepah
February	Februari
February 12	12 Februari
February 14	14 Februari
February 2	2 Februari
February 22	22 Februari
February 29	29 Februari
Federal Bureau of Investigation	Biro Penyiasatan Persekutuan
Federated States of Micronesia	Persekutuan Micronesia
Federation	Persekutuan
Feminism	Feminisme
Feng shui	Feng shui
Fennel	Pokok Adas
Fenugreek	Halba
Ferdinand Magellan	Ferdinand Magellan
Ferry	Feri
Feudalism	Feudalisme
Fever	Demam
Fictional character	Watak cereka
Fidel Castro	Fidel Castro
Field hockey	Hoki
Fighter aircraft	Pesawat pejuang
Fiji	Fiji
Fiji	Kategori:Fiji
Film	Kategori:Filem
Film	Portal:Filem
Finance	Kategori:Kewangan
Finance	Kewangan
Fingerprint	Cap jari
Finland	Finland
Finland	Kategori:Finland
Fire	Api
Firearm	Senjata api
First Crusade	Perang Salib Pertama
First language	Bahasa pertama
Fish	Ikan
Fish	Kategori:Ikan
Flamingo	Burung Flamingo
Flash memory	Ingatan kilat
Flea	Kutu
Flood	Banjir
Floppy disk	Cakera liut
Florence Nightingale	Florence Nightingale
Florida	Florida
Flower	Bunga
Flowering plant	Angiosperma
Fluid mechanics	Mekanik bendalir
