English	Breton
Transmission Control Protocol	TCP
Transsexualism	Treuzrevelezh
Transylvania	Treuzsilvania
Trento	Trento
Triassic	Triaseg
Triceratops	Triseratops
Trier	Trier
Trinity	An Dreinded
Tripoli	Tripoli (Libia)
Tritium	Tritiom
Triumphal arch	Bolz-enor
Trojan War	Brezel Troia
Troll (Internet)	Roñfl (kenrouedad)
Tropics	Trovan
Trotskyism	Trotskiouriezh
Troy	Troia
Trumpet	Trompilh (sonerezh)
Tsunami	Tsunami
Tuesday	Meurzh (deiz)
Tunis	Tuniz
Tunisia	Tunizia
Tunnel	Riboul
Turin	Torino
Turkey	Turkia
Turkey	Rummad:Turkia
Turkmenistan	Turkmenistan
Tuscany	Toskana
Tuvalu	Tuvalu
Tuvalu	Rummad:Tuvalu
Tycho Brahe	Tycho Brahe
Tyrannosaurus	Tiranosaor
Tyre	Tir (kêr)
Tyrol (state)	Tirol (Aostria)
Tyrrhenian Sea	Mor Tirrenia
U	U (lizherenn)
UNESCO	UNESCO
Ufa	Oufa (kêr)
Uganda	Ouganda
Uganda	Rummad:Ouganda
Ukraine	Ukraina
Ukraine	Rummad:Ukraina
Ulster	Cúige Uladh
Ultraviolet	Uslimestra
Umbria	Umbria
United Arab Emirates	Emirelezhioù Arab Unanet
United Kingdom	Rouantelezh Unanet Breizh-Veur ha Norzhiwerzhon
United Nations	Aozadur ar Broadoù Unanet
United Nations	Rummad:ABU
United States	Stadoù-Unanet Amerika
United States	Rummad:Stadoù-Unanet Amerika
Unix	Unix
Uppsala	Uppsala
Upsilon	Upsilon (lizherenn)
Urania	Ourania
Uranus	Ouran (planedenn)
Uranus (mythology)	Ouranos
Urdu	Ourdoueg
Uruguay	Uruguay
Utah	Utah
Utrecht (city)	Utrecht (kêr)
Uttar Pradesh	Uttar Pradesh
Uzbekistan	Ouzbekistan
Uzbekistan	Rummad:Ouzbekistan
V	V (lizherenn)
Vagina	Gouhin
Valletta	Valletta
Valley	Traoñienn
Vandalism	Vandalerezh
Var (department)	Var (departamant)
Varna	Varna
Vatican City	Keoded ar Vatikan
Velociraptor	Velosiraptor
Veneto	Veneto
Venezuela	Venezuela
Venezuela	Rummad:Venezuela
Venice	Venezia
Venus	Gwener (planedenn)
Venus (mythology)	Gwener (doueez)
Verb	Verb
Vermont	Vermont
Verona	Verona
Vertebral column	Gwalenn ar c'hein
Vertebrate	Vertebrata
Vespasian	Vespasian
Vesta (mythology)	Vesta
Victor Hugo	Victor Hugo
Video game	C'hoari video
Vienna	Vienna
Vienne	Vienne (departamant)
Vietnam	Viêt Nam
Vietnam	Rummad:Viêt Nam
Viking	Vikinged
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Violin	Biolin
Virgil	Publius Vergilius Maro
Virginia	Virginia
Virginity	Gwerc'hded
Vishnu	Vichnou
Vitus Bering	Vitus Bering
Vladimir Lenin	Vladimir Lenin
Vladimir Nabokov	Vladimir Nabokov
Vladimir Putin	Vladimir Poutin
Volcano	Menez-tan
Volcanology	Volkanegezh
Volga River	Volga
Volgograd	Volgograd
Volt	Volt
Voltaire	Voltaire
Vowel	Vogalenn
Vulgate	Vulgat
Vulva	Kourzh
W	W (lizherenn)
Wales	Kembre
Wales	Rummad:Kembre
Walt Disney	Walt Disney
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
War	Brezel
Warsaw	Varsovia
Washington	Washington D.C.
Washington	Washington (stad)
Washington (disambiguation)	Washington
Wassily Kandinsky	Vassily Kandinsky
Water	Dour
Water	Rummad:Dour
Watt	Watt
Wavelength	Hirder gwagenn
Web browser	Merdeer
Wednesday	Merc'her (deiz)
Week	Sizhun
Wellington	Wellington (Zeland-Nevez)
Weser River	Weser
West	Kornôg
West Sussex	West-Sussex
West Virginia	West Virginia
Western Roman Empire	Impalaeriezh roman ar C'hornôg
Western Sahara	Sahara ar C'hornôg
Wheel	Rod
Wicca	Wicca
Wiesbaden	Wiesbaden
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Harvey	William Harvey
William I	Gwilherm Iañ Alamagn
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
Willy Brandt	Willy Brandt
Windhoek	Windhoek
Window	Prenestr
Wine	Gwin
Winston Churchill	Winston Churchill
Wisconsin	Wisconsin (stad)
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Maouez
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
Word	Ger
World War I	Brezel-bed kentañ
World War I	Rummad:Brezel bed kentañ
World War II	Eil brezel-bed
World War II	Rummad:Eil Brezel Bed
World Wide Web	World Wide Web
Writing system	Doare-skrivañ
Wyoming	Wyoming (stad)
X	X (lizherenn)
X-ray	Skinoù X
Xi	Xi (lizherenn)
Xinjiang	Xinjiang
Y	Y (lizherenn)
Yakuza	Yakuza
Yalta Conference	Kendalc'h Yalta
Year	Bloaz
Years	Rummad:Bloavezhioù
Yemen	Yemen
Yerevan	Yerevan
York	York
Yugoslavia	Yougoslavia
Yuri Gagarin	Youriy Gagarin
Z	Z (lizherenn)
Zambia	Zambia
Zambia	Rummad:Zambia
Zanzibar	Zanzibar
Zeta	Zeta (lizherenn)
Zeus	Zeus
Zimbabwe	Zimbabwe
Zimbabwe	Rummad:Zimbabwe
Zoology	Loenoniezh
Zoology	Rummad:Loenoniezh
