English	Neapolitan
Arts	Categoria:Arte
Asia	Asia
Asia	Categoria:Asia
Astronomy	Astronumia
Astronomy	Categoria:Astronumia
August	Aùsto
August 1	1 'e aùsto
August 15	15 'e aùsto
August 6	6 'e aùsto
Bari	Bari
Basil	Vasenicola
Basilicata	Lucania
Beirut	Beirut
Belgium	Belge
Berlin	Berlino
Berlin	Categoria:Berlino
Biology	Biologgia
Bologna	Bologna
Bolzano	Bolzano
Book	Libbro
Bosnia and Herzegovina	Bosnia-Erzegovina
Brescia	Brescia
Brindisi	Brinnese
Bruce Lee	Bruce Lee
Brussels	Bruxelles
Buenos Aires	Buenos Aires
Calabria	Calavria
Campania	Campania
Canada	Canadà
Capricornus	Crapecuorno
Ceramic	Ceramica
Cheese	Caso
Cherry	Cerasa
Chickpea	Cicero
Christianity	Categoria:Crestianesemo
Christmas	Categoria:Natale
Cockroach	Scarrafone
Computer	Computer
Computer science	Categoria:Nfurmatica
Constantinople	Custantenobbule
Copenhagen	Copenaghen
Cremona	Cremona
Cricket	Cricket
Culture	Categoria:Cultura
Curitiba	Curitiba
Dance	Ballo
Dance	Categoria:Danza
Days	Categoria:Journe 'e l'anno
December	Dicembre
December 31	31 'e dicembre
December 8	8 'e dicembre
Denmark	Danemarca
Dictionary	Dezziunario
Digital photography	Fotografía diggitale
Diplomacy	Dipromazzia
Disambiguation	Categoria:Disambigua
Earth	Terra
Easter	Pasca crestiana
Education	Aducazzione
Eggplant	Mulignana
Egypt	Naggitto
Emilia-Romagna	Emilia-Rumagna
English language	Lengua ngrese
Enrico Caruso	Enrico Caruso
Ernest Hemingway	Ernest Hemingway
Eurasian Badger	Meles meles
February	Frevaro
February 12	12 'e frevaro
February 14	14 'e frevaro
February 2	2 'e frevaro
February 22	22 'e frevaro
February 29	29 'e frevaro
Ferrara	Ferrara
Film	Categoria:Cinema
Film	Pellicule
Fire	Ffuoco
Flea	Flea
Florence	Sciorenza
Folklore	Folklore
France	Franza
France	Categoria:Franza
Frankfurt	Frankfurt
Friday	Viernarì
Fruit	Frutto
Gaetano Donizetti	Gaetano Donizetti
Garden	Ciardino
Genoa	Genova
Geography	Categoria:Giugrafia
George W. Bush	George W. Bush
German language	Lengua germanese
Germany	Germania
Giordano Bruno	Giordano Bruno
Glass	Vrito
Greece	Gracia
Gregorian calendar	Calannario greguriano
Guglielmo Marconi	Gugliemo Marconi
Hesse	Assia
Historiography	Storiografia
History	Categoria:Storia
Hobby	Spassatiempe
Hungary	Ungaria
Hypothesis	Ipotesi
India	Innia
Indonesia	Indonesia
Island	Isula
Israel	Israele
Italy	Italia
Jacques Cartier	Jacques Cartier
January	Jennaro
January 1	1 'e jennaro
January 19	19 'e jennaro
January 20	20 'e jennaro
January 6	6 'e jennaro
Japan	Giappone
Jew's harp	Marranzano
July	Luglio
July 1	1 'e luglio
July 4	4 'e luglio
June	Giùgno
June 14	14 'e giùgno
June 21	21 'e giùgno
June 23	23 'e giùgno
June 24	24 'e giùgno
June 29	29 'e giùgno
June 3	3 'e giùgno
Katowice	Katovice
L'Aquila	L'Aquila
La Spezia	La Spezia
Laos	Laos
Latin	Lengua latina
Lazio	Lazzio
Lebanon	Libbano
Leipzig	Lipsia
Libya	Libbia
Light	Luce
Liguria	Liguria
Literature	Litteratura
Literature	Categoria:Litteratura
Lithuania	Lituania
Lombardy	Lummardìa
Lublin	Lublino
Maize	Granone
Manatee	Lamantino
Mantua	Mantova
Manuscript	Manascritto
March	Màrzo
March 17	17 'e màrzo
March 19	19 'e màrzo
March 2	2 'e màrzo
March 25	25 'e màrzo
Marche	Marche
Mathematics	Categoria:Matemàteca
May	Majo
May 1	1 'e maggio
May 24	24 'e maggio
Medicine	Mericina
Memphis	Memphis
Messina	Messina
Milan	Milano
Molise	Mulise
Monday	Lunnerì
Montenegro	Montenegro
Montreal	Mundreale
Moon	Luna
Mount Vesuvius	Vesuvio
Munich	Monaco 'e Baviera
Music	Categoria:Múseca
Naples	Napule
Netherlands	Ulanna
New York City	Nova York
Nobel Prize	Premmio Nobel
November	Nuvembre
November 1	1 'e nuvembre
November 11	11 'e nuvembre
November 2	2 'e nuvembre
November 5	5 'e nuvembre
October	Ottovre
October 12	12 'e ottovre
October 24	24 'e ottovre
Padua	Padova
Palermo	Palermo
Paraguay	Paraguay
Paris	Parigge
Parsley	Petrusino
Photography	Fotografía
Physics	Físeca
Physics	Categoria:Físeca
Piedmont	Piemunte
Pisa	Pisa
Pizza	Pizza
Planet	Chianeta
Poland	Pulonnia
Poland	Categoria:Pulonnia
Politics	Categoria:Puliteca
Pompeii	Pompei
Porcelain	Purcellamma
Portugal	Purtuallo
Pseudonym	Elenco 'e contranomme
Psychology	Psicologgia
Quetzalcoatl	Quetzalcoatl
Ravenna	Ravenna
Red Sea	Mar Ruosso
Region	Reggione
Religion	Religgione
Religion	Categoria:Religgione
River	Sciummo
Rome	Romma
Rome	Categoria:Romma
Salerno	Salierno
San Marino	San Marino
Sardinia	Zardegna
Saxony	Sassonia
Sculpture	Scultura
Senegal	Senegal
September	Settembre
September 11	11 'e settembre
September 17	17 'e settembre
September 29	29 'e settembre
Serbia	Serbia
Sicily	Sicilia
Solanaceae	Solanaceae
Solanaceae	Categoria:Solanaceae
Sophia Loren	Sofia Loren
Spain	Spagna
Sport	Sport
Starch	Posema
Sun	Sole
Sunday	Dummeneca
Sweden	Sguezia
Switzerland	Sguizzera
Switzerland	Categoria:Sguizzera
Syracuse	Siracusa
Telescope	Ucchiarone
Tennessee	Tennessee
Theatre	Tiatro
Thursday	Gioverì
Tivoli	Tivoli
Tomato	Pummarola
Tooth	Diente
Trento	Trento
Tuesday	Marterì
Turin	Turino
Turkey	Turchía
Tyrrhenian Sea	Mar Tirreno
UNESCO	Organizzazione d''e Nazzione Aunite pe ll'Aducazione, 'a Scienza e 'a Cultura
Umbria	Umbria
United Kingdom	Gran Vretagna
United States	State Aunite d'Amereca
Universe	Annevierzo
University	Univerzità
Vatican City	Cità d''o Vaticano
Veneto	Veneto
Venice	Venezia
Verona	Verona
Vilfredo Pareto	Pareto
Vilnius	Vilnius
Vittorio De Sica	Vittorio De Sica
Warsaw	Varsavia
Wednesday	Miercurì
Wiesbaden	Wiesbaden
William James	William James
Window	Fenesta
Winston Churchill	Winston Churchill
Yemen	Yemen
