Czech	English
Brescia	Brescia
Brest (Francie)	Brest
Brest (Bělorusko)	Brest
Brest	Brest
Bretaň	Bretagne
Cihla	Brick
Most	Bridge
Kategorie:Mosty	Bridges
Bridgetown	Bridgetown
Brigáda (jednotka)	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Britská Kolumbie	British Columbia
Britské impérium	British Empire
Britské ostrovy	British Isles
Britské Panenské ostrovy	British Virgin Islands
Kategorie:Britové	British people
Brno	Brno
Broadway	Broadway (New York City)
Brokolice	Broccoli
Brom	Bromine
Bronz	Bronze
Doba bronzová	Bronze Age
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Hnědá	Brown
Medvěd hnědý	Brown Bear
Brownův pohyb	Brownian motion
Bruce Lee	Bruce Lee
Bruggy	Bruges
Brunej	Brunei
Kategorie:Brunej	Brunei
Brusel	Brussels
Mor	Bubonic plague
Bukurešť	Bucharest
Buckinghamský palác	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Budapešť	Budapest
Buddha	Buddha
Buddhismus	Buddhism
Kategorie:Buddhismus	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Budova	Building
Bujumbura	Bujumbura
Bulharsko	Bulgaria
Kategorie:Bulharsko	Bulgaria
Archimédův zákon	Buoyancy
Byrokracie	Bureaucracy
Starosta	Burgomaster
Burkina Faso	Burkina Faso
Kategorie:Burkina Faso	Burkina Faso
Myanmar	Burma
Kategorie:Myanmar	Burma
Burka	Burqa
Bursa	Bursa
Kategorie:Burundi	Burundi
Autobus	Bus
Sběrnice	Bus (computing)
Podnikání	Business
Kategorie:Podnikatelé	Businesspeople
Buster Keaton	Buster Keaton
Máslo	Butter
Motýlí efekt	Butterfly effect
Bydhošť	Bydgoszcz
Byte	Byte
Kategorie:Byzantská říše	Byzantine Empire
C	C
C (programovací jazyk)	C (programming language)
Clive Staples Lewis	C. S. Lewis
CD	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Kabaret	Cabaret
Cache	Cache
Kaktusovité	Cactus
Kadmium	Cadmium
Kadmos	Cadmus
Souhvězdí Rydla	Caelum
Cesium	Caesium
Kofein	Caffeine
Káhira	Cairo
Kalábrie	Calabria
Calais	Calais
Kalcit	Calcite
Vápník	Calcium
Uhličitan vápenatý	Calcium carbonate
Oxid vápenatý	Calcium oxide
Kalkulačka	Calculator
Kaldera	Caldera
Kalendář	Calendar
Ráže	Caliber
Kalifornie	California
Kategorie:Kalifornie	California
Kalifornium	Californium
Caligula	Caligula
Chalífa	Caliph
Chalífát	Caliphate
Kaligrafie	Calligraphy
Kalliopé	Calliope
Callisto (měsíc)	Callisto (moon)
Kallistó	Callisto (mythology)
Kalorie	Calorie
Calvados (departement)	Calvados
Golgota	Calvary
Calvin Coolidge	Calvin Coolidge
Kalvinismus	Calvinism
Kambodža	Cambodia
Kategorie:Kambodža	Cambodia
Kambrium	Cambrian
Cambridge	Cambridge
Velbloud	Camel
Camembert	Camembert (cheese)
Fotoaparát	Camera
Kamerun	Cameroon
Kategorie:Kamerun	Cameroon
Kampánie	Campania
Kanada	Canada
Kategorie:Kanada	Canada
Kanadský dolar	Canadian dollar
Průplav	Canal
Kanárské ostrovy	Canary Islands
Kategorie:Kanárské ostrovy	Canary Islands
Canberra	Canberra
Rakovina	Cancer
Souhvězdí Raka	Cancer (constellation)
Kandela	Candela
Svíčka	Candle
Psovití	Canidae
Souhvězdí Velkého psa	Canis Major
Souhvězdí Malého psa	Canis Minor
Marihuana	Cannabis (drug)
Cannes	Cannes
Kanibalismus	Cannibalism
Kanón	Cannon
Kánoe	Canoe
Canon	Canon (company)
Canopus	Canopus
Kantáta	Cantata
Canterbury	Canterbury
Elektrická kapacita	Capacitance
Kondenzátor	Capacitor
Mys Canaveral	Cape Canaveral
Mys Horn	Cape Horn
Kapské Město	Cape Town
Kapverdy	Cape Verde
Kategorie:Kapverdy	Cape Verde
Mys Dobré naděje	Cape of Good Hope
Hlavní město	Capital
Kapitál	Capital (economics)
Trest smrti	Capital punishment
Kapitalismus	Capitalism
Kappadokie	Cappadocia
Souhvězdí Kozoroha	Capricornus
Karakal	Caracal
Caracas	Caracas
Karambola	Carambola
Karát	Carat (mass)
Karát	Carat (purity)
Caravaggio	Caravaggio
Sacharidy	Carbohydrate
Uhlík	Carbon
Koloběh uhlíku	Carbon cycle
Oxid uhličitý	Carbon dioxide
Oxid uhelnatý	Carbon monoxide
Kyselina uhličitá	Carbonic acid
Karbon	Carboniferous
Karboxylové kyseliny	Carboxylic acid
Karburátor	Carburetor
Karetní hra	Card game
Kardamovník obecný	Cardamom
Cardiff	Cardiff
Kardinál	Cardinal (Catholicism)
Armand-Jean du Plessis de Richelieu	Cardinal Richelieu
Kategorie:Oběhová soustava	Cardiovascular system
Karibik	Caribbean
Kategorie:Karibské moře	Caribbean
Karibské moře	Caribbean Sea
Karikatura	Caricature
Souhvězdí Lodního kýlu	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Karneval	Carnival
Šelmy	Carnivora
Masožravci	Carnivore
Masožravé rostliny	Carnivorous plant
Karlovci	Carolingian dynasty
Carl Linné	Carolus Linnaeus
Karpaty	Carpathian Mountains
Mrkev obecná	Carrot
Carson City	Carson City
Cartagena	Cartagena
Kartézská soustava souřadnic	Cartesian coordinate system
Kartézský součin	Cartesian product
Kartágo	Carthage
Kartografie	Cartography
Kategorie:Kartografie	Cartography
Casablanca	Casablanca
Anacardium occidentale	Cashew
Kasino	Casino
Kaspické moře	Caspian Sea
Kassandra	Cassandra
Souhvězdí Kasiopeji	Cassiopeia (constellation)
Litina	Cast iron
Kastovní systém	Caste
Kastilie	Castile (historical region)
Hrad	Castle
Rošáda	Castling
Casus belli	Casus belli
Kočka domácí	Cat
Katalánsko	Catalonia
Kategorie:Katalánsko	Catalonia
Katalyzátor	Catalysis
Cataphract	Cataphract
Šedý zákal	Cataract
Albigenští	Catharism
Katedrála	Cathedral
Kateřina Parrová	Catherine Parr
Kateřina Aragonská	Catherine of Aragon
Katoda	Cathode
Katolictví	Catholicism
Tur domácí	Cattle
Volavka rusohlavá	Cattle Egret
Gaius Valerius Catullus	Catullus
Kavkaz	Caucasus
Kategorie:Kavkaz	Caucasus
Kavkaz	Caucasus Mountains
Květák	Cauliflower
Kauzalita	Causality
Jezdectvo	Cavalry
Jeskyně	Cave
Kaviár	Caviar
Cayenne	Cayenne
Kajmanské ostrovy	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Miřík celer	Celery
Kategorie:Nebeská mechanika	Celestial mechanics
Nebeská mechanika	Celestial mechanics
Nebeská sféra	Celestial sphere
Celibát	Celibacy
Buňka	Cell (biology)
Cytoplazmatická membrána	Cell membrane
Buněčné jádro	Cell nucleus
Buněčná stěna	Cell wall
Violoncello	Cello
Celulóza	Cellulose
Stupeň Celsia	Celsius
Cement	Cement
Hřbitov	Cemetery
Kenozoikum	Cenozoic
Sčítání lidu	Census
Kentaur	Centaur
Souhvězdí Kentaura	Centaurus
Těžiště	Center of mass
Střední Afrika	Central Africa
Středoafrická republika	Central African Republic
Kategorie:Středoafrická republika	Central African Republic
Střední Amerika	Central America
Kategorie:Střední Amerika	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Centrální mocnosti	Central Powers
Centrální banka	Central bank
Centrální nervová soustava	Central nervous system
Procesor	Central processing unit
Centre	Centre
Centriola	Centriole
Století	Century
Hlavonožci	Cephalopod
Souhvězdí Cefea	Cepheus (constellation)
Keramika	Ceramic
Kerberos	Cerberus
Mozeček	Cerebellum
Ceres	Ceres
Ceres (trpasličí planeta)	Ceres (dwarf planet)
Ceres (mytologie)	Ceres (mythology)
Cer	Cerium
Tasemnice	Cestoda
Kytovci	Cetacea
Souhvězdí Velryby	Cetus
Čad	Chad
Kategorie:Čad	Chad
Pěnkava obecná	Chaffinch
Židle	Chair
Chalcedon	Chalcedony
Souhvězdí Chameleona	Chamaeleon
Kamzík horský	Chamois
Šampaňské víno	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Eurotunel	Channel Tunnel
Chaos (mytologie)	Chaos (mythology)
Dlouhokřídlí	Charadriiformes
Karel Veliký	Charlemagne
Charleroi	Charleroi
Charles, princ z Walesu	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karel II. Holý	Charles the Bald
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Čarodějky (seriál)	Charmed
Charon (měsíc)	Charon (moon)
Charón	Charon (mythology)
Chartres	Chartres
Šovinismus	Chauvinism
Che Guevara	Che Guevara
Čečensko	Chechnya
Kategorie:Čečensko	Chechnya
Sýr	Cheese
Gepard štíhlý	Cheetah
Čeljabinsk	Chelyabinsk
Chemická vazba	Chemical bond
Chemická sloučenina	Chemical compound
Chemický prvek	Chemical element
Chemické inženýrství	Chemical engineering
Chemický vzorec	Chemical formula
Chemická reakce	Chemical reaction
Chemické zbraně	Chemical warfare
Chemie	Chemistry
Kategorie:Chemie	Chemistry
Portál:Chemie	Chemistry
Chemnitz	Chemnitz
Chemoterapie	Chemotherapy
Šek	Cheque
Černobyl	Chernobyl
Třešně	Cherry
Rohovec	Chert
Cherub	Cherub
Šachy	Chess
Kategorie:Šachy	Chess
Šachové zahájení	Chess opening
Chester A. Arthur	Chester A. Arthur
Žvýkačka	Chewing gum
Cheyenne	Cheyenne
Čankajšek	Chiang Kai-shek
Chicago	Chicago
Kur domácí	Chicken
Plané neštovice	Chickenpox
Chihuahua (stát)	Chihuahua
Dítě	Child
Porod	Childbirth
Chile	Chile
Kategorie:Chile	Chile
Chimborazo	Chimborazo (volcano)
Chiméra (mytologie)	Chimera (mythology)
Kategorie:Čína	China
Čína	China
Chios	Chios
Cheirón	Chiron
Chitin	Chitin
Chlór	Chlorine
Chloroform	Chloroform
Chlorofyl	Chlorophyll
Čokoláda	Chocolate
Pěvecký sbor	Choir
Cholera	Cholera
Cholesterol	Cholesterol
Paryby	Chondrichthyes
Čchung-čching	Chongqing
Akord	Chord (music)
Strunatci	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Křesťanství	Christianity
Kategorie:Křesťanství	Christianity
Vánoce	Christmas
Kategorie:Vánoce	Christmas
Štědrý den	Christmas Eve
Vánoční stromek	Christmas tree
Kryštof Kolumbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Chromatin	Chromatin
Chromatografie	Chromatography
Chróm	Chromium
Chromozóm	Chromosome
Kategorie:Chronologie	Chronology
Chuck Berry	Chuck Berry
Církev	Church
Kostel	Church (building)
Anglikánská církev	Church of England
Marcus Tullius Cicero	Cicero
Brodiví	Ciconiiformes
Sidra	Cider
Cigareta	Cigarette
Popelka	Cinderella
Cinabarit	Cinnabar
Skořice	Cinnamon
Kirké	Circe
Souhvězdí Kružítka	Circinus
Kružnice	Circle
Oběhová soustava	Circulatory system
Obřízka	Circumcision
Cirkus	Circus
Občanství	Citizenship
Kyselina citronová	Citric acid
Citrátový cyklus	Citric acid cycle
Citrus	Citrus
Občanská válka	Civil war
Civilizace	Civilization
Klarinet	Clarinet
Clark Gable	Clark Gable
Třída	Class
Třída (biologie)	Class (biology)
Třída (programování)	Class (computer science)
Klasická mechanika	Classical mechanics
Vážná hudba	Classical music
Kategorie:Vážná hudba	Classical music
Klasicismus	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Jíl	Clay
Klíč (hudba)	Clef
Clement Attlee	Clement Attlee
Kleopatra	Cleopatra (disambiguation)
Duchovenstvo	Clergy
Cleveland (Ohio)	Cleveland
Klient-server	Client-server
Podnebí	Climate
Klimatologie	Climatology
Kategorie:Klimatologie	Climatology
Deprese (psychologie)	Clinical depression
Kleió	Clio
Klitoris	Clitoris
Hodiny	Clock
Big Ben	Clock Tower
Klonování	Cloning
Kategorie:Oděvy	Clothing
Oděv	Clothing
Oblak	Cloud
Hřebíček	Clove
Chlodvík I.	Clovis I
Žahavci	Cnidaria
Uhlí	Coal
Pobřeží	Coast
Znak (heraldika)	Coat of arms
Kobalt	Cobalt
Kokain	Cocaine
Coccinellidae	Coccinellidae
Kakaduovití	Cockatoo
Švábi	Cockroach
Kokosovník ořechoplodý	Coconut
Kokosové ostrovy	Cocos (Keeling) Islands
Kávovník	Coffea
Káva	Coffee
Kategorie:Káva	Coffee
Koňak	Cognac (drink)
Kognitivní psychologie	Cognitive psychology
Kognitivní věda	Cognitive science
Kola (nápoj)	Cola
Kolchida	Colchis
Studená válka	Cold War
Kategorie:Studená válka	Cold War
Colin Powell	Colin Powell
Koláž	Collage
Kolagen	Collagen
Koloid	Colloid
Kolín nad Rýnem	Cologne
Kolumbie	Colombia
Kategorie:Kolumbie	Colombia
Kolombo	Colombo
Plukovník	Colonel
Kolonie	Colony
Barva	Color
Colorado	Colorado
Kategorie:Colorado	Colorado
Colorado (přítok Kalifornského zálivu)	Colorado River
Koloseum	Colosseum
Rhódský kolos	Colossus of Rhodes
Užovkovití	Colubrid
Souhvězdí Holubice	Columba (constellation)
Columbia	Columbia
Columbia (řeka)	Columbia River
Columbia University	Columbia University
Holub	Columbidae
Kategorie:Měkkozobí	Columbiformes
Měkkozobí	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Souhvězdí Vlasů Bereniky	Coma Berenices
Hoření	Combustion
Komedie	Comedy
Jan Amos Komenský	Comenius
Kometa	Comet
Čárka (interpunkce)	Comma (punctuation)
Komedie dell'arte	Commedia dell'arte
Kategorie:Obchod	Commerce
Nachlazení	Common cold
Společenství nezávislých států	Commonwealth of Independent States
Commonwealth	Commonwealth of Nations
Kategorie:Dorozumívání	Communication
Dorozumívání	Communication
Komunismus	Communism
Kategorie:Komunismus	Communism
Komory	Comoros
Kategorie:Komory	Comoros
Kompaktní disk	Compact Disc
Kompas	Compass
Kružítko	Compass (drafting)
Kompetice	Competition
Překladač	Compiler
CISC	Complex instruction set computer
Komplexní číslo	Complex number
Hudební skladatel	Composer
Kompozitní materiál	Composite material
Složené číslo	Composite number
Počítačová tomografie	Computed tomography
Počítač	Computer
Monitor (obrazovka)	Computer display
Soubor	Computer file
Kategorie:Počítačová grafika	Computer graphics
Hardware	Computer hardware
Kategorie:Hardware	Computer hardware
Počítačová síť	Computer network
Počítačový program	Computer program
Programování	Computer programming
Kategorie:Programování	Computer programming
Informatika (počítačová věda)	Computer science
Kategorie:Informatika	Computer science
Software	Computer software
Počítačový virus	Computer virus
Computer aided design	Computer-aided design
Kategorie:Počítače	Computing
Conakry	Conakry
Koncentrace (chemie)	Concentration
Beton	Concrete
Kondom	Condom
Dirigent	Conducting
Kužel	Cone (geometry)
Konfederované státy americké	Confederate States of America
Konfederace	Confederation
Svátost smíření	Confession
Biřmování	Confirmation
Konflikt	Conflict
Konfucianismus	Confucianism
Konfucius	Confucius
Kongo	Congo
Kongo (řeka)	Congo River
Kuželosečka	Conic section
Connecticut	Connecticut
Pojivová tkáň	Connective tissue
Konsenzus	Consensus
První termodynamický zákon	Conservation of energy
Konzervatismus	Conservatism
Souhláska	Consonant
Constantinus I.	Constantine I
Konstantinopol	Constantinople
Souhvězdí	Constellation
Ústava	Constitution (political)
Konzul (antický Řím)	Consul
Spotřeba	Consumption (economics)
Kontaktní čočka	Contact lens
Kontinent	Continent
Kontinentální drift	Continental drift
Kontinentální šelf	Continental shelf
Smlouva	Contract
Bridž	Contract bridge
Proudění tepla	Convection
Družstvo	Cooperative
Soustava souřadnic	Coordinate system
Coordinated Universal Time	Coordinated Universal Time
Kodaň	Copenhagen
Měď	Copper
Autorské právo	Copyright
Anglický roh	Cor anglais
Srostloprstí	Coraciiformes
Korál	Coral
Korálové moře	Coral Sea
Korálový útes	Coral reef
Koriandr setý	Coriander
Korint	Corinth
Coriolisova síla	Coriolis effect
Cork	Cork (city)
Cornell University	Cornell University
Cornwall	Cornwall
Souhvězdí Severní koruny	Corona Borealis
Obchodní společnost	Corporation
Koroze	Corrosion
Korsika	Corsica
Korund	Corundum
Korveta	Corvette
Krkavcovití	Corvidae
Souhvězdí Havrana	Corvus (constellation)
Reliktní záření	Cosmic microwave background radiation
Kosmické záření	Cosmic ray
Kosmologie	Cosmology
Kategorie:Kosmologie	Cosmology
Kostarika	Costa Rica
Kategorie:Kostarika	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Bavlna	Cotton
Puma americká	Cougar
Coulomb	Coulomb
Coulombův zákon	Coulomb's law
Chalkedonský koncil	Council of Chalcedon
Efeský koncil	Council of Ephesus
Tridentský koncil	Council of Trent
Kontrapunkt	Counterpoint
Country	Country music
Soud	Court
Kovalentní vazba	Covalent bond
Coventry	Coventry
Kojot prériový	Coyote
Krabi	Crab
Krabí mlhovina	Crab Nebula
Souhvězdí Poháru	Crater (constellation)
Kreacionismus	Creationism
Cremona	Cremona
Křída	Cretaceous
Kréta	Crete
Kriket	Cricket
Zločin	Crime
Krym	Crimea
Krymská válka	Crimean War
Kategorie:Trestní právo	Criminal law
Trestní právo	Criminal law
Kriminologie	Criminology
Chorvatsko	Croatia
Kategorie:Chorvatsko	Croatia
Krokodýli	Crocodilia
Kronos	Cronus
Kříž	Cross
Vektorový součin	Cross product
Kuše	Crossbow
Ukřižování	Crucifixion
Křižník	Cruiser
Zemská kůra	Crust (geology)
Korýši	Crustacean
Souhvězdí Jižního kříže	Crux
Kryptografie	Cryptography
Kategorie:Kryptografie	Cryptography
Krystal	Crystal
Krystalografie	Crystallography
Kategorie:Krystalografie	Crystallography
Žebernatky	Ctenophore
Kuba	Cuba
Kategorie:Kuba	Cuba
Krychle	Cube
Metr krychlový	Cubic metre
Kubismus	Cubism
Kukačky	Cuculiformes
Okurka setá	Cucumber
Kulturní revoluce	Cultural Revolution
Kultura (sociologie)	Culture
Kategorie:Kultura	Culture
Cumulus	Cumulus cloud
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Kategorie:Měny	Currency
Měna	Currency
Curry	Curry
Křivka	Curve
Cuzco	Cusco
Sinice	Cyanobacteria
Kybelé	Cybele
Kybernetika	Cybernetics
Kyberpunk	Cyberpunk
Kyklady	Cyclades
Cyklistika	Cycling
Kategorie:Cyklistika	Cycling
Cyklóna	Cyclone
Kyklop	Cyclops
Souhvězdí Labutě	Cygnus (constellation)
Válec	Cylinder (geometry)
Šáchorovité	Cyperaceae
Máloostní	Cypriniformes
Kypr	Cyprus
Kategorie:Kypr	Cyprus
Cyrilice	Cyrillic alphabet
Kýros II.	Cyrus the Great
Cystická fibróza	Cystic fibrosis
Cytoplazma	Cytoplasm
Cytosin	Cytosine
Cytoskelet	Cytoskeleton
Česko	Czech Republic
Kategorie:Česko	Czech Republic
Československo	Czechoslovakia
Kategorie:Československo	Czechoslovakia
D	D
David Herbert Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
Disk Operating System	DOS
DVD	DVD
Dadaismus	Dada
Daidalos	Daedalus
Dýka	Dagger
Daguerrotypie	Daguerreotype
Dakar	Dakar
Dalajláma	Dalai Lama
Dallas	Dallas
Dalmácie	Dalmatia
Hráz (stavba)	Dam
Damašek	Damascus
Tanec	Dance
Kategorie:Tanec	Dance
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dánská koruna	Danish krone
Dante Alighieri	Dante Alighieri
Dunaj	Danube
Dafné	Daphne
Dar es Salaam	Dar es Salaam
Dardanely	Dardanelles
Dárfúr	Darfur
Darjeeling (město)	Darjeeling
Temná hmota	Dark matter
Darmstadtium	Darmstadtium
Darwin (Austrálie)	Darwin
Darwin	Darwin
Kapitál (kniha)	Das Kapital
Data	Data
Data mining	Data mining
Databáze	Database
Systém řízení báze dat	Database management system
Dativ	Dative case
Daugavpils	Daugavpils
David (král Izraele)	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Den	Day
De facto	De facto
Jáhen	Deacon
Mrtvé moře	Dead Sea
Svitky od Mrtvého moře	Dead Sea scrolls
Rulík zlomocný	Deadly nightshade
Smrt	Death
Kategorie:Smrt	Death
Prosinec	December
31. prosinec	December 31
8. prosinec	December 8
Decibel	Decibel
Desítková soustava	Decimal
Deklinace	Declination
Deco	Deco
Dekonstrukce	Deconstruction
Dedukce	Deductive reasoning
Jelenovití	Deer
Definice	Definition
Deflace	Deflation
Stupeň	Degree
Stupeň (úhel)	Degree (angle)
Deimos (měsíc)	Deimos (moon)
Deismus	Deism
Delaware	Delaware
Kategorie:Delaware	Delaware
Dillí	Delhi
Delfy	Delphi
Souhvězdí Delfína	Delphinus
Delta	Delta
Potopa světa	Deluge (mythology)
Demagogie	Demagogy
Demence	Dementia
Démétér	Demeter
Demokracie	Democracy
Demokratická strana (USA)	Democratic Party (United States)
Demokratická republika Kongo	Democratic Republic of the Congo
Kategorie:Demokratická republika Kongo	Democratic Republic of the Congo
Démokritos	Democritus
Demografie	Demography
Kategorie:Demografie	Demography
Démon	Demon
Démosthenés	Demosthenes
Teng Siao-pching	Deng Xiaoping
Dengue	Dengue fever
Denis Diderot	Denis Diderot
Dánsko	Denmark
Kategorie:Dánsko	Denmark
Dénes Gábor	Dennis Gabor
Hustota	Density
Zubní kaz	Dental caries
Kategorie:Stomatologie	Dentistry
Stomatologie	Dentistry
Denver	Denver
Derivace	Derivative
Dermatologie	Dermatology
Des Moines	Des Moines
Poušť	Desert
Kategorie:Pouště	Deserts
Erasmus Rotterdamský	Desiderius Erasmus
Design	Design
Kategorie:Design	Design
Desmond Tutu	Desmond Tutu
Torpédoborec	Destroyer
Determinant	Determinant
Determinismus	Determinism
Detroit	Detroit
Deuterium	Deuterium
Deuteronomium	Deuteronomy
Ovladač zařízení	Device driver
Devon (hrabství)	Devon
Devon (geologie)	Devonian
Rosa	Dew
Rosný bod	Dew point
Deweyův desetinný systém	Dewey Decimal Classification
Dháka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhoul	Dhole
Diabetes mellitus	Diabetes mellitus
Diakritické znaménko	Diacritic
Nářečí	Dialect
Dialektika	Dialectic
Dialektický materialismus	Dialectical materialism
Průměr (geometrie)	Diameter
Diamant	Diamond
Diana Frances Spencerová	Diana
Průjem	Diarrhea
Diaspora	Diaspora
Rozsivky	Diatom
Hrací kostka	Dice
Dvouděložné	Dicotyledon
Diktatura	Dictatorship
Slovník	Dictionary
Motorová nafta	Diesel
Vznětový motor	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Diferenciální rovnice	Differential equation
Difrakce	Diffraction
Difuze	Diffusion
Trávení	Digestion
Kategorie:Trávicí soustava	Digestive system
Digitální	Digital
Digitální fotoaparát	Digital camera
Digitální fotografie	Digital photography
Digital Subscriber Line	Digital subscriber line
Dijon	Dijon
Dinosauři	Dinosaur
Diecéze	Diocese
Diocletianus	Diocletian
Dioda	Diode
Dionýsos	Dionysus
Záškrt	Diphtheria
Dvojhláska	Diphthong
Diplodocus	Diplodocus
Diplomacie	Diplomacy
Kategorie:Diplomacie	Diplomacy
Dire Straits	Dire Straits
Stejnosměrný proud	Direct current
Disacharidy	Disaccharide
Kategorie:Rozcestníky	Disambiguation
Diskžokej	Disc jockey
Diskurz	Discourse
Diskriminace	Discrimination
Nemoc	Disease
Vzdálenost	Distance
Destilace	Distillation
Divergence	Divergence
Dělení	Division (mathematics)
Divize (vojenství)	Division (military)
Rozvod	Divorce
Dizzy Gillespie	Dizzy Gillespie
Kategorie:Džibutsko	Djibouti
Džíbútí	Djibouti (city)
Dmitrij Ivanovič Mendělejev	Dmitri Mendeleev
Dmitrij Dmitrijevič Šostakovič	Dmitri Shostakovich
Dněpr	Dnieper River
Dněpropetrovsk	Dnipropetrovsk
Dobrman	Doberman Pinscher
Učitel církve	Doctor of the Church
Dvanáctistěn	Dodecahedron
Dodekanés	Dodecanese
Dronte mauricijský	Dodo
Dodoma	Dodoma
Pes domácí	Dog
Dogma	Dogma
Dauhá	Doha
Dolar	Dollar
Dolly (ovce)	Dolly (sheep)
Dolmen	Dolmen
Dolomit	Dolomite
Doména (biologie)	Domain (biology)
Internetová doména	Domain name
Kupole	Dome
Domesday Book	Domesday Book
Domestikace	Domestication
Dominika	Dominica
Kategorie:Dominika	Dominica
Řád bratří kazatelů	Dominican Order
Dominikánská republika	Dominican Republic
Kategorie:Dominikánská republika	Dominican Republic
Domitianus	Domitian
Důmyslný rytíř Don Quijote de la Mancha	Don Quixote
Don	Don River (Russia)
Kačer Donald	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Doněck	Donetsk
Osel domácí	Donkey
Dveře	Door
Dopamin	Dopamine
Dopplerův jev	Doppler effect
Souhvězdí Mečouna	Dorado
Dórský řád	Doric order
Doris Lessingová	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Kontrabas	Double bass
Douglas MacArthur	Douglas MacArthur
Downův syndrom	Down syndrome
Souhvězdí Draka	Draco (constellation)
Drákula (kniha)	Dracula
Drak	Dragon
Povodí	Drainage basin
Drama	Drama
Dáma (hra)	Draughts
Sen	Dream
Drážďany	Dresden
Nápoj	Drink
Velbloud jednohrbý	Dromedary
Sucho	Drought
Závislost	Drug addiction
Druid	Druid
Buben	Drum
Dualismus (filosofie)	Dualism
Dubaj	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Kachna	Duck
Vévoda	Duke
Duke Ellington	Duke Ellington
Duke University	Duke University
Písečná duna	Dune
Dunkerque	Dunkirk
Durban	Durban
Dušanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategorie:Nizozemci	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamika	Dynamics (physics)
Dynamit	Dynamite
Dynastie	Dynasty
Dyslexie	Dyslexia
Dysprosium	Dysprosium
Antiutopie	Dystopia
E	E
Eulerovo číslo	E (mathematical constant)
E-mail	E-mail
Ernst Theodor Wilhelm Hoffmann	E. T. A. Hoffmann
Euskadi Ta Askatasuna	ETA
Orel	Eagle
Ucho	Ear
Lachtanovití	Eared seal
Tuleňovití	Earless seal
Země	Earth
Kategorie:Země	Earth
Vědy o Zemi	Earth science
Zemětřesení	Earthquake
Východ	East
Východní Afrika	East Africa
Východočínské moře	East China Sea
Německá demokratická republika	East Germany
Východní Timor	East Timor
Kategorie:Východní Timor	East Timor
Velikonoce	Easter
Pravoslaví	Eastern Orthodox Church
Ebola	Ebola
Ebro	Ebro
Excentricita dráhy	Eccentricity (mathematics)
Kniha Kazatel	Ecclesiastes
Echidna	Echidna (mythology)
Ostnokožci	Echinoderm
Zatmění Slunce	Eclipse
Eclipse (vývojové prostředí)	Eclipse (software)
Ekliptika	Ecliptic
Ekologická nika	Ecological niche
Ekologie	Ecology
Kategorie:Ekologie	Ecology
Ekonometrie	Econometrics
Ekonomie	Economics
Kategorie:Ekonomie	Economics
Ekonomika	Economy
Ekosystém	Ecosystem
Ekvádor	Ecuador
Kategorie:Ekvádor	Ecuador
Ekumenický koncil	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
