Arabic	English
200	200
21	21
21 (عدد)	21 (number)
22	22
22 (عدد)	22 (number)
23	23
23 (عدد)	23 (number)
24	24
24 (مسلسل أمريكي)	24 (TV series)
24 (عدد)	24 (number)
25	25
25 (عدد)	25 (number)
26	26
26 (عدد)	26 (number)
27	27
27 (عدد)	27 (number)
28	28
28 (عدد)	28 (number)
29	29
29 (عدد)	29 (number)
3	3
3 (عدد)	3 (number)
30	30
30 (عدد)	30 (number)
300	300
31	31
31 (عدد)	31 (number)
32	32
32 (عدد)	32 (number)
33	33
33 (عدد)	33 (number)
34	34
34 (عدد)	34 (number)
35	35
36	36
37	37
38	38
39	39
4	4
4 (عدد)	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (عدد)	5 (number)
50	50
500	500
تصنيف:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (عدد)	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (عدد)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (عدد)	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (عدد)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
متلازمة العوز المناعي المكتسب	AIDS
آخن	Aachen
خنزير الأرض	Aardvark
أباكوس	Abacus
عبادان	Abadan
بطن	Abdomen
أبردين	Aberdeen
أبيجان	Abidjan
أبخازيا	Abkhazia
التحرير من العبودية	Abolitionism
إجهاض	Abortion
إبراهيم	Abraham
أبراهام لينكون	Abraham Lincoln
قدر مطلق	Absolute magnitude
قيمة مطلقة	Absolute value
صفر مطلق	Absolute zero
مدرسة تجريدية	Abstract art
تجريد	Abstraction
مدينة أبوظبي	Abu Dhabi
إمارة أبوظبي	Abu Dhabi (emirate)
أبوجا	Abuja
طلح	Acacia
جائزة الأوسكار	Academy Award
تسارع	Acceleration
أكورديون	Accordion
محاسبة	Accountancy
تصنيف:محاسبة	Accountancy
أكرا	Accra
حمض خليك	Acetic acid
أسيتون	Acetone
أستيل كولين	Acetylcholine
أسيتلين	Acetylene
آخيل	Achilles
حمض	Acid
مطر حمضي	Acid rain
حب الشباب	Acne vulgaris
أكونكاجوا	Aconcagua
عكا	Acre
أكري	Acre (state)
أكروبوليس	Acropolis
أكتينيدات	Actinide
أكتينيوم	Actinium
ممثل	Actor
سفر أعمال الرسل	Acts of the Apostles
إبر صينية	Acupuncture
أدا	Ada (programming language)
آدم	Adam
آدم سميث	Adam Smith
أضنة	Adana
إدمان	Addiction
أديس أبابا	Addis Ababa
جمع	Addition
أديليد	Adelaide
عدن	Aden
أدينين	Adenine
أدينوسين ثلاثي الفوسفات	Adenosine triphosphate
أمير البحر	Admiral
مراهقة	Adolescence
أدولف أيخمان	Adolf Eichmann
أدولف هتلر	Adolf Hitler
أدونيس	Adonis
تبني	Adoption
غدة كظرية	Adrenal gland
بحر أدرياتيكي	Adriatic Sea
امتزاز	Adsorption
مرحلة الرشد	Adult
إعلان	Advertising
بحر إيجة	Aegean Sea
أفغانستان	Afghanistan
تصنيف:أفغانستان	Afghanistan
أفريقيا	Africa
تصنيف:أفريقيا	Africa
أمريكيون أفارقة	African American
لغة أفريكانية	Afrikaans
أجاممنون	Agamemnon
آغار	Agar
عقيق	Agate
أجاثا كريستي	Agatha Christie
لاأدرية	Agnosticism
أجورا	Agora
رهاب اجتماعي	Agoraphobia
زراعة	Agriculture
تصنيف:زراعة	Agriculture
أغريجنتو	Agrigento
أيكيدو	Aikido
إيرباص	Airbus
طائرة	Aircraft
حاملة طائرات	Aircraft carrier
شركة طيران	Airline
مطار	Airport
أجاكس (ميثولوجيا)	Ajax (mythology)
أجاكس	Ajax (programming)
إخناتون	Akhenaten
أكيرا كوروساوا	Akira Kurosawa
ألبرت أرنولد جور	Al Gore
القاعدة (منظمة)	Al-Qaeda
ألاباما	Alabama
آلان تورنج	Alan Turing
ألاسكا	Alaska
ألبانيا	Albania
تصنيف:ألبانيا	Albania
ألباني، نيويورك	Albany
قطرس	Albatross
ألبرت ميكلسون	Albert Abraham Michelson
ألبير كامو	Albert Camus
ألبرت أينشتاين	Albert Einstein
البرت شوايتزر	Albert Schweitzer
ألبرت سبير	Albert Speer
ألبرتا	Alberta
ألبينو	Albinism
ألبوم	Album
ألباكركي، نيومكسيكو	Albuquerque
خيمياء	Alchemy
كحول	Alcohol
مشروبات كحولية	Alcoholic beverage
إدمان كحولي	Alcoholism
الدبران	Aldebaran
ألدهيد	Aldehyde
أليك جينيز	Alec Guinness
ألكسندر سولجنيتسين	Aleksandr Solzhenitsyn
حلب	Aleppo
ألكسندر فلمنج	Alexander Fleming
ألكسندر غراهام بيل	Alexander Graham Bell
ألكسندر بوشكين	Alexander Pushkin
الإسكندر الأكبر	Alexander the Great
ألكسندر دوما	Alexandre Dumas
الإسكندرية	Alexandria
ألفريد هتشكوك	Alfred Hitchcock
ألفريد نوبل	Alfred Nobel
أشنيات	Algae
جبر	Algebra
تصنيف:جبر	Algebra
عدد جبري	Algebraic number
الجزائر	Algeria
تصنيف:الجزائر	Algeria
الجزائر (مدينة)	Algiers
خوارزمية	Algorithm
قصر الحمراء	Alhambra
علي بن أبي طالب	Ali
فلز قلوي	Alkali metal
قلويد	Alkaloid
ألكان	Alkane
ألكين	Alkene
ألكاين	Alkyne
الله (إسلام)	Allah
حساسية	Allergy
ألوصور	Allosaurus
تآصل	Allotropy
سبيكة	Alloy
ألما أتا	Almaty
لوز	Almond
نبات الصبر	Aloe
ألفا (حرف إغريقي)	Alpha (letter)
القنطوري الألفا	Alpha Centauri
أشعة ألفا	Alpha particle
أبجدية	Alphabet
ألب	Alps
مذبح	Altar
تيار متردد	Alternating current
تصنيف:طب بديل	Alternative medicine
طب بديل	Alternative medicine
الإيثار	Altruism
ألومنيوم	Aluminium
أكسيد ألومنيوم	Aluminium oxide
ألفار آلتو	Alvar Aalto
ألزهايمر	Alzheimer's disease
أماتيراسو	Amaterasu
أمازون (نهر)	Amazon River
سفير	Ambassador
كهرمان	Amber
الحرب الأهلية الأمريكية	American Civil War
حرب الاستقلال الأمريكية	American Revolutionary War
ساموا الأمريكية	American Samoa
آسكي	American Standard Code for Information Interchange
كرة قدم أمريكية	American football
تصنيف:كرة قدم أمريكية	American football
أمريكيوم	Americium
أميريغو فسبوتشي	Amerigo Vespucci
لغة أمهرية	Amharic
أميد	Amide
أمين	Amine
حمض أميني	Amino acid
عمان (مدينة)	Amman
مقياس التيار الكهربائي	Ammeter
أمونياك	Ammonia
نسيان	Amnesia
أمبير	Ampere
أمفيتامين	Amphetamine
برمائيات	Amphibian
أمستردام	Amsterdam
آمون	Amun
تجديدية العماد	Anabaptist
أنهايم، كاليفورنيا	Anaheim
جنس شرجي	Anal sex
هندسة تحليلية	Analytic geometry
لاسلطوية	Anarchism
تصنيف:لاسلطوية	Anarchism
أناتول فرانس	Anatole France
تصنيف:تشريح	Anatomy
تشريح	Anatomy
أناكسيماندر	Anaximander
منطقة أندلسيا ذاتية الحكم	Andalusia
بحر أندامان	Andaman Sea
أنديز	Andes
أندرا براديش	Andhra Pradesh
أندورا	Andorra
أندريه ديمترفيتش ساخاروف	Andrei Sakharov
أندرو جاكسون	Andrew Jackson
أندرو لويد ويبر	Andrew Lloyd Webber
المرأة المسلسلة (كوكبة)	Andromeda (constellation)
المرأة المسلسلة (مجرة)	Andromeda Galaxy
آندي وارهول	Andy Warhol
فقر دم	Anemia
تخدير	Anesthesia
ملاك	Angel
شلالات آنجل	Angel Falls
زاوية(هندسة)	Angle
أنغولا	Angola
تصنيف:أنغولا	Angola
أنجويلا	Anguilla
حيوان	Animal
رسوم متحركة	Animation
أنمي	Anime
تصنيف:أنمي	Anime
إحيائية	Animism
ينسون	Anise
أنقرة	Ankara
أنابوليس، ماريلاند	Annapolis
آن بولين	Anne Boleyn
ديدان مقسمة	Annelid
أنو دوميني	Anno Domini
خلفة ذهنية	Anorexia nervosa
أوزيات	Anseriformes
تصنيف:إوز	Anseriformes
نمل	Ant
أنطاكية	Antakya
أنطاليا	Antalya
أنتاناناريفو	Antananarivo
أنتاركتيكا	Antarctica
تصنيف:أنتاركتيكا	Antarctica
هوائي	Antenna (radio)
أنتوني هوبكنز	Anthony Hopkins
الجمرة الخبيثة	Anthrax
علم الإنسان	Anthropology
تصنيف:علم الإنسان	Anthropology
مضاد حيوي	Antibiotic
ضد (مناعة)	Antibody
المسيح الدجال	Antichrist
أنتيغا وبربودا	Antigua and Barbuda
تصنيف:أنتيغا وباربودا	Antigua and Barbuda
مادة مضادة	Antimatter
إثمد	Antimony
مضاد التأكسد	Antioxidant
معاداة السامية	Antisemitism
مفرغة الهواء (كوكبة)	Antlia
أنطوان لافوازييه	Antoine Lavoisier
أنطون بروكنر	Anton Bruckner
أنطون تشيخوف	Anton Chekhov
أنطونيو فيفالدي	Antonio Vivaldi
أنتويرب	Antwerp
أنتفيرب (مقاطعة)	Antwerp (province)
أنوبيس	Anubis
شرج	Anus
أبهر (شريان)	Aorta
أباتشي (قبيلة)	Apache
اباتيت	Apatite
قرد	Ape
أفروديت	Aphrodite
أبوكريفا	Apocrypha
سماميات	Apodiformes
أبولو (إله إغريقي)	Apollo
أبولو	Apollo (disambiguation)
برنامج أبولو	Apollo program
استموات	Apoptosis
جبال الأبلاش	Appalachian Mountains
تفاح	Apple
رياضيات تطبيقية	Applied mathematics
مشمش	Apricot
أبريل	April
14 أبريل	April 14
يوم كذبة أبريل	April Fools' Day
بوليا	Apulia
العقبة	Aqaba
أكيتان	Aquitaine
عرب	Arab
جامعة الدول العربية	Arab League
شبه الجزيرة العربية	Arabian Peninsula
بحر العرب	Arabian Sea
أبجدية عربية	Arabic alphabet
لغة عربية	Arabic language
عنكبيات	Arachnid
منطقة أراغون ذاتية الحكم	Aragon
بحر آرال	Aral Sea
آرام خاتشاتوريان	Aram Khachaturian
أركاديا	Arcadia
أركانجلو كوريلي	Arcangelo Corelli
قوس	Arch
علم الآثار	Archaeology
تصنيف:علم الآثار	Archaeology
أركيوبتركس	Archaeopteryx
أرخميدس	Archimedes
أرخبيل	Archipelago
مهندس معماري	Architect
عمارة	Architecture
تصنيف:عمارة	Architecture
أركتيك	Arctic
المحيط المتجمد الشمالي	Arctic Ocean
الأردين	Ardennes
مساحة	Area
آرس	Ares
الأرجنتين	Argentina
تصنيف:أرجنتين	Argentina
أرغون (عنصر)	Argon
آرغوس	Argos
أريانية	Arianism
أرستقراطية	Aristocracy
أرسطو	Aristotle
حساب	Arithmetic
تصنيف:حساب	Arithmetic
آريوس	Arius
أريزونا	Arizona
تصنيف:أريزونا	Arizona
أركنسو	Arkansas
أرمينيا	Armenia
تصنيف:أرمينيا	Armenia
أرمينيوس	Arminius
درع	Armour
جيش	Army
أرنهيم	Arnhem
هيدروكربون أروماتي	Aromatic hydrocarbon
سهم	Arrow
زرنيخ	Arsenic
فن	Art
آرت ديكو	Art Deco
أرت نوفو	Art Nouveau
آرتميس	Artemis
شيح	Artemisia (plant)
شريان	Artery
التهاب المفاصل	Arthritis
مفصليات الأرجل	Arthropod
آرثر كونان دويل	Arthur Conan Doyle
أرثر ميلر	Arthur Miller
آرثر رامبو	Arthur Rimbaud
ذكاء اصطناعي	Artificial intelligence
تصنيف:ذكاء اصطناعي	Artificial intelligence
سلاح المدفعية	Artillery
تصنيف:فن	Arts
أروبا	Aruba
أسبستوس	Asbestos
أسقليبيوس	Asclepius
آشوربانيبال	Ashurbanipal
آسيا	Asia
تصنيف:آسيا	Asia
أسمرة	Asmara
أسبرين	Aspirin
اغتيال	Assassination
لغة التجميع	Assembly language
اتحاد دول جنوب شرق آسيا	Association of Southeast Asian Nations
آشور (مملكة)	Assyria
أستانا	Astana
أستاتين	Astatine
كويكب	Asteroid
ربو	Asthma
لابؤرية	Astigmatism (eye)
أستراخان	Astrakhan
علم الأحياء الفلكي	Astrobiology
أسطرلاب	Astrolabe
علم التنجيم	Astrology
تصنيف:تنجيم	Astrology
رائد فضاء	Astronaut
عالم فضاء	Astronomer
وحدة فلكية	Astronomical unit
فلك	Astronomy
تصنيف:فلك	Astronomy
بوابة:علم الفلك	Astronomy
فيزياء فلكية	Astrophysics
تصنيف:فيزياء فلكية	Astrophysics
أسوان	Aswan
أسلوب النقل اللاتزامني	Asynchronous Transfer Mode
آتون	Aten
آثينا	Athena
أثينا	Athens
تصنيف:ألعاب قوى	Athletics
ألعاب قوى	Athletics (track and field)
أتلانتا، جورجيا	Atlanta
محيط أطلسي	Atlantic Ocean
تصنيف:محيط أطلسي	Atlantic Ocean
أطلنتس	Atlantis
أطلس	Atlas (mythology)
جبال أطلس	Atlas Mountains
ضغط جوي	Atmospheric pressure
شعب حلقي	Atoll
ذرة	Atom
كتلة ذرية	Atomic mass
وحدة كتل ذرية	Atomic mass unit
رقم ذري	Atomic number
تصنيف:فيزياء ذرية	Atomic physics
فيزياء ذرية	Atomic physics
أتيكا (إقليم)	Attica
أتيلا الهوني	Attila the Hun
أوكلاند	Auckland
مزاد	Auction
أغسطس	August
1 أغسطس	August 1
15 أغسطس	August 15
6 أغسطس	August 6
أوغوستا، مين	Augusta
أوغست كونت	Auguste Comte
أوجست رودان	Auguste Rodin
أوغسطينوس	Augustine of Hippo
أغسطس قيصر	Augustus
شفق قطبي	Aurora (astronomy)
أوستن، تكساس	Austin
أستراليا	Australia
تصنيف:أستراليا	Australia
أسترالوبيثكس	Australopithecus
النمسا	Austria
تصنيف:نمسا	Austria
الإمبراطورية النمساوية المجرية	Austria-Hungary
كاتب	Author
سلطة	Authority
توحد	Autism
سباق سيارات	Auto racing
سيرة شخصية ذاتية	Autobiography
آلة الصراف الآلي	Automated teller machine
سيارة	Automobile
جهاز عصبي ذاتي	Autonomic nervous system
خريف	Autumn
انهيار جليدي	Avalanche
أڤتار	Avatar
ابن رشد	Averroes
آوستا	Avesta
تصنيف:طيران	Aviation
طيران	Aviation
ابن سينا	Avicenna
فأس	Axe
بديهية	Axiom
آية الله	Ayatollah
آين راند	Ayn Rand
أذربيجان	Azerbaijan
تصنيف:أذربيجان	Azerbaijan
آزتك	Aztec
B	B
بيسيك	BASIC
بعل آمون	Baal
بابون	Baboon
بابل (مدينة)	Babylon
طاولة	Backgammon
بكتيريا	Bacteria
تصنيف:بكتيريا	Bacteria
تنس الريشة	Badminton
بافين (جزيرة)	Baffin Island
بغداد	Baghdad
تصنيف:الباهاماس	Bahamas
البحرين	Bahrain
تصنيف:البحرين	Bahrain
ولاية باجا كاليفورنيا	Baja California
بقلاوة	Baklava
باكو	Baku
ميزانية (محاسبة)	Balance sheet
منطقة جزر البليار ذاتية الحكم	Balearic Islands
حوت باليني	Baleen whale
بالي	Bali
جبال البلقان	Balkan Mountains
حروب البلقان	Balkan Wars
البلقان	Balkans
باليه	Ballet
قلم حبر جاف	Ballpoint pen
بحر البلطيق	Baltic Sea
بالتيمور، ماريلاند	Baltimore
باماكو	Bamako
خيزران	Bamboo
موز	Banana
بنغالور	Bangalore
بانكوك	Bangkok
بنغلاديش	Bangladesh
تصنيف:بنغلاديش	Bangladesh
بانغي	Bangui
بانجول	Banjul
مصرف	Bank
معمودية	Baptism
الكنيسة المعمدانية	Baptist
بار	Bar (unit)
بربادوس	Barbados
باربرا سترايساند	Barbra Streisand
برشلونة	Barcelona
تصنيف:برشلونة	Barcelona
باري	Bari
باريوم	Barium
شعير	Barley
خطاف	Barn Swallow
بارون	Baron
باروكية	Baroque
برميل (نفط)	Barrel (unit)
باريون	Baryon
بازلت	Basalt
قلوي	Base (chemistry)
بيسبول	Baseball
بازل	Basel
باش	Bash
ريحان	Basil
بازيليكاتا	Basilicata
كرة السلة	Basketball
تصنيف:كرة سلة	Basketball
البصرة	Basra
سجن الباستيل	Bastille
خفاش	Bat
باث	Bath
باتمان	Batman
باتون روج، لويزيانا	Baton Rouge
كتيبة (وحدة عسكرية)	Battalion
بطارية كهربائية	Battery (electricity)
معركة أوسترليتز	Battle of Austerlitz
معركة بريطانيا	Battle of Britain
معركة ليبانتو	Battle of Lepanto (1571)
معركة ميدواي	Battle of Midway
معركة ترموبيل	Battle of Thermopylae
معركة طرف الغار	Battle of Trafalgar
معركة واترلو	Battle of Waterloo
معركة الثغرة	Battle of the Bulge
سفينة حربية	Battleship
باوهاوس	Bauhaus
بوكسيت	Bauxite
بافاريا	Bavaria
خليج البنغال	Bay of Bengal
دب	Bear
قندس	Beaver
سرير	Bed
بدو	Bedouin
نحل	Bee
بيرة (مشروب كحولي)	Beer
تصنيف:جعة	Beer
خنفساء	Beetle
بكين	Beijing
بيروت	Beirut
بيلاروس	Belarus
بلفاست	Belfast
بلجيكا	Belgium
تصنيف:بلجيكا	Belgium
بلغراد	Belgrade
بليز	Belize
رقص شرقي	Belly dance
بيلو هوريزونتي	Belo Horizonte
حوت أبيض	Beluga
بنلوكس	Benelux
بنغازي	Benghazi
بنين	Benin
تصنيف:بنين	Benin
بينيتو موسوليني	Benito Mussolini
بنجامين فرانكلين	Benjamin Franklin
بنجامين هاريسون	Benjamin Harrison
بيني قودمان	Benny Goodman
برجن	Bergen
مضيق بايرنغ	Bering Strait
بركليوم	Berkelium
بريكشير	Berkshire
برلين	Berlin
تصنيف:برلين	Berlin
جزر برمودا	Bermuda
مثلث برمودا	Bermuda Triangle
برن	Berne
جورج فريدرش برنارد ريمان	Bernhard Riemann
برتولت بريشت	Bertolt Brecht
بيرتراند راسل	Bertrand Russell
بيريليوم	Beryllium
بيتا (حرف إغريقي)	Beta (letter)
منكب الجوزاء	Betelgeuse
بيت لحم	Bethlehem
بيت ديفيس	Bette Davis
بيفرلي هيلز، كاليفورنيا	Beverly Hills
بوتان	Bhutan
الكتاب المقدس	Bible
تصنيف:الكتاب المقدس	Bible
ببليوجرافيا	Bibliography
دراجة هوائية	Bicycle
نظرية الانفجار العظيم	Big Bang
بيهار	Bihar
صفراء	Bile
بيل كلينتون	Bill Clinton
بيل غيتس	Bill Gates
بيلي ويلدر	Billy Wilder
نجم ثنائي	Binary star
كيمياء حيوية	Biochemistry
تصنيف:كيمياء حيوية	Biochemistry
تنوع حيوي	Biodiversity
جغرافيا حيوية	Biogeography
بوابة:أعلام	Biography
سلاح بيولوجي	Biological warfare
علم الأحياء	Biology
تصنيف:علم الأحياء	Biology
بوابة:علم الأحياء	Biology
كتلة حيوية	Biomass
علم المقاييس الحيوية	Biometrics
فيزياء حيوية	Biophysics
الغلاف الحيوي	Biosphere
تقانة حيوية	Biotechnology
تصنيف:تقانة حيوية	Biotechnology
فيتامين بي7	Biotin
تعكر المزاج الثنائي القطب	Bipolar disorder
بتيولا	Birch
طائر	Bird
برمنغهام، ألاباما	Birmingham
تحديد النسل	Birth control
إزدواجية الميول الجنسية	Bisexuality
بشكيك	Bishkek
أسقف	Bishop
فيل (شطرنج)	Bishop (chess)
بسمارك، داكوتا الشمالية	Bismarck
بزموت	Bismuth
بيساو	Bissau
بت	Bit
أسود	Black
موت أسود	Black Death
الغابة السوداء	Black Forest
بحر أسود	Black Sea
جسم أسود	Black body
ثقب أسود	Black hole
بليز باسكال	Blaise Pascal
عمى	Blindness
حرب خاطفة	Blitzkrieg
بلومفونتين	Bloemfontein
مدونة	Blog
دم	Blood
بلازما الدم	Blood plasma
ضغط الدم	Blood pressure
فئات الدم	Blood type
أزرق	Blue
حوت أزرق	Blue Whale
بلوز	Blues
خنزير بري	Boar
لعبة مجتمع	Board game
قارب	Boat
بوب ديلان	Bob Dylan
بوب مارلي	Bob Marley
بوبي فيشر	Bobby Fischer
كمال أجسام	Bodybuilding
بوهيميا	Bohemia
بوريوم	Bohrium
نقطة غليان	Boiling point
بويسي، أيداهو	Boise
بوليفيا	Bolivia
تصنيف:بوليفيا	Bolivia
بوليوود	Bollywood
بولونيا (مدينة)	Bologna
بلشفية	Bolshevik
بولسانو	Bolzano
قنبلة	Bomb
دودة القز	Bombyx mori
عظم	Bone
نقي	Bone marrow
بون	Bonn
بونساي	Bonsai
كتاب	Book
سفر أستير	Book of Esther
سفر يشوع	Book of Joshua
سفر القضاة	Book of Judges
كتاب مورمون	Book of Mormon
رؤيا يوحنا	Book of Revelation
سفر راعوث	Book of Ruth
بوردو	Bordeaux
بوريس باسترناك	Boris Pasternak
بورنيو	Borneo
بورون	Boron
البوسنة والهرسك	Bosnia and Herzegovina
تصنيف:البوسنة والهرسك	Bosnia and Herzegovina
بوزون	Boson
مضيق بوسفور	Bosporus
بوستن، ماساتشوستس	Boston
قالب:بوت	Bot
علم النبات	Botany
تصنيف:علم النبات	Botany
بتسوانا	Botswana
تصنيف:بوتسوانا	Botswana
برجوازية	Bourgeoisie
بورغونيا	Bourgogne
بولينج	Bowling
ملاكمة	Boxing
قوسان (علامة ترقيم)	Bracket
براهما	Brahma
كتابة بريل	Braille
دماغ	Brain
عصف ذهني	Brainstorming
برام ستوكر	Bram Stoker
براندنبورغ	Brandenburg
مشد الصدر	Brassiere
براتيسلافا	Bratislava
براونشفايغ	Braunschweig
البرازيل	Brazil
تصنيف:برازيل	Brazil
برازافيل	Brazzaville
خبز	Bread
ثدي	Breast
سرطان الثدي	Breast cancer
ولاية بريمن	Bremen
بريشا	Brescia
بريطانيا (فرنسا)	Bretagne
جسر	Bridge
تصنيف:جسور	Bridges
بريدج تاون	Bridgetown
لواء (وحدة عسكرية)	Brigade
برايتون	Brighton
برينديزي	Brindisi
بريزبين	Brisbane
بريستول	Bristol
كولومبيا البريطانية	British Columbia
إمبراطورية بريطانية	British Empire
الجزر العذراء البريطانية	British Virgin Islands
برنو	Brno
برودواي	Broadway (New York City)
بروكلي	Broccoli
بروم	Bromine
برونز	Bronze
عصر برونزي	Bronze Age
بروكلين	Brooklyn
جسر بروكلين	Brooklyn Bridge
حركة براونية	Brownian motion
بروس لي	Bruce Lee
بروج	Bruges
بروني	Brunei
بروكسل	Brussels
طاعون	Bubonic plague
بوخارست	Bucharest
بودابست	Budapest
بوذية	Buddhism
تصنيف:بوذية	Buddhism
بوينس آيرس	Buenos Aires
بوفالو، نيويورك	Buffalo
مبنى	Building
بوجمبورا	Bujumbura
بلغاريا	Bulgaria
تصنيف:بلغاريا	Bulgaria
طفو	Buoyancy
بيروقراطية	Bureaucracy
بوركينا فاسو	Burkina Faso
تصنيف:بوركينا فاسو	Burkina Faso
ميانمار	Burma
برقع	Burqa
بورصة (مدينة)	Bursa
تصنيف:بوروندي	Burundi
حافلة	Bus
تصنيف:رجال أعمال	Businesspeople
بوتان (كيمياء)	Butane
زبدة	Butter
فراشة	Butterfly
أثر الفراشة	Butterfly effect
بايت	Byte
C	C
سي (لغة برمجة)	C (programming language)
سي. إس. لويس	C. S. Lewis
CD	CD (disambiguation)
كوبول	COBOL
شجرة الكاكاو	Cacao
تنظيم الذاكرة المخبئية	Cache
صبار	Cactus
كادميوم	Cadmium
قدموس الملك الفينيقي	Cadmus
سيزيوم	Caesium
كافايين	Caffeine
القاهرة	Cairo
كعك	Cake
كالابريا	Calabria
كالسيوم	Calcium
كربونات كالسيوم	Calcium carbonate
أكسيد كالسيوم	Calcium oxide
تفاضل	Calculus
تقويم	Calendar
كاليفورنيا	California
تصنيف:كاليفورنيا	California
كاليفورنيوم	Californium
كاليجولا	Caligula
خلافة إسلامية	Caliph
كاليوبي	Calliope
سعرة حرارية	Calorie
جلجثة	Calvary
كالفين كوليدج	Calvin Coolidge
كالفينية	Calvinism
كاليبسو	Calypso (mythology)
كمبوديا	Cambodia
تصنيف:كمبوديا	Cambodia
عصر كامبري	Cambrian
كامبريدج (إنجلترا)	Cambridge
كامبريدج، ماساتشوستس	Cambridge
كامبريدج	Cambridge (disambiguation)
جمل	Camel
كاميمبرت	Camembert (cheese)
كاميرا	Camera
الكاميرون	Cameroon
تصنيف:كاميرون	Cameroon
كامبانيا	Campania
كندا	Canada
تصنيف:كندا	Canada
دولار كندي	Canadian dollar
قناة	Canal
منطقة جزر الكناري ذاتية الحكم	Canary Islands
كانبرا	Canberra
السرطان	Cancer
شمعة (وحدة قياس)	Candela
شمعة	Candle
كلبيات	Canidae
قنب هندي	Cannabis
كان (مدينة)	Cannes
أكل لحوم البشر	Cannibalism
سهيل	Canopus
كانتاتا	Cantata
كانتربيري	Canterbury
سعة	Capacitance
مكثف	Capacitor
كيب تاون	Cape Town
الرأس الأخضر	Cape Verde
رأس الرجاء الصالح	Cape of Good Hope
عاصمة	Capital
رأس المال	Capital (economics)
إعدام	Capital punishment
رأسمالية	Capitalism
كبادوكيا	Cappadocia
برج الجدي	Capricornus
عناق الأرض	Caracal
كراكاس	Caracas
قيراط (وحدة كتلة)	Carat (mass)
كارافادجو	Caravaggio
سكريات	Carbohydrate
كربون	Carbon
دورة كربون	Carbon cycle
ثنائي أكسيد كربون	Carbon dioxide
أول أكسيد كربون	Carbon monoxide
حمض كربوكسيلي	Carboxylic acid
مازج	Carburetor
هيل	Cardamom
كارديف	Cardiff
كاردينال	Cardinal (Catholicism)
ريشيليو	Cardinal Richelieu
تصنيف:علم القلب	Cardiology
الكاريبي	Caribbean
تصنيف:دول الكاريبي	Caribbean
بحر الكاريبي	Caribbean Sea
كاريكاتير	Caricature
كارل يونج	Carl Jung
كارل لويس	Carl Lewis
كارل أورف	Carl Orff
كرنفال	Carnival
آكلات اللحوم	Carnivora
نبات لاحم	Carnivorous plant
كارولينجيون	Carolingian dynasty
كارولوس لينيوس	Carolus Linnaeus
جزر	Carrot
كارسون سيتي، نيفادا	Carson City
قرطاجنّة	Cartagena
نظام الإحداثيات الديكارتية	Cartesian coordinate system
