English	Indonesian
Caribbean	Kategori:Karibia
Caribbean Sea	Laut Karibia
Carina (constellation)	Carina
Carl David Anderson	Carl D. Anderson
Carl Jung	Carl Gustav Jung
Carl Maria von Weber	Carl Maria von Weber
Carnival	Karnaval
Carnivora	Carnivora
Carnivore	Karnivora
Carolus Linnaeus	Carolus Linnaeus
Carrot	Wortel
Carson City	Carson City, Nevada
Cartesian coordinate system	Sistem koordinat Kartesius
Carthage	Kartago
Cartography	Kartografi
Cartography	Kategori:Kartografi
Cary Grant	Cary Grant
Casablanca	Casablanca
Cashew	Kacang Mede
Casino	Kasino (tempat perjudian)
Caspian Sea	Laut Kaspia
Cassiopeia (constellation)	Cassiopeia
Caste	Kasta
Castle	Kastil
Castries	Castries
Casus belli	Casus belli
Cat	Kucing
Catalonia	Catalunya
Catalysis	Katalis
Cataphract	Kataphract
Cataract	Katarak
Cathedral	Katedral
Cathode	Katoda
Catholicism	Katolik
Cattle	Sapi
Cattle Egret	Kuntul Kerbau
Catullus	Catullus
Caucasus	Kaukasus
Caucasus	Kategori:Kaukasus
Caucasus Mountains	Pegunungan Kaukasus
Cauliflower	Kubis bunga
Cavalry	Kavaleri
Cave	Gua
Cayman Islands	Kepulauan Cayman
Cecil Rhodes	Cecil Rhodes
Celery	Seledri
Celestial equator	Ekuator langit
Celibacy	Selibat
Cell (biology)	Sel (biologi)
Cell membrane	Membran sel
Cell nucleus	Inti sel
Cell wall	Dinding sel
Cello	Cello
Cellulose	Selulosa
Celsius	Celsius
Cement	Semen
Cemetery	Pemakaman
Cenozoic	Kenozoikum
Census	Sensus
Centaur	Centaurus (mitologi)
Centaurus	Centaurus (rasi bintang)
Centimetre	Sentimeter
Central Africa	Afrika Tengah
Central African Republic	Republik Afrika Tengah
Central African Republic	Kategori:Republik Afrika Tengah
Central America	Amerika Tengah
Central America	Kategori:Amerika Tengah
Central Intelligence Agency	CIA
Central Park	Central Park
Central Powers	Blok Sentral
Central bank	Bank sentral
Central processing unit	CPU
Centre	Centre
Century	Abad
Cepheus (constellation)	Cepheus
Ceramic	Keramik
Cerberus	Cerberus
Cereal	Serealia
Ceres	Ceres
Ceres (dwarf planet)	1 Ceres
Cerium	Serium
Cetacea	Cetacea
Cetus	Cetus
Chad	Chad
Chad	Kategori:Chad
Chair	Kursi
Champagne (wine)	Sampanye
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Terowongan Channel
Chaos (mythology)	Khaos
Charlemagne	Charlemagne
Charleroi	Charleroi
Charles	Charles dari Wales
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Lindbergh	Charles Lindbergh
Charles Thomson Rees Wilson	C.T.R. Wilson
Charles de Gaulle	Charles de Gaulle
Charleston	Charleston, West Virginia
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Charmed
Charon (moon)	Charon (bulan)
Chartres	Chartres
Che Guevara	Che Guevara
Chechnya	Chechnya
Chechnya	Kategori:Chechnya
Cheese	Keju
Cheetah	Cheetah
Chelyabinsk	Chelyabinsk
Chemical bond	Ikatan kimia
Chemical compound	Senyawa kimia
Chemical element	Unsur kimia
Chemical engineering	Teknik kimia
Chemical formula	Rumus kimia
Chemical reaction	Reaksi kimia
Chemical warfare	Senjata kimia
Chemistry	Kimia
Chemistry	Kategori:Kimia
Chemistry	Portal:Kimia
Chemnitz	Chemnitz
Chemotherapy	Kemoterapi
Chennai	Chennai
Cheque	Cek
Chernobyl	Chernobyl
Cherry	Ceri
Chert	Rijang
Chess	Catur
Chess	Kategori:Catur
Chester A. Arthur	Chester A. Arthur
Cheyenne	Cheyenne, Wyoming
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Ayam
Chickenpox	Cacar air
Chickpea	Chickpea
Chihuahua	Chihuahua (negara bagian)
Child	Anak
Chile	Chili
Chile	Kategori:Chili
Chimera (mythology)	Chimaera
China	Kategori:Tiongkok
China	Cina
Chios	Chios
Chlorine	Klor
Chloroform	Kloroform
Chlorophyll	Klorofil
Chloroplast	Kloroplas
Chocolate	Cokelat
Choir	Paduan suara
Cholera	Kolera
Cholesterol	Kolesterol
Chongqing	Chongqing
Chord (music)	Akord
Chordate	Chordata
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kekristenan
Christianity	Kategori:Kristen
Christmas	Natal
Christmas tree	Pohon Natal
Christopher Columbus	Christopher Columbus
Chromatography	Kromatografi
Chromium	Kromium
Chromosome	Kromosom
Chronology	Kategori:Kronologi
Church (building)	Gereja
Church of England	Gereja Inggris
Ciconiiformes	Ciconiiformes
Cigarette	Rokok
Cinderella	Cinderella
Cinnamon	Kayu manis
Circle	Lingkaran
Circulatory system	Sistem kardiovaskular
Circumcision	Sunat
Circus	Sirkus
Citizenship	Kewarganegaraan
Citric acid	Asam sitrat
City-state	Negara kota
Civil war	Perang Saudara
Civilization	Peradaban
Civilization (computer game)	Civilization
Clarinet	Klarinet
Clark Gable	Clark Gable
Class (biology)	Kelas (biologi)
Classical mechanics	Mekanika klasik
Classical music	Kategori:Musik klasik
Claude Monet	Claude Monet
Clavicle	Tulang selangka
Clay	Tanah liat
Clement Attlee	Clement Attlee
Clergy	Rohaniwan
Cleveland	Cleveland, Ohio
Client-server	Klien-server
Climate	Iklim
Climatology	Klimatologi
Climatology	Kategori:Klimatologi
Clinical depression	Depresi
Clitoris	Klitoris
Cloning	Kloning
Clothing	Kategori:Pakaian
Clothing	Pakaian
Cloud	Awan
Clove	Cengkeh
Cnidaria	Cnidaria
Coat of arms	Lambang negara
Cobalt	Kobal
Cocaine	Kokain
Coccinellidae	Kepik
Cockatoo	Kakatua
Cockroach	Kecoa
Coconut	Kelapa
Cocos (Keeling) Islands	Kepulauan Cocos (Keeling)
Codeine	Kodein
Coffea	Coffea
Coffee	Kopi
Coffee	Kategori:Kopi
Cognac (drink)	Konyak
Cognitive psychology	Psikologi kognitif
Coin	Uang logam
Cola	Kola
Cold War	Perang Dingin
Cold War	Kategori:Perang Dingin
Colin Powell	Colin Powell
Collagen	Kolagen
Colloid	Sistem koloid
Cologne	Köln
Colombia	Kolombia
Colombia	Kategori:Kolombia
Colombo	Kolombo
Colonel	Kolonel
Color	Warna
Colorado	Colorado
Colorado	Kategori:Colorado
Colosseum	Colosseum
Colossus of Rhodes	Colossus Rodos
Colubrid	Colubridae
Columbia	Columbia, South Carolina
Columbia University	Universitas Columbia
Columbus	Columbus, Ohio
Coma	Koma (medis)
Coma Berenices	Coma Berenices
Combustion	Pembakaran
Comedy	Melawak
Comenius	John Amos Comenius
Comet	Komet
Commerce	Kategori:Perdagangan
Common Fig	Tin
Commonwealth of Independent States	Persemakmuran Negara-negara Merdeka
Commonwealth of Nations	Negara-Negara Persemakmuran
Communication	Kategori:Komunikasi
Communication	Komunikasi
Communism	Komunisme
Communism	Kategori:Komunisme
Comoros	Komoro
Comoros	Kategori:Komoro
Compact Disc	Cakram padat
Company (military unit)	Kompi
Compass	Kompas
Compass (drafting)	Jangka
Competition	Kompetisi
Compiler	Kompilator
Complex instruction set computer	CISC
Composer	Komponis
Composite material	Material komposit
Composite number	Bilangan komposit
Computed tomography	Tomografi terkomputasi
Computer	Komputer
Computer architecture	Arsitektur komputer
Computer display	Tampilan komputer
Computer file	Berkas komputer
Computer graphics	Kategori:Komputer grafis
Computer hardware	Perangkat keras
Computer hardware	Kategori:Perangkat keras
Computer program	Program komputer
Computer programming	Pemrograman komputer
Computer programming	Kategori:Pemrograman komputer
Computer science	Ilmu komputer
Computer science	Kategori:Ilmu komputer
Computer software	Perangkat lunak
Computer virus	Virus komputer
Computer-aided design	CAD
Computing	Kategori:Komputer
Conakry	Conakry
Concord	Concord, New Hampshire
Concrete	Beton
Condom	Kondom
Conducting	Dirigen
Cone (geometry)	Kerucut
Confederation	Konfederasi
Confession	Pengakuan dosa
Confirmation	Penguatan
Conflict	Konflik
Confucianism	Agama Khonghucu
Confucius	Kong Hu Cu (filsuf)
Congo	Kongo
Congo River	Sungai Kongo
Conic section	Irisan kerucut
Connecticut	Connecticut
Connecticut	Kategori:Connecticut
Conquistador	Conquistador
Conservation of energy	Kekekalan energi
Conservatism	Konservatisme
Consonant	Konsonan
Constantine I	Konstantinus I
Constantinople	Konstantinopel
Constellation	Rasi bintang
Constitution (political)	Konstitusi
Contact lens	Lensa Kontak
Continent	Benua
Continental drift	Teori Continental Drift
Contract	Kontrak
Contract bridge	Bridge
Cooking	Memasak
Cooperative	Koperasi
Coordinated Universal Time	UTC
Copenhagen	Kopenhagen
Copper	Tembaga
Copyright	Hak cipta
Coriander	Ketumbar
Corinth	Korintus
Cork (city)	Cork
Cornea	Kornea
Cornell University	Universitas Cornell
Cornwall	Cornwall
Corporation	Perusahaan
Corrosion	Korosi
Corsica	Korsika
Corundum	Korundum
Corvette	Korvet
Corvus (constellation)	Corvus
Cosmic ray	Sinar kosmik
Cosmology	Kosmologi
Cosmology	Kategori:Kosmologi
Costa Rica	Kosta Rika
Costa Rica	Kategori:Kosta Rika
Cotonou	Cotonou
Cotopaxi	Gunung Cotopaxi
Cotton	Kapas
Coulomb	Coulomb
Council of Chalcedon	Konsili Khalsedon
Council of Ephesus	Konsili Efesus
Council of Trent	Konsili Trento
Court	Pengadilan
Covalent bond	Ikatan kovalen
Coventry	Coventry
Coyote	Koyote
Crab	Kepiting
Crane (bird)	Burung Jenjang
Creationism	Ciptaanisme
Cremona	Cremona
Cretaceous	Kapur (periode)
Crete	Kreta
Cricket	Kriket
Cricket (insect)	Jangkrik
Crime	Kriminalitas
Crimea	Republik Otonomi Krimea
Crimean War	Perang Krimea
Criminology	Kategori:Kriminologi
Croatia	Kroasia
Croatia	Kategori:Kroasia
Crocodile	Buaya
Crossword	Teka-teki silang
Crow	Gagak
Crucifixion	Penyaliban
Crust (geology)	Kerak bumi
Crustacean	Crustacea
Crux	Crux
Cryptography	Kriptografi
Cryptography	Kategori:Kriptografi
Crystal	Kristal
Cuba	Kuba
Cuba	Kategori:Kuba
Cube	Kubus
Cucumber	Mentimun
Cultural Revolution	Revolusi Kebudayaan
Culture	Budaya
Culture	Kategori:Budaya
Cumbria	Cumbria
Cumulus cloud	Awan Kumulus
Curitiba	Curitiba
Currency	Mata uang
Curry	Kari
Curve	Kurva
Cusco	Cusco
Cyan	Sian
Cyanide	Sianida
Cyanobacteria	Cyanobacteria
Cyberpunk	Cyberpunk
Cyclades	Cyclades
Cycling	Bersepeda
Cyclone	Siklon
Cygnus (constellation)	Cygnus
Cylinder (geometry)	Tabung (geometri)
Cyprus	Siprus
Cyprus	Kategori:Siprus
Cyrillic alphabet	Aksara Sirilik
Cyrus the Great	Koresh Agung
Cytoplasm	Sitoplasma
Cytosine	Sitosin
Cytoskeleton	Sitoskeleton
Czech Republic	Ceko
Czech Republic	Kategori:Ceko
Czechoslovakia	Cekoslowakia
Czechoslovakia	Kategori:Cekoslowakia
DNA	Asam deoksiribonukleat
DOS	DOS
DVD	DVD
Dachshund	Dachshund
Dada	Dadaisme
Dagger	Belati
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmatia
Dam	Bendungan
Damascus	Damaskus
Dance	Tari
Dandelion	Randa Tapak
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Krona Denmark
Dante Alighieri	Dante Alighieri
Danube	Donau
Dar es Salaam	Dar es Salaam
Darfur	Darfur
Darjeeling	Darjeeling
Dark matter	Materi gelap
Darwin	Darwin, Teritorial Utara
Darwin	Darwin (disambiguasi)
Das Kapital	Das Kapital
Data	Data
Data mining	Penggalian data
Data structure	Struktur data
Database	Basis data
Database management system	Sistem manajemen basis data
Daugavpils	Daugavpils
David	Daud
David Hilbert	David Hilbert
David Hume	David Hume
Day	Hari
De facto	De facto
Deacon	Diakon
Dead Sea	Laut Mati
Dead Sea scrolls	Naskah Laut Mati
Death	Kematian
Death	Kategori:Kematian
Decade	Dasawarsa
December	Desember
December 31	31 Desember
December 8	8 Desember
Decimal	Sistem bilangan desimal
Declination	Deklinasi
Deco	Deco
Deconstruction	Dekonstruksi
Deductive reasoning	Deduksi
Deer	Rusa
Definition	Definisi
Deflation	Deflasi
Degree	Derajat
Degree (angle)	Derajat (satuan sudut)
Delaware	Delaware
Delaware	Kategori:Delaware
Delft	Delft
Dell	Dell
Delta (letter)	Delta (huruf Yunani)
Deluge (mythology)	Air bah (mitologi)
Demeter	Demeter
Democracy	Demokrasi
Democratic Party (United States)	Partai Demokrat (Amerika Serikat)
Democratic Republic of the Congo	Republik Demokratik Kongo
Democratic Republic of the Congo	Kategori:Republik Demokratik Kongo
Democritus	Demokreitos
Demography	Kependudukan
Demography	Kategori:Kependudukan
Demon	Jurik
Deng Xiaoping	Deng Xiaoping
Dengue fever	Demam berdarah
Denis Diderot	Denis Diderot
Denmark	Denmark
Denmark	Kategori:Denmark
Dennis Gabor	Dennis Gabor
Density	Massa jenis
Dental caries	Karies gigi
Dentistry	Kategori:Kedokteran gigi
Dentistry	Kedokteran gigi
Denver	Denver, Colorado
Derivative	Turunan
Dermatology	Dermatologi
Des Moines	Des Moines, Iowa
Desert	Gurun
Deserts	Kategori:Gurun
Desiderius Erasmus	Desiderius Erasmus
Design	Desain
Design	Kategori:Desain
Desmond Tutu	Desmond Tutu
Destroyer	Kapal perusak
Detroit	Detroit
Deuterium	Deuterium
Deuteronomy	Kitab Ulangan
Developmental psychology	Psikologi perkembangan
Device driver	Device driver
Devon	Devon
Devonian	Devon (periode)
Dew	Embun
Dewey Decimal Classification	Klasifikasi Desimal Dewey
Dhaka	Dhaka
Dharma	Dharma
Dhole	Ajag
Diabetes mellitus	Diabetes mellitus
Dialect	Dialek
Diameter	Diameter
Diamond	Intan
Diana	Diana Spencer
Diarrhea	Diare
Diaspora	Diaspora
Diatom	Diatom
Dice	Dadu (permainan)
Dictatorship	Diktatur
Dictionary	Kamus
Diesel	Diesel
Diesel engine	Mesin diesel
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Diffraction	Difraksi
Diffusion	Difusi
Digestion	Pencernaan
Digestive system	Kategori:Sistem pencernaan
Digital	Digital
Digital camera	Kamera digital
Digital photography	Fotografi digital
Digital subscriber line	DSL
Dijon	Dijon
Dimension	Dimensi
Dingo	Dingo
Dinosaur	Dinosaurus
Diocese	Keuskupan
Diocletian	Diocletianus
Diode	Dioda
Dionysus	Dionysus
Diphtheria	Difteri
Diphthong	Diftong
Diplomacy	Diplomasi
Diplomacy	Kategori:Diplomasi
Direct current	Arus searah
Disambiguation	Kategori:Disambiguasi
Disc jockey	DJ
Discrimination	Diskriminasi
Disease	Penyakit
Distance	Jarak
Distillation	Distilasi
Division (military)	Divisi
Divorce	Perceraian
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategori:Djibouti
Dmitri Mendeleev	Dmitri Mendeleev
Dmitri Shostakovich	Dmitri Shostakovich
Dnipropetrovsk	Dnipropetrovsk
Doctor of the Church	Doktor Gereja
Document	Dokumen
Dodecanese	Dodecanese
Dodo	Dodo
Dodoma	Dodoma
Dog	Anjing
Dogma	Dogma
Doha	Doha
Dollar	Dolar
Dolly (sheep)	Domba Dolly
Dolomite	Dolomit
Dolphin	Lumba-lumba
Domain name	Nama domain
Dome	Kubah
Domestication	Domestikasi
Dominica	Dominika
Dominica	Kategori:Dominika
Dominican Order	Ordo Dominikan
Dominican Republic	Republik Dominika
Dominican Republic	Kategori:Republik Dominika
Donald Duck	Donal Bebek
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Donkey	Keledai
Door	Pintu
Doppler effect	Efek Doppler
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dover	Dover, Delaware
Dover	Dover, Kent
Down syndrome	Sindrom Down
Dragon	Naga
Drainage basin	Batas air
Drama	Drama
Dream	Mimpi
Dresden	Dresden
Drink	Minuman
Drug addiction	Kecanduan
Drum	Drum
Dualism (philosophy of mind)	Dualisme
Dubai	Dubai
Dublin	Dublin
Duck	Bebek
Duke Ellington	Duke Ellington
Duke University	Universitas Duke
Dunkirk	Dunkerque
Duodenum	Usus dua belas jari
Durban	Durban
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategori:Tokoh Belanda
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamite	Dinamit
Dysprosium	Disprosium
Dystopia	Distopia
E (mathematical constant)	E (konstanta matematika)
E-mail	Surat elektronik
Eagle	Elang
Ear	Telinga
Earth	Bumi
Earth	Kategori:Bumi
Earth science	Ilmu bumi
Earthquake	Gempa bumi
East	Timur
East Africa	Afrika Timur
East China Sea	Laut China Timur
East Germany	Jerman Timur
East Sussex	East Sussex
East Timor	Timor Timur
East Timor	Kategori:Timor Timur
Easter	Paskah
Eastern Orthodox Church	Gereja Ortodoks
Ebro	Ebro
Ecclesiastes	Kitab Pengkhotbah
Echidna	Ekidna
Echinoderm	Echinodermata
Eclipse	Gerhana
Eclipse (software)	Eclipse (perangkat lunak)
Ecliptic	Ekliptika
Ecology	Ekologi
Ecology	Kategori:Ekologi
Econometrics	Ekonometrika
Economics	Ilmu ekonomi
Economics	Kategori:Ekonomi
Economy	Ekonomi
Ecosystem	Ekosistem
Ecuador	Ekuador
Ecuador	Kategori:Ekuador
Ecumenical council	Konsili Ekumenis
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edirne	Edirne
Edmonton	Edmonton, Alberta
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Education	Pendidikan
Education	Kategori:Pendidikan
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Eel	Sidat
Egg (biology)	Telur
Eggplant	Terong
Egypt	Mesir
Egypt	Kategori:Mesir
Egyptian pound	Pound Mesir
Eiffel Tower	Menara Eiffel
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejakulasi
El Cid	El Cid
El Greco	El Greco
El Salvador	El Salvador
El Salvador	Kategori:El Salvador
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Electric charge	Muatan listrik
Electric current	Arus listrik
Electric field	Medan listrik
Electric guitar	Gitar listrik
Electric motor	Motor listrik
Electrical engineering	Kategori:Teknik elektro
Electrical resistance	Hambatan listrik
Electricity	Listrik
Electricity	Kategori:Listrik
Electrocardiogram	Elektrokardiogram
Electrochemistry	Elektrokimia
Electrolysis	Elektrolisis
Electrolyte	Elektrolit
Electromagnetic radiation	Radiasi elektromagnetik
Electromagnetic spectrum	Spektrum elektromagnetik
Electromagnetism	Elektromagnetisme
Electromagnetism	Kategori:Elektromagnetisme
Electron	Elektron
Electron microscope	Mikroskop elektron
Electronegativity	Elektronegativitas
Electronics	Elektronika
Electronics	Kategori:Elektronika
Elementary particle	Partikel dasar
Elephant	Gajah
Elevator	Lift
Elf	Peri
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Ellipse	Elips
Ellipsis	Elipsis
Elvis Presley	Elvis Presley
Embryo	Embrio
Emerald	Zamrud
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emotion	Kategori:Emosi
Empathy	Empati
Empedocles	Empedokles
Emperor	Kaisar
Empire State Building	Gedung Empire State
Empiricism	Empirisme
Emu	Emu
Emulator	Emulator
Emulsion	Emulsi
Encyclopedia	Ensiklopedia
Endemism	Endemik
Endocrine system	Sistem endokrin
Endocrinology	Kategori:Endokrinologi
Energy	Energi
Energy	Kategori:Energi
Energy (society)	Energi
Engineer	Insinyur
Engineering	Teknik
Engineering	Kategori:Teknik
England	Inggris
England	Kategori:Inggris
English Channel	Selat Inggris
English Civil War	Perang Saudara Inggris
English language	Bahasa Inggris
English people	Kategori:Tokoh Inggris
English people	Bangsa Inggris
Enrico Fermi	Enrico Fermi
Entertainment	Kategori:Hiburan
Enthalpy	Entalpi
Entomology	Entomologi
Enzyme	Enzim
Eocene	Eosen
Eon (geology)	Eon
Eos	Eos
Ephesus	Efesus
Epic poetry	Wiracarita
Epicenter	Episenter
Epidemic	Wabah
Epidemiology	Epidemiologi
Epilepsy	Epilepsi
Epiphany (Christian)	Epifani
Epirus (periphery)	Epirus
Epistemology	Epistemologi
Epistle to the Galatians	Surat Paulus kepada Jemaat di Galatia
Epistle to the Romans	Surat Paulus kepada Jemaat di Roma
Epithelium	Jaringan epitel
Epsilon	Epsilon
Equation	Persamaan
Equator	Khatulistiwa
Equatorial Guinea	Guinea Khatulistiwa
Equatorial Guinea	Kategori:Guinea Khatulistiwa
Equidae	Equidae
Equisetum	Paku ekor kuda
Erasure	Erasure
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebus
Erectile dysfunction	Disfungsi ereksi
Erection	Ereksi
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	Eris (planet katai)
Eritrea	Kategori:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosion	Erosi
Erotica	Erotisme
Erwin Rommel	Erwin Rommel
Eschatology	Eskatologi
Escherichia coli	Escherichia coli
Esfahan	Kota Isfahan
Esophagus	Esofagus
Esperanto	Bahasa Esperanto
Espionage	Spionase
Espoo	Espoo
Espresso	Espresso
Essen	Essen, Nordrhein-Westfalen
Essential oil	Minyak atsiri
Essex	Essex
Ester	Ester
Estonia	Kategori:Estonia
Estrogen	Estrogen
Eta (letter)	Eta (huruf Yunani)
Etching	Etsa
Ethane	Etana
Ethanol	Etanol
Ethernet	Ethernet
Ethics	Etika
Ethics	Kategori:Etika
Ethiopia	Ethiopia
Ethiopia	Kategori:Ethiopia
Ethnic group	Suku bangsa
Ethology	Etologi
Ethylene	Etena
Etymology	Etimologi
Eucalyptus	Eukaliptus
Eucharist	Perjamuan Kudus
Euclid	Euklides
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukariota
Eunuch	Orang kasim
Euphemism	Eufemisme
Eurasia	Eurasia
Euro	Euro
Europa (moon)	Europa
Europe	Eropa
Europe	Kategori:Eropa
European Central Bank	Bank Sentral Eropa
European Community	Komunitas Eropa
European Union	Uni Eropa
European Union	Kategori:Uni Eropa
Europium	Europium
Eusebius of Caesarea	Eusebius dari Kaisaria
Euthanasia	Eutanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Penguapan
Even-toed ungulate	Hewan berkuku genap
Evolution	Evolusi
Excalibur	Excalibur
Excommunication	Ekskomunikasi
Executive (government)	Eksekutif
Existentialism	Eksistensialisme
Exodus	Kitab Keluaran
Explosion	Ledakan
Exponential function	Fungsi eksponensial
Exponentiation	Eksponen
Expressionism	Ekspresionisme
Extinction	Kepunahan
Eye	Mata
Eye	Kategori:Mata
Fabaceae	Fabaceae
Face	Wajah
Factorial	Faktorial
Factory	Pabrik
Fado	Fado
Fahrenheit	Fahrenheit
Fair use	Penggunaan wajar
Fairy	Peri
Falconiformes	Falconiformes
Falkland Islands	Kepulauan Falkland
Fallacy	Kesesatan
Fallopian tube	Tuba fallopi
Falun Gong	Falun Gong
Family	Kategori:Keluarga
Family (biology)	Familia
Family name	Marga
Far East	Timur Jauh
Faroe Islands	Kategori:Kepulauan Faroe
Fascism	Fasisme
Fascism	Kategori:Fasisme
Fashion	Kategori:Mode
Fashion	Mode
Fast food	Rumah makan siap saji
Fasting	Puasa
Fatah	Fatah
Fatty acid	Asam lemak
Fault (geology)	Sesar
Fauna	Fauna
Fauvism	Fauvisme
Feather	Bulu
February	Februari
February 12	12 Februari
February 14	14 Februari
February 2	2 Februari
February 22	22 Februari
February 29	29 Februari
February Revolution	Revolusi Februari
Feces	Tinja
Federal Bureau of Investigation	FBI
Federated States of Micronesia	Federasi Mikronesia
Federated States of Micronesia	Kategori:Federasi Mikronesia
Federation	Federasi
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Loloh balik
Felidae	Felidae
Felix Mendelssohn	Felix Mendelssohn
Feminism	Feminisme
Feminism	Kategori:Feminisme
Fencing	Anggar
Feng shui	Feng Shui
Fennel	Adas
Ferdinand Magellan	Fernando de Magelhaens
Fermentation (biochemistry)	Fermentasi
Fermentation (food)	Fermentasi
Fermion	Fermion
Fern	Tumbuhan paku
Ferry	Kapal feri
Fertilisation	Pembuahan
Fertilizer	Pupuk
Fetus	Janin
Fever	Demam
Fiat	Fiat
Fibonacci number	Bilangan Fibonacci
Fiction	Kategori:Fiksi
Fictional character	Tokoh fiktif
Fidel Castro	Fidel Castro
Field hockey	Hoki lapangan
Fighter aircraft	Pesawat tempur
Fiji	Fiji
Fiji	Kategori:Fiji
File Allocation Table	FAT
File Transfer Protocol	FTP
File system	Sistem berkas
Film	Kategori:Film
Film	Film
Film	Portal:Film
Film director	Sutradara
Fin Whale	Paus Sirip
Finance	Kategori:Keuangan
Finance	Keuangan
Finger	Jari
Fingerprint	Sidik jari
Finland	Finlandia
Finland	Kategori:Finlandia
Fire	Api
Firearm	Senjata api
Firefighter	Pemadam kebakaran
Firewall (networking)	Firewall
Firmware	Firmware
First Council of Nicaea	Konsili Nicea I
First Crusade	Perang Salib Pertama
First Epistle to the Corinthians	Surat Paulus yang Pertama kepada Jemaat di Korintus
First aid	Pertolongan Pertama Pada Kecelakaan
First language	Bahasa ibu
Fish	Ikan
Fish	Kategori:Ikan
Fishing	Memancing
Fishing	Kategori:Memancing
Fjord	Fyord
Flag	Bendera
Flagellum	Flagel
Flash memory	Memori flash
Flatulence	Kentut
Flea	Kutu
Flint	Rijang
Flip-flop (electronics)	Flip-flop
Flood	Banjir
Floppy disk	Disket
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategori:Florida
Flour	Tepung
Flower	Bunga
Flowering plant	Tumbuhan berbunga
Fluid	Fluida
Fluid mechanics	Mekanika fluida
Flute	Suling
Fog	Kabut
Folic acid	Asam folik
Folk music	Lagu daerah
Folklore	Kategori:Cerita rakyat
Food	Makanan
Food additive	Aditif makanan
Food and Agriculture Organization	Organisasi Pangan dan Pertanian
Food chain	Rantai makanan
Foot (unit of length)	Kaki (satuan panjang)
Football (soccer)	Sepak bola
Football (soccer)	Kategori:Sepak bola
Football (soccer) by country	Kategori:Sepak bola menurut negara
Football (soccer) clubs	Kategori:Tim sepak bola
Football (soccer) managers	Kategori:Pelatih sepak bola
Football (soccer) players	Kategori:Pemain sepak bola
Football (soccer) venues	Kategori:Stadion sepak bola
Forbidden City	Kota Terlarang
Force	Gaya
Forest	Hutan
Forestry	Kehutanan
Fork	Garpu
Form of government	Bentuk pemerintahan
Formaldehyde	Formaldehida
Formic acid	Asam format
Fort Worth	Fort Worth, Texas
Fortification	Benteng
Fortran	Fortran
Fossil	Fosil
Fossil fuel	Bahan bakar fosil
Fountain	Air mancur
Fox	Rubah
Fractal	Fraktal
Fraction (mathematics)	Pecahan
France	Perancis
France	Kategori:Perancis
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis of Assisi	Fransiskus dari Assisi
Franciscan	Fransiskan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Fransium
Franco-Prussian War	Perang Perancis-Prusia
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort, Kentucky
Frankfurt	Frankfurt am Main
