English	Turkish
rain	yağmur
rainbow	gök kuşağı
snow	kar
storm	fırtına
thunder	gök gürültüsü
wind	rüzgâr
acid	asit
chemical	kimyasal madde
chemical element	element
coal	kömür
cotton	toprak
dust	toz
earth	dünya
fat	yağ
glass	cam
glue	tutkal
grain	tane
ice	buz
iron	demir
leather	deri
liquid	sıvı
matter	madde
metallic element	metal
oil	petrol
poison	zehir
powder	toz
sand	kum
silk	ipek
soap	sabun
steel	çelik
wood	odun
wool	yün
bag	çanta
basket	sepet
bottle	şişe
box	kutu
can	kutu
cup	fincan
drawer	çekmece
envelope	zarf
glass	bardak
plate	tabak
bell	çan
button	düğme
gun	silâh
hammer	tokmak
hook	kanca
key	anahtar
lock	kilit
match	kibrit
nail	çivi
needle	iğne
pump	tulumba
rope	halat
scissors	makas
spring	yay
stamp	kaşe
whip	kamçı
addition	ekleme
angle	açı
area	alan
center	merkez
circle	çember
curve	eğri
degree	derece
degree	düzey
difference	fark
distance	mesafe
division	bölünme
edge	kenar
element	element
function	görev
half	yarı
limit	sınır
line	çizgi
net	ağ
outside	dış
percent	oran
point	nokta
purpose	amaç
result	sonuç
rule	kural
set	küme
side	kenar
square	kare
square	kare
substitution	değiştirim
surface	yüzey
total	miktar
ability	yetenek
act	davranış
action	iş
activity	canlılık
addition	yeni üye
amount	miktar
attack	saldırı
attempt	girişim
attitude	tutum
back	arka
behavior	tavır
bit	kırıntı
blow	vuruş
break	ara
campaign	sefer
case	dava
chance	fırsat
change	değişme
choice	seçme
condition	durum
connection	bağlayıcı
crack	çatlak
cut	kesik
damage	zarar
danger	tehlike
decoration	süs
defense	korunma
destruction	yok etme
dominance	denetim
drop	damla
duty	görev
effort	çaba
fall	çöküş
feature	özellik
fight	çarpışma
front	ön
hit	vuruş
hole	delik
increase	büyüme
increase	artma
internet	internet
jolt	şok
kick	tekme
kind	çeşit
knot	düğüm
list	liste
		majority	çoğunluk
matter	konu
mind	beyin
operation	yürürlük
opposite	tersi
outburst	kopma
part	kısım
part	kısım
piece	parça
place	yer
position	yer
power	güç
practice	uygulama
project	görev
property	özellik
quality	nitelik
quiet	huzur
responsibility	sorumluluk
rest	dinlenme
return	geri dönme
rise	çıkış
risk	tehlike
seat	yer
set	set
silence	sessizlik
situation	durum
slice	parça
state	durum
step	adım
stop	durma
taste	zevk
thing	şey
top	doruk
touch	dokunma
treatment	muamele
tremble	titreme
trick	oyun
type	çeşit
use	kullanım
way	metot
wear	yıpranma
whole	bütün
will	istek
wish	istek
art	sanat
artist	ressam
band	topluluk
brush	fırça
color	boya
concert	konser
design	taslak
diversity	çeşitlilik
entertainment	eğlenme
hit	bir numara
image	izlenim
ink	mürekkep
manner	biçim
movie	ince tabaka
museum	müze
music	müzik
note	perde
orchestra	orkestra
paint	boya
painting	yağlı boya resim
paper	kağıt
pen	tükenmez kalem
pencil	kurşun kalem
picture	görüntü
poem	şiir
poetry	şiir
rhythm	tempo
shape	form
singer	şarkıcı
song	şarkı
stage	sahne
style	tarz
vogue	moda
account	hesap
advantage	yarar
advertisement	reklâm
advice	öğüt
agreement	uzlaştırma
attention	dikkat
authority	yetki
banknote	banknot
bargain	pazarlık
brand	marka
business	dükkân
capital	kapital
change	bozukluk
cheque	çek
committee	komisyon
company	şirket
competition	rekabet
complaint	suçlama
contract	kontrat
copy	kopya
cost	maliyet
council	danışma kurulu
course	ders
customer	müşteri
demand	ihtiyaç
department	bölüm
difficulty	zorluk
director	yönetici
economy	ekonomi
environment	çevre
experience	tecrübe
firm	şirket
form	form
group	grup
help	yardım
holiday	tatil
income	gelir
industry	sanayi
insurance	sigorta
interest	faiz
invoice	taksit hesabı
job	iş
law	yasa
leave	izin
loss	zarar
management	emir
mark	işaret
market	pazar
material	malzeme
meeting	karşılaşma
money	para
occupation	meslek
offer	önerme
office	büro
officer	memur
operation	işlem
owner	sahip
package	paket
payment	ödeme
plan	plân
price	fiyat
problem	problem
product	ürün
profit	kâr
property	mal
rate	oran
rest	bakiye
reward	ödül
right	hak
sale	satış
section	bölüm
service	servis
share	hisse
shop	dükkân
show	gösteri
skill	ustalık
staff	personel
success	başarı
support	destek
table	tablo
tax	vergi
team	takım
trade	ticaret
value	değer
work	çalışma
worker	işçi
announcement	duyuru
answer	cevap
approval	uygun bulma
argument	sav
book	kitap
call	telefon etme
character	harf
controversy	tartışma
cry	bağırma
data	veri
decision	karar
dictionary	sözlük
discussion	tartışma
doubt	kuşku
experience	olay
feeling	duyarlık
humor	mizah yeteneği
idea	düşünce
information	bilgi
interest	ilgi
interview	görüşme
language	dil
language	dil
letter	harf
letter	mektup
lie	yalan
look	bakış
magazine	dergi
mail	posta
memory	bellek
memory	anı
mistake	hata
name	ad
newspaper	gazete
note	not
number	numara
opinion	görüş
page	sayfa
pronunciation	telâffuz
proposal	öneri
protest	protesto
question	soru
reaction	tepki
reason	neden
request	rica
sentence	cümle
speech	dil
spelling	heceleme
standard	ölçüt
statement	demeç
subject	konu
suggestion	öneri
voice	ses
word	kelime
writing	yazı
good day	iyi günler
good luck	iyi şanslar
hello	merhaba
how are you	nasılsınız? (formal), nasılsın? (informal)
many thanks	çok teşekkür ederim, çok teşekkürler
no	yok
thank you very much	çok teşekkürler, çok teşekkür ederim
yes	evet
Britain	Birleşik Krallık
China	Çin
Czech Republic	Çek Cumhuriyeti
France	Fransa Cumhuriyeti
Germany	Almanya Federal Cumhuriyeti
India	Hindistan Cumhuriyeti
Italy	İtalya
Japan	Japonya
Spain	İspanya Krallığı
United States of America	Amerika Birleşik Devletleri
camera	*fotoğraf makinası??
cellular phone	telsiz
clock	saat
computer	bilgisayar
elevator	asansör
engine	motor
instrument	alet
machine	makine
oven	fırın
watch	kol saati
class	sınıf
education	eğitim
education	eğitim
education	eğitim
examination	inceleme
grade	not
knowledge	bilme
student	öğrenci
teacher	öğretmen
training	eğitim
fear	korku
hate	nefret
love	aşk
pleasure	zevk
promise	umut
shock	şok
care	himaye
cold	nezle
cough	öksürme
disease	hastalık
doctor	doktor
health	sağlık
menstruation	âdet
nurse	hemşire
operation	operasyon
pain	ağrı
patient	hasta
stitch	dikiş
blade	ağız
chain	zincir
club	sopa
cover	kapak
feather	tüy
flag	bayrak
frame	çerçeve
handle	sap
menu	yemek listesi
nut	somun
pin	iğne
pipe	boru
postage	pul
present	hediye
sail	yelken
scroll	bukle
seed	tohum
stick	sopa
stone	taş
ticket	bilet
wheel	tekerlek
wire	tel
balance	denge
bulk	iri cüsse
charge	şarj
energy	enerji
light	ışık
mass	yığın
measurement	ölçüm
mirror	ayna
movement	hareket
pressure	baskı
process	süreç
size	büyüklük
sound	ses
steam	buhar
strength	güç
time	zaman
unit	bir
weight	ağırlık
boyfriend	erkek sevgili
date	randevu
guest	misafir
honey	sevgili
kiss	öpme
party	parti
sex	seks
smile	gülümseme
surprise	şaşkınlık
visit	ziyaret
alternative	seçenek
biology	biyoloji
cause	neden
chemistry	kimya
comparison	karşılaştırma
consequence	sonuç
control	kendine hâkim olma
discipline	disiplin
discovery	keşif
event	olay
evidence	kanıt
example	örnek
fact	gerçek
issue	konu
kernel	öz
method	metot
model	model
phase	aşama
procedure	işlem
production	gösteri
program	program
project	tasarı
range	alan
research	araştırma
research	soruşturma
science	ilim
society	toplum
system	sistem
technology	teknoloji
theory	kuram
trend	eğilim
trouble	dert
user	kullanıcı
army	ordu
base	ana madde
club	kulüp
company	arkadaşlık
contest	yarışma
country	ülke
court	mahkeme
crime	suç
culture	kültür
democracy	cumhuriyet
dominion	hâkimiyet
election	seçim
existence	var olma
government	yönetim
history	tarihçe
individual	birey
institution	kuruluş
king	kral
member	üye
nation	ulus
news	haber
noise	gürültü
order	emir
organization	kurum
pass	paso
passport	pasaport
peace	barış
people	halk
police	polis gücü
policy	politika
population	nüfus
public	nüfus
punishment	ceza
religion	inanç
religion	din
state	devlet
title	başlık
union	birleşme
will	istenç
will	vasiyetname
award	nişan
ball	top
baseball	beyzbol
bike	bisiklet
championship	şampiyona
competitor	yarışmacı
cup	kupa
football	futbol
game	oyun
goal	gol
goal	amaç
gold	altın
golf	golf
jump	atlama
match	av
player	oyuncu
record	rekor
silver	gümüş
tennis	tenis
throw	atma
win	galibiyet