Turkish	﻿English
erkek çocuk	boy
erkek kardeş	brother
kız evlât	daughter
ölüm	death
aile	family
baba	father
arkadaş	friend
genç kadın	girl
dede	grandfather
insan	human
koca	husband
ömür	life
adam	man
evlilik	marriage
anne	mother
komşu	neighbor
anne	parent
kimse	person
ilişki	relationship
kız kardeş	sister
erkek çocuk	son
düğün	wedding
evlenme	wedding
eş	wife
kadın	woman
adres	address
banyo	bathroom
yatak odası	bedroom
tuğla	brick
kapı	door
döşeme	floor
kat	floor
garaj	garage
bahçe	garden
kapı	gate
antre	hall
yuva	home
ev	house
mutfak	kitchen
çatı	roof
oda	room
duş	shower
basamak	step
tuvalet	toilet
duvar	wall
kuyu	well
pencere	window
yatak	bed
halı	carpet
sandalye	chair
gömme dolap	cupboard
perde	curtain
masa	desk
mobilya	furniture
raf	shelf
eviye	sink
masa	table
torba	bag
bot	boot
kumaş	cloth
giysi	clothing
palto	coat
yaka	collar
şapka	hat
ceket	jacket
mücevher	jewel
yüzük	ring
gömlek	shirt
ayakkabı	shoe
etek	skirt
çorap	sock
bavul	suitcase
kravat	tie
hava	air
hayvan	animal
dal	branch
gelişim	evolution
çiftlik	farm
tarla	field
alev	fire
çiçek	flower
koru	forest
ot	grass
yaprak	leaf
yaşam	life
yıldırım	lightning
nem	moisture
doğa	nature
bitki	plant
kök	root
cinsiyet	sex
gökyüzü	sky
uyku	sleep
koku	smell
duman	smoke
kaynak	spring
sap	stem
akıntı	stream
ağaç	tree
dalga	wave
hava	weather
dünya	world
havaalanı	airport
banka	bank
köprü	bridge
bina	building
başkent	capital
şato	castle
kilise	church
sinema	cinema
şehir	city
fabrika	factory
daire	flat
hastane	hospital
otel	hotel
kütüphane	library
park	park
lokanta	restaurant
yol	road
okul	school
istasyon	station
sokak	street
inşa	structure
metro	subway
süpermarket	supermarket
tiyatro	theater
kasaba	town
üniversite	university
köy	village
kaza	accident
kayık	boat
otobüs	bus
otomobil	car
kavis	curve
hızlı	express
uçuş	flight
yolculuk	journey
yolcu	passenger
uçak	plane
gemi	ship
ray	track
tren	train
taşıma	transport
aktör	actor
aktris	actress
uzman	expert
general	general
gazeteci	journalist
hâkim	judge
başkan	leader
bakan	minister
müzisyen	musician
fotoğrafçı	photographer
pilot	pilot
polis memuru	policeman
politikacı	politician
cumhurbaşkanı	president
profesyonel	professional
temsilci	representative
gemici	sailor
sekreter	secretary
hizmetçi	servant
asker	soldier
yazar	writer
kıyı	bank
kumsal	beach
akıntı	current
yön	direction
Dünya	Earth
doğu	east
yükseklik	height
tepe	hill
ada	island
göl	lake
kara	land
harita	map
Ay	Moon
kuzey	north
ova	plain
nehir	river
deniz	sea
güney	south
uzay	space
yıldız	star
güneş	sun
batı	west
bulut	cloud
çiğ	dew
sis	fog
kırağı	frost
yağmur	rain
gök kuşağı	rainbow
kar	snow
fırtına	storm
gök gürültüsü	thunder
rüzgâr	wind
asit	acid
kimyasal madde	chemical
element element	chemical
kömür	coal
toprak	cotton
toz	dust
dünya	earth
yağ	fat
cam	glass
tutkal	glue
tane	grain
buz	ice
demir	iron
deri	leather
sıvı	liquid
madde	matter
element metal	metallic
petrol	oil
zehir	poison
toz	powder
kum	sand
ipek	silk
sabun	soap
çelik	steel
odun	wood
yün	wool
çanta	bag
sepet	basket
şişe	bottle
kutu	box
kutu	can
fincan	cup
çekmece	drawer
zarf	envelope
bardak	glass
tabak	plate
çan	bell
düğme	button
silâh	gun
tokmak	hammer
kanca	hook
anahtar	key
kilit	lock
kibrit	match
çivi	nail
iğne	needle
tulumba	pump
halat	rope
makas	scissors
yay	spring
kaşe	stamp
kamçı	whip
ekleme	addition
açı	angle
alan	area
merkez	center
çember	circle
eğri	curve
derece	degree
düzey	degree
fark	difference
mesafe	distance
bölünme	division
kenar	edge
element	element
görev	function
yarı	half
sınır	limit
çizgi	line
ağ	net
dış	outside
oran	percent
nokta	point
amaç	purpose
sonuç	result
kural	rule
küme	set
kenar	side
kare	square
kare	square
değiştirim	substitution
yüzey	surface
miktar	total
yetenek	ability
davranış	act
iş	action
canlılık	activity
yeni üye	addition
miktar	amount
saldırı	attack
girişim	attempt
tutum	attitude
arka	back
tavır	behavior
kırıntı	bit
vuruş	blow
ara	break
sefer	campaign
dava	case
fırsat	chance
değişme	change
seçme	choice
durum	condition
bağlayıcı	connection
çatlak	crack
kesik	cut
zarar	damage
tehlike	danger
süs	decoration
korunma	defense
yok etme	destruction
denetim	dominance
damla	drop
görev	duty
çaba	effort
çöküş	fall
özellik	feature
çarpışma	fight
ön	front
vuruş	hit
delik	hole
büyüme	increase
artma	increase
internet	internet
şok	jolt
tekme	kick
çeşit	kind
düğüm	knot
liste	list
çoğunluk	majority
konu	matter
beyin	mind
yürürlük	operation
tersi	opposite
kopma	outburst
kısım	part
kısım	part
parça	piece
yer	place
yer	position
güç	power
uygulama	practice
görev	project
özellik	property
nitelik	quality
huzur	quiet
sorumluluk	responsibility
dinlenme	rest
geri dönme	return
çıkış	rise
tehlike	risk
yer	seat
set	set
sessizlik	silence
durum	situation
parça	slice
durum	state
adım	step
durma	stop
zevk	taste
şey	thing
doruk	top
dokunma	touch
muamele	treatment
titreme	tremble
oyun	trick
çeşit	type
kullanım	use
metot	way
yıpranma	wear
bütün	whole
istek	will
istek	wish
sanat	art
ressam	artist
topluluk	band
fırça	brush
boya	color
konser	concert
taslak	design
çeşitlilik	diversity
eğlenme	entertainment
bir numara	hit
izlenim	image
mürekkep	ink
biçim	manner
ince tabaka	movie
müze	museum
müzik	music
perde	note
orkestra	orchestra
boya	paint
yağlı boya resim	painting
kağıt	paper
tükenmez kalem	pen
kurşun kalem	pencil
görüntü	picture
şiir	poem
şiir	poetry
tempo	rhythm
form	shape
şarkıcı	singer
şarkı	song
sahne	stage
tarz	style
moda	vogue
hesap	account
yarar	advantage
reklâm	advertisement
öğüt	advice
uzlaştırma	agreement
dikkat	attention
yetki	authority
banknot	banknote
pazarlık	bargain
marka	brand
dükkân	business
kapital	capital
bozukluk	change
çek	cheque
komisyon	committee
şirket	company
rekabet	competition
suçlama	complaint
kontrat	contract
kopya	copy
maliyet	cost
danışma kurulu	council
ders	course
müşteri	customer
ihtiyaç	demand
bölüm	department
zorluk	difficulty
yönetici	director
ekonomi	economy
çevre	environment
tecrübe	experience
şirket	firm
form	form
grup	group
yardım	help
tatil	holiday
gelir	income
sanayi	industry
sigorta	insurance
faiz	interest
taksit hesabı	invoice
iş	job
yasa	law
izin	leave
zarar	loss
emir	management
işaret	mark
pazar	market
malzeme	material
karşılaşma	meeting
para	money
meslek	occupation
önerme	offer
büro	office
memur	officer
işlem	operation
sahip	owner
paket	package
ödeme	payment
plân	plan
fiyat	price
problem	problem
ürün	product
kâr	profit
mal	property
oran	rate
bakiye	rest
ödül	reward
hak	right
satış	sale
bölüm	section
servis	service
hisse	share
dükkân	shop
gösteri	show
ustalık	skill
personel	staff
başarı	success
destek	support
tablo	table
vergi	tax
takım	team
ticaret	trade
değer	value
çalışma	work
işçi	worker
duyuru	announcement
cevap	answer
uygun bulma	approval
sav	argument
kitap	book
telefon etme	call
harf	character
tartışma	controversy
bağırma	cry
veri	data
karar	decision
sözlük	dictionary
tartışma	discussion
kuşku	doubt
olay	experience
duyarlık	feeling
mizah yeteneği	humor
düşünce	idea
bilgi	information
ilgi	interest
görüşme	interview
dil	language
dil	language
harf	letter
mektup	letter
yalan	lie
bakış	look
dergi	magazine
posta	mail
bellek	memory
anı	memory
hata	mistake
ad	name
gazete	newspaper
not	note
numara	number
görüş	opinion
sayfa	page
telâffuz	pronunciation
öneri	proposal
protesto	protest
soru	question
tepki	reaction
neden	reason
rica	request
cümle	sentence
dil	speech
heceleme	spelling
ölçüt	standard
demeç	statement
konu	subject
öneri	suggestion
ses	voice
kelime	word
yazı	writing
day iyi günler	good
luck iyi şanslar	good
merhaba	hello
are you nasılsınız? (formal), nasılsın? (informal)	how
thanks çok teşekkür ederim, çok teşekkürler	many
yok	no
you very much çok teşekkürler, çok teşekkür ederim	thank
evet	yes
Birleşik Krallık	Britain
Çin	China
Republic Çek Cumhuriyeti	Czech
Fransa Cumhuriyeti	France
Almanya Federal Cumhuriyeti	Germany
Hindistan Cumhuriyeti	India
İtalya	Italy
Japonya	Japan
İspanya Krallığı	Spain
States of America Amerika Birleşik Devletleri	United
*fotoğraf makinası??	camera
phone telsiz	cellular
saat	clock
bilgisayar	computer
asansör	elevator
motor	engine
alet	instrument
makine	machine
fırın	oven
kol saati	watch
sınıf	class
eğitim	education
eğitim	education
eğitim	education
inceleme	examination
not	grade
bilme	knowledge
öğrenci	student
öğretmen	teacher
eğitim	training
korku	fear
nefret	hate
aşk	love
zevk	pleasure
umut	promise
şok	shock
himaye	care
nezle	cold
öksürme	cough
hastalık	disease
doktor	doctor
sağlık	health
âdet	menstruation
hemşire	nurse
operasyon	operation
ağrı	pain
hasta	patient
dikiş	stitch
ağız	blade
zincir	chain
sopa	club
kapak	cover
tüy	feather
bayrak	flag
çerçeve	frame
sap	handle
yemek listesi	menu
somun	nut
iğne	pin
boru	pipe
pul	postage
hediye	present
yelken	sail
bukle	scroll
tohum	seed
sopa	stick
taş	stone
bilet	ticket
tekerlek	wheel
tel	wire
denge	balance
iri cüsse	bulk
şarj	charge
enerji	energy
ışık	light
yığın	mass
ölçüm	measurement
ayna	mirror
hareket	movement
baskı	pressure
süreç	process
büyüklük	size
ses	sound
buhar	steam
güç	strength
zaman	time
bir	unit
ağırlık	weight
erkek sevgili	boyfriend
randevu	date
misafir	guest
sevgili	honey
öpme	kiss
parti	party
seks	sex
gülümseme	smile
şaşkınlık	surprise
ziyaret	visit
seçenek	alternative
biyoloji	biology
neden	cause
kimya	chemistry
karşılaştırma	comparison
sonuç	consequence
kendine hâkim olma	control
disiplin	discipline
keşif	discovery
olay	event
kanıt	evidence
örnek	example
gerçek	fact
konu	issue
öz	kernel
metot	method
model	model
aşama	phase
işlem	procedure
gösteri	production
program	program
tasarı	project
alan	range
araştırma	research
soruşturma	research
ilim	science
toplum	society
sistem	system
teknoloji	technology
kuram	theory
eğilim	trend
dert	trouble
kullanıcı	user
ordu	army
ana madde	base
kulüp	club
arkadaşlık	company
yarışma	contest
ülke	country
mahkeme	court
suç	crime
kültür	culture
cumhuriyet	democracy
hâkimiyet	dominion
seçim	election
var olma	existence
yönetim	government
tarihçe	history
birey	individual
kuruluş	institution
kral	king
üye	member
ulus	nation
haber	news
gürültü	noise
emir	order
kurum	organization
paso	pass
pasaport	passport
barış	peace
halk	people
polis gücü	police
politika	policy
nüfus	population
nüfus	public
ceza	punishment
inanç	religion
din	religion
devlet	state
başlık	title
birleşme	union
istenç	will
vasiyetname	will
nişan	award
top	ball
beyzbol	baseball
bisiklet	bike
şampiyona	championship
yarışmacı	competitor
kupa	cup
futbol	football
oyun	game
gol	goal
amaç	goal
altın	gold
golf	golf
atlama	jump
av	match
oyuncu	player
rekor	record
gümüş	silver
tenis	tennis
atma	throw
