Lithuanian	English
Pakistanas	Pakistan ; Islamic Republic of Pakistan
Panama	Panama
Papua Naujoji Gvinėja	Papua New Guinea
Kinijos Liaudies Respublika	People's Republic of China ; China
Peru	Peru ; Republic of Peru
Lenkija	Poland
Portugalija	Portugal
Puerto Rikas	Puerto Rico
Pyro pergalė	Pyrrhic victory
Kataras	Qatar
Kongo Respublika	Republic of the Congo ; Congo-Brazzaville
Rumunija	Romania
Sen Pjeras ir Mikelonas	Saint-Pierre and Miquelon
Sachalinas	Sakhalin ; Saghalien
Saudo Arabija	Saudi Arabia ; Kingdom of Saudi Arabia
Sena	Seine
Senegalas	Senegal
Serbija	Serbia
Šri Lanka	Sri Lanka
Sudanas	Sudan
Karalius Saulė	Sun King
Surinamas	Suriname
Švedija	Sweden
Šveicarija	Switzerland
Tadžikija	Tajikistan
Tanzanija	Tanzania
Teheranas	Tehran
Tenesis	Tennessee
Tailandas	Thailand
Tiuringija	Thuringia
Togas	Togo
Tonga	Tonga
Turkija	Turkey
Uganda	Uganda ; Republic of Uganda
Jungtinė Karalystė	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Uranas	Uranus
Juta	Utah
Vaducas	Vaduz
Vatikanas	Vatican City ; The Holy See ; State of the Vatican City
Venesuela	Venezuela
Venecija	Venice
Venera	Venus
Volis ir Futūna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
Vikipedija	Wikipedia
Vikižodynas	Wiktionary
Vajomingas	Wyoming
Zambija	Zambia ; Republic of Zambia
Zanzibaras	Zanzibar
Zimbabvė	Zimbabwe ; Republic of Zimbabwe
priblokštas	aback
pažeminimas	abasement
nepavykęs	abortive
trumpinti	abridge
buhalterija	accountancy
aštrus	acrid
aktinis	actinium
sudėtis	addition
iki	adieu ; bye ; cheerio ; farewell ; good day ; goodbye
antena	aerial
amžius	age
užpuolėjas	aggressor ; assailant ; attacker ; assaulter
oro paštas	airmail
žadintuvas	alarm clock
alchemija	alchemy
alkoholizmas	alcoholism
algoritmas	algorithm
alibi	alibi
alegorija	allegory
lydinys	alloy
almanachas	almanac
aliuminis	aluminium
gintaras	amber
americis	americium
ametistas	amethyst
anakonda	anaconda
anarchizmas	anarchism
inkaras	anchor
gyvulys	animal
anime	anime
skruzdėlė	ant
atrasti	anthropology
stibis	antimony
apoptozė	apoptosis
obelis	apple ; apple tree
vertinti	appreciate
abrikosas	apricot
akvamarinas	aquamarine
akvariumas	aquarium
archeologinis	archaeological
argonas	argon
aristokratija	aristocracy
arsenalas	armoury
pažastis	armpit
atvykimas	arrival
strėlės antgalis	arrowhead
arsenas	arsenic
padegimas	arson
gudrus	artful
artritas	arthritis
asbestas	asbestos
viršenybė	ascendancy
kopimas	ascent
šlaitas	ascent
sužinoti	ascertain
asketas	ascetic
susigėdęs	ashamed
papilkėjęs	ashen
ant kranto	ashore
peleninė	ashtray
miegantis	asleep
šparagas	asparagus
asfaltas	asphalt
siekis	aspiration
aspirinas	aspirin
žudikas	assassin ; assassinator
surinkti	assemble ; get together ; gather
sutikimas	assent
sutikti	assent
tvirtinti	assert
reikalauti	assert
atkaklus	assertive
paskirti	assign
užduotis	assignment
įsisavinti	assimilate
asistuoti	assist
įvairus	assorted
astatis	astatine
žvaigždutė	asterisk
astenosfera	asthenosphere
nustebinti	astonish
stebinantis	astonishing
nustebimas	astonishment
priblokšti	astound
pritrenkiantis	astounding
apžergus	astride
išsižergęs	astride
astrologija	astrology ; star divination
astrometrija	astrometry
astrofizika	astrophysics
atolas	atoll
patrauklus	atractive
žiaurenybė	atrocity
prisirišęs	attached
prisirišimas	attachment
pasiekti	attain
prižiūrėti	attend
dalyvauti	attend
klausyti	attend
spręsti	attend
prižiūrėtojas	attendant
dėmesingas	attentive
palėpė	attic
apdaras	attire
aprengti	attire
poza	attitude
traukti	attract
drąsus	audacious
didėti	augment
žadantis sėkmę	auspicious
autoritarinis	authoritarian
autoritetingas	authoritative
autorystė	authorship
autokratija	autocracy
skrodimas	autopsy
galimas	available
išvengti	avert
nukreipti	avert
paukštynas	aviary
trokštantis	avid
nuostaba	awe
truputį	awhile
rūkytas	bacon
badmintonas	badminton
kepėjas	baker
kepimo milteliai	baking powder
baladė	ballad
šokių salė	ballroom
bananas	banana
baris	barium
barometras	barometer
baronas	baron
pagrindas	basement
bẽbras	beaver
bitiniai	bee
avilys	beehive
alus	beer
berklis	berkelium
berilis	beryllium ; glucinium
gėrimas	beverage ; drink
dviratis	bicycle ; bike ; cycle
dvinarė žvaigždė	binary star
biochemija	biochemistry
gimdymas	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
vyskupas	bishop
bismutas	bismuth
blog	blog ; weblog ; web log
mėlynas	blue
boris	bohrium
boras	boron
bromas	bromine
kamanė	bumblebee
biurokratija	bureaucracy
mėsininkas	butcher
varputė	button ; clit ; clitoris
kadmis	cadmium
cezis	caesium
kofeinas	caffeine
kalcis	calcium
View lemma information ; kalendorius	calendar
kalifornis	californium
kaligrafija	calligraphy
kamufliažas	camouflage
žvakė	candle
anglis	carbon
salieras	celery
ceris	cerium
šampanas	champagne
skyrius	chapter
vaistinė	chemist's ; chemist's shop ; pharmacy
vyšnia	cherry
šimpanzė	chimpanzee
burundukai	chipmunk
chloras	chlorine
chlorozė	chlorosis
cholesterolis	cholesterol
chromas	chromium
debesis	cloud
kobaltas	cobalt
voratinklis	cobweb
tarakonas	cockroach
kalva	colina ; hill ; loma
kometa	comet
komunizmas	communism
varis	copper
nusikaltimas	crime
kryžiažodis	crossword
krucifiksas	crucifix
kristalas	crystal
kiuris	curium
kiaulpienė	dandelion
darmštatis	darmstadtium
apakinti	dazzle
mirties bausmė	death penalty ; capital punishment ; death sentence
defliacija	deflation
demokratija	democracy
dendrochronologija	dendrochronology ; tree-ring dating
daontis ; dantų gydytojas	dentist
lošimo kauliukas	dice ; die ; die ; die
žodynas	dictionary
sudėtingas	difficult
vyskupija	diocese ; diocese
šuo	dog
lėlė	doll
delfinas	dolphin
gerti	drink ; gulp ; quaff ; sip
būgnas	drum kit
dubnis	dubnium
antis	duck
disprozis	dysprosium
ausis	ear
žemės drebėjimas	earthquake
valgyti	eat
valgomas	edible
pastanga	effort ; exertion
einšteinis	einsteinium
šeivamedis	elder ; elderberry
epilepsija	epilepsy
pusiaujas	equator
erbis	erbium
etika	ethics
etnografija	ethnography
europis	europium
akis	eye
antakis	eyebrow
tėvas	father
fermis	fermium
gaisrininkas	firefighter ; fireman ; firewoman ; fire fighter ; fire-eater
titnagas	flint ; flintstone
fluoras	fluorine
fleita	flute
šakutė	fork
francis	francium
apgaulė	fraud
gadolinis	gadolinium
tulžies pūslė	gallbladder
galis	gallium
garažas	garage
sodininkas	gardener
generolas	general
germanis	germanium
geizeris	geyser
žirafa	giraffe
liauka	gland
glikolizė	glycolysis
auksas	gold
gonorėja	gonorrhea
žąsis	goose
granitas	granite
vynuogė	grape
jūrų kiaulytė	guinea pig
kiras	gull
hematologija	haematology
kraujavimas	haemorrhage ; bleeding
hafnis	hafnium
nosinė	handkerchief
hasis	hassium
ežys	hedgehog
sraigtasparnis	helicopter
helis	helium
čia	here
heroinas	heroin
garnys	heron
istoriografija	historiography
atostogos	holiday ; opor-garai
holmis	holmium
namas	home ; home ; house
savireguliacija	homeostasis
medus	honey
supykti ; viltis	hope
Horizontas	horizon
hormonas	hormone
arklys	horse
valanda	hour
girtuoklė ; vaivoras	huckleberry ; blueberry
vandenilis	hydrogen
hiena	hyena
ledas	ice
ledkalnis	iceberg
ideologija	ideology
nepriklausomybė	independence
indis	indium
infekcija	infection
infekcinė liga	infectious disease ; communicable diseases
infliacija	inflation
gripas	influenza ; flu
kiltis	instep
jodas	iodine
iridis	iridium
geležis	iron
jaguaras	jaguar
džiazas	jazz
dziudo	judo
virdulys	kettle
kilogramas	kilogram
žirgas	knight ; knight
kriptonas	krypton
lantanas	lanthanum
laurencis	lawrencium
švinas	lead
lęšis	lens
leopardas	leopard
liberalizmas	liberalism
biblioteka	library
klintis	limestone
skystis	liquid
litis	lithium
kepenys	liver
skėrys	locust
logika	logic
loterija	lottery
lutecis	lutetium
liuksas	lux
lūšis	lynx
magnis	magnesium
manganas	manganese
kumelė	mare
sterbliniai	marsupial
mūrininkas	mason ; bricklayer ; stonemason
masė	mass
mauzoliejus	mausoleum
meitneris	meitnerium
melodija	melody ; tune
mendelevis	mendelevium
menora	menorah
gyvsidabris	mercury
metafora	metaphor
metafizika	metaphysics
metanolis	methanol
pienas	milk
mineralogija	mineralogy
mini sijonas	miniskirt ; mini-skirt
nepilnametis	minor
minutė	minute
mitozė	mitosis
molibdenas	molybdenum
morfinas	morphine
muziejus	museum
paslaptingas	mysterious
nadyras	nadir
servetėlė	napkin
nekrozė	necrosis
neodimis	neodymium
neonas	neon
neptūnas	neptunium
neurologija	neurology
nikelis	nickel
niobis	niobium
azotas	nitrogen
nobelis	nobelium
nata	note
klausyti	obey
oktava	octave
valstybinė kalba ; oficiali kalba	official language
oligarchija	oligarchy
oligopolija	oligopoly
svogūnas	onion
ontologija	ontology
opera	opera
oftalmologija	ophthalmology
našlaitis	orphan
osmis	osmium
strutis	ostrich
kiaušidė	ovary
deguonis	oxygen
austrė	oyster
pediatras	paediatrician
paladis	palladium
kasa	pancreas
papūga	parrot
kriaušė	pear
pingvinas	penguin
tarpvietė	perineum
periodinė elementų lentelė	periodic table
pesimizmas	pessmism
fazanas	pheasant
filologija	philology
fosforas	phosphorus
fiziologija	physiology
karvelis	pigeon ; dove
pušis	pino ; pine
hipofizė	pituitary gland
placenta	placenta
platina	platinum
plutonis	plutonium ; plutonium ; plutonium
baltasis lokys	polar bear
polonis	polonium
pozitronas	positron
kalis	potassium
bulvė	potato ; patato
prazeodomis	praseodymium
prelatas	prelate
pirminis skaičius	prime number ; prime
problema	problem
prometis	promethium
prostata	prostate
protaktinis	protactinium
viešasis transportas	public transport
triušis	rabbit
radis	radium
radonas	radon
referendum	referendum ; plebiscite
šaldytuvas	refrigerator ; fridge
renesansas	renaissance
renis	rhenium
rodis ; rodis ; rodis ; rodis ; rodis ; rodis ; rodis ; rodis	rhodium
rentgenis	roentgenium
rubidis	rubidium
rubinas	ruby
rutenis	ruthenium
ruterfordis	rutherfordium
sahara	sahara
lašisa	salmon
samaris	samarium
safyras	sapphire
skandis	scandium
mokslininkas	scientist
atsuktuvas	screwdriver
syborgis	seaborgium
selenas	selenium
serveris	server
seksologija	sexology
avis	sheep
piemuo	shepherd
batas	shoe
silicis	silicon
sidabras	silver
skersti	slaughter
skerdykla	slaughter-house
skerdykla	slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles
tapkės	slipper
raupai	smallpox
šypsena	smile
natris	sodium
sfinksas	sphinx
voras	spider
špinatas	spinach
blužnis	spleen
audra ; vėtra	storm ; tempest
stroncis	strontium
siera	sulphur
sieros dioksidas	sulphur dioxide
supernova	supernova
chirurgija	surgery
saldus	sweet
kardas	sword
Simfonija ; simfonija	symphony
synagoge	synagogue
stalas	table
siuvėjas	tailor
tantalas	tantalum
mokytojas ; dėstytojas	teacher
technecis	technetium
telūras	tellurium
terbis	terbium
testosteronas	testosterone
talis	thallium
teologija	theology
troškulys	thirst
toris	thorium
tulis	thulium
skydliaukė	thyroid
laiko juosta	timezone
alavas	tin
titanas	titanium
tabakas	tobacco
rytojus	tomorrow
topologija	topology
traukinys	train
vertimas	translation
medis	tree
troleibusas	trolley bus ; trolleybus
trombonas	trombone
tundra	tundra
volframas	tungsten
kalakutas	turkey
dvyniai	twin
universitetas ; universitetas	university ; university ; academy
uranas	uranium
įmantrus	valuable
vanadis	vanadium
daržovė	vegetable
vėplys	walrus
vapsva	wasp
vanduo	water
voratinklis	web ; spider web
savaitgalis	weekend
banginis	whale
baltas	white
viki	wiki
langas	window
vynas	wine
vilkas	wolf
žodis	word
pasauliniai karai	world war
ksenonas	xenon
jakas	yak
iterbis	ytterbium
itris	yttrium
cinkas	zinc
cirkonis	zirconium
Alandų salos	Åland Islands
