Romanian	English
stomatologie	dentistry
diaree	diarrhea
jurnal	diary
dicţionar	dictionary
greu	difficult
reducere	discount
divorţ ; despărţire	divorce
face	do
câine	dog
delfin	dolphin
donaţie	donation
donare	donation
uşă	door
rochie	dress
bea	drink ; gulp ; quaff ; sip
apă potabilă	drinking water
dromader	dromedary
baterie	drum kit
alcoolic	drunk ; drunkard ; boozer
dubniu	dubnium
raţă ; răţoi	duck
disprosiu	dysprosium
ureche	ear
cutremur	earthquake
efort	effort ; exertion
einsteiniu	einsteinium
cot	elbow
electrotehnică	electrical engineering
electricitatea şi magnetismul	electromagnetism
urgenţă	emergency
vid	empty
antreprenor	entrepreneur
epigramă	epigram
ecuaţie	equation
ecuator	equator
erbiu	erbium
etică	ethics
europiu	europium
verdugo	executioner
explozie	explosion
ochi	eye
sprânceană	eyebrow
uşurinţă	facility
foamete	famine
obez	fat ; obese
deget	finger
fluor	fluorine
vad	ford
furculiţă	fork
fosilă	fossil
fractură	fracture
franciu	francium
libertate	freedom ; liberty
pilă de combustie	fuel cell
cheio	full
gadoliniu	gadolinium
galiu	gallium
grădinar	gardener
gaz	gas
genealogie	genealogy
genom	genome
germaniu	germanium
girafă	giraffe
glandă	gland
glaucom	glaucoma
aur	gold
gâscă	goose
gorilă	gorilla
guvernator	governor
nepot	grandson
granit	granite
stugure	grape
graviton	graviton
pescăruş	gull
hematologie	haematology
hafniu	hafnium
haiku	haiku
coafor	hairdresser ; barber
batistă	handkerchief
păgân	heathen ; infidel ; pagan
arici	hedgehog
hedonism	hedonism
elicopter	helicopter
heliu	helium
istoriografie	historiography
casă	home ; home ; house
miere	honey
speranţă ; nădejde	hope
horizonte	horizon
hormon	hormone
cal	horse
oră ; ceas	hour
afina	huckleberry ; blueberry
foame	hunger ; hunger ; hunger
hidrogen	hydrogen
independenta	independence
indiu	indium
boală infecţioasă	infectious disease ; communicable diseases
gripă	influenza ; flu
scobitură	instep
instrument muzical	instrument ; musical instrument
iod	iodine
iridiu	iridium
fier	iron
şacal	jackal
jazz	jazz
jurnalism	journalism
judo	judo
tastatură ; claviatură	keyboard
kripton	krypton
lantan	lanthanum
plumb	lead
picior	leg
lămâie	lemon
liberalism	liberalism
biblioteca	library
lingvistică	linguistics
lichid	liquid
litiu	lithium
deget mic	little finger ; pinkie
ficat	liver
lăcustă	locust
loterie	lottery
pădurar	lumberjack
prânz ; prânz ; prânz ; prânz ; prânz	lunch ; lunch ; lunch ; lunch ; luncheon
plămân	lung
luteţiu	lutetium
linx	lynx
mitralieră	machine gun
macrou	mackerel
magneziu	magnesium
malarie ; paludism	malaria
mangan	manganese
marsupiale	marsupial
zidar	mason ; bricklayer ; stonemason
masă	mass
melodie	melody ; tune
mendeleviu	mendelevium
menoră	menorah
mercur	mercury
metafizică	metaphysics
meteori ; meteori ; meteori ; meteori ; meteori	meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star
meteorit	meteorite
microfon	microphone
lapte	milk
mei	millet
minijupă	miniskirt ; mini-skirt
minor	minor
mistral	mistral
dinte	molar ; tooth
molibden	molybdenum
morfină	morphine
moschee	mosque
soacră	mother-in-law ; mother in law
maternitate	motherhood ; maternity
maus	mouse
muzeu	museum
muzică	music
tantar	musquito ; mosquito
misterios	mysterious
nadir	nadir
scutec	nappy
vecin	neighbour ; vecino
neodim	neodymium
neologism	neologism
neon	neon
neptuniu	neptunium
nichel	nickel
niobiu	niobium
azot	nitrogen
nobeliu	nobelium
nimic	nothing
substantiv	noun ; substantive
roman	novel
a se supune	obey
învechit	obsolete
obstacol	obstacle ; obstruction
limbă oficială	official language
oligarhie	oligarchy
oligopol	oligopoly
olivă ; măslină	olive
oncologie	oncology
ceapă	onion
ontologie	ontology
opiu	opium
optimism	optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism
orchestră	orchestra
orhidee	orchid
orfan	orphan
osmiu	osmium
struţ	ostrich
oxigen	oxygen
pacifist	pacifist
paladiu	palladium
palmier	palm
palmă	palm
pancreas	pancreas
parasuta	parachute
pară	pear
pinguin	penguin
peninsulă	peninsula
tabelul periodic al elementelor	periodic table
persoană	person
petiţie	petition
benzină	petrol
fazan	pheasant
phishing	phishing
fobie	phobia
telefon	phone ; telephone
fosfor	phosphorus
fiziologie	physiology
porumbel	pigeon ; dove
pin	pino ; pine
compasiune	pity ; compassion
loc	place ; location
platină	platinum
plug	plough
plutoniu	plutonium ; plutonium ; plutonium
cadou	poison
poloniu	polonium
rodie	pomegranate
porcelan	porcelain
posesiune	possession
posteritate	posterity
factor poştal	postman
potasiu	potassium
artof ; cartof	potato ; patato
putere	power (physics) ; power
praseodim	praseodymium
graviditate	pregnancy
prelat	prelate
număr prim	prime number ; prime
prinţ	prince
prizonier de război	prisoner of war ; POW ; PoW ; PW
problemă	problem
promeţiu	promethium
pronunţie	pronunciation
protactiniu	protactinium
zicală ; proverb	proverb ; saying ; maxim
lovitură de stat	putsch ; coup d'état
regină	queen
întrebare	question
iepure	rabbit
radiu	radium
curcubeu	rainbow
referendum	referendum ; plebiscite
ren	reindeer
renaşterea	renaissance
reniu	rhenium
rodiu	rhodium
orez	rice
roentgeniu	roentgenium
acoperiş	roof ; roof ; roof
rubidiu	rubidium
rubin	ruby
ruteniu	ruthenium
rutherfordiu	rutherfordium
sacrificiu	sacrifice
velier	sailing ship
salariu	salary
somon	salmon
samariu	samarium
safir	sapphire
saxofon	saxophone
scandiu	scandium
şurub	screw
şurubelniţă	screwdriver
secret	secret
server	server
sextant	sextant
rechin	shark
oaie	sheep
păstor ; cioban	shepherd
siliciu	silicon
mătase	silk
argint	silver
craniu	skull
a tăia	slaughter
variolă	smallpox
zâmbet	smile
sociolingvistica	sociolinguistics ; sociology of language
sodiu	sodium
Sfinx	sphinx
păianjen	spider
stea	star
furtună ; vijelie	storm ; tempest
povestire	story
ciudat	strange ; odd
căpşună	strawberry
stronţiu	strontium
sulf	sulphur
supermagazin	supermarket
chirurg	surgeon
masă	table
mormoloc	tadpole ; polliwog
preluare	takeover
tantal	tantalum
ceai	tea
tehnetziu	technetium
televiziune	television
zece	ten
terbiu	terbium
terorism	terrorism
taliu	thallium
teologie	theology
termodinamică	thermodynamics
sete	thirst
deget mare	thumb
tunet	thunder
fus orar	timezone
staniu	tin
titan	titanium
tomată	tomato
mâine	tomorrow
tren	train
traduce	translate ; interpret
traducere	translation
arbore	tree
triunghi	triangle
troleibuz	trolley bus ; trolleybus
pantaloni	trousers
trompetă	trumpet
lalea	tulip
ton	tunafish
tundră	tundra
tungsten	tungsten
curcan	turkey
geamăn	twin
universitate ; universitate	university ; university ; academy
ununseptiu	ununseptium
uraniu	uranium
uzurpa	usurp
aspirator	vacuum cleaner
preţios	valuable
vanadiu	vanadium
legumă	vegetable
verb	verb
veteran	veteran
veterinar	veterinarian ; veterinary
vie	vineyard
vocală	vowel
viespe	wasp
apa ; apă ; apă	water
apă	water ; body of water
sfârşit de săptămână ; weekend	weekend
balenă	whale
alb	white
wiki	wiki
salcie	willow
vin	wine
lup	wolf
cuvânt ; cuvînt	word
război mondial	world war
xenon	xenon
ytriu	yttrium
zero	zero ; null
zinc	zinc
zirconiu	zirconium
Åland	Åland Islands
