English	Macedonian
Saudi Arabia ; Kingdom of Saudi Arabia	Саудиска Арабија
Senegal	Сенегал
Serbia	Србија
Slovakia	Словачка
Sudan	Судан
Switzerland	Швајцарија
Tanzania	Танзанија
Thuringia	Тирингија
Togo	Того
Turkey	Турција
Uganda ; Republic of Uganda	Уганда
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Соединети Американски Дрзави
Vatican City ; The Holy See ; State of the Vatican City	Ватикан
actinium	актиниум
alcoholism	алкохолизам
alloy	легура
aluminium	алуминиум
americium	америциум
anarchy	анархија
ant	мрава
argon	аргон
aristocracy	аристократија
arsenic	арсен
astronomy	астрономија
astrophysics	астрофизика
asymptote	асимптота
atomic mass	атомска маса
beaver	дабар
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	папук
beryllium ; glucinium	берилиум
biochemistry	биохемија
bismuth	бисмут
blackbird	кос
blue	сина
boron	бор
bromine	бром
cadmium	кадмиум
caesium	цезиум
calcium	калциум
carbon	jаглерод
chlorine	хлор
chromium	хром
cobalt	кобалт
comet	комета
compound ; chemical compound	xемиско соединение
copper	бакар
cow	крава
crystal	кристал
curium	кириум
democracy	демократија
dog	пес
dromedary	дромедар
dubnium	дубниум
einsteinium	аjнштаjниум
electron	електрон
equator	екватор
europium	европиум
fertilisation ; fecundation	оплодување
fluorine	флуор
flute	Флејта ; флејта
gadolinium	гадолиниум
gallium	галиум
genotype	генотип
germanium	германиум
giraffe	жирафа
glycolysis	гликолиза
gold	злато
goose	гуска
guinea pig	заморец
gull	галеб
hafnium	хафниум
haiku	хаику
hassium	хасиум
hedgehog	еж
helium	хелиум
holmium	холмиум
hormone	хормони
horse	коњ
hydrogen	водород
hyena	хиена
ideology	идеологија
indium	индиум
iodine	јод
iridium	иридиум
iron	железо
kilogram	килограм
krypton	криптон
lanthanum	лантан
lead	олово
lithium	литиум
lutetium	лутециум
lynx	рис
manganese	манган
mayor	градоначалник
mendelevium	менделевиум
mercury	жива
metaphysics	метафизика
mitosis	митоза
molybdenum	молибден
musical	мјузикл
nappy	пелена
natural science	природни науки
neodymium	неодимиум
neon	неон
neptunium	нептуниум
niobium	ниобиум
nitrogen	азот
nobelium	нобелиум
official language	официјален јазик
oligopoly	олигопол
ontogenesis ; ontogenesis ; ontogeny	онтогенеза
operetta	оперета
organelle	органела
orthography	правопис
osmium	осмиум
ostrich	ноj
oxygen	кислород
palaeontology	палеонтологија
palladium	паладиум
pancreas	панкреас
penguin	пингвин
peninsula	полуостров
pheasant	фазан
philology	филологија
philosophy	философија
phosphorus	фосфор
physiology	физиологија
pigeon ; dove	гулаб
polymer	полимер
pomegranate	калинка
potassium	калиум
praseodymium	празеодимиум
promethium	прометиум
prostate	простата
protactinium	протактиниум
rhenium	рениум
rubidium	рубидиум
ruthenium	рутениум
rutherfordium	радерфордиум
samarium	самариум
scandium	скандиум
selenium	селен
sheep	овца
siemens	сименс
silicon	силициум
sodium	натриум
strontium	стронциум
sulphur	сулфур
surgery	хирургија
syphilis	сифилис
tantalum	тантал
tea	чај
technetium	технециум
thallium	талиум
theocracy	теократија
theology	теологија
thyroid	штитна жлезда
timezone	временска зона
titanium	титан
trout	пастрмка
urine	мочка ; урина
whale	кит
window	пенџер
yttrium	итриум
zebra	зебра
zinc	цинк
zirconium	циркониум
